,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-09,542.40M,,542.40M,691.60M,691.60M,128.00M,62.90M,652.10M,,843.00M,56.40M,2.70M,197.20M,,2.333B,0.00,21.30M,936.00M,1.076B,132.10M,145.00M,2.310B,-1.122B,1.188B,2.649B,713.70M,3.363B,,194.60M,4.746B,7.079B,,165.60M,,,165.60M,264.90M,430.50M,,,,,408.00M,838.50M,331.10M,331.10M,,,,,3.50M,284.40M,615.50M,1.454B,,2.50M,4.218B,3.114B,2.068B,,,354.70M,5.621B,,,Restated
2008-06,388.10M,,388.10M,782.50M,782.50M,111.40M,61.30M,628.00M,,800.70M,57.20M,2.80M,176.80M,,2.208B,0.00,21.40M,919.40M,1.019B,119.40M,121.80M,2.201B,-1.088B,1.114B,2.721B,721.90M,3.443B,,177.40M,4.734B,6.942B,,184.00M,,,184.00M,,184.00M,,,,,623.90M,807.90M,329.30M,329.30M,,,,,3.30M,296.90M,626.20M,1.434B,,2.50M,4.003B,3.095B,2.019B,,,423.20M,5.505B,,,Restated
2008-03,476.00M,,476.00M,759.30M,759.30M,106.30M,59.40M,590.90M,,756.60M,54.30M,2.80M,173.60M,,2.223B,0.00,21.60M,921.40M,971.60M,107.40M,86.60M,2.109B,-1.070B,1.039B,2.713B,734.80M,3.448B,,210.10M,4.697B,6.919B,,164.70M,,,164.70M,489.90M,654.60M,,,,,134.60M,789.20M,116.90M,116.90M,,,,,3.00M,303.60M,420.50M,1.210B,,2.50M,3.776B,3.039B,1.524B,,,412.40M,5.706B,,,Restated
2007-12,463.90M,,463.90M,674.30M,674.30M,113.30M,50.30M,564.20M,,727.80M,59.40M,2.50M,154.80M,,2.083B,0.00,19.40M,855.30M,903.80M,98.70M,98.70M,1.976B,-1.004B,971.90M,2.621B,743.80M,3.365B,,213.90M,4.551B,6.634B,,174.10M,,,174.10M,230.20M,404.30M,,,,,344.30M,748.60M,104.30M,104.30M,,,,,2.80M,328.40M,432.70M,1.181B,,2.50M,3.537B,2.999B,1.379B,368.80M,-78.50M,290.30M,5.450B,,,
2007-09,313.00M,,313.00M,652.10M,652.10M,116.80M,48.20M,567.20M,,732.20M,54.50M,2.50M,145.60M,,1.900B,0.00,17.70M,913.90M,876.30M,,80.90M,1.889B,-974.80M,914.00M,2.559B,739.80M,3.299B,,254.60M,4.467B,6.367B,,129.00M,,,129.00M,328.30M,457.30M,,,,,250.00M,707.30M,103.20M,103.20M,,,,,2.50M,301.00M,404.20M,1.112B,,2.50M,3.273B,2.976B,1.264B,,,264.90M,5.253B,,,
2007-06,358.70M,,358.70M,689.70M,689.70M,104.40M,54.60M,523.90M,,682.90M,67.30M,2.30M,148.40M,,1.949B,0.00,17.50M,903.30M,833.70M,,43.00M,1.798B,-931.60M,865.90M,2.507B,748.90M,3.256B,,249.40M,4.372B,6.321B,,141.30M,,,141.30M,,141.30M,,,,,501.60M,642.90M,95.20M,95.20M,,,,,2.60M,296.80M,392.00M,1.035B,,2.50M,3.229B,2.947B,1.108B,,,213.20M,5.283B,,,
2007-03,326.00M,,326.00M,692.50M,692.50M,105.60M,53.90M,499.30M,,658.80M,54.60M,2.40M,152.30M,,1.887B,0.00,17.60M,833.50M,799.10M,,69.40M,1.720B,-899.00M,820.60M,2.466B,708.90M,3.175B,,215.60M,4.211B,6.098B,,128.60M,,,128.60M,,128.60M,,,,,470.30M,598.90M,100.00M,100.00M,,,,,2.40M,280.00M,380.00M,978.90M,,2.50M,2.997B,2.87B,976.30M,,,223.30M,5.117B,,,
2006-12,265.70M,,265.70M,625.50M,625.50M,102.80M,46.40M,489.10M,,638.30M,55.10M,2.40M,159.20M,,1.746B,0.00,17.60M,783.70M,768.50M,,105.30M,1.675B,-868.00M,807.10M,2.516B,712.60M,3.228B,,192.90M,4.228B,5.974B,,158.00M,,,158.00M,290.30M,448.30M,,,,,179.90M,628.20M,99.60M,99.60M,,,,,2.70M,323.40M,423.00M,1.051B,,2.50M,2.768B,2.743B,802.90M,,,209.20M,4.920B,,,
2006-09,275.60M,,275.60M,589.40M,589.40M,99.20M,56.00M,475.70M,,630.90M,46.20M,2.30M,161.90M,,1.706B,0.00,17.60M,761.80M,733.60M,,72.90M,1.586B,-834.80M,751.10M,2.533B,731.10M,3.264B,,187.40M,4.202B,5.908B,,126.40M,,,126.40M,,126.40M,,,,,552.40M,678.80M,100.90M,100.90M,,,,,2.60M,322.20M,423.10M,1.102B,,2.50M,2.524B,2.701B,635.00M,,,211.80M,4.804B,,,
2006-06,335.80M,,335.80M,639.20M,639.20M,94.50M,53.00M,458.60M,,606.10M,50.10M,2.40M,158.80M,,1.792B,0.00,16.70M,739.10M,702.20M,,68.60M,1.527B,-801.60M,725.00M,2.523B,739.30M,3.262B,,183.80M,4.171B,5.964B,,121.40M,,,121.40M,,121.40M,,,,,510.10M,631.50M,82.60M,82.60M,,,,,2.70M,351.00M,433.60M,1.065B,,2.50M,2.340B,2.671B,320.50M,,,202.10M,4.896B,,,
2006-03,403.80M,,403.80M,592.10M,592.10M,96.90M,46.40M,456.20M,,599.50M,67.60M,12.10M,151.30M,,1.826B,0.00,16.70M,704.30M,675.80M,,71.50M,1.468B,-767.30M,701.00M,2.447B,747.30M,3.194B,,195.50M,4.091B,5.917B,,122.00M,,,122.00M,,122.00M,,,,,447.80M,569.80M,81.50M,81.50M,,,,,2.50M,339.30M,420.80M,990.60M,,2.50M,2.140B,2.640B,11.20M,,,153.50M,4.924B,,,
2005-12,233.20M,,233.20M,524.20M,524.20M,99.60M,40.10M,444.00M,,583.70M,68.70M,12.10M,153.70M,,1.576B,0.00,20.70M,706.50M,649.20M,,61.40M,1.438B,-729.00M,708.80M,2.429B,756.60M,3.185B,,252.10M,4.146B,5.722B,,123.60M,,,123.60M,,123.60M,,,,,483.30M,606.90M,81.60M,81.60M,,,,,2.30M,348.30M,429.90M,1.037B,,2.50M,1.934B,2.601B,4.10M,,,149.30M,4.683B,,,
2005-09,91.80M,,91.80M,541.10M,541.10M,83.80M,44.30M,457.90M,0.60M,586.60M,37.10M,12.50M,231.40M,,1.500B,0.00,20.90M,704.30M,650.70M,,53.80M,1.430B,-726.00M,703.70M,,3.237B,3.237B,,180.70M,4.121B,5.622B,,109.20M,,,109.20M,,109.20M,,,,,546.30M,655.50M,85.80M,85.80M,,,,,2.00M,371.90M,457.70M,1.113B,,2.50M,1.734B,2.599B,,,,170.70M,4.506B,,,
2005-06,78.80M,,78.80M,573.40M,573.40M,87.10M,51.10M,428.80M,1.00M,568.00M,43.20M,16.60M,212.20M,,1.492B,0.00,19.90M,684.90M,616.50M,,57.50M,1.379B,-702.20M,676.60M,,3.213B,3.213B,,169.40M,4.059B,5.552B,,141.80M,,,141.80M,,141.80M,,,,,472.10M,613.90M,268.10M,268.10M,,,,,1.80M,363.10M,631.20M,1.245B,,2.50M,1.566B,2.570B,,,,166.40M,4.305B,,,
2005-03,57.00M,,57.00M,570.60M,570.60M,,,,,551.90M,41.40M,18.00M,239.60M,,1.478B,0.00,20.00M,673.50M,579.90M,,64.30M,1.338B,-694.60M,643.10M,,3.284B,3.284B,,185.70M,4.113B,5.591B,,122.90M,,,122.90M,,122.90M,,,,,485.10M,608.00M,426.30M,426.30M,,,,,1.60M,402.00M,828.30M,1.436B,,2.50M,1.375B,2.559B,,,,217.00M,4.154B,,,
2004-12,154.60M,,154.60M,524.80M,524.80M,70.20M,42.00M,420.50M,3.30M,536.00M,54.00M,18.90M,272.60M,,1.561B,0.00,20.00M,677.10M,557.80M,,57.90M,1.313B,-684.30M,628.50M,,3.324B,3.324B,,182.40M,4.135B,5.696B,,131.60M,,,131.60M,,131.60M,,,27.50M,27.50M,541.90M,701.00M,624.00M,624.00M,,,,,7.10M,420.90M,1.045B,1.746B,,2.50M,1.202B,2.485B,,,,253.30M,3.942B,,,
2004-09,45.30M,,45.30M,489.40M,489.40M,112.00M,,387.80M,6.60M,506.40M,50.10M,17.00M,194.80M,,1.303B,0.00,19.90M,655.40M,512.10M,,36.10M,1.224B,-639.40M,584.10M,,3.255B,3.255B,140.70M,43.90M,4.024B,5.327B,,122.90M,,,122.90M,,122.90M,,,12.50M,12.50M,454.20M,589.60M,667.90M,667.90M,61.00M,61.00M,,,6.80M,370.70M,1.100B,1.689B,,2.50M,1.002B,2.474B,,,,153.00M,3.631B,,,
2004-06,76.90M,,76.90M,531.10M,531.10M,102.40M,,388.50M,13.10M,504.00M,32.60M,10.40M,,173.10M,1.328B,0.00,22.00M,640.50M,489.80M,,27.00M,1.179B,-618.30M,561.00M,,3.208B,3.208B,154.80M,55.70M,3.979B,5.307B,,107.00M,,,107.00M,,107.00M,,,,,433.40M,540.40M,868.90M,868.90M,54.20M,54.20M,,,6.80M,348.80M,1.272B,1.812B,,2.50M,873.60M,2.461B,,,,151.20M,3.488B,,,
2004-03,108.70M,,108.70M,526.50M,526.50M,91.10M,,387.30M,25.40M,503.80M,38.80M,12.40M,171.30M,,1.362B,0.00,22.00M,619.80M,459.50M,,20.90M,1.122B,-575.20M,547.00M,,3.011B,3.011B,191.90M,78.80M,3.828B,5.19B,,125.30M,,,125.30M,,125.30M,,,,,440.70M,566.00M,959.70M,959.70M,,,,,7.00M,344.50M,1.304B,1.870B,,2.40M,757.30M,2.410B,,,,143.50M,3.313B,,,
2003-12,77.50M,,77.50M,486.40M,486.40M,90.80M,,384.30M,52.60M,527.70M,43.50M,14.50M,189.10M,,1.339B,0.00,22.00M,600.30M,431.40M,,20.10M,1.074B,-548.60M,525.20M,,3.052B,3.052B,161.20M,78.60M,3.817B,5.156B,,127.60M,,,127.60M,,127.60M,,,101.30M,101.30M,416.40M,645.30M,1.008B,1.008B,,,,,7.00M,352.60M,1.360B,2.006B,,2.40M,659.70M,2.342B,,,,138.70M,3.143B,,,
2003-09,177.00M,,177.00M,254.70M,254.70M,57.80M,,236.20M,,294.00M,,,,88.30M,814.00M,0.00,8.40M,375.10M,330.90M,,13.90M,728.30M,-390.40M,337.90M,,,,,92.50M,430.40M,1.244B,,69.80M,,,69.80M,,69.80M,,,80.00M,80.00M,250.60M,400.40M,,,,,,,,,98.90M,499.30M,,2.00M,622.70M,103.40M,,,,17.00M,745.10M,,,
2003-06,115.00M,,115.00M,259.10M,259.10M,55.50M,,225.30M,,280.80M,33.10M,,66.80M,,754.80M,0.00,8.20M,369.80M,301.20M,,10.90M,690.10M,-370.20M,319.90M,,11.90M,11.90M,34.70M,21.50M,388.00M,1.143B,,67.90M,,,67.90M,,67.90M,,,76.00M,76.00M,254.30M,398.20M,,,,,,,,,96.40M,494.60M,,2.00M,537.70M,86.70M,,,,21.80M,648.20M,,,
2003-03,33.40M,,33.40M,237.40M,237.40M,53.00M,,212.90M,,265.90M,17.50M,,20.50M,,574.70M,0.00,8.20M,359.60M,275.60M,,13.30M,656.70M,-345.70M,311.00M,,,,74.60M,18.50M,404.10M,978.80M,,64.80M,,,64.80M,,64.80M,,,76.90M,76.90M,201.00M,342.70M,,,,,,,,,93.40M,436.10M,,2.00M,448.70M,75.80M,,,,16.20M,542.70M,,,
2002-12,15.70M,,15.70M,214.80M,214.80M,50.90M,,206.70M,,257.60M,71.70M,,52.60M,,612.40M,0.00,8.20M,354.40M,,,13.30M,375.90M,-218.10M,157.80M,,,,70.10M,18.60M,246.50M,858.90M,,59.80M,,,59.80M,,59.80M,,,156.70M,156.70M,184.30M,400.80M,,,,,,,,,91.80M,492.60M,,2.00M,313.40M,36.90M,,,,14.00M,366.30M,,,
2002-09,20.80M,,20.80M,204.70M,204.70M,47.10M,,206.10M,,253.20M,83.50M,,50.30M,,612.50M,0.00,8.10M,,352.20M,,7.60M,367.90M,-213.00M,154.90M,,,,76.20M,19.80M,250.90M,863.40M,,57.30M,,,57.30M,,57.30M,,,150.00M,150.00M,185.40M,392.70M,98.90M,98.90M,,,,,,85.40M,184.30M,577.00M,,2.00M,241.20M,29.00M,,,,14.20M,286.40M,,,
2002-06,26.40M,,26.40M,218.90M,218.90M,54.20M,,186.90M,,241.10M,69.50M,,54.00M,,609.90M,0.00,8.20M,,344.60M,,8.00M,360.80M,-207.50M,153.30M,,,,71.40M,20.50M,245.20M,855.10M,,65.60M,,,65.60M,,65.60M,,,150.00M,150.00M,183.30M,398.90M,162.80M,162.80M,,,,,,88.10M,250.90M,649.80M,,1.90M,176.10M,14.30M,,,,13.00M,205.30M,,,
2002-03,20.80M,,20.80M,196.20M,196.20M,46.20M,,173.60M,,219.80M,65.30M,,51.80M,,553.90M,0.00,7.80M,,332.70M,,12.70M,353.20M,-203.70M,149.50M,,,,66.60M,20.20M,236.30M,790.20M,,61.20M,,,61.20M,,61.20M,,,150.00M,150.00M,169.10M,380.30M,192.20M,192.20M,,,,,,83.80M,276.00M,656.30M,,1.90M,110.20M,9.40M,,,,12.40M,133.90M,,,
2001-12,18.40M,,18.40M,181.70M,181.70M,41.60M,,158.40M,,200.00M,59.30M,,49.20M,,508.60M,0.00,8.00M,,320.30M,,27.80M,356.10M,-207.90M,148.20M,,,,66.80M,21.40M,236.40M,745.00M,,67.40M,,,67.40M,,67.40M,,,150.00M,150.00M,155.70M,373.10M,213.90M,213.90M,,,,,,79.30M,293.20M,666.30M,,1.90M,55.60M,4.40M,,,,16.80M,78.70M,,,
2001-09,23.40M,,23.40M,191.10M,191.10M,26.80M,14.60M,146.20M,,187.60M,54.80M,,44.40M,,501.30M,0.00,8.10M,320.70M,,,17.30M,346.10M,-207.80M,138.30M,,,,76.80M,21.70M,236.80M,738.10M,,48.60M,,,48.60M,170.40M,219.00M,,,150.00M,150.00M,19.60M,388.60M,258.30M,258.30M,,,,,,67.70M,326.00M,714.60M,,1.90M,12.30M,,,,,9.30M,23.50M,,,
2001-06,,,,,196.90M,,,,,168.70M,48.70M,,37.80M,,452.10M,,,,,,,131.50M,,131.50M,,,,,60.80M,192.30M,644.40M,,67.00M,,16.80M,83.80M,158.90M,242.70M,,,,,155.40M,398.10M,,,,,,,,,0.00,398.10M,,,,,,,,10.90M,246.30M,,AOR,
