,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-06,737.40M,737.40M,201.90M,535.50M,,,297.30M,38.20M,,,-23.80M,,,,,335.50M,200.00M,,,,-23.80M,,167.50M,51.40M,116.30M,,-0.20M,116.30M,132.80M,245.60M,45.60M,200.00M,,0.48,0.00,,0.5475,0.48,,0.47,0.00,,0.5365,0.47,,244.30M,247.90M,,,,
2004-03,742.20M,742.20M,219.50M,522.70M,,,297.80M,39.80M,,,-31.30M,,,,,337.60M,185.10M,,,,-31.30M,,144.00M,46.40M,97.60M,,,97.60M,118.81M,226.80M,41.70M,185.10M,,0.40,0.00,,0.4873,0.40,,0.40,0.00,,0.4861,0.40,,242.90M,246.40M,,,,
2003-12,701.60M,701.60M,224.10M,477.50M,,,287.10M,37.30M,,,-87.60M,,,,,324.40M,153.10M,,,,-87.60M,,55.30M,18.80M,37.00M,0.00,,37.00M,94.82M,193.70M,40.60M,153.10M,,0.10,-0.01,0.00,0.3390,0.09,,0.10,-0.01,-0.0159,0.3336,0.09,,241.90M,247.50M,,,,
2003-09,398.20M,398.20M,96.80M,301.40M,,,146.80M,24.40M,,,-1.70M,,,,-271.26M,-100.06M,401.46M,,,,-1.70M,,127.80M,42.80M,85.00M,,,85.00M,86.13M,422.76M,21.30M,401.46M,,0.43,0.00,,0.4357,0.43,,0.43,0.00,,0.4357,0.43,,196.80M,199.60M,,,,
2003-06,411.10M,411.10M,98.40M,312.70M,,,155.30M,22.70M,,,,,,,,178.00M,134.70M,,,,,,133.80M,44.80M,89.00M,,,89.00M,89.00M,156.50M,21.80M,134.70M,,0.45,0.00,,0.45,0.45,,0.45,0.00,,0.45,0.45,,196.50M,199.10M,,,,
2003-03,390.10M,390.10M,96.90M,293.20M,,,149.80M,21.40M,,,,,,,,171.20M,122.00M,,,,,,120.60M,40.40M,80.20M,55.10M,,135.30M,80.20M,141.60M,19.60M,122.00M,,0.41,0.28,0.00,0.41,0.69,,0.41,0.27,0.2783,0.41,0.68,,195.70M,198.00M,,,,
2002-12,370.20M,370.20M,93.70M,276.50M,,,143.60M,21.80M,,,,,,,,165.40M,111.10M,,,,,,109.00M,36.80M,72.20M,,,72.20M,72.20M,117.70M,6.60M,111.10M,,0.37,0.00,,0.37,0.37,,0.36,0.00,,0.36,0.36,,195.10M,198.60M,,,,
2002-09,337.50M,337.50M,85.10M,252.40M,,,133.70M,20.60M,,,,,,,,154.30M,98.10M,,,,,,95.10M,30.00M,65.10M,,,65.10M,65.10M,104.50M,6.40M,98.10M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,194.70M,196.50M,,,,
2002-06,345.60M,345.60M,85.20M,260.40M,,,137.80M,19.20M,,,,,,,,157.00M,103.40M,,,,,,100.10M,34.20M,65.90M,,,65.90M,65.90M,110.20M,6.80M,103.40M,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,194.30M,196.00M,,,,
2002-03,319.10M,319.10M,80.80M,238.30M,,,130.90M,19.10M,,,,,,,,150.00M,88.30M,,,,,,84.70M,30.10M,54.60M,,,54.60M,54.60M,93.80M,5.50M,88.30M,,0.28,0.00,,0.28,0.28,,0.28,0.00,,0.28,0.28,,194.00M,195.70M,,,,
2001-12,311.60M,311.60M,88.30M,223.30M,,,133.40M,17.90M,,,,,,,,151.30M,72.00M,,,,,,67.60M,24.40M,43.20M,,,43.20M,43.20M,77.20M,5.20M,72.00M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,194.00M,194.90M,,,,
2001-09,286.70M,286.70M,75.00M,211.70M,,,142.60M,18.30M,,,,,,,,160.90M,50.80M,,,,,,47.80M,20.40M,27.40M,,,27.40M,27.40M,56.50M,5.70M,50.80M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,193.70M,195.00M,,,,
2001-06,294.30M,294.30M,82.30M,212.00M,61.50M,64.20M,125.70M,17.40M,,,,,,,,143.10M,68.90M,,,,,,68.90M,25.70M,43.20M,,,43.20M,43.20M,68.90M,,68.90M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,193.60M,193.60M,,,AOR,
2000-06,260.90M,260.90M,68.50M,192.40M,52.50M,56.50M,109.00M,11.50M,,,,,,,,120.50M,71.90M,,,,,,71.90M,25.00M,46.90M,,,46.90M,46.90M,71.90M,,71.90M,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,193.60M,193.60M,,,AOR,
