,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1999-03,2.048B,2.048B,,,,4.00M,-4.00M,,,4.00M,-4.00M,,-4.00M,0.00,7.00M,196.00M,,196.00M,196.00M,,4.00M,,0.185,0.00,,0.185,0.185,,0.18,0.00,,0.18,0.18,,1.064B,1.107B,0.0162,,,
1998-12,1.944B,1.944B,,,,4.00M,-4.00M,,,4.00M,-4.00M,-817.00M,-4.00M,551.00M,60.00M,116.00M,,116.00M,116.00M,,555.00M,,0.1075,0.00,,0.1075,0.1075,,0.105,0.00,,0.105,0.105,,1.081B,1.092B,0.0162,,AOR,Restated
1998-09,1.70B,1.70B,,,,2.80M,-2.80M,,,2.80M,-2.80M,279.00M,-2.80M,0.00,53.00M,108.00M,,108.00M,108.00M,20.00M,2.80M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,1.08B,1.08B,0.0162,,,
1998-06,1.704B,1.704B,,,,3.00M,-3.00M,,,3.00M,-3.00M,280.00M,-3.00M,0.00,57.00M,103.00M,,103.00M,103.00M,,3.00M,,0.095,0.00,,0.095,0.095,,0.095,0.00,,0.095,0.095,,1.084B,1.084B,0.0162,,,
1998-03,1.757B,1.757B,,,,3.00M,-3.00M,,,3.00M,-3.00M,285.00M,-3.00M,0.00,-107.00M,160.00M,,160.00M,160.00M,,3.00M,,0.15,0.00,,0.15,0.15,,0.145,0.00,,0.145,0.145,,1.067B,1.103B,0.0144,,,
1997-12,1.745B,1.745B,,,,3.50M,-3.50M,,,3.50M,-3.50M,283.10M,-3.50M,0.00,49.10M,96.00M,,96.00M,96.00M,,3.50M,,0.09,0.00,,0.09,0.09,,0.085,0.00,,0.085,0.085,,935.32M,1.102B,0.0144,,AOR,
1997-09,1.790B,1.790B,,,,3.10M,-3.10M,,,3.10M,-3.10M,280.90M,-3.10M,0.00,59.70M,96.10M,,96.10M,96.10M,,3.10M,,0.09,0.00,,0.09,0.09,,0.085,0.00,,0.085,0.085,,1.130B,1.130B,0.0144,,,
1997-06,2.009B,2.009B,,,,4.10M,-4.10M,,,4.10M,-4.10M,541.40M,-4.10M,0.00,112.20M,302.80M,,302.80M,302.80M,,4.10M,,0.28,0.00,,0.28,0.28,,0.27,0.00,,0.27,0.27,,1.132B,1.132B,0.0144,,,
1997-03,1.708B,1.708B,,,,3.30M,-3.30M,,,3.30M,-3.30M,271.40M,-3.30M,0.00,59.00M,90.20M,,90.20M,90.20M,,3.30M,,0.085,0.00,,0.085,0.085,,0.08,0.00,,0.08,0.08,,1.061B,1.128B,0.0125,,,
1996-12,1.853B,1.853B,,,,3.30M,-3.30M,,,3.30M,-3.30M,347.90M,-3.30M,0.00,72.20M,133.40M,,133.40M,133.40M,,3.30M,,0.12,0.00,,0.12,0.12,,0.115,0.00,,0.115,0.115,,962.05M,1.158B,0.0125,,AOR,
1996-09,1.776B,1.776B,,,,3.60M,-3.60M,,,3.60M,-3.60M,288.40M,-3.60M,0.00,64.60M,88.30M,,88.30M,88.30M,,3.60M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,1.148B,1.148B,0.0125,,,
1996-06,1.742B,1.742B,,,,4.00M,-4.00M,,,4.00M,-4.00M,280.20M,-4.00M,0.00,58.50M,85.70M,,85.70M,85.70M,,4.00M,,0.08,0.00,,0.08,0.08,,0.075,0.00,,0.075,0.075,,1.159B,1.159B,0.0125,,,
1996-03,1.73B,1.73B,,,,5.00M,-5.00M,,,5.00M,-5.00M,274.00M,-5.00M,0.00,61.00M,86.10M,,86.10M,86.10M,,5.00M,,0.08,0.00,,0.08,0.08,,0.075,0.00,,0.075,0.075,,1.171B,1.171B,0.0108,,,
1995-12,1.732B,1.732B,,,,3.50M,-3.50M,,,3.50M,-3.50M,278.90M,-3.50M,0.00,60.10M,83.40M,,83.40M,83.40M,,3.50M,,0.08,0.00,,0.08,0.08,,0.075,0.00,,0.075,0.075,,1.039B,1.118B,0.0108,,AOR,
1995-09,1.812B,1.812B,,,,4.10M,-4.10M,,,4.10M,-4.10M,280.30M,-4.10M,0.00,63.80M,88.00M,,88.00M,88.00M,,4.10M,,0.075,0.00,,0.075,0.075,,0.075,0.00,,0.075,0.075,,1.181B,1.181B,0.0108,,,
1995-06,1.933B,1.933B,,,,4.40M,-4.40M,,,4.40M,-4.40M,298.70M,-4.40M,0.00,67.00M,92.90M,,92.90M,92.90M,,4.40M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,1.213B,1.213B,0.0108,,,
1995-03,1.714B,1.714B,,,,3.60M,-3.60M,,,3.60M,-3.60M,261.90M,-3.60M,0.00,61.10M,84.90M,,84.90M,84.90M,,3.60M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,1.222B,1.222B,0.0096,,,
1994-12,1.636B,1.636B,,,,5.996M,-5.996M,,,5.996M,-5.996M,-587.14M,-5.996M,504.34M,54.95M,77.39M,,77.39M,77.39M,,510.33M,,0.0617,0.00,,0.0617,0.0617,,0.0617,0.00,,0.0617,0.0617,,1.224B,1.242B,0.0096,,AOR,
1994-09,1.602B,1.602B,,,,3.80M,-3.80M,,,3.80M,-3.80M,239.30M,-3.80M,0.00,53.50M,76.20M,,76.20M,76.20M,,3.80M,,0.065,0.00,,0.065,0.065,,0.065,0.00,,0.065,0.065,,1.233B,1.233B,0.0096,,,
1994-06,1.481B,1.481B,,,,3.40M,-3.40M,,,3.40M,-3.40M,226.30M,-3.40M,0.00,51.20M,69.30M,,69.30M,69.30M,,3.40M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,1.233B,1.233B,0.0096,,,
1994-03,1.392B,1.392B,,,,2.70M,-2.70M,,,2.70M,-2.70M,212.80M,-2.70M,0.00,52.00M,70.00M,,70.00M,70.00M,,2.70M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,1.258B,1.258B,0.0084,,,
1993-12,1.334B,1.334B,,,,0.90M,-0.90M,,,0.90M,-0.90M,209.50M,-0.90M,0.00,48.60M,66.00M,-0.40M,65.60M,66.00M,,0.90M,,0.06,0.00,0.00,0.06,0.06,,0.055,0.00,-0.0004,0.055,0.055,,1.279B,1.279B,0.0084,,,
1993-09,1.308B,1.308B,,,,0.10M,-0.10M,,,0.10M,-0.10M,201.60M,-0.10M,0.00,46.70M,64.50M,,64.50M,64.50M,,0.10M,,0.055,0.00,,0.055,0.055,,0.055,0.00,,0.055,0.055,,1.173B,1.173B,0.0084,,,
1993-06,1.237B,1.237B,,,,0.10M,-0.10M,,,0.10M,-0.10M,191.80M,-0.10M,0.00,46.50M,58.70M,,58.70M,58.70M,,0.10M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,1.174B,1.174B,0.0084,,,
1993-03,1.122B,1.122B,,,,0.90M,-0.90M,,,0.90M,-0.90M,172.00M,-0.90M,0.00,43.10M,53.70M,11.40M,65.10M,53.70M,,0.90M,,0.045,0.01,0.00,0.045,0.055,,0.045,0.01,0.0096,0.045,0.055,,1.184B,1.184B,0.0074,,,
1992-12,1.071B,1.071B,,,,0.80M,-0.80M,,,0.80M,-0.80M,168.40M,-0.80M,0.00,37.60M,48.90M,,48.90M,48.90M,,0.80M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,1.222B,1.222B,0.0074,,,
1992-09,1.025B,1.025B,,,,0.80M,-0.80M,,,0.80M,-0.80M,160.70M,-0.80M,0.00,36.90M,47.90M,,47.90M,47.90M,,0.80M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,1.198B,1.198B,0.0074,,,
1992-06,955.30M,955.30M,,,,1.40M,-1.40M,,,1.40M,-1.40M,147.60M,-1.40M,0.00,34.80M,44.30M,,44.30M,44.30M,,1.40M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,1.108B,1.108B,0.0074,,,
1992-03,934.50M,934.50M,,,,2.90M,-2.90M,,,2.90M,-2.90M,140.60M,-2.90M,0.00,31.90M,42.40M,,42.40M,42.40M,,2.90M,,0.035,0.00,,0.035,0.035,,0.035,0.00,,0.035,0.035,,1.211B,1.211B,0.0067,,,
1991-12,897.30M,897.30M,,,,3.00M,-3.00M,,,3.00M,-3.00M,142.40M,-3.00M,0.00,30.20M,41.70M,,41.70M,41.70M,,3.00M,,0.035,0.00,,0.035,0.035,,0.03,0.00,,0.03,0.03,,1.192B,1.39B,0.0067,,,
1991-09,830.70M,830.70M,,,,3.40M,-3.40M,,,3.40M,-3.40M,135.90M,-3.40M,0.00,29.80M,38.60M,,38.60M,38.60M,,3.40M,,0.035,0.00,,0.035,0.035,,0.035,0.00,,0.035,0.035,,1.103B,1.103B,0.006,,,
1991-06,783.30M,783.30M,,,,4.10M,-4.10M,,,4.10M,-4.10M,122.70M,-4.10M,0.00,29.50M,34.70M,,34.70M,34.70M,,4.10M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.157B,1.157B,0.006,,,
1991-03,771.40M,771.40M,,,,3.50M,-3.50M,,,3.50M,-3.50M,116.40M,-3.50M,0.00,26.50M,33.70M,,33.70M,33.70M,,3.50M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.123B,1.123B,0.006,,,
1990-12,751.70M,751.70M,,,,3.40M,-3.40M,,,3.40M,-3.40M,117.20M,-3.40M,0.00,26.40M,33.50M,,33.50M,33.50M,,3.40M,,0.03,0.00,,0.03,0.03,,0.025,0.00,,0.025,0.025,,1.101B,1.348B,0.006,,,
1990-09,683.00M,683.00M,,,,3.50M,-3.50M,,,3.50M,-3.50M,110.10M,-3.50M,0.00,25.90M,29.80M,,29.80M,29.80M,,3.50M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,1.192B,1.192B,0.0054,,,
1990-06,621.20M,621.20M,,,,4.10M,-4.10M,,,4.10M,-4.10M,98.60M,-4.10M,0.00,23.20M,27.80M,,27.80M,27.80M,,4.10M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,1.112B,1.112B,0.0054,,,
1990-03,622.60M,622.60M,,,,4.20M,-4.20M,,,4.20M,-4.20M,93.50M,-4.20M,0.00,23.60M,26.10M,,26.10M,26.10M,,4.20M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,1.044B,1.044B,0.0054,,,
1989-12,637.00M,637.00M,,,,4.30M,-4.30M,,,4.30M,-4.30M,110.20M,-4.30M,0.00,35.60M,25.80M,,25.80M,25.80M,,4.30M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,950.48M,950.48M,0.0054,,,
1989-09,599.30M,599.30M,,,,4.70M,-4.70M,,,4.70M,-4.70M,94.30M,-4.70M,0.00,26.90M,24.10M,,24.10M,24.10M,,4.70M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,1.205B,1.205B,0.0047,,,
1989-06,595.70M,595.70M,,,,5.80M,-5.80M,,,5.80M,-5.80M,101.80M,-5.80M,0.00,9.60M,2.30M,,2.30M,2.30M,,5.80M,,0.005,0.00,,0.005,0.005,,0.005,0.00,,0.005,0.005,,1.148B,1.148B,0.0047,,,
1989-03,606.30M,606.30M,,,,4.40M,-4.40M,,,4.40M,-4.40M,98.80M,-4.40M,0.00,25.00M,28.70M,,28.70M,28.70M,,4.40M,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,1.148B,1.148B,0.0047,,,
1988-12,600.80M,600.80M,,,,,,,,,,,,,,26.50M,,26.50M,26.50M,,,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,1.309B,1.309B,0.00,,,
1988-09,574.10M,574.10M,,,,,,,,,,,,,,28.30M,,28.30M,28.30M,,,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,1.132B,1.132B,0.00,,,
1988-06,583.80M,583.80M,,,,,,,,,,,,,,26.90M,,26.90M,26.90M,,,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,1.076B,1.076B,0.00,,,
1988-03,565.90M,565.90M,,,,,,,,,,,,,,27.10M,,27.10M,27.10M,,,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,1.084B,1.084B,0.00,,,
1987-12,521.70M,521.70M,,,,,,,,,,,,,,25.50M,,25.50M,25.50M,,,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,1.275B,1.275B,0.004,,,
1987-09,461.40M,461.40M,,,,,,,,,,,,,,25.10M,,25.10M,25.10M,,,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,1.004B,1.004B,0.0037,,,
1987-06,453.60M,453.60M,,,,,,,,,,,,,,22.70M,,22.70M,22.70M,,,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,1.135B,1.135B,0.0037,,,
1987-03,439.40M,439.40M,,,,,,,,,,,,,,20.00M,,20.00M,20.00M,,,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,1.00B,1.00B,0.0037,,,
1986-12,411.90M,411.90M,,,,,,,,,,,,,,21.70M,,21.70M,21.70M,,,,0.015,0.00,,0.015,0.015,,0.015,0.00,,0.015,0.015,,1.422B,1.422B,0.0037,,,
1986-09,363.40M,363.40M,,,,,,,,,,,,,,20.40M,,20.40M,20.40M,,,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,1.02B,1.02B,0.0034,,,
1986-06,326.20M,326.20M,,,,,,,,,,,,,,19.20M,,19.20M,19.20M,,,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,960.00M,960.00M,0.0034,,,
1986-03,300.10M,300.10M,,,,,,,,,,,,,,16.80M,,16.80M,16.80M,,,,0.015,0.00,,0.015,0.015,,0.015,0.00,,0.015,0.015,,1.12B,1.12B,0.0034,,,
1985-12,271.30M,271.30M,,,,,,,,,,,,,,16.40M,,16.40M,16.40M,,,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,1.578B,1.578B,0.003,,,
1985-09,242.30M,242.30M,,,,,,,,,,,,,,14.00M,,14.00M,14.00M,,,,0.015,0.00,,0.015,0.015,,0.015,0.00,,0.015,0.015,,933.33M,933.33M,0.003,,,
1985-06,225.90M,225.90M,,,,,,,,,,,,,,12.70M,,12.70M,12.70M,,,,0.015,0.00,,0.015,0.015,,0.015,0.00,,0.015,0.015,,846.67M,846.67M,0.0030,,,
1985-03,215.20M,215.20M,,,,,,,,,,,,,,11.10M,,11.10M,11.10M,,,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,1.11B,1.11B,0.0027,,,
1984-12,215.90M,215.90M,,,,,,,,,,,,,,12.70M,,12.70M,12.70M,,,,0.015,0.00,,0.015,0.015,,0.015,0.00,,0.015,0.015,,1.192B,1.192B,,,,
1984-09,206.70M,206.70M,,,,,,,,,,,,,,11.30M,,11.30M,11.30M,,,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,1.13B,1.13B,,,,
1984-06,204.80M,204.80M,,,,,,,,,,,,,,10.00M,,10.00M,10.00M,,,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,1.00B,1.00B,,,,
1984-03,196.20M,196.20M,,,,,,,,,,,,,,9.10M,,9.10M,9.10M,,,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,910.00M,910.00M,,,,
