,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2002-12,1.379B,,1.379B,435.00M,,,435.00M,1.814B,482.00M,,,,37.74B,38.22B,45.06B,,1.323B,2.364B,,3.687B,3.687B,,,,,3.687B,1.312B,,1.312B,2.692B,428.00M,4.432B,38.66B,,65.00M,5.244B,371.00M,1.916B,2.416B,-8.00M,222.00M,,2.63B,6.394B,,AOR,Restated
2002-09,1.291B,,1.291B,401.00M,,,401.00M,1.692B,469.00M,,,,29.64B,36.74B,42.89B,,8.00M,2.346B,,2.354B,2.354B,,,,,2.354B,1.295B,,1.295B,31.04B,413.00M,32.75B,36.79B,,65.00M,5.089B,362.00M,1.849B,,,226.00M,2.211B,2.437B,6.104B,,AOR,
2002-06,761.00M,,761.00M,376.00M,,,376.00M,1.137B,489.00M,,,,28.94B,36.31B,41.94B,,269.00M,2.229B,,2.498B,2.498B,,,,,2.498B,1.284B,,1.284B,31.09B,417.00M,32.79B,36.11B,,65.00M,4.88B,354.00M,1.768B,,,,,2.303B,5.834B,,AOR,
2002-03,523.00M,,523.00M,344.00M,,,344.00M,867.00M,448.00M,,,,25.95B,32.47B,37.38B,,9.00M,2.142B,,2.151B,2.151B,,,,,2.151B,1.198B,,1.198B,27.59B,371.00M,29.16B,32.08B,,65.00M,4.699B,344.00M,1.736B,,,215.00M,1.71B,1.925B,5.297B,,AOR,
2001-12,852.00M,,852.00M,341.00M,,,341.00M,1.193B,456.00M,,,,31.92B,32.62B,37.86B,,765.00M,2.091B,,2.856B,2.856B,,,,,2.856B,1.207B,,1.207B,1.615B,352.00M,3.174B,32.44B,,65.00M,4.542B,338.00M,1.611B,1.878B,0.00,213.00M,,2.091B,5.425B,,AOR,Restated
2001-09,827.00M,,827.00M,442.00M,,,442.00M,1.269B,492.00M,,,,27.78B,34.62B,40.05B,,,2.259B,,2.259B,2.259B,,,,,2.259B,1.287B,,1.287B,28.75B,364.00M,30.40B,34.49B,,65.00M,4.406B,328.00M,1.548B,,,,,2.308B,5.559B,,AOR,
2001-06,736.00M,,736.00M,297.00M,,,297.00M,1.033B,474.00M,,,,27.07B,33.75B,38.79B,,797.00M,2.177B,,2.974B,2.974B,,,,,2.974B,1.356B,,1.356B,27.47B,348.00M,29.17B,33.36B,,65.00M,4.239B,320.00M,1.479B,,,,,2.291B,5.436B,,AOR,Restated
2001-03,1.075B,,1.075B,324.00M,,,324.00M,1.399B,463.00M,,,,25.79B,32.37B,37.64B,,417.00M,2.199B,,2.616B,2.616B,,,,,2.616B,1.035B,,1.035B,27.60B,360.00M,29.00B,32.42B,,65.00M,4.112B,312.00M,1.45B,,,,,2.179B,5.218B,,AOR,
2000-12,609.00M,,609.00M,300.00M,,,300.00M,909.00M,481.00M,,,,26.05B,32.26B,37.23B,,127.00M,1.894B,,2.021B,2.021B,,,,,2.021B,1.079B,,1.079B,27.85B,355.00M,29.28B,32.54B,,32.00M,3.956B,336.00M,1.298B,,,,,1.668B,4.694B,,AOR,Restated
2000-09,808.00M,,808.00M,313.00M,,,313.00M,1.121B,491.00M,,,,26.24B,32.68B,37.90B,,397.00M,1.66B,,2.057B,2.057B,,,,,2.057B,914.00M,,914.00M,29.59B,361.00M,30.87B,33.80B,,6.00M,3.812B,329.00M,1.238B,,,184.00M,985.00M,1.169B,4.104B,,AOR,Restated
2000-06,967.00M,,967.00M,286.00M,,,286.00M,1.253B,497.00M,,,,26.76B,33.39B,38.79B,,999.00M,1.705B,,2.704B,2.704B,,,,,2.704B,1.097B,,1.097B,29.60B,362.00M,31.06B,34.63B,,32.00M,3.672B,324.00M,1.204B,,,,,1.337B,4.161B,,AOR,Restated
2000-03,692.00M,,692.00M,262.00M,,,262.00M,954.00M,492.00M,,,,25.93B,32.44B,37.39B,,340.00M,1.727B,,2.067B,2.067B,,,,,2.067B,1.072B,,1.072B,28.88B,360.00M,30.31B,33.32B,,32.00M,3.493B,320.00M,1.167B,,,182.00M,1.207B,1.389B,4.067B,,AOR,Restated
1999-12,616.00M,,616.00M,270.00M,,,270.00M,886.00M,509.00M,,,,25.46B,32.09B,37.04B,,,1.511B,,1.511B,1.511B,,,,,1.511B,1.018B,,1.018B,29.24B,361.00M,30.62B,33.17B,,32.00M,3.356B,310.00M,1.094B,,,,,1.264B,3.868B,,AOR,Restated
1999-09,,,,262.00M,,,262.00M,262.00M,493.00M,,,,,31.16B,35.22B,,,,,,,,,,,,1.079B,,1.079B,1.555B,335.00M,2.969B,31.45B,,32.00M,3.274B,300.00M,1.062B,,,,,,3.772B,,,
1999-06,,,,239.00M,,,239.00M,239.00M,449.00M,,,,,27.93B,31.60B,,,,,,,,,,,,1.028B,,1.028B,1.37B,304.00M,2.702B,27.95B,,32.00M,3.151B,252.00M,1.032B,,,,,,3.651B,,,
1999-03,,,,255.00M,,,255.00M,255.00M,450.00M,,,9.00M,,27.78B,31.35B,,,,,,,,,,,,573.00M,,573.00M,1.305B,306.00M,2.184B,27.49B,,32.00M,3.04B,241.00M,910.00M,,,,,,3.859B,,,
1998-12,374.00M,,374.00M,272.00M,,,272.00M,646.00M,466.00M,,,,21.74B,27.19B,31.22B,,,1.865B,,1.865B,1.865B,,,,,1.865B,596.00M,,596.00M,23.72B,309.00M,24.63B,27.45B,,32.00M,2.862B,235.00M,910.00M,,,,,1.551B,3.77B,,AOR,Restated
1998-09,,,,236.40M,,,236.40M,236.40M,372.00M,,,7.90M,,25.21B,28.37B,,,,,,,,,,,,502.10M,,502.10M,1.092B,270.60M,1.864B,24.80B,,31.80M,2.763B,228.20M,914.60M,,,,,,3.571B,,,
1998-06,,,,244.40M,,,244.40M,244.40M,367.30M,,,7.90M,,23.26B,26.31B,,,,,,,,,,,,522.60M,,522.60M,1.028B,263.90M,1.814B,22.77B,,31.70M,2.673B,222.30M,849.30M,,,,,,3.535B,,,
1998-03,,,,214.10M,,,214.10M,214.10M,380.80M,,,15.20M,,24.47B,27.53B,,,,,,,,,,,,511.20M,,511.20M,1.052B,277.80M,1.841B,24.07B,,15.90M,2.588B,232.40M,812.30M,,,,,,3.454B,,,
1997-12,,,,216.00M,,,216.00M,216.00M,386.00M,,,17.00M,,26.39B,29.45B,,,,,,,,7.00M,7.00M,7.00M,7.00M,516.00M,,516.00M,,277.00M,793.00M,26.02B,,,2.442B,,,,,,,,3.43B,,AOR,
1997-09,,,,231.70M,,,231.70M,231.70M,420.30M,,,15.80M,,26.67B,29.81B,,,,,,,,,,,,413.50M,,413.50M,1.075B,278.60M,1.767B,27.01B,,15.80M,2.362B,221.80M,665.10M,,,,,,2.794B,,,
1997-06,,,,229.60M,,,229.60M,229.60M,444.40M,,,16.50M,,26.93B,30.19B,,,,,,,,,,,,539.20M,,539.20M,1.099B,291.50M,1.93B,27.55B,,15.80M,2.281B,216.40M,600.50M,,,,,,2.644B,,,
1997-03,,,,217.10M,,,217.10M,217.10M,442.60M,60.40M,60.40M,16.80M,,24.16B,27.11B,,,,,,,,,,,,496.20M,,496.20M,1.010B,279.40M,1.785B,24.81B,,15.70M,1.994B,212.60M,589.90M,,,,,,2.297B,,,
1996-12,,,,227.00M,,,227.00M,227.00M,471.90M,60.90M,60.90M,20.80M,,21.96B,25.02B,,,,,,,,17.50M,17.50M,17.50M,17.50M,336.10M,,336.10M,,289.00M,625.10M,22.89B,,,1.918B,,,,,,,,2.126B,,AOR,
1996-09,,,,460.70M,,,460.70M,460.70M,505.40M,100.20M,100.20M,18.30M,,22.32B,25.59B,,,,,,,,,,,,370.50M,,370.50M,1.073B,283.50M,1.727B,23.56B,,15.70M,1.798B,204.90M,477.10M,,,,,,2.034B,,,
1996-06,,,,246.30M,,,246.30M,246.30M,516.60M,101.20M,101.20M,19.20M,,21.60B,24.67B,,,,,,,,,,,,413.00M,,413.00M,1.041B,289.10M,1.744B,22.64B,,15.70M,1.724B,203.20M,410.00M,,,,,,2.027B,,,
1996-03,,,,260.00M,,,260.00M,260.00M,534.00M,104.00M,104.00M,20.00M,,22.34B,25.38B,,,,,,,,,,,,436.00M,,436.00M,1.035B,297.00M,1.768B,23.29B,,16.00M,1.652B,201.00M,356.00M,,,220.00M,,220.00M,2.088B,,,
1995-12,,,,321.10M,,,321.10M,321.10M,552.10M,104.50M,104.50M,22.20M,,22.20B,25.34B,,,,,,,,,,,,327.30M,,327.30M,,301.50M,628.80M,23.20B,,,1.578B,,,,,,,,2.134B,,AOR,
1995-09,,,,325.20M,,,325.20M,325.20M,572.50M,106.70M,106.70M,21.50M,,21.81B,24.94B,,,,,,,,,,,,352.40M,,352.40M,1.056B,334.00M,1.742B,22.88B,,10.40M,1.507B,201.40M,341.90M,,,213.30M,,213.30M,2.060B,,,
1995-06,,,,356.30M,,,356.30M,356.30M,659.90M,107.70M,107.70M,23.50M,,24.10B,27.63B,,,,,,,,,,,,269.50M,,269.50M,1.152B,375.10M,1.796B,25.45B,,10.40M,1.431B,200.70M,223.80M,,,225.90M,,225.90M,2.181B,,,
1995-03,,,,333.60M,,,333.60M,333.60M,634.50M,108.80M,108.80M,24.10M,,21.26B,24.51B,,,,,,,,,,,,189.30M,,189.30M,1.059B,369.10M,1.617B,22.52B,,10.40M,1.351B,199.60M,151.60M,,,207.50M,,207.50M,1.985B,,,
1994-12,17.64M,330.92M,348.56M,303.70M,,0.048M,303.75M,652.31M,580.25M,109.86M,109.86M,25.10M,415.29M,17.34B,20.29B,,603.31M,1.392B,,1.996B,1.996B,,,,,1.996B,184.90M,,184.90M,15.67B,339.51M,16.19B,18.54B,,10.40M,1.277B,198.10M,135.78M,,,174.10M,228.84M,402.94M,1.752B,,AOR,
1994-09,,,,301.90M,,,301.90M,301.90M,584.40M,110.90M,110.90M,26.00M,,17.67B,20.53B,,,,,,,,,,,,210.10M,,210.10M,,322.60M,532.70M,18.79B,,10.40M,1.212B,197.20M,124.60M,,,175.10M,,175.10M,1.739B,,,
1994-06,,,,273.10M,,,273.10M,273.10M,579.40M,112.00M,112.00M,26.60M,,16.63B,19.40B,,,,,,,,,,,,205.80M,,205.80M,14.93B,,15.13B,17.69B,,10.30M,,,,,,,,,1.713B,,,
1994-03,,,,258.00M,,,258.00M,258.00M,387.60M,113.10M,113.10M,27.80M,,15.45B,18.02B,,,,,,,,,,,,166.30M,,166.30M,13.87B,,14.04B,16.30B,,10.40M,,,,,,,,,1.716B,,,
1993-12,,,,232.00M,,,232.00M,232.00M,361.00M,114.00M,114.00M,58.00M,,13.07B,15.44B,,,,,,,,15.00M,15.00M,15.00M,15.00M,107.00M,,107.00M,,303.00M,410.00M,14.08B,,10.00M,1.03B,196.00M,7.00M,,,123.00M,,123.00M,1.366B,,,
1993-09,,,,232.20M,,,232.20M,232.20M,375.80M,113.40M,113.40M,58.50M,,12.90B,15.27B,,,,,,,,,,,,137.90M,,137.90M,12.15B,,12.28B,13.93B,,,973.10M,,,,,,,,1.336B,,,
1993-06,,,,219.60M,,,219.60M,219.60M,371.50M,114.50M,114.50M,60.40M,,12.02B,14.34B,,,,,,,,,,,,142.90M,,142.90M,11.53B,,11.67B,13.07B,,,918.90M,,,,,,,,1.275B,,,
1993-03,,,,191.90M,,,191.90M,191.90M,331.70M,115.60M,115.60M,70.90M,,11.17B,13.25B,,,,,,,,,,,,128.90M,,128.90M,10.28B,,10.41B,12.08B,,,870.50M,,,,,,,,1.171B,,,
1992-12,,,,179.50M,,,179.50M,179.50M,223.20M,116.60M,116.60M,85.30M,,9.958B,11.90B,,,,,,,,59.40M,59.40M,59.40M,59.40M,66.40M,,66.40M,561.70M,263.50M,891.60M,10.82B,,,814.40M,,,,,,,,1.082B,,,
1992-09,,,,186.30M,,,186.30M,186.30M,224.40M,117.80M,117.80M,88.50M,,9.975B,11.91B,,,,,,,,,,,,129.00M,,129.00M,567.80M,256.50M,953.30M,10.87B,,,774.60M,,,,,,,,1.040B,,,
1992-06,,,,171.30M,,,171.30M,171.30M,217.50M,118.80M,118.80M,86.10M,,9.049B,10.87B,,,,,,,,,,,,132.00M,,132.00M,515.30M,242.70M,890.00M,9.878B,,,735.70M,,,,,,,,993.10M,,,
1992-03,,,,152.90M,,,152.90M,152.90M,208.40M,120.00M,120.00M,81.70M,,8.414B,10.10B,,,,,,,,,,,,137.50M,,137.50M,475.50M,236.10M,849.10M,9.139B,,,717.30M,,,,,,,,958.30M,,,
1991-12,,,,159.70M,,,159.70M,159.70M,132.00M,121.10M,121.10M,85.40M,,8.44B,10.14B,,,,,,,,62.80M,62.80M,62.80M,62.80M,76.00M,,76.00M,470.00M,240.60M,786.60M,9.221B,,,666.30M,,,,,,,,923.50M,,,
1991-09,,,,153.80M,,,153.80M,153.80M,128.50M,122.30M,122.30M,83.40M,,7.556B,9.124B,,,,,,,,,,,,144.90M,,144.90M,430.60M,218.20M,793.70M,8.244B,,,632.80M,,,,,,,,879.00M,,,
1991-06,,,,145.30M,,,145.30M,145.30M,128.60M,126.10M,126.10M,78.10M,,6.976B,8.445B,,,,,,,,,,,,149.10M,,149.10M,395.00M,207.40M,751.50M,7.603B,,,601.60M,,,,,,,,841.90M,,,
1991-03,,,,141.10M,,,141.10M,141.10M,128.90M,124.60M,124.60M,78.70M,,6.661B,8.076B,,,,,,,,,,,,153.90M,,153.90M,374.90M,206.70M,735.50M,7.263B,,,574.20M,,,,,,,,812.50M,,,
1990-12,,,,144.00M,,,144.00M,144.00M,132.40M,125.60M,125.60M,80.00M,,6.618B,8.035B,,,,,,,,66.30M,66.30M,66.30M,66.30M,91.50M,,91.50M,366.00M,208.50M,666.00M,7.244B,,,547.80M,,,,,,,,791.00M,,,
1990-09,,,,143.50M,,,143.50M,143.50M,132.00M,126.70M,126.70M,77.70M,,6.180B,7.527B,,,,,,,,,,,,163.10M,,163.10M,358.00M,196.00M,717.10M,6.766B,,,521.60M,,,,,,,,761.20M,,,
1990-06,,,,125.50M,,,125.50M,125.50M,126.70M,127.90M,127.90M,,,5.517B,6.718B,,,,,,,,,,,,166.00M,,166.00M,314.00M,180.60M,660.60M,5.983B,,,498.40M,,,,,,,,734.80M,,,
1990-03,,,,116.00M,,,116.00M,116.00M,122.50M,129.00M,129.00M,,,5.164B,6.303B,,,,,,,,,,,,178.40M,,178.40M,291.50M,178.10M,648.00M,5.591B,,,477.00M,,,,,,,,711.50M,,,
1989-12,,,,120.20M,,,120.20M,120.20M,124.70M,130.20M,130.20M,,,5.344B,6.515B,,,,,,,,106.70M,106.70M,106.70M,106.70M,107.20M,,107.20M,296.20M,184.20M,587.60M,5.813B,,,457.40M,,,,,,,,702.20M,,,
1989-09,,,,121.50M,,,121.50M,121.50M,128.10M,137.50M,137.50M,32.90M,,5.246B,6.398B,,,,,,,,,,,,209.90M,,209.90M,303.60M,180.80M,694.30M,5.715B,,,438.10M,,,,,,,,682.50M,,,
1989-06,,,,125.60M,,,125.60M,125.60M,143.50M,142.70M,142.70M,,,4.909B,6.002B,,,,,,,,,,,,211.00M,,211.00M,282.30M,171.20M,664.50M,5.342B,,,419.80M,,,,,,,,660.70M,,,
1989-03,,,,123.50M,,,123.50M,123.50M,147.40M,145.30M,145.30M,,,5.050B,6.167B,,,,,,,,,,,,223.60M,,223.60M,289.10M,178.70M,691.40M,5.503B,,,423.20M,,,,,,,,663.60M,,,
1988-12,,,,,,,,,,,,,,,6.074B,,,,,,,,,,,,77.30M,,77.30M,,,77.30M,5.431B,,,400.20M,,,,,,,,642.40M,,,
1987-12,,,,,,,,,,,,,,,5.030B,,,,,,,,,,,,36.80M,,36.80M,,,36.80M,4.481B,,,311.50M,,,,,,,,549.10M,,,
1986-12,,,,,,,,,,,,,,,3.302B,,,,,,,,,,,,24.00M,,24.00M,,,24.00M,2.856B,,,227.50M,,,,,,,,446.10M,,,
1985-12,,,,,,,,,,,,,,,2.271B,,,,,,,,,,,,40.50M,,40.50M,,,40.50M,1.932B,,,143.30M,,,,,,,,339.60M,,,
1984-12,,,,,,,,,,,,,,,1.592B,,,,,,,,,,,,16.00M,,16.00M,,,16.00M,1.317B,,,103.00M,,,,,,,,274.10M,,,
