,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2006-03,22.02M,,,2.575M,16.48M,0.07M,16.55M,16.55M,,,,,,18.22M,-7.373M,-12.21M,,-19.39M,-54.55M,-75.30M,-0.58M,,2006-03,-9.238M,,-9.238M,,12.50M,,,,2006-03,,,-39.84M,14.83M,-116.39M,-101.56M,,-9.116M,,3.044M,,2006-03,502.26M,-178.95M,321.84M,,2006-03,14.83M,,,-116.39M,2006-03,,
2005-12,-14.03M,,,2.679M,15.88M,48.88M,64.76M,64.76M,,,,,7.90M,-7.776M,1.863M,20.43M,,-1.613M,,12.91M,8.937M,,2005-12,-8.852M,366.58M,357.73M,,-2.683M,-6.956M,,,2005-12,,,-65.82M,10.12M,,-14.28M,,-9.086M,,-5.488M,,2005-12,166.06M,337.39M,502.26M,,2005-12,10.12M,,,,2005-12,,
2005-09,34.40M,,,-1.055M,16.84M,4.785M,21.62M,21.62M,,,,,-12.91M,-6.829M,0.147M,2.976M,,-11.48M,,-15.19M,-3.657M,,2005-09,-6.595M,3.135M,-3.46M,,-8.306M,6.956M,,,2005-09,,,4.20M,5.294M,,5.294M,,-9.10M,,-4.125M,,2005-09,158.73M,6.91M,166.06M,,2005-09,5.294M,,,,2005-09,,
2005-06,30.56M,,,-5.968M,16.97M,2.903M,19.87M,19.87M,,,,,5.008M,6.402M,3.969M,2.263M,,21.38M,,34.02M,3.325M,,2005-06,-4.679M,5.686M,1.007M,,6.556M,,,,2005-06,,,-104.66M,1.333M,,1.333M,,-9.073M,,,,2005-06,184.21M,-20.36M,158.73M,,2005-06,1.333M,,,,2005-06,,
2005-03,15.60M,,,1.115M,17.31M,0.818M,18.13M,18.13M,,,,,,-2.231M,-6.302M,-2.429M,,-16.45M,,-27.41M,6.056M,,2005-03,-4.925M,0.572M,-4.353M,,-13.14M,,,,2005-03,,,-0.418M,2.643M,,2.643M,,-9.037M,,,,2005-03,197.51M,-10.41M,184.21M,,2005-03,2.643M,,,,2005-03,,
2004-12,31.39M,,,-2.608M,16.86M,3.229M,20.09M,20.09M,,,,,,-1.051M,3.752M,13.69M,,-22.49M,,-6.098M,6.298M,,2004-12,-5.536M,0.425M,-5.111M,,0.00,,,,2004-12,,,-99.84M,10.36M,,10.36M,,-8.967M,,,,2004-12,220.04M,-34.90M,197.51M,,2004-12,10.36M,,,,2004-12,,
2004-09,10.38M,,,-4.315M,12.65M,1.309M,13.96M,13.96M,,,,,,8.126M,3.783M,-3.697M,,-4.203M,,4.009M,22.63M,,2004-09,-2.022M,1.386M,-0.636M,,0.00,,,,2004-09,,,-14.67M,-0.684M,,-0.684M,,-8.968M,,,,2004-09,196.73M,21.02M,220.04M,,2004-09,-0.684M,,,,2004-09,,
2004-06,21.33M,,,6.412M,18.60M,1.35M,19.96M,19.96M,,,,,,5.542M,5.12M,-12.47M,,12.55M,,10.74M,-1.908M,,2004-06,-4.963M,0.00,-4.963M,,2.765M,,,,2004-06,,,-14.99M,1.703M,,1.703M,,-8.942M,,,,2004-06,165.47M,32.40M,196.73M,,2004-06,1.703M,,,,2004-06,,
2004-03,12.78M,,,1.603M,19.48M,2.211M,21.69M,21.69M,,,,,,5.334M,-7.03M,-11.97M,,3.388M,,-10.28M,0.757M,,2004-03,-3.297M,2.056M,-1.241M,,,,,,2004-03,,,-45.46M,3.658M,,3.658M,,-8.904M,,,,2004-03,191.50M,-25.40M,165.47M,,2004-03,3.658M,,,,2004-03,,
2003-12,22.71M,,,9.761M,22.14M,1.386M,23.52M,23.52M,,,,,,-13.29M,13.78M,9.523M,,19.61M,,29.63M,7.662M,,2003-12,-6.353M,2.068M,-4.285M,,0.00,,0.846M,,2003-12,,,-20.54M,1.262M,,1.262M,,-8.878M,,-2.66M,,2003-12,141.32M,43.65M,191.50M,,2003-12,1.262M,,,,2003-12,,
2003-09,16.22M,,,4.351M,19.47M,2.066M,21.54M,21.54M,,,,,,5.078M,-1.582M,0.398M,,-15.23M,,-11.34M,-2.104M,,2003-09,-2.915M,0.00,-2.915M,,0.534M,,154.45M,,2003-09,,,-176.38M,1.738M,,1.738M,,-8.871M,,-1.725M,,2003-09,144.62M,-3.352M,141.32M,,2003-09,1.738M,,,,2003-09,,
2003-06,10.71M,,,-3.581M,19.74M,3.313M,23.06M,23.06M,,,,,,14.23M,14.56M,5.514M,,-27.98M,,6.319M,0.34M,,2003-06,-4.818M,3.295M,-1.523M,,,,-1.883M,,2003-06,,,-16.61M,0.617M,,0.617M,,-8.827M,,,,2003-06,129.78M,8.87M,144.62M,,2003-06,0.617M,,,,2003-06,,
2003-03,3.322M,,,0.12M,18.80M,2.866M,21.67M,21.67M,,,,,,37.34M,1.406M,-14.71M,,-26.24M,,-2.204M,1.164M,,2003-03,-3.461M,,-3.461M,,,,34.06M,,2003-03,,,-48.65M,,,,,-8.833M,,,,2003-03,130.62M,-2.819M,129.78M,,2003-03,,,,,2003-03,,
2002-12,-147.10M,,,149.55M,20.73M,3.837M,24.57M,24.57M,,,,,,-3.544M,19.40M,3.286M,,36.35M,,55.50M,-0.25M,,2002-12,-36.07M,0.14M,-35.93M,,16.70M,-3.242M,,,2002-12,,,211.59M,4.989M,-4.289M,0.70M,,-8.843M,,,,2002-12,97.55M,28.69M,130.62M,,2002-12,4.989M,,,-4.289M,2002-12,,
2002-09,14.90M,,,1.334M,22.30M,5.239M,27.54M,27.54M,,,,,,14.16M,1.191M,65.98M,,-58.37M,17.80M,40.76M,-13.60M,,2002-09,-8.941M,6.884M,-2.057M,,-2.90M,0.858M,,,2002-09,,,-111.44M,5.336M,0.00,5.336M,,-8.842M,,,,2002-09,143.34M,-44.66M,97.55M,,2002-09,5.336M,,,0.00,2002-09,,
2002-06,9.823M,,,3.614M,15.95M,5.239M,21.19M,21.19M,,,,,,5.302M,6.847M,-18.04M,,-4.119M,-13.52M,-23.53M,0.506M,,2002-06,-8.218M,101.89M,93.68M,,-18.83M,0.675M,,,2002-06,,,-121.80M,2.052M,4.168M,6.22M,,-8.801M,,,,2002-06,170.44M,-40.40M,143.34M,,2002-06,2.052M,,,4.168M,2002-06,,
2002-03,-29.56M,,,-7.313M,17.60M,5.216M,22.81M,22.81M,,,,,,19.36M,20.79M,-37.38M,,-22.11M,-4.284M,-23.62M,6.594M,,2002-03,-14.59M,17.06M,2.466M,,-17.48M,1.709M,,,2002-03,,,90.32M,6.674M,-5.804M,0.87M,,-8.793M,,,,2002-03,138.25M,32.50M,170.44M,,2002-03,6.674M,,,-5.804M,2002-03,,
2001-12,-54.64M,,,44.48M,18.58M,-11.71M,6.869M,6.869M,,,,,,10.66M,2.259M,33.79M,,1.764M,,38.61M,22.87M,,2001-12,-15.90M,107.02M,91.11M,,61.87M,-3.637M,,,2001-12,,,-213.53M,17.82M,0.387M,18.20M,,-7.118M,,,,2001-12,128.40M,15.38M,139.52M,,2001-12,17.82M,,,0.387M,2001-12,,
2001-09,36.24M,,,-13.13M,18.25M,5.455M,23.71M,23.71M,,,,,2.50M,-7.239M,-10.27M,17.81M,,-14.93M,5.298M,-9.329M,-11.89M,,2001-09,-29.60M,4.226M,-25.38M,,0.00,5.199M,,,2001-09,,,-4.951M,4.33M,-1.466M,2.864M,,-7.095M,,,,2001-09,132.26M,-12.80M,128.40M,,2001-09,4.33M,,,-1.466M,2001-09,,
2001-06,29.41M,,,-0.985M,21.36M,4.946M,26.31M,26.31M,,,,,-2.50M,4.793M,-8.524M,-9.193M,,-8.543M,-4.845M,-26.31M,1.35M,,2001-06,-27.40M,2.218M,-25.18M,,-5.102M,5.38M,,,2001-06,,,1.483M,8.959M,0.088M,9.047M,,-7.066M,,,,2001-06,136.66M,1.637M,132.26M,,2001-06,8.959M,,,0.088M,2001-06,,
2001-03,23.50M,,,-3.223M,22.30M,5.072M,27.38M,27.38M,,,,,,5.757M,-22.97M,-10.43M,,-9.803M,-0.453M,-37.90M,,,2001-03,-15.79M,0.356M,-15.44M,,-11.31M,-6.942M,,,2001-03,,,40.00M,8.368M,-0.793M,7.575M,,-7.015M,,,,2001-03,125.55M,15.28M,136.66M,,2001-03,8.368M,,,-0.793M,2001-03,,
2000-12,36.62M,,,3.166M,-46.76M,-3.447M,37.51M,37.51M,,,,,-0.001M,-21.70M,-6.011M,41.11M,,-0.436M,43.88M,32.90M,-47.94M,,2000-12,-34.04M,62.85M,28.82M,,13.34M,-5.149M,-2.338M,,2000-12,,,-108.42M,15.30M,-0.043M,15.26M,,-6.939M,,,,2000-12,132.90M,-10.04M,125.55M,,2000-12,15.30M,,,-0.043M,2000-12,,
2000-09,2.08M,,,-0.009M,46.76M,3.447M,13.92M,13.92M,,,,,0.001M,-3.925M,8.20M,-21.33M,,-10.36M,0.958M,-26.46M,57.14M,,2000-09,-7.324M,0.44M,-6.884M,,-410.72M,-0.082M,-0.004M,,2000-09,,,408.59M,10.42M,-0.06M,10.36M,,-6.97M,,,,2000-09,107.23M,30.58M,132.90M,,2000-09,10.42M,,,-0.06M,2000-09,,
2000-06,35.57M,,,-8.58M,,,17.33M,17.33M,,,,,,12.85M,-8.777M,17.37M,,-18.29M,-14.00M,-10.84M,-7.864M,,2000-06,-14.49M,1.189M,-13.30M,,,-0.219M,-12.13M,,2000-06,,,-7.444M,2.174M,-10.13M,-7.954M,,-6.877M,,,,2000-06,112.00M,-5.063M,107.23M,,2000-06,2.174M,,,-10.13M,2000-06,,
2000-03,16.24M,,,-0.354M,,,18.96M,18.96M,,,,,,8.519M,-16.79M,-11.88M,,-2.355M,,-22.51M,-1.34M,,2000-03,-14.74M,23.30M,8.553M,,,-15.01M,13.70M,,2000-03,,,-41.72M,19.01M,-0.358M,18.66M,,-6.747M,,,,2000-03,126.65M,-11.57M,112.00M,,2000-03,19.01M,,,-0.358M,2000-03,,
1999-12,32.80M,,,-6.70M,,,13.90M,13.90M,9.50M,,,,0.10M,-24.50M,1.00M,53.50M,-11.00M,-12.80M,,6.20M,6.60M,,1999-12,-22.20M,4.60M,-17.60M,,,6.10M,-75.30M,,1999-12,,,62.50M,8.10M,0.00,8.10M,,-6.50M,,0.10M,,1999-12,88.40M,39.80M,126.70M,,1999-12,8.10M,,,0.00,1999-12,,
1999-09,103.80M,,,-89.40M,,,22.50M,22.50M,-10.30M,,,,-0.40M,-16.00M,4.30M,8.20M,13.40M,0.40M,,10.30M,-21.70M,,1999-09,-10.20M,0.00,-10.20M,,,,238.20M,,1999-09,,,-211.30M,5.60M,-0.80M,4.80M,,-6.40M,,,,1999-09,58.50M,29.90M,88.40M,,1999-09,5.60M,,,-0.80M,1999-09,,
1999-06,3.613M,,,7.798M,,,14.30M,14.30M,0.80M,,,,0.20M,-17.72M,4.20M,25.45M,-19.00M,-0.381M,,-7.454M,9.366M,,1999-06,-302.74M,24.17M,-278.58M,,3.843M,1.382M,-2.231M,,1999-06,,,194.60M,10.90M,-0.20M,10.70M,,-6.30M,,-0.10M,,1999-06,106.30M,-48.06M,58.50M,,1999-06,10.90M,,,-0.20M,1999-06,,
1999-03,14.09M,,,-6.098M,,,15.40M,15.40M,,,,,,3.819M,2.60M,-24.45M,,-8.219M,,-26.25M,12.83M,,1999-03,-8.256M,2.831M,-5.425M,,-3.843M,-1.382M,1.131M,,1999-03,,,13.70M,4.30M,,4.30M,,-6.30M,,0.10M,,1999-03,95.60M,12.26M,106.30M,,1999-03,4.30M,,,,1999-03,,
1998-12,20.40M,,,-4.20M,,,14.70M,14.70M,1.90M,,,,0.10M,-11.50M,10.60M,32.20M,-21.20M,-4.80M,,5.30M,-18.90M,,1998-12,-176.20M,0.90M,-175.30M,,,7.60M,-8.30M,,1998-12,,,75.60M,5.40M,0.00,5.40M,,-6.20M,,-0.20M,,1998-12,178.60M,-82.10M,95.60M,,1998-12,5.40M,,,0.00,1998-12,,
1998-09,15.50M,,,-8.90M,,,11.40M,11.40M,-1.90M,,,,-0.10M,7.30M,-1.20M,-21.20M,1.10M,1.10M,,-12.90M,10.90M,,1998-09,-14.10M,4.60M,-9.50M,,,,5.70M,,1998-09,,,23.00M,2.00M,-29.80M,-27.80M,,-6.50M,,0.10M,,1998-09,0.00,-1.00M,178.60M,,1998-09,2.00M,,,-29.80M,1998-09,,
1998-06,31.60M,,,-82.30M,,,10.20M,10.20M,,,,,0.20M,13.70M,3.10M,-5.10M,-12.20M,30.50M,,30.00M,36.60M,,1998-06,-53.40M,96.60M,43.20M,,,-2.10M,0.50M,,1998-06,,,-0.40M,13.40M,0.00,13.40M,,-6.30M,,0.40M,,1998-06,0.00,75.00M,0.00,,1998-06,13.40M,,,0.00,1998-06,,
