,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2006-12,191.06M,191.06M,268.46M,268.46M,67.01M,10.08M,106.17M,183.26M,,101.99M,744.77M,0.00,18.78M,160.70M,345.66M,,525.13M,-342.94M,182.20M,1.118B,404.02M,1.522B,,,61.62M,1.766B,2.510B,,2006-12,152.84M,321.72M,474.55M,,1.153M,1.153M,,,0.826M,476.53M,151.78M,,151.78M,,,304.28M,456.06M,932.59M,,2006-12,123.26M,1.040B,407.34M,-64.12M,6.94M,1.578B,,2006-12
2006-09,207.07M,207.07M,253.19M,253.19M,67.22M,12.07M,102.83M,182.12M,,73.84M,716.22M,,,,,,517.61M,-336.03M,181.58M,1.102B,412.02M,1.514B,,,89.21M,1.785B,2.501B,,2006-09,142.64M,287.58M,430.22M,,1.142M,1.142M,,,0.909M,432.27M,201.13M,,201.13M,,,311.22M,512.35M,944.62M,,2006-09,122.92M,1.007B,400.01M,,26.63M,1.557B,,2006-09
2006-06,323.76M,323.76M,233.45M,233.45M,63.46M,11.06M,99.13M,173.66M,,77.56M,808.42M,,,,,,507.64M,-327.93M,179.71M,1.067B,383.41M,1.450B,,,97.48M,1.727B,2.536B,,2006-06,130.01M,285.93M,415.95M,,1.09M,1.09M,,,0.998M,418.03M,199.19M,,199.19M,,,317.36M,516.55M,934.58M,,2006-06,126.80M,985.94M,465.43M,,22.80M,1.601B,,2006-06
2006-03,321.84M,321.84M,235.27M,235.27M,63.77M,11.00M,96.47M,171.24M,,75.47M,803.82M,,,,,,496.38M,-317.53M,178.85M,1.032B,378.24M,1.410B,,,103.21M,1.692B,2.496B,,2006-03,135.83M,263.93M,399.77M,,1.09M,1.09M,,,1.476M,402.33M,206.62M,,206.62M,,,310.89M,517.51M,919.84M,,2006-03,126.52M,979.19M,458.77M,,11.77M,1.576B,,2006-03
2005-12,502.26M,502.26M,250.84M,250.84M,59.02M,9.606M,94.52M,163.15M,,82.63M,998.89M,0.00,19.51M,147.98M,316.96M,,484.45M,-307.08M,177.37M,1.026B,375.42M,1.402B,,,115.58M,1.695B,2.693B,,2005-12,146.97M,336.20M,483.17M,,1.131M,1.131M,,,10.24M,494.54M,243.28M,,243.28M,,,305.13M,548.41M,1.043B,,2005-12,130.11M,964.69M,556.73M,,-1.014M,1.651B,,2005-12
2005-09,166.06M,166.06M,247.60M,247.60M,63.69M,14.64M,90.30M,168.63M,,127.01M,709.30M,,,,,,487.70M,-307.37M,180.33M,,1.407B,1.407B,,,197.26M,1.784B,2.494B,,2005-09,127.92M,262.82M,390.74M,,5.85M,5.85M,,,47.45M,444.04M,268.39M,,268.39M,,,295.16M,563.55M,1.008B,,2005-09,130.32M,786.23M,561.56M,,8.00M,1.486B,,2005-09
2005-06,158.73M,158.73M,269.22M,269.22M,83.21M,19.04M,90.67M,192.92M,,75.18M,696.04M,,,,,,619.09M,-403.61M,215.48M,,1.470B,1.470B,,,111.07M,1.796B,2.492B,,2005-06,145.37M,314.61M,459.98M,,5.887M,5.887M,,,4.57M,470.44M,268.33M,,268.33M,,,295.95M,564.29M,1.035B,,2005-06,129.92M,763.50M,557.04M,,7.241M,1.458B,,2005-06
2005-03,184.21M,184.21M,286.71M,286.71M,86.08M,20.10M,95.12M,201.30M,,71.01M,743.23M,,,,,,637.06M,-406.41M,230.65M,,1.477B,1.477B,,,115.15M,1.823B,2.567B,,2005-03,146.51M,277.51M,424.02M,,9.663M,9.663M,,,0.045M,433.73M,364.76M,,364.76M,,,307.33M,672.09M,1.106B,,2005-03,129.57M,743.67M,552.47M,,34.98M,1.461B,,2005-03
2004-12,197.51M,197.51M,258.40M,258.40M,68.23M,13.11M,89.05M,170.38M,,121.33M,747.63M,0.00,21.00M,149.52M,319.29M,,489.81M,-293.06M,196.75M,,1.435B,1.435B,,,196.28M,1.828B,2.576B,,2004-12,127.20M,275.83M,403.02M,,9.714M,9.714M,,,33.23M,445.97M,364.87M,,364.87M,,,304.58M,669.46M,1.115B,,2004-12,129.06M,732.88M,545.00M,,53.15M,1.460B,,2004-12
2004-09,220.04M,220.04M,272.46M,272.46M,79.09M,18.78M,91.21M,189.08M,,95.56M,777.14M,,,,,,621.46M,-382.28M,239.18M,,1.434B,1.434B,,,108.78M,1.782B,2.559B,,2004-09,131.23M,304.84M,436.07M,,4.995M,4.995M,,,0.858M,441.92M,469.49M,,469.49M,,,257.61M,727.10M,1.169B,,2004-09,128.09M,703.92M,532.67M,,25.60M,1.390B,,2004-09
2004-06,196.73M,196.73M,273.92M,273.92M,79.46M,18.41M,91.74M,189.60M,,99.73M,759.99M,,,,,,619.71M,-372.63M,247.08M,,1.438B,1.438B,,,109.25M,1.794B,2.554B,,2004-06,129.92M,306.42M,436.35M,,4.945M,4.945M,,,0.54M,441.83M,484.43M,,484.43M,,,260.39M,744.82M,1.187B,,2004-06,145.10M,688.88M,685.88M,,16.16M,1.367B,,2004-06
2004-03,165.47M,165.47M,282.70M,282.70M,83.80M,18.67M,95.52M,198.00M,,98.36M,744.52M,,,,,,622.76M,-366.90M,255.86M,,1.450B,1.450B,,,110.69M,1.817B,2.561B,,2004-03,143.06M,297.42M,440.48M,,4.979M,4.979M,,,,445.46M,499.37M,,499.37M,,,261.67M,761.04M,1.206B,,2004-03,145.10M,676.98M,684.06M,,21.04M,1.355B,,2004-03
2003-12,191.50M,191.50M,288.03M,288.03M,80.88M,16.02M,91.70M,188.60M,,98.17M,766.30M,,,,,,618.65M,-352.29M,266.36M,,1.460B,1.460B,,,115.45M,1.841B,2.608B,,2003-12,154.26M,291.75M,446.01M,,5.167M,5.167M,,,0.846M,452.02M,544.31M,,544.31M,,,262.35M,806.65M,1.259B,,2003-12,145.10M,672.62M,681.55M,,27.41M,1.349B,,2003-12
2003-09,141.32M,141.32M,264.26M,264.26M,85.03M,17.81M,96.32M,199.16M,,167.36M,772.09M,,,,,,614.05M,-336.53M,277.52M,,1.446B,1.446B,,,93.93M,1.817B,2.589B,,2003-09,133.70M,309.26M,442.97M,,4.591M,4.591M,,,,447.56M,564.74M,,564.74M,,,278.39M,843.14M,1.291B,,2003-09,145.10M,653.56M,678.79M,,3.697M,1.299B,,2003-09
2003-06,144.62M,144.62M,269.82M,269.82M,81.38M,19.38M,96.42M,197.19M,154.86M,169.59M,936.09M,,,,,,618.94M,-327.22M,291.72M,,1.453B,1.453B,,,94.54M,1.839B,2.775B,,2003-06,131.02M,328.65M,459.67M,,161.60M,161.60M,,,,621.28M,584.48M,,584.48M,,,275.90M,860.39M,1.482B,,2003-06,145.10M,648.16M,678.84M,,5.655M,1.293B,,2003-06
2003-03,129.78M,129.78M,272.07M,272.07M,86.49M,20.96M,98.09M,205.54M,154.46M,166.46M,928.32M,,,,,,606.41M,-308.10M,298.31M,,1.435B,1.435B,,,90.65M,1.824B,2.753B,,2003-03,132.68M,332.58M,465.26M,,161.07M,161.07M,,,1.165M,627.49M,599.27M,,599.27M,,,267.41M,866.68M,1.494B,,2003-03,145.10M,648.60M,679.92M,,-25.40M,1.259B,,2003-03
2002-12,130.62M,130.62M,304.65M,304.65M,92.32M,38.84M,74.30M,205.46M,186.48M,164.14M,991.34M,0.00,26.23M,174.26M,397.56M,,598.05M,-294.03M,304.02M,,1.440B,1.440B,,,101.10M,1.845B,2.836B,,2002-12,146.29M,357.18M,503.46M,,191.49M,191.49M,,,2.718M,697.67M,614.05M,,614.05M,,,272.17M,886.22M,1.584B,,2002-12,145.10M,655.07M,679.93M,,-37.76M,1.252B,,2002-12
2002-09,97.55M,97.55M,294.65M,294.65M,84.56M,45.14M,91.84M,221.54M,,178.67M,792.40M,,,,,,556.28M,-280.01M,276.27M,,1.447B,1.447B,,,83.95M,1.807B,2.599B,,2002-09,138.26M,377.67M,515.93M,,153.22M,153.22M,,,3.684M,672.83M,438.79M,,438.79M,,,274.76M,713.55M,1.386B,,2002-09,145.10M,666.26M,644.19M,,-45.02M,1.213B,,2002-09
2002-06,143.34M,143.34M,284.63M,284.63M,71.43M,42.56M,92.37M,206.36M,,229.41M,863.74M,,,,,,429.04M,-186.07M,242.97M,,1.377B,1.377B,,,224.52M,1.845B,2.709B,,2002-06,117.69M,343.99M,461.68M,,99.90M,99.90M,,,39.40M,600.97M,606.54M,,606.54M,,,277.66M,884.19M,1.485B,,2002-06,145.10M,667.79M,644.22M,,-35.79M,1.223B,,2002-06
2002-03,170.44M,170.44M,277.35M,277.35M,78.20M,47.36M,93.55M,219.10M,,344.02M,1.011B,,,,,,430.06M,-175.53M,254.53M,,1.518B,1.518B,,,111.06M,1.883B,2.894B,,2002-03,119.97M,374.32M,494.28M,,221.64M,221.64M,,,,715.92M,602.29M,,602.29M,,,253.39M,855.67M,1.572B,,2002-03,145.10M,803.67M,644.58M,,-65.29M,1.323B,,2002-03
2001-12,138.25M,138.25M,319.06M,319.06M,76.08M,60.87M,107.88M,244.84M,,241.20M,943.36M,,,,,,530.33M,-247.70M,282.62M,,1.530B,1.530B,,,213.90M,2.027B,2.970B,,2001-12,128.95M,479.28M,608.24M,,125.98M,125.98M,,,20.81M,755.04M,598.12M,,598.12M,,,253.22M,851.35M,1.606B,,2001-12,145.10M,842.00M,641.16M,,-60.94M,1.364B,,2001-12
2001-09,128.40M,128.40M,291.69M,291.69M,65.34M,44.64M,123.69M,233.67M,,364.76M,1.019B,,,,,,465.83M,-190.16M,275.67M,,872.09M,872.09M,,,102.77M,1.251B,2.269B,,2001-09,111.81M,291.85M,403.66M,,223.60M,223.60M,,,,627.27M,593.91M,,593.91M,,,235.29M,829.20M,1.456B,,2001-09,122.91M,898.72M,55.14M,,-48.16M,812.58M,,2001-09
2001-06,132.26M,132.26M,313.22M,313.22M,74.74M,57.67M,104.21M,236.62M,,277.72M,959.83M,,,,,,554.50M,-268.35M,286.15M,,911.28M,911.28M,,,114.80M,1.312B,2.272B,,2001-06,102.62M,316.20M,418.82M,,228.94M,228.94M,,,32.08M,679.84M,589.76M,,589.76M,,,229.20M,818.96M,1.499B,,2001-06,122.91M,874.78M,52.26M,,-59.18M,773.26M,,2001-06
2001-03,136.66M,136.66M,349.47M,349.47M,88.27M,60.29M,101.36M,249.92M,,217.73M,953.77M,0.00,25.73M,147.22M,388.44M,,561.39M,-284.92M,276.47M,,943.99M,943.99M,,,108.90M,1.329B,2.283B,,2001-03,155.33M,342.64M,497.97M,,228.30M,228.30M,,,,726.28M,585.66M,,585.66M,,,232.03M,817.69M,1.544B,,2001-03,61.45M,852.43M,106.21M,,-57.83M,739.16M,,2001-03
2000-12,125.55M,125.55M,292.71M,292.71M,55.74M,30.80M,103.98M,190.53M,,317.12M,925.91M,,,,,,424.14M,-187.38M,236.77M,,886.57M,886.57M,,,139.09M,1.262B,2.188B,,2000-12,118.17M,344.34M,462.51M,,183.11M,183.11M,,,,645.62M,583.34M,,583.34M,,,230.99M,814.32M,1.460B,,2000-12,122.91M,835.92M,37.06M,,-39.04M,728.39M,,2000-12
2000-09,132.89M,132.89M,,359.25M,,,,233.59M,,161.22M,886.95M,,,,,,556.41M,-274.81M,281.60M,,969.39M,969.39M,,,117.50M,1.368B,2.255B,,2000-09,118.25M,,118.25M,,294.80M,294.80M,,,389.42M,802.46M,579.32M,,579.32M,,,195.45M,774.77M,1.577B,,2000-09,61.74M,806.23M,84.15M,,-35.16M,678.21M,,2000-09
2000-06,109.27M,109.27M,,324.56M,,,,227.91M,,158.86M,820.60M,,,,,,497.53M,-270.44M,227.09M,,637.96M,637.96M,,,106.69M,971.74M,1.792B,,2000-06,116.18M,,116.18M,,335.40M,335.40M,,,354.73M,806.31M,114.85M,,114.85M,,,197.20M,312.05M,1.118B,,2000-06,61.74M,811.12M,70.58M,,-25.33M,673.98M,,2000-06
2000-03,112.00M,112.00M,,337.14M,,,,220.52M,,146.84M,816.51M,,,,,,487.05M,-261.39M,225.66M,,615.39M,615.39M,,,95.06M,936.11M,1.753B,,2000-03,124.42M,,124.42M,,340.19M,340.19M,,,319.51M,784.12M,114.85M,,114.85M,,,202.29M,317.14M,1.101B,,2000-03,61.74M,782.43M,70.38M,,-24.76M,651.36M,,2000-03
1999-12,126.70M,126.70M,346.20M,346.20M,,,,201.70M,,140.50M,815.10M,,,,,,496.30M,-268.30M,228.00M,,592.40M,592.40M,,,79.10M,899.50M,1.715B,,1999-12,152.90M,,152.90M,,382.20M,382.20M,,,317.40M,852.50M,114.90M,,114.90M,,,196.40M,311.30M,1.164B,,1999-12,60.10M,762.00M,,,-14.00M,550.80M,,1999-12
1999-09,88.40M,88.40M,,322.00M,,,,187.90M,,133.40M,731.70M,,,,,,496.70M,-266.80M,229.90M,,621.60M,621.60M,,,81.80M,933.30M,1.665B,,1999-09,133.20M,,133.20M,,319.70M,319.70M,,,395.40M,848.30M,115.00M,,115.00M,,,184.80M,299.80M,1.148B,,1999-09,60.10M,727.00M,,,-3.40M,516.90M,,1999-09
1999-06,58.50M,58.50M,,304.60M,,,,198.70M,,156.00M,717.80M,,,,,,490.90M,-257.40M,233.50M,,615.20M,615.20M,,,86.00M,934.70M,1.652B,,1999-06,135.10M,,135.10M,,530.90M,530.90M,,,298.80M,964.80M,115.00M,,115.00M,,,170.30M,285.30M,1.250B,,1999-06,,627.60M,,,,402.40M,,1999-06
1999-03,106.30M,106.30M,,225.80M,,,,124.40M,,109.10M,565.60M,,,,,,502.80M,-291.40M,211.40M,,307.00M,307.00M,,,83.10M,601.50M,1.167B,,1999-03,78.00M,,78.00M,,184.10M,184.10M,,,263.60M,525.70M,117.30M,,117.30M,,,123.90M,241.20M,766.90M,,1999-03,,631.40M,,,,400.20M,,1999-03
1998-12,95.60M,95.60M,,170.20M,,,,123.60M,,142.90M,532.30M,,,,,,491.70M,-273.00M,218.70M,,317.60M,317.60M,,,70.20M,606.50M,1.139B,,1998-12,73.40M,,73.40M,,157.90M,157.90M,,,253.20M,484.50M,129.80M,,129.80M,,,124.80M,254.60M,739.10M,,1998-12,60.10M,623.60M,,,3.70M,399.70M,,1998-12
1998-09,178.60M,178.60M,,210.40M,,,,107.40M,,68.00M,564.40M,,,,,,447.20M,-281.40M,165.80M,,115.00M,115.00M,,,79.20M,360.00M,924.40M,,1998-09,73.20M,,73.20M,,23.00M,23.00M,,,234.30M,330.50M,114.90M,,114.90M,,,101.60M,216.50M,547.00M,,1998-09,,605.30M,,,,377.40M,,1998-09
1998-06,177.60M,177.60M,,213.10M,,,,104.90M,,72.20M,567.80M,,,,,,439.10M,-280.10M,159.00M,,114.20M,114.20M,,,84.80M,358.00M,925.80M,,1998-06,72.10M,,72.10M,,,,,,247.80M,319.90M,114.90M,,114.90M,,,100.60M,215.50M,535.40M,,1998-06,,595.90M,,,,390.40M,,1998-06
