,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-12,1.224B,1.224B,736.49M,487.18M,286.78M,0.592M,10.63M,,,,,276.93M,210.25M,,,,16.18M,,197.79M,78.50M,119.29M,,,-4.987M,126.07M,112.88M,252.52M,42.27M,210.25M,,0.60,0.03,,,0.5680,0.63,,0.54,0.03,,,0.5110,0.57,,200.22M,220.90M,0.075,,,
2004-09,1.290B,1.290B,748.42M,541.47M,308.25M,1.664M,0.145M,,,,-0.139M,309.77M,231.70M,,,,5.693M,,218.73M,88.59M,130.14M,,,-4.893M,130.14M,130.06M,274.24M,42.54M,231.70M,,0.645,0.00,,,0.6446,0.645,,0.63,0.00,,,0.6296,0.63,,202.49M,206.54M,0.075,,,
2004-06,1.298B,1.298B,758.20M,539.48M,307.40M,2.058M,-1.223M,,,,,309.46M,230.02M,,,,4.174M,,212.83M,86.00M,126.83M,,,-5.019M,126.83M,127.56M,272.87M,42.85M,230.02M,,0.615,0.00,,,0.6186,0.615,,0.60,0.00,,,0.6035,0.60,,206.02M,210.79M,0.075,,,
2004-03,1.256B,1.256B,737.28M,518.46M,307.54M,2.064M,1.226M,,,,-0.027M,309.58M,208.88M,,,,5.783M,,195.54M,79.39M,116.15M,,,-4.454M,116.15M,115.41M,249.95M,41.07M,208.88M,,0.565,0.00,,,0.5614,0.565,,0.54,0.00,,,0.5366,0.54,,206.28M,217.20M,0.075,,,
2003-12,1.204B,1.204B,706.22M,497.78M,298.03M,2.055M,0.033M,,,,0.697M,300.78M,197.00M,,,,4.491M,,182.85M,74.60M,108.24M,,,-4.805M,108.24M,108.23M,237.41M,40.40M,197.00M,,0.48,0.04,,,0.4799,0.52,,0.44,0.03,,,0.4399,0.47,,208.15M,229.96M,0.15,,,
2003-09,1.221B,1.221B,711.18M,510.04M,292.41M,2.055M,1.888M,,,,-1.95M,292.52M,217.52M,,,,6.259M,,202.75M,82.73M,120.02M,,,-4.607M,120.02M,118.89M,256.05M,38.53M,217.52M,,0.575,0.00,,,0.5696,0.575,,0.56,0.00,,,0.5547,0.56,,209.57M,214.56M,,,,
2003-06,1.220B,1.220B,703.12M,516.81M,296.06M,2.068M,6.005M,,,,,298.13M,218.68M,,,,6.005M,,203.40M,82.99M,120.41M,,,-4.415M,120.41M,116.81M,256.95M,38.27M,218.68M,,0.575,0.00,,,0.5579,0.575,,0.56,0.00,,,0.5433,0.56,,210.10M,215.35M,,,,
2003-03,1.093B,1.093B,648.10M,444.70M,279.20M,2.023M,3.028M,,,,,281.22M,163.48M,,,,3.028M,,148.79M,60.76M,88.04M,,,-3.803M,88.04M,86.22M,200.18M,36.70M,163.48M,,0.44,0.00,,,0.4309,0.44,,0.43,0.00,,,0.4211,0.43,,200.07M,204.91M,,,,
2002-12,1.034B,1.034B,619.32M,414.45M,267.03M,2.13M,8.036M,,,,,269.16M,145.29M,,,,8.036M,,137.24M,55.54M,81.70M,,,-3.393M,81.70M,76.88M,179.98M,34.69M,145.29M,,0.42,0.00,,,0.3952,0.42,,0.41,0.00,,,0.3858,0.41,,194.20M,199.27M,,,,
2002-09,1.059B,1.059B,625.08M,433.64M,272.59M,2.023M,4.165M,,,,,274.61M,159.03M,,,,4.165M,,146.14M,59.53M,86.62M,,,-3.661M,86.62M,84.12M,191.91M,32.88M,159.03M,,0.445,0.00,,,0.4321,0.445,,0.435,0.00,,,0.4225,0.435,,193.80M,199.42M,,,,
2002-06,1.069B,1.069B,630.26M,438.55M,276.82M,2.065M,5.66M,,,,,278.89M,159.67M,,,,5.66M,,146.47M,59.32M,87.15M,,,-3.938M,87.15M,83.76M,193.17M,33.50M,159.67M,,0.45,0.00,,,0.4324,0.45,,0.435,0.00,,,0.4181,0.435,,192.79M,200.59M,,,,
2002-03,946.76M,946.76M,557.74M,389.02M,258.40M,2.155M,0.614M,,,,,260.56M,128.47M,,,,0.614M,,112.52M,45.83M,66.69M,,,-3.882M,66.69M,66.32M,158.78M,30.31M,128.47M,,0.35,0.00,,,0.3481,0.35,,0.335,0.00,,,0.3331,0.335,,190.84M,198.61M,,,,
2001-12,910.44M,910.44M,537.57M,372.87M,258.36M,11.43M,-42.66M,,,,,269.78M,103.08M,,,,-31.90M,,55.52M,26.19M,29.33M,,,-3.11M,50.94M,54.93M,142.81M,39.73M,103.08M,,0.275,-0.005,,,0.4093,0.27,,0.255,-0.005,,,0.3841,0.26,,190.55M,198.25M,,,,
2001-09,903.19M,903.19M,535.56M,367.62M,251.05M,11.44M,2.437M,,,,,262.49M,105.14M,,,,2.437M,,89.89M,39.76M,50.12M,,,-2.876M,50.12M,48.66M,142.23M,37.10M,105.14M,,0.27,0.00,,,0.2622,0.27,,0.255,0.00,,,0.2475,0.255,,186.76M,196.09M,,,,
2001-06,931.59M,931.59M,549.39M,382.20M,256.47M,12.14M,-4.565M,,,,,268.61M,113.58M,,,,-4.565M,,85.71M,38.61M,47.10M,,-21.61M,-2.851M,25.50M,49.84M,150.22M,36.64M,113.58M,,0.255,-0.115,0.00,,0.2698,0.14,,0.24,-0.115,-0.1167,,0.2541,0.13,,185.13M,194.61M,,,,
2001-03,882.55M,882.55M,529.06M,353.49M,252.80M,11.10M,-0.298M,,,,,263.90M,89.59M,,,,-0.298M,,65.47M,29.72M,35.75M,,,-1.116M,35.75M,35.93M,123.85M,34.26M,89.59M,,0.195,0.00,,,0.1960,0.195,,0.185,0.00,,,0.1859,0.185,,183.78M,193.24M,,,,
2000-12,836.33M,836.33M,496.38M,339.95M,247.54M,,-6.756M,,,,,263.47M,76.48M,,,,-6.756M,,53.55M,25.29M,28.26M,,,,25.36M,32.31M,92.41M,15.92M,76.48M,,0.155,-0.015,,,0.1773,0.14,,0.145,-0.015,,,0.1659,0.13,,181.43M,194.00M,,,,
2000-09,850.24M,850.24M,474.23M,376.01M,251.22M,,2.803M,,,,,293.22M,82.79M,,,,2.803M,,54.02M,25.31M,28.71M,,,-2.11M,28.71M,27.03M,124.79M,42.00M,82.79M,,0.16,0.00,,,0.1507,0.16,,0.15,0.00,,,0.1412,0.15,,179.89M,191.54M,,,,
2000-06,877.11M,877.11M,489.20M,387.91M,252.85M,,-0.219M,,,,,296.04M,91.88M,,,,-0.219M,,58.21M,28.04M,30.17M,,,-3.24M,30.17M,30.30M,135.06M,43.19M,91.88M,,0.17,0.00,,,0.1707,0.17,,0.16,0.00,,,0.1607,0.16,,178.31M,187.92M,,,,
2000-03,857.48M,857.48M,507.79M,349.69M,249.84M,,0.428M,,,,,283.02M,66.67M,,,,0.428M,,35.20M,17.39M,17.81M,,,-2.136M,17.81M,17.55M,99.85M,33.18M,66.67M,,0.10,0.00,,,0.0985,0.10,,0.0975,0.00,,,0.0961,0.0975,,176.52M,182.46M,,,,
1999-12,814.50M,814.50M,536.00M,278.50M,192.00M,,-41.20M,,,,,225.60M,52.90M,,,,-41.20M,,-18.60M,-4.10M,-14.50M,,,,-14.50M,17.62M,86.50M,33.60M,52.90M,,-0.1125,0.0025,,0.0006,0.0985,-0.11,,-0.1125,0.0025,,0.0006,0.0985,-0.11,,152.24M,152.24M,,,,
1999-09,614.80M,614.80M,353.10M,261.70M,192.70M,,-31.50M,,,,,216.80M,44.90M,,,,-31.50M,,-5.60M,1.70M,-7.30M,,,,-9.40M,11.60M,69.00M,24.10M,44.90M,,-0.05,-0.015,,-0.0145,0.0807,-0.065,,-0.05,-0.015,,-0.0145,0.0807,-0.065,,144.62M,144.62M,,,,
1999-06,394.03M,394.03M,214.30M,179.73M,131.60M,,-2.00M,,,,,148.20M,31.53M,,,,-2.00M,,24.50M,11.40M,13.10M,,,,13.10M,14.30M,48.15M,16.62M,31.53M,,0.11,0.00,,,0.1201,0.11,,0.1075,0.00,,,0.1173,0.1075,,119.09M,121.86M,,,,
1999-03,381.84M,381.84M,226.02M,155.82M,116.60M,,-0.172M,,,,,133.08M,22.74M,,,,-0.172M,,14.08M,6.645M,7.433M,,,-1.13M,7.433M,7.536M,39.22M,16.48M,22.74M,,0.0625,0.00,,,0.0634,0.0625,,0.06,0.00,,,0.0609,0.06,,118.86M,121.12M,,,,
1998-12,363.30M,363.30M,202.60M,160.70M,122.20M,,-4.50M,,,,,139.30M,21.40M,,,,-4.50M,,10.00M,4.60M,5.40M,,,,5.40M,8.10M,38.50M,17.10M,21.40M,,0.045,0.00,,,0.0675,0.045,,0.045,0.00,,,0.0675,0.045,,119.89M,120.22M,,,,
1998-09,360.70M,360.70M,199.20M,161.50M,122.80M,,-1.10M,,,,,140.00M,21.50M,,,,-1.10M,,12.10M,6.00M,6.10M,,,,6.10M,6.76M,38.70M,17.20M,21.50M,,0.05,0.00,,,0.0554,0.05,,0.05,0.00,,,0.0554,0.05,,122.00M,122.00M,,,,
1998-06,366.70M,366.70M,206.00M,160.70M,116.10M,,-0.10M,,,,,133.30M,27.40M,,,,-0.10M,,18.30M,9.40M,8.90M,,,,8.90M,8.96M,44.60M,17.20M,27.40M,,0.075,0.00,,,0.0755,0.075,,0.0725,0.00,,,0.0730,0.0725,,118.67M,122.76M,,,,
1998-03,367.90M,367.90M,206.10M,161.80M,120.40M,,-1.20M,,,,,137.70M,24.10M,,,,-1.20M,,13.60M,7.00M,6.60M,,,,6.60M,7.32M,41.40M,17.30M,24.10M,,0.055,0.00,,,0.061,0.055,,0.055,0.00,,,0.061,0.055,,120.00M,120.00M,,,,
1997-12,365.40M,365.40M,207.10M,158.30M,130.60M,,-49.90M,,,,,149.20M,9.10M,,,,-49.90M,,-50.20M,-12.80M,-37.40M,,,,-37.40M,-0.2235M,27.70M,18.60M,9.10M,,-0.3225,0.00,,,0.0010,-0.3225,,-0.3225,0.00,,,-0.0024,-0.3225,,114.92M,116.15M,,,,
1997-09,373.60M,373.60M,216.30M,157.30M,119.70M,,-2.00M,,,,,138.70M,18.60M,,,,-2.00M,,6.30M,3.30M,3.00M,,,,3.00M,4.20M,37.60M,19.00M,18.60M,,0.025,0.00,,,0.035,0.025,,0.025,0.00,,,0.035,0.025,,120.00M,120.00M,,,,
1997-06,401.50M,401.50M,226.40M,175.10M,127.90M,,-1.20M,,,,,147.10M,28.00M,,,,-1.20M,,16.50M,8.40M,8.10M,,,,8.10M,8.82M,47.20M,19.20M,28.00M,,0.07,0.00,,,0.0762,0.07,,0.07,0.00,,,0.0762,0.07,,115.71M,115.71M,,,,
1997-03,388.10M,388.10M,225.70M,162.40M,124.00M,,0.30M,,,,,143.60M,18.80M,,,,0.30M,,8.40M,4.40M,4.00M,,,,4.00M,3.82M,38.40M,19.60M,18.80M,,0.035,0.00,,,0.0334,0.035,,0.035,0.00,,,0.0334,0.035,,114.29M,114.29M,,,,
