,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-06,150.68M,150.68M,800.28M,800.28M,,71.46M,75.61M,121.28M,,1.219B,,,,,,,,1.639B,-896.78M,742.03M,3.201B,140.80M,3.341B,,,144.80M,4.228B,5.448B,,814.58M,,,,814.58M,,814.58M,,,291.94M,,291.94M,,1.107B,1.241B,,1.241B,,,,,197.47M,1.438B,2.545B,,2.137M,1.529B,2.177B,804.45M,,,,-1.167M,2.903B,,,
2006-03,156.46M,156.46M,775.72M,775.72M,,77.92M,77.22M,112.66M,,1.200B,,,,,,,,1.643B,-896.78M,746.33M,3.199B,143.03M,3.342B,,,145.99M,4.235B,5.435B,,835.53M,,,,835.53M,,835.53M,,,291.89M,,291.89M,,1.127B,1.241B,,1.241B,,,,,201.35M,1.442B,2.569B,,2.137M,1.417B,2.177B,726.43M,,,,-4.274M,2.865B,,,
2005-12,92.13M,92.13M,732.91M,732.91M,,77.94M,59.08M,107.44M,,1.069B,0.00,36.26M,519.77M,823.80M,171.72M,98.90M,,1.650B,-896.78M,753.66M,,3.345B,3.345B,,,138.34M,4.237B,5.306B,,193.38M,,,,193.38M,571.07M,764.45M,,,336.84M,,336.84M,,1.101B,1.255B,,1.255B,,,,,186.45M,1.442B,2.543B,,2.137M,1.293B,2.176B,697.67M,,,,-9.526M,2.763B,,,
2005-09,210.09M,210.09M,693.79M,693.79M,,78.17M,67.83M,101.46M,,1.151B,,,,,,,,1.485B,-813.64M,670.86M,,2.534B,2.534B,,30.58M,147.53M,3.383B,4.535B,,686.61M,,,,686.61M,,686.61M,,,504.90M,,504.90M,,1.192B,349.40M,,349.40M,,,,,166.09M,515.49M,1.707B,,2.136M,1.180B,2.180B,527.72M,,,,-6.779M,2.828B,,,
2005-06,204.11M,204.11M,693.38M,693.38M,,76.26M,66.62M,104.22M,,1.145B,,,,,,,,1.473B,-813.64M,658.97M,,2.535B,2.535B,,24.28M,144.63M,3.363B,4.508B,,710.08M,,,,710.08M,,710.08M,,,230.09M,,230.09M,,940.17M,624.15M,,624.15M,,,,,162.95M,787.10M,1.727B,,2.136M,1.063B,2.187B,469.59M,,,,-2.465M,2.780B,,,
2005-03,86.16M,86.16M,702.42M,702.42M,,76.26M,68.09M,106.33M,,1.039B,,,,,,,,1.447B,-813.64M,633.76M,,2.536B,2.536B,,28.33M,104.74M,3.303B,4.342B,,702.15M,,,,702.15M,,702.15M,,,230.11M,,230.11M,,932.26M,624.09M,,624.09M,,,,,147.66M,771.75M,1.704B,,1.068M,932.14M,2.197B,490.00M,,,,-2.322M,2.638B,,,
2004-12,73.30M,73.30M,649.28M,649.28M,,75.33M,50.14M,83.03M,,931.08M,0.00,34.30M,444.32M,761.93M,149.29M,43.29M,,1.433B,-813.64M,619.48M,,2.518B,2.518B,,29.37M,105.44M,3.273B,4.204B,,668.99M,,,,668.99M,,668.99M,,,374.80M,,374.80M,,1.044B,724.02M,,724.02M,,,,,147.33M,871.35M,1.915B,,1.068M,818.73M,2.195B,730.35M,,,,3.855M,2.289B,,,
2004-09,201.04M,201.04M,686.04M,686.04M,,73.22M,54.29M,98.24M,,1.113B,,,,,,,,1.303B,-684.88M,618.00M,,2.530B,2.530B,,33.03M,101.38M,3.282B,4.395B,,649.71M,,,,649.71M,,649.71M,,,130.18M,,130.18M,,779.89M,971.81M,,971.81M,,,,,165.57M,1.137B,1.917B,,1.068M,707.68M,2.214B,445.31M,,,,-0.015M,2.478B,,,
2004-06,137.80M,137.80M,677.71M,677.71M,72.85M,72.85M,58.00M,97.76M,,1.044B,,,,,,,,1.300B,-684.88M,615.30M,,2.530B,2.530B,,54.68M,102.66M,3.303B,4.347B,,639.63M,,,,639.63M,,639.63M,,,130.41M,,130.41M,,770.04M,971.72M,,971.72M,,,,,165.72M,1.137B,1.907B,,1.068M,592.71M,2.232B,386.74M,,,,0.59M,2.439B,,,
2004-03,190.08M,190.08M,650.51M,650.51M,,72.62M,62.30M,98.11M,,1.074B,,,,,,,,1.295B,-684.88M,609.76M,,2.532B,2.532B,,50.83M,113.49M,3.306B,4.380B,,617.40M,,,,617.40M,,617.40M,,,44.60M,,44.60M,,662.00M,1.058B,,1.058B,,,,,155.86M,1.214B,1.876B,,1.068M,481.15M,2.253B,232.32M,,,,1.751M,2.504B,,,
2003-12,154.96M,154.96M,609.19M,609.19M,,72.48M,50.18M,108.98M,,995.79M,0.00,34.91M,422.06M,670.67M,124.47M,40.08M,,1.292B,-684.88M,607.30M,,2.536B,2.536B,,49.64M,112.84M,3.306B,4.301B,,649.85M,,,,649.85M,,649.85M,,,73.95M,,73.95M,,723.80M,1.029B,,1.029B,,,,,154.22M,1.183B,1.907B,,1.068M,380.56M,2.267B,257.55M,,,,3.601M,2.395B,,,
2003-09,91.07M,91.07M,643.84M,643.84M,,68.42M,53.00M,115.66M,,972.00M,,,,,,,,1.164B,-572.14M,592.10M,,2.536B,2.536B,,57.20M,103.09M,3.289B,4.261B,,617.26M,,,,617.26M,,617.26M,,,56.29M,,56.29M,,673.55M,1.065B,,1.065B,,,,,140.72M,1.206B,1.879B,,1.061M,287.70M,2.238B,141.33M,,,,-4.266M,2.381B,,,
2003-06,88.07M,88.07M,628.40M,628.40M,,68.48M,50.68M,117.50M,,953.13M,,,,,,,,1.155B,-572.14M,583.04M,,2.539B,2.539B,,66.82M,102.25M,3.291B,4.244B,,594.44M,,,,594.44M,,594.44M,,,74.39M,,74.39M,,668.83M,1.065B,,1.065B,,,,,139.14M,1.204B,1.873B,,1.056M,167.68M,2.220B,10.06M,,,,-7.406M,2.371B,,,
2003-03,55.60M,55.60M,613.64M,613.64M,,67.07M,54.23M,116.39M,,906.92M,,,,,,,,1.155B,-572.14M,583.30M,,2.538B,2.538B,,64.66M,93.79M,3.279B,4.186B,,592.30M,,,,592.30M,,592.30M,,,80.62M,,80.62M,,672.92M,1.144B,,1.144B,,,,,125.94M,1.270B,1.943B,,1.053M,47.26M,2.206B,,,,,-11.47M,2.243B,,,
2002-12,96.78M,96.78M,522.13M,522.13M,,60.90M,41.94M,102.70M,,824.44M,0.00,33.15M,396.96M,671.58M,,40.60M,,1.142B,-572.14M,570.15M,,1.811B,1.811B,,29.76M,88.92M,2.500B,3.324B,,609.94M,,,,609.94M,,609.94M,,,26.03M,,26.03M,,635.98M,796.51M,,796.51M,,,,,122.85M,919.36M,1.555B,,0.98M,-40.77M,1.818B,,,,,-8.856M,1.769B,,,
2002-09,113.85M,113.85M,576.46M,576.46M,,59.02M,41.00M,139.81M,,930.14M,,,,,,,,1.035B,-463.41M,571.52M,1.789B,22.26M,1.812B,,53.09M,99.28M,2.536B,3.466B,,610.41M,,,,610.41M,,610.41M,,,251.10M,,251.10M,,861.51M,796.78M,,796.78M,,,,,129.73M,926.50M,1.788B,,0.977M,-122.47M,1.808B,,,,,-8.367M,1.678B,,,
2002-06,89.84M,89.84M,597.67M,597.67M,,57.93M,41.60M,146.78M,,933.81M,,,,,,,,1.032B,-463.41M,568.99M,,1.802B,1.802B,,46.44M,99.75M,2.518B,3.451B,,644.81M,,,,644.81M,,644.81M,,,301.77M,,301.77M,,946.58M,820.82M,,820.82M,,,,,114.09M,934.91M,1.881B,,0.974M,-209.09M,1.788B,,,,,-10.37M,1.570B,,,
2002-03,149.43M,149.43M,548.40M,548.40M,,51.53M,47.53M,152.98M,,949.87M,,,,,,,,983.35M,-463.41M,519.94M,,1.379B,1.379B,,52.47M,104.87M,2.056B,3.006B,,622.28M,,,,622.28M,,622.28M,,,1.405M,,1.405M,,623.69M,820.19M,,820.19M,,,,,116.24M,936.43M,1.560B,,0.967M,-296.24M,1.755B,,,,,-13.66M,1.446B,,,
2001-12,122.33M,122.33M,508.34M,508.34M,,49.91M,38.29M,157.65M,,876.51M,0.00,35.33M,363.06M,461.79M,69.28M,42.58M,,972.03M,-463.41M,508.62M,,1.379B,1.379B,,52.68M,113.60M,2.054B,2.931B,,657.22M,,,,657.22M,,657.22M,,,1.404M,,1.404M,,658.62M,820.34M,,820.34M,,,,,115.61M,935.94M,1.595B,,0.96M,-362.93M,1.715B,,,,,-16.72M,1.336B,,,
2001-09,238.88M,238.88M,513.64M,513.64M,,46.19M,41.52M,148.18M,,988.40M,,,,,,,,876.89M,-383.70M,493.20M,1.256B,26.46M,1.283B,,53.02M,116.17M,1.945B,2.933B,,608.05M,,,,608.05M,,608.05M,,,280.62M,,280.62M,,888.66M,677.91M,,677.91M,,,,1.00M,122.97M,801.88M,1.691B,,0.954M,-413.83M,1.677B,,,,,-20.79M,1.243B,,,
2001-06,174.16M,174.16M,520.87M,520.87M,,44.46M,49.59M,167.58M,,956.66M,,,,,,,,870.54M,-383.70M,486.84M,,1.293B,1.293B,,49.56M,111.89M,1.942B,2.898B,,602.31M,,,,602.31M,,602.31M,,,287.75M,,287.75M,,890.06M,726.67M,,726.67M,,,,,120.82M,847.49M,1.738B,,1.945M,-463.93M,1.649B,,1.00M,,,-26.25M,1.161B,,,
2001-03,120.73M,120.73M,509.27M,509.27M,,45.16M,92.12M,,185.53M,952.81M,0.00,473.06M,,,,,,473.06M,,473.06M,,1.298B,1.298B,,,179.68M,1.950B,2.903B,,654.99M,,,,654.99M,,654.99M,,,265.03M,,265.03M,,920.02M,758.48M,,758.48M,,,,1.00M,124.52M,884.00M,1.804B,,0.469M,-489.39M,1.626B,,,,,-37.98M,1.099B,,,
2000-12,171.48M,171.48M,,485.57M,,44.27M,,,279.36M,980.69M,,,,,,,,833.55M,-383.70M,449.86M,,1.262B,1.262B,,,172.39M,1.884B,2.865B,,689.58M,,,,689.58M,,689.58M,,,265.41M,,265.41M,,954.99M,760.70M,,760.70M,,,,,117.05M,877.75M,1.833B,,1.465M,-525.11M,1.592B,,1.00M,,,-36.54M,1.032B,,,
2000-09,161.79M,161.79M,,513.39M,,43.01M,,,331.16M,1.049B,,,,,,,,850.22M,-426.13M,424.08M,,1.369B,1.369B,,,164.01M,1.957B,3.006B,,669.77M,,,,669.77M,,669.77M,,,282.52M,,282.52M,34.88M,987.18M,906.06M,,906.06M,,,,,126.28M,1.032B,2.020B,,1.461M,-550.44M,1.575B,,1.00M,,,-39.61M,986.64M,,,
2000-06,99.43M,99.43M,,504.95M,,47.85M,,,303.47M,955.69M,,,,,,,,829.30M,-404.25M,425.04M,,1.414B,1.414B,,,142.26M,1.981B,2.937B,,621.25M,,,,621.25M,,621.25M,,,50.05M,,50.05M,44.54M,715.84M,1.144B,,1.144B,,,,,135.36M,1.280B,1.996B,,1.456M,-579.13M,1.551B,,1.00M,,,-32.46M,941.32M,,,
2000-03,28.49M,28.49M,,484.22M,,49.90M,,,267.81M,830.42M,,,,,,,,809.02M,-385.73M,423.28M,,1.425B,1.425B,,,159.65M,2.008B,2.839B,,527.97M,,,,527.97M,,527.97M,,,47.73M,,47.73M,46.83M,622.53M,1.158B,,1.158B,,,,,161.17M,1.319B,1.942B,,1.451M,-609.26M,1.529B,,1.00M,,,-23.88M,897.03M,,,
1999-12,27.28M,27.28M,,539.26M,,52.30M,,,253.82M,872.66M,,,,,,,,795.48M,-367.50M,427.98M,,1.436B,1.436B,,,141.96M,2.006B,2.878B,,626.48M,,,,626.48M,,626.48M,,,45.44M,,45.44M,29.32M,701.24M,1.171B,,1.171B,,,,,142.73M,1.314B,2.015B,,1.444M,-627.04M,1.503B,,1.00M,,,-13.89M,863.06M,,,
1999-09,36.80M,36.80M,,553.70M,,51.40M,,,233.10M,875.00M,,,,,,,,803.80M,-358.80M,445.00M,,1.385B,1.385B,,,121.90M,1.952B,2.827B,,575.80M,,,,575.80M,,575.80M,,,36.70M,,36.70M,26.30M,638.80M,1.230B,,1.230B,101.30M,101.30M,,,,1.332B,1.971B,,1.40M,-612.50M,1.468B,,1.00M,,,-0.50M,856.00M,,,
1999-06,148.50M,148.50M,,224.90M,,32.90M,,,121.50M,527.80M,,,,,,,,598.50M,-355.40M,243.10M,,482.80M,482.80M,,,59.10M,785.00M,1.313B,,239.20M,,,,239.20M,,239.20M,,,61.50M,,61.50M,12.70M,313.40M,338.40M,,338.40M,,,,,63.20M,401.60M,715.00M,,1.00M,-603.10M,,,1.00M,,,,597.80M,,,
1999-03,154.20M,154.20M,,229.80M,,33.00M,,,113.60M,530.60M,,,,,,,,596.40M,-355.10M,241.30M,,489.80M,489.80M,,,56.50M,787.60M,1.318B,,243.20M,,,,243.20M,,243.20M,,,56.40M,,56.40M,9.60M,309.20M,360.20M,,360.20M,,,,,71.50M,431.70M,740.90M,,1.00M,-616.10M,,,1.00M,,,,577.30M,,,
1998-12,202.90M,202.90M,,220.90M,,31.20M,,,123.20M,578.20M,,,,,,,,589.50M,-349.10M,240.40M,,494.70M,494.70M,,,46.90M,782.00M,1.360B,,242.30M,,,,242.30M,,242.30M,,,51.40M,,51.40M,15.80M,309.50M,413.40M,,413.40M,,,,,69.40M,482.80M,792.30M,,1.00M,-623.50M,,,1.00M,,,,567.90M,,,
1998-09,181.00M,181.00M,,236.40M,,29.80M,,,114.50M,561.70M,,,,,,,,593.60M,-352.20M,241.40M,,500.90M,500.90M,,,62.20M,804.50M,1.366B,,243.80M,,,,243.80M,,243.80M,,,47.10M,,47.10M,12.50M,303.40M,423.50M,,423.50M,,,,,77.90M,501.40M,804.80M,,,-628.80M,,,,,,,561.40M,,,
1998-06,152.70M,152.70M,,243.20M,,29.20M,,,126.00M,551.10M,,,,,,,,586.10M,-341.70M,244.40M,,505.60M,505.60M,,,63.00M,813.00M,1.364B,,226.10M,,,,226.10M,,226.10M,,,42.70M,,42.70M,9.60M,278.40M,446.30M,,446.30M,,,,,78.80M,525.10M,803.50M,,1.00M,-634.90M,,,1.00M,,,,560.60M,,,
1998-03,172.60M,172.60M,,242.60M,,30.00M,,,136.40M,581.60M,,,,,,,,583.40M,-335.70M,247.70M,,508.60M,508.60M,,,65.70M,822.00M,1.404B,,248.30M,,,,248.30M,,248.30M,,,37.70M,,37.70M,13.40M,299.40M,469.40M,,469.40M,,,,,83.30M,552.70M,852.10M,,1.00M,-643.70M,,,1.00M,,,,551.50M,,,
1997-12,161.70M,161.70M,,238.40M,,30.40M,,,141.40M,571.90M,,,,,,,,576.40M,-326.20M,250.20M,,513.80M,513.80M,,,65.00M,829.00M,1.401B,,244.90M,,,,244.90M,,244.90M,,,32.60M,,32.60M,17.60M,295.10M,482.20M,,482.20M,,,,,81.90M,564.10M,859.20M,,1.00M,-650.30M,,,1.00M,,,,541.70M,,,
1997-09,124.50M,124.50M,,271.10M,,29.20M,,,128.60M,553.40M,,,,,,,,585.60M,-317.70M,267.90M,,535.50M,535.50M,,,64.90M,868.30M,1.422B,,233.00M,,,,233.00M,,233.00M,,,24.40M,,24.40M,21.60M,279.00M,491.00M,,491.00M,,,,,85.10M,576.10M,855.10M,,1.00M,-612.90M,,,1.00M,,,,566.60M,,,
1997-06,75.80M,75.80M,,288.00M,,27.90M,,,131.80M,523.50M,,,,,,,,582.40M,-309.30M,273.10M,,551.80M,551.80M,,,48.80M,873.70M,1.397B,,210.10M,,,,210.10M,,210.10M,,,16.50M,,16.50M,24.90M,251.50M,499.20M,,499.20M,,,,,85.30M,584.50M,836.00M,,1.00M,-615.80M,,,1.00M,,,,561.20M,,,
1997-03,67.90M,67.90M,,291.40M,,28.60M,,,128.60M,516.50M,,,,,,,,577.80M,-298.60M,279.20M,,540.40M,540.40M,,,49.50M,869.10M,1.386B,,214.70M,,,,214.70M,,214.70M,,,8.80M,,8.80M,16.60M,240.10M,506.90M,,506.90M,,,,,92.20M,599.10M,839.20M,,1.00M,-623.90M,,,1.00M,,,,546.40M,,,
