,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-12,24.50M,,,,9.50M,11.40M,1.50M,12.90M,12.90M,-32.70M,,,4.90M,-114.90M,2.50M,53.50M,75.80M,-9.80M,7.10M,,30.60M,2006-12,-5.50M,,-5.50M,-26.30M,,13.90M,-7.90M,,,,-0.70M,4.60M,-20.80M,-16.20M,,-29.40M,0.50M,-45.80M,,2006-12,-23.10M,,208.00M,,4.60M,,,-20.80M,,,,,
2006-09,50.20M,,,,9.20M,14.80M,1.40M,16.20M,16.20M,-8.30M,,,2.90M,306.10M,-288.40M,-50.30M,36.80M,25.60M,29.80M,,100.00M,2006-09,-8.50M,,-8.50M,-15.20M,,-6.20M,-29.90M,,,,-35.80M,3.10M,-0.20M,2.90M,,-29.20M,0.70M,-61.40M,,2006-09,8.70M,,231.10M,,3.10M,,,-0.20M,,,,,
2006-06,36.60M,,,,-0.90M,13.00M,3.90M,16.90M,16.90M,4.00M,,,14.30M,-309.30M,414.90M,-90.20M,7.50M,-25.60M,-2.70M,,68.20M,2006-06,-9.60M,,-9.60M,-25.00M,,0.20M,-34.40M,,,,34.20M,4.40M,-11.70M,-7.30M,,-29.00M,6.70M,4.60M,,2006-06,38.40M,,222.40M,,4.40M,,,-11.70M,,,,,
2006-03,17.10M,,,,4.30M,12.90M,1.80M,14.70M,14.70M,-4.10M,,,-6.10M,117.00M,-112.90M,20.50M,-144.60M,,-120.00M,,-94.10M,2006-03,-9.40M,,-9.40M,-14.30M,,,-23.70M,,,,-0.60M,12.00M,-0.60M,11.40M,,-26.80M,,-16.00M,,2006-03,-133.80M,,184.00M,,12.00M,,,-0.60M,,,,,
2005-12,18.00M,,,,55.00M,8.10M,1.60M,9.70M,9.70M,-10.40M,,,19.50M,-76.30M,54.30M,-51.40M,34.10M,-10.70M,-50.00M,-8.50M,33.30M,2005-12,-9.00M,,-9.00M,-9.30M,,-29.70M,-6.90M,,,,-2.40M,6.80M,-0.20M,6.60M,,-26.70M,,-22.50M,,2005-12,3.90M,,317.80M,,6.80M,,,-0.20M,,,,,
2005-09,50.50M,,,,6.00M,13.20M,1.50M,14.70M,14.70M,-17.20M,,,-4.20M,180.40M,-206.00M,48.20M,1.50M,25.60M,49.70M,2.70M,102.20M,2005-09,-3.20M,,-3.20M,-2.90M,,-0.80M,-6.90M,,,,-1.70M,4.00M,-0.30M,3.70M,,-26.50M,,-24.50M,,2005-09,70.80M,,313.90M,,4.00M,,,-0.30M,,,,,
2005-06,44.20M,,,,-6.00M,14.30M,1.40M,15.70M,15.70M,-21.00M,,,10.30M,-208.10M,234.60M,-18.90M,-5.80M,,1.80M,-5.00M,40.00M,2005-06,-6.50M,,-6.50M,-7.70M,,25.20M,11.00M,,,,-0.30M,7.90M,-1.70M,6.20M,,-26.10M,,-20.20M,,2005-06,30.80M,,243.10M,,7.90M,,,-1.70M,,,,,
2005-03,-73.60M,,,,2.30M,13.80M,2.70M,16.50M,16.50M,-35.40M,,,-6.10M,53.00M,-15.70M,-0.40M,75.60M,,112.50M,-2.30M,13.90M,2005-03,-4.70M,,-4.70M,-13.00M,,5.30M,-12.40M,,,,-0.20M,9.40M,,9.40M,,-23.00M,,-13.80M,,2005-03,-12.30M,,212.30M,,9.40M,,,,,,,,
2004-12,49.20M,,,,0.80M,15.70M,2.70M,18.40M,18.40M,-15.20M,,,13.80M,-96.80M,66.80M,-3.10M,24.20M,-15.90M,-24.80M,-0.10M,42.10M,2004-12,-6.80M,,-6.80M,-67.20M,,-1.20M,-75.20M,,,,-1.80M,4.10M,-18.80M,-14.70M,,-23.10M,,-39.60M,,2004-12,-72.70M,,224.60M,,4.10M,,,-18.80M,,,,,
2004-09,54.70M,,,,-1.20M,12.30M,2.50M,14.80M,14.80M,-11.40M,,,-17.30M,199.00M,-175.50M,-8.90M,24.40M,15.90M,54.90M,-0.30M,94.20M,2004-09,-10.60M,,-10.60M,-10.10M,,0.70M,-20.00M,,,,1.00M,5.90M,-19.10M,-13.20M,,-23.00M,,-35.20M,,2004-09,39.00M,,297.30M,,5.90M,,,-19.10M,,,,,
2004-06,46.80M,,,,-6.40M,13.50M,2.70M,16.20M,16.20M,-13.90M,,,20.90M,-207.80M,226.00M,-29.70M,21.20M,4.80M,14.50M,-0.70M,77.40M,2004-06,-6.20M,,-6.20M,-14.20M,,0.90M,-19.50M,,,,1.90M,9.60M,0.00,9.60M,,-22.60M,,-11.10M,,2004-06,46.80M,,258.30M,,9.60M,,,0.00,,,,,
2004-03,38.80M,,,,4.30M,11.80M,2.10M,13.90M,13.90M,-5.40M,,,-3.60M,72.80M,-55.50M,18.90M,-16.00M,-4.80M,15.40M,0.10M,63.50M,2004-03,-5.40M,,-5.40M,-21.30M,,2.40M,-24.30M,,,,2.20M,11.00M,-18.30M,-7.30M,,-16.20M,,-21.30M,,2004-03,17.90M,,211.60M,,11.00M,,,-18.30M,,,,,
2003-12,48.90M,,,,149.30M,11.60M,2.10M,13.70M,13.70M,-23.80M,,,-0.50M,-64.40M,71.30M,-160.20M,51.80M,-1.90M,-103.40M,,84.50M,2003-12,-7.40M,1.70M,-5.70M,-29.00M,,4.60M,-30.10M,,,,1.80M,7.40M,-32.00M,-24.60M,,-16.20M,,-39.00M,,2003-12,15.40M,,193.60M,,7.40M,,,-32.00M,,,,,
2003-09,48.90M,,,,-125.70M,29.50M,5.50M,16.30M,16.30M,-8.80M,,,,117.90M,-10.70M,17.50M,31.20M,1.90M,157.80M,,88.50M,2003-09,-5.30M,0.00,-5.30M,-2.40M,,0.50M,-7.20M,,,,-10.20M,3.60M,-29.20M,-25.60M,,-16.30M,,-52.10M,,2003-09,29.20M,,178.20M,,3.60M,,,-29.20M,,,,,
2003-06,36.20M,,,,-23.30M,-9.30M,-1.00M,8.40M,8.40M,0.30M,,,0.30M,-102.10M,109.30M,-31.30M,-0.10M,,-24.20M,,-2.30M,2003-06,-2.60M,-0.50M,-3.10M,2.70M,,-1.10M,-1.50M,,,,8.30M,9.30M,-13.80M,-4.50M,,-16.10M,,-12.30M,,2003-06,-16.10M,,149.00M,,9.30M,,,-13.80M,,,,,
2003-03,11.90M,,,,24.00M,9.30M,1.00M,10.30M,10.30M,0.20M,,,-0.30M,-19.70M,42.80M,10.80M,-21.70M,,12.20M,,58.30M,2003-03,-10.00M,3.00M,-7.00M,,,,-7.00M,,,,-23.10M,3.40M,-5.80M,-2.40M,,-13.30M,,-38.80M,,2003-03,12.50M,,165.10M,,3.40M,,,-5.80M,,,,,
2002-12,38.40M,,,,40.10M,8.50M,1.10M,9.60M,9.60M,-7.00M,,,7.20M,-84.50M,-103.70M,97.00M,49.40M,10.00M,-31.80M,,56.50M,2002-12,-13.00M,0.00,-13.00M,-1.10M,0.00,-0.90M,-15.00M,,,,-5.10M,1.80M,-0.40M,1.40M,,-13.90M,,-17.60M,,2002-12,23.90M,,152.60M,,1.80M,,,-0.40M,,,,,
2002-09,23.36M,,,,-52.42M,23.90M,2.30M,11.07M,11.07M,0.338M,,,,156.74M,83.58M,-144.81M,14.55M,-10.00M,100.06M,,82.42M,2002-09,-10.46M,0.00,-10.46M,-4.30M,-3.191M,8.346M,-9.608M,,,,-30.99M,1.002M,-11.60M,-10.60M,,-13.19M,,-54.77M,,2002-09,18.04M,,128.60M,,1.002M,,,-11.60M,,,,,
2002-06,34.14M,,,,-11.28M,,,8.129M,8.129M,0.162M,,,2.00M,-162.94M,-4.481M,165.01M,-30.95M,,-33.36M,,-0.222M,2002-06,-10.94M,-0.50M,-11.44M,4.00M,-1.109M,2.454M,-6.092M,,,,18.09M,9.198M,,9.198M,,-12.91M,,14.37M,,2002-06,8.059M,,110.59M,,9.198M,,,,,,,,
2002-03,34.00M,,,,-3.00M,,,7.00M,7.00M,,,,-2.00M,33.00M,1.00M,-37.00M,-22.00M,,-25.00M,,11.00M,2002-03,-11.00M,3.00M,-8.00M,-4.00M,2.00M,-8.00M,-18.00M,,,,18.00M,4.00M,,4.00M,,-11.00M,,11.00M,,2002-03,4.00M,,103.00M,,4.00M,,,,,,,,
2001-12,33.07M,,,,-50.82M,,,6.669M,6.669M,-77.17M,,,,-264.49M,10.10M,-242.61M,624.18M,,127.18M,,38.93M,2001-12,-11.22M,0.00,-11.22M,-13.84M,0.037M,-29.40M,-54.42M,,,,29.04M,5.153M,-36.98M,-31.82M,,-11.04M,0.00,-13.82M,,2001-12,-29.31M,,98.53M,,5.153M,,,-36.98M,,,,,
2001-09,41.90M,,,,-0.224M,,,5.397M,5.397M,0.00,,,0.001M,76.80M,-15.06M,-133.50M,93.25M,,21.50M,,68.58M,2001-09,-7.349M,0.00,-7.349M,-4.056M,2.785M,2.336M,-6.284M,,,,-2.734M,15.37M,-42.04M,-26.67M,,-10.94M,-0.938M,-41.28M,,2001-09,21.01M,,127.84M,,15.37M,,,-42.04M,,,,,
2001-06,23.20M,,,,-2.195M,,,5.417M,5.417M,0.767M,,,15.29M,-140.31M,6.836M,80.97M,17.24M,,-35.27M,,7.205M,2001-06,-6.265M,0.00,-6.265M,,6.347M,-9.041M,-8.959M,,,,8.343M,2.477M,-12.27M,-9.797M,,-10.49M,-8.113M,-20.06M,,2001-06,-21.81M,,106.83M,,2.477M,,,-12.27M,,,,,
2001-03,27.08M,,,,-2.896M,,,5.663M,5.663M,-1.35M,,,-15.29M,30.24M,-3.353M,7.367M,-30.64M,,3.619M,,16.83M,2001-03,-6.624M,2.70M,-3.924M,,0.323M,-11.69M,-15.30M,,,,-0.103M,4.258M,-12.84M,-8.578M,,-9.148M,-4.446M,-22.28M,,2001-03,-20.74M,,128.64M,,4.258M,,,-12.84M,,,,,
2000-12,24.62M,,,,-26.18M,,,6.243M,6.243M,-30.52M,,,-7.899M,-102.28M,6.481M,-2.615M,199.04M,-5.986M,94.65M,,60.91M,2000-12,-8.358M,,-6.024M,,-0.975M,-13.92M,-35.72M,,,,10.10M,7.968M,-18.14M,-10.18M,,-9.051M,-5.774M,-14.91M,,2000-12,10.29M,,149.39M,,7.968M,,,-18.14M,,,,,
2000-09,38.25M,,,,1.34M,,,5.346M,5.346M,0.224M,,,-1.975M,60.97M,-2.263M,-8.576M,-30.24M,5.986M,25.88M,,69.07M,2000-09,-3.37M,,-3.37M,,-1.113M,-0.664M,-5.147M,,,,-5.00M,1.959M,-0.379M,1.58M,,-8.776M,-8.047M,-20.24M,,2000-09,43.68M,,138.21M,,1.959M,,,-0.379M,,,,,
2000-06,13.27M,,,,-8.052M,,,3.841M,3.841M,0.361M,,,-2.006M,-54.64M,-3.989M,-20.75M,74.55M,,-4.826M,,2.584M,2000-06,-4.701M,,-4.701M,,0.186M,-5.025M,-9.54M,,,,-5.00M,10.80M,-5.457M,5.343M,,-8.564M,6.035M,-2.186M,,2000-06,-9.142M,,63.24M,,10.80M,,,-5.457M,,,,,
2000-03,16.82M,,,,-0.286M,,,3.996M,3.996M,-0.681M,,,11.88M,42.55M,-1.708M,6.992M,-42.70M,,5.131M,,36.86M,2000-03,-4.22M,,-4.22M,,-0.697M,-16.03M,-20.94M,,,,-5.00M,7.11M,-7.364M,-0.254M,,-7.368M,2.849M,-9.773M,,2000-03,6.141M,,91.52M,,7.11M,,,-7.364M,,,,,
1999-12,31.99M,,,,-13.50M,,,6.26M,6.26M,-4.608M,,,5.502M,-74.16M,-6.808M,-24.91M,79.12M,26.78M,0.013M,,25.66M,1999-12,-4.028M,,-4.028M,,0.943M,-1.985M,-5.32M,,,,4.00M,1.015M,-1.654M,-0.639M,,-7.348M,-60.86M,-64.84M,,1999-12,-44.50M,,97.53M,,1.015M,,,-1.654M,,,,,
1999-09,24.41M,,,,24.36M,,,4.349M,4.349M,0.562M,,,-5.485M,27.10M,1.395M,10.47M,-30.88M,,8.082M,,56.28M,1999-09,-5.314M,,-5.314M,,-1.031M,-10.20M,-16.54M,,,,-11.50M,4.399M,-3.12M,1.279M,,-7.279M,-3.466M,-20.97M,,1999-09,18.77M,,73.15M,,4.399M,,,-3.12M,,,,,
1999-06,13.37M,,,,-4.893M,,,3.747M,3.747M,-0.212M,,,5.485M,-68.84M,-0.813M,-15.75M,76.64M,-5.16M,-13.92M,,3.569M,1999-06,-4.409M,,-4.409M,,-2.17M,-2.881M,-9.46M,,,,12.50M,3.625M,-2.124M,1.501M,,-7.207M,3.39M,10.18M,,1999-06,4.293M,,52.65M,,3.625M,,,-2.124M,,,,,
1999-03,13.48M,,,,-8.972M,,,3.32M,3.32M,1.416M,,,,37.22M,-6.217M,-4.961M,-32.82M,5.16M,-1.625M,,7.615M,1999-03,-4.337M,,-4.337M,,-0.478M,-5.473M,-10.29M,,,,-5.00M,6.99M,-11.53M,-4.54M,,-6.176M,-2.184M,-17.90M,,1999-03,-20.57M,,45.74M,,6.99M,,,-11.53M,,,,,
1998-12,16.58M,,,,22.76M,,,4.594M,4.594M,-4.072M,,,,-22.40M,-49.62M,13.42M,48.85M,,-9.749M,,30.11M,1998-12,-7.057M,,-7.057M,,0.734M,-6.18M,-12.50M,,,,-7.53M,1.455M,-1.651M,-0.196M,,-6.085M,-10.71M,-24.52M,,1998-12,-6.909M,,73.09M,,1.455M,,,-1.651M,,,,,
1998-09,20.20M,,,,-24.20M,,,3.10M,3.10M,0.00,,,-5.60M,2.00M,56.80M,22.00M,-42.50M,,38.30M,,31.80M,1998-09,-2.80M,,-2.80M,,1.10M,-16.70M,-18.40M,,,,0.00,-0.80M,-7.00M,-7.80M,,-6.00M,4.10M,-9.70M,,1998-09,3.70M,,69.60M,,-0.80M,,,-7.00M,,,,,
1998-06,10.20M,,,,-0.90M,,,2.70M,2.70M,-1.60M,,,5.60M,-66.80M,-5.90M,2.40M,45.70M,,-24.60M,,-8.60M,1998-06,-2.20M,,-2.20M,,14.60M,-14.10M,-1.70M,,,,22.00M,4.40M,,4.40M,,-6.00M,-2.00M,18.40M,,1998-06,8.10M,,0.00,,4.40M,,,,,,,,
