,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,AsOriginallyReported,Restated
2002-03,197.73M,197.73M,88.34M,109.39M,86.03M,10.34M,0.503M,-13.82M,,,,96.88M,12.51M,,,-13.82M,,-6.64M,-2.324M,-4.316M,,-4.316M,4.665M,23.36M,10.85M,2002-03,-0.05,0.00,,0.0561,2002-03,-0.05,0.00,,0.0561,2002-03,84.61M,84.61M,,
2001-12,247.21M,247.21M,113.64M,133.57M,89.19M,9.924M,0.502M,0.443M,,,,99.62M,33.95M,,,0.443M,,29.30M,10.25M,19.04M,,19.04M,18.76M,44.37M,10.43M,2001-12,0.23,0.00,,0.2266,2001-12,0.17,0.00,,0.1678,2001-12,83.88M,129.58M,,
2001-09,241.46M,227.75M,98.61M,129.14M,91.31M,11.75M,2.836M,-46.40M,,,15.48M,121.37M,7.771M,,,-46.40M,,-14.52M,-8.199M,-6.316M,-1.75M,-8.066M,21.53M,22.36M,14.59M,2001-09,-0.08,-0.03,,0.2495,2001-09,-0.08,-0.03,,0.2495,2001-09,84.51M,84.51M,,
2001-06,246.48M,250.08M,115.21M,134.86M,93.18M,11.01M,3.052M,-39.54M,,,31.08M,138.32M,-3.459M,,,-39.54M,,-20.77M,-10.56M,-10.22M,1.765M,-8.454M,13.51M,10.60M,14.06M,2001-06,-0.12,0.02,,0.1548,2001-06,-0.12,0.02,,0.1548,2001-06,86.34M,86.34M,,
2001-03,221.46M,221.46M,111.66M,109.81M,93.81M,10.60M,3.192M,0.908M,,,,107.60M,2.209M,,,0.908M,,-2.194M,-0.812M,-1.382M,-12.26M,-53.58M,-1.954M,16.00M,13.79M,2001-03,-0.02,-0.60,-0.4614,-0.0266,2001-03,-0.02,-0.60,-0.4614,-0.0266,2001-03,86.55M,86.55M,,
2000-12,255.62M,255.62M,122.83M,132.78M,91.80M,7.515M,3.287M,3.044M,,,,102.60M,30.18M,,,3.044M,,28.09M,10.39M,17.70M,-13.80M,3.897M,15.78M,40.98M,10.80M,2000-12,0.21,-0.16,,0.1877,2000-12,0.20,-0.16,,0.1779,2000-12,86.05M,86.82M,,
2000-09,225.41M,223.65M,103.18M,120.47M,93.28M,7.996M,3.362M,12.11M,,,,102.88M,17.59M,,,12.11M,,25.53M,10.21M,15.32M,-9.673M,3.913M,8.050M,28.95M,11.36M,2000-09,0.16,-0.10,,0.0739,2000-09,0.15,-0.10,,0.0903,2000-09,84.39M,121.60M,,
2000-06,220.82M,220.82M,102.96M,117.86M,87.18M,7.259M,3.332M,5.78M,,,0.001M,97.77M,20.09M,,,5.78M,,19.78M,7.912M,11.87M,-9.488M,2.382M,8.402M,30.68M,9.844M,2000-06,0.14,-0.11,,0.0998,2000-06,0.13,-0.11,,0.0909,2000-06,86.29M,88.76M,,
2000-03,193.39M,193.39M,80.63M,112.76M,80.15M,,,1.618M,,,,90.89M,21.87M,,,1.618M,,17.77M,14.98M,2.788M,,2.788M,1.817M,32.61M,10.74M,2000-03,0.03,0.00,,0.0188,2000-03,0.03,0.00,,0.0193,2000-03,87.04M,90.51M,,
1999-12,222.90M,222.90M,97.40M,125.50M,79.50M,,,-6.00M,,,,88.40M,37.10M,,,-6.00M,,26.00M,9.50M,16.50M,,16.50M,20.31M,46.00M,8.90M,1999-12,0.19,0.00,,0.2330,1999-12,0.18,0.00,,0.2220,1999-12,88.54M,90.67M,,
1999-09,186.87M,186.87M,79.41M,107.46M,71.70M,,,-19.89M,,,,103.45M,4.002M,,,-19.89M,,8.147M,5.176M,2.971M,,2.971M,14.91M,12.34M,8.333M,1999-09,0.03,0.00,,0.1499,1999-09,0.03,0.00,,0.1474,1999-09,99.57M,101.63M,,
1999-06,185.66M,185.66M,74.40M,111.26M,63.50M,,,-1.50M,,,,71.60M,39.66M,,,-1.50M,,40.70M,14.30M,26.40M,,26.40M,27.37M,47.76M,8.10M,1999-06,0.25,0.00,,0.2593,1999-06,0.25,0.00,,0.2591,1999-06,104.23M,106.84M,,
1999-03,171.30M,171.30M,60.40M,110.90M,59.10M,,,-1.80M,,,,66.90M,44.00M,,,-1.80M,,42.20M,13.40M,28.80M,,28.80M,30.03M,51.80M,7.80M,1999-03,0.28,0.00,,0.2919,1999-03,0.27,0.00,,0.2815,1999-03,102.86M,106.67M,,
1998-12,190.40M,190.40M,79.40M,111.00M,57.90M,,,2.50M,,,,65.30M,45.70M,,,2.50M,,48.20M,18.10M,30.10M,,30.10M,28.54M,53.10M,7.40M,1998-12,0.30,0.00,,0.2844,1998-12,0.29,0.00,,0.2750,1998-12,100.33M,103.79M,,
1998-09,168.80M,168.80M,66.50M,102.30M,60.80M,,,2.50M,,,,68.20M,34.10M,,,2.50M,,36.60M,17.00M,19.60M,,19.60M,18.10M,41.50M,7.40M,1998-09,0.19,0.00,,0.1754,1998-09,0.18,0.00,,0.1661,1998-09,102.67M,108.20M,,
1998-06,161.00M,161.00M,62.90M,98.10M,55.60M,,,2.20M,,,,62.70M,35.40M,,,2.20M,,37.70M,14.70M,23.00M,,23.00M,21.66M,42.50M,7.10M,1998-06,0.23,0.00,,0.2166,1998-06,0.22,0.00,,0.2072,1998-06,100.00M,104.55M,,
