,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2004-12,160.13M,,160.13M,,,257.69M,37.05M,32.98M,487.84M,0.00,46.10M,196.75M,,,242.85M,-179.35M,63.50M,,231.90M,231.90M,,77.96M,373.35M,861.19M,,2004-12,181.50M,,,181.50M,,40.00M,,40.00M,307.70M,307.70M,,529.20M,150.00M,,150.00M,,,,,,51.95M,201.95M,731.15M,,2004-12,0.075M,551.00M,,,5.169M,130.05M,,
2004-09,156.64M,,156.64M,,,215.59M,31.70M,26.97M,430.90M,,,,,,232.74M,-167.82M,64.91M,,229.88M,229.88M,,68.60M,363.40M,794.29M,,2004-09,140.55M,,,140.55M,,40.00M,,40.00M,299.93M,299.93M,,480.48M,160.00M,,160.00M,,,,,,50.46M,210.46M,690.94M,,2004-09,0.075M,551.37M,,,2.025M,103.35M,,
2004-06,291.00M,,291.00M,,,214.09M,24.84M,25.72M,555.65M,,,,,,229.21M,-167.82M,61.39M,,230.15M,230.15M,,68.05M,359.59M,915.24M,,2004-06,144.14M,,,144.14M,,,,,295.11M,295.11M,,439.25M,,,,,,,,,,50.24M,489.49M,,2004-06,0.074M,208.08M,,,-0.747M,425.75M,,
2004-03,262.74M,,262.74M,,,235.70M,26.38M,25.21M,550.03M,,,,,,229.82M,-167.82M,62.00M,,231.14M,231.14M,,69.18M,362.32M,912.35M,,2004-03,150.80M,,,150.80M,,,,,316.84M,316.84M,,467.64M,,,,,,,,,,51.39M,519.03M,,2004-03,0.072M,207.09M,,,0.962M,393.32M,,
2003-12,229.96M,,229.96M,,,266.12M,25.64M,27.75M,549.48M,0.00,44.87M,189.50M,,,234.37M,-167.82M,66.54M,,231.37M,231.37M,,69.87M,367.79M,917.26M,,2003-12,175.61M,,,175.61M,,,,,315.52M,315.52M,,491.13M,,,,,,,,,,50.38M,541.52M,,2003-12,0.072M,206.45M,,,-0.316M,375.75M,,
2003-09,206.94M,,206.94M,,,221.35M,24.73M,23.27M,476.28M,,,,,,190.98M,-129.52M,61.45M,,227.78M,227.78M,,71.85M,361.08M,837.36M,,2003-09,134.56M,,,134.56M,,,,,301.68M,301.68M,,436.24M,367.62M,,367.62M,,,,,,48.93M,416.55M,852.79M,,2003-09,0.061M,563.72M,,,-7.879M,-15.43M,,
2003-06,166.68M,,166.68M,,,226.09M,20.95M,22.17M,435.89M,,,,,,192.98M,-129.52M,63.46M,,228.45M,228.45M,,72.00M,363.91M,799.80M,,2003-06,133.23M,,,133.23M,,,,,287.64M,287.64M,,420.87M,362.20M,,362.20M,,,,,,48.56M,410.76M,831.63M,,2003-06,0.06M,555.65M,,,-7.874M,-31.83M,,
2003-03,135.43M,,135.43M,,,257.93M,33.99M,23.32M,450.67M,,,,,,194.35M,-129.52M,64.82M,,225.51M,225.51M,,69.90M,360.23M,810.91M,,2003-03,140.81M,,,140.81M,,,,,301.36M,301.36M,,442.17M,356.80M,,356.80M,,,,,,46.47M,403.28M,845.45M,,2003-03,0.06M,538.95M,,,-14.01M,-34.54M,,
2002-12,109.66M,,109.66M,,,283.07M,41.52M,25.02M,459.26M,,,172.14M,37.70M,,209.84M,-138.84M,71.01M,,226.11M,226.11M,,71.02M,368.14M,827.40M,,2002-12,151.99M,,,151.99M,,,,,305.89M,305.89M,,457.88M,351.54M,,351.54M,,,,,,46.69M,398.23M,856.10M,,2002-12,0.06M,532.63M,,,-14.46M,-28.70M,,
2002-09,124.79M,,124.79M,,,264.84M,32.64M,26.37M,448.64M,0.00,37.51M,168.18M,,,205.69M,-129.52M,76.16M,,225.16M,225.16M,,68.50M,369.82M,818.46M,,2002-09,123.97M,,,123.97M,,,,,306.98M,306.98M,,430.95M,346.30M,,346.30M,,,,,,46.10M,392.40M,823.34M,,2002-09,0.06M,518.78M,,,-17.55M,-4.89M,,
2002-06,109.89M,0.018M,109.91M,,,258.10M,37.68M,31.93M,437.62M,,,,,,186.89M,-105.57M,81.32M,,224.22M,224.22M,,62.71M,368.25M,805.87M,,2002-06,130.03M,,,130.03M,,,,,301.14M,301.14M,,431.18M,341.19M,,341.19M,,,,,,44.74M,385.92M,817.10M,,2002-06,0.06M,506.36M,,,-18.93M,-11.23M,,
2002-03,78.78M,0.047M,78.83M,,,291.60M,41.68M,35.37M,447.47M,,,,,,191.94M,-105.57M,86.37M,,218.66M,218.66M,,65.25M,370.27M,817.74M,,2002-03,140.65M,,,140.65M,,,,,332.92M,332.92M,,473.57M,336.10M,,336.10M,,,,,,21.20M,357.30M,830.87M,,2002-03,0.06M,485.46M,,,-20.90M,-13.13M,,
2001-12,27.43M,0.075M,27.51M,315.19M,,315.19M,64.84M,39.70M,447.24M,,,,,,200.11M,-105.57M,94.54M,,221.97M,221.97M,,65.65M,382.16M,829.41M,,2001-12,161.58M,,,161.58M,,,,,325.81M,325.81M,,487.39M,331.14M,,331.14M,,,,,,20.64M,351.77M,839.16M,,2001-12,0.059M,473.82M,,,-19.11M,-9.754M,,
2001-09,37.13M,3.25M,40.38M,,,300.31M,70.87M,34.82M,446.37M,0.00,39.76M,166.10M,,,205.86M,-105.57M,100.29M,,222.23M,222.23M,,70.11M,392.63M,839.00M,,2001-09,137.75M,,,137.75M,,15.00M,,15.00M,351.26M,351.26M,,504.01M,326.20M,,326.20M,,,,,,43.31M,369.51M,873.52M,,2001-09,0.059M,472.77M,,,-20.11M,-34.52M,,
2001-06,39.29M,0.008M,39.30M,279.86M,,279.86M,35.17M,54.95M,409.28M,,,,,,201.06M,-97.66M,103.40M,,230.11M,230.11M,,51.05M,384.56M,793.84M,,2001-06,124.77M,,,124.77M,,5.00M,,5.00M,332.05M,332.05M,,461.82M,321.38M,,321.38M,,,,,,15.88M,337.26M,799.07M,,2001-06,0.059M,450.00M,,,-19.82M,-5.234M,,
2001-03,31.44M,4.036M,35.48M,312.56M,,312.56M,43.22M,50.50M,441.75M,,,,,,197.52M,-97.66M,99.86M,,235.97M,235.97M,,58.51M,394.34M,836.09M,,2001-03,110.62M,,,110.62M,,20.00M,,20.00M,360.09M,360.09M,,490.72M,316.59M,,316.59M,,,,,,16.23M,332.82M,823.53M,,2001-03,0.059M,437.88M,,,-24.28M,12.56M,,
2000-12,24.32M,15.04M,39.36M,,,340.40M,,83.62M,463.37M,,,,,,195.04M,-97.66M,97.38M,,311.52M,311.52M,,79.31M,488.22M,951.58M,,2000-12,156.92M,,,156.92M,,30.00M,,30.00M,,,350.84M,537.76M,311.91M,,311.91M,,,,,,32.33M,344.24M,882.00M,,2000-12,0.059M,437.90M,,,-14.13M,69.58M,,
2000-09,61.70M,35.40M,97.10M,323.85M,,323.85M,34.74M,123.08M,578.77M,0.00,29.42M,155.71M,,,185.13M,-96.73M,88.40M,,237.10M,237.10M,,68.08M,393.59M,972.36M,,2000-09,191.46M,,,191.46M,,,,,384.97M,384.97M,,576.43M,307.25M,,307.25M,,,,,,13.86M,321.11M,897.54M,,2000-09,0.059M,434.90M,,,-6.452M,74.82M,,
2000-06,53.30M,60.55M,113.85M,,,277.57M,,96.53M,487.95M,,,,,,170.41M,-90.69M,79.72M,,316.91M,316.91M,,59.55M,456.18M,944.13M,,2000-06,164.84M,,,164.84M,,35.00M,,35.00M,,,350.67M,550.51M,302.69M,,302.69M,,,,,,6.792M,309.48M,859.99M,,2000-06,0.059M,434.90M,,,12.64M,84.14M,,
2000-03,69.49M,,69.49M,,,295.71M,,55.04M,420.24M,,,,,,157.23M,-83.27M,73.96M,,326.09M,326.09M,,118.14M,518.20M,938.43M,,2000-03,137.63M,,,137.63M,,,,,,,360.69M,498.32M,360.00M,,360.00M,,,,,,5.147M,365.15M,863.46M,,2000-03,0.059M,414.94M,,,-12.29M,74.97M,,
1999-12,70.40M,,70.40M,,,269.20M,,49.20M,388.80M,,,,,,143.50M,-77.20M,66.30M,,248.90M,248.90M,,104.70M,419.90M,808.70M,,1999-12,125.60M,,,125.60M,,,,,,,304.60M,430.20M,310.00M,,310.00M,,,,,,5.20M,315.20M,745.40M,,1999-12,0.10M,414.90M,,,-14.20M,63.30M,,
1999-09,88.90M,,88.90M,,,282.00M,,61.30M,432.20M,,,,,,142.50M,-78.90M,63.60M,,223.10M,223.10M,,84.50M,371.20M,803.40M,,1999-09,95.90M,,,95.90M,,,,,,,377.70M,473.60M,250.00M,,250.00M,,,,,,5.30M,255.30M,728.90M,,1999-09,0.10M,385.00M,,,-12.10M,74.50M,,
1999-06,211.20M,69.50M,280.70M,,,238.20M,,37.80M,556.70M,,,,,,132.30M,-73.60M,58.70M,,208.20M,208.20M,,82.00M,348.90M,905.60M,,1999-06,74.00M,,,74.00M,,,,,,,297.60M,371.60M,,,,,,,,,,0.50M,372.10M,,1999-06,0.10M,40.40M,-4.90M,-11.80M,-16.70M,533.50M,,
1999-03,185.10M,,185.10M,,,248.30M,,116.20M,549.60M,,,,,,124.60M,-68.50M,56.10M,,199.70M,199.70M,,91.00M,346.80M,896.40M,,1999-03,85.80M,,,85.80M,,,,,,,310.70M,396.50M,,,,,,,,,,0.90M,397.40M,,1999-03,,,,,,499.00M,,
1998-12,143.10M,,143.10M,,,244.00M,,124.80M,511.90M,,,,,,113.00M,-59.20M,53.80M,,180.30M,180.30M,,94.20M,328.30M,840.20M,,1998-12,108.30M,,,108.30M,,,,,,,278.20M,386.50M,,,,,,,,,,0.90M,387.40M,,1998-12,,,,,,452.80M,,
1998-09,157.70M,,157.70M,,,239.20M,,114.20M,511.10M,,,,,,110.00M,-59.20M,50.80M,,155.80M,155.80M,,115.20M,321.80M,832.90M,,1998-09,96.20M,,,96.20M,,,,,,,318.60M,414.80M,,,,,,,,,,3.20M,418.00M,,1998-09,,,,,,414.90M,,
1998-06,140.20M,,140.20M,,,213.70M,,102.10M,456.00M,,,,,,107.10M,-56.60M,50.50M,,151.60M,151.60M,,115.20M,317.30M,773.30M,,1998-06,86.80M,,,86.80M,,,,,,,269.50M,356.30M,,,,,,,,,,2.00M,358.30M,,1998-06,,,,,,415.00M,,
