,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-09,272.00M,,,9.00M,137.00M,137.00M,,,,,-22.00M,-46.00M,,-108.00M,-33.00M,-3.00M,-212.00M,206.00M,,-169.00M,,-169.00M,-15.00M,125.00M,-57.00M,-116.00M,,,,,28.00M,,28.00M,,-38.00M,,5.00M,-5.00M,,746.00M,85.00M,,831.00M,,28.00M,,,,,,,,
2005-06,280.00M,,,-15.00M,119.00M,119.00M,,,,,-106.00M,-19.00M,,103.00M,72.00M,45.00M,95.00M,500.00M,,-307.00M,,-307.00M,,-114.00M,-23.00M,-444.00M,,,,-2.00M,10.00M,,10.00M,,-38.00M,,,-30.00M,,720.00M,26.00M,,746.00M,,10.00M,,,,,,,,
2005-03,229.00M,,,4.00M,112.00M,112.00M,,,,,-109.00M,-50.00M,,127.00M,63.00M,55.00M,86.00M,431.00M,,-199.00M,,-199.00M,,-147.00M,-7.00M,-353.00M,,,,0.00,39.00M,,39.00M,,-43.00M,,,-4.00M,,646.00M,74.00M,,720.00M,,39.00M,,,,,,,,
2004-12,144.00M,,,9.00M,121.00M,121.00M,,,,,-53.00M,17.00M,,106.00M,33.00M,4.00M,107.00M,381.00M,,-88.00M,,-88.00M,,-88.00M,-15.00M,-191.00M,,,,-1.00M,12.00M,,12.00M,,-13.00M,,,-2.00M,,458.00M,188.00M,,646.00M,,12.00M,,,,,,,,
2004-09,54.00M,,,2.00M,112.00M,112.00M,,,,,-135.00M,70.00M,,32.00M,-13.00M,-6.00M,-52.00M,116.00M,,-97.00M,,-97.00M,,18.00M,-2.00M,-81.00M,,,,,29.00M,,29.00M,,-28.00M,,,1.00M,,422.00M,36.00M,,458.00M,,29.00M,,,,,,,,
2004-06,-34.00M,,,121.00M,93.00M,93.00M,,,,-116.00M,-42.00M,33.00M,,15.00M,-37.00M,25.00M,-6.00M,74.00M,,-230.00M,,-230.00M,,-137.00M,1.00M,-366.00M,,,,-2.00M,7.00M,,7.00M,,-27.00M,,,-22.00M,,736.00M,-314.00M,,422.00M,,7.00M,,,,,,,,
2004-03,160.00M,,,-122.00M,105.00M,105.00M,,,,-4.00M,265.00M,-99.00M,4.00M,-61.00M,-9.00M,-6.00M,94.00M,233.00M,,-153.00M,,-153.00M,,-52.00M,-2.00M,-207.00M,,,,-2.00M,36.00M,,36.00M,,-27.00M,,,7.00M,,703.00M,33.00M,,736.00M,,36.00M,,,,,,,,
2003-12,205.00M,,,-112.00M,216.00M,216.00M,,,,4.00M,-200.00M,-34.00M,-4.00M,27.00M,48.00M,-56.00M,-219.00M,94.00M,,-134.00M,,-134.00M,,-60.00M,-19.00M,-213.00M,,,,0.00,6.00M,,6.00M,,-36.00M,,18.00M,-12.00M,,834.00M,-131.00M,,703.00M,,6.00M,,,,,,,,
2003-09,198.00M,,,113.00M,,,,,,,-103.00M,-30.00M,,108.00M,-52.00M,,-77.00M,234.00M,,-88.00M,,-88.00M,,-72.00M,-16.00M,-176.00M,,,,-2.00M,47.00M,,47.00M,,,,-18.00M,27.00M,,749.00M,85.00M,,834.00M,,47.00M,,,,,,,,
2003-06,160.00M,,,10.00M,116.00M,116.00M,1.00M,,,,46.00M,-18.00M,,-61.00M,47.00M,-14.00M,0.00,287.00M,,-159.00M,0.00,-159.00M,,-48.00M,-15.00M,-222.00M,,,,0.00,18.00M,,18.00M,,-13.00M,,,5.00M,,679.00M,70.00M,,749.00M,,18.00M,,,,,,,,
2003-03,173.00M,,,-6.00M,113.00M,113.00M,0.00,,,10.00M,-29.00M,9.00M,,-18.00M,18.00M,-5.00M,-25.00M,265.00M,,1.187B,0.00,1.187B,221.00M,-1.589B,-19.00M,-200.00M,,,,-2.00M,7.00M,,7.00M,,-13.00M,,,-8.00M,,622.00M,57.00M,,679.00M,,7.00M,,,,,,,,
2002-12,198.00M,,,22.00M,114.00M,114.00M,-16.00M,,,-8.00M,29.00M,-36.00M,,67.00M,-89.00M,-15.00M,-44.00M,266.00M,,-1.446B,36.00M,-1.41B,-221.00M,1.488B,-18.00M,-161.00M,,,,,274.00M,,274.00M,,-262.00M,,,12.00M,,505.00M,117.00M,,622.00M,,274.00M,,,,,,,,
2002-09,110.00M,,,8.00M,100.00M,100.00M,,,,-2.00M,-54.00M,50.00M,,-87.00M,-51.00M,-10.00M,-152.00M,64.00M,,-98.00M,,-98.00M,,-65.00M,-8.00M,-171.00M,,,,,,,,,,,,0.00,,612.00M,-107.00M,,505.00M,,,,,,,,,,
