,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-03,1.143B,140.00M,1.283B,1.351B,469.00M,1.82B,346.00M,114.00M,613.00M,,1.073B,,225.00M,206.00M,4.607B,,,,,,,,5.594B,-3.237B,2.357B,2.366B,132.00M,2.498B,,659.00M,292.00M,5.806B,10.41B,,1.915B,,,1.915B,1.194B,3.109B,,345.00M,,345.00M,,,,3.454B,1.685B,,1.685B,,,,,611.00M,2.296B,5.75B,,0.00,1.193B,3.464B,6.00M,4.663B,,,Restated
2007-12,1.433B,317.00M,1.75B,1.593B,,1.593B,293.00M,119.00M,418.00M,,830.00M,,215.00M,469.00M,4.857B,,,,,,,,5.367B,-3.10B,2.267B,2.385B,157.00M,2.542B,,674.00M,276.00M,5.759B,10.62B,,1.776B,,,1.776B,1.081B,2.857B,,330.00M,,330.00M,,,,3.187B,1.734B,,1.734B,,,,,613.00M,2.347B,5.534B,,0.00,1.685B,3.396B,1.00M,5.082B,,,
2007-09,1.263B,235.00M,1.498B,1.519B,,1.519B,312.00M,109.00M,342.00M,,763.00M,,215.00M,354.00M,4.349B,,,,,,,,5.231B,-2.985B,2.246B,2.327B,169.00M,2.496B,,678.00M,296.00M,5.716B,10.06B,,1.551B,,,1.551B,982.00M,2.533B,,330.00M,,330.00M,,,,2.863B,1.734B,,1.734B,,,,,588.00M,2.322B,5.185B,,0.00,1.586B,3.295B,-1.00M,4.88B,,,
2007-06,988.00M,156.00M,1.144B,1.383B,,1.383B,277.00M,85.00M,432.00M,,794.00M,,196.00M,284.00M,3.801B,0.00,21.00M,731.00M,4.004B,,348.00M,,5.104B,-2.826B,2.278B,2.30B,188.00M,2.488B,,574.00M,331.00M,5.671B,9.472B,,1.301B,,,1.301B,1.018B,2.319B,,330.00M,,330.00M,,,,2.649B,1.733B,,1.733B,,,,,353.00M,2.086B,4.735B,,0.00,1.537B,3.204B,-4.00M,4.737B,,,
2007-03,909.00M,301.00M,1.21B,1.367B,,1.367B,258.00M,87.00M,487.00M,,832.00M,,,400.00M,3.809B,,,,,,,,4.949B,-2.67B,2.279B,2.44B,219.00M,2.659B,,,517.00M,5.455B,9.264B,,1.397B,,,1.397B,1.021B,2.418B,,330.00M,,330.00M,,,,2.748B,1.733B,,1.733B,,,,,363.00M,2.096B,4.844B,,0.00,1.251B,3.165B,4.00M,4.42B,,,
2006-12,1.096B,464.00M,1.56B,1.251B,,1.251B,193.00M,90.00M,488.00M,,771.00M,,,410.00M,3.992B,,,,,,,,4.747B,-2.507B,2.24B,2.317B,231.00M,2.548B,,,498.00M,5.286B,9.278B,,1.425B,,,1.425B,1.06B,2.485B,,330.00M,,330.00M,,,,2.815B,1.738B,,1.738B,,,,,348.00M,2.086B,4.901B,,0.00,1.342B,3.03B,5.00M,4.377B,,,
2006-09,1.856B,797.00M,2.653B,1.331B,,1.331B,201.00M,100.00M,638.00M,,939.00M,,,315.00M,5.238B,,,,,,,,4.512B,-2.333B,2.179B,2.488B,272.00M,2.76B,,,343.00M,5.282B,10.52B,,1.448B,,,1.448B,1.125B,2.573B,,731.00M,,731.00M,,,,3.304B,1.737B,,1.737B,,,,,355.00M,2.092B,5.396B,,0.00,2.185B,2.944B,-5.00M,5.124B,,,
2006-06,910.00M,823.00M,1.733B,1.445B,,1.445B,209.00M,126.00M,556.00M,,891.00M,,,264.00M,4.333B,0.00,30.00M,646.00M,3.218B,,392.00M,,4.286B,-2.18B,2.106B,2.475B,307.00M,2.782B,,,323.00M,5.211B,9.544B,,1.692B,,,1.692B,1.315B,3.007B,,330.00M,,330.00M,,,,3.337B,640.00M,,640.00M,,,,,355.00M,995.00M,4.332B,,0.00,2.362B,2.858B,-8.00M,5.212B,,,
2006-03,1.035B,1.005B,2.04B,1.152B,,1.152B,156.00M,84.00M,309.00M,,549.00M,,,171.00M,3.912B,,,,,,,,3.763B,-2.046B,1.717B,,,,,,348.00M,2.065B,5.977B,,1.182B,,,1.182B,758.00M,1.94B,,,,,,,,1.94B,400.00M,,400.00M,,,,,194.00M,594.00M,2.534B,,0.00,2.754B,692.00M,-3.00M,3.443B,,,
2005-12,768.00M,983.00M,1.751B,1.091B,,1.091B,130.00M,73.00M,302.00M,,505.00M,,,151.00M,3.498B,,,,,,,,3.26B,-1.654B,1.606B,,,,,,330.00M,1.936B,5.434B,,1.057B,,,1.057B,671.00M,1.728B,,,,,,,,1.728B,400.00M,,400.00M,,,,,192.00M,592.00M,2.32B,,0.00,2.48B,643.00M,-9.00M,3.114B,,,
2005-09,831.00M,961.00M,1.792B,1.116B,,1.116B,132.00M,66.00M,279.00M,,477.00M,,,144.00M,3.529B,,,,,,,,3.219B,-1.654B,1.565B,,,,,,284.00M,1.849B,5.378B,,1.00B,,,1.00B,618.00M,1.618B,,4.00M,,4.00M,,,,1.622B,736.00M,,736.00M,,,,,195.00M,931.00M,2.553B,,0.00,2.193B,642.00M,-10.00M,2.825B,,,
2005-06,746.00M,1.09B,1.836B,1.094B,,1.094B,118.00M,70.00M,243.00M,,431.00M,,,141.00M,3.502B,0.00,22.00M,476.00M,2.419B,,266.00M,,3.183B,-1.654B,1.529B,,3.00M,3.00M,,,210.00M,1.742B,5.244B,,1.108B,,,1.108B,668.00M,1.776B,,4.00M,,4.00M,,,,1.78B,736.00M,,736.00M,,,,,187.00M,923.00M,2.703B,,0.00,1.921B,632.00M,-12.00M,2.541B,,,
2005-03,720.00M,975.00M,1.695B,988.00M,,988.00M,130.00M,66.00M,216.00M,,412.00M,,,127.00M,3.222B,,,,,,,,2.893B,-1.547B,1.346B,,,,,,189.00M,1.535B,4.757B,,1.005B,,,1.005B,589.00M,1.594B,,4.00M,,4.00M,,,,1.598B,738.00M,,738.00M,,,,,145.00M,883.00M,2.481B,,0.00,1.641B,646.00M,-11.00M,2.276B,,,
2004-12,646.00M,830.00M,1.476B,878.00M,1.00M,879.00M,100.00M,69.00M,193.00M,,362.00M,,,148.00M,2.865B,,,,,,,,2.708B,-1.447B,1.261B,,,,,,184.00M,1.445B,4.31B,,878.00M,,,878.00M,473.00M,1.351B,,4.00M,,4.00M,48.00M,48.00M,15.00M,1.418B,738.00M,,738.00M,,,,,114.00M,852.00M,2.27B,,0.00,1.412B,635.00M,-7.00M,2.04B,,,
2004-09,458.00M,744.00M,1.202B,825.00M,1.00M,826.00M,,,,,379.00M,,,140.00M,2.547B,,,,,,,,2.633B,-1.346B,1.287B,,,,,,180.00M,1.467B,4.014B,,772.00M,,,772.00M,488.00M,1.26B,,4.00M,,4.00M,,,,1.264B,739.00M,,739.00M,,,,,99.00M,838.00M,2.102B,,0.00,1.268B,651.00M,-7.00M,1.912B,,,
2004-06,422.00M,761.00M,1.183B,690.00M,1.00M,691.00M,91.00M,39.00M,319.00M,,449.00M,,,138.00M,2.461B,0.00,23.00M,360.00M,1.874B,,283.00M,,2.54B,-1.239B,1.301B,,,,,,180.00M,1.481B,3.942B,,740.00M,,,740.00M,504.00M,1.244B,,4.00M,,4.00M,,,,1.248B,739.00M,,739.00M,,,,,100.00M,839.00M,2.087B,,0.00,1.214B,650.00M,-9.00M,1.855B,,,
2004-03,736.00M,627.00M,1.363B,649.00M,,649.00M,135.00M,35.00M,312.00M,,482.00M,,,181.00M,2.675B,,,,,,,,2.315B,-1.146B,1.169B,,,,,,159.00M,1.328B,4.003B,,725.00M,,,725.00M,537.00M,1.262B,,4.00M,,4.00M,,,,1.266B,741.00M,,741.00M,,,,,88.00M,829.00M,2.095B,,0.00,1.248B,667.00M,-7.00M,1.908B,,,
2003-12,703.00M,575.00M,1.278B,912.00M,2.00M,914.00M,88.00M,45.00M,250.00M,,383.00M,,,191.00M,2.766B,,,,,,,,2.172B,-1.055B,1.117B,,,,,,157.00M,1.274B,4.04B,,786.00M,,,786.00M,680.00M,1.466B,,6.00M,,6.00M,,,,1.472B,741.00M,,741.00M,,,,,89.00M,830.00M,2.302B,,0.00,1.088B,657.00M,-7.00M,1.738B,,,
2003-09,834.00M,515.00M,1.349B,708.00M,6.00M,714.00M,,38.00M,228.00M,83.00M,349.00M,,,174.00M,2.586B,,,,,,,,2.041B,-951.00M,1.09B,,,,,,138.00M,1.228B,3.814B,,759.00M,,,759.00M,345.00M,1.104B,,4.00M,,4.00M,,,333.00M,1.441B,743.00M,,743.00M,,,,,86.00M,829.00M,2.27B,,0.00,883.00M,669.00M,-8.00M,1.544B,,,
2003-06,749.00M,445.00M,1.194B,611.00M,,611.00M,71.00M,38.00M,210.00M,,319.00M,,,158.00M,2.282B,0.00,20.00M,330.00M,1.48B,,136.00M,,1.966B,-855.00M,1.111B,,,,,,124.00M,1.235B,3.517B,,640.00M,,,640.00M,708.00M,1.348B,,4.00M,,4.00M,,,11.00M,1.363B,745.00M,,745.00M,,,,,93.00M,838.00M,2.201B,,0.00,685.00M,640.00M,-9.00M,1.316B,,,
2003-03,679.00M,397.00M,1.076B,657.00M,,657.00M,61.00M,64.00M,176.00M,,301.00M,,,162.00M,2.196B,,,,,,,,1.818B,-756.00M,1.062B,,5.00M,5.00M,,,119.00M,1.186B,3.382B,,709.00M,,,709.00M,677.00M,1.386B,,4.00M,,4.00M,,,3.00M,1.393B,745.00M,,745.00M,,,,,98.00M,843.00M,2.236B,,0.00,524.00M,631.00M,-9.00M,1.146B,,,
2002-12,622.00M,352.00M,974.00M,628.00M,,628.00M,43.00M,54.00M,213.00M,,310.00M,,,166.00M,2.078B,,,,,,,,1.675B,-650.00M,1.025B,,5.00M,5.00M,,,113.00M,1.143B,3.221B,,718.00M,,,718.00M,669.00M,1.387B,,4.00M,,4.00M,,,12.00M,1.403B,747.00M,,747.00M,,,,,98.00M,845.00M,2.248B,,0.00,351.00M,632.00M,-10.00M,973.00M,,,
2002-09,505.00M,296.00M,801.00M,668.00M,,668.00M,52.00M,52.00M,187.00M,,291.00M,,,146.00M,1.906B,,,,,,,,1.588B,-560.00M,1.028B,,6.00M,6.00M,,,111.00M,1.145B,3.051B,,656.00M,,,656.00M,776.00M,1.432B,,4.00M,,4.00M,,,12.00M,1.448B,747.00M,,747.00M,,,,,102.00M,849.00M,2.297B,,0.00,153.00M,609.00M,-8.00M,754.00M,,,
