,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-03,1.604B,993.00M,2.597B,4.813B,,4.813B,1.096B,225.00M,1.171B,2.492B,1.163B,,,11.06B,,,,,,,22.10B,-10.84B,11.26B,5.209B,2.048B,7.257B,,,,6.114B,,2008-03,7.386B,,,,7.386B,,7.386B,,,1.103B,,1.103B,98.00M,8.587B,4.884B,4.884B,681.00M,681.00M,,-92.00M,18.89B,,2008-03,30.00M,28.64B,,,,-711.00M,16.81B,,2008-03,,Restated
2007-12,910.00M,1.571B,2.481B,3.67B,788.00M,4.389B,1.056B,157.00M,1.077B,2.29B,991.00M,,,10.15B,0.00,864.00M,4.577B,14.47B,,1.984B,21.90B,-10.67B,11.23B,5.169B,2.044B,7.213B,4.354B,,,1.682B,,2007-12,7.602B,,151.00M,,7.753B,,7.753B,,,,,,,7.753B,4.203B,4.203B,646.00M,646.00M,,,17.39B,,2007-12,71.00M,28.18B,41.00M,,,-952.00M,17.23B,,2007-12,,Restated
2007-09,1.035B,1.203B,2.238B,4.764B,,4.764B,1.086B,209.00M,988.00M,2.283B,662.00M,,,9.947B,,,,,,,20.64B,-10.24B,10.40B,4.814B,1.889B,6.703B,,,,5.361B,,2007-09,7.291B,,,,7.291B,,7.291B,,,27.00M,,27.00M,785.00M,8.103B,2.954B,2.954B,326.00M,326.00M,,-87.00M,16.08B,,2007-09,30.00M,27.53B,,,,-1.837B,16.33B,,2007-09,,
2007-06,998.00M,864.00M,1.862B,4.669B,,4.669B,1.101B,302.00M,1.107B,2.51B,747.00M,,,9.788B,,,,,,,19.94B,-9.866B,10.08B,4.789B,1.905B,6.694B,,,,5.366B,,2007-06,6.87B,,,,6.87B,,6.87B,,,364.00M,,364.00M,355.00M,7.589B,3.261B,3.261B,326.00M,326.00M,,-83.00M,15.97B,,2007-06,30.00M,26.39B,,,,-1.888B,15.96B,,2007-06,,
2007-03,967.00M,770.00M,1.737B,4.123B,,4.123B,893.00M,168.00M,1.013B,2.074B,757.00M,,,8.691B,,,,,,,19.20B,-9.469B,9.731B,4.596B,1.84B,6.436B,,,,4.972B,,2007-03,6.207B,,,,6.207B,,6.207B,,,1.002B,,1.002B,313.00M,7.522B,1.807B,1.807B,348.00M,348.00M,,-81.00M,14.40B,,2007-03,30.00M,25.45B,,,,-2.238B,15.43B,,2007-03,,
2006-12,1.651B,1.171B,2.822B,3.725B,,3.725B,860.00M,140.00M,926.00M,1.926B,657.00M,,,9.13B,0.00,756.00M,4.095B,12.77B,,1.439B,19.06B,-9.371B,9.687B,4.594B,1.849B,6.443B,,,,4.67B,,2006-12,2.102B,,,,2.102B,2.587B,4.689B,,,274.00M,,274.00M,1.897B,6.86B,2.55B,2.55B,528.00M,528.00M,,-79.00M,14.48B,,2006-12,30.00M,24.84B,,-506.00M,-1.74B,-2.246B,15.45B,,2006-12,,Restated
2006-09,1.325B,2.075B,3.40B,4.154B,,4.154B,855.00M,172.00M,935.00M,1.962B,623.00M,,,10.14B,,,,,,,18.22B,-9.109B,9.111B,4.473B,1.777B,6.25B,,,,6.766B,,2006-09,6.498B,,,,6.498B,,6.498B,,,568.00M,,568.00M,668.00M,7.734B,2.528B,2.528B,1.462B,1.462B,,-76.00M,16.18B,,2006-09,30.00M,23.55B,,,,-811.00M,16.08B,,2006-09,,
2006-06,419.00M,2.259B,2.678B,4.104B,,4.104B,865.00M,228.00M,1.007B,2.10B,648.00M,,,9.53B,,,,,,,17.82B,-8.884B,8.937B,4.271B,1.704B,5.975B,,,,6.984B,,2006-06,6.184B,,,,6.184B,,6.184B,,,1.161B,,1.161B,449.00M,7.794B,2.542B,2.542B,1.427B,1.427B,,-73.00M,16.12B,,2006-06,30.00M,22.56B,,,,-902.00M,15.31B,,2006-06,,
2006-03,956.00M,2.373B,3.329B,3.634B,,3.634B,764.00M,159.00M,958.00M,1.881B,658.00M,,,9.502B,,,,,,,17.39B,-8.632B,8.754B,,5.701B,5.701B,,,,7.037B,,2006-03,5.587B,,,,5.587B,,5.587B,,,2.214B,,2.214B,359.00M,8.16B,2.288B,2.288B,1.378B,1.378B,,-71.00M,16.18B,,2006-03,30.00M,21.70B,,,,-989.00M,14.81B,,2006-03,,
2005-12,1.716B,3.166B,4.882B,3.261B,,3.261B,738.00M,112.00M,843.00M,1.693B,618.00M,,,10.45B,0.00,685.00M,3.736B,11.66B,,1.066B,17.14B,-8.464B,8.681B,4.088B,1.616B,5.704B,,,,6.888B,,2005-12,5.971B,,,,5.971B,,5.971B,,,2.889B,,2.889B,546.00M,9.406B,2.313B,2.313B,1.434B,1.434B,,-69.00M,17.41B,,2005-12,30.00M,21.12B,,,,-1.053B,14.32B,,2005-12,,
2005-09,844.00M,4.028B,4.872B,3.757B,,3.757B,716.00M,180.00M,768.00M,1.664B,498.00M,,,10.79B,,,,,,,16.43B,-8.264B,8.163B,,5.321B,5.321B,,,,6.623B,,2005-09,5.86B,,,,5.86B,,5.86B,,,2.266B,,2.266B,890.00M,9.016B,2.30B,2.30B,1.338B,1.338B,,-63.00M,16.74B,,2005-09,30.00M,20.44B,,,,-921.00M,14.16B,,2005-09,,
2005-06,595.00M,3.328B,3.923B,3.504B,,3.504B,749.00M,239.00M,834.00M,1.822B,661.00M,,,9.91B,,,,,,,16.12B,-8.063B,8.056B,,5.324B,5.324B,,,,6.394B,,2005-06,5.422B,,,,5.422B,,5.422B,,,2.00B,,2.00B,546.00M,7.968B,2.331B,2.331B,1.171B,1.171B,,-60.00M,15.43B,,2005-06,30.00M,20.01B,,,,-1.03B,14.25B,,2005-06,,
2005-03,681.00M,2.692B,3.373B,3.217B,,3.217B,660.00M,159.00M,819.00M,1.638B,648.00M,,,8.876B,,,,,,,16.04B,-7.951B,8.093B,,5.455B,5.455B,,,,6.247B,,2005-03,5.093B,,,,5.093B,,5.093B,,,1.804B,,1.804B,297.00M,7.194B,2.39B,2.39B,1.212B,1.212B,,-55.00M,14.70B,,2005-03,30.00M,19.26B,,,,-853.00M,13.97B,,2005-03,,
2004-12,1.28B,2.165B,3.445B,2.999B,,2.999B,665.00M,156.00M,720.00M,1.541B,654.00M,,,8.639B,0.00,646.00M,3.605B,10.95B,,729.00M,15.93B,-7.781B,8.149B,3.909B,1.531B,5.44B,,,,5.759B,,2004-12,5.599B,,,,5.599B,,5.599B,,,1.054B,,1.054B,99.00M,6.752B,2.397B,2.397B,1.216B,1.216B,,-49.00M,14.42B,,2004-12,30.00M,18.73B,,,,-886.00M,13.57B,,2004-12,,
2004-09,1.481B,1.272B,2.753B,3.372B,,3.372B,647.00M,243.00M,708.00M,1.598B,621.00M,,,8.344B,,,,,,,15.20B,-7.474B,7.723B,,5.267B,5.267B,,,,5.27B,,2004-09,5.515B,,,,5.515B,,5.515B,,,253.00M,,253.00M,205.00M,5.973B,2.409B,2.409B,1.313B,1.313B,,-42.00M,13.78B,,2004-09,30.00M,18.13B,,,,-1.327B,12.83B,,2004-09,,
2004-06,840.00M,1.239B,2.079B,3.36B,,3.36B,681.00M,282.00M,727.00M,1.69B,660.00M,,,7.789B,,,,,,,15.00B,-7.266B,7.737B,,5.316B,5.316B,,,,5.163B,,2004-06,5.327B,,,,5.327B,,5.327B,,,424.00M,,424.00M,91.00M,5.842B,2.445B,2.445B,1.191B,1.191B,,-39.00M,13.64B,,2004-06,30.00M,17.16B,,,,-1.335B,12.36B,,2004-06,,
2004-03,773.00M,1.131B,1.904B,3.059B,,3.059B,621.00M,213.00M,655.00M,1.489B,700.00M,,,7.152B,,,,,,,14.91B,-7.123B,7.789B,,5.401B,5.401B,,,,5.161B,,2004-03,4.859B,,,,4.859B,,4.859B,,,460.00M,,460.00M,639.00M,5.958B,1.648B,1.648B,1.226B,1.226B,,-32.00M,12.98B,,2004-03,30.00M,16.49B,,,,-1.206B,12.52B,,2004-03,,
2003-12,820.00M,1.181B,2.001B,2.83B,,2.83B,618.00M,160.00M,634.00M,1.412B,687.00M,,,6.93B,0.00,557.00M,3.449B,10.17B,,579.00M,14.76B,-6.927B,7.828B,,5.383B,5.383B,,,,5.186B,,2003-12,5.213B,,,,5.213B,,5.213B,,,591.00M,,591.00M,611.00M,6.415B,1.702B,1.702B,1.261B,1.261B,,-22.00M,13.43B,,2003-12,30.00M,15.96B,,,,-1.267B,11.90B,,2003-12,,
2003-09,2.251B,387.00M,2.638B,3.176B,,3.176B,601.00M,229.00M,610.00M,1.44B,667.00M,,,7.921B,,,,,,,14.22B,-6.622B,7.60B,,5.193B,5.193B,,,,4.567B,,2003-09,4.878B,,,,4.878B,,4.878B,,,197.00M,,197.00M,891.00M,5.966B,2.08B,2.08B,1.911B,1.911B,,-17.00M,14.36B,,2003-09,30.00M,15.28B,,,,-1.601B,10.92B,,2003-09,,
2003-06,838.00M,971.00M,1.809B,3.084B,,3.084B,602.00M,288.00M,750.00M,1.64B,701.00M,,,7.234B,,,,,,,14.14B,-6.496B,7.646B,,5.308B,5.308B,,,,4.558B,,2003-06,4.87B,,,,4.87B,,4.87B,,,262.00M,,262.00M,907.00M,6.039B,2.049B,2.049B,1.688B,1.688B,,-14.00M,14.11B,,2003-06,30.00M,14.56B,,,,-1.426B,10.64B,,2003-06,,
2003-03,926.00M,292.00M,1.218B,2.823B,,2.823B,547.00M,237.00M,662.00M,1.446B,700.00M,,,6.187B,,,,,,,13.62B,-6.178B,7.443B,,809.00M,809.00M,,,,8.799B,,2003-03,4.587B,,,,4.587B,,4.587B,,,241.00M,,241.00M,689.00M,5.517B,2.202B,2.202B,1.71B,1.71B,,-10.00M,13.70B,,2003-03,30.00M,13.93B,,,,-1.747B,9.536B,,2003-03,,
2002-12,1.638B,207.00M,1.845B,2.531B,,2.531B,525.00M,214.00M,603.00M,1.342B,695.00M,,,6.413B,0.00,504.00M,3.119B,9.005B,,767.00M,13.40B,-6.005B,7.39B,,5.219B,5.219B,,,,4.452B,,2002-12,4.998B,,,,4.998B,,4.998B,,,562.00M,,562.00M,492.00M,6.052B,2.187B,2.187B,1.718B,1.718B,,-7.00M,14.18B,,2002-12,30.00M,13.46B,,,,-1.672B,9.298B,,2002-12,,
2002-09,1.817B,462.00M,2.279B,2.856B,,2.856B,524.00M,276.00M,663.00M,1.463B,681.00M,,,7.279B,,,,,,,12.98B,-5.814B,7.167B,,4.978B,4.978B,,,,4.369B,,2002-09,5.00B,,,,5.00B,,5.00B,,,760.00M,,760.00M,476.00M,6.236B,2.271B,2.271B,1.617B,1.617B,,,14.27B,,2002-09,30.00M,12.94B,,,,-1.729B,9.521B,,2002-09,,
2002-06,1.557B,1.389B,2.946B,2.75B,,2.75B,577.00M,343.00M,679.00M,1.599B,786.00M,,,8.081B,,,,,,,12.85B,-5.714B,7.137B,,4.966B,4.966B,,,,4.016B,,2002-06,5.028B,,,,5.028B,,5.028B,,,846.00M,,846.00M,437.00M,6.311B,2.257B,2.257B,1.461B,1.461B,,4.00M,14.17B,,2002-06,30.00M,12.28B,,,,-1.726B,10.03B,,2002-06,,
2002-03,1.008B,1.054B,2.062B,2.447B,,2.447B,508.00M,299.00M,600.00M,1.407B,844.00M,,,6.76B,,,,,,,12.59B,-5.56B,7.026B,,4.921B,4.921B,,,,3.904B,,2002-03,4.531B,,,,4.531B,,4.531B,,,779.00M,,779.00M,280.00M,5.59B,2.276B,2.276B,1.462B,1.462B,,,13.39B,,2002-03,42.00M,-1.78B,12.00M,,,,9.22B,,2002-03,,
2001-12,683.00M,966.00M,1.649B,2.142B,,2.142B,535.00M,205.00M,570.00M,1.31B,752.00M,,,5.853B,0.00,464.00M,2.846B,8.135B,,735.00M,12.18B,-5.304B,6.876B,,4.841B,4.841B,,,,4.125B,,2001-12,4.461B,,,,4.461B,,4.461B,,,354.00M,,354.00M,183.00M,4.998B,2.651B,2.651B,1.496B,1.496B,,26.00M,13.05B,,2001-12,30.00M,11.52B,,,,-1.646B,8.648B,,2001-12,,
2001-09,460.00M,2.17B,2.63B,2.598B,,2.598B,563.00M,236.00M,584.00M,1.383B,846.00M,,,7.457B,,,,,,,11.91B,-5.224B,6.686B,,4.994B,4.994B,,,,3.899B,,2001-09,4.582B,,,,4.582B,,4.582B,,,252.00M,,252.00M,370.00M,5.204B,2.559B,2.559B,1.349B,1.349B,,33.00M,13.30B,,2001-09,30.00M,11.11B,,,,-1.485B,9.737B,,2001-09,,
2001-06,344.00M,1.013B,1.357B,2.162B,,2.162B,505.00M,299.00M,374.00M,1.178B,727.00M,,,5.424B,,,,9.888B,,,9.888B,-4.338B,5.55B,,4.778B,4.778B,,,,3.751B,,2001-06,3.66B,,,,3.66B,,3.66B,,,198.00M,,198.00M,127.00M,3.985B,1.933B,1.933B,1.344B,1.344B,,,10.86B,,2001-06,29.00M,16.18B,,,,-1.334B,8.638B,,2001-06,,
2001-03,403.00M,560.00M,963.00M,1.888B,,1.888B,,,,1.003B,,,706.00M,4.56B,,,,,,,9.624B,-4.20B,5.424B,,4.827B,4.827B,,,,3.849B,,2001-03,3.45B,,,,3.45B,,3.45B,,,126.00M,,126.00M,131.00M,3.707B,2.492B,2.492B,1.345B,1.345B,,,11.10B,,2001-03,29.00M,15.74B,,,,-1.361B,7.557B,,2001-03,,
2000-12,1.038B,467.00M,1.505B,2.129B,,2.129B,503.00M,160.00M,529.00M,1.192B,791.00M,,,5.617B,,,,,,,11.46B,-4.901B,6.558B,,4.714B,4.714B,,,,3.868B,,2000-12,4.529B,,,,4.529B,,4.529B,,,202.00M,,202.00M,64.00M,4.795B,3.009B,3.009B,1.367B,1.367B,,22.00M,13.15B,,2000-12,34.00M,16.51B,,,,-1.395B,7.604B,,2000-12,,
2000-09,705.00M,97.00M,802.00M,,,1.835B,,,,975.00M,,,588.00M,4.20B,,,,,,,9.209B,-3.928B,5.281B,,4.531B,4.531B,,,,3.647B,,2000-09,3.337B,,,,3.337B,,3.337B,,,116.00M,,116.00M,168.00M,3.621B,2.737B,2.737B,1.38B,1.38B,,,10.77B,,2000-09,29.00M,15.04B,,,,-1.219B,6.888B,,2000-09,,
2000-06,528.00M,79.00M,607.00M,,,1.878B,,,,1.051B,,,615.00M,4.151B,,,,,,,9.015B,-3.782B,5.233B,,4.572B,4.572B,,,,3.536B,,2000-06,3.287B,,,,3.287B,,3.287B,,,242.00M,,242.00M,225.00M,3.754B,2.742B,2.742B,1.306B,1.306B,,,10.74B,,2000-06,29.00M,14.66B,,,,-1.205B,6.747B,,2000-06,,
2000-03,424.00M,96.00M,520.00M,,,1.734B,,,,929.00M,,,594.00M,3.777B,,,,,,,8.895B,-3.665B,5.23B,,4.666B,4.666B,,,,3.344B,,2000-03,3.007B,,,,3.007B,,3.007B,,,278.00M,,278.00M,189.00M,3.474B,2.901B,2.901B,1.222B,1.222B,,,10.51B,,2000-03,29.00M,14.29B,,,,-1.047B,6.507B,,2000-03,,
1999-12,964.00M,92.00M,1.056B,1.704B,,1.704B,,,,899.00M,,,514.00M,4.173B,,,,,,,11.06B,-5.792B,5.266B,,4.735B,4.735B,,,,3.377B,,1999-12,3.399B,,,,3.399B,,3.399B,,,233.00M,,233.00M,156.00M,3.788B,2.812B,2.812B,1.209B,1.209B,,,10.67B,,1999-12,29.00M,14.07B,,,,-989.00M,6.881B,,1999-12,,
1999-09,478.00M,72.00M,550.00M,,,1.663B,,,,845.00M,,,539.00M,3.597B,,,,,,,8.371B,-3.413B,4.958B,,4.693B,4.693B,,,,3.473B,,1999-09,790.00M,,,,790.00M,,790.00M,,,94.00M,,94.00M,2.518B,3.402B,2.641B,2.641B,1.317B,1.317B,,,9.839B,,1999-09,29.00M,13.77B,,-951.00M,,-951.00M,6.882B,,1999-09,,
1999-06,1.747B,,1.747B,,,1.948B,,,,970.00M,,,1.733B,6.398B,,,,,,,8.328B,-3.339B,4.989B,,4.795B,4.795B,,,,3.306B,,1999-06,856.00M,,,,856.00M,,856.00M,,,2.931B,,2.931B,2.439B,6.226B,2.625B,2.625B,1.285B,1.285B,,,12.55B,,1999-06,,13.49B,,,,,6.938B,,1999-06,,
1999-03,2.124B,,2.124B,,,2.38B,,,,1.096B,,,3.272B,8.872B,,,,,,,13.06B,-5.868B,7.193B,,8.981B,8.981B,,,,2.059B,,1999-03,3.571B,,,,3.571B,,3.571B,,,7.086B,,7.086B,235.00M,10.89B,5.378B,5.378B,1.963B,1.963B,,,20.55B,,1999-03,,12.94B,,,,,6.552B,,1999-03,,
1998-12,311.00M,,311.00M,,,2.453B,,,,1.016B,,,582.00M,4.362B,,,,,,,13.11B,-5.792B,7.318B,,8.996B,8.996B,,,,1.984B,,1998-12,3.87B,,,,3.87B,,3.87B,,,3.921B,,3.921B,123.00M,7.914B,4.028B,4.028B,2.003B,2.003B,,,16.26B,,1998-12,,12.80B,,,,,6.401B,,1998-12,,
1998-09,326.00M,,326.00M,,,2.476B,,,,805.00M,,,664.00M,4.271B,,,,,,,12.07B,-5.498B,6.57B,,8.744B,8.744B,,,,2.79B,,1998-09,3.911B,,,,3.911B,,3.911B,,,,,,3.906B,7.817B,4.231B,4.231B,1.818B,1.818B,,,16.16B,,1998-09,,12.63B,,,,,6.215B,,1998-09,,
1998-06,375.00M,,375.00M,,,2.507B,,,,881.00M,,,795.00M,4.558B,,,,,,,11.94B,-5.387B,6.553B,,5.99B,5.99B,,,,1.792B,,1998-06,3.183B,,,,3.183B,,3.183B,,,200.00M,,200.00M,683.00M,4.066B,4.679B,4.679B,1.749B,1.749B,,,12.82B,,1998-06,,12.06B,,,,,6.075B,,1998-06,,
