,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2013-03,1.085B,111.00M,,149.00M,260.00M,551.00M,551.00M,-23.00M,,77.00M,-36.00M,-151.00M,-175.00M,-351.00M,-201.00M,-334.00M,,,,-1.061B,,,2013-03,-303.00M,8.00M,8.00M,,-30.00M,40.00M,,,2013-03,1.301B,-153.00M,1.148B,,-626.00M,-626.00M,-2.00M,-2.00M,,-831.00M,35.00M,173.00M,,2013-03,590.00M,-172.00M,6.715B,,2013-03,,2.802B,-628.00M,,2013-03,AOR,Restated
2012-12,1.667B,0.00,,382.00M,382.00M,852.00M,852.00M,38.00M,,85.00M,-35.00M,-662.00M,1.05B,378.00M,172.00M,-566.00M,,,,1.034B,,,2012-12,-1.305B,37.00M,37.00M,,-92.00M,82.00M,1.00M,,2012-12,-300.00M,733.00M,433.00M,,-891.00M,-891.00M,-2.00M,-2.00M,,-835.00M,-42.00M,-1.142B,,2012-12,942.00M,46.00M,6.297B,,2012-12,,1.288B,-893.00M,,2012-12,AOR,Restated
2012-09,1.913B,0.00,,143.00M,143.00M,636.00M,636.00M,198.00M,,68.00M,-36.00M,-135.00M,-216.00M,409.00M,113.00M,778.00M,,,,1.084B,,,2012-09,-508.00M,16.00M,16.00M,,-34.00M,-62.00M,-2.00M,,2012-09,2.151B,-2.52B,-369.00M,,-1.122B,-1.122B,-2.00M,-2.00M,,-844.00M,34.00M,-1.872B,,2012-09,1.409B,37.00M,5.309B,,2012-09,,2.012B,-1.124B,,2012-09,AOR,Restated
2012-06,1.501B,0.00,,142.00M,142.00M,646.00M,646.00M,-35.00M,,69.00M,-18.00M,-88.00M,-1.013B,-377.00M,1.00M,1.109B,,,,-280.00M,,,2012-06,-585.00M,25.00M,25.00M,,-310.00M,-11.00M,0.00,,2012-06,-1.025B,2.116B,1.091B,,-1.064B,-1.064B,-2.00M,-2.00M,,-810.00M,-12.00M,-575.00M,,2012-06,481.00M,-103.00M,3.863B,,2012-06,,502.00M,-1.066B,,2012-06,AOR,Restated
2012-03,1.133B,0.00,,129.00M,129.00M,555.00M,555.00M,120.00M,,56.00M,-35.00M,-1.244B,-71.00M,-266.00M,-197.00M,-870.00M,,,,-1.404B,,,2012-03,-316.00M,17.00M,17.00M,,-23.00M,52.00M,13.00M,,2012-03,2.724B,-1.79B,934.00M,,-142.00M,-142.00M,-1.00M,-1.00M,,-816.00M,34.00M,283.00M,,2012-03,-664.00M,82.00M,3.485B,,2012-03,,2.746B,-143.00M,,2012-03,AOR,Restated
2011-12,1.402B,,,182.00M,182.00M,860.00M,860.00M,363.00M,,104.00M,-14.00M,-28.00M,977.00M,135.00M,27.00M,-898.00M,,,,241.00M,,,2011-12,-1.377B,38.00M,38.00M,,329.00M,100.00M,-13.00M,,2011-12,0.00,247.00M,247.00M,,-560.00M,-560.00M,-2.00M,-2.00M,,-808.00M,-90.00M,-992.00M,,2011-12,1.195B,-211.00M,4.067B,,2011-12,,532.00M,-562.00M,,2011-12,AOR,Restated
2011-09,2.011B,,,135.00M,135.00M,690.00M,690.00M,278.00M,,76.00M,-4.00M,-213.00M,-152.00M,276.00M,90.00M,294.00M,,,,508.00M,,,2011-09,-731.00M,12.00M,12.00M,,-89.00M,-34.00M,-1.00M,,2011-09,-836.00M,318.00M,-518.00M,,-1.183B,-1.183B,-1.00M,-1.00M,,-819.00M,5.00M,-2.444B,,2011-09,194.00M,-24.00M,3.083B,,2011-09,,1.396B,-1.184B,,2011-09,AOR,Restated
2011-06,1.905B,,,135.00M,135.00M,664.00M,664.00M,-48.00M,,74.00M,-28.00M,-287.00M,-1.22B,-665.00M,-7.00M,1.45B,,,,-442.00M,,,2011-06,-798.00M,22.00M,22.00M,,-33.00M,-63.00M,-1.00M,,2011-06,1.47B,-1.379B,91.00M,,-385.00M,-385.00M,-2.00M,-2.00M,769.00M,-761.00M,-1.302B,-1.925B,,2011-06,-825.00M,76.00M,2.913B,,2011-06,,744.00M,-387.00M,,2011-06,AOR,Restated
2011-03,1.144B,,,119.00M,119.00M,523.00M,523.00M,-98.00M,,72.00M,-24.00M,-205.00M,-271.00M,-77.00M,-137.00M,-666.00M,,,,-1.151B,,,2011-03,-433.00M,12.00M,12.00M,,-2.62B,63.00M,-1.00M,,2011-03,-1.00M,1.117B,1.116B,,-361.00M,-361.00M,-2.00M,-2.00M,-769.00M,-769.00M,24.00M,226.00M,,2011-03,-2.373B,92.00M,3.662B,,2011-03,,1.19B,-363.00M,,2011-03,AOR,Restated
2010-12,1.361B,0.00,963.00M,143.00M,1.106B,747.00M,747.00M,209.00M,0.00,108.00M,-34.00M,-1.128B,1.019B,52.00M,158.00M,-938.00M,,,,291.00M,,,2010-12,-683.00M,26.00M,26.00M,900.00M,-1.398B,-172.00M,3.00M,,2010-12,1.75B,-897.00M,853.00M,,-560.00M,-560.00M,-2.00M,-2.00M,,-760.00M,27.00M,-104.00M,,2010-12,332.00M,34.00M,5.943B,,2010-12,,1.408B,-562.00M,,2010-12,AOR,Restated
