,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,Restated
2006-09,427.35M,13.23M,440.59M,610.76M,610.76M,772.12M,46.96M,72.72M,,1.943B,,,,,1.808B,-1.014B,794.46M,197.49M,,197.49M,,16.69M,131.14M,1.140B,3.083B,,2006-09,344.98M,,344.98M,,,,4.59M,4.59M,,,17.26M,702.27M,4.895M,4.895M,6.826M,6.826M,,,92.38M,104.10M,806.37M,,2006-09,54.83M,2.933B,,,2.614M,2.277B,,
2006-06,453.54M,,453.54M,608.35M,608.35M,781.99M,57.79M,92.18M,,1.994B,,,,,1.776B,-991.47M,784.59M,196.89M,,196.89M,,12.98M,134.50M,1.129B,3.123B,,2006-06,319.44M,,319.44M,,,,4.59M,4.59M,,,41.73M,666.65M,4.895M,4.895M,6.378M,6.378M,,,89.04M,100.31M,766.96M,,2006-06,54.83M,2.854B,,,-0.299M,2.356B,,
2006-03,493.88M,,493.88M,569.60M,569.60M,805.59M,58.89M,90.16M,,2.018B,,,,,1.746B,-970.26M,775.82M,191.80M,,191.80M,,4.637M,158.95M,1.131B,3.149B,,2006-03,357.88M,,357.88M,,,,4.59M,4.59M,,,70.19M,698.97M,4.895M,4.895M,7.437M,7.437M,,,85.01M,97.34M,796.31M,,2006-03,54.83M,2.787B,,,5.764M,2.353B,,
2005-12,544.89M,,544.89M,518.62M,518.62M,791.21M,54.33M,76.47M,,1.986B,0.00,162.12M,841.03M,716.50M,1.720B,-949.03M,770.62M,182.73M,,182.73M,,16.70M,152.33M,1.122B,3.108B,,2005-12,319.25M,,319.25M,,,,4.59M,4.59M,,,24.55M,695.35M,4.895M,4.895M,7.019M,7.019M,,,111.68M,123.59M,818.94M,,2005-12,54.83M,2.722B,27.44M,-17.63M,9.802M,2.289B,,
2005-09,446.42M,,446.42M,547.62M,547.62M,751.13M,48.96M,86.92M,,1.881B,,,,,1.691B,-922.90M,768.18M,,182.88M,182.88M,,10.22M,143.76M,1.105B,2.986B,,2005-09,336.06M,,336.06M,,,,9.485M,9.485M,,,35.63M,701.01M,,,5.902M,5.902M,,,85.13M,91.03M,792.04M,,2005-09,54.83M,2.640B,,,7.922M,2.194B,,
2005-06,326.03M,,326.03M,531.71M,531.71M,728.47M,55.12M,90.33M,,1.732B,,,,,1.672B,-908.57M,763.74M,,177.21M,177.21M,,10.07M,131.28M,1.082B,2.814B,,2005-06,304.92M,,304.92M,,,,9.485M,9.485M,,,35.28M,629.49M,,,5.265M,5.265M,,,81.54M,86.80M,716.30M,,2005-06,54.83M,2.573B,,,-8.153M,2.098B,,
2005-03,369.50M,,369.50M,520.23M,520.23M,741.75M,55.02M,97.98M,,1.784B,,,,,1.655B,-895.49M,759.40M,,178.40M,178.40M,,5.535M,125.25M,1.069B,2.853B,,2005-03,334.96M,,334.96M,,,,9.485M,9.485M,,,57.66M,647.92M,,,4.877M,4.877M,,,78.55M,83.43M,731.35M,,2005-03,54.84M,2.513B,,,0.412M,2.122B,,
2004-12,429.25M,,429.25M,480.89M,480.89M,700.56M,47.09M,96.93M,,1.755B,0.00,154.67M,804.32M,679.14M,1.638B,-876.56M,761.57M,,165.01M,165.01M,,18.87M,109.40M,1.055B,2.810B,,2004-12,289.39M,,289.39M,,,,9.485M,9.485M,,,35.25M,662.43M,,,4.482M,4.482M,,,74.69M,79.17M,741.60M,,2004-12,54.84M,2.458B,,,3.589M,2.068B,,
2004-09,393.66M,,393.66M,501.86M,501.86M,655.29M,45.76M,104.24M,,1.701B,,,,,1.597B,-870.82M,726.47M,,159.27M,159.27M,,8.378M,94.57M,988.68M,2.689B,,2004-09,313.15M,,313.15M,,,,4.59M,4.59M,,,35.10M,651.27M,4.895M,4.895M,,,,,75.46M,80.36M,731.63M,,2004-09,54.84M,2.386B,,,-11.96M,1.958B,,
2004-06,486.13M,,486.13M,484.55M,484.55M,654.70M,50.12M,104.85M,,1.780B,,,,,1.567B,-849.54M,717.16M,,153.21M,153.21M,,18.32M,83.98M,972.67M,2.753B,,2004-06,314.78M,,314.78M,,,,140.19M,140.19M,,,29.59M,736.89M,4.895M,4.895M,,,,,74.67M,79.56M,816.45M,,2004-06,54.94M,2.337B,,,-20.73M,1.937B,,
2004-03,434.73M,,434.73M,472.97M,472.97M,654.11M,52.45M,101.43M,,1.716B,,,,,1.551B,-831.65M,718.90M,,155.04M,155.04M,,15.88M,80.05M,969.88M,2.686B,,2004-03,312.32M,,312.32M,,,,142.56M,142.56M,,,72.98M,751.01M,4.895M,4.895M,,,,,71.56M,76.45M,827.46M,,2004-03,54.74M,2.288B,,,-9.664M,1.858B,,
2003-12,402.82M,,402.82M,431.90M,431.90M,661.25M,37.95M,99.50M,,1.633B,0.00,153.36M,785.89M,605.90M,1.545B,-813.16M,731.99M,,156.27M,156.27M,,20.30M,82.71M,991.26M,2.625B,,2003-12,257.81M,,257.81M,,,,144.14M,144.14M,,,43.69M,706.64M,4.895M,4.895M,,,,,68.01M,72.90M,779.54M,,2003-12,54.69M,2.243B,,,-8.877M,1.845B,,
2003-09,293.64M,,293.64M,462.04M,462.04M,705.81M,42.42M,100.81M,,1.605B,,,,,1.542B,-810.83M,731.27M,,214.11M,214.11M,,23.33M,24.25M,992.96M,2.598B,,2003-09,288.91M,,288.91M,,,,4.999M,4.999M,,,44.39M,576.50M,138.96M,138.96M,,,,,74.72M,213.68M,790.18M,,2003-09,54.68M,2.198B,,,-20.78M,1.807B,,
2003-06,186.70M,,186.70M,464.46M,464.46M,747.12M,50.78M,101.06M,,1.550B,,,,,1.526B,-794.91M,731.12M,,218.11M,218.11M,,24.74M,19.76M,993.73M,2.544B,,2003-06,314.54M,,314.54M,,,,6.455M,6.455M,,,34.82M,576.58M,139.16M,139.16M,,,,,70.97M,210.14M,786.72M,,2003-06,54.58M,2.158B,,,-22.66M,1.757B,,
2003-03,218.58M,,218.58M,454.98M,454.98M,706.02M,52.78M,97.96M,,1.530B,,,,,1.516B,-776.96M,738.67M,,120.65M,120.65M,,23.70M,79.42M,962.43M,2.493B,,2003-03,301.28M,,301.28M,,,,9.298M,9.298M,,,65.27M,579.98M,127.56M,127.56M,,,,,67.55M,195.12M,775.10M,,2003-03,54.52M,2.119B,,,-39.00M,1.718B,,
2002-12,208.53M,,208.53M,423.24M,423.24M,721.18M,36.66M,95.34M,,1.485B,0.00,154.06M,769.12M,569.67M,1.493B,-756.05M,736.81M,,118.70M,118.70M,,20.54M,76.46M,952.50M,2.437B,,2002-12,290.81M,,290.81M,,,,9.472M,9.472M,,,37.90M,586.27M,119.69M,119.69M,,,,,63.79M,183.48M,769.75M,,2002-12,54.51M,2.083B,,,-52.89M,1.668B,,
2002-09,218.47M,,218.47M,479.74M,479.74M,646.45M,33.64M,100.98M,,1.479B,,,,,1.469B,-745.49M,723.83M,,118.02M,118.02M,,11.50M,84.37M,937.72M,2.417B,,2002-09,333.21M,,333.21M,,,,13.96M,13.96M,,,25.83M,623.70M,118.64M,118.64M,,,,,63.19M,181.83M,805.54M,,2002-09,54.44M,2.037B,,,-57.40M,1.611B,,
2002-06,199.29M,,199.29M,500.72M,500.72M,643.17M,37.29M,104.79M,,1.485B,,,,,1.432B,-731.49M,700.57M,,122.31M,122.31M,,16.48M,90.62M,929.98M,2.415B,,2002-06,306.60M,,306.60M,,,,14.19M,14.19M,,,18.09M,570.34M,123.83M,123.83M,,,,0.02M,61.11M,184.94M,755.28M,,2002-06,54.44M,1.994B,,,-48.89M,1.660B,,
2002-03,221.59M,,221.59M,484.08M,484.08M,649.47M,41.94M,99.54M,,1.497B,,,,,1.401B,-712.96M,687.96M,,,,,0.754M,245.96M,934.67M,2.431B,,2002-03,342.86M,,342.86M,,,,14.50M,14.50M,,,34.70M,603.98M,117.96M,117.96M,,,,0.138M,58.04M,176.00M,779.98M,,2002-03,54.45M,1.980B,,,-56.94M,1.651B,,
2001-12,168.85M,,168.85M,454.18M,454.18M,634.65M,37.48M,97.45M,,1.393B,0.00,150.34M,722.04M,514.05M,1.386B,-696.71M,689.72M,155.48M,,155.48M,,,93.43M,938.64M,2.331B,,2001-12,275.89M,,275.89M,,,,17.05M,17.05M,,,9.112M,553.81M,118.22M,118.22M,1.239M,1.239M,,0.139M,54.65M,174.11M,727.92M,,2001-12,54.24M,1.938B,,,-47.28M,1.603B,,
2001-09,138.52M,,138.52M,548.29M,548.29M,630.44M,47.99M,92.81M,,1.458B,,,,,1.355B,-682.46M,672.11M,,,,,5.974M,243.54M,921.62M,2.380B,,2001-09,285.00M,,285.00M,,,,26.92M,26.92M,,,21.66M,638.94M,119.12M,119.12M,,,,0.088M,53.60M,172.72M,811.65M,,2001-09,54.23M,1.893B,,,-60.98M,1.568B,,
2001-06,66.28M,,66.28M,606.38M,606.38M,665.16M,55.41M,98.20M,,1.491B,,,,,1.344B,-667.62M,676.09M,,,,,5.052M,265.24M,946.38M,2.438B,,2001-06,299.33M,,299.33M,,,,119.30M,119.30M,-6.125M,-6.125M,,692.46M,124.00M,124.00M,,,,0.093M,52.22M,176.22M,868.68M,,2001-06,54.20M,1.853B,,,-43.81M,1.569B,,
2001-03,68.97M,,68.97M,595.10M,595.10M,685.82M,55.71M,82.92M,,1.489B,,,,,1.322B,-648.15M,673.47M,,,,,7.348M,283.02M,963.84M,2.452B,,2001-03,255.66M,,255.66M,,,,138.06M,138.06M,,,46.20M,711.58M,119.36M,119.36M,,,,0.094M,50.74M,170.10M,881.68M,,2001-03,54.13M,1.855B,,,-63.83M,1.571B,,
2000-12,63.38M,,63.38M,608.30M,608.30M,704.07M,,,107.25M,1.483B,,,,,1.308B,-631.63M,676.40M,,159.16M,159.16M,,,141.04M,976.60M,2.460B,,2000-12,220.92M,,220.92M,,,,196.31M,196.31M,,,330.09M,747.32M,125.26M,125.26M,,,,0.096M,49.54M,174.80M,922.12M,,2000-12,54.02M,1.837B,,,-41.55M,1.537B,,
2000-09,72.26M,,72.26M,,651.74M,754.51M,,,102.29M,1.581B,,,,,1.289B,-620.48M,668.65M,,,,,,305.58M,974.24M,2.555B,,2000-09,271.73M,,271.73M,,,,281.58M,281.58M,,,329.56M,882.87M,120.05M,120.05M,0.04M,0.04M,,0.098M,42.17M,162.26M,1.045B,,2000-09,54.02M,1.805B,,,-38.59M,1.510B,,
2000-06,57.14M,,57.14M,,654.62M,771.08M,,,106.99M,1.590B,,,,,1.292B,-612.60M,679.72M,,,,,,303.38M,983.10M,2.573B,,2000-06,334.74M,,334.74M,,,,303.84M,303.84M,,,277.96M,916.54M,121.93M,121.93M,5.956M,5.956M,,,42.10M,169.99M,1.087B,,2000-06,54.00M,1.773B,,,-27.19M,1.486B,,
2000-03,64.68M,,64.68M,,600.97M,773.21M,,,104.79M,1.544B,,,,,1.302B,-613.77M,688.00M,,,,,,380.81M,1.069B,2.612B,,2000-03,295.15M,,295.15M,,,,311.24M,311.24M,,,296.40M,902.79M,124.46M,124.46M,41.42M,41.42M,,,41.42M,207.30M,1.110B,,2000-03,53.87M,1.734B,,,39.30M,1.502B,,
1999-12,62.70M,,62.70M,,561.80M,762.50M,,,84.10M,1.471B,,,,,1.302B,-604.30M,697.80M,,173.30M,173.30M,,,222.63M,1.094B,2.565B,,1999-12,260.10M,,260.10M,,,,324.50M,324.50M,,,285.90M,870.50M,124.90M,124.90M,48.10M,48.10M,,,40.83M,213.83M,1.084B,,1999-12,53.70M,1.707B,,,52.20M,1.480B,,
1999-09,47.60M,,47.60M,,565.50M,699.30M,,,80.40M,1.393B,,,,,1.271B,-585.30M,685.50M,,,,,,271.10M,956.60M,2.349B,,1999-09,306.10M,,306.10M,,,,244.70M,244.70M,,,243.80M,794.60M,127.80M,127.80M,,,,,41.40M,169.20M,963.80M,,1999-09,53.70M,1.694B,-12.50M,-17.20M,-29.70M,1.386B,,
1999-06,45.50M,,45.50M,,562.60M,691.50M,,,85.20M,1.385B,,,,,1.277B,-583.20M,693.50M,,,,,,263.10M,956.60M,2.341B,,1999-06,331.40M,,331.40M,,,,270.20M,270.20M,,,221.20M,822.80M,127.40M,127.40M,,,,,39.80M,167.20M,990.00M,,1999-06,,1.663B,,,,1.351B,,
1999-03,36.90M,,36.90M,,508.10M,646.60M,,,89.20M,1.281B,,,,,1.246B,-565.40M,680.60M,,,,,,240.70M,921.30M,2.202B,,1999-03,307.40M,,307.40M,,,,176.80M,176.80M,,,243.30M,727.50M,124.60M,124.60M,,,,,38.50M,163.10M,890.60M,,1999-03,,1.628B,,,,1.312B,,
1998-12,43.10M,,43.10M,,463.40M,626.70M,,,73.20M,1.206B,,,,,1.209B,-548.60M,660.50M,,180.60M,180.60M,,,56.50M,897.60M,2.104B,,1998-12,287.10M,,287.10M,,,,110.90M,110.90M,,,266.50M,664.50M,122.90M,122.90M,,,,,37.90M,160.80M,825.30M,,1998-12,,1.585B,,,,1.279B,,
1998-09,46.10M,,46.10M,,496.60M,570.30M,,,73.80M,1.187B,,,,,1.173B,-538.50M,634.60M,,,,,,230.20M,864.80M,2.052B,,1998-09,279.30M,,279.30M,,,,67.80M,67.80M,,,239.80M,586.90M,122.80M,122.80M,0.30M,0.30M,,,39.10M,162.20M,749.10M,,1998-09,,1.534B,,,,1.302B,,
1998-06,49.00M,,49.00M,,515.80M,584.10M,,,75.40M,1.224B,,,,,1.142B,-524.80M,616.80M,,,,,,230.50M,847.30M,2.072B,,1998-06,282.90M,,282.90M,,,,28.90M,28.90M,,,223.40M,535.20M,128.00M,128.00M,0.70M,0.70M,,,38.10M,166.80M,702.00M,,1998-06,,1.492B,,,,1.370B,,
