,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2007-03,101.79M,,,-0.958M,23.89M,6.035M,29.92M,29.92M,3.294M,,,10.08M,-46.01M,12.34M,-7.733M,44.00M,,-60.70M,-3.612M,-61.71M,82.41M,2007-03,-32.97M,,-32.97M,,,12.39M,-20.58M,,,,,31.28M,-98.70M,-67.42M,,-24.52M,,6.784M,-85.16M,,348.47M,-23.33M,0.328M,325.47M,2007-03,31.28M,,,-98.70M,,2007-03,
2006-12,98.93M,,,-3.773M,29.41M,4.789M,34.20M,34.20M,8.448M,,,8.525M,39.37M,-58.20M,-11.53M,-11.57M,,31.96M,-12.60M,-22.56M,123.77M,2006-12,-46.04M,,-28.72M,-47.94M,27.72M,1.152M,-47.80M,,,,,17.19M,-153.62M,-136.44M,,-24.76M,,7.419M,-153.78M,,427.35M,-77.80M,-1.079M,348.47M,2006-12,17.19M,,,-153.62M,,2006-12,
2006-09,104.49M,,,-1.885M,24.96M,4.591M,29.55M,29.55M,16.27M,,,8.351M,-3.857M,10.07M,10.85M,25.60M,,9.681M,3.343M,55.68M,212.46M,2006-09,-34.87M,,-34.87M,0.00,-13.06M,0.004M,-47.92M,,,,,3.589M,-169.05M,-165.46M,,-25.42M,,0.421M,-190.46M,,453.54M,-25.92M,-0.264M,427.35M,2006-09,3.589M,,,-169.05M,,2006-09,
2006-06,93.74M,,,-20.48M,23.48M,4.224M,27.71M,27.71M,-13.90M,,,23.42M,-36.37M,28.54M,1.172M,-39.56M,,5.351M,4.031M,-36.83M,73.65M,2006-06,-25.69M,,-25.69M,27.88M,,2.34M,4.527M,,,,,18.37M,-114.26M,-95.90M,,-26.12M,,2.759M,-119.26M,,493.88M,-41.09M,0.745M,453.54M,2006-06,18.37M,,,-114.26M,,2006-06,
2006-03,86.23M,,,9.855M,23.13M,3.989M,27.12M,27.12M,-0.956M,,,1.08M,-52.20M,-14.26M,-4.411M,36.42M,,-66.94M,4.94M,-96.45M,26.88M,2006-03,-30.17M,,-30.17M,-14.33M,,-4.058M,-48.55M,,,,,25.29M,-35.85M,-10.56M,,-21.59M,,2.774M,-29.38M,,544.89M,-51.05M,0.041M,493.88M,2006-03,25.29M,,,-35.85M,,2006-03,
2005-12,103.83M,,,-8.663M,27.34M,2.088M,29.43M,29.43M,5.237M,,,7.733M,30.75M,-39.95M,-5.354M,-16.64M,,42.59M,,11.39M,148.97M,2005-12,-40.29M,,-25.26M,-0.094M,,-10.06M,-35.41M,,,,,26.44M,-19.28M,7.164M,,-21.50M,,,-14.34M,,446.42M,99.22M,-0.746M,544.89M,2005-12,26.44M,,,-19.28M,,2005-12,
2005-09,88.11M,,,11.87M,24.08M,2.475M,26.55M,26.55M,1.122M,,,-5.777M,-14.20M,-16.71M,6.738M,29.89M,,41.41M,,47.13M,169.00M,2005-09,-26.37M,,-26.37M,0.115M,,-11.47M,-37.73M,,,,,24.93M,-15.44M,9.489M,,-21.44M,,,-11.95M,,326.03M,119.32M,1.066M,446.42M,2005-09,24.93M,,,-15.44M,,2005-09,
2005-06,81.59M,,,0.77M,23.23M,3.136M,26.36M,26.36M,4.159M,,,4.472M,-12.48M,12.28M,-0.092M,-29.86M,,14.68M,,-15.47M,101.89M,2005-06,-28.70M,,-28.70M,0.00,,-8.725M,-37.42M,,,,,1.015M,-87.52M,-86.51M,,-21.49M,,,-108.00M,,369.50M,-43.54M,0.073M,326.03M,2005-06,1.015M,,,-87.52M,,2005-06,
2005-03,72.79M,,,-0.831M,23.44M,2.996M,26.43M,26.43M,13.14M,,,1.305M,-40.44M,-39.66M,-7.543M,43.73M,,-56.24M,,-100.16M,12.69M,2005-03,-16.93M,,-16.93M,-24.84M,,-10.65M,-52.42M,,,,,13.61M,-15.23M,-1.62M,,-18.24M,,,-19.86M,,429.25M,-59.59M,-0.164M,369.50M,2005-03,13.61M,,,-15.23M,,2005-03,
2004-12,90.06M,,,0.175M,18.79M,3.125M,21.92M,21.92M,-11.97M,,,-2.583M,26.26M,-39.10M,-1.295M,-25.42M,,41.35M,,1.788M,99.39M,2004-12,-68.56M,,-50.95M,,0.00,-17.20M,-68.15M,,,,0.00,26.18M,-7.003M,19.17M,,-18.00M,,,1.171M,,393.66M,32.40M,3.18M,429.25M,2004-12,26.18M,,,-7.003M,,2004-12,
2004-09,67.69M,,,5.701M,22.82M,2.825M,25.64M,25.64M,12.42M,,,-1.912M,-18.03M,4.933M,6.594M,-3.167M,,45.34M,,35.66M,145.21M,2004-09,-30.06M,,-30.06M,,0.05M,-9.303M,-39.31M,,,,-140.78M,7.052M,-47.47M,-40.42M,,-18.20M,,,-199.40M,,486.13M,-93.50M,1.034M,393.66M,2004-09,7.052M,,,-47.47M,,2004-09,
2004-06,66.62M,,,4.195M,21.48M,2.858M,24.34M,24.34M,-6.766M,,,5.417M,-12.36M,-2.567M,0.11M,3.035M,,-13.18M,,-24.96M,68.84M,2004-06,-19.86M,,-19.86M,,,-4.816M,-24.68M,,,,-0.02M,35.96M,-9.783M,26.17M,,-18.17M,,,7.98M,,434.73M,52.15M,-0.748M,486.13M,2004-06,35.96M,,,-9.783M,,2004-06,
2004-03,62.56M,,,4.385M,22.47M,3.882M,26.35M,26.35M,1.863M,,,2.112M,-45.80M,6.01M,-14.50M,54.86M,,-4.786M,,-4.221M,93.05M,2004-03,-9.792M,,-9.792M,,,-0.458M,-10.25M,,,,-0.004M,3.09M,-36.62M,-33.53M,,-16.86M,,,-50.39M,,402.82M,32.41M,-0.499M,434.73M,2004-03,3.09M,,,-36.62M,,2004-03,
2003-12,61.74M,,,6.416M,16.03M,2.571M,18.60M,18.60M,6.589M,,,,31.60M,50.71M,4.496M,-31.74M,,14.47M,-3.801M,65.73M,161.01M,2003-12,-28.49M,,-16.34M,-0.004M,0.00,0.581M,-15.77M,,,,-0.398M,1.251M,-19.90M,-18.65M,,-16.90M,,,-35.95M,,293.64M,109.29M,-0.108M,402.82M,2003-12,1.251M,,,-19.90M,,2003-12,
2003-09,56.84M,,,2.989M,19.37M,2.808M,22.18M,22.18M,1.422M,,,,-2.074M,40.74M,8.284M,-24.96M,,31.73M,1.254M,54.97M,138.40M,2003-09,-19.53M,,-19.53M,0.016M,5.44M,-6.326M,-20.40M,,,,-1.478M,7.912M,-0.231M,7.681M,,-16.91M,,,-10.71M,,186.70M,107.29M,-0.354M,293.64M,2003-09,7.912M,,,-0.231M,,2003-09,
2003-06,55.99M,,,-2.04M,19.36M,5.218M,24.58M,24.58M,-0.139M,,,,-4.402M,-29.61M,3.302M,-15.34M,,11.54M,1.162M,-33.35M,45.04M,2003-06,-6.339M,,-6.339M,-36.72M,4.239M,-5.193M,-44.02M,,,,-2.391M,4.434M,-20.57M,-16.14M,,-16.96M,,,-35.49M,,218.58M,-34.47M,2.579M,186.70M,2003-06,4.434M,,,-20.57M,,2003-06,
2003-03,52.40M,,,6.433M,19.82M,5.073M,24.90M,24.90M,-2.49M,,,,-32.32M,21.69M,-16.09M,34.62M,,-40.88M,1.385M,-31.59M,49.65M,2003-03,-19.71M,,-19.71M,,-3.564M,-1.825M,-25.10M,,,,-0.297M,1.574M,-0.502M,1.072M,,-16.50M,,,-15.73M,,208.53M,8.827M,1.23M,218.58M,2003-03,1.574M,,,-0.502M,,2003-03,
2002-12,62.58M,,,0.499M,17.65M,4.872M,22.52M,22.52M,-3.09M,,,4.009M,57.28M,-75.44M,-3.037M,-42.44M,,13.24M,-7.44M,-57.84M,28.68M,2002-12,-41.33M,,-25.17M,,0.00,4.304M,-20.87M,,,,-4.429M,3.549M,-0.309M,3.24M,,-16.48M,,,-17.67M,,218.47M,-9.854M,-0.088M,208.53M,2002-12,3.549M,,,-0.309M,,2002-12,
2002-09,59.95M,,,8.74M,18.75M,4.437M,23.19M,23.19M,5.518M,,,,14.12M,-6.956M,3.625M,27.60M,,32.25M,1.514M,72.15M,169.55M,2002-09,-46.51M,,-46.51M,,0.00,-1.322M,-47.83M,,,,-0.221M,0.306M,-83.45M,-83.14M,,-16.75M,,,-100.11M,,199.29M,21.61M,-2.427M,218.47M,2002-09,0.306M,,,-83.45M,,2002-09,
2002-06,30.58M,,,27.62M,19.14M,4.457M,23.60M,23.60M,-8.908M,,,-3.112M,-18.81M,10.48M,4.796M,-37.42M,0.094M,3.294M,4.024M,-33.55M,36.22M,2002-06,-28.05M,,-28.05M,,0.00,-1.385M,-29.44M,,,,-1.583M,2.68M,-16.12M,-13.44M,,-16.87M,,,-31.90M,,221.59M,-25.11M,2.81M,199.29M,2002-06,2.68M,,,-16.12M,,2002-06,
2002-03,58.46M,,,-1.959M,19.69M,4.496M,24.18M,24.18M,,,,3.112M,-38.07M,-25.38M,-5.456M,67.07M,-0.094M,-14.74M,1.902M,-14.78M,69.02M,2002-03,-18.09M,,-18.09M,,15.96M,-5.492M,-7.625M,,,,-2.547M,10.54M,,10.54M,,-16.37M,,,-8.378M,,168.85M,53.02M,-0.272M,221.59M,2002-03,10.54M,,,,,2002-03,
2001-12,61.51M,,,8.305M,77.74M,25.47M,27.11M,27.11M,1.638M,,,-0.744M,87.81M,-5.12M,8.952M,-71.32M,,-4.037M,,16.28M,114.11M,2001-12,-41.08M,,-29.00M,0.00,0.542M,-7.594M,-36.06M,,,,-9.878M,1.968M,-23.32M,-21.35M,,-16.35M,,,-47.66M,,138.52M,30.39M,-0.059M,168.85M,2001-12,1.968M,,,-23.32M,,2001-12,
2001-09,56.02M,,,9.969M,-42.62M,-8.635M,24.84M,24.84M,4.016M,,,0.524M,51.06M,31.39M,7.389M,-13.14M,,53.90M,,130.60M,225.98M,2001-09,-22.54M,,-22.54M,0.00,0.473M,3.472M,-18.60M,,,,-92.38M,1.686M,-25.68M,-24.00M,,-16.53M,,,-132.90M,,66.28M,74.48M,-2.246M,138.52M,2001-09,1.686M,,,-25.68M,,2001-09,
2001-06,14.82M,,,37.50M,23.05M,2.74M,25.79M,25.79M,-15.04M,,,4.19M,-15.26M,23.88M,0.397M,42.53M,,-43.52M,,8.019M,75.28M,2001-06,-21.52M,,-21.52M,-1.157M,,-0.382M,-23.06M,,,,-18.76M,3.188M,-24.56M,-21.37M,,-16.57M,,,-56.71M,,68.97M,-4.486M,1.793M,66.28M,2001-06,3.188M,,,-24.56M,,2001-06,
2001-03,42.18M,,,10.39M,19.58M,5.895M,25.47M,25.47M,0.444M,,,,6.91M,16.30M,-30.02M,34.76M,,-12.62M,,15.33M,93.81M,2001-03,-15.30M,,-15.30M,-13.25M,,-7.797M,-36.35M,,,,-58.24M,25.50M,-1.072M,24.43M,,-16.00M,,,-49.81M,,63.38M,7.651M,-2.061M,68.97M,2001-03,25.50M,,,-1.072M,,2001-03,
2000-12,47.92M,,,15.88M,,,24.28M,24.28M,-9.90M,,,-3.481M,36.71M,49.92M,7.252M,-50.75M,-7.163M,5.721M,,41.70M,116.40M,2000-12,-30.06M,,-28.36M,,0.925M,-0.539M,-27.97M,,,,-80.37M,-0.163M,-0.489M,-0.652M,,-15.97M,,0.00,-97.00M,,72.26M,-8.569M,-0.311M,63.38M,2000-12,-0.163M,,,-0.489M,,2000-12,
2000-09,48.11M,,,5.277M,,,26.71M,26.71M,-1.884M,,,4.264M,-16.82M,13.13M,-7.252M,-61.85M,14.07M,52.40M,,-6.325M,76.14M,2000-09,-40.62M,,-40.62M,,17.20M,3.526M,-19.89M,,,,-22.26M,-1.505M,0.00,-1.505M,,-15.97M,,0.10M,-39.64M,,57.14M,16.62M,-1.495M,72.26M,2000-09,-1.505M,,,0.00,,2000-09,
2000-06,55.66M,,,-22.60M,,,26.96M,26.96M,-7.745M,,,1.539M,-43.33M,2.503M,18.81M,39.50M,-14.07M,-20.07M,,-16.65M,37.16M,2000-06,-12.13M,,-12.13M,,8.535M,-20.24M,-23.84M,,,,-7.398M,2.524M,-0.112M,2.412M,,-15.96M,,,-20.95M,,64.68M,-7.631M,0.085M,57.14M,2000-06,2.524M,,,-0.112M,,2000-06,
2000-03,41.21M,,,3.553M,,,28.95M,28.95M,-1.548M,,,,-42.90M,-11.09M,-18.81M,35.15M,,13.52M,,-24.12M,48.05M,2000-03,-12.10M,,-12.10M,,,-10.38M,-22.48M,,,,-13.33M,5.155M,-0.346M,4.809M,,-14.96M,,,-23.48M,,62.68M,2.087M,-0.085M,64.68M,2000-03,5.155M,,,-0.346M,,2000-03,
1999-12,28.10M,,,3.30M,,,23.50M,23.50M,-0.10M,,,,0.40M,-63.20M,,28.10M,-2.20M,-31.30M,,-66.70M,-11.90M,1999-12,-33.60M,,-29.20M,,,13.50M,-34.20M,,,,74.80M,-1.90M,-0.40M,-2.30M,,-14.90M,,3.50M,61.10M,,47.60M,15.00M,,62.70M,1999-12,-1.90M,,,-0.40M,,1999-12,
1999-09,45.80M,,,3.60M,,,25.90M,25.90M,-0.10M,,,-0.90M,-6.40M,-7.80M,,-25.20M,5.80M,22.60M,,-11.00M,63.30M,1999-09,-11.40M,,-11.40M,,,-9.10M,-20.50M,,,,-25.40M,0.20M,-0.40M,-0.20M,,-15.00M,,-0.10M,-40.70M,,45.50M,2.10M,,47.60M,1999-09,0.20M,,,-0.40M,,1999-09,
1999-06,50.50M,,,3.70M,,,24.60M,24.60M,-4.50M,,,0.80M,-58.30M,-45.00M,,23.90M,6.70M,-20.80M,,-93.50M,-18.40M,1999-06,-31.10M,,-31.10M,,,-21.10M,-52.20M,,,,93.40M,2.00M,-1.30M,0.70M,,-14.90M,,0.10M,79.30M,,0.00,8.70M,,45.50M,1999-06,2.00M,,,-1.30M,,1999-06,
1999-03,56.30M,,,3.00M,,,24.20M,24.20M,-0.60M,,,0.10M,-47.70M,-19.80M,,20.40M,-16.70M,-22.50M,,-86.30M,-3.30M,1999-03,-38.00M,,-38.00M,,,-4.50M,-42.50M,,,,65.90M,0.90M,-13.20M,-12.30M,,-14.00M,,-0.10M,39.50M,,43.10M,-6.30M,,0.00,1999-03,0.90M,,,-13.20M,,1999-03,
1998-12,66.00M,,,0.50M,,,13.70M,13.70M,-4.20M,,,0.30M,32.80M,-56.40M,,7.80M,1.40M,25.40M,,11.00M,87.30M,1998-12,-42.30M,,-38.00M,,,-4.80M,-42.80M,,,,43.10M,0.40M,-76.70M,-76.30M,,-14.20M,,-0.10M,-47.50M,,0.00,-3.00M,,43.10M,1998-12,0.40M,,,-76.70M,,1998-12,
1998-09,56.10M,,,3.30M,,,21.00M,21.00M,-1.00M,,,0.20M,15.80M,13.70M,,-3.60M,2.20M,17.30M,,45.40M,125.00M,1998-09,-32.60M,,-32.60M,,,-17.10M,-49.70M,,,,38.80M,2.20M,-104.70M,-102.50M,,-14.70M,,0.20M,-78.20M,,0.00,-2.90M,,0.00,1998-09,2.20M,,,-104.70M,,1998-09,
1998-06,59.20M,,,3.40M,,,22.20M,22.20M,-2.20M,,,0.50M,-36.60M,22.10M,,8.00M,-1.70M,-4.40M,,-12.60M,70.50M,1998-06,-30.50M,,-30.50M,,,-8.50M,-39.00M,,,,-1.70M,2.00M,-4.20M,-2.20M,,-14.60M,,0.00,-18.50M,,0.00,13.00M,,0.00,1998-06,2.00M,,,-4.20M,,1998-06,
