,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1999-09,714.50M,714.50M,,218.21M,218.21M,,,,218.21M,-1.90M,491.90M,256.62M,82.84M,173.78M,,,,173.78M,173.78M,53.68M,729.62M,,0.44,0.00,,,0.44,0.44,,0.43,0.00,,,0.43,0.43,,394.95M,404.14M,0.20,,,
1999-06,628.87M,628.87M,,187.63M,187.63M,,,,187.63M,-2.895M,421.69M,247.45M,79.54M,167.90M,,,,167.90M,167.90M,45.01M,643.85M,,0.48,0.00,,,0.48,0.48,,0.47,0.00,,,0.47,0.47,,349.79M,357.24M,0.175,,,
1999-03,573.90M,573.90M,,164.85M,164.85M,,,,164.85M,0.194M,390.72M,227.08M,73.07M,154.01M,,,,154.01M,154.01M,35.51M,597.19M,,0.45,0.00,,,0.45,0.45,,0.44,0.00,,,0.44,0.44,,343.40M,350.33M,0.175,,,
1998-12,1.024B,1.024B,,302.26M,337.01M,,,,337.01M,3.755M,745.70M,384.09M,124.74M,259.34M,,,,259.34M,259.34M,69.91M,1.094B,,0.41,0.00,,,0.41,0.41,,0.40,0.00,,,0.40,0.40,,207.28M,211.89M,0.175,,,
1998-09,489.20M,489.20M,,136.70M,136.70M,,,,136.70M,2.30M,344.70M,198.20M,62.80M,135.40M,,,,135.40M,135.40M,26.50M,543.40M,,0.44,0.00,,,0.44,0.44,,0.43,0.00,,,0.43,0.43,,307.73M,314.88M,0.175,,,
1998-06,458.20M,458.20M,,124.80M,124.80M,,,,124.80M,1.30M,323.50M,187.10M,59.10M,128.00M,,,,128.00M,128.00M,28.70M,516.80M,,0.42,0.00,,,0.42,0.42,,0.41,0.00,,,0.41,0.41,,304.76M,312.20M,0.155,,,
1998-03,444.70M,444.70M,,123.70M,123.70M,,,,123.70M,2.50M,319.30M,176.30M,55.90M,120.40M,,,,120.40M,120.40M,26.80M,497.10M,,0.40,0.00,,,0.40,0.40,,0.39,0.00,,,0.39,0.39,,301.00M,308.72M,0.155,,,
1997-12,612.40M,612.40M,,195.70M,225.20M,,,,225.20M,2.90M,456.00M,201.60M,64.20M,137.40M,,,,140.20M,137.40M,37.40M,666.20M,,0.32,-0.01,,,0.32,0.31,,0.31,-0.01,,,0.31,0.30,,450.95M,463.04M,0.155,,,
1997-09,442.80M,442.80M,,126.40M,126.40M,,,,126.40M,1.00M,292.00M,106.00M,39.80M,66.20M,,,,66.20M,66.20M,27.50M,390.20M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,287.83M,287.83M,0.155,,,
1997-06,385.10M,385.10M,,104.10M,104.10M,,,,104.10M,-0.90M,288.20M,155.10M,53.20M,101.90M,,,,101.90M,101.90M,21.00M,426.40M,,0.36,0.00,,,0.36,0.36,,0.35,0.00,,,0.35,0.35,,237.43M,237.43M,0.135,,,
1997-03,372.20M,372.20M,,105.00M,105.00M,,,,105.00M,1.80M,274.10M,152.40M,52.30M,100.10M,,,,100.10M,100.10M,12.90M,405.30M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,218.28M,218.28M,0.135,,,
1996-12,396.40M,396.40M,,115.10M,139.40M,,,,139.40M,2.80M,313.50M,153.20M,50.10M,103.10M,,,0.00,103.10M,103.10M,19.80M,462.30M,,0.32,0.00,,,0.32,0.32,,0.31,0.00,,,0.31,0.31,,218.59M,218.59M,0.135,,,
1996-09,342.50M,342.50M,,96.10M,96.10M,,,,96.10M,0.70M,253.30M,100.30M,32.00M,68.30M,,,,68.30M,68.30M,21.50M,336.00M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,273.20M,273.20M,0.135,,,
1996-06,272.60M,272.60M,,74.50M,74.50M,,,,74.50M,-0.20M,200.80M,110.20M,36.30M,73.90M,,,,73.90M,73.90M,11.60M,298.30M,,0.32,0.00,,,0.32,0.32,,0.32,0.00,,,0.32,0.32,,230.94M,230.94M,0.115,,,
1996-03,261.30M,261.30M,,73.70M,73.70M,,,,73.70M,,193.60M,103.90M,34.30M,69.60M,,,0.60M,69.60M,69.60M,11.60M,294.10M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,230.00M,230.00M,0.115,,,
1995-12,485.40M,485.40M,,,,,,,,0.10M,379.20M,177.50M,58.20M,119.30M,,,1.30M,119.30M,119.30M,-7.40M,525.50M,,0.32,0.00,,,0.32,0.32,,0.30,0.00,,,0.30,0.30,,208.40M,208.40M,0.115,,,
1995-09,245.90M,245.90M,,73.10M,73.10M,,,,73.10M,1.10M,184.30M,94.10M,31.60M,62.50M,,,1.30M,62.50M,62.50M,12.70M,304.10M,,0.30,0.00,,,0.30,0.30,,0.29,0.00,,,0.29,0.29,,204.00M,211.03M,0.115,,,
1995-06,251.40M,251.40M,,75.30M,75.30M,,,,75.30M,,185.00M,84.40M,27.10M,57.30M,,,1.30M,57.30M,49.22M,,289.50M,,0.27,0.00,,,0.2310,0.27,,0.27,0.00,,,0.2310,0.27,,207.41M,207.41M,0.10,,,
1995-03,219.00M,219.00M,,124.20M,124.20M,,,,124.20M,-19.80M,182.80M,-16.80M,-4.30M,-12.50M,,,1.30M,-12.50M,-12.50M,,169.00M,,-0.07,0.00,,,-0.07,-0.07,,-0.07,0.00,,,-0.07,-0.07,,197.14M,197.14M,0.10,,,
1994-12,105.50M,105.50M,,28.00M,28.00M,,,,28.00M,,83.20M,43.20M,14.50M,28.70M,,,1.30M,28.70M,28.70M,,117.50M,,0.31,0.00,,0.0000,0.31,0.31,,0.295,0.00,,0.0000,0.295,0.295,,88.36M,92.87M,0.10,,,
1994-09,101.00M,101.00M,,29.90M,29.90M,,,,29.90M,,81.80M,43.10M,15.10M,28.00M,,,1.30M,28.00M,28.00M,4.40M,110.00M,,0.31,0.00,,,0.31,0.31,,0.29,0.00,,,0.29,0.29,,86.13M,92.07M,0.10,,,
1994-06,98.20M,98.20M,,28.60M,28.60M,,,,28.60M,,79.10M,40.80M,13.90M,26.90M,,,1.30M,26.90M,26.77M,3.60M,99.90M,,0.30,0.00,,,0.2985,0.30,,0.28,0.00,,,0.2786,0.28,,85.33M,91.43M,0.085,,,
1994-03,101.80M,101.80M,,32.60M,32.60M,,,,32.60M,,78.60M,40.20M,14.20M,26.00M,,,1.30M,27.30M,25.55M,4.40M,95.60M,,0.29,0.00,,0.0145,0.2850,0.29,,0.27,0.00,,0.0135,0.2653,0.27,,89.66M,96.30M,0.085,,,
1993-12,74.10M,74.10M,,21.80M,21.80M,,,,21.80M,,59.70M,27.50M,8.80M,18.70M,0.00,,1.30M,18.70M,18.70M,0.90M,64.40M,,-0.27,-0.19,0.00,,-0.27,-0.46,,-0.27,-0.19,-0.0026,,-0.27,-0.46,,60.86M,65.81M,0.085,,,
1993-09,69.10M,69.10M,,21.00M,21.00M,,,,21.00M,,55.70M,26.80M,9.00M,17.80M,,,1.30M,17.80M,17.80M,5.30M,63.40M,,0.27,0.00,,,0.27,0.27,,0.26,0.00,,,0.26,0.26,,61.11M,63.46M,0.085,,,
1993-06,68.80M,68.80M,,20.50M,20.50M,,,,20.50M,,55.40M,26.40M,8.50M,17.90M,,,1.30M,17.90M,17.90M,1.60M,62.70M,,0.27,0.00,,,0.27,0.27,,0.26,0.00,,,0.26,0.26,,61.48M,63.85M,0.075,,,
1993-03,78.90M,78.90M,,21.90M,21.90M,,,,21.90M,13.50M,53.80M,32.80M,11.60M,21.20M,3.60M,,1.30M,24.80M,21.20M,4.10M,70.10M,,0.33,0.06,0.00,,0.33,0.39,,0.30,0.05,0.0536,,0.30,0.35,,60.26M,67.14M,0.075,,,
1992-12,62.70M,62.70M,,20.10M,20.10M,,,,20.10M,,51.30M,20.70M,6.90M,13.80M,,,1.30M,13.80M,13.80M,5.00M,54.70M,,0.2477,,,,0.2477,0.2477,,0.05,0.00,,,0.05,0.05,,50.46M,51.56M,0.065,,,
1992-09,61.50M,61.50M,,18.40M,18.40M,,,,18.40M,,50.50M,21.50M,7.50M,14.00M,,,1.30M,14.00M,14.00M,1.80M,57.30M,,0.25,0.00,,,0.25,0.25,,0.24,0.00,,,0.24,0.24,,50.80M,52.92M,0.065,,,
1992-06,59.00M,59.00M,,18.60M,18.60M,,,,18.60M,,48.70M,18.50M,6.20M,12.30M,,,,12.30M,12.30M,1.80M,56.50M,,0.22,0.00,,,0.22,0.22,,0.21,0.00,,,0.21,0.21,,55.91M,58.57M,0.06,,,
1992-03,53.20M,53.20M,,17.20M,17.20M,,,,17.20M,,42.80M,15.00M,4.90M,10.10M,,,,10.10M,10.10M,1.70M,52.50M,,0.21,0.00,,,0.21,0.21,,0.20,0.00,,,0.20,0.20,,48.10M,50.50M,0.06,,,
1991-12,52.20M,52.20M,,16.30M,16.30M,,,,16.30M,2.90M,40.60M,12.50M,4.00M,8.50M,,,,8.50M,8.50M,1.60M,54.20M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,44.65M,44.65M,0.06,,,
1991-09,47.90M,47.90M,,15.80M,15.80M,,,,15.80M,,39.40M,12.30M,4.00M,8.30M,,,,8.30M,8.30M,1.50M,54.20M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,46.11M,46.11M,0.06,,,
1991-06,46.30M,46.30M,,15.80M,15.80M,,,,15.80M,0.80M,37.60M,10.60M,3.30M,7.30M,,,,7.30M,7.30M,1.60M,53.30M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,45.62M,45.62M,0.055,,,
1991-03,44.30M,44.30M,,15.40M,15.40M,,,,15.40M,0.60M,33.80M,9.60M,2.90M,6.70M,,,,6.70M,6.70M,1.50M,55.20M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,44.67M,44.67M,0.055,,,
1990-12,45.80M,45.80M,,15.40M,15.40M,,,,15.40M,0.70M,35.00M,6.70M,1.90M,4.80M,,,,4.80M,4.80M,1.60M,58.00M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,43.86M,43.86M,0.055,,,
1990-09,40.50M,40.50M,,14.90M,14.90M,,,,14.90M,,32.70M,6.80M,1.60M,5.20M,,,,5.20M,5.20M,1.70M,54.60M,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,43.33M,43.33M,0.055,,,
1990-06,37.60M,37.60M,,14.20M,14.20M,,,,14.20M,,30.50M,8.50M,2.50M,6.00M,,,,6.00M,6.00M,1.50M,52.20M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,40.00M,40.00M,0.05,,,
1990-03,37.90M,37.90M,,13.90M,13.90M,,,,13.90M,0.10M,29.80M,7.70M,2.20M,5.50M,,,,5.50M,5.50M,1.50M,49.60M,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,39.29M,39.29M,0.05,,,
1989-12,48.00M,48.00M,,16.10M,16.10M,,,,16.10M,0.70M,38.20M,14.00M,4.70M,9.30M,,,,9.30M,9.30M,1.90M,72.30M,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,65.93M,65.93M,0.05,,,
1989-09,34.20M,34.20M,,13.20M,13.20M,,,,13.20M,0.50M,26.00M,8.20M,2.20M,6.00M,,,,6.00M,6.00M,,53.40M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,37.50M,37.50M,0.05,,,
1989-06,,,,,,,,,,,,,,5.60M,,,,5.60M,,,,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,38.06M,38.06M,,,,
1989-03,,,,,,,,,,,,,,5.20M,,,,5.20M,,,,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,38.06M,38.06M,0.0467,,,
1988-12,,,,,,,,,,,,,,6.30M,,,,6.30M,,,,,,,,,,,,,,,,,,,38.07M,38.07M,0.0467,,,
1988-09,,,,,,,,,,,,,,6.00M,,,,6.00M,,,,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,38.06M,38.06M,0.0467,,,
1988-06,,,,,,,,,,,,,,5.10M,,,,5.10M,,,,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,38.06M,38.06M,,,,
1988-03,,,,,,,,,,,,,,4.20M,,,,4.20M,,,,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,38.06M,38.06M,0.0434,,,
1987-12,,,,,,,,,,,,,,6.40M,,,,6.40M,,,,,,,,,,,,,,,,,,,38.06M,38.06M,0.0434,,,
1987-09,,,,,,,,,,,,,,4.70M,,,,4.70M,,,,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,35.84M,35.84M,0.0434,,,
1987-06,,,,,,,,,,,,,,4.20M,,,,4.20M,,,,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,35.84M,35.84M,,,,
1987-03,,,,,,,,,,,,,,3.80M,,,,3.80M,,,,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,33.55M,33.55M,0.0423,,,
1986-12,,,,,,,,,,,,,,5.00M,,,,5.00M,,,,,,,,,,,,,,,,,,,33.55M,33.55M,0.0423,,,
1986-09,,,,,,,,,,,,,,3.70M,,,,3.70M,,,,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,30.67M,30.67M,0.0423,,,
1986-06,,,,,,,,,,,,,,2.90M,,,,2.90M,,,,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,30.59M,30.59M,,,,
1986-03,,,,,,,,,,,,,,3.30M,,,,3.30M,,,,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,28.69M,28.69M,0.0401,,,
1985-12,,,,,,,,,,,,,,2.60M,,,,2.60M,,,,,,,,,,,,,,,,,,,28.70M,28.70M,0.0401,,,
1985-09,,,,,,,,,,,,,,2.90M,,,,2.90M,,,,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,28.69M,28.69M,0.0178,,,
1985-06,,,,,,,,,,,,,,2.10M,,,,2.10M,,,,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,25.95M,25.95M,,,,
1985-03,,,,,,,,,,,,,,2.60M,,,,2.60M,,,,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,25.93M,25.93M,0.0367,,,
1984-12,,,,,,,,,,,,,,2.80M,,,,2.80M,,,,,,,,,,,,,,,,,,,25.63M,25.63M,,,,
1984-09,,,,,,,,,,,,,,2.80M,,,,2.80M,,,,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,25.93M,25.93M,,,,
1984-06,,,,,,,,,,,,,,2.40M,,,,2.40M,,,,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,25.93M,25.93M,,,,
1984-03,,,,,,,,,,,,,,1.90M,,,,1.90M,,,,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,25.93M,25.93M,,,,
