,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-03,32.89M,,,16.86M,17.96M,34.82M,34.82M,1.587M,,,,15.08M,226.78M,-60.58M,12.12M,,-210.43M,,1.37M,-30.74M,53.64M,,-19.29M,0.126M,-19.16M,,-15.00M,1.77M,-32.39M,,,,-3.089M,32.22M,-65.37M,-33.16M,,-19.30M,,7.233M,-48.31M,,715.40M,-27.06M,0.258M,688.59M,,32.22M,,,-65.37M,,,,,
2006-12,108.28M,,,13.80M,21.04M,34.84M,34.84M,15.24M,,,,17.24M,138.51M,112.28M,-5.182M,-23.98M,,,24.26M,245.88M,421.48M,,-29.35M,0.047M,-29.30M,,0.00,-0.803M,-30.11M,,,,-1.246M,65.15M,-44.54M,20.61M,,-19.15M,,12.76M,12.98M,,309.10M,404.36M,1.945M,715.40M,,65.15M,,,-44.54M,,,,,
2006-09,99.58M,,,22.04M,20.50M,42.54M,42.54M,0.238M,,,,24.98M,-389.98M,-53.90M,-6.292M,242.69M,,,27.75M,-179.74M,-12.40M,,-22.81M,0.191M,-22.62M,,72.62M,-1.618M,48.39M,,,,1.405M,6.139M,-132.58M,-126.44M,,-19.63M,,0.518M,-144.14M,,417.09M,-108.15M,0.165M,309.10M,,6.139M,,,-132.58M,,,,,
2006-06,27.09M,,-8.144M,18.34M,19.14M,37.48M,37.48M,-1.393M,,,,114.54M,-65.75M,-42.24M,4.931M,11.46M,,,-91.18M,-182.77M,-13.20M,,-18.33M,0.878M,-17.45M,,75.05M,-0.119M,57.48M,,,,0.329M,2.691M,-192.29M,-189.60M,,-20.47M,,0.234M,-209.50M,,581.30M,-165.23M,1.02M,417.09M,,2.691M,,,-192.29M,,,,,
2006-03,-4.899M,,8.144M,13.60M,18.25M,31.85M,31.85M,10.88M,,,,-114.48M,306.52M,-33.77M,-28.63M,-250.85M,,,,-6.732M,-75.24M,,-11.61M,0.081M,-11.53M,,-147.68M,-0.158M,-159.36M,,,,-36.96M,12.28M,-87.34M,-75.07M,,-16.03M,,1.448M,-126.61M,,942.27M,-361.21M,0.238M,581.30M,,12.28M,,,-87.34M,,,,,
2005-12,94.27M,,-0.736M,20.57M,22.18M,42.76M,42.76M,-12.53M,,,,30.83M,156.13M,150.18M,29.56M,38.03M,,,,346.60M,501.19M,,-24.98M,0.133M,-24.85M,,79.11M,-83.26M,-29.00M,,,,-71.50M,3.749M,-16.25M,-12.50M,,-16.04M,,,-100.05M,,570.50M,372.14M,-0.37M,942.27M,,3.749M,,,-16.25M,,,,,
2005-09,92.06M,,-0.556M,25.58M,28.17M,53.74M,53.74M,-0.663M,,,,-30.83M,-334.70M,-66.51M,25.71M,204.33M,,,34.84M,-136.31M,-22.56M,,-14.96M,2.485M,-12.48M,65.00M,-79.11M,-0.677M,-27.26M,,,,0.127M,17.92M,-24.44M,-6.514M,,-16.15M,,,-22.54M,,642.83M,-72.36M,0.025M,570.50M,,17.92M,,,-24.44M,,,,,
2005-06,29.45M,,-5.717M,18.59M,26.93M,45.52M,45.52M,-8.628M,,,,,-152.99M,-34.01M,25.42M,-3.713M,,,-36.98M,-202.28M,-141.65M,,-18.86M,30.41M,11.55M,-65.00M,,0.062M,-53.39M,,,,-24.09M,10.21M,-7.341M,2.868M,,-16.06M,,,-37.28M,,876.89M,-232.32M,-1.741M,642.83M,,10.21M,,,-7.341M,,,,,
2005-03,-3.713M,,5.003M,13.36M,24.76M,38.12M,38.12M,-2.214M,,,,,370.89M,-38.98M,-6.157M,-205.44M,,,2.134M,122.45M,159.64M,,-11.78M,0.057M,-11.73M,,,0.706M,-11.02M,,,,-1.524M,13.40M,,13.40M,,-10.65M,,,1.227M,,725.00M,149.85M,2.04M,876.89M,,13.40M,,,,,,,,
2004-12,81.92M,,12.90M,20.48M,21.61M,42.09M,42.09M,11.66M,,,,8.82M,154.02M,130.54M,35.72M,-10.01M,,,,294.86M,452.24M,,-23.97M,-4.333M,-28.31M,,9.824M,-6.533M,-25.02M,,,,-7.384M,4.587M,,4.587M,,-10.62M,,,-13.42M,,305.09M,413.81M,6.102M,725.00M,,4.587M,,,,,,,,
2004-09,88.69M,,-5.166M,24.20M,17.96M,42.16M,42.16M,13.52M,,,,-8.82M,-387.63M,-79.24M,24.27M,213.26M,,,-5.622M,-234.96M,-104.59M,,-17.49M,1.884M,-15.61M,9.824M,-9.824M,1.125M,-14.48M,,,,-47.77M,2.253M,,2.253M,,-10.62M,,,-56.13M,,480.14M,-175.20M,0.144M,305.09M,,2.253M,,,,,,,,
2004-06,18.84M,,-8.43M,17.20M,15.75M,32.95M,32.95M,4.978M,,,,,-92.37M,-48.76M,1.925M,-34.76M,,,2.405M,-171.56M,-123.22M,,-23.92M,2.449M,-21.47M,-9.824M,9.564M,-1.411M,-23.14M,,,,-1.842M,6.737M,,6.737M,,-10.58M,,,-5.689M,,631.72M,-152.05M,0.477M,480.14M,,6.737M,,,,,,,,
2004-03,6.532M,,-1.61M,13.74M,15.24M,28.98M,28.98M,4.476M,,,,,401.57M,-18.38M,-32.49M,-258.22M,,,3.217M,95.69M,134.07M,,-13.86M,,-13.86M,,-9.564M,1.091M,-22.33M,,,,-7.58M,12.26M,,12.26M,,-5.267M,,,-0.588M,,520.75M,111.16M,-0.183M,631.72M,,12.26M,,,,,,,,
2003-12,76.59M,,32.52M,32.44M,22.15M,54.59M,54.59M,1.587M,,,,,296.18M,126.14M,27.62M,17.99M,,,-15.55M,464.29M,629.58M,,-20.20M,,-20.20M,,,1.22M,-18.98M,,,,-271.45M,26.10M,0.00,26.10M,,-5.244M,,,-250.59M,,155.36M,360.01M,5.377M,520.75M,,26.10M,,,0.00,,,,,
2003-09,68.46M,,18.98M,20.26M,19.32M,39.58M,39.58M,6.69M,,,,,-391.44M,-15.80M,11.27M,166.43M,,,8.704M,-220.85M,-87.13M,,-16.46M,,-16.46M,,,2.472M,-13.98M,,,,87.33M,4.797M,-3.378M,1.419M,,-5.215M,,,83.53M,,172.58M,-17.58M,0.361M,155.36M,,4.797M,,,-3.378M,,,,,
2003-06,11.42M,,0.00,20.80M,18.41M,39.21M,39.21M,10.79M,,,,,-191.52M,-45.14M,4.941M,41.76M,,,3.732M,-186.22M,-124.80M,,-17.19M,,-17.19M,,,-0.112M,-17.30M,,,,-1.68M,8.771M,,8.771M,,-5.197M,,,1.894M,,310.53M,-140.21M,2.263M,172.58M,,8.771M,,,,,,,,
2003-03,1.189M,,-0.014M,14.57M,16.18M,30.75M,30.75M,3.711M,,,,,273.58M,-30.36M,-35.98M,-209.48M,,,3.11M,0.874M,36.51M,,-9.228M,,-9.228M,,,-5.389M,-14.62M,,,,-203.17M,0.224M,,0.224M,,-5.195M,,,-208.14M,,495.37M,-186.25M,1.405M,310.53M,,0.224M,,,,,,,,
2002-12,62.16M,,5.31M,21.90M,28.09M,49.99M,49.99M,-2.494M,,,,,253.17M,96.10M,85.19M,21.00M,,-116.16M,117.47M,456.77M,571.74M,,-20.49M,,-20.49M,,,1.01M,-19.48M,,,,-98.72M,0.059M,,0.059M,,-5.195M,,,-103.86M,,43.85M,448.39M,3.129M,495.37M,,0.059M,,,,,,,,
2002-09,55.85M,,-0.089M,27.11M,22.27M,49.37M,49.37M,0.727M,,,,,-322.68M,-3.599M,37.06M,165.14M,,113.99M,-117.47M,-127.55M,-21.69M,,-12.62M,,-12.62M,7.419M,,-5.518M,-10.72M,,,,23.96M,0.45M,,0.45M,,-5.194M,,,19.21M,,57.06M,-13.20M,-0.008M,43.85M,,0.45M,,,,,,,,
2002-06,-271.62M,,284.65M,23.31M,22.77M,46.07M,46.07M,-1.528M,,,,,-178.94M,-37.83M,31.48M,30.76M,,-117.82M,,-272.36M,-214.78M,,-15.28M,,-15.28M,-5.00M,,3.451M,-16.83M,,,,-66.53M,1.563M,,1.563M,,-5.194M,,,-70.16M,,355.11M,-301.77M,3.715M,57.06M,,1.563M,,,,,,,,
2002-03,-17.06M,,0.537M,16.95M,21.45M,38.40M,38.40M,8.736M,,,,,282.10M,-15.89M,31.26M,-194.03M,,3.829M,,107.27M,137.88M,,-10.27M,,-10.27M,-2.419M,,-2.596M,-15.28M,,,,-0.37M,1.028M,,1.028M,,-5.189M,,,-4.531M,,233.10M,118.06M,3.953M,355.11M,,1.028M,,,,,,,,
2001-12,52.48M,,0.364M,34.87M,33.61M,68.48M,68.48M,7.01M,,,,,206.06M,124.77M,-8.638M,44.67M,,-14.27M,12.67M,365.26M,493.60M,,-16.62M,,-16.62M,,,-13.08M,-29.70M,,,,-266.09M,4.193M,,4.193M,,-5.186M,,,-267.08M,,37.08M,196.81M,-0.794M,233.10M,,4.193M,,,,,,,,
2001-09,50.60M,,0.606M,27.76M,29.76M,57.52M,57.52M,-8.438M,,,,,-380.57M,-1.963M,33.16M,116.36M,,10.34M,-12.67M,-235.34M,-135.05M,,-10.89M,,-10.89M,,,2.761M,-8.13M,,,,125.40M,2.461M,,2.461M,,-5.176M,,,122.68M,,56.82M,-20.50M,0.761M,37.08M,,2.461M,,,,,,,,
2001-06,-18.33M,,0.474M,22.51M,28.86M,51.37M,51.37M,-0.685M,,,,8.291M,-145.91M,-32.48M,44.83M,-77.06M,,-10.34M,,-220.96M,-179.84M,,-12.11M,,-12.11M,,,-11.36M,-23.47M,,,,83.04M,1.265M,,1.265M,,-5.174M,,,79.13M,,180.77M,-124.18M,0.231M,56.82M,,1.265M,,,,,,,,
2001-03,-25.02M,,1.088M,19.11M,29.42M,48.53M,48.53M,40.81M,,,,-8.291M,419.90M,18.67M,-23.42M,-278.49M,,,,136.66M,193.77M,,-10.42M,,-10.42M,,,13.94M,3.521M,,,,-132.69M,0.472M,,0.472M,,-5.173M,,,-137.39M,,127.12M,59.90M,-6.253M,180.77M,,0.472M,,,,,,,,
2000-12,-180.09M,,44.18M,,,86.85M,86.85M,-56.88M,,,,2.417M,218.32M,211.93M,,-54.61M,-14.02M,-25.08M,,336.54M,233.03M,,-37.37M,,-37.37M,,136.48M,-53.28M,45.82M,,,,-309.45M,0.536M,0.00,0.536M,,-10.34M,,,-319.25M,,164.31M,-40.40M,3.213M,127.12M,,0.536M,,,0.00,,,,,
2000-09,13.83M,,0.972M,,,63.46M,63.46M,-18.31M,,,,-2.417M,-322.00M,-34.76M,,214.03M,21.93M,2.609M,,-118.19M,-60.66M,,-28.29M,,-28.29M,,-136.48M,33.24M,-131.53M,,,,181.58M,0.236M,-0.004M,0.232M,,-32.15M,,21.81M,171.47M,,188.54M,-20.71M,-3.525M,164.31M,,0.236M,,,-0.004M,,,,,
2000-06,6.50M,,1.566M,,,58.63M,58.63M,-11.75M,,,,0.008M,-121.09M,-68.22M,,-250.52M,1.705M,-2.609M,,-440.73M,-385.77M,,-34.31M,,-34.31M,,20.79M,-26.18M,-39.71M,,,,284.48M,1.623M,-4.131M,-2.508M,,11.48M,,-21.81M,271.64M,,343.64M,-153.84M,-1.26M,188.54M,,1.623M,,,-4.131M,,,,,
2000-03,15.13M,,,,,55.28M,55.28M,19.25M,,,,-0.008M,620.45M,-39.30M,,-201.22M,-93.63M,,,286.31M,375.96M,,-25.08M,,-25.08M,,-20.79M,-9.429M,-55.30M,,,,123.07M,0.128M,-363.41M,-363.28M,,-11.48M,,,-251.70M,,280.16M,68.96M,-5.477M,343.64M,,0.128M,,,-363.41M,,,,,
1999-12,57.70M,,,,,111.80M,111.80M,-32.70M,,,,3.40M,207.50M,65.70M,,233.00M,200.80M,,,557.00M,697.20M,,-40.60M,,-40.60M,,,-287.50M,-328.10M,,,,-154.80M,2.20M,-30.30M,-28.10M,,-11.60M,,-0.20M,-194.70M,,108.60M,174.40M,-2.80M,280.20M,,2.20M,,,-30.30M,,,,,
1999-09,85.20M,,,,,59.20M,59.20M,0.20M,,,,-0.40M,-321.30M,-3.20M,,158.10M,37.50M,,,-128.90M,15.30M,,-25.80M,,-25.80M,,,-23.60M,-49.40M,,,,68.10M,3.80M,-15.90M,-12.10M,,-11.70M,,0.20M,44.50M,,0.00,10.40M,0.40M,108.60M,,3.80M,,,-15.90M,,,,,
1999-06,32.30M,,,,,60.10M,60.10M,-3.90M,,,,-1.60M,-327.90M,-82.20M,,74.70M,-230.60M,,,-566.00M,-479.10M,,-22.60M,,-22.60M,,,-16.20M,-38.80M,,,,530.70M,26.50M,-147.00M,-120.50M,,-11.80M,,0.00,398.40M,,217.30M,-119.50M,0.00,0.00,,26.50M,,,-147.00M,,,,,
1999-03,13.80M,,,,,46.20M,46.20M,-2.30M,,,,0.80M,430.50M,-24.50M,,-272.20M,-34.20M,,,99.60M,158.10M,,-18.50M,,-18.50M,,,5.70M,-12.80M,,,,-65.70M,17.90M,-44.30M,-26.40M,,-10.40M,,-0.10M,-102.60M,,177.70M,42.70M,-3.20M,217.30M,,17.90M,,,-44.30M,,,,,
1998-12,131.80M,,0.00,,,50.40M,50.40M,9.80M,,,,1.50M,115.20M,69.40M,,-41.50M,17.20M,,,156.90M,350.40M,,-722.20M,,-722.20M,,,400.50M,-321.70M,,,,1.00M,6.80M,-6.40M,0.40M,,-10.50M,,0.10M,-9.00M,,176.50M,19.70M,-18.40M,177.70M,,6.80M,,,-6.40M,,,,,
1998-09,61.40M,,20.00M,,,44.90M,44.90M,-6.90M,,,,0.10M,-418.60M,-44.80M,,313.50M,-100.30M,,,-250.20M,-130.70M,,-39.50M,,-39.50M,,355.00M,-392.50M,-77.00M,,,,244.50M,12.20M,-65.00M,-52.80M,,-10.50M,,0.10M,181.30M,,0.00,-26.40M,22.20M,176.50M,,12.20M,,,-65.00M,,,,,
1998-06,5.40M,,,,,40.20M,40.20M,4.40M,,,,3.70M,-237.40M,-40.20M,,1.20M,-11.90M,,,-288.30M,-234.60M,,-30.40M,,-30.40M,,-337.50M,-1.70M,-369.60M,,,,416.10M,11.40M,-55.20M,-43.80M,,-10.70M,,-0.10M,361.50M,,0.00,-242.70M,-7.40M,0.00,,11.40M,,,-55.20M,,,,,
1998-03,7.80M,,,,,33.70M,33.70M,-5.60M,,,,-5.40M,414.00M,-29.00M,,-255.50M,-18.50M,,,111.00M,141.50M,,-17.60M,,-17.60M,,-17.50M,10.70M,-24.40M,,,,-7.20M,28.00M,-52.40M,-24.40M,,-10.60M,,,-42.20M,,361.80M,74.90M,-6.00M,0.00,,28.00M,,,-52.40M,,,,,
1997-12,18.90M,,,,,54.40M,54.40M,-36.80M,,,,9.60M,366.20M,101.40M,,183.40M,5.20M,-0.90M,,655.30M,701.40M,,-38.30M,,-38.30M,,,-9.80M,-48.10M,,,,-336.60M,12.90M,-34.90M,-22.00M,,-10.70M,,0.10M,-369.20M,,0.00,284.10M,-2.30M,0.00,,12.90M,,,-34.90M,,,,,
1997-09,77.40M,,,,,42.70M,42.70M,-1.50M,,,,-0.90M,-441.70M,17.40M,,202.70M,15.10M,0.90M,,-205.60M,-87.90M,,-26.40M,,-26.40M,,,2.80M,-23.60M,,,,149.00M,5.40M,-36.50M,-31.10M,,-10.20M,,0.00,107.70M,,0.00,-3.80M,1.20M,0.00,,5.40M,,,-36.50M,,,,,
1997-06,13.00M,,,,,38.90M,38.90M,-0.70M,,,,-0.10M,-184.00M,-75.50M,,-21.00M,-4.80M,,,-285.30M,-234.20M,,-22.20M,,-22.20M,,,-158.60M,-180.80M,,,,244.50M,4.80M,-31.00M,-26.20M,,-10.20M,,-0.10M,208.00M,,0.00,-207.00M,0.00,0.00,,4.80M,,,-31.00M,,,,,
1997-03,25.70M,,,,,30.60M,30.60M,-1.60M,,,,0.90M,271.40M,-2.60M,,-164.70M,4.80M,,,108.90M,164.50M,,-12.50M,,-12.50M,,,-4.30M,-16.80M,,,,-45.10M,14.20M,-32.50M,-18.30M,,-8.60M,,,-72.00M,,219.00M,75.70M,-5.10M,0.00,,14.20M,,,-32.50M,,,,,
1996-12,99.10M,,,,,37.50M,37.50M,-10.50M,,,,0.40M,377.70M,130.40M,,52.60M,-33.40M,,,527.30M,653.80M,,-39.40M,,-39.40M,,,0.50M,-38.90M,,,,-428.20M,6.40M,-25.30M,-18.90M,,-8.70M,,0.20M,-455.60M,,0.00,159.30M,2.00M,0.00,,6.40M,,,-25.30M,,,,,
1996-09,70.40M,,,,,35.20M,35.20M,-0.50M,,,,-1.70M,-501.40M,-4.30M,,178.00M,2.50M,,,-325.20M,-221.80M,,-21.60M,,-21.60M,,,3.80M,-17.80M,,,,260.10M,3.30M,-29.50M,-26.20M,,-8.60M,,,225.30M,,0.00,-14.30M,2.10M,0.00,,3.30M,,,-29.50M,,,,,
1996-06,6.00M,,,,,37.10M,37.10M,0.90M,,,,1.90M,-157.10M,-64.90M,,-50.50M,12.60M,,,-259.90M,-214.00M,,-27.10M,,-27.10M,,,-1.20M,-28.30M,,,,196.30M,3.60M,-13.90M,-10.30M,,-8.70M,,-0.10M,177.20M,,0.00,-65.10M,-2.00M,0.00,,3.60M,,,-13.90M,,,,,
1996-03,24.40M,,,,,28.50M,28.50M,2.00M,,,,1.60M,258.40M,-18.20M,,-216.00M,-18.70M,,,5.50M,62.00M,,-13.80M,,-13.80M,,,-28.50M,-42.30M,,,,-25.00M,4.40M,-15.00M,-10.60M,,-7.00M,,0.10M,-42.50M,,161.00M,-22.80M,-1.30M,0.00,,4.40M,,,-15.00M,,,,,
1995-12,85.20M,,,,,35.60M,35.60M,-2.40M,,,,4.80M,330.80M,72.60M,,74.30M,1.60M,-12.30M,,467.00M,603.50M,,-37.80M,,-37.80M,,,-1.10M,-38.90M,,,,-433.50M,0.20M,-14.90M,-14.70M,,-7.00M,,,-455.20M,,0.00,109.40M,-2.10M,0.00,,0.20M,,,-14.90M,,,,,
1995-09,63.60M,,,,,34.90M,34.90M,-3.20M,,,,0.10M,-476.60M,-29.20M,,200.10M,5.10M,0.30M,,-300.30M,-204.90M,,-24.00M,,-24.00M,,,-7.40M,-31.40M,,,,210.30M,1.80M,0.00,1.80M,,-7.10M,,-0.10M,204.90M,,0.00,-31.40M,-0.90M,0.00,,1.80M,,,0.00,,,,,
1995-06,-14.90M,,,,,30.90M,30.90M,1.60M,,,,-0.10M,-178.70M,-85.80M,,-46.20M,7.50M,19.00M,,-284.20M,-266.70M,,-22.80M,,-22.80M,,102.40M,-100.30M,-20.70M,,,,189.00M,2.40M,0.00,2.40M,,-7.00M,,0.10M,184.50M,,0.00,-102.90M,-0.70M,0.00,,2.40M,,,0.00,,,,,
1995-03,21.70M,,,,,28.50M,28.50M,-5.10M,,,,,257.80M,-22.30M,,-162.30M,-15.80M,-7.00M,,50.40M,95.50M,,-16.00M,,-16.00M,,-102.40M,0.10M,-118.30M,,,,72.30M,2.30M,-0.30M,2.00M,,-6.10M,,,68.20M,,137.00M,45.40M,7.30M,0.00,,2.30M,,,-0.30M,,,,,
1994-12,75.80M,,-2.00M,,,35.40M,35.40M,9.90M,,,,-0.20M,378.20M,102.30M,,19.70M,-12.40M,0.60M,,488.40M,607.30M,,-37.90M,,-37.90M,,-157.50M,97.70M,-97.70M,,,,-403.10M,,-4.70M,-4.70M,,-6.10M,,-0.20M,-414.10M,,0.00,95.50M,-1.90M,0.00,,,,,-4.70M,,,,,
1994-09,75.10M,,-23.30M,,,33.80M,33.80M,2.10M,,,,0.20M,-458.40M,9.00M,,177.80M,6.10M,-2.30M,,-267.80M,-179.90M,,-27.20M,,-27.20M,,24.40M,-99.00M,-101.80M,,,,304.50M,,-18.40M,-18.40M,,-6.20M,,0.00,279.90M,,0.00,-1.80M,-1.30M,0.00,,,,,-18.40M,,,,,
1994-06,1.70M,,,,,27.90M,27.90M,-2.20M,,,,-0.10M,-178.60M,-61.40M,,-26.50M,1.10M,-2.60M,,-268.00M,-240.70M,,-26.20M,,-26.20M,,,0.90M,-25.30M,,,,74.40M,-2.30M,-8.10M,-10.40M,,-6.10M,,0.00,57.90M,,0.00,-208.10M,4.30M,0.00,,-2.30M,,,-8.10M,,,,,
1994-03,26.70M,,,,,25.20M,25.20M,-11.00M,,,,-4.30M,268.70M,-21.20M,,-193.20M,2.10M,4.10M,,60.50M,97.10M,,-19.60M,,-19.60M,,,0.20M,-19.40M,,,,-10.60M,2.30M,,2.30M,,-5.30M,,0.10M,-13.50M,,186.30M,64.20M,-0.20M,0.00,,2.30M,,,,,,,,
1993-12,70.70M,,,,,25.50M,25.50M,8.30M,,,,0.00,359.80M,80.00M,,41.60M,-1.90M,-1.90M,,477.60M,582.10M,,-38.80M,,-38.80M,,30.60M,-29.10M,-37.30M,,,,-403.40M,2.30M,,2.30M,,-5.20M,,-0.10M,-406.40M,,0.00,138.40M,-0.50M,0.00,,2.30M,,,,,,,,
1993-09,75.60M,,,,,25.40M,25.40M,-4.30M,,,,-0.30M,-437.80M,-17.30M,,181.40M,-1.10M,-2.10M,,-276.90M,-180.50M,,-21.50M,-3.10M,-24.60M,,-30.60M,8.10M,-47.10M,,,,260.30M,2.20M,,2.20M,,-5.30M,,0.10M,257.30M,,0.00,29.70M,2.00M,0.00,,2.20M,,,,,,,,
1993-06,27.10M,,,,,23.30M,23.30M,-0.60M,,,,0.10M,-230.40M,-81.60M,,-16.00M,7.60M,1.00M,,-319.40M,-269.50M,,-20.10M,3.00M,-17.10M,,50.10M,-1.20M,31.80M,,,,156.40M,3.00M,,3.00M,,-5.20M,,,154.20M,,0.00,-83.50M,-0.10M,0.00,,3.00M,,,,,,,,
1993-03,26.60M,,,,,26.50M,26.50M,-1.10M,,,,,217.60M,-15.20M,,-154.20M,-13.00M,-2.10M,,33.10M,85.10M,,-19.40M,0.10M,-19.30M,,-49.70M,-4.40M,-73.40M,,,,-34.10M,2.20M,,2.20M,,-4.40M,,,-36.30M,,126.00M,-24.60M,-1.10M,0.00,,2.20M,,,,,,,,
1992-12,65.70M,,,,,23.70M,23.70M,-3.70M,,,,0.00,358.90M,58.00M,,53.00M,-0.20M,-1.20M,,468.50M,554.20M,,-27.20M,-6.40M,-33.60M,,0.00,4.90M,-28.70M,,,,-435.90M,5.60M,,5.60M,,-4.40M,,,-434.70M,,0.00,90.80M,-2.20M,0.00,,5.60M,,,,,,,,
1992-09,67.40M,,,,,25.70M,25.70M,0.30M,,,,0.00,-426.40M,27.80M,,168.00M,1.70M,-0.30M,,-229.20M,-135.80M,,-19.90M,-0.50M,-20.40M,,0.00,-8.90M,-29.30M,,,,179.20M,3.40M,,3.40M,,-4.30M,,-0.10M,178.20M,,0.00,13.10M,-0.30M,0.00,,3.40M,,,,,,,,
1992-06,22.70M,,,,,24.90M,24.90M,4.70M,,,,-0.20M,-223.00M,-59.90M,,-13.40M,15.20M,-1.00M,,-282.10M,-230.00M,,-19.40M,1.80M,-17.60M,,55.00M,0.60M,38.00M,,,,133.60M,2.10M,,2.10M,,-4.30M,,0.10M,131.50M,,0.00,-60.50M,1.80M,0.00,,2.10M,,,,,,,,
1992-03,23.20M,,,,,21.30M,21.30M,0.90M,,,,0.40M,157.60M,-41.10M,,-113.60M,-7.10M,-0.20M,,-4.40M,41.40M,,-23.90M,5.10M,-18.80M,,-55.00M,-0.20M,-74.00M,,,,0.10M,5.20M,,5.20M,,-3.50M,,,1.80M,,120.60M,-30.80M,-6.60M,0.00,,5.20M,,,,,,,,
1991-12,44.90M,,,,,24.00M,24.00M,-23.60M,,,,0.10M,392.50M,63.50M,,-59.20M,-4.30M,6.90M,,399.40M,444.80M,,-15.60M,,-15.60M,,,-3.80M,-19.40M,,,,-330.80M,7.10M,,7.10M,,-3.40M,,-3.50M,-330.60M,,0.00,94.80M,3.50M,0.00,,7.10M,,,,,,,,
1991-09,47.50M,,,,,24.70M,24.70M,-1.10M,,,,-0.10M,-376.10M,21.90M,,132.20M,-5.50M,2.40M,,-225.10M,-154.10M,,-16.80M,,-16.80M,,,-1.10M,-17.90M,,,,175.80M,1.80M,,1.80M,,-3.50M,,1.40M,175.50M,,0.00,3.50M,0.40M,0.00,,1.80M,,,,,,,,
1991-06,-31.20M,,,,,19.60M,19.60M,6.20M,,,,0.10M,-168.20M,-51.00M,,19.70M,2.00M,-0.60M,,-198.10M,-203.40M,,-358.70M,,-358.70M,,,0.20M,-358.50M,,,,301.30M,5.60M,,5.60M,,-3.40M,,-0.60M,302.90M,,0.00,-259.00M,-1.60M,0.00,,5.60M,,,,,,,,
1991-03,20.50M,,,,,13.50M,13.50M,-1.60M,,,,-0.10M,98.20M,-10.60M,,-86.70M,-0.30M,-0.10M,,0.50M,32.80M,,-8.30M,,-8.30M,,,-0.30M,-8.60M,,,,-26.40M,3.00M,,3.00M,,-2.80M,,,-26.20M,,289.30M,-2.00M,-8.20M,0.00,,3.00M,,,,,,,,
1990-12,27.90M,,,,,15.20M,15.20M,-11.40M,,,,-0.10M,270.90M,52.60M,,11.30M,-12.80M,0.90M,,322.90M,354.50M,,-11.00M,,-11.00M,,,9.80M,-9.80M,,,,-89.50M,0.10M,-11.40M,-11.30M,,-2.90M,,0.30M,-103.40M,,0.00,241.30M,0.30M,0.00,,0.10M,,,-11.40M,,,,,
1990-09,33.10M,,,,,15.50M,15.50M,-1.30M,,,,0.00,-218.90M,10.10M,,99.50M,6.30M,-0.10M,,-103.10M,-55.80M,,-7.80M,,-7.80M,,,1.90M,-5.90M,,,,46.20M,0.00,-6.70M,-6.70M,,-2.90M,,0.50M,37.10M,,0.00,-24.60M,1.40M,0.00,,0.00,,,-6.70M,,,,,
1990-06,8.80M,,,,,15.00M,15.00M,0.00,,,,0.20M,-124.30M,-27.10M,,-11.90M,-0.40M,-0.50M,,-164.20M,-140.20M,,-9.80M,,-9.80M,,,-7.60M,-17.40M,,,,51.90M,0.40M,0.00,0.40M,,-2.90M,,0.00,49.40M,,0.00,-108.20M,1.20M,0.00,,0.40M,,,0.00,,,,,
1990-03,19.40M,,,,,14.50M,14.50M,-0.70M,,,,-0.10M,62.60M,-20.70M,,-76.60M,4.90M,-0.20M,,-30.00M,3.10M,,-7.60M,,-7.60M,,,-0.90M,-8.50M,,,,-75.90M,0.50M,-17.70M,-17.20M,,-2.30M,,-0.10M,-95.50M,,278.20M,-100.90M,0.70M,0.00,,0.50M,,,-17.70M,,,,,
