,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,309.10M,,309.10M,679.36M,679.36M,,,,312.04M,163.72M,,96.02M,,1.560B,,,,,,512.41M,-348.65M,163.77M,468.82M,556.92M,1.026B,213.03M,1.403B,2.963B,,188.51M,,,188.51M,700.70M,889.22M,,11.60M,,11.60M,,,,900.81M,494.99M,494.99M,,,,,148.55M,643.54M,1.544B,,104.85M,1.932B,354.64M,997.60M,,,,25.03M,1.418B,,,
2006-06,417.09M,72.62M,489.71M,290.48M,290.48M,,,,258.50M,133.72M,,95.94M,,1.268B,,,,,,512.70M,-348.65M,164.06M,468.63M,577.38M,1.046B,256.94M,1.467B,2.735B,,128.28M,,,128.28M,501.46M,629.74M,,10.02M,,10.02M,,,,639.75M,494.36M,494.36M,,,,,143.73M,638.09M,1.278B,,104.85M,1.851B,355.03M,879.19M,,,,26.03M,1.458B,,,
2006-03,581.30M,147.68M,728.97M,221.86M,221.86M,,,,213.18M,,,93.70M,122.13M,1.380B,,,,,,511.12M,-348.65M,162.48M,467.24M,595.21M,1.062B,292.01M,1.517B,2.897B,,102.79M,,,102.79M,526.38M,629.18M,,10.29M,,10.29M,,,,639.46M,494.87M,494.87M,,,,,139.79M,634.66M,1.274B,,104.85M,1.843B,354.38M,693.79M,,,,14.02M,1.623B,,,
2005-12,942.27M,,942.27M,523.23M,523.23M,,,,179.40M,,,103.21M,82.09M,1.830B,0.00,6.836M,174.18M,296.61M,35.06M,512.69M,-348.65M,164.04M,,1.080B,1.080B,226.41M,1.471B,3.301B,,152.47M,,,152.47M,710.81M,863.28M,,47.45M,,47.45M,,,,910.73M,495.62M,495.62M,,,,,171.32M,666.94M,1.578B,,104.85M,1.869B,358.20M,623.90M,,,,15.32M,1.723B,,,
2005-09,570.50M,,570.50M,681.47M,681.47M,,,,330.78M,99.39M,,96.32M,,1.778B,,,,,,530.28M,-369.88M,160.39M,,1.103B,1.103B,230.06M,1.493B,3.272B,,179.03M,,,179.03M,649.74M,828.78M,,368.66M,,368.66M,,,,1.197B,246.48M,246.48M,,,,,157.10M,403.58M,1.601B,,104.85M,1.791B,361.77M,615.44M,,,,28.74M,1.671B,,,
2005-06,642.83M,,642.83M,348.20M,348.20M,,,,262.47M,116.68M,,92.24M,,1.462B,,,,,,541.65M,-369.88M,171.76M,,1.120B,1.120B,243.28M,1.535B,2.998B,,136.21M,,,136.21M,488.46M,624.67M,,368.18M,,368.18M,,,,992.86M,247.55M,247.55M,,,,,150.81M,398.36M,1.391B,,104.85M,1.715B,370.29M,619.26M,,,,35.81M,1.606B,,,
2005-03,876.89M,,876.89M,199.59M,199.59M,,,,232.66M,138.83M,,94.31M,,1.542B,,,,,,571.58M,-369.88M,201.69M,,1.083B,1.083B,200.85M,1.485B,3.028B,,112.72M,,,112.72M,505.59M,618.31M,,372.78M,,372.78M,,,,991.09M,266.24M,266.24M,,,,,151.23M,417.47M,1.409B,,104.85M,1.701B,374.59M,627.96M,,,,66.26M,1.619B,,,
2004-12,725.00M,,725.00M,578.70M,578.70M,11.28M,4.699M,178.80M,194.78M,219.74M,,,,1.718B,0.00,18.73M,211.41M,310.13M,36.55M,576.82M,-369.88M,206.93M,,1.108B,1.108B,207.85M,1.522B,3.241B,,167.58M,,,167.58M,638.94M,806.53M,,342.08M,,342.08M,,,,1.149B,302.70M,302.70M,,,,,149.63M,452.32M,1.601B,,104.85M,1.721B,380.74M,649.37M,,,,82.29M,1.640B,,,
2004-09,305.09M,,305.09M,697.43M,697.43M,7.52M,14.15M,295.45M,317.12M,147.98M,,110.44M,,1.578B,,,,,,553.17M,-357.96M,195.21M,,1.138B,1.138B,211.25M,1.544B,3.122B,,188.83M,,,188.83M,635.46M,824.30M,,17.71M,,17.71M,,,,842.01M,632.41M,632.41M,,,,,146.17M,778.58M,1.621B,,104.85M,1.650B,383.85M,657.51M,,,,20.54M,1.502B,,,
2004-06,480.14M,,480.14M,307.01M,307.01M,13.16M,7.079M,216.89M,237.13M,150.36M,,114.10M,,1.289B,,,,,,561.54M,-357.96M,203.59M,,1.155B,1.155B,230.12M,1.588B,2.877B,,125.70M,,,125.70M,493.33M,619.03M,,44.34M,,44.34M,,,,663.38M,651.28M,651.28M,,,,,145.37M,796.65M,1.460B,,104.85M,1.572B,385.92M,661.96M,,,,16.45M,1.417B,,,
2004-03,631.72M,,631.72M,206.20M,206.20M,11.62M,6.133M,170.50M,188.26M,123.64M,,118.73M,,1.269B,,,,,,555.75M,-357.96M,197.79M,,1.169B,1.169B,270.89M,1.637B,2.906B,,100.32M,,,100.32M,555.06M,655.39M,,17.15M,,17.15M,,,,672.54M,686.19M,686.19M,,,,,142.93M,829.12M,1.502B,,104.85M,1.564B,391.57M,676.41M,,,,20.60M,1.404B,,,
2003-12,520.75M,,520.75M,607.56M,607.56M,8.655M,5.144M,155.18M,168.98M,211.98M,,,,1.509B,0.00,17.80M,205.88M,304.33M,29.80M,557.81M,-357.96M,199.85M,,1.174B,1.174B,279.94M,1.654B,3.163B,,158.97M,,,158.97M,746.40M,905.37M,,24.69M,,24.69M,,,,930.06M,686.87M,686.87M,,,,,141.21M,828.08M,1.758B,,104.85M,1.568B,397.88M,694.98M,,,,29.80M,1.405B,,,
2003-09,155.36M,,155.36M,879.67M,879.67M,14.94M,7.762M,266.71M,289.41M,108.68M,,114.02M,,1.547B,,,,,,544.32M,-337.56M,206.76M,,1.196B,1.196B,298.28M,1.701B,3.248B,,169.35M,,,169.35M,698.56M,867.91M,,105.80M,,105.80M,,,,973.71M,856.93M,856.93M,,,,,146.46M,1.003B,1.977B,,104.85M,1.496B,409.79M,732.94M,,,,-6.688M,1.271B,,,
2003-06,172.58M,,172.58M,485.11M,485.11M,13.97M,9.772M,250.06M,273.80M,123.31M,,111.60M,,1.166B,,,,,,549.52M,-337.56M,211.96M,,1.215B,1.215B,310.39M,1.738B,2.904B,,153.74M,,,153.74M,424.03M,577.78M,,18.02M,,18.02M,,,,595.79M,861.28M,861.28M,,,,,137.29M,998.57M,1.594B,,104.85M,1.433B,523.80M,741.40M,,,,-10.48M,1.310B,,,
2003-03,310.53M,,310.53M,286.58M,286.58M,10.51M,8.103M,203.68M,222.30M,118.16M,,110.14M,,1.048B,,,,,,547.83M,-337.56M,210.26M,,1.228B,1.228B,317.58M,1.756B,2.804B,,111.88M,,,111.88M,420.52M,532.41M,,19.14M,,19.14M,,,,551.54M,856.94M,856.94M,,,,,133.16M,990.10M,1.542B,,104.85M,1.427B,524.74M,755.34M,,,,-38.78M,1.262B,,,
2002-12,495.37M,,495.37M,555.14M,555.14M,10.84M,6.131M,173.17M,190.14M,190.96M,,,,1.432B,0.00,15.42M,197.90M,311.16M,26.58M,551.06M,-337.56M,213.50M,,1.177B,1.177B,321.03M,1.711B,3.143B,,166.32M,,,166.32M,577.64M,743.96M,,222.89M,,222.89M,,,,966.85M,857.27M,857.27M,,,,,127.39M,984.66M,1.952B,,104.85M,1.431B,458.13M,755.13M,,,,-47.43M,1.191B,,,
2002-09,43.85M,,43.85M,799.12M,799.12M,13.24M,8.611M,260.30M,282.15M,189.31M,,101.29M,,1.416B,,,,,,518.11M,-304.48M,213.63M,,1.207B,1.207B,288.33M,1.708B,3.124B,,180.20M,,,180.20M,535.46M,715.66M,,318.64M,,318.64M,,,,1.034B,856.26M,856.26M,,,,,94.56M,950.82M,1.985B,,104.85M,1.374B,458.20M,755.23M,,,,-42.72M,1.139B,,,
2002-06,57.06M,,57.06M,479.44M,479.44M,15.81M,13.40M,250.66M,279.87M,191.84M,,99.08M,,1.107B,,,,,,533.07M,-304.48M,228.59M,,1.229B,1.229B,320.32M,1.777B,2.885B,,124.13M,,,124.13M,429.08M,553.21M,,294.99M,,294.99M,,,,848.20M,846.36M,846.36M,,,,,98.18M,944.55M,1.793B,,104.85M,1.323B,459.18M,755.94M,,,,-39.40M,1.092B,,,
2002-03,355.11M,,355.11M,287.38M,287.38M,17.52M,16.52M,198.13M,232.17M,217.64M,,106.11M,,1.198B,,,,,,531.56M,-304.48M,227.09M,,1.541B,1.541B,168.03M,1.936B,3.135B,,93.55M,,,93.55M,419.82M,513.37M,,360.90M,,360.90M,,,,874.26M,840.40M,840.40M,,,,,94.57M,934.97M,1.809B,,104.85M,1.600B,455.82M,757.67M,,,,-77.83M,1.325B,,,
2001-12,233.10M,,233.10M,572.50M,572.50M,17.55M,19.64M,180.29M,217.48M,345.54M,,,,1.369B,0.00,13.09M,195.15M,302.53M,29.07M,539.84M,-304.48M,235.36M,,1.567B,1.567B,198.40M,2.000B,3.369B,,123.11M,,,123.11M,599.15M,722.26M,,36.33M,,36.33M,,,,758.59M,1.166B,1.166B,,,,,91.88M,1.258B,2.016B,,104.85M,1.622B,457.54M,760.54M,,,,-71.39M,1.353B,,,
2001-09,37.08M,,37.08M,785.81M,785.81M,23.78M,23.89M,298.02M,345.69M,235.05M,,153.04M,,1.557B,,,,,,510.52M,-253.53M,256.98M,774.96M,830.41M,1.605B,171.57M,2.034B,3.591B,,187.97M,,,187.97M,558.79M,746.76M,,302.04M,,302.04M,,,,1.049B,1.166B,1.166B,,,,,90.29M,1.257B,2.305B,,104.85M,1.575B,460.97M,767.24M,,,,-88.55M,1.285B,,,
2001-06,56.82M,,56.82M,399.40M,399.40M,21.63M,24.01M,291.00M,336.64M,234.34M,,151.08M,,1.178B,,,,,,521.59M,-253.53M,268.05M,,1.634B,1.634B,253.78M,2.156B,3.334B,,148.70M,,,148.70M,468.14M,616.84M,,174.98M,,174.98M,,,,791.82M,1.167B,1.167B,,,,,117.00M,1.284B,2.076B,,104.85M,1.530B,462.15M,770.67M,,,,-68.08M,1.258B,,,
2001-03,180.77M,,180.77M,255.45M,255.45M,26.67M,22.51M,257.45M,306.62M,237.01M,,153.58M,,1.133B,0.00,279.18M,,,,279.18M,,279.18M,791.41M,872.81M,1.664B,286.12M,2.230B,3.363B,,129.59M,,,129.59M,583.44M,713.03M,,92.23M,,92.23M,,,,805.26M,1.168B,1.168B,,,,,116.78M,1.284B,2.090B,,104.85M,1.553B,463.47M,772.77M,,,,-75.36M,1.273B,,,
2000-12,127.12M,,127.12M,685.98M,685.98M,,,,335.49M,,,,431.63M,1.580B,,,,,,550.26M,-253.53M,296.73M,,1.706B,1.706B,245.44M,2.248B,3.828B,,191.75M,,,191.75M,,191.75M,,228.08M,,228.08M,,,819.98M,1.240B,1.168B,1.168B,,,,,93.40M,1.261B,2.501B,,104.85M,1.583B,464.08M,773.31M,,,,-51.61M,1.327B,,,
2000-09,164.31M,,164.31M,,889.09M,,,,540.31M,,,,442.65M,2.036B,,,,,,626.78M,-313.48M,313.30M,,1.784B,1.784B,236.97M,2.334B,4.371B,,200.96M,,,200.96M,,200.96M,,539.43M,,539.43M,,,879.22M,1.620B,1.169B,1.169B,,,,,90.89M,1.260B,2.879B,,104.85M,1.769B,470.75M,776.37M,,,,-76.56M,1.491B,,,
2000-06,188.54M,,188.54M,,573.87M,,,,508.16M,,,,456.28M,1.727B,,,,,,636.96M,-316.79M,320.18M,,1.726B,1.726B,241.78M,2.288B,4.015B,,163.73M,,,163.73M,,163.73M,,363.38M,,363.38M,,,717.47M,1.245B,1.169B,1.169B,,,,,99.86M,1.269B,2.513B,,104.85M,1.765B,473.95M,777.20M,,,,-64.94M,1.502B,,,
2000-03,343.64M,,343.64M,,455.37M,,,,442.15M,,,,451.60M,1.693B,,,,,,618.76M,-303.67M,315.09M,,1.743B,1.743B,255.57M,2.314B,4.007B,,156.74M,,,156.74M,,156.74M,,79.60M,,79.60M,,,981.69M,1.218B,1.169B,1.169B,,,,,105.18M,1.275B,2.493B,,104.85M,1.769B,469.71M,776.58M,,,,-52.90M,1.514B,,,
1999-12,280.20M,,280.20M,,1.084B,,,,408.60M,,,,358.80M,2.132B,,,,,,617.60M,-298.80M,318.80M,,1.756B,1.756B,256.90M,2.332B,4.463B,,284.80M,,,284.80M,,284.80M,,714.70M,,714.70M,,,1.072B,2.071B,420.70M,420.70M,,,,,92.30M,513.00M,2.584B,,104.80M,1.764B,468.30M,425.30M,,,,-33.00M,1.879B,,,
1999-09,108.60M,,108.60M,,1.168B,,,,438.70M,,,,552.20M,2.267B,,,,,,590.00M,-286.30M,303.70M,,1.488B,1.488B,134.00M,1.926B,4.193B,,140.80M,,,140.80M,,140.80M,,889.40M,,889.40M,,,808.90M,1.839B,407.60M,407.60M,,,,,82.50M,490.10M,2.329B,,104.80M,1.718B,467.10M,398.30M,,,,-27.50M,1.864B,,,
1999-06,97.80M,,97.80M,,843.60M,,,,433.50M,,,,586.00M,1.961B,,,,,,583.00M,-274.60M,308.40M,,1.508B,1.508B,123.80M,1.940B,3.901B,,132.80M,,,132.80M,,132.80M,,823.20M,,823.20M,,,653.40M,1.609B,409.90M,409.90M,,,,,77.70M,487.60M,2.097B,,,1.644B,,,,,,,1.804B,,,
1999-03,217.30M,,217.30M,,518.20M,,,,353.80M,,,,347.10M,1.436B,,,,,,593.30M,-273.40M,319.90M,,1.519B,1.519B,132.00M,1.971B,3.407B,,123.20M,,,123.20M,,123.20M,,295.50M,,295.50M,,,593.90M,1.013B,410.10M,410.10M,,,,,75.70M,485.80M,1.498B,,,1.624B,,,,,,,1.909B,,,
1998-12,177.70M,,177.70M,,958.80M,,,,334.80M,,,,318.70M,1.79B,,,,,,558.20M,-227.80M,330.40M,,1.542B,1.542B,131.20M,2.004B,3.794B,,209.10M,,,209.10M,,209.10M,,372.20M,,372.20M,,,785.00M,1.366B,407.20M,407.20M,,,,,75.50M,482.70M,1.849B,,104.80M,1.622B,521.30M,293.50M,,,,-9.60M,1.945B,,,
1998-09,176.50M,,176.50M,,1.031B,,,,383.80M,,,,336.20M,1.927B,,,,,,544.90M,-257.00M,287.90M,,1.359B,1.359B,101.80M,1.749B,3.676B,,152.40M,,,152.40M,,152.40M,,507.60M,,507.60M,,,877.50M,1.538B,,,,,,,,380.00M,1.918B,,,1.500B,,,,,,,1.759B,,,
1998-06,180.60M,,180.60M,,600.30M,,,,331.60M,,,,223.70M,1.336B,,,,,,529.70M,-248.40M,281.30M,,1.323B,1.323B,87.20M,1.692B,3.028B,,124.50M,,,124.50M,,124.50M,,527.30M,,527.30M,,,552.30M,1.204B,,,,,,,,77.90M,1.282B,,,1.450B,,,,,,,1.746B,,,
1998-03,430.60M,,430.60M,,362.30M,,,,269.10M,,,,205.20M,1.267B,,,,,,520.00M,-248.40M,271.60M,,965.00M,965.00M,88.20M,1.325B,2.592B,,83.10M,,,83.10M,,83.10M,,112.50M,,112.50M,,,533.90M,729.50M,,,,,,,,59.80M,789.30M,,,1.455B,,,,,,,1.803B,,,
1997-12,361.80M,,361.80M,,783.00M,,,,242.70M,,,,186.40M,1.574B,,,,,,499.70M,-219.10M,280.60M,,965.30M,965.30M,79.90M,1.326B,2.900B,,179.20M,,,179.20M,,179.20M,,122.00M,,122.00M,,,702.30M,1.004B,,,,,,,,58.10M,1.062B,,,1.458B,,,,,,,1.838B,,,
1997-09,80.00M,,80.00M,,1.154B,,,,347.80M,,,,175.60M,1.757B,,,,,,533.80M,-253.90M,279.90M,,917.10M,917.10M,69.70M,1.267B,3.024B,,120.80M,,,120.80M,,120.80M,,462.90M,,462.90M,,,587.50M,1.171B,148.80M,148.80M,,,,,68.90M,217.70M,1.389B,,,1.446B,,,,,,,1.635B,,,
1997-06,82.50M,,82.50M,,714.20M,,,,368.20M,,,,189.00M,1.354B,,,,,,558.20M,-262.10M,296.10M,,927.90M,927.90M,68.90M,1.293B,2.647B,,90.00M,,,90.00M,,90.00M,,314.30M,,314.30M,,,427.20M,831.50M,149.00M,149.00M,,,,,67.30M,216.30M,1.048B,,,1.378B,,,,,,,1.599B,,,
1997-03,289.50M,,289.50M,,517.00M,,,,268.90M,,,,180.50M,1.256B,,,,,,554.80M,-255.20M,299.60M,,817.60M,817.60M,76.80M,1.194B,2.450B,,92.00M,,,92.00M,,92.00M,,69.50M,,69.50M,,,436.40M,597.90M,149.20M,149.20M,,,,,68.90M,218.10M,816.00M,,,1.379B,,,,,,,1.634B,,,
1996-12,219.00M,,219.00M,,807.10M,,,,273.20M,,,,187.30M,1.487B,,,,,,528.70M,-215.20M,313.50M,,825.50M,825.50M,75.90M,1.215B,2.702B,,174.30M,,,174.30M,,174.30M,,120.70M,,120.70M,,,535.80M,830.80M,149.40M,149.40M,,,,,69.30M,218.70M,1.050B,,,1.363B,,,,,,,1.652B,,,
1996-09,57.80M,,57.80M,,1.185B,,,,402.70M,,,,155.90M,1.801B,,,,,,489.20M,-187.70M,301.50M,,833.90M,833.90M,63.10M,1.198B,3.000B,,136.60M,,,136.60M,,136.60M,,553.10M,,553.10M,,,518.40M,1.208B,149.90M,149.90M,,,,,70.60M,220.50M,1.429B,,,1.271B,,,,,,,1.571B,,,
1996-06,70.00M,,70.00M,,683.90M,,,,398.10M,,,,160.80M,1.313B,,,,,,493.50M,-187.70M,305.80M,,843.70M,843.70M,65.20M,1.215B,2.528B,,106.40M,,,106.40M,,106.40M,,288.90M,,288.90M,,,373.80M,769.10M,149.90M,149.90M,,,,,72.10M,222.00M,991.10M,,,1.212B,,,,,,,1.536B,,,
1996-03,136.90M,,136.90M,,528.60M,,,,335.10M,,,,175.90M,1.176B,,,,,,494.90M,-187.70M,307.20M,,851.80M,851.80M,68.40M,1.227B,2.404B,,107.60M,,,107.60M,,107.60M,,93.40M,,93.40M,,,426.90M,627.90M,150.00M,150.00M,,,,,72.40M,222.40M,850.30M,,,1.216B,,,,,,,1.554B,,,
1995-12,161.00M,,161.00M,,791.10M,,,,315.60M,,,,157.80M,1.426B,,,,,,500.90M,-187.70M,313.20M,,817.00M,817.00M,60.70M,1.191B,2.616B,,198.30M,,,198.30M,,198.30M,,120.00M,,120.00M,,,551.60M,869.90M,150.00M,150.00M,,,,,70.90M,220.90M,1.091B,,,1.201B,,,,,,,1.526B,,,
1995-09,53.80M,,53.80M,,1.128B,,,,390.10M,,,,158.30M,1.730B,,,,,,496.90M,-190.40M,306.50M,,827.10M,827.10M,53.60M,1.187B,2.918B,,140.70M,,,140.70M,,140.70M,,566.80M,,566.80M,,,532.90M,1.240B,150.00M,150.00M,,,,,65.20M,215.20M,1.456B,,,1.121B,,,,,,,1.462B,,,
1995-06,86.20M,,86.20M,,654.20M,,,,364.00M,,,,161.20M,1.266B,,,,,,620.80M,-311.20M,309.60M,,837.90M,837.90M,46.70M,1.194B,2.460B,,115.30M,,,115.30M,,115.30M,,353.10M,,353.10M,,,372.40M,840.80M,150.00M,150.00M,,,,,66.40M,216.40M,1.057B,,,1.064B,,,,,,,1.403B,,,
1995-03,189.80M,,189.80M,,475.80M,,,,276.90M,,,,170.40M,1.113B,,,,,,488.00M,-179.50M,308.50M,,847.30M,847.30M,61.10M,1.217B,2.330B,,115.30M,,,115.30M,,115.30M,,162.70M,,162.70M,,,416.00M,694.00M,150.00M,150.00M,,,,,65.80M,215.80M,909.80M,,,1.086B,,,,,,,1.42B,,,
1994-12,137.00M,,137.00M,,717.90M,,,,244.40M,,,,153.20M,1.252B,,,,,,472.30M,-163.40M,308.90M,,775.30M,775.30M,41.70M,1.126B,2.378B,,165.40M,,,165.40M,,165.40M,,81.80M,,81.80M,,,516.50M,763.70M,150.00M,150.00M,,,,,69.30M,219.30M,983.00M,,,1.071B,,,,,,,1.395B,,,
1994-09,43.20M,,43.20M,,1.119B,,,,333.10M,,,,164.00M,1.659B,,,,,,469.40M,-172.40M,297.00M,,724.40M,724.40M,36.00M,1.057B,2.716B,,133.10M,,,133.10M,,133.10M,,489.50M,,489.50M,,,522.20M,1.145B,150.40M,150.40M,,,,,73.10M,223.50M,1.368B,,,1.002B,,,,,,,1.348B,,,
1994-06,46.40M,,46.40M,,635.90M,,,,338.40M,,,,153.10M,1.174B,,,,,,465.20M,-172.40M,292.80M,,645.20M,645.20M,55.30M,993.30M,2.167B,,105.20M,,,105.20M,,105.20M,,132.70M,,132.70M,,,364.60M,602.50M,200.50M,200.50M,,,,,70.80M,271.30M,873.80M,,,932.70M,,,,,,,1.293B,,,
1994-03,250.30M,,250.30M,,450.00M,,,,271.40M,,,,150.40M,1.122B,,,,,,455.40M,-172.40M,283.00M,,653.20M,653.20M,55.10M,991.30M,2.113B,,102.10M,,,102.10M,,102.10M,,56.30M,,56.30M,,,386.40M,544.80M,200.50M,200.50M,,,,,73.20M,273.70M,818.50M,,,937.20M,,,,,,,1.295B,,,
1993-12,186.30M,,186.30M,,720.40M,,,,250.10M,,,,144.30M,1.301B,,,,,,452.20M,-172.40M,279.80M,,661.60M,661.60M,50.50M,991.90M,2.293B,,173.50M,,,173.50M,,173.50M,,62.20M,,62.20M,,,512.60M,748.30M,200.50M,200.50M,,,,,67.50M,268.00M,1.016B,,,921.00M,,,,,,,1.277B,,,
1993-09,48.50M,,48.50M,,1.088B,,,,333.50M,,,,145.80M,1.616B,,,,,,287.40M,-28.50M,258.90M,,672.30M,672.30M,48.30M,979.50M,2.595B,,134.30M,,,134.30M,,134.30M,,469.40M,,469.40M,,,506.70M,1.110B,203.60M,203.60M,,,,,69.20M,272.80M,1.383B,,,855.50M,,,,,,,1.212B,,,
1993-06,16.60M,,16.60M,,647.90M,,,,315.00M,,,,141.30M,1.121B,,,,,,282.40M,-28.50M,253.90M,,680.60M,680.60M,22.20M,956.70M,2.078B,,100.50M,,,100.50M,,100.50M,,207.80M,,207.80M,,,356.00M,664.30M,205.70M,205.70M,,,,,69.90M,275.60M,939.90M,,,785.20M,,,,,,,1.138B,,,
1993-03,100.30M,,100.30M,,420.10M,,,,237.50M,,,,197.70M,955.60M,,,,,,281.00M,-28.50M,252.50M,,687.90M,687.90M,25.80M,966.20M,1.922B,,107.10M,,,107.10M,,107.10M,,52.50M,,52.50M,,,363.30M,522.90M,206.20M,206.20M,,,,,70.80M,277.00M,799.90M,,,763.30M,,,,,,,1.122B,,,
1992-12,126.00M,,126.00M,,638.30M,,,,217.90M,,,,134.70M,1.117B,,,,,,279.80M,-28.50M,251.30M,,690.90M,690.90M,23.70M,965.90M,2.083B,,183.50M,,,183.50M,,183.50M,,64.20M,,64.20M,,,453.60M,701.30M,206.20M,206.20M,,,,,69.70M,275.90M,977.20M,,,742.00M,,,,,,,1.106B,,,
1992-09,37.30M,,37.30M,,1.030B,,,,282.00M,,,,138.00M,1.487B,,,,,,340.70M,-99.90M,240.80M,,694.80M,694.80M,24.30M,959.90M,2.447B,,123.40M,,,123.40M,,123.40M,,359.60M,,359.60M,,,465.30M,948.30M,367.80M,367.80M,,,,,71.50M,439.30M,1.388B,,,680.70M,,,,,,,1.060B,,,
1992-06,24.50M,,24.50M,,613.80M,,,,310.10M,,,,142.30M,1.091B,,,,,,342.20M,-99.90M,242.30M,,699.40M,699.40M,21.90M,963.60M,2.054B,,97.70M,,,97.70M,,97.70M,,170.60M,,170.60M,,,335.70M,604.00M,382.50M,382.50M,,,,,71.40M,453.90M,1.058B,,,617.70M,,,,,,,996.40M,,,
1992-03,83.10M,,83.10M,,380.80M,,,,242.60M,,,,213.70M,920.20M,,,,,,336.90M,-99.90M,237.00M,,707.30M,707.30M,23.20M,967.50M,1.888B,,98.50M,,,98.50M,,98.50M,,33.50M,,33.50M,,,336.10M,468.10M,382.80M,382.80M,,,,,71.00M,453.80M,921.90M,,43.40M,599.30M,,,43.40M,,,,965.80M,,,
1991-12,120.60M,,120.60M,,551.40M,,,,208.40M,,,,144.80M,1.025B,,,,,,325.10M,-99.90M,225.20M,,652.20M,652.20M,47.50M,924.90M,1.950B,,152.40M,,,152.40M,,152.40M,,36.10M,,36.10M,,,405.30M,593.80M,380.30M,380.30M,,,,,20.70M,401.00M,994.80M,,,580.20M,,,,,,,955.30M,,,
1991-09,22.50M,,22.50M,,899.50M,,,,260.90M,,,,109.90M,1.293B,,,,,,261.50M,-37.30M,224.20M,,666.80M,666.80M,25.30M,916.30M,2.209B,,111.70M,,,111.70M,,111.70M,,354.40M,,354.40M,,,460.70M,926.80M,381.00M,381.00M,,,,,11.20M,392.20M,1.319B,,,538.80M,,,,,,,890.10M,,,
1991-06,18.50M,,18.50M,,493.00M,,,,273.80M,,,,101.20M,886.50M,,,,,,306.10M,-83.60M,222.50M,,674.30M,674.30M,25.70M,922.50M,1.809B,,97.60M,,,97.60M,,97.60M,,30.20M,,30.20M,,,317.40M,445.20M,524.80M,524.80M,,,,,10.50M,535.30M,980.50M,,,494.80M,,,,,,,828.50M,,,
1991-03,279.10M,,279.10M,,244.90M,,,,141.90M,,,,81.80M,747.70M,,,,,,248.70M,-83.60M,165.10M,,231.40M,231.40M,20.20M,416.70M,1.164B,,50.50M,,,50.50M,,50.50M,,3.40M,,3.40M,,,182.10M,236.00M,56.50M,56.50M,,,,,2.40M,58.90M,294.90M,,,539.30M,,,,,,,869.50M,,,
1990-12,289.30M,,289.30M,,353.00M,,,,137.40M,,,,81.90M,861.60M,,,,,,252.80M,-83.60M,169.20M,,235.80M,235.80M,18.20M,423.20M,1.285B,,152.40M,,,152.40M,,152.40M,,29.70M,,29.70M,,,175.40M,357.50M,56.90M,56.90M,,,,,2.60M,59.50M,417.00M,,,867.80M,,,,,,,867.80M,,,
1990-09,47.70M,,47.70M,,617.20M,,,,188.00M,,,,56.00M,908.90M,,,,,,234.90M,-67.00M,167.90M,,240.70M,240.70M,20.60M,429.20M,1.338B,,62.60M,,,62.60M,,62.60M,,116.40M,,116.40M,,,250.60M,429.60M,57.40M,57.40M,,,,,1.90M,59.30M,488.90M,,,487.20M,,,,,,,849.20M,,,
1990-06,70.90M,,70.90M,,390.30M,,,,193.20M,,,,59.40M,713.80M,,,,,,236.40M,-67.00M,169.40M,,245.60M,245.60M,22.10M,437.10M,1.151B,,48.50M,,,48.50M,,48.50M,,67.70M,,67.70M,,,160.50M,276.70M,57.50M,57.50M,,,,,2.00M,59.50M,336.20M,,,456.90M,,,,,,,814.70M,,,
1990-03,178.00M,,178.00M,,262.40M,,,,163.60M,,,,58.70M,662.70M,,,,,,235.40M,-67.00M,168.40M,,250.60M,250.60M,14.10M,433.10M,1.096B,,53.70M,,,53.70M,,53.70M,,14.70M,,14.70M,,,164.50M,232.90M,57.60M,57.60M,,,,,2.30M,59.90M,292.80M,,,451.10M,,,,,,,803.00M,,,
