,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2006-03,44.16M,,11.22M,6.074M,4.829M,10.90M,10.90M,-2.052M,,,,,11.80M,-13.80M,2.326M,-1.781M,14.24M,1.423M,14.20M,,78.43M,2006-03,-9.979M,,-9.979M,,-13.70M,,,-23.68M,2006-03,,11.89M,10.69M,-90.12M,-79.42M,,,0.363M,-67.17M,,2006-03,-12.42M,0.057M,481.22M,,10.69M,,,-90.12M,,2006-03,
2005-12,75.60M,,9.755M,6.078M,4.479M,10.56M,10.56M,10.74M,,,,,-38.06M,5.283M,-11.80M,-4.15M,1.143M,,-47.58M,,59.07M,2005-12,-12.48M,,-12.48M,,,,,-12.48M,2005-12,,173.78M,0.842M,-216.09M,-215.25M,,,1.072M,-40.39M,,2005-12,6.199M,-1.514M,493.59M,,0.842M,,,-216.09M,,2005-12,
2005-09,25.72M,,3.418M,5.777M,5.181M,10.96M,10.96M,-0.198M,,,,,6.418M,-3.126M,45.79M,-2.19M,-12.48M,1.636M,36.05M,,75.94M,2005-09,-11.91M,,-11.91M,,,,,-11.91M,2005-09,,4.57M,4.777M,-194.58M,-189.80M,,,-1.515M,-186.75M,,2005-09,-122.72M,-3.613M,488.90M,,4.777M,,,-194.58M,,2005-09,
2005-06,54.06M,,2.566M,5.998M,5.105M,11.10M,11.10M,-0.093M,,,,,1.551M,2.958M,6.243M,4.431M,1.362M,-1.636M,14.91M,,82.55M,2005-06,-13.95M,,-13.95M,,,,,-13.95M,2005-06,,63.29M,1.906M,-100.13M,-98.22M,,,7.359M,-27.58M,,2005-06,41.02M,-12.70M,615.23M,,1.906M,,,-100.13M,,2005-06,
2005-03,46.60M,,5.448M,5.816M,5.251M,11.07M,11.07M,-0.217M,,,,,23.58M,-12.09M,-13.43M,0.477M,19.08M,,17.61M,,80.50M,2005-03,-12.70M,,-12.70M,,,,,-12.70M,2005-03,,129.27M,9.276M,-148.49M,-139.21M,,,-7.359M,-17.30M,,2005-03,50.50M,-2.67M,586.91M,,9.276M,,,-148.49M,,2005-03,
2004-12,71.52M,,14.97M,5.787M,6.094M,11.88M,11.88M,1.592M,,,,,-23.60M,4.365M,2.558M,-4.772M,-10.03M,,-31.48M,,68.48M,2004-12,-18.86M,,-18.86M,,0.00,,,-18.86M,2004-12,,63.97M,6.137M,-56.29M,-50.15M,,,-3.424M,10.39M,,2004-12,60.02M,7.889M,539.08M,,6.137M,,,-56.29M,,2004-12,
2004-09,51.94M,,12.17M,5.726M,4.881M,10.61M,10.61M,-0.065M,,,,,-4.861M,-9.396M,6.27M,1.361M,-5.206M,,-11.83M,,62.82M,2004-09,-11.44M,,-11.44M,,-0.902M,,,-12.34M,2004-09,,-17.85M,17.27M,0.00,17.27M,,,0.882M,0.304M,,2004-09,50.79M,0.403M,471.17M,,17.27M,,,0.00,,2004-09,
2004-06,59.75M,,14.01M,5.359M,4.366M,9.725M,9.725M,0.595M,,,,,-3.086M,-3.385M,-0.81M,-2.461M,-1.785M,,-11.53M,,72.56M,2004-06,-27.19M,,-27.19M,,0.00,,,-27.19M,2004-06,,54.84M,9.812M,-94.40M,-84.59M,,,,-29.75M,,2004-06,15.61M,-4.236M,419.98M,,9.812M,,,-94.40M,,2004-06,
2004-03,40.84M,,4.621M,5.203M,4.51M,9.713M,9.713M,-0.654M,,,,,-4.905M,-3.159M,4.185M,2.244M,2.698M,,1.063M,,55.59M,2004-03,-8.752M,,-8.752M,,-41.47M,,,-50.22M,2004-03,,109.39M,11.76M,-80.59M,-68.83M,,,,40.57M,,2004-03,45.94M,5.889M,408.60M,,11.76M,,,-80.59M,,2004-03,
2003-12,58.40M,,9.551M,5.445M,3.195M,8.64M,8.64M,-4.858M,,,,,-4.01M,1.655M,-4.298M,1.671M,-1.111M,,-6.093M,,65.64M,2003-12,-7.598M,1.183M,-6.415M,,0.00,,-1.183M,-7.598M,2003-12,,63.18M,11.52M,-72.77M,-61.26M,,,-5.273M,-3.35M,,2003-12,54.69M,13.97M,356.78M,,11.52M,,,-72.77M,,2003-12,
2003-09,36.41M,,8.886M,4.489M,2.895M,7.384M,7.384M,-1.732M,,,,,0.058M,-1.50M,2.489M,0.076M,-10.64M,,-9.516M,,41.44M,2003-09,-6.813M,-1.183M,-7.996M,,-16.34M,,1.183M,-23.15M,2003-09,,62.04M,7.073M,-84.34M,-77.26M,,,3.185M,-12.04M,,2003-09,6.241M,-1.164M,288.12M,,7.073M,,,-84.34M,,2003-09,
2003-06,42.10M,,7.154M,5.922M,2.92M,8.842M,8.842M,0.215M,,,,,9.571M,5.733M,-11.34M,-2.696M,-54.43M,,-53.17M,,5.143M,2003-06,-10.21M,0.00,-10.21M,,0.50M,,49.94M,40.24M,2003-06,,19.26M,7.31M,-66.91M,-59.60M,,,-3.185M,-43.52M,,2003-06,1.857M,9.614M,283.04M,,7.31M,,,-66.91M,,2003-06,
2003-03,33.98M,,4.002M,6.127M,2.855M,8.982M,8.982M,0.449M,,,,,6.354M,-2.26M,-16.86M,-1.749M,11.88M,,-2.626M,,44.78M,2003-03,-9.967M,1.183M,-8.784M,,-19.36M,,,-28.15M,2003-03,,93.91M,1.926M,-100.56M,-98.64M,,,,-4.727M,,2003-03,11.91M,-3.65M,271.57M,,1.926M,,,-100.56M,,2003-03,
2002-12,40.24M,,11.17M,6.545M,2.877M,9.422M,9.422M,0.039M,,,,,-25.53M,15.02M,-1.748M,0.857M,6.198M,,-5.205M,,55.67M,2002-12,-10.56M,,-10.56M,,0.00,,-49.94M,-60.51M,2002-12,,1.998M,2.288M,-45.02M,-42.73M,,,68.78M,28.04M,,2002-12,23.21M,4.315M,263.31M,,2.288M,,,-45.02M,,2002-12,
2002-09,39.02M,,1.034M,5.726M,3.055M,8.781M,8.781M,0.01M,,,,,13.83M,-4.726M,0.885M,-0.747M,5.057M,-7.10M,7.202M,,56.05M,2002-09,-7.348M,,-7.348M,,0.00,,0.00,-7.348M,2002-09,,0.81M,0.772M,-54.28M,-53.50M,,,-70.20M,-122.89M,,2002-09,-74.19M,3.573M,235.79M,,0.772M,,,-54.28M,,2002-09,
2002-06,37.90M,,14.08M,7.438M,2.199M,9.637M,9.637M,-0.568M,,,,,-1.669M,-3.146M,3.573M,0.274M,-9.943M,7.10M,-3.811M,,57.24M,2002-06,-12.51M,,-12.51M,,0.00,,0.00,-12.51M,2002-06,,-2.83M,4.197M,,4.197M,,,0.779M,2.146M,,2002-06,46.88M,8.767M,306.41M,,4.197M,,,,,2002-06,
2002-03,30.54M,,4.764M,6.335M,3.019M,9.354M,9.354M,-0.237M,,,,,11.34M,-11.72M,2.453M,-5.792M,9.742M,,6.029M,,50.45M,2002-03,-7.544M,,-7.544M,,-5.851M,,-14.50M,-27.90M,2002-03,,0.946M,4.019M,,4.019M,,,-0.779M,4.186M,,2002-03,26.74M,-2.782M,250.76M,,4.019M,,,,,2002-03,
2001-12,-1.416M,,11.75M,5.221M,4.32M,9.541M,9.541M,3.80M,,,,,-20.06M,12.02M,-31.60M,3.059M,82.15M,,45.57M,,69.25M,2001-12,-8.45M,,-8.45M,,0.00,,0.00,-8.45M,2001-12,,6.819M,1.938M,,1.938M,,,-6.526M,2.231M,,2001-12,63.03M,-0.459M,226.80M,,1.938M,,,,,2001-12,
2001-09,38.25M,,-0.293M,5.636M,3.007M,8.643M,8.643M,-0.465M,,,,,2.359M,-3.824M,-0.982M,2.537M,-4.425M,,-4.335M,,41.80M,2001-09,-11.05M,,-11.05M,,0.00,,-2.00M,-13.05M,2001-09,,-7.581M,0.534M,,0.534M,,,6.526M,-0.521M,,2001-09,28.22M,1.492M,164.23M,,0.534M,,,,,2001-09,
2001-06,39.31M,,-3.01M,4.88M,2.822M,7.702M,7.702M,-0.269M,,,,,1.263M,-13.98M,25.08M,-3.733M,1.173M,,9.802M,,53.54M,2001-06,-13.35M,,-13.35M,,-2.58M,,0.00,-15.93M,2001-06,,6.428M,2.597M,,2.597M,,,,9.025M,,2001-06,46.63M,-1.308M,134.51M,,2.597M,,,,,2001-06,
2001-03,38.40M,,4.191M,4.901M,3.164M,8.065M,8.065M,-1.225M,,,,,-4.65M,-10.15M,-11.62M,-4.275M,5.839M,,-24.86M,,24.57M,2001-03,-9.554M,,-9.554M,,,,-1.277M,-10.83M,2001-03,,-2.602M,3.949M,,3.949M,,,,1.347M,,2001-03,15.09M,-1.403M,89.19M,,3.949M,,,,,2001-03,
2000-12,61.34M,,-11.44M,-14.07M,-8.396M,6.971M,6.971M,-0.563M,,,,,-16.09M,1.411M,7.564M,4.945M,5.90M,,3.733M,,60.04M,2000-12,-8.369M,,-8.369M,,-0.001M,,7.897M,-15.70M,2000-12,,2.661M,5.513M,,5.513M,,,,8.174M,,2000-12,52.52M,-0.205M,75.51M,,5.513M,,,,,2000-12,
2000-09,37.09M,,5.269M,5.389M,2.766M,8.155M,8.155M,-0.405M,,,,,-19.06M,-6.01M,14.29M,0.217M,-7.971M,,-18.54M,,31.57M,2000-09,-11.17M,,-11.17M,,-1.709M,,-7.611M,-20.49M,2000-09,,3.978M,5.559M,,5.559M,,,,9.537M,,2000-09,20.62M,0.114M,23.20M,,5.559M,,,,,2000-09,
2000-06,27.36M,,9.942M,8.681M,5.63M,6.595M,6.595M,-3.476M,,,,,11.41M,2.277M,-1.391M,-5.162M,-2.775M,3.951M,8.314M,,48.74M,2000-06,-9.375M,,-9.375M,,,,1.329M,-8.046M,2000-06,,-43.81M,3.908M,,3.908M,,,,-39.90M,,2000-06,0.788M,-0.553M,2.461M,,3.908M,,,,,2000-06,
2000-03,30.32M,,0.055M,,,7.716M,7.716M,,,,,,-1.404M,-8.133M,4.392M,,6.242M,-3.951M,-2.854M,,35.24M,2000-03,-6.456M,,-6.456M,,,,-1.001M,-7.457M,2000-03,,-38.02M,8.833M,,8.833M,,,,-29.18M,,2000-03,-1.403M,-0.174M,2.226M,,8.833M,,,,,2000-03,
1999-12,41.40M,,0.50M,,,9.40M,9.40M,,,,,0.20M,-20.40M,5.10M,-2.10M,2.80M,-0.60M,,-15.20M,,39.70M,1999-12,-8.90M,,-8.90M,,,,-1.20M,-10.10M,1999-12,,-21.50M,1.10M,,-8.40M,,,-0.20M,-30.10M,,1999-12,-0.50M,-0.10M,3.80M,,1.10M,,,,,1999-12,
1999-09,29.00M,,0.00,,,6.90M,6.90M,,,,,,-3.30M,-3.80M,8.30M,-2.80M,0.30M,,-1.30M,,34.60M,1999-09,-4.10M,,-4.10M,,,,-0.40M,-4.50M,1999-09,,-33.20M,5.20M,,5.20M,,,0.10M,-27.90M,,1999-09,2.20M,0.10M,4.30M,,5.20M,,,,,1999-09,
1999-06,28.90M,,9.40M,,,6.30M,6.30M,,,,,0.10M,-0.90M,-3.70M,4.70M,,-4.00M,,-3.90M,,40.80M,1999-06,-4.20M,,-4.20M,,,,-1.10M,-5.30M,1999-06,,-36.60M,1.50M,,1.50M,,,,-35.10M,,1999-06,0.40M,-0.10M,2.00M,,1.50M,,,,,1999-06,
1999-03,23.00M,,0.10M,,,7.00M,7.00M,,,,,-0.10M,9.00M,0.90M,-6.60M,,1.80M,,5.10M,,35.10M,1999-03,-4.60M,,-4.60M,,,,-1.20M,-5.80M,1999-03,,-35.90M,3.40M,,3.40M,,,,-32.50M,,1999-03,-3.20M,-0.50M,1.80M,,3.40M,,,,,1999-03,
1998-12,32.10M,,7.60M,,,7.30M,7.30M,,,,,0.20M,-14.70M,3.00M,9.70M,,7.00M,,5.00M,,41.80M,1998-12,-4.20M,,-4.20M,,,,-1.30M,-5.50M,1998-12,,-36.80M,2.20M,,2.20M,,,,-34.60M,,1998-12,1.70M,0.20M,0.00,,2.20M,,,,,1998-12,
1998-09,21.90M,,0.10M,,,7.40M,7.40M,,,,,1.20M,-4.60M,0.00,4.40M,,2.20M,,2.00M,,32.60M,1998-09,-2.40M,,-2.40M,,,,-1.20M,-3.60M,1998-09,,-27.30M,1.40M,,1.40M,,,,-25.90M,,1998-09,3.10M,-1.00M,0.00,,1.40M,,,,,1998-09,
1998-06,20.20M,,0.00,,,7.10M,7.10M,,,,,0.20M,1.30M,-2.50M,-3.30M,,-2.60M,,-7.10M,,20.40M,1998-06,-6.60M,,-6.60M,,,,-1.10M,-7.70M,1998-06,,-15.20M,1.50M,,1.50M,,,,-13.70M,,1998-06,-1.00M,0.00,0.00,,1.50M,,,,,1998-06,
