,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-09,216.04M,216.04M,74.91M,141.14M,77.68M,13.58M,0.86M,,,,,,92.12M,49.02M,,,,,,50.68M,11.66M,39.02M,,,39.02M,8.781M,49.02M,,2002-09,0.30,,0.30,0.30,,2002-09,,,0.29,2002-09,130.79M,135.48M,0.00,,2002-09,,
2002-06,217.19M,217.19M,75.98M,141.21M,80.04M,12.64M,0.922M,0.116M,,,,,93.61M,47.61M,,,,0.116M,,49.22M,11.32M,37.90M,,,37.90M,9.637M,47.61M,,2002-06,0.29,,0.2893,0.29,,2002-06,,,0.2793,2002-06,131.51M,136.78M,0.00,,2002-06,,
2002-03,200.34M,200.34M,84.63M,115.71M,55.72M,12.28M,0.915M,-2.80M,,,,2.80M,71.71M,44.00M,,,,-2.80M,,45.37M,10.32M,35.05M,-4.506M,,30.54M,9.354M,44.00M,,2002-03,0.27,,0.2865,0.24,,2002-03,-0.0344,,0.2758,2002-03,131.03M,137.19M,0.00,,2002-03,,
2001-12,248.68M,248.68M,89.27M,159.41M,69.72M,12.03M,1.867M,,,,,,158.61M,0.797M,,,,,,-5.152M,-3.736M,-1.416M,,,-1.416M,9.541M,0.797M,,2001-12,-0.01,,-0.01,-0.01,,2001-12,,,-0.01,2001-12,130.78M,137.36M,0.00,,2001-12,,
2001-09,202.69M,202.69M,73.12M,129.57M,66.91M,11.79M,1.755M,,,,,,80.46M,49.11M,,,,,,50.32M,12.08M,38.25M,,,38.25M,8.643M,49.11M,,2001-09,0.29,,0.29,0.29,,2001-09,,,0.28,2001-09,130.75M,136.70M,0.00,,2001-09,,
2001-06,206.80M,206.80M,75.54M,131.26M,67.17M,11.74M,1.771M,,,,,,80.68M,50.58M,,,,,,51.73M,12.42M,39.31M,,,39.31M,7.702M,50.58M,,2001-06,0.30,,0.30,0.30,,2001-06,,,0.29,2001-06,130.56M,137.56M,0.00,,2001-06,,
2001-03,201.03M,201.03M,73.30M,127.73M,65.91M,11.04M,1.748M,,,,,,78.69M,49.04M,,,,,,50.53M,12.13M,38.40M,,,38.40M,8.065M,49.04M,,2001-03,0.30,,0.30,0.30,,2001-03,,,0.28,2001-03,130.17M,137.93M,0.00,,2001-03,,
2000-12,225.51M,225.51M,57.49M,168.01M,65.22M,11.20M,,,,,,,100.53M,67.48M,,,,,,68.34M,17.77M,50.57M,-21.54M,,29.03M,6.971M,67.48M,,2000-12,0.39,,0.39,0.39,,2000-12,-0.1693,,0.37,2000-12,129.32M,137.86M,0.00,,2000-12,,
2000-09,191.95M,191.95M,70.29M,121.66M,59.71M,10.39M,1.755M,,,,,,71.86M,49.80M,,,,,,50.12M,13.03M,37.09M,,,37.09M,8.155M,49.80M,,2000-09,0.29,,0.29,0.29,,2000-09,,,0.27,2000-09,128.48M,137.43M,0.00,,2000-09,,
2000-06,197.41M,197.41M,71.78M,125.63M,61.06M,10.56M,1.76M,,,,,,73.38M,52.25M,,,,,,51.91M,13.51M,38.40M,,,38.40M,6.595M,52.25M,,2000-06,0.30,,0.30,0.30,,2000-06,,,0.28,2000-06,126.91M,136.22M,0.00,,2000-06,,
2000-03,180.64M,180.64M,60.51M,120.13M,60.40M,10.36M,,,,,,,78.47M,41.66M,,,,,,40.96M,10.64M,30.32M,,,30.32M,7.716M,41.66M,,2000-03,0.24,,0.24,0.24,,2000-03,,,0.225,2000-03,125.60M,135.18M,0.00,,2000-03,,
1999-12,200.67M,200.67M,63.50M,137.17M,59.50M,9.80M,,,,,,,78.70M,58.47M,,,,,,56.70M,15.30M,41.40M,,0.50M,41.40M,9.40M,58.47M,,1999-12,0.34,,0.34,0.34,,1999-12,,,0.32,1999-12,121.90M,129.53M,0.00,,1999-12,,
1999-09,171.09M,171.09M,57.00M,114.09M,57.10M,8.60M,,,,,,,72.60M,41.49M,,,,,,39.70M,10.70M,29.00M,,0.20M,29.00M,6.90M,41.49M,,1999-09,0.23,,0.23,0.23,,1999-09,,,0.22,1999-09,125.22M,130.91M,0.00,,1999-09,,
1999-06,172.28M,172.28M,59.40M,112.88M,55.50M,9.00M,,,,,,,70.80M,42.08M,,,,,,39.60M,10.70M,28.90M,,0.20M,28.90M,6.30M,42.08M,,1999-06,0.24,,0.24,0.24,,1999-06,,,0.22,1999-06,119.58M,130.45M,0.00,,1999-06,,
1999-03,160.36M,160.36M,55.60M,104.76M,54.50M,8.70M,,,,,,,70.20M,34.56M,,,,,,31.50M,8.50M,23.00M,,0.20M,23.00M,7.00M,34.56M,,1999-03,0.19,,0.19,0.19,,1999-03,,,0.18,1999-03,120.00M,126.67M,0.00,,1999-03,,
1998-12,179.00M,179.00M,61.90M,117.10M,55.00M,9.30M,,0.00,,,,,71.60M,45.50M,,,,0.00,,41.50M,9.40M,32.10M,,0.30M,32.10M,7.30M,45.50M,,1998-12,0.2625,,0.2625,0.2625,,1998-12,,,0.2375,1998-12,122.31M,122.31M,0.00,,1998-12,,
1998-09,151.80M,151.80M,52.90M,98.90M,49.30M,8.50M,,,,,,,65.20M,33.70M,,,,,,29.30M,7.30M,22.00M,,0.20M,22.00M,7.40M,33.70M,,1998-09,0.18,,0.18,0.18,,1998-09,,,0.17,1998-09,121.11M,128.24M,0.00,,1998-09,,
1998-06,149.30M,149.30M,50.90M,98.40M,52.00M,8.20M,,,,,,,67.30M,31.10M,,,,,,26.10M,6.00M,20.10M,,0.20M,20.10M,7.10M,31.10M,,1998-06,0.17,,0.17,0.17,,1998-06,,,0.15,1998-06,117.06M,132.67M,0.00,,1998-06,,
