,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-06,1.125B,269.90M,1.395B,282.50M,,282.50M,414.80M,81.80M,,496.60M,156.00M,280.70M,,2.611B,0.00,58.00M,265.30M,1.908B,,154.60M,3.360B,5.746B,-3.385B,2.362B,260.90M,69.70M,330.60M,592.80M,,311.10M,3.596B,6.207B,,288.20M,,,,288.20M,789.50M,1.078B,,,,,,434.30M,434.30M,214.60M,1.727B,,549.40M,,549.40M,,,,69.10M,13.70M,327.20M,945.70M,2.672B,,0.70M,3.288B,201.50M,,,,30.40M,3.521B,,AOR,Restated
2010-03,1.086B,207.90M,1.294B,299.70M,,299.70M,403.50M,85.20M,,488.70M,136.10M,272.00M,,2.490B,0.00,58.00M,264.50M,1.894B,,135.00M,3.354B,5.706B,-3.291B,2.415B,262.80M,69.10M,331.90M,588.80M,,319.00M,3.654B,6.145B,,286.80M,,,,286.80M,773.40M,1.060B,,,,,,433.90M,433.90M,152.50M,1.647B,,549.30M,,549.30M,,,,,13.70M,394.10M,943.40M,2.59B,,0.70M,3.177B,315.30M,,,,47.90M,3.541B,,AOR,Restated
2009-12,1.306B,50.40M,1.357B,263.40M,,263.40M,450.00M,94.90M,,544.90M,141.00M,277.90M,,2.584B,0.00,60.20M,235.50M,1.883B,,138.60M,3.378B,5.696B,-3.213B,2.483B,262.50M,68.60M,331.10M,393.40M,,310.50M,3.518B,6.102B,,241.90M,,,,241.90M,810.90M,1.053B,,,0.20M,,0.20M,569.90M,569.90M,156.30M,1.779B,,549.30M,,549.30M,,,,,12.80M,409.00M,958.30M,2.738B,,0.70M,3.035B,257.80M,,,,58.20M,3.351B,,AOR,Restated
2009-09,599.80M,66.30M,666.10M,271.00M,,271.00M,548.90M,116.00M,,664.90M,147.20M,286.60M,,2.036B,0.00,58.20M,231.50M,1.943B,,119.20M,3.349B,5.701B,-3.164B,2.536B,259.10M,68.20M,327.30M,423.50M,,253.80M,3.541B,5.577B,,267.10M,,127.80M,,394.90M,643.10M,1.038B,,,,,,388.70M,388.70M,154.30M,1.581B,,549.30M,,549.30M,,,,,11.20M,389.60M,938.90M,2.520B,,0.70M,2.793B,186.40M,,,,65.40M,3.046B,,AOR,Restated
2009-06,292.00M,44.70M,336.70M,295.20M,,295.20M,554.90M,56.50M,92.20M,703.60M,145.10M,237.10M,,1.718B,0.00,57.60M,235.30M,1.937B,124.20M,,3.309B,5.663B,-3.069B,2.594B,257.20M,67.70M,324.90M,408.40M,,287.90M,3.615B,5.333B,,258.90M,,,,258.90M,725.90M,984.80M,,,0.40M,,0.40M,419.70M,419.70M,153.00M,1.558B,,549.40M,,549.40M,,,,,,407.80M,957.20M,2.515B,,0.70M,2.643B,126.30M,,,,47.80M,2.818B,,AOR,Restated
2009-03,253.20M,41.30M,294.50M,309.30M,,309.30M,,,,627.80M,159.60M,212.90M,,1.604B,0.00,57.50M,233.10M,1.932B,118.50M,,3.249B,5.590B,-2.932B,2.658B,261.10M,67.30M,328.40M,387.40M,,303.40M,3.677B,5.281B,,266.50M,,,,266.50M,613.20M,879.70M,,,226.50M,,226.50M,431.40M,431.40M,148.30M,1.686B,,549.40M,,549.40M,,,,,,415.60M,965.00M,2.651B,,0.70M,2.492B,100.60M,,,,37.40M,2.630B,,AOR,Restated
2008-12,356.80M,38.70M,395.50M,332.00M,,332.00M,,,,590.40M,159.70M,216.30M,,1.694B,0.00,57.00M,3.528B,1.904B,,145.60M,,5.635B,-2.812B,2.822B,261.90M,66.80M,328.70M,,,685.30M,3.836B,5.530B,,268.60M,,,,268.60M,650.00M,918.60M,,,290.80M,,290.80M,598.30M,598.30M,145.30M,1.953B,,549.50M,,549.50M,,,,,18.30M,425.00M,974.50M,2.928B,,0.70M,2.467B,72.30M,,,,44.90M,2.585B,,,Restated
2008-09,269.80M,52.50M,322.30M,329.50M,,329.50M,572.20M,120.60M,,692.80M,169.20M,234.20M,,1.748B,0.00,59.10M,217.70M,1.784B,,293.60M,3.363B,5.717B,-2.761B,2.956B,266.50M,66.60M,333.10M,374.00M,,261.10M,3.925B,5.673B,,324.90M,,76.10M,,401.00M,554.10M,955.10M,,,713.70M,,713.70M,368.40M,368.40M,152.50M,2.190B,,549.60M,,549.60M,,,,,,442.40M,992.00M,3.182B,,0.70M,2.402B,39.40M,,,,48.40M,2.491B,,,Restated
2008-06,297.00M,52.70M,349.70M,284.10M,,284.10M,,,,662.70M,145.40M,215.40M,,1.657B,,,,5.442B,,282.60M,,5.725B,-2.778B,2.947B,234.80M,65.80M,300.60M,,,647.00M,3.895B,5.552B,,329.40M,,,,329.40M,742.40M,1.072B,,,616.60M,,616.60M,373.50M,373.50M,,2.062B,,549.80M,,549.80M,,,,,17.50M,445.80M,995.60M,3.058B,,0.70M,2.358B,39.40M,,105.20M,-25.60M,79.60M,2.477B,,,
2008-03,303.40M,68.10M,371.50M,300.30M,,300.30M,,,,607.30M,145.80M,154.30M,,1.579B,0.00,58.60M,3.541B,1.886B,,221.10M,,5.706B,-2.654B,3.052B,223.40M,58.10M,281.50M,,,621.10M,3.955B,5.534B,,313.40M,,,,313.40M,687.20M,1.001B,,,702.50M,,702.50M,376.30M,376.30M,,2.079B,,549.90M,,549.90M,,,,,18.00M,446.00M,995.90M,3.075B,,0.70M,2.316B,39.40M,,114.80M,-29.70M,85.10M,2.441B,,,
2007-12,349.30M,186.10M,535.40M,316.20M,,316.20M,,,,580.90M,144.70M,160.40M,,1.738B,0.00,57.00M,3.45B,1.845B,,186.20M,,5.538B,-2.545B,2.993B,216.10M,42.40M,258.50M,,,517.30M,3.769B,5.506B,,340.80M,,,,340.80M,869.40M,1.210B,,,530.30M,,530.30M,512.70M,512.70M,,2.253B,,550.00M,,550.00M,,,,,18.60M,431.40M,981.40M,3.235B,,0.70M,2.149B,39.40M,,92.00M,-27.50M,64.50M,2.253B,,,
2007-09,281.30M,157.40M,438.70M,287.90M,,287.90M,,,,691.70M,148.80M,129.40M,,1.696B,0.00,56.24M,3.265B,1.770B,,215.27M,,5.307B,-2.416B,2.890B,215.60M,42.10M,257.70M,,,499.30M,3.647B,5.344B,,390.80M,,,,390.80M,756.80M,1.148B,,,711.10M,,711.10M,296.90M,296.90M,,2.156B,,550.10M,,550.10M,,,,,17.30M,336.80M,886.90M,3.042B,,0.70M,2.189B,39.40M,,81.70M,-27.10M,54.60M,2.284B,,,
2007-06,172.79M,157.23M,330.02M,250.87M,,250.87M,,,,657.47M,128.37M,101.07M,,1.468B,0.00,39.99M,3.078B,1.711B,,172.61M,,5.001B,-2.314B,2.687B,215.22M,40.39M,255.61M,,,493.55M,3.436B,4.904B,,314.58M,,,,314.58M,718.38M,1.033B,,,880.74M,,880.74M,309.71M,309.71M,,2.223B,,1.356M,,1.356M,,,,,16.03M,307.33M,308.69M,2.532B,,0.745M,2.265B,39.39M,,59.61M,-8.956M,50.66M,2.356B,,,
2007-03,200.18M,143.65M,343.83M,240.78M,,240.78M,,,,578.88M,124.96M,96.42M,,1.385B,0.00,37.78M,2.880B,1.645B,,153.21M,,4.716B,-2.192B,2.524B,208.48M,39.94M,248.43M,,,479.72M,3.252B,4.637B,,279.96M,,,,279.96M,691.52M,971.48M,,,847.77M,,847.77M,300.58M,300.58M,,2.120B,,1.551M,,1.551M,,,,,15.01M,288.18M,289.73M,2.410B,,0.746M,2.122B,39.39M,,52.86M,-2.488M,50.38M,2.212B,,,
2006-12,270.87M,165.60M,436.47M,227.82M,,227.82M,72.29M,,474.99M,547.28M,121.32M,96.65M,,1.430B,0.00,34.71M,2.705B,1.589B,,144.74M,,4.473B,-2.077B,2.397B,207.91M,39.47M,247.38M,,,453.92M,3.098B,4.528B,,275.69M,,,,275.69M,740.13M,1.016B,,,365.76M,,365.76M,422.65M,422.65M,,1.804B,,1.746M,,1.746M,,,,,13.48M,269.31M,271.06M,2.075B,,0.757M,2.350B,39.39M,,49.19M,-0.405M,48.79M,2.439B,,,
2006-09,312.61M,141.04M,453.64M,224.27M,,224.27M,81.63M,,554.60M,636.22M,126.87M,88.78M,,1.530B,0.00,32.35M,2.546B,1.505B,,175.00M,,4.258B,-1.970B,2.288B,161.48M,37.96M,199.43M,,,411.82M,2.899B,4.429B,,340.94M,,,,340.94M,662.00M,1.003B,,,700.76M,,700.76M,231.93M,231.93M,,1.936B,,1.958M,,1.958M,,,,,,262.86M,264.82M,2.200B,,0.756M,2.151B,39.39M,,,,37.27M,2.229B,,,
2006-06,215.74M,226.24M,441.98M,184.94M,,184.94M,80.30M,,477.06M,557.36M,95.42M,89.97M,,1.370B,0.00,30.72M,2.377B,1.450B,,123.88M,,3.981B,-1.890B,2.091B,166.05M,36.82M,202.87M,,,389.00M,2.683B,4.052B,,255.16M,,,,255.16M,631.34M,886.49M,,,200.76M,,200.76M,235.53M,235.53M,,1.323B,,2.30M,,2.30M,,,,,,222.27M,224.57M,1.547B,,0.768M,2.386B,81.46M,,,,36.91M,2.505B,,,
2006-03,202.67M,242.78M,445.45M,190.63M,,190.63M,68.84M,79.25M,308.60M,456.70M,87.16M,87.48M,,1.267B,0.00,17.25M,2.228B,1.397B,,113.41M,,3.756B,-1.792B,1.964B,172.34M,36.66M,208.99M,,,377.59M,2.550B,3.818B,,230.72M,,,,230.72M,627.38M,858.10M,,,95.76M,,95.76M,233.27M,233.27M,,1.187B,,2.491M,,2.491M,,,,,,210.18M,212.67M,1.400B,,0.769M,2.240B,150.50M,,,,26.18M,2.418B,,,
2005-12,251.44M,287.10M,538.53M,197.76M,,197.76M,,,,452.65M,85.94M,77.05M,,1.352B,0.00,14.66M,2.115B,1.348B,,99.46M,,3.577B,-1.706B,1.871B,,128.28M,128.28M,,,360.50M,2.360B,3.712B,,208.59M,,,,208.59M,647.08M,855.67M,,,105.75M,,105.75M,309.29M,309.29M,,1.271B,,2.681M,,2.681M,,,,,,205.32M,208.00M,1.479B,,61.43M,2.114B,39.39M,,,,18.42M,2.233B,,,
2005-09,173.81M,133.23M,307.04M,190.76M,,190.76M,61.23M,,485.07M,546.30M,94.43M,70.81M,,1.209B,0.00,13.83M,2.016B,1.292B,,145.51M,,3.468B,-1.626B,1.842B,92.47M,35.41M,127.88M,,,334.46M,2.304B,3.514B,,220.98M,,,,220.98M,553.22M,774.20M,,,277.75M,,277.75M,175.05M,175.05M,,1.227B,,2.87M,,2.87M,,,,,,193.56M,196.44M,1.423B,,0.767M,1.939B,129.59M,,,,20.91M,2.090B,,,
2005-06,130.11M,218.43M,348.54M,148.98M,,148.98M,,,,495.54M,80.77M,66.54M,,1.140B,0.00,13.12M,1.899B,1.265B,,119.89M,,3.297B,-1.558B,1.739B,,107.44M,107.44M,,11.88M,329.45M,2.188B,3.328B,,185.08M,,,,185.08M,522.49M,707.57M,,,0.745M,,0.745M,172.98M,172.98M,,881.30M,,3.058M,,3.058M,,,,,,167.77M,170.83M,1.052B,,395.33M,1.816B,39.39M,,,,24.94M,2.276B,,,
2005-03,177.14M,523.46M,700.60M,151.64M,,151.64M,,,,406.07M,83.18M,70.97M,,1.412B,0.00,13.12M,1.826B,1.255B,,107.90M,,3.202B,-1.503B,1.699B,,101.28M,101.28M,,,390.88M,2.191B,3.603B,,181.75M,,,,181.75M,481.55M,663.30M,,,0.742M,,0.742M,168.61M,168.61M,,832.66M,,3.246M,,3.246M,5.929M,,5.929M,,,157.30M,166.48M,999.13M,,832.25M,1.691B,39.39M,,,,42.02M,2.604B,,,
2004-12,643.55M,334.87M,978.42M,149.41M,,149.41M,,,,379.48M,71.72M,73.70M,,1.653B,0.00,13.12M,1.747B,1.203B,,105.79M,,3.069B,-1.414B,1.655B,,100.19M,100.19M,,,411.80M,2.167B,3.820B,,161.24M,,,,161.24M,462.08M,623.32M,,,0.738M,,0.738M,222.34M,222.34M,,846.40M,,3.433M,,3.433M,14.40M,,14.40M,,,154.47M,172.30M,1.019B,,1.119B,1.590B,39.39M,,,,52.50M,2.801B,,,
2004-09,145.05M,507.96M,653.01M,140.23M,,140.23M,,,,422.66M,71.35M,63.65M,,1.351B,0.00,13.12M,1.672B,1.099B,,93.14M,,2.878B,-1.326B,1.551B,,95.75M,95.75M,,,388.48M,2.036B,3.387B,,199.35M,,,,199.35M,424.80M,624.15M,,,0.735M,,0.735M,121.38M,121.38M,,746.26M,,3.618M,,3.618M,21.77M,,21.77M,,,144.68M,170.07M,916.33M,,956.68M,1.445B,39.39M,,,,29.24M,2.470B,,,
2004-06,383.37M,335.74M,719.11M,122.76M,,122.76M,,,,385.28M,64.76M,79.78M,,1.372B,0.00,11.41M,1.481B,1.085B,,71.13M,,2.649B,-1.266B,1.383B,,89.26M,89.26M,,,380.28M,1.853B,3.224B,,142.15M,,,,142.15M,451.73M,593.88M,,,0.732M,,0.732M,124.37M,124.37M,,718.99M,,3.803M,,3.803M,44.99M,,44.99M,,,7.024M,55.82M,774.81M,,1.025B,1.358B,39.39M,,,,26.72M,2.449B,,,
2004-03,370.08M,287.55M,657.63M,118.59M,,118.59M,,,,307.22M,59.66M,78.20M,,1.221B,0.00,11.41M,1.442B,1.061B,,55.27M,,2.570B,-1.198B,1.372B,,89.00M,89.00M,,,413.36M,1.874B,3.096B,,157.87M,,,,157.87M,430.36M,588.23M,,,0.729M,,0.729M,105.32M,105.32M,,694.27M,,3.988M,,3.988M,37.60M,,37.60M,,,6.434M,48.02M,742.30M,,1.023B,1.260B,39.39M,,,,31.12M,2.353B,,,
2003-12,448.31M,216.72M,665.03M,122.81M,,122.81M,,,,305.53M,59.82M,71.53M,,1.225B,0.00,11.41M,1.421B,1.033B,,40.45M,,2.505B,-1.124B,1.381B,,88.64M,88.64M,,,382.40M,1.852B,3.077B,,144.75M,,,,144.75M,498.42M,643.17M,,,0.725M,,0.725M,146.15M,146.15M,,790.04M,,4.171M,,4.171M,33.87M,,33.87M,,,2.533M,40.58M,830.62M,,999.22M,1.180B,39.39M,,,,27.33M,2.246B,,,
2003-09,200.91M,149.10M,350.01M,114.45M,,114.45M,,,,342.94M,55.17M,61.45M,,924.03M,0.00,11.41M,1.375B,989.68M,,58.17M,,2.435B,-1.050B,1.385B,,88.29M,88.29M,,,332.53M,1.806B,2.730B,,168.98M,,,,168.98M,365.52M,534.50M,,,0.722M,,0.722M,73.48M,73.48M,,608.70M,,4.354M,,4.354M,33.22M,,33.22M,,,1.045M,38.62M,647.32M,,959.10M,1.070B,39.39M,,,,14.25M,2.082B,,,
2003-06,263.64M,301.67M,565.31M,107.47M,,107.47M,,,,280.24M,62.29M,47.58M,,1.063B,0.00,11.41M,1.321B,947.70M,,61.20M,,2.342B,-995.05M,1.347B,,31.20M,31.20M,,,163.51M,1.541B,2.604B,,180.50M,,,,180.50M,342.65M,523.15M,,,0.719M,,0.719M,74.65M,74.65M,,598.52M,,4.542M,,4.542M,23.30M,,23.30M,,,0.948M,28.79M,627.31M,,925.28M,1.001B,39.39M,,,,11.54M,1.977B,,,
2003-03,250.40M,255.99M,506.39M,103.14M,,103.14M,,,,203.21M,50.61M,43.62M,,906.97M,0.00,11.41M,1.268B,919.85M,,58.89M,,2.258B,-928.38M,1.330B,,30.71M,30.71M,,,153.35M,1.514B,2.421B,,144.83M,,,,144.83M,280.44M,425.28M,,,0.716M,,0.716M,67.52M,67.52M,,493.52M,,4.719M,,4.719M,27.42M,,27.42M,,,0.726M,32.87M,526.38M,,931.05M,932.19M,39.39M,,,,-8.088M,1.895B,,,
2002-12,251.46M,205.45M,456.91M,111.25M,,111.25M,,,,210.11M,42.89M,47.88M,,869.04M,0.00,11.41M,1.204B,864.55M,,91.72M,,2.172B,-868.13M,1.304B,,30.33M,30.33M,,,150.69M,1.485B,2.354B,,124.62M,,,,124.62M,314.25M,438.87M,,,0.713M,,0.713M,91.73M,91.73M,,531.31M,,4.897M,,4.897M,25.61M,,25.61M,,,1.014M,31.52M,562.83M,,877.17M,884.76M,39.39M,,,,-10.20M,1.791B,,,
2002-09,99.68M,227.66M,327.34M,97.57M,,97.57M,,,,263.17M,42.35M,42.21M,,772.64M,0.00,11.31M,1.162B,798.20M,,108.33M,,2.080B,-814.43M,1.266B,,29.76M,29.76M,,,146.62M,1.442B,2.215B,,135.99M,,,,135.99M,283.63M,419.62M,,,0.71M,,0.71M,42.26M,42.26M,,462.60M,,5.076M,,5.076M,22.50M,,22.50M,,,1.036M,28.61M,491.20M,,891.04M,801.73M,39.39M,,,,-8.581M,1.724B,,,
2002-06,209.14M,217.27M,426.42M,93.77M,,93.77M,,,,219.00M,38.47M,41.04M,,818.69M,0.00,11.31M,30.48M,774.18M,1.094B,76.22M,,1.986B,-762.28M,1.224B,,64.66M,64.66M,,,108.25M,1.397B,2.216B,,121.99M,,,,121.99M,,121.99M,,,0.706M,,0.706M,44.51M,44.51M,293.80M,461.01M,,5.254M,,5.254M,36.38M,,36.38M,,,1.031M,42.67M,503.67M,,933.16M,746.32M,39.39M,,,,-6.788M,1.712B,,,
2002-03,161.84M,161.45M,323.29M,85.97M,,85.97M,,,,172.31M,39.54M,40.69M,,661.80M,0.00,11.31M,1.095B,740.03M,,54.54M,,1.901B,-705.15M,1.195B,,20.97M,20.97M,,,141.44M,1.358B,2.020B,,99.60M,,,,99.60M,223.42M,323.02M,,,49.52M,,49.52M,39.23M,39.23M,,411.78M,,5.424M,,5.424M,17.21M,,17.21M,,,1.032M,23.66M,435.44M,,874.98M,690.14M,39.39M,,,,-20.36M,1.584B,,,
2001-12,226.83M,81.83M,308.66M,89.71M,,89.71M,,,,176.97M,36.53M,38.82M,,650.70M,0.00,6.023M,1.051B,703.99M,,53.31M,,1.814B,-654.43M,1.159B,,21.04M,21.04M,,,133.24M,1.314B,1.964B,,84.52M,,,,84.52M,246.26M,330.78M,,,58.94M,,58.94M,49.34M,49.34M,,439.07M,,5.609M,,5.609M,18.99M,,18.99M,,0.447M,,24.60M,463.67M,,821.62M,658.07M,39.39M,,,,-18.74M,1.500B,,,
2001-09,113.24M,107.31M,220.55M,90.42M,,90.42M,,,,221.25M,29.83M,31.87M,,593.92M,0.00,6.023M,980.53M,661.05M,,93.43M,,1.741B,-605.25M,1.136B,,21.84M,21.84M,,,94.96M,1.253B,1.847B,,127.90M,,,,127.90M,227.76M,355.66M,,,62.68M,,62.68M,26.92M,26.92M,,445.26M,,5.786M,,5.786M,19.13M,,19.13M,,,0.409M,25.33M,470.59M,,791.62M,589.71M,,,,,-5.408M,1.376B,,,
2001-06,151.99M,121.98M,273.97M,95.94M,,95.94M,,,,189.89M,29.57M,35.43M,,624.79M,0.00,6.023M,906.80M,606.90M,,92.73M,,1.612B,-564.32M,1.048B,,22.04M,22.04M,,,87.87M,1.158B,1.783B,,95.27M,,,,95.27M,218.12M,313.39M,,,66.69M,,66.69M,13.55M,13.55M,,393.62M,,5.961M,,5.961M,22.67M,,22.67M,,5.923M,,28.63M,422.26M,,833.96M,536.46M,,,,,-15.76M,1.355B,,,
2001-03,215.18M,50.99M,266.17M,75.98M,,75.98M,,,,151.37M,29.43M,35.07M,,558.02M,0.00,5.084M,852.83M,567.66M,,92.08M,,1.518B,-520.08M,997.58M,,22.58M,22.58M,,,90.08M,1.110B,1.668B,,86.23M,,,,86.23M,,86.23M,,,53.33M,,53.33M,1.766M,1.766M,198.55M,339.87M,,6.157M,,6.157M,25.64M,,25.64M,,4.386M,,31.80M,371.67M,,819.21M,489.71M,,,,,-16.70M,1.292B,,,
2000-12,177.44M,50.29M,227.73M,78.35M,,78.35M,,,,168.44M,,,52.78M,527.29M,,,,,,,,1.445B,-484.99M,960.38M,,23.08M,23.08M,,,91.10M,1.075B,1.602B,,84.28M,,,,84.28M,,84.28M,,,0.688M,,0.688M,,,256.23M,341.20M,,6.31M,,6.31M,22.61M,,22.61M,,4.03M,,28.92M,370.12M,,779.34M,457.50M,,,,,-9.136M,1.228B,,,
2000-09,70.82M,61.34M,132.15M,76.38M,,76.38M,,,,201.66M,18.74M,29.30M,,458.23M,,,,,,,,1.377B,-446.40M,930.76M,,21.31M,21.31M,,,81.24M,1.033B,1.492B,,73.65M,,,,73.65M,,73.65M,,,57.02M,,57.02M,,,181.00M,311.67M,,6.483M,,6.483M,21.41M,,21.41M,,3.588M,,27.89M,339.56M,,750.87M,408.50M,,,,,-10.98M,1.148B,,,
2000-06,67.44M,56.13M,123.56M,63.15M,,63.15M,,,,181.99M,,,47.39M,416.09M,,,,,,,,1.301B,-418.21M,882.48M,,20.53M,20.53M,,,135.94M,1.039B,1.455B,,75.22M,,,,75.22M,,75.22M,,,52.48M,,52.48M,,,172.23M,299.94M,,6.505M,,6.505M,35.63M,,35.63M,,2.525M,,42.13M,342.07M,,715.90M,407.01M,,,,,-12.47M,1.110B,,,
2000-03,85.26M,42.93M,128.18M,58.60M,,58.60M,,,,151.95M,,,53.24M,391.97M,,,,,,,,1.227B,-386.37M,840.94M,,18.69M,18.69M,,,132.36M,991.98M,1.384B,,65.13M,,,,65.13M,,65.13M,,,50.46M,,50.46M,,,157.58M,273.17M,,6.677M,,6.677M,35.92M,,35.92M,,,,42.60M,315.77M,,702.17M,372.09M,,,,,-6.083M,1.068B,,,
1999-12,77.40M,72.80M,150.20M,48.60M,,48.60M,,,,157.20M,,,42.60M,398.60M,,,,,,,,1.149B,-352.30M,796.60M,,19.40M,19.40M,,,110.00M,926.00M,1.325B,,63.80M,,,,63.80M,,63.80M,,,,,,,,195.40M,259.20M,,6.80M,,6.80M,40.20M,,40.20M,,,,47.00M,306.20M,,658.80M,348.70M,,,,,10.90M,1.018B,,,
1999-09,66.40M,51.40M,117.80M,47.60M,,47.60M,,,,180.90M,,,40.20M,386.50M,,,,,,,,1.081B,-321.00M,760.30M,,14.20M,14.20M,,,91.50M,866.00M,1.252B,,56.10M,,,,56.10M,,56.10M,,,64.50M,,64.50M,,,130.60M,251.20M,,7.00M,,7.00M,32.90M,,32.90M,,0.40M,,39.90M,291.10M,,651.00M,313.90M,,,,,-3.90M,961.00M,,,
1999-06,90.90M,,90.90M,41.50M,,41.50M,,,,166.60M,,,87.50M,386.50M,,,,,,,,993.80M,-302.10M,691.70M,,13.60M,13.60M,,,76.70M,782.00M,1.168B,,65.80M,,,,65.80M,,65.80M,,,39.40M,,39.40M,,,119.20M,224.40M,,,,,22.30M,,22.30M,,,-0.10M,22.20M,246.60M,,,281.60M,,,,,,921.90M,,,
1999-03,127.50M,,127.50M,38.00M,,38.00M,,,,129.20M,,,62.60M,357.30M,,,,,,,,921.30M,-267.10M,654.20M,,13.70M,13.70M,,,69.10M,737.00M,1.094B,,54.50M,,,,54.50M,,54.50M,,,34.40M,,34.40M,,,94.50M,183.40M,,,,,21.60M,,21.60M,,,,21.60M,205.00M,,,256.90M,,,,,,889.30M,,,
1998-12,128.40M,,128.40M,45.00M,,45.00M,,,,118.00M,,,76.70M,368.10M,,,,,,,,870.00M,-241.80M,628.20M,,,,,,60.20M,688.40M,1.056B,,53.00M,,,,53.00M,,53.00M,,,36.80M,,36.80M,,,106.50M,196.30M,,,,,20.20M,,20.20M,,,,20.20M,216.50M,,,239.00M,,,,,,840.00M,,,
1998-09,101.70M,21.90M,123.60M,51.00M,,51.00M,,,,143.10M,,,19.60M,337.30M,,,,,,,,819.30M,-218.50M,600.80M,,0.10M,0.10M,,,54.60M,655.50M,992.80M,,49.90M,,,,49.90M,,49.90M,,,33.60M,,33.60M,,,96.00M,179.50M,,,,,19.00M,,19.00M,,,,19.00M,198.50M,,589.20M,212.20M,,,,,-7.20M,794.30M,,,
1998-06,91.40M,,91.40M,34.00M,,34.00M,,,,151.80M,,,52.30M,329.50M,,,,,,,,766.10M,-198.60M,567.50M,,,,,,52.50M,620.00M,949.50M,,60.60M,,,,60.60M,,60.60M,,,,,,,,107.20M,167.80M,,1.00M,,1.00M,15.00M,,15.00M,,,,16.00M,183.80M,,,182.30M,,,,,,765.70M,,,
1998-03,107.90M,,107.90M,34.10M,,34.10M,,,,128.30M,,,60.10M,330.40M,,,,,,,,709.00M,-176.50M,532.50M,,,,,,48.10M,580.60M,911.00M,,59.40M,,,,59.40M,,59.40M,,,,,,,,90.60M,150.00M,,1.30M,,1.30M,15.10M,,15.10M,,,-0.10M,16.30M,166.30M,,,180.70M,,,,,,744.70M,,,
1997-12,104.40M,,104.40M,34.10M,,34.10M,,,,115.30M,,,92.70M,346.50M,,,,,,,,668.30M,-157.90M,510.40M,,,,,,48.90M,559.30M,905.80M,,54.20M,,,,54.20M,,54.20M,,,,,,,,115.20M,169.40M,,1.70M,,1.70M,14.90M,,14.90M,,,,16.60M,186.00M,,,165.40M,,,,,,719.80M,,,
1997-09,70.10M,,70.10M,31.20M,,31.20M,,,,119.80M,,,96.50M,317.60M,,,,,,,,632.10M,-143.30M,488.80M,,,,,,50.80M,539.60M,857.20M,,48.00M,,,,48.00M,,48.00M,,,,,,,,97.50M,145.50M,,165.00M,,165.00M,12.90M,,12.90M,,,0.10M,178.00M,323.50M,,,142.40M,,,,,,533.70M,,,
1997-06,90.80M,,90.80M,17.60M,,17.60M,,,,109.90M,,,105.30M,323.60M,,,,,,,,569.20M,-127.90M,441.30M,,,,,,40.90M,482.20M,805.80M,,49.40M,,,,49.40M,,49.40M,,,,,,,,73.70M,123.10M,,166.30M,,166.30M,12.30M,,12.30M,,,,178.60M,301.70M,,,126.40M,,,,,,504.10M,,,
1997-03,90.80M,,90.80M,21.40M,,21.40M,,,,81.40M,,,133.90M,327.50M,,,,,,,,527.30M,-113.30M,414.00M,,,,,,29.40M,443.40M,770.90M,,41.00M,,,,41.00M,,41.00M,,,,,,,,70.40M,111.40M,,166.50M,,166.50M,8.60M,,8.60M,,,0.10M,175.20M,286.60M,,,113.30M,,,,,,484.30M,,,
1996-12,127.80M,,127.80M,18.40M,,18.40M,,,,63.40M,,,131.30M,340.90M,,,,,,,,494.20M,-100.10M,394.10M,,,,,,17.80M,411.90M,752.80M,,29.80M,,,,29.80M,,29.80M,,,,,,,,76.50M,106.30M,,166.40M,,166.40M,8.40M,,8.40M,,,0.10M,174.90M,281.20M,,,104.90M,,,,,,471.60M,,,
