,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-03,,314.00M,314.00M,1.118B,,1.118B,,,,1.718B,,183.00M,372.00M,3.705B,0.00,401.00M,852.00M,914.00M,,221.00M,2.388B,-1.05B,1.338B,921.00M,648.00M,1.569B,,,654.00M,1.842B,5.403B,9.108B,,636.00M,636.00M,490.00M,1.126B,55.00M,55.00M,143.00M,143.00M,1.24B,2.564B,3.34B,,3.34B,,,,,,1.884B,5.224B,7.788B,,5.00M,3.43B,3.477B,5.642B,50.00M,1.32B,,,Restated
2007-12,,332.00M,332.00M,1.148B,,1.148B,,,,1.557B,,185.00M,350.00M,3.572B,0.00,399.00M,833.00M,900.00M,,216.00M,2.348B,-1.019B,1.329B,921.00M,635.00M,1.556B,,,678.00M,1.807B,5.37B,8.942B,,789.00M,789.00M,642.00M,1.431B,175.00M,175.00M,101.00M,101.00M,1.169B,2.876B,2.79B,,2.79B,,,,,,1.847B,4.637B,7.513B,,5.00M,3.332B,3.531B,5.49B,51.00M,1.429B,,,
2007-09,,208.00M,208.00M,1.239B,,1.239B,,,,1.499B,,246.00M,522.00M,3.714B,0.00,390.00M,709.00M,918.00M,,300.00M,2.317B,-998.00M,1.319B,921.00M,623.00M,1.544B,,,782.00M,1.751B,5.396B,9.11B,,686.00M,686.00M,548.00M,1.234B,247.00M,247.00M,157.00M,157.00M,1.29B,2.928B,2.701B,,2.701B,,,,,,1.83B,4.531B,7.459B,,5.00M,3.188B,3.468B,5.042B,32.00M,1.651B,,,
2007-06,,151.00M,151.00M,1.254B,,1.254B,,,,1.291B,,227.00M,850.00M,3.773B,0.00,252.00M,632.00M,898.00M,,257.00M,2.039B,-954.00M,1.085B,921.00M,594.00M,1.515B,,,826.00M,1.72B,5.146B,8.919B,,700.00M,700.00M,498.00M,1.198B,219.00M,219.00M,142.00M,142.00M,1.547B,3.106B,2.065B,,2.065B,,,,,,1.777B,3.842B,6.948B,,5.00M,3.094B,3.424B,4.597B,45.00M,1.971B,,,
2007-03,,124.00M,124.00M,1.198B,,1.198B,,,,1.172B,,219.00M,686.00M,3.399B,0.00,271.00M,782.00M,912.00M,,261.00M,2.226B,-954.00M,1.272B,921.00M,579.00M,1.50B,,,766.00M,1.806B,5.344B,8.743B,,610.00M,610.00M,462.00M,1.072B,107.00M,107.00M,144.00M,144.00M,1.221B,2.544B,2.311B,,2.311B,,,,,,1.666B,3.977B,6.521B,,5.00M,2.927B,3.483B,4.224B,31.00M,2.222B,,,
2006-12,,191.00M,191.00M,1.06B,,1.06B,,,,1.186B,,200.00M,682.00M,3.319B,0.00,316.00M,724.00M,837.00M,,215.00M,2.092B,-859.00M,1.233B,921.00M,575.00M,1.496B,,,665.00M,1.875B,5.269B,8.588B,,658.00M,658.00M,614.00M,1.272B,15.00M,15.00M,178.00M,178.00M,1.057B,2.522B,1.818B,,1.818B,,,,,,1.63B,3.448B,5.97B,,5.00M,2.86B,3.617B,3.908B,44.00M,2.618B,,,
2006-09,,136.00M,136.00M,1.124B,,1.124B,,,,1.184B,,234.00M,558.00M,3.236B,0.00,214.00M,643.00M,860.00M,,180.00M,1.897B,-866.00M,1.031B,924.00M,550.00M,1.474B,,,608.00M,1.965B,5.078B,8.314B,,611.00M,611.00M,518.00M,1.129B,14.00M,14.00M,256.00M,256.00M,972.00M,2.371B,1.622B,,1.622B,,,,,,1.619B,3.241B,5.612B,,5.00M,2.704B,3.486B,3.518B,25.00M,2.702B,,,
2006-06,,364.00M,364.00M,1.049B,,1.049B,,,,1.124B,,236.00M,592.00M,3.365B,0.00,228.00M,665.00M,847.00M,,178.00M,1.918B,-833.00M,1.085B,924.00M,542.00M,1.466B,,,639.00M,1.818B,5.008B,8.373B,,629.00M,629.00M,486.00M,1.115B,12.00M,12.00M,248.00M,248.00M,898.00M,2.273B,1.549B,,1.549B,,,,,,1.592B,3.141B,5.414B,,5.00M,2.598B,3.441B,3.099B,14.00M,2.959B,,,
2006-03,,172.00M,172.00M,1.055B,,1.055B,,,,1.138B,,292.00M,804.00M,3.461B,0.00,268.00M,659.00M,840.00M,,145.00M,1.912B,-798.00M,1.114B,,1.455B,1.455B,,,551.00M,2.099B,5.219B,8.68B,,672.00M,672.00M,425.00M,1.097B,12.00M,12.00M,,,1.123B,2.232B,1.865B,,1.865B,,,,,,1.539B,3.404B,5.636B,,3.00M,2.441B,3.369B,2.767B,-2.00M,3.044B,,,
2005-12,,203.00M,203.00M,1.001B,,1.001B,,,,1.164B,,220.00M,802.00M,3.39B,0.00,301.00M,659.00M,827.00M,,132.00M,1.919B,-785.00M,1.134B,924.00M,466.00M,1.39B,,,545.00M,2.071B,5.14B,8.53B,,520.00M,520.00M,559.00M,1.079B,56.00M,56.00M,141.00M,141.00M,857.00M,2.133B,1.681B,,1.681B,,,,,,1.464B,3.145B,5.278B,,5.00M,2.50B,3.562B,2.667B,-148.00M,3.252B,,,
2005-09,,161.00M,161.00M,914.00M,,914.00M,,,,,,184.00M,710.00M,1.969B,,,,,,,3.185B,-681.00M,2.504B,,1.37B,1.37B,,,522.00M,2.25B,6.646B,8.615B,,610.00M,610.00M,487.00M,1.097B,215.00M,215.00M,,,858.00M,2.17B,1.602B,,1.602B,,,,,11.00M,1.529B,3.131B,5.301B,,3.00M,2.291B,3.53B,2.357B,-164.00M,3.303B,,,
2005-06,,471.00M,471.00M,993.00M,,993.00M,,,,,,159.00M,235.00M,1.858B,,,,,,,3.178B,-681.00M,2.497B,,1.364B,1.364B,,,514.00M,2.231B,6.606B,8.464B,,622.00M,622.00M,445.00M,1.067B,225.00M,225.00M,,,817.00M,2.109B,1.207B,,1.207B,,,,,14.00M,1.481B,2.688B,4.797B,,3.00M,2.172B,3.498B,1.85B,-170.00M,3.653B,,,
2005-03,,377.00M,377.00M,974.00M,,974.00M,,,,,,162.00M,220.00M,1.733B,,,,,,,3.033B,-681.00M,2.352B,,1.441B,1.441B,,,421.00M,2.482B,6.696B,8.429B,,589.00M,589.00M,392.00M,981.00M,489.00M,489.00M,,,774.00M,2.244B,835.00M,,835.00M,,,,,13.00M,1.405B,2.24B,4.484B,,3.00M,2.055B,3.479B,1.43B,-175.00M,3.932B,,,
2004-12,,770.00M,770.00M,797.00M,,797.00M,,,,,,162.00M,217.00M,1.946B,0.00,1.557B,642.00M,771.00M,,100.00M,3.07B,-681.00M,2.389B,,1.436B,1.436B,,,397.00M,2.50B,6.722B,8.668B,,570.00M,570.00M,508.00M,1.078B,489.00M,489.00M,,,789.00M,2.356B,836.00M,,836.00M,,,,,12.00M,1.383B,2.219B,4.575B,,3.00M,1.951B,3.423B,1.197B,-99.00M,4.081B,,,
2004-09,,202.00M,202.00M,863.00M,,863.00M,,,,,248.00M,,127.00M,1.44B,,,,,,,3.011B,-557.00M,2.454B,,1.478B,1.478B,,,,2.897B,6.829B,8.269B,,574.00M,574.00M,,574.00M,290.00M,290.00M,,,1.191B,2.055B,1.085B,,1.085B,,,,,10.00M,1.362B,2.447B,4.502B,,3.00M,1.804B,3.366B,1.259B,-157.00M,3.757B,,,
2004-06,,164.00M,164.00M,1.058B,,1.058B,,,,,216.00M,,147.00M,1.585B,,,,,,,3.069B,-557.00M,2.512B,,1.459B,1.459B,,,,2.74B,6.711B,8.296B,,569.00M,569.00M,,569.00M,290.00M,290.00M,,,1.131B,1.99B,1.144B,,1.144B,,,,,13.00M,1.304B,2.448B,4.438B,,3.00M,1.661B,3.376B,1.032B,-163.00M,3.845B,,,
2004-03,,203.00M,203.00M,773.00M,,773.00M,,,,,216.00M,,127.00M,1.319B,,,,,,,3.082B,-557.00M,2.525B,,1.455B,1.455B,,,,2.973B,6.953B,8.272B,,608.00M,608.00M,,608.00M,60.00M,60.00M,,,1.043B,1.711B,1.669B,,1.669B,,,,,10.00M,1.208B,2.877B,4.588B,,3.00M,1.559B,3.362B,1.077B,-173.00M,3.674B,,,
2003-12,,229.00M,229.00M,728.00M,,728.00M,,,,,,215.00M,175.00M,1.347B,0.00,1.71B,606.00M,680.00M,,74.00M,3.07B,-557.00M,2.513B,,1.449B,1.449B,,,251.00M,2.617B,6.83B,8.177B,,584.00M,584.00M,412.00M,996.00M,64.00M,64.00M,,,710.00M,1.77B,1.391B,,1.391B,,,,,6.00M,1.172B,2.563B,4.333B,,3.00M,1.505B,3.317B,865.00M,-122.00M,3.838B,,,
2003-09,,113.00M,113.00M,765.00M,,765.00M,,,,,254.00M,,126.00M,1.258B,,,,,,,2.998B,-470.00M,2.528B,,1.443B,1.443B,,,,2.843B,6.814B,8.072B,,516.00M,516.00M,,516.00M,259.00M,259.00M,,,1.108B,1.883B,1.421B,,1.421B,,,,,20.00M,1.10B,2.521B,4.404B,,3.00M,1.374B,3.298B,872.00M,-155.00M,3.648B,,,
2003-06,,144.00M,144.00M,645.00M,,645.00M,,,,,274.00M,,380.00M,1.443B,,,,,,,3.005B,-470.00M,2.535B,,1.434B,1.434B,,,,2.592B,6.561B,8.004B,,469.00M,469.00M,,469.00M,263.00M,263.00M,,,1.114B,1.846B,1.442B,,1.442B,,,,,,1.038B,2.48B,4.326B,,3.00M,1.305B,3.28B,777.00M,-133.00M,3.678B,,,
2003-03,,525.00M,525.00M,614.00M,,614.00M,,,,,295.00M,,291.00M,1.725B,,,,,,,3.096B,-470.00M,2.626B,,1.423B,1.423B,,,,2.571B,6.62B,8.345B,,468.00M,468.00M,,468.00M,223.00M,223.00M,,,1.168B,1.859B,1.937B,,1.937B,,,,,,1.006B,2.943B,4.802B,,3.00M,1.215B,3.28B,782.00M,-173.00M,3.543B,,,
2002-12,,198.00M,198.00M,522.00M,,522.00M,,,,,300.00M,,753.00M,1.773B,,,,,,,3.03B,-470.00M,2.56B,,1.418B,1.418B,,,,2.545B,6.523B,8.296B,,529.00M,529.00M,,529.00M,221.00M,221.00M,,,1.457B,2.207B,1.553B,,1.553B,,,,,,963.00M,2.516B,4.723B,,3.00M,1.126B,3.224B,667.00M,-113.00M,3.573B,,,
2002-09,,311.00M,311.00M,620.00M,,620.00M,,,,86.00M,,,477.00M,1.494B,,,,,,,3.467B,-559.00M,2.908B,,1.573B,1.573B,,,,2.519B,7.00B,8.494B,,647.00M,647.00M,,647.00M,,,,,1.22B,1.867B,1.808B,,1.808B,,,,,,1.056B,2.864B,4.731B,,3.00M,1.184B,3.174B,555.00M,-43.00M,3.763B,,,
2002-06,,200.00M,200.00M,653.00M,,653.00M,,,,94.00M,,,638.00M,1.585B,,,,,,,3.482B,-559.00M,2.923B,,1.568B,1.568B,,,,2.456B,6.947B,8.532B,,698.00M,698.00M,,698.00M,,,,,1.163B,1.861B,1.911B,,1.911B,,,,,,990.00M,2.901B,4.762B,,3.00M,1.103B,3.186B,457.00M,-65.00M,3.77B,,,
2002-03,,190.00M,190.00M,645.00M,,645.00M,,,,99.00M,,,576.00M,1.51B,,,,,,,3.521B,-559.00M,2.962B,,1.569B,1.569B,,,,2.512B,7.043B,8.553B,,658.00M,658.00M,,658.00M,,,,,1.029B,1.687B,2.182B,,2.182B,,,,,,1.036B,3.218B,4.905B,,3.00M,993.00M,3.213B,443.00M,-118.00M,3.648B,,,
2001-12,,817.00M,817.00M,611.00M,,611.00M,,,,96.00M,223.00M,,383.00M,2.13B,0.00,505.00M,860.00M,620.00M,1.167B,337.00M,3.489B,-559.00M,2.93B,,1.764B,1.764B,,,,2.283B,6.977B,9.107B,,697.00M,697.00M,358.00M,1.055B,,,,,747.00M,1.802B,2.815B,,2.815B,,,,,,1.012B,3.827B,5.629B,,3.00M,941.00M,3.378B,503.00M,-341.00M,3.478B,,,
2001-09,,874.00M,874.00M,660.00M,,660.00M,,,,101.00M,,,313.00M,1.948B,,,,,,,3.616B,-506.00M,3.11B,,1.801B,1.801B,,,,2.161B,7.072B,9.02B,,732.00M,732.00M,,732.00M,,,,,1.113B,1.845B,2.318B,,2.318B,,,,,,1.222B,3.54B,5.385B,,3.00M,1.062B,3.426B,425.00M,-431.00M,3.635B,,,
2001-06,,674.00M,674.00M,760.00M,,760.00M,,,,104.00M,,,297.00M,1.835B,,,,,,,3.669B,-506.00M,3.163B,,1.812B,1.812B,,,,1.98B,6.955B,8.79B,,708.00M,708.00M,,708.00M,,,,,1.06B,1.768B,2.314B,,2.314B,,,,,,1.107B,3.421B,5.189B,,3.00M,985.00M,3.445B,360.00M,-472.00M,3.601B,,,
2001-03,,370.00M,370.00M,719.00M,,719.00M,,,,110.00M,,,272.00M,1.471B,,,,,,,3.637B,-506.00M,3.131B,,1.834B,1.834B,,,,1.842B,6.807B,8.278B,,675.00M,675.00M,,675.00M,,,,,1.054B,1.729B,2.012B,,2.012B,,,,,,1.078B,3.09B,4.819B,,3.00M,895.00M,3.454B,381.00M,-512.00M,3.459B,,,
2000-12,,334.00M,334.00M,728.00M,,728.00M,,,,97.00M,,,256.00M,1.415B,,,,,,,3.747B,-506.00M,3.241B,,1.833B,1.833B,,,,1.748B,6.822B,8.237B,,660.00M,660.00M,,660.00M,,,,,1.257B,1.917B,2.016B,,2.016B,,,,,,1.037B,3.053B,4.97B,,3.00M,851.00M,3.59B,454.00M,-723.00M,3.267B,,,
2000-09,,378.00M,378.00M,,,668.00M,,,,104.00M,,,317.00M,1.467B,,,,,,,3.515B,-427.00M,3.088B,,1.816B,1.816B,,,,1.275B,6.179B,7.646B,,564.00M,564.00M,,564.00M,,,,,1.223B,1.787B,1.756B,,1.756B,,,,,,1.074B,2.83B,4.617B,,3.00M,715.00M,3.663B,481.00M,-871.00M,3.029B,,,
2000-06,,410.00M,410.00M,,,750.00M,,,,110.00M,,,283.00M,1.553B,,,,,,,3.428B,-427.00M,3.001B,,1.815B,1.815B,,,,1.189B,6.005B,7.558B,,561.00M,561.00M,,561.00M,,,,,1.144B,1.705B,1.958B,,1.958B,,,,,,1.025B,2.983B,4.688B,,3.00M,641.00M,3.749B,492.00M,-1.031B,2.87B,,,
2000-03,,372.00M,372.00M,,,805.00M,,,,117.00M,,,270.00M,1.564B,,,,,,,3.525B,-427.00M,3.098B,,1.799B,1.799B,,,,1.089B,5.986B,7.55B,,650.00M,650.00M,,650.00M,,,,,1.019B,1.669B,2.068B,,2.068B,,,,,,1.023B,3.091B,4.76B,,3.00M,544.00M,2.755B,472.00M,-40.00M,2.79B,,,
1999-12,,489.00M,489.00M,,,740.00M,,,,93.00M,,,278.00M,1.60B,,,,,,,3.272B,-427.00M,2.845B,,1.82B,1.82B,,,,1.059B,5.724B,7.324B,,628.00M,628.00M,,628.00M,,,,,1.115B,1.743B,1.676B,,1.676B,,,,,,997.00M,2.673B,4.416B,,3.00M,508.00M,2.738B,305.00M,-36.00M,2.908B,,,
1999-09,,324.00M,324.00M,,,681.00M,,,,,,,382.00M,1.387B,,,,,,,3.061B,-364.00M,2.697B,,1.846B,1.846B,,,,1.06B,5.603B,6.99B,,539.00M,539.00M,,539.00M,,,,,1.043B,1.582B,1.458B,,1.458B,,,,,,1.119B,2.577B,4.159B,,3.00M,400.00M,2.74B,279.00M,-33.00M,2.831B,,,
1999-06,,240.00M,240.00M,,,649.00M,,,,,,,350.00M,1.239B,,,,,,,2.835B,-364.00M,2.471B,,1.843B,1.843B,,,,1.006B,5.32B,6.559B,,483.00M,483.00M,,483.00M,,,,,938.00M,1.421B,1.178B,,1.178B,,,,,,1.087B,2.265B,3.686B,,,323.00M,,,,2.873B,,,
1999-03,,335.00M,335.00M,,,632.00M,,,,,,,339.00M,1.306B,,,,,,,2.701B,-364.00M,2.337B,,1.818B,1.818B,,,,991.00M,5.146B,6.452B,,469.00M,469.00M,,469.00M,,,,,875.00M,1.344B,1.266B,,1.266B,,,,,,1.058B,2.324B,3.668B,,,242.00M,,,,2.784B,,,
1998-12,,390.00M,390.00M,,,605.00M,,,,75.00M,,,263.00M,1.333B,,,,,,,2.639B,-364.00M,2.275B,,1.712B,1.712B,,,,913.00M,4.90B,6.233B,,497.00M,497.00M,,497.00M,,,,,915.00M,1.412B,1.267B,,1.267B,,,,,,984.00M,2.251B,3.663B,,,218.00M,,,,2.57B,,,
1998-09,,335.00M,335.00M,,,807.00M,,,,,,,371.00M,1.513B,,,,,,,2.341B,-320.00M,2.021B,,1.722B,1.722B,,,,899.00M,4.642B,6.155B,,865.00M,865.00M,,865.00M,,,,,877.00M,1.742B,858.00M,,858.00M,,,,,,999.00M,1.857B,3.599B,,,132.00M,,,,2.556B,,,
1998-06,,318.00M,318.00M,,,793.00M,,,,,,,389.00M,1.50B,,,,,,,2.132B,-320.00M,1.812B,,1.737B,1.737B,,,,940.00M,4.489B,5.989B,,858.00M,858.00M,,858.00M,,,,,817.00M,1.675B,668.00M,,668.00M,,,,,,993.00M,1.661B,3.336B,,,75.00M,,,,2.653B,,,
1998-03,,478.00M,478.00M,,,851.00M,,,,,,,342.00M,1.671B,,,,,,,1.883B,-322.00M,1.561B,,1.73B,1.73B,,,,1.054B,4.345B,6.016B,,871.00M,871.00M,,871.00M,,,,,729.00M,1.60B,755.00M,,755.00M,,,,,,970.00M,1.725B,3.325B,,,,,,,2.691B,,,
