,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,2.866B,2.866B,2.846B,20.00M,,-141.00M,,35.00M,,,,,381.00M,-361.00M,,,,46.00M,,225.00M,29.00M,170.00M,-1.00M,,-26.00M,169.00M,139.51M,-306.00M,55.00M,-361.00M,,0.3754,-0.0035,,0.3107,0.3720,,0.1434,-0.0035,,0.0831,0.3363,,470.82M,504.97M,0.0367,,,
2003-09,2.109B,2.109B,1.806B,303.00M,,213.00M,,14.00M,,,,,213.00M,90.00M,,,,11.00M,,106.00M,-16.00M,93.00M,-1.00M,,-29.00M,92.00M,84.60M,127.00M,37.00M,90.00M,,0.1978,-0.0049,,0.1802,0.1929,,0.1879,-0.0049,,0.1712,0.183,,476.95M,502.73M,0.0367,,,
2003-06,2.016B,2.016B,1.841B,175.00M,,107.00M,,37.00M,,,,,107.00M,68.00M,,,,40.00M,,110.00M,-16.00M,126.00M,-1.00M,,,125.00M,103.80M,102.00M,34.00M,68.00M,,0.2671,0.00,,0.2196,0.2671,,0.2572,-0.0049,,0.2124,0.2522,,468.02M,495.55M,0.0367,,,
2003-03,2.023B,2.023B,1.853B,170.00M,,112.00M,,-4.00M,,,,,112.00M,58.00M,,,,-5.00M,,47.00M,-40.00M,87.00M,29.00M,,,116.00M,89.40M,92.00M,34.00M,58.00M,,0.1829,0.0643,,0.1880,0.2472,,0.1780,0.0593,,0.1828,0.2373,,473.17M,492.80M,0.0342,,,
2002-12,2.649B,2.649B,2.242B,407.00M,,433.00M,,,,,,,433.00M,-26.00M,,,,,,108.00M,-8.00M,116.00M,-153.00M,,,-37.00M,116.00M,33.00M,59.00M,-26.00M,,0.2577,-0.3199,,0.2577,-0.0622,,0.0841,-0.3199,,0.0841,-0.0643,,486.16M,486.16M,0.0342,,,
2002-09,1.924B,1.924B,1.796B,128.00M,,25.00M,,,,,,,25.00M,103.00M,,,,,,112.00M,-2.00M,114.00M,-11.00M,,,103.00M,114.00M,145.00M,42.00M,103.00M,,0.2325,-0.0198,,0.2325,0.2127,,0.2226,-0.0198,,0.2226,0.2028,,487.07M,509.71M,0.0342,,,
2002-06,2.034B,2.034B,1.885B,149.00M,,23.00M,,,,,,,23.00M,126.00M,,,,,,133.00M,6.00M,127.00M,2.00M,,,129.00M,127.00M,173.00M,47.00M,126.00M,,0.2572,0.0049,,0.2572,0.2621,,0.2424,0.0049,,0.2424,0.2473,,490.91M,525.28M,0.0342,,,
2002-03,1.808B,1.808B,1.661B,147.00M,,29.00M,,,,,,,29.00M,118.00M,,,,,,118.00M,36.00M,82.00M,,,,82.00M,82.00M,157.00M,39.00M,118.00M,,0.1583,0.00,,0.1583,0.1583,,0.1583,0.00,,0.1583,0.1583,,516.79M,516.79M,0.0318,,,
2001-12,484.00M,484.00M,52.00M,432.00M,,583.00M,,,,,,,583.00M,-151.00M,,,,,,-134.00M,-51.00M,-83.00M,,,,-116.00M,-83.00M,-76.00M,75.00M,-151.00M,,-0.1687,-0.0667,,-0.1687,-0.2354,,-0.1687,-0.0667,,-0.1687,-0.2354,,494.23M,504.69M,0.0318,,,
2001-09,2.373B,2.373B,2.195B,178.00M,,13.00M,,,,,,,13.00M,165.00M,,,,,,162.00M,61.00M,101.00M,,,,101.00M,101.00M,216.00M,51.00M,165.00M,,0.2028,0.00,,0.2028,0.2028,,0.1929,0.00,,0.1929,0.1929,,498.07M,523.61M,0.0318,,,
2001-06,2.45B,2.45B,2.211B,239.00M,,29.00M,,,,,,,29.00M,210.00M,,,,,,203.00M,73.00M,130.00M,,,,130.00M,130.00M,260.00M,50.00M,210.00M,,0.2621,0.00,,0.2621,0.2621,,0.2473,0.00,,0.2473,0.2473,,495.93M,525.68M,0.0318,,,
2001-03,2.461B,2.461B,2.235B,226.00M,,30.00M,,,,,,,30.00M,196.00M,,,,,,190.00M,69.00M,121.00M,,,,121.00M,121.00M,242.00M,46.00M,196.00M,,0.2472,0.00,,0.2472,0.2472,,0.2323,0.00,,0.2323,0.2323,,517.07M,517.07M,0.0294,,,
2000-12,1.05B,1.05B,904.00M,146.00M,,45.00M,,,,,,,-89.00M,235.00M,,,,,,248.00M,88.00M,160.00M,,,,149.00M,160.00M,296.00M,61.00M,235.00M,,0.3124,-0.0222,,0.3124,0.2902,,0.3066,-0.0222,,0.3066,0.2869,,487.02M,520.85M,0.0294,,,
2000-09,2.303B,2.303B,2.04B,263.00M,,29.00M,,,,,,,76.00M,187.00M,,,,,,174.00M,64.00M,110.00M,,,,110.00M,110.00M,234.00M,47.00M,187.00M,,0.2275,0.00,,0.2275,0.2275,,0.2127,0.00,,0.2127,0.2127,,483.49M,517.22M,0.0294,,,
2000-06,2.391B,2.391B,2.098B,293.00M,,25.00M,,,,,,,71.00M,222.00M,,,,,,200.00M,74.00M,126.00M,,,,126.00M,126.00M,268.00M,46.00M,222.00M,,0.2621,0.00,,0.2621,0.2621,,0.2473,0.00,,0.2473,0.2473,,480.67M,509.51M,0.0294,,,
2000-03,2.167B,2.167B,1.933B,234.00M,,26.00M,,,,,,,67.00M,167.00M,,,,,,149.00M,55.00M,94.00M,,,,94.00M,94.00M,208.00M,41.00M,167.00M,,0.1928,0.00,,0.1928,0.1928,,0.1829,0.00,,0.1829,0.1829,,517.07M,517.07M,0.0269,,,
1999-12,2.807B,2.807B,2.515B,292.00M,,77.00M,,,,,,,136.00M,156.00M,,,,,,141.00M,51.00M,90.00M,,,,90.00M,90.00M,215.00M,59.00M,156.00M,,0.1850,,,0.1850,0.1850,,0.1682,0.00,,0.1682,0.1682,,501.42M,535.68M,0.0269,,,
1999-09,1.995B,1.995B,1.773B,222.00M,,30.00M,,,,,,,64.00M,158.00M,,,,,,153.00M,57.00M,96.00M,,,,96.00M,96.00M,192.00M,34.00M,158.00M,,0.1929,0.00,,0.1929,0.1929,,0.1781,0.00,,0.1781,0.1781,,497.69M,539.16M,0.0269,,,
1999-06,2.042B,2.042B,1.79B,252.00M,,28.00M,,6.00M,,,,,64.00M,188.00M,,,,6.00M,,183.00M,69.00M,114.00M,,,,114.00M,110.26M,224.00M,36.00M,188.00M,,0.2275,0.00,,0.2201,0.2275,,0.2077,0.00,,0.2009,0.2077,,501.07M,548.79M,0.0269,,,
1999-03,1.895B,1.895B,1.669B,226.00M,,29.00M,,7.00M,,,,,62.00M,164.00M,,,,7.00M,,160.00M,60.00M,100.00M,,,,100.00M,95.62M,197.00M,33.00M,164.00M,,0.2028,0.00,,0.1939,0.2028,,0.1879,0.00,,0.1797,0.1879,,493.14M,532.07M,0.0245,,,
1998-12,2.522B,2.522B,2.252B,270.00M,,36.00M,,11.00M,,,,,83.00M,187.00M,,,,11.00M,,183.00M,69.00M,114.00M,,,,114.00M,107.15M,234.00M,47.00M,187.00M,,0.2325,0.00,,0.2184,0.2325,,0.2176,0.00,,0.2044,0.2176,,485.99M,519.07M,0.0245,,,
1998-09,1.804B,1.804B,1.609B,195.00M,,25.00M,,7.00M,,,,,56.00M,139.00M,,,,7.00M,,140.00M,54.00M,86.00M,,,,86.00M,81.70M,170.00M,31.00M,139.00M,,0.1682,0.00,,0.1598,0.1682,,0.1583,0.00,,0.1504,0.1583,,511.41M,543.37M,0.0245,,,
1998-06,1.927B,1.927B,1.709B,218.00M,,24.00M,,8.00M,,,,,56.00M,162.00M,,,,8.00M,,164.00M,63.00M,101.00M,,,,101.00M,96.07M,194.00M,32.00M,162.00M,,0.1978,0.00,,0.1882,0.1978,,0.183,0.00,,0.1741,0.183,,510.52M,551.91M,0.0465,,,
1998-03,1.715B,1.715B,1.522B,193.00M,,25.00M,,10.00M,,,,,55.00M,138.00M,,,,10.00M,,145.00M,56.00M,89.00M,,,,89.00M,82.86M,168.00M,30.00M,138.00M,,0.1731,0.00,,0.1612,0.1731,,0.1632,0.00,,0.1520,0.1632,,514.13M,545.29M,,,,
