,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData
2004-03,189.00M,,23.00M,148.00M,148.00M,10.00M,,,,,-99.00M,-68.00M,-196.00M,-61.00M,,-424.00M,-1.00M,-55.00M,-89.00M,,-89.00M,-14.00M,,26.00M,-77.00M,,,191.00M,31.00M,-11.00M,20.00M,,-361.00M,,,-150.00M,927.00M,-282.00M,3.00M,648.00M,31.00M,,,-11.00M,
2003-12,378.00M,,-34.00M,146.00M,146.00M,241.00M,,,,,0.00,85.00M,52.00M,-112.00M,,25.00M,-4.00M,752.00M,-227.00M,,-140.00M,-78.00M,,,-218.00M,,,-428.00M,45.00M,0.00,45.00M,,0.00,,,-383.00M,830.00M,151.00M,-54.00M,927.00M,45.00M,,,0.00,
2003-09,283.00M,,28.00M,140.00M,140.00M,26.00M,,,,,29.00M,-35.00M,-19.00M,-55.00M,65.00M,-15.00M,15.00M,477.00M,-204.00M,,-204.00M,-22.00M,,,-226.00M,,,-197.00M,672.00M,-561.00M,111.00M,,0.00,,,-86.00M,608.00M,165.00M,57.00M,830.00M,672.00M,,,-561.00M,
2003-06,44.00M,,335.00M,131.00M,131.00M,-91.00M,,,,,31.00M,-66.00M,-100.00M,10.00M,-65.00M,-190.00M,-4.00M,225.00M,-184.00M,,-184.00M,-13.00M,,,-197.00M,,,-833.00M,16.00M,0.00,16.00M,,0.00,,,-817.00M,1.408B,-789.00M,-11.00M,608.00M,16.00M,,,0.00,
2003-03,217.00M,,8.00M,128.00M,128.00M,-70.00M,,,,,-56.00M,-135.00M,-85.00M,-30.00M,,-306.00M,-6.00M,-29.00M,-174.00M,,-174.00M,-71.00M,,,-245.00M,,,1.018B,16.00M,-153.00M,-137.00M,,-346.00M,,,535.00M,1.169B,261.00M,-22.00M,1.408B,16.00M,,,-153.00M,
2002-12,264.00M,,114.00M,107.00M,107.00M,-6.00M,,,,,-21.00M,41.00M,291.00M,44.00M,,355.00M,-58.00M,776.00M,-270.00M,2.00M,-268.00M,-372.00M,,,-640.00M,,,1.354B,429.00M,-1.028B,-599.00M,,-1.00M,,,754.00M,278.00M,890.00M,1.00M,1.169B,429.00M,,,-1.028B,
2002-09,316.00M,,-3.00M,120.00M,120.00M,16.00M,,,,,-4.00M,-53.00M,12.00M,44.00M,,-1.00M,,448.00M,-239.00M,27.00M,-212.00M,-55.00M,,,-267.00M,,,-428.00M,34.00M,0.00,34.00M,,0.00,,,-394.00M,472.00M,-213.00M,19.00M,278.00M,34.00M,,,0.00,
2002-06,200.00M,,160.00M,109.00M,109.00M,25.00M,,,,2.00M,-77.00M,-130.00M,-139.00M,-86.00M,,-432.00M,12.00M,76.00M,-207.00M,5.00M,-202.00M,-16.00M,,,-218.00M,,,151.00M,40.00M,-106.00M,-66.00M,,0.00,,,85.00M,522.00M,-57.00M,7.00M,472.00M,40.00M,,,-106.00M,
2002-03,253.00M,,-16.00M,103.00M,103.00M,37.00M,,,,-2.00M,-174.00M,-127.00M,-127.00M,-42.00M,,-470.00M,-12.00M,-107.00M,-132.00M,,-132.00M,-49.00M,,,-181.00M,,,517.00M,91.00M,-35.00M,56.00M,,-348.00M,,,225.00M,582.00M,-63.00M,3.00M,522.00M,91.00M,,,-35.00M,
2001-12,-64.00M,,481.00M,99.00M,99.00M,26.00M,,,,,85.00M,46.00M,167.00M,-20.00M,,278.00M,,725.00M,-266.00M,35.00M,-231.00M,-557.00M,,9.00M,-779.00M,,,-278.00M,542.00M,-69.00M,473.00M,,0.00,,,195.00M,470.00M,141.00M,-29.00M,582.00M,542.00M,,,-69.00M,
2001-09,272.00M,,-17.00M,111.00M,111.00M,-34.00M,,,,,5.00M,4.00M,-14.00M,71.00M,,66.00M,,398.00M,-187.00M,-19.00M,-206.00M,-160.00M,,-9.00M,-375.00M,,,52.00M,49.00M,-76.00M,-27.00M,,-1.00M,,,24.00M,431.00M,47.00M,-8.00M,470.00M,49.00M,,,-76.00M,
2001-06,253.00M,,-23.00M,109.00M,109.00M,44.00M,,,,,-193.00M,-127.00M,19.00M,-86.00M,,-387.00M,,-4.00M,-175.00M,0.00,-175.00M,-39.00M,,,-214.00M,,,1.00M,37.00M,-143.00M,-106.00M,,0.00,,,-105.00M,723.00M,-323.00M,31.00M,431.00M,37.00M,,,-143.00M,
2001-03,214.00M,,15.00M,108.00M,108.00M,80.00M,,,,,-11.00M,-100.00M,-256.00M,-83.00M,,-450.00M,,-33.00M,-131.00M,19.00M,-112.00M,-49.00M,,,-161.00M,,,631.00M,64.00M,,64.00M,,-340.00M,,,355.00M,579.00M,161.00M,-17.00M,723.00M,64.00M,,,,
2000-12,284.00M,,9.00M,93.00M,93.00M,-123.00M,,,,,27.00M,61.00M,424.00M,18.00M,,530.00M,-64.00M,729.00M,-287.00M,,-287.00M,-9.00M,,34.00M,-262.00M,,,-454.00M,39.00M,-25.00M,14.00M,,0.00,,,-440.00M,568.00M,27.00M,-16.00M,579.00M,39.00M,,,-25.00M,
2000-09,231.00M,,15.00M,118.00M,118.00M,39.00M,,,,2.00M,19.00M,1.00M,-91.00M,-20.00M,,-91.00M,24.00M,338.00M,-142.00M,,-142.00M,-110.00M,,-34.00M,-286.00M,,,175.00M,54.00M,-209.00M,-155.00M,,0.00,,,20.00M,496.00M,72.00M,0.00,568.00M,54.00M,,,-209.00M,
2000-06,48.00M,,286.00M,86.00M,86.00M,-136.00M,,,,-2.00M,-43.00M,-44.00M,16.00M,5.00M,,-66.00M,-32.00M,184.00M,-141.00M,-1.00M,-142.00M,-103.00M,,,-245.00M,,,-58.00M,66.00M,-92.00M,-26.00M,,0.00,,,-84.00M,694.00M,-145.00M,-53.00M,496.00M,66.00M,,,-92.00M,
2000-03,191.00M,,7.00M,97.00M,97.00M,49.00M,,,,,55.00M,-131.00M,-284.00M,-48.00M,,-408.00M,-11.00M,-75.00M,-115.00M,1.00M,-114.00M,-108.00M,,,-222.00M,,,443.00M,74.00M,-49.00M,25.00M,,-84.00M,,,384.00M,606.00M,87.00M,1.00M,694.00M,74.00M,,,-49.00M,
1999-12,229.00M,,5.00M,93.00M,93.00M,-3.00M,,,,,-18.00M,95.00M,184.00M,-15.00M,,246.00M,52.00M,622.00M,-237.00M,70.00M,-167.00M,-109.00M,,,-276.00M,,,-405.00M,28.00M,-113.00M,-85.00M,,-84.00M,,,-574.00M,825.00M,-228.00M,9.00M,606.00M,28.00M,,,-113.00M,
1999-09,210.00M,,-32.00M,52.00M,52.00M,79.00M,,,,,-90.00M,26.00M,-11.00M,-73.00M,,-148.00M,54.00M,215.00M,-146.00M,-1.00M,-147.00M,-13.00M,,,-160.00M,,,121.00M,53.00M,-71.00M,-18.00M,,-85.00M,,,18.00M,723.00M,73.00M,29.00M,825.00M,53.00M,,,-71.00M,
1999-06,207.00M,,24.00M,130.00M,130.00M,13.00M,,,,,41.00M,-66.00M,-68.00M,-12.00M,,-105.00M,-32.00M,237.00M,-150.00M,2.00M,-148.00M,-41.00M,,,-189.00M,,,-48.00M,226.00M,,226.00M,,-85.00M,,,93.00M,608.00M,141.00M,-26.00M,723.00M,226.00M,,,,
1999-03,178.00M,,-9.00M,97.00M,97.00M,3.00M,,,,,-36.00M,-38.00M,-75.00M,-143.00M,,-292.00M,32.00M,9.00M,-98.00M,4.00M,-94.00M,-16.00M,,,-110.00M,,,63.00M,39.00M,,39.00M,,-84.00M,,,18.00M,709.00M,-83.00M,-18.00M,608.00M,39.00M,,,,
1998-12,212.00M,,-16.00M,91.00M,91.00M,-38.00M,,,,,-80.00M,69.00M,202.00M,52.00M,,243.00M,46.00M,538.00M,-236.00M,,-233.00M,-43.00M,,,-276.00M,,,3.00M,28.00M,,28.00M,,-83.00M,,,-52.00M,478.00M,210.00M,21.00M,709.00M,28.00M,,,,
1998-09,-124.00M,,252.00M,42.00M,42.00M,-84.00M,,,,,43.00M,-12.00M,105.00M,32.00M,,168.00M,56.00M,310.00M,-99.00M,,-99.00M,-37.00M,,,-136.00M,,,-69.00M,33.00M,,33.00M,,-83.00M,,,-119.00M,428.00M,55.00M,-5.00M,478.00M,33.00M,,,,
1998-06,63.00M,,117.00M,104.00M,104.00M,77.00M,,,,,-106.00M,-68.00M,-4.00M,-81.00M,44.00M,-215.00M,,146.00M,-129.00M,,-129.00M,-100.00M,,,-229.00M,,,146.00M,24.00M,,24.00M,,-84.00M,,,86.00M,431.00M,3.00M,-6.00M,428.00M,24.00M,,,,
