,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-03,27.93M,,,,3.148M,3.05M,3.05M,1.089M,,,,,1.097M,-4.712M,3.527M,-3.13M,3.916M,1.462M,2.16M,37.38M,-4.805M,,-4.805M,,,-36.69M,,-41.49M,,-0.068M,6.928M,,6.928M,,,,6.86M,14.27M,2.747M,0.299M,17.31M,,6.928M,,,,,
2003-12,24.40M,,,,2.317M,2.961M,2.961M,-1.159M,,,,,5.408M,-0.946M,-4.613M,10.82M,-2.699M,2.027M,10.00M,38.51M,-2.114M,,-2.114M,,,-32.96M,,-48.75M,,-0.002M,3.871M,,3.871M,,,0.00,3.869M,19.88M,-6.37M,0.753M,14.27M,,3.871M,,,,,
2003-09,23.00M,,,,0.504M,2.836M,2.836M,0.777M,,,,,-3.07M,0.984M,0.922M,-8.774M,2.826M,1.349M,-5.763M,21.35M,-1.746M,,-1.746M,,,-20.51M,,-22.25M,,0.027M,1.781M,,1.781M,,,-0.142M,1.666M,19.12M,0.765M,0.001M,19.88M,,1.781M,,,,,
2003-06,22.26M,,,,2.858M,2.874M,2.874M,-0.249M,,,,,0.205M,0.719M,-2.746M,0.675M,-7.605M,-0.778M,-9.53M,18.22M,-2.612M,,-2.612M,,,-32.81M,,-35.42M,,-0.277M,9.093M,,9.093M,,,,8.816M,26.51M,-8.394M,1.002M,19.12M,,9.093M,,,,,
2003-03,22.04M,,,,,2.909M,2.909M,-0.066M,,,,,-7.684M,-2.416M,3.281M,-0.258M,11.23M,-2.598M,1.554M,26.44M,-1.935M,,-1.935M,,,-19.26M,,-21.19M,,0.052M,3.017M,,3.017M,,,,3.069M,18.42M,8.312M,-0.221M,26.51M,,3.017M,,,,,
2002-12,20.33M,,,,3.082M,4.044M,4.044M,0.713M,,,,,7.973M,-1.01M,-2.258M,1.295M,-105.47M,75.46M,-24.01M,4.151M,-2.992M,,-2.992M,,,,,-2.992M,,-0.72M,4.824M,,4.824M,,,,4.104M,12.98M,5.263M,0.176M,18.42M,,4.824M,,,,,
2002-09,19.87M,,,,0.00,2.898M,2.898M,1.093M,,,,,-5.259M,3.282M,-0.274M,-1.453M,0.597M,-25.55M,-28.66M,-4.796M,-1.378M,,-1.378M,,,,,-1.378M,,0.191M,1.837M,,1.837M,,,,2.028M,17.05M,-4.146M,0.072M,12.98M,,1.837M,,,,,
2002-06,16.46M,,,,0.193M,3.943M,3.943M,-1.549M,,,,,1.063M,-2.321M,0.401M,28.48M,-3.575M,-50.92M,-26.87M,-7.821M,-1.797M,,-1.797M,,,,,-1.797M,,0.234M,5.563M,,5.563M,,,,5.797M,20.00M,-3.821M,0.869M,17.05M,,5.563M,,,,,
2002-03,14.94M,,,,,2.734M,2.734M,-0.873M,,,,,-5.406M,2.971M,1.192M,-24.36M,2.86M,1.011M,-21.73M,-4.927M,-2.314M,,-2.314M,,,,,-2.314M,,0.221M,0.882M,,0.882M,,,,1.103M,26.33M,-6.138M,-0.185M,20.00M,,0.882M,,,,,
2001-12,15.25M,,,,1.274M,3.872M,3.872M,1.022M,,,,,15.11M,3.679M,-4.197M,-0.003M,-22.10M,1.466M,-6.045M,15.37M,-1.588M,,-1.588M,,,,,-1.588M,,0.163M,3.356M,,3.356M,,,-0.198M,3.321M,9.432M,17.10M,-0.207M,26.33M,,3.356M,,,,,
2001-09,14.88M,,,,2.241M,3.47M,3.47M,1.532M,,,,,-3.314M,4.727M,2.313M,-0.102M,-54.12M,31.25M,-19.24M,2.88M,-3.134M,,-3.134M,,,,,-3.134M,,-0.188M,1.753M,,1.753M,,,0.197M,1.762M,17.91M,1.508M,1.054M,9.432M,,1.753M,,,,,
2001-06,14.47M,,,,0.296M,3.296M,3.296M,0.794M,,,,,-2.944M,7.973M,-2.107M,-6.692M,1.384M,-32.35M,-34.74M,-15.88M,-2.909M,,-2.909M,,,,,-2.909M,,0.058M,1.509M,,1.509M,,,,1.567M,35.33M,-17.22M,-0.196M,17.91M,,1.509M,,,,,
2001-03,16.93M,,,,-0.296M,3.844M,3.844M,-0.475M,,,,,7.368M,0.905M,-5.433M,-1.098M,-9.672M,-0.365M,-8.295M,11.71M,-1.982M,,-1.982M,,,,,-1.982M,,-0.064M,2.277M,,2.277M,,,,2.213M,24.82M,11.94M,-1.425M,35.33M,,2.277M,,,,,
2000-12,17.15M,,,,1.505M,4.93M,4.93M,-2.574M,,,,,-2.927M,-3.079M,0.446M,0.087M,-24.94M,,-30.42M,-9.403M,-2.841M,,-2.841M,,0.001M,,,-2.84M,,-3.261M,6.326M,-55.07M,-48.74M,51.98M,,,-0.029M,36.34M,-12.27M,0.743M,24.82M,,6.326M,,,-55.07M,,
2000-09,22.59M,,,,-2.898M,5.883M,5.883M,-0.383M,,,,,-2.047M,1.741M,-9.142M,-60.44M,90.40M,2.119M,22.64M,47.83M,-2.86M,,-2.86M,,0.00,,,-2.86M,,-31.89M,-2.446M,37.40M,34.95M,-51.98M,,,-48.91M,41.19M,-3.944M,-0.901M,36.34M,,-2.446M,,,37.40M,,
2000-06,16.65M,,,,10.40M,3.995M,3.995M,-3.72M,,,,,-5.799M,-1.038M,5.749M,25.42M,-0.575M,-2.066M,21.70M,49.03M,-0.67M,,-0.67M,,-88.48M,,,-89.15M,,-15.12M,0.317M,-37.84M,-37.52M,,,,-52.64M,134.86M,-92.76M,-0.913M,41.19M,,0.317M,,,-37.84M,,
2000-03,15.23M,,,,-1.553M,2.527M,2.527M,0.601M,,,,,3.667M,-4.803M,-3.117M,35.81M,-1.835M,-0.053M,29.67M,46.47M,-2.577M,,-2.577M,,,,,-2.577M,,49.80M,3.095M,,3.095M,,,,52.90M,38.50M,96.79M,-0.437M,134.86M,,3.095M,,,,,
1999-12,19.90M,,,,0.90M,1.70M,1.70M,1.20M,,,,-0.10M,8.00M,-6.30M,-1.90M,-2.90M,-6.80M,,-9.90M,13.70M,-3.50M,,-3.50M,,,,,3.40M,,0.10M,2.50M,,2.50M,,,-0.10M,2.50M,19.80M,19.60M,-0.80M,38.50M,,2.50M,,,,,
1999-09,19.93M,,,,0.907M,2.408M,2.408M,-0.006M,,,,0.10M,-5.788M,-3.926M,8.067M,19.61M,-45.64M,0.291M,-27.38M,-4.044M,-3.081M,,-3.081M,,,,,-3.081M,,-0.302M,4.572M,,4.572M,,,0.10M,4.37M,28.02M,-2.755M,1.518M,19.80M,,4.572M,,,,,
1999-06,17.07M,,,,-1.807M,3.192M,3.192M,0.006M,,,,0.10M,-6.212M,2.626M,-0.167M,-20.21M,6.038M,-0.291M,-18.22M,0.344M,-2.519M,,-2.519M,,,,,-2.519M,,0.002M,2.728M,,2.728M,,,,2.73M,0.00,0.555M,-0.818M,28.02M,,2.728M,,,,,
1999-03,12.70M,,,,,1.70M,1.70M,,,,,-0.10M,-1.20M,4.90M,-2.80M,0.60M,-2.80M,,-1.30M,13.00M,-2.20M,,-2.20M,,,,,-2.20M,,,0.40M,,0.40M,,,,0.40M,11.40M,11.20M,-1.30M,0.00,,0.40M,,,,,
1998-12,-0.30M,,,,-1.20M,4.50M,4.50M,1.70M,,,,,8.70M,2.10M,0.80M,0.20M,-7.60M,,4.20M,8.90M,-5.90M,-2.70M,-8.60M,,,,0.20M,-8.40M,,-0.40M,1.00M,0.00,1.00M,,,0.10M,0.70M,9.60M,1.20M,0.60M,11.40M,,1.00M,,,0.00,,
1998-09,13.20M,,,,5.00M,2.50M,2.50M,-1.30M,,,,-0.10M,-4.60M,0.30M,-1.30M,0.20M,-15.80M,,-21.20M,-1.90M,-2.70M,2.70M,0.00,,,0.10M,-2.80M,-2.70M,,0.40M,0.60M,0.00,0.60M,,,-0.10M,0.90M,0.00,-3.70M,0.10M,9.60M,,0.60M,,,0.00,,
1998-06,14.00M,,,,-3.40M,2.90M,2.90M,-0.50M,,,,0.10M,-6.60M,0.20M,1.10M,-0.10M,1.00M,,-4.40M,8.70M,-4.70M,-2.70M,-7.40M,,,-0.80M,3.40M,-4.80M,,-0.10M,0.10M,0.00,0.10M,,,0.20M,0.20M,0.00,4.10M,-0.50M,0.00,,0.10M,,,0.00,,
