,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2001-09,,,,,,124.00M,,124.00M,,,,,,,7.177B,,7.177B,,,,,,7.177B,8.261B,,,,317.00M,317.00M,,,,317.00M,5.074B,,5.074B,,,694.00M,,,5.074B,5.919B,3.00M,-756.00M,2.059B,,,1.648B
2001-08,182.00M,,182.00M,205.00M,,,,387.00M,,,,,,,,,7.177B,147.00M,,,,,7.324B,8.261B,,,225.00M,,,,,,225.00M,5.391B,,5.391B,,,219.00M,475.00M,,5.866B,6.394B,342.00M,-756.00M,2.059B,339.00M,3.00M,1.648B
2001-06,,,,,,130.00M,,130.00M,,,,,,,7.206B,,7.206B,,,,,,7.206B,8.37B,,,,257.00M,257.00M,,,,257.00M,5.103B,,5.103B,,,729.00M,,,5.103B,5.911B,3.00M,-670.00M,2.057B,,,1.73B
2001-03,112.00M,,112.00M,331.00M,,,,443.00M,,,,,,,7.097B,,7.097B,131.00M,,,,,7.228B,8.251B,,,174.00M,372.00M,372.00M,,,,546.00M,5.431B,,5.431B,,,410.00M,475.00M,,5.906B,6.388B,198.00M,-643.00M,1.902B,196.00M,-4.00M,1.453B
2000-12,313.00M,,313.00M,211.00M,,,,524.00M,,,,,,,7.11B,,7.11B,128.00M,,,,,7.238B,8.396B,,,381.00M,257.00M,257.00M,,,,638.00M,5.322B,,5.322B,,,485.00M,475.00M,,5.797B,6.49B,198.00M,-600.00M,1.824B,196.00M,-1.00M,1.421B
2000-09,,,,,,,,,,,,,,,7.101B,,7.101B,,,,,,7.101B,8.188B,,,,272.00M,272.00M,,,,272.00M,4.829B,,4.829B,,,906.00M,,,4.829B,6.035B,2.00M,-774.00M,1.822B,,,1.247B
2000-08,188.00M,,188.00M,244.00M,,,,432.00M,,,,,,,,,7.101B,99.00M,,,,,7.20B,8.188B,,,147.00M,,,,,,147.00M,5.101B,,5.101B,48.00M,414.00M,431.00M,475.00M,,5.99B,6.51B,198.00M,-774.00M,1.822B,196.00M,1.00M,1.247B
2000-06,155.00M,,155.00M,262.00M,,,,417.00M,,,,,,,7.108B,,7.108B,96.00M,,,,,7.204B,8.166B,,,143.00M,,,,,,143.00M,5.107B,,5.107B,48.00M,339.00M,440.00M,475.00M,,5.921B,6.46B,198.00M,-751.00M,1.816B,196.00M,3.00M,1.266B
2000-03,126.00M,,126.00M,260.00M,,,,386.00M,,,,,,,7.12B,,7.12B,49.00M,,,,,7.169B,8.086B,,,145.00M,221.00M,221.00M,,,,366.00M,5.064B,,5.064B,49.00M,172.00M,472.00M,475.00M,,5.711B,6.252B,198.00M,-647.00M,1.81B,196.00M,1.00M,1.362B
1999-12,277.00M,,277.00M,247.00M,,,,524.00M,,,,,,,7.108B,,7.108B,49.00M,,,,,7.157B,8.202B,,,148.00M,221.00M,221.00M,,,,369.00M,5.069B,,5.069B,,,508.00M,497.00M,,5.566B,6.189B,2.00M,-539.00M,1.844B,,2.00M,1.505B
1999-09,,,,,,,,,,,,,,,7.221B,,7.221B,,,,,,7.221B,8.33B,,,,,,,,,,5.15B,,5.15B,,,1.077B,,,5.15B,5.771B,,-498.00M,,,,1.482B
