,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-09,789.00M,781.00M,310.00M,471.00M,,,47.00M,,5.00M,-743.00M,,,,1.04B,427.00M,44.00M,,,,10.00M,,-58.00M,-10.00M,-48.00M,1.00M,,4.00M,9.00M,-47.00M,-56.28M,127.00M,82.00M,44.00M,-0.1663,0.0,,,-0.1893,-0.1663,-0.1663,0.0,,,-0.1893,-0.1663,360.69M,360.69M,0.0
2004-06,933.00M,898.00M,335.00M,563.00M,,,50.00M,,4.00M,-796.00M,,,,1.098B,432.00M,131.00M,,,,8.00M,,5.00M,11.00M,-6.00M,23.00M,,1.00M,10.00M,17.00M,-10.80M,211.00M,80.00M,131.00M,-0.0489,0.0685,,,-0.0623,0.0196,-0.0489,0.0685,,,-0.0623,0.0196,357.68M,357.68M,0.0
2004-03,777.00M,777.00M,295.00M,482.00M,,,44.00M,,1.00M,,,,,274.00M,398.00M,84.00M,,,,1.00M,,-38.00M,-3.00M,-35.00M,4.00M,,-3.00M,9.00M,-31.00M,-35.92M,164.00M,80.00M,84.00M,-0.1272,0.0098,,,-0.1299,-0.1174,-0.1272,0.0098,,,-0.1299,-0.1174,340.65M,340.65M,0.0
2003-12,1.109B,1.124B,442.00M,682.00M,,,105.00M,,-82.00M,-1.051B,,,,1.397B,571.00M,111.00M,,,,-79.00M,,-103.00M,-2.00M,-101.00M,227.00M,,-16.00M,8.00M,150.00M,-23.53M,231.00M,120.00M,111.00M,-0.3523,0.7926,,,-0.162,0.5284,-0.3523,0.7926,,,-0.162,0.5284,407.10M,407.10M,0.0
2003-09,730.00M,727.00M,292.00M,435.00M,,,27.00M,,1.00M,-703.00M,,,,1.001B,407.00M,28.00M,,,,2.00M,,-79.00M,-12.00M,-67.00M,3.00M,-24.00M,9.00M,,-88.00M,-68.70M,110.00M,73.00M,28.00M,-0.2642,0.0098,0.0,,-0.2702,-0.3425,-0.2642,0.0098,-0.0847,,-0.2702,-0.3425,283.23M,283.23M,0.0
2003-06,877.00M,828.00M,,,,,35.00M,,2.00M,-769.00M,,,,1.382B,729.00M,99.00M,,,,4.00M,,-15.00M,6.00M,-21.00M,7.00M,,1.00M,9.00M,-14.00M,-23.40M,185.00M,86.00M,99.00M,-0.0881,0.0,,,-0.0973,-0.0881,-0.0881,0.0,,,-0.0973,-0.0881,261.16M,261.16M,0.0
2003-03,775.00M,775.00M,,,,,32.00M,,1.00M,,,,,580.00M,696.00M,79.00M,,,,1.00M,,-39.00M,-4.00M,-35.00M,1.00M,,1.00M,9.00M,-34.00M,-35.90M,167.00M,88.00M,79.00M,-0.1566,0.0,,,-0.1598,-0.1566,-0.1566,0.0,,,-0.1598,-0.1566,274.65M,274.65M,0.0
2002-12,859.00M,650.00M,,,,,,,,-791.00M,,,,,-819.00M,1.469B,,,,2.00M,,-49.00M,-6.00M,-43.00M,46.00M,,-23.00M,8.00M,-3.00M,-44.76M,1.603B,134.00M,1.469B,-0.2936,0.274,,,-0.2997,-0.0391,-0.2936,0.274,,,-0.2997,-0.0391,286.33M,286.33M,0.0
2002-09,794.00M,794.00M,,,,8.00M,8.00M,,,-728.00M,,,,,-720.00M,1.514B,,,,1.00M,,-45.00M,-7.00M,-38.00M,,,4.00M,9.00M,-38.00M,-38.84M,1.60B,86.00M,1.514B,-0.1761,0.0,,,-0.1792,-0.1761,-0.1761,0.0,,,-0.1792,-0.1761,271.02M,271.02M,0.0
2002-06,926.00M,926.00M,,,,7.00M,7.00M,,,-770.00M,,,,,-763.00M,1.689B,,,,1.00M,,35.00M,11.00M,24.00M,,,15.00M,8.00M,24.00M,23.31M,1.774B,85.00M,1.689B,0.0587,0.0,,,0.0562,0.0587,0.0587,0.0,,,0.0562,0.0587,270.51M,273.78M,0.0
2002-03,790.00M,790.00M,,,,13.00M,13.00M,,,-681.00M,,,,,-668.00M,1.458B,,,,1.00M,,-8.00M,4.00M,-12.00M,13.00M,,12.00M,9.00M,1.00M,-12.60M,1.541B,83.00M,1.458B,-0.0783,0.0489,,,-0.0805,-0.0294,-0.0783,0.0489,,,-0.0803,-0.0294,269.28M,291.26M,0.0
2001-12,1.075B,579.00M,,,,8.00M,8.00M,,,-956.00M,,,,,-948.00M,1.527B,,,,2.00M,,-86.00M,-7.00M,-79.00M,,,-3.00M,9.00M,-23.00M,-78.84M,1.635B,108.00M,1.527B,-0.3425,0.2153,,-0.0042,-0.3508,-0.1272,-0.3425,0.2153,,-0.0042,-0.3487,-0.1272,221.87M,294.63M,0.0
2001-09,856.00M,856.00M,,,,7.00M,7.00M,,,-758.00M,,,,,-751.00M,1.607B,,,,3.00M,,,,-6.00M,,,,9.00M,-7.00M,-7.80M,1.696B,89.00M,1.607B,-0.0587,0.0,,-0.0037,-0.0654,-0.0587,-0.0587,0.0,,-0.0037,-0.0649,-0.0587,268.26M,290.85M,0.2544
2001-06,1.008B,1.008B,,,,9.00M,9.00M,,,-822.00M,,,,,-813.00M,1.821B,,,,2.00M,,62.00M,12.00M,50.00M,-1.00M,,20.00M,9.00M,49.00M,48.39M,1.921B,100.00M,1.821B,0.1663,0.0,,,0.1598,0.1663,0.1566,0.0,,,0.1513,0.1566,246.29M,304.03M,0.2544
2001-03,880.00M,872.00M,,,,8.00M,8.00M,,-3.00M,-720.00M,,,,1.345B,710.00M,162.00M,,,,-2.00M,,35.00M,3.00M,27.00M,,,-15.00M,5.00M,32.00M,33.83M,239.00M,77.00M,162.00M,0.1174,0.0,,,0.1254,0.1174,0.1174,0.0,,,0.1254,0.1174,229.94M,229.94M,0.2544
2000-12,857.00M,784.00M,,,,,-27.00M,,,-439.00M,,,,,1.326B,-542.00M,,,,8.00M,,178.00M,-105.00M,283.00M,,,-46.00M,5.00M,280.00M,286.80M,-435.00M,107.00M,-542.00M,1.2329999999999999,0.0,,,1.228,1.2329999999999999,1.2329999999999999,,,,1.228,1.2329999999999999,223.96M,239.16M,0.2544
2000-09,239.00M,239.00M,,,,7.00M,7.00M,,,-156.00M,,,,,-149.00M,388.00M,,,,1.00M,,-13.00M,4.00M,-17.00M,,,-4.00M,5.00M,-17.00M,-17.60M,463.00M,75.00M,388.00M,-0.0979,0.0,,,-0.1005,-0.0979,-0.0979,0.0,,,-0.0999,-0.0979,225.34M,290.64M,0.2251
2000-06,196.00M,199.00M,,,,10.00M,10.00M,,3.00M,-139.00M,,,,204.00M,150.00M,49.00M,,,,-3.00M,,-48.00M,2.00M,-50.00M,,-3.00M,11.00M,5.00M,-53.00M,-50.00M,124.00M,75.00M,49.00M,-0.2446,-0.0098,0.0,,-0.2446,-0.2544,-0.2446,-0.0098,-0.0132,,-0.2446,-0.2544,227.97M,227.97M,0.2055
2000-03,185.00M,185.00M,,,,10.00M,10.00M,,,-145.00M,,,,,-135.00M,320.00M,,,,1.00M,,-59.00M,-1.00M,-58.00M,,,4.00M,5.00M,-58.00M,-58.98M,394.00M,74.00M,320.00M,-0.2544,0.0,,,-0.2588,-0.2544,-0.2544,0.0,,,-0.2588,-0.2544,224.62M,224.62M,0.2055
1999-12,778.00M,778.00M,,,,17.00M,17.00M,,,-246.00M,,,,,1.184B,-406.00M,,,,12.00M,,297.00M,-19.00M,316.00M,,,103.00M,5.00M,314.00M,293.80M,-316.00M,90.00M,-406.00M,1.39,-0.0685,,-0.009,1.359,1.38,1.37,-0.0685,,-0.0111,1.3430000000000002,1.35,236.29M,266.60M,0.2055
1999-09,203.00M,203.00M,,,,5.00M,5.00M,,,-144.00M,,,,,-139.00M,342.00M,,,,,,-31.00M,1.00M,-32.00M,,,-8.00M,1.00M,-28.00M,-32.00M,410.00M,68.00M,342.00M,-0.1468,0.0196,,0.0175,-0.1468,-0.1272,-0.1468,0.0196,,0.0175,-0.1468,-0.1272,227.97M,227.97M,0.2055
1999-06,341.00M,341.00M,,,,8.00M,8.00M,,,-143.00M,,,,,-135.00M,476.00M,,,,4.00M,,,,61.00M,,,36.00M,,74.00M,58.60M,543.00M,67.00M,476.00M,0.2544,0.0587,,0.055,0.2443,0.3131,0.2544,0.0391,,0.0533,0.2446,0.3033,236.33M,243.95M,0.2055
1999-03,307.00M,307.00M,,,,8.00M,8.00M,,,-136.00M,,,,,-128.00M,435.00M,,,,12.00M,,,,45.00M,,,27.00M,,45.00M,37.80M,503.00M,68.00M,435.00M,0.1957,0.0,,,0.1644,0.1957,0.1859,0.0,,,0.1562,0.1859,229.94M,242.04M,0.2055
1998-12,2.524B,2.524B,161.00M,2.363B,,,,,,,,,,,2.314B,49.00M,,,,,,-1.00M,11.00M,94.00M,,,,,95.00M,94.00M,476.00M,427.00M,49.00M,0.4012,0.7241,,,0.4012,0.4501,0.3523,0.7241,,,0.3523,0.4501,260.13M,260.13M,
1998-09,293.00M,293.00M,115.00M,178.00M,,,12.00M,59.00M,3.00M,,,,,,71.00M,107.00M,,,,3.00M,,12.00M,8.00M,4.00M,,,6.00M,,-144.00M,2.20M,166.00M,-59.00M,107.00M,0.0196,-0.7143,,-0.714,0.0109,-0.6948,0.0196,-0.7143,,-0.714,0.0111,-0.6948,207.27M,213.28M,
1998-06,402.00M,402.00M,119.00M,283.00M,,,9.00M,67.00M,5.00M,,,,,,76.00M,207.00M,,,,5.00M,,111.00M,45.00M,66.00M,,,14.00M,,66.00M,63.00M,274.00M,-67.00M,207.00M,0.3131,0.0,,,0.2989,0.3131,0.2936,0.0,,,0.2802,0.2936,210.78M,224.83M,
