,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2007-09,218.50M,,,,,187.60M,187.60M,-0.20M,,,,20.20M,-15.40M,-7.50M,28.40M,2.30M,-39.80M,,-32.00M,0.00,394.10M,2007-09,-46.40M,0.80M,-45.60M,-50.10M,-0.20M,-8.80M,-102.20M,,,,-6.60M,84.90M,-540.20M,-455.30M,,,,47.00M,-414.90M,,951.20M,-123.00M,2.60M,830.80M,2007-09,84.90M,,,-540.20M,,2007-09,
2007-06,163.90M,,,,,187.10M,187.10M,-13.90M,,,,31.90M,0.50M,-11.10M,-60.10M,10.90M,4.70M,,-55.10M,21.60M,335.50M,2007-06,-31.30M,12.80M,-18.50M,-9.70M,-0.10M,-5.00M,-4.50M,,,,-144.30M,110.60M,,110.60M,,,,7.20M,-26.50M,,670.90M,304.50M,-24.20M,951.20M,2007-06,110.60M,,,,,2007-06,
2007-03,138.90M,,,,,185.30M,185.30M,3.60M,,,,60.60M,-42.20M,-46.70M,42.90M,-36.50M,-87.30M,,-169.80M,,218.60M,2007-03,-40.50M,1.30M,-39.20M,-29.40M,0.00,39.50M,-29.10M,,,,-316.90M,113.00M,,113.00M,,,,9.80M,-194.10M,,667.40M,-4.60M,8.10M,670.90M,2007-03,113.00M,,,,,2007-03,
2006-12,25.34M,,-0.733M,,,124.57M,124.57M,-45.13M,,,,154.28M,-10.57M,38.86M,19.39M,11.16M,-109.67M,,-50.83M,-2.052M,205.45M,2006-12,-45.00M,1.189M,-43.81M,295.70M,3.17M,31.76M,286.35M,,,,-90.91M,153.93M,-72.00M,81.93M,,,,10.88M,1.904M,,158.00M,493.70M,15.70M,667.43M,2006-12,153.93M,,,-72.00M,,2006-12,
2006-09,51.04M,,0.732M,,,39.76M,39.76M,-17.80M,,,,6.167M,6.099M,-2.56M,3.391M,-10.60M,26.62M,,22.95M,-0.872M,101.98M,2006-09,-10.00M,2.529M,-7.471M,-32.63M,-5.078M,6.647M,-38.56M,,,,-103.56M,4.328M,0.001M,4.329M,,,,0.949M,-98.29M,,189.72M,-34.86M,3.175M,158.00M,2006-09,4.328M,,,0.001M,,2006-09,
2006-06,48.94M,,0.053M,,,39.12M,39.12M,-13.46M,,,,7.234M,11.80M,-3.397M,-13.23M,5.683M,-11.13M,,-10.27M,-5.275M,66.34M,2006-06,-8.542M,1.803M,-6.739M,-26.57M,71.92M,-7.30M,31.31M,,,,77.96M,5.531M,-228.00M,-222.47M,,,,1.287M,-143.23M,,230.79M,-45.58M,4.502M,189.72M,2006-06,5.531M,,,-228.00M,,2006-06,
2006-03,43.62M,,-0.785M,,,37.32M,37.32M,2.756M,,,,6.799M,24.80M,-25.04M,1.541M,-9.479M,-53.40M,,-61.58M,3.747M,31.88M,2006-03,-13.26M,0.268M,-12.99M,,2.056M,9.953M,4.352M,,,,-41.29M,16.54M,,16.54M,,,,4.264M,-20.49M,,214.33M,15.74M,0.723M,230.79M,2006-03,16.54M,,,,,2006-03,
2005-12,31.49M,,22.30M,,,37.93M,37.93M,-2.22M,,,,-20.02M,-56.72M,21.75M,15.09M,12.45M,40.36M,,32.93M,23.64M,126.05M,2005-12,-16.42M,11.79M,-4.634M,0.557M,-68.02M,0.016M,-71.51M,,,,-37.02M,5.452M,,5.452M,,,,0.302M,-31.26M,,193.46M,23.27M,-2.404M,214.33M,2005-12,5.452M,,,,,2005-12,
2005-09,64.47M,,-17.55M,,,37.91M,37.91M,-1.759M,,,,20.02M,-14.93M,-0.295M,3.174M,-17.38M,6.167M,,-23.27M,-23.94M,55.88M,2005-09,-10.68M,-5.169M,-15.85M,-18.85M,4.526M,-0.755M,28.78M,,,,-63.75M,13.02M,,13.02M,,,,-0.302M,-51.04M,,159.74M,33.63M,0.084M,193.46M,2005-09,13.02M,,,,,2005-09,
2005-06,56.76M,,-16.02M,,,29.87M,29.87M,-1.765M,,,,-0.026M,-2.868M,0.072M,-4.158M,6.77M,-9.776M,,-9.96M,-0.156M,58.70M,2005-06,-9.122M,1.399M,-7.723M,-875.69M,168.28M,-0.701M,-715.83M,,,,467.73M,4.126M,,4.126M,,,,-1.963M,469.89M,,351.56M,-187.24M,-4.575M,159.74M,2005-06,4.126M,,,,,2005-06,
2005-03,45.58M,,-1.308M,,,17.57M,17.57M,0.327M,,,,0.026M,9.022M,-15.27M,-7.363M,-4.467M,-12.41M,,-30.49M,-1.421M,30.28M,2005-03,-7.319M,13.80M,6.477M,-39.23M,33.13M,-0.618M,5.082M,,,,-1.272M,4.595M,,4.595M,,,,-0.055M,3.268M,,326.89M,38.63M,-13.96M,351.56M,2005-03,4.595M,,,,,2005-03,
2004-12,-22.37M,,113.20M,,,18.75M,18.75M,-3.749M,,,,-7.945M,-22.91M,10.83M,3.829M,12.72M,-13.23M,,-8.767M,-0.308M,88.81M,2004-12,-17.34M,1.474M,-15.86M,1.076M,-21.75M,-1.646M,-63.31M,,,,-227.86M,11.68M,231.53M,243.21M,,,,-0.548M,14.80M,,270.14M,40.31M,16.44M,326.89M,2004-12,11.68M,,,231.53M,,2004-12,
2004-09,150.49M,,-115.32M,,,16.28M,16.28M,5.714M,,,,7.945M,-11.96M,-6.608M,0.518M,-0.749M,19.33M,,0.531M,4.933M,70.58M,2004-09,-10.58M,0.678M,-9.899M,-68.38M,-14.47M,-0.354M,101.92M,,,,-3.969M,5.041M,-149.56M,-144.51M,,,,0.124M,-148.34M,,246.79M,24.16M,-0.803M,270.14M,2004-09,5.041M,,,-149.56M,,2004-09,
2004-06,50.58M,,-8.552M,,,16.43M,16.43M,1.433M,,,,-0.519M,5.083M,-5.364M,-10.31M,-1.622M,5.602M,,-6.61M,5.754M,58.51M,2004-06,-11.72M,0.309M,-11.41M,-75.71M,86.67M,0.533M,1.307M,,,,-5.965M,19.83M,-50.43M,-30.60M,,,,-0.078M,-36.08M,,223.40M,23.73M,-0.345M,246.79M,2004-06,19.83M,,,-50.43M,,2004-06,
2004-03,39.66M,,2.958M,,,14.68M,14.68M,-0.394M,,,,0.519M,2.182M,-20.31M,18.90M,-11.36M,-4.367M,,-14.95M,4.124M,46.60M,2004-03,-10.35M,3.05M,-7.303M,,3.266M,-2.44M,-5.762M,,,,-2.963M,21.09M,-31.54M,-10.46M,,,,-0.046M,-13.60M,,195.77M,27.24M,0.383M,223.40M,2004-03,21.09M,,,-31.54M,,2004-03,
2003-12,47.49M,,2.264M,,,11.98M,11.98M,-19.62M,,,,,-8.134M,20.14M,7.817M,9.602M,27.83M,,57.26M,12.56M,111.94M,2003-12,-12.98M,14.67M,1.687M,-131.80M,-15.25M,-2.071M,-144.64M,,,,5.417M,39.59M,-4.736M,34.86M,,,,0.078M,34.17M,,207.55M,1.467M,24.51M,195.77M,2003-12,39.59M,,,-4.736M,,2003-12,
2003-09,38.16M,,-0.65M,,,5.679M,5.679M,8.763M,,,,,-30.59M,2.437M,1.385M,-6.526M,12.00M,,-21.29M,6.087M,36.74M,2003-09,-6.472M,-0.64M,-7.112M,0.00,109.69M,-4.833M,99.24M,,,,-189.74M,13.12M,-10.02M,3.097M,,,,-0.073M,-188.43M,,264.44M,-52.44M,-4.452M,207.55M,2003-09,13.12M,,,-10.02M,,2003-09,
2003-06,53.14M,,-8.75M,,,15.02M,15.02M,-8.024M,,,,,18.67M,11.42M,-14.76M,6.368M,-20.07M,,1.632M,1.117M,54.13M,2003-06,-9.652M,5.053M,-4.599M,-0.50M,117.62M,68.46M,180.86M,,,,-215.50M,11.80M,-28.01M,-16.21M,,,,0.035M,-231.68M,,249.11M,3.317M,12.01M,264.44M,2003-06,11.80M,,,-28.01M,,2003-06,
2003-03,36.43M,,-5.333M,,,14.03M,14.03M,1.627M,,,,,20.98M,-6.59M,-7.381M,-8.756M,-27.72M,,-29.46M,-5.359M,11.93M,2003-03,-12.59M,1.62M,-10.97M,-2.62M,184.64M,0.014M,172.93M,,,,-238.42M,10.54M,-46.10M,-35.56M,,,,,-277.69M,,339.07M,-92.82M,2.868M,249.11M,2003-03,10.54M,,,-46.10M,,2003-03,
2002-12,87.15M,,-29.94M,,,14.18M,14.18M,29.95M,,,,-14.68M,-11.08M,16.51M,7.465M,14.79M,-54.31M,,-26.63M,44.13M,104.17M,2002-12,-15.03M,1.391M,-13.64M,21.65M,177.52M,-107.09M,123.41M,,,,-101.26M,10.30M,-41.46M,-31.16M,,,,0.003M,-133.03M,,238.03M,94.55M,6.484M,339.07M,2002-12,10.30M,,,-41.46M,,2002-12,
2002-09,39.02M,,-15.56M,,,13.83M,13.83M,6.247M,,,,1.97M,-2.565M,8.376M,1.039M,-2.838M,1.227M,,5.239M,-2.927M,47.82M,2002-09,-9.582M,21.84M,12.26M,-54.14M,-52.47M,199.33M,104.61M,,,,-72.16M,2.49M,-84.18M,-81.69M,,,,0.009M,-150.14M,,234.91M,2.29M,0.833M,238.03M,2002-09,2.49M,,,-84.18M,,2002-09,
2002-06,68.52M,,-55.78M,,,13.84M,13.84M,-6.825M,,,,10.84M,8.51M,3.686M,-9.671M,3.004M,-24.31M,,-18.78M,-42.79M,-30.98M,2002-06,-13.14M,7.111M,-6.024M,-46.19M,75.25M,48.14M,70.04M,,,,-25.61M,1.849M,-108.47M,-106.62M,,,,2.665M,-131.12M,,318.02M,-92.06M,8.951M,234.91M,2002-06,1.849M,,,-108.47M,,2002-06,
2002-03,115.04M,,-111.58M,,,14.54M,14.54M,-5.605M,,,,1.868M,9.667M,-7.10M,-6.833M,-5.066M,-15.17M,,-24.50M,-7.877M,-18.11M,2002-03,-13.47M,4.236M,-9.23M,,138.71M,-26.60M,210.42M,,,,-87.85M,10.69M,-100.04M,-89.34M,,,,0.293M,-178.69M,,305.20M,13.63M,-0.806M,318.02M,2002-03,10.69M,,,-100.04M,,2002-03,
2001-12,-6.868M,,10.11M,,,24.44M,24.44M,-9.516M,,,,6.07M,-10.31M,35.04M,-2.075M,6.776M,26.01M,,55.45M,-17.40M,62.29M,2001-12,-18.80M,0.662M,-18.14M,-69.53M,426.05M,-193.83M,114.85M,,,,-37.87M,23.45M,-203.86M,-180.42M,,,,0.306M,-220.19M,,353.84M,-43.06M,-5.58M,305.20M,2001-12,23.45M,,,-203.86M,,2001-12,
2001-09,26.28M,,18.24M,,,25.54M,25.54M,-7.153M,,,,28.19M,-6.859M,-1.335M,-2.801M,-2.687M,14.93M,,1.244M,-67.15M,25.19M,2001-09,-19.34M,30.67M,11.32M,0.00,-322.74M,204.21M,-9.367M,,,,6.65M,12.20M,-209.72M,-197.52M,,,,-2.324M,-344.97M,,672.27M,-329.14M,10.71M,353.84M,2001-09,12.20M,,,-209.72M,,2001-09,
2001-06,24.98M,,18.28M,,,24.59M,24.59M,1.505M,,,,,8.337M,-6.013M,-11.84M,-4.745M,-11.28M,,-25.53M,25.85M,69.68M,2001-06,-25.17M,22.04M,-3.131M,-1.477M,-3.955M,0.504M,240.43M,,,,-18.22M,12.91M,-83.14M,-70.23M,,,,0.36M,-113.86M,,487.63M,196.25M,-11.61M,672.27M,2001-06,12.91M,,,-83.14M,,2001-06,
2001-03,-45.18M,,15.52M,,,23.94M,23.94M,-1.587M,,,,,-10.21M,-19.97M,-2.371M,-12.44M,20.81M,,-24.18M,62.72M,31.24M,2001-03,-21.49M,5.037M,-16.45M,-12.65M,-238.06M,-33.63M,-169.75M,,,,-10.31M,21.31M,-14.67M,6.646M,,,,-0.102M,-17.29M,,636.25M,-155.80M,7.18M,487.63M,2001-03,21.31M,,,-14.67M,,2001-03,
2000-12,-54.80M,,115.88M,,,22.89M,22.89M,-42.69M,,,,-26.08M,-19.48M,-6.042M,11.24M,2.777M,69.30M,,57.80M,12.13M,85.13M,2000-12,-24.65M,1.418M,-23.23M,-0.039M,-82.91M,388.84M,12.82M,,,,-59.25M,33.48M,43.79M,77.27M,,,,15.69M,27.81M,,506.12M,125.76M,4.375M,636.25M,2000-12,33.48M,,,43.79M,,2000-12,
2000-09,3.263M,,-74.71M,,,26.64M,26.64M,6.891M,,,,26.08M,-21.91M,-14.82M,7.467M,-4.941M,52.84M,,18.64M,55.51M,62.31M,2000-09,-20.41M,222.12M,201.70M,-5.652M,164.46M,-433.42M,115.65M,,,,-25.36M,12.78M,0.00,12.78M,,,,-3.698M,-16.48M,,348.89M,161.48M,-4.251M,506.12M,2000-09,12.78M,,,0.00,,2000-09,
2000-06,24.26M,,5.815M,,,24.70M,24.70M,-1.651M,,,,,1.882M,-25.01M,-4.922M,1.339M,-52.06M,,-78.77M,45.61M,19.95M,2000-06,-15.46M,8.734M,-6.726M,-5.373M,-167.47M,54.63M,-106.78M,,,,-121.08M,0.571M,-22.72M,-22.15M,,,,-5.25M,-145.94M,,591.49M,-232.78M,-9.826M,348.89M,2000-06,0.571M,,,-22.72M,,2000-06,
2000-03,3.554M,,20.46M,,,23.26M,23.26M,-2.246M,,,,,12.12M,-31.48M,3.955M,-3.885M,-22.10M,,-41.40M,28.91M,32.54M,2000-03,-13.51M,43.14M,29.63M,-4.744M,128.70M,-8.81M,207.90M,,,,-3.889M,11.63M,-21.07M,-9.436M,,,,6.795M,-2.976M,,357.22M,237.46M,-3.178M,591.49M,2000-03,11.63M,,,-21.07M,,2000-03,
1999-12,-5.54M,,202.09M,,,27.90M,27.90M,-8.693M,,,,-162.35M,-20.17M,15.67M,-2.827M,4.155M,39.34M,,36.17M,-281.10M,-191.53M,1999-12,-436.82M,1.187M,-435.64M,352.08M,37.72M,117.36M,71.52M,,,,-24.98M,8.052M,-64.39M,-56.34M,,,,152.71M,71.39M,,335.03M,-48.62M,-4.739M,281.80M,1999-12,8.052M,,,-64.39M,,1999-12,
1999-09,36.33M,,-167.23M,,,29.40M,29.40M,-0.035M,,,,162.25M,5.524M,9.31M,8.171M,-13.20M,-5.052M,,4.748M,63.84M,129.30M,1999-09,358.32M,-6.787M,351.54M,-352.08M,14.38M,-85.06M,-71.22M,,,,13.08M,2.748M,14.39M,17.14M,,,,-144.91M,-114.69M,,386.90M,-56.61M,4.839M,335.03M,1999-09,2.748M,,,14.39M,,1999-09,
1999-06,-235.19M,,319.60M,,,29.07M,29.07M,-46.26M,,,,,-18.58M,-3.114M,7.097M,4.347M,-30.16M,,-40.42M,182.31M,209.12M,1999-06,-398.78M,22.89M,-375.89M,342.78M,40.92M,-7.52M,0.277M,,,,-34.93M,2.428M,-67.71M,-65.29M,,,,-30.52M,-130.74M,,311.93M,78.65M,-3.782M,386.90M,1999-06,2.428M,,,-67.71M,,1999-06,
1999-03,28.30M,,-5.563M,,,27.24M,27.24M,-6.313M,,,,,5.928M,-6.663M,1.759M,-2.997M,-6.628M,,-8.601M,-154.05M,-118.98M,1999-03,-10.72M,5.212M,-5.506M,-342.78M,431.38M,-0.18M,82.92M,,,,19.33M,1.672M,-72.69M,-71.01M,,,,15.42M,-36.26M,,396.67M,-72.32M,-12.42M,311.93M,1999-03,1.672M,,,-72.69M,,1999-03,
1998-12,41.50M,,-36.30M,,,-29.30M,-29.30M,-9.80M,,,,-21.10M,-16.40M,47.00M,19.70M,28.70M,34.90M,,113.90M,,-190.60M,1998-12,26.30M,0.50M,26.80M,,-265.20M,189.60M,-48.80M,,,,164.90M,-90.70M,38.10M,-52.60M,,,,-20.00M,92.30M,,416.10M,-147.10M,-0.70M,268.40M,1998-12,-90.70M,,,38.10M,,1998-12,
1998-09,15.60M,,3.60M,,,46.80M,46.80M,0.10M,,,,21.20M,-5.50M,-7.00M,-7.50M,-14.20M,33.60M,,-0.60M,,86.70M,1998-09,-212.30M,3.30M,-209.00M,,411.20M,-132.60M,69.60M,,,,-12.10M,1.30M,-342.80M,-341.50M,,,,-5.50M,-359.10M,,0.00,-202.80M,8.00M,416.10M,1998-09,1.30M,,,-342.80M,,1998-09,
1998-06,58.90M,,12.60M,,,40.50M,40.50M,-3.10M,,,,-4.50M,4.80M,-9.80M,-18.90M,-0.60M,-17.40M,,-41.90M,,62.50M,1998-06,-30.80M,3.30M,-27.50M,,-128.10M,-122.70M,-278.30M,,,,-32.60M,349.30M,-86.20M,263.10M,,,,3.90M,234.40M,,0.00,18.60M,-3.30M,0.00,1998-06,349.30M,,,-86.20M,,1998-06,
