,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,,951.20M,22.70M,973.90M,1.422B,,1.422B,318.80M,132.60M,731.80M,,1.183B,194.50M,233.00M,4.007B,,,,,1.585B,-356.90M,1.228B,8.552B,7.208B,15.76B,276.90M,17.26B,21.27B,,2007-06,622.30M,816.00M,1.438B,,24.80M,,24.80M,139.90M,139.90M,,,1.603B,2.178B,2.178B,2.445B,2.445B,,514.20M,5.137B,6.740B,,2007-06,12.06B,254.50M,,,,,2007-06,,
2007-03,,670.90M,20.50M,691.40M,1.419B,,1.419B,322.40M,134.10M,724.00M,,1.180B,225.30M,230.00M,3.746B,,,,,1.578B,-322.30M,1.256B,8.578B,7.333B,15.91B,258.30M,17.43B,21.17B,,2007-03,679.60M,811.10M,1.491B,,167.40M,,167.40M,138.40M,138.40M,,,1.796B,2.182B,2.182B,2.484B,2.484B,,476.50M,5.143B,6.939B,,2007-03,11.93B,253.70M,,,,,2007-03,,
2006-12,,667.40M,23.80M,691.20M,1.393B,,1.393B,307.70M,121.70M,735.10M,,1.164B,209.20M,201.90M,3.660B,0.00,146.50M,506.20M,880.30M,1.533B,-276.30M,1.257B,8.525B,7.512B,16.04B,309.40M,17.60B,21.26B,,2006-12,630.80M,916.90M,1.548B,,483.30M,,483.30M,121.30M,121.30M,,,2.152B,2.181B,2.181B,2.558B,2.558B,,459.90M,5.198B,7.350B,,2006-12,11.81B,246.40M,,,,,2006-12,,
2006-09,,157.96M,14.68M,172.64M,539.84M,,539.84M,147.42M,60.80M,199.25M,,407.47M,80.12M,78.50M,1.279B,,,,,544.18M,-263.66M,280.52M,2.014B,405.47M,2.419B,219.69M,2.920B,4.198B,,2006-09,154.55M,359.39M,513.94M,,68.66M,,68.66M,96.07M,96.07M,,44.16M,722.82M,469.89M,469.89M,42.58M,42.58M,,147.90M,660.37M,1.383B,,2006-09,971.87M,145.82M,,,,,2006-09,,
2006-06,,189.72M,8.267M,197.98M,544.52M,,544.52M,150.54M,56.90M,188.72M,,396.16M,80.49M,61.07M,1.280B,,,,,541.85M,-258.61M,283.24M,1.991B,405.01M,2.396B,216.91M,2.896B,4.176B,,2006-06,147.64M,323.52M,471.16M,,171.54M,,171.54M,101.91M,101.91M,,39.34M,783.95M,467.46M,467.46M,43.47M,43.47M,,144.31M,655.24M,1.439B,,2006-06,1.460B,666.12M,,,,,2006-06,,
2006-03,,230.79M,79.76M,310.55M,542.93M,,542.93M,137.52M,54.14M,189.85M,,381.50M,77.95M,64.20M,1.377B,,,,,526.65M,-243.54M,283.11M,1.951B,425.47M,2.376B,203.95M,2.864B,4.241B,,2006-03,155.60M,302.94M,458.55M,,91.25M,,91.25M,97.28M,97.28M,,69.49M,716.57M,469.21M,469.21M,44.02M,44.02M,,136.81M,650.04M,1.367B,,2006-03,1.446B,438.04M,,,,,2006-03,,
2005-12,,214.33M,80.66M,294.99M,560.17M,,560.17M,133.77M,50.04M,175.58M,,359.39M,79.59M,59.76M,1.354B,0.00,29.74M,152.94M,332.70M,515.38M,-234.73M,280.65M,1.966B,450.74M,2.417B,200.08M,2.898B,4.252B,,2005-12,153.48M,384.23M,537.70M,,130.14M,,130.14M,85.59M,85.59M,,38.23M,791.66M,468.63M,468.63M,65.02M,65.02M,,132.95M,666.60M,1.458B,,2005-12,1.421B,437.71M,,,,,2005-12,,
2005-09,,193.46M,8.69M,202.15M,521.38M,,521.38M,143.81M,52.23M,199.52M,,395.56M,55.68M,87.06M,1.262B,,,,,531.50M,-243.29M,288.21M,,2.417B,2.417B,178.54M,2.884B,4.146B,,2005-09,138.90M,304.87M,443.77M,,167.42M,,167.42M,82.77M,82.77M,,36.96M,730.92M,472.10M,472.10M,74.08M,74.08M,,107.54M,653.72M,1.385B,,2005-09,1.415B,437.71M,,,,,2005-09,,
2005-06,,159.74M,11.06M,170.80M,512.65M,,512.65M,154.90M,47.95M,196.85M,,399.70M,94.75M,59.69M,1.238B,,,,,534.08M,-239.56M,294.52M,,2.438B,2.438B,164.30M,2.897B,4.134B,,2005-06,138.03M,296.54M,434.57M,,228.26M,,228.26M,87.32M,87.32M,,37.39M,787.54M,472.94M,472.94M,80.02M,80.02M,,100.82M,653.78M,1.441B,,2005-06,1.398B,437.36M,,,,,2005-06,,
2005-03,,351.56M,177.04M,528.60M,458.56M,,458.56M,128.43M,43.47M,173.70M,,345.60M,91.56M,61.29M,1.486B,,,,,471.81M,-233.78M,238.03M,,1.672B,1.672B,159.17M,2.069B,3.554B,,2005-03,123.69M,277.53M,401.22M,,15.50M,,15.50M,90.63M,90.63M,,41.17M,548.52M,210.92M,210.92M,14.07M,14.07M,,104.27M,329.25M,877.77M,,2005-03,1.392B,437.32M,,,,,2005-03,,
2004-12,,326.89M,185.37M,512.26M,469.55M,,469.55M,131.81M,40.24M,164.66M,,336.71M,92.93M,58.21M,1.470B,0.00,33.04M,156.22M,310.67M,499.93M,-238.89M,261.04M,,1.672B,1.672B,174.43M,2.107B,3.577B,,2004-12,131.18M,312.21M,443.38M,,15.02M,,15.02M,77.78M,77.78M,,42.55M,578.73M,226.07M,226.07M,15.21M,15.21M,,91.16M,332.45M,911.18M,,2004-12,1.381B,435.78M,,,,,2004-12,,
2004-09,,335.66M,90.23M,425.90M,429.39M,,429.39M,119.10M,46.51M,165.53M,,331.14M,111.88M,67.48M,1.366B,,,,,485.37M,-238.86M,246.51M,,1.654B,1.654B,100.92M,2.002B,3.368B,,2004-09,121.24M,349.09M,470.33M,,15.38M,,15.38M,73.47M,73.47M,,72.65M,631.83M,228.44M,228.44M,0.405M,0.405M,,77.48M,306.32M,938.16M,,2004-09,1.353B,431.64M,,,,,2004-09,,
2004-06,,306.62M,65.17M,371.78M,414.37M,,414.37M,119.06M,43.94M,160.86M,,323.87M,119.94M,183.40M,1.413B,,,,,480.42M,-234.22M,246.21M,,1.484B,1.484B,351.94M,2.083B,3.496B,,2004-06,119.82M,387.94M,507.76M,,35.06M,,35.06M,68.44M,68.44M,,84.94M,696.20M,224.54M,224.54M,36.05M,36.05M,,84.74M,345.34M,1.042B,,2004-06,1.345B,290.53M,,,,,2004-06,,
2004-03,,352.99M,91.06M,444.06M,458.13M,,458.13M,132.20M,59.11M,172.92M,,364.24M,115.24M,70.01M,1.452B,,,,,608.62M,-317.03M,291.59M,,1.641B,1.641B,69.29M,2.002B,3.454B,,2004-03,132.84M,390.25M,523.09M,,40.19M,,40.19M,75.85M,75.85M,,47.24M,686.37M,232.80M,232.80M,24.69M,24.69M,,83.78M,341.27M,1.028B,,2004-03,1.321B,225.95M,,,,,2004-03,,
2003-12,,195.77M,222.46M,418.24M,419.62M,,419.62M,118.66M,42.07M,141.43M,,302.16M,113.01M,142.23M,1.395B,0.00,33.62M,137.45M,300.43M,471.50M,-219.25M,252.25M,,1.507B,1.507B,235.10M,1.994B,3.389B,,2003-12,114.21M,184.50M,298.71M,,45.98M,,45.98M,65.22M,65.22M,,274.88M,684.79M,229.51M,229.51M,11.70M,11.70M,,81.63M,322.84M,1.008B,,2003-12,1.299B,192.47M,,,,,2003-12,,
2003-09,,207.55M,185.84M,393.39M,423.94M,,423.94M,140.02M,51.04M,147.38M,,338.44M,78.91M,63.07M,1.298B,,,,,570.60M,-303.25M,267.36M,,1.441B,1.441B,116.69M,1.825B,3.123B,,2003-09,94.05M,333.50M,427.55M,,36.16M,,36.16M,62.48M,62.48M,,68.05M,594.25M,218.84M,218.84M,69.12M,69.12M,,5.105M,293.07M,887.32M,,2003-09,1.249B,187.80M,,,,,2003-09,,
2003-06,,264.44M,281.92M,546.36M,405.60M,,405.60M,142.36M,52.76M,148.15M,,343.28M,86.09M,57.70M,1.439B,,,,,571.51M,-297.83M,273.68M,,1.444B,1.444B,123.11M,1.841B,3.280B,,2003-06,93.86M,336.34M,430.20M,,228.79M,,228.79M,65.98M,65.98M,,75.39M,800.36M,226.59M,226.59M,65.82M,65.82M,,,292.42M,1.093B,,2003-06,1.235B,175.96M,,,,,2003-06,,
2003-03,,249.11M,379.10M,628.21M,412.41M,,412.41M,143.70M,48.73M,149.81M,,342.25M,78.18M,94.72M,1.556B,,,,,563.32M,-290.30M,273.03M,,1.419B,1.419B,158.85M,1.851B,3.407B,,2003-03,105.51M,,105.51M,,246.09M,,246.09M,70.03M,70.03M,,409.68M,831.30M,435.86M,435.86M,61.36M,61.36M,,,497.22M,1.329B,,2003-03,1.223B,161.00M,,,,,2003-03,,
2002-12,,339.04M,536.43M,875.47M,429.74M,,429.74M,134.04M,50.89M,147.87M,,332.80M,79.06M,54.49M,1.772B,0.00,34.22M,156.81M,362.32M,553.35M,-280.44M,272.91M,,1.416B,1.416B,190.80M,1.880B,3.651B,,2002-12,111.99M,,111.99M,,484.48M,,484.48M,51.26M,51.26M,,455.99M,1.104B,451.34M,451.34M,10.14M,10.14M,,55.99M,517.48M,1.621B,,2002-12,1.212B,129.68M,,,,,2002-12,,
2002-09,,233.60M,622.65M,856.26M,413.73M,16.60M,430.32M,151.54M,55.02M,146.85M,,353.42M,90.11M,53.58M,1.784B,,,,,499.57M,-227.92M,271.65M,,1.417B,1.417B,201.56M,1.890B,3.674B,,2002-09,101.56M,384.43M,486.00M,,513.98M,,513.98M,57.68M,57.68M,,78.15M,1.136B,529.38M,529.38M,45.72M,45.72M,,,575.10M,1.711B,,2002-09,1.361B,274.00M,,,,,2002-09,,
2002-06,,234.91M,741.52M,976.43M,411.15M,20.82M,431.97M,157.86M,60.07M,142.28M,,360.21M,85.06M,46.08M,1.900B,,,,,492.35M,-221.55M,270.80M,,1.407B,1.407B,219.35M,1.897B,3.797B,,2002-06,100.32M,392.37M,492.69M,,451.75M,,451.75M,53.02M,53.02M,,81.26M,1.079B,656.14M,656.14M,48.18M,48.18M,,,704.32M,1.783B,,2002-06,1.358B,198.13M,,,,,2002-06,,
2002-03,,315.00M,844.23M,1.159B,397.60M,21.95M,419.56M,145.37M,60.60M,136.51M,,342.47M,53.80M,75.08M,2.050B,,,,,484.29M,-215.87M,268.42M,,1.356B,1.356B,207.44M,1.832B,3.882B,,2002-03,104.14M,408.59M,512.72M,,429.87M,,429.87M,53.10M,53.10M,,116.13M,1.112B,716.90M,716.90M,47.04M,47.04M,0.09M,,763.94M,1.876B,,2002-03,1.768B,541.23M,,,,,2002-03,,
2001-12,,297.56M,744.32M,1.042B,410.96M,24.07M,435.03M,149.82M,56.42M,130.81M,,337.04M,82.77M,68.49M,1.965B,0.00,33.10M,142.70M,306.59M,482.39M,-211.67M,270.71M,,1.348B,1.348B,240.76M,1.860B,3.825B,,2001-12,111.95M,387.52M,499.47M,,528.99M,,528.99M,48.17M,48.17M,,65.42M,1.142B,727.50M,727.50M,7.907M,7.907M,6.901M,32.58M,767.99M,1.910B,,2001-12,1.759B,457.48M,,,,,2001-12,,
2001-09,,340.19M,893.04M,1.233B,412.35M,58.63M,470.98M,159.75M,69.31M,162.37M,,391.43M,156.24M,70.02M,2.322B,,,,,503.54M,-210.10M,293.45M,1.333B,,1.333B,427.76M,2.054B,4.376B,,2001-09,115.61M,438.58M,554.19M,,96.05M,,96.05M,48.43M,48.43M,,,698.67M,1.357B,1.357B,48.21M,48.21M,24.75M,,1.405B,2.104B,,2001-09,1.733B,408.41M,,,,,2001-09,,
2001-06,,506.35M,776.20M,1.283B,405.53M,38.25M,443.78M,164.93M,69.85M,155.17M,,389.95M,149.92M,162.41M,2.429B,0.00,494.57M,,,494.57M,-207.43M,287.15M,1.347B,,1.347B,634.24M,2.268B,4.697B,,2001-06,117.83M,313.53M,431.36M,84.57M,84.57M,,84.57M,51.40M,146.68M,95.28M,,662.61M,1.480B,1.480B,63.08M,63.08M,22.41M,14.04M,1.557B,2.220B,,2001-06,1.723B,321.73M,,,,,2001-06,,
2001-03,,324.40M,763.36M,1.088B,428.46M,21.59M,450.06M,173.31M,77.20M,154.63M,,405.15M,148.13M,223.52M,2.315B,0.00,493.94M,,,493.94M,-205.79M,288.16M,1.360B,,1.360B,820.62M,2.469B,4.784B,,2001-03,135.43M,322.43M,457.86M,93.68M,93.68M,,93.68M,56.82M,170.02M,113.20M,,721.55M,1.498B,1.498B,45.59M,45.59M,25.72M,23.87M,1.567B,2.289B,,2001-03,1.703B,270.70M,,,,,2001-03,,
2000-12,,505.52M,521.33M,1.027B,450.00M,,450.00M,,,,,394.15M,,594.53M,2.466B,,,,,484.56M,-198.68M,285.88M,,1.379B,1.379B,732.91M,2.397B,4.863B,,2000-12,139.66M,,139.66M,,103.36M,,103.36M,,,,485.53M,728.55M,1.528B,1.528B,47.23M,47.23M,24.74M,,1.576B,2.304B,,2000-12,1.681B,246.23M,,,,,2000-12,,
2000-09,,320.96M,434.42M,755.38M,,,487.65M,,,,,366.15M,,728.01M,2.337B,,,,,620.72M,-213.63M,407.09M,,1.417B,1.417B,881.22M,2.705B,5.042B,,2000-09,133.45M,,133.45M,,120.94M,,120.94M,,,,484.98M,739.38M,1.554B,1.554B,150.43M,150.43M,28.38M,,1.705B,2.444B,,2000-09,1.647B,236.16M,,,,,2000-09,,
2000-06,,281.17M,298.09M,579.27M,,,525.14M,,,,,408.43M,,750.11M,2.263B,,,,,645.01M,-212.66M,432.35M,,1.584B,1.584B,867.24M,2.884B,5.147B,,2000-06,135.66M,,135.66M,,145.90M,,145.90M,,,,610.39M,891.94M,1.507B,1.507B,159.78M,159.78M,40.56M,72.75M,1.739B,2.631B,,2000-06,1.524B,217.80M,,,,,2000-06,,
2000-03,,533.47M,426.02M,959.49M,,,534.57M,,,,,387.54M,,805.19M,2.687B,,,,,675.10M,-250.23M,424.87M,,1.206B,1.206B,859.29M,2.490B,5.177B,,2000-03,157.95M,,157.95M,,268.60M,,268.60M,,,,630.84M,1.057B,1.570B,1.570B,162.62M,162.62M,372.59M,,1.733B,2.790B,,2000-03,1.062B,193.46M,,,,,2000-03,,
1999-12,,281.80M,555.50M,837.30M,,,592.70M,,,,,373.10M,,714.10M,2.517B,,,,,756.40M,-245.80M,510.60M,,1.227B,1.227B,926.70M,2.665B,5.182B,,1999-12,156.60M,,156.60M,,303.00M,,303.00M,,,,606.70M,1.066B,1.566B,1.566B,81.80M,81.80M,372.00M,81.20M,1.729B,2.795B,,1999-12,1.053B,189.60M,,,,,1999-12,,
1999-09,,424.30M,709.80M,1.134B,,,1.012B,,,,,640.60M,,229.70M,3.016B,,,,,1.194B,-469.00M,725.00M,,1.977B,1.977B,349.30M,3.051B,6.067B,,1999-09,289.10M,,289.10M,,320.70M,,320.70M,,,,805.80M,1.416B,1.908B,1.908B,157.60M,157.60M,556.70M,-0.10M,2.065B,3.481B,,1999-09,1.032B,159.90M,,,,,1999-09,,
1999-06,,386.90M,,386.90M,,,1.013B,,,,,646.00M,,896.20M,2.942B,,,,,1.154B,-442.70M,710.80M,,1.925B,1.925B,357.00M,2.993B,5.935B,,1999-06,282.10M,,282.10M,,171.90M,,171.90M,,,,785.50M,1.240B,1.925B,1.925B,145.20M,145.20M,613.40M,58.70M,2.129B,3.368B,,1999-06,,,,,,,1999-06,,
1999-03,,404.20M,,404.20M,,,901.20M,,,,,683.50M,,1.079B,3.068B,,,,,1.374B,-479.60M,894.00M,,2.038B,2.038B,351.10M,3.283B,6.350B,,1999-03,277.40M,,277.40M,,159.80M,,159.80M,,,,788.50M,1.226B,2.022B,2.022B,200.80M,200.80M,602.90M,,2.223B,3.448B,,1999-03,,,,,,,1999-03,,
1998-12,,268.30M,1.059B,1.327B,,,501.80M,,,,,330.50M,,766.70M,2.926B,,,,,771.00M,-236.80M,534.20M,,1.123B,1.123B,837.20M,2.495B,5.421B,,1998-12,124.00M,,124.00M,,100.40M,,100.40M,,,,539.00M,763.40M,1.809B,1.809B,85.90M,85.90M,440.00M,68.40M,1.963B,2.726B,,1998-12,1.034B,151.60M,,,,,1998-12,,
1998-09,,416.10M,,416.10M,,,833.90M,,,,,619.30M,,1.40B,3.269B,,,,,1.268B,-443.40M,825.00M,,1.880B,1.880B,269.70M,2.975B,6.244B,,1998-09,250.60M,,250.60M,,122.30M,,122.30M,,,,749.60M,1.122B,1.829B,1.829B,165.10M,165.10M,746.70M,65.30M,2.060B,3.182B,,1998-09,,,,,,,1998-09,,
1998-06,,611.00M,,611.00M,,,797.30M,,,,,599.10M,,1.548B,3.556B,,,,,1.238B,-421.60M,816.20M,,1.807B,1.807B,257.00M,2.881B,6.436B,,1998-06,248.10M,,248.10M,,119.10M,,119.10M,,,,672.70M,1.040B,1.95B,1.95B,152.10M,152.10M,840.40M,0.10M,2.102B,3.142B,,1998-06,,,,,,,1998-06,,
1998-03,,595.70M,,595.70M,,,847.70M,,,,,561.60M,,1.360B,3.366B,,,,,1.190B,-392.80M,796.70M,,1.708B,1.708B,240.90M,2.745B,6.111B,,1998-03,249.10M,,249.10M,,136.30M,,136.30M,,,,668.80M,1.054B,1.980B,1.980B,150.30M,150.30M,895.70M,0.10M,2.130B,3.185B,,1998-03,,,,,,,1998-03,,
