,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,3.293B,3.293B,953.00M,2.34B,16.00M,130.00M,,,1.101B,1.571B,769.00M,,,16.00M,,527.00M,189.00M,338.00M,,0.00,,,338.00M,327.74M,1.122B,353.00M,769.00M,0.5256,,0.0,,0.5095,0.5243,0.5256,-0.07,-0.0001,,0.5096,0.5243,640.00M,642.00M,0.2113
2001-09,4.185B,4.185B,1.631B,2.554B,1.00M,172.00M,,,1.101B,1.642B,912.00M,,,1.00M,,619.00M,243.00M,376.00M,,,,,376.00M,375.39M,1.454B,542.00M,912.00M,0.585,0.0,,,0.5841,0.585,0.58,0.0,,,0.5791,0.58,642.00M,646.00M,0.2113
2001-06,3.616B,3.616B,1.175B,2.441B,39.00M,153.00M,,,1.134B,1.649B,792.00M,,,39.00M,,542.00M,227.00M,315.00M,,,,,315.00M,291.60M,1.241B,449.00M,792.00M,0.49,0.0,,,0.4536,0.49,0.485,0.0,,,0.4489,0.485,642.00M,648.00M,0.2113
2001-03,3.823B,3.823B,1.33B,2.493B,73.00M,168.00M,,,1.058B,1.604B,889.00M,,,73.00M,,659.00M,272.00M,387.00M,,12.00M,,,399.00M,343.20M,1.379B,490.00M,889.00M,0.605,0.02,0.0,,0.5366,0.625,0.595,0.02,0.0185,,0.5274,0.615,640.00M,648.00M,0.2763
2000-12,3.133B,3.133B,1.091B,2.042B,-66.00M,125.00M,,,1.282B,1.621B,421.00M,,,-66.00M,,65.00M,23.00M,42.00M,,0.00,,,46.00M,84.65M,693.00M,272.00M,421.00M,-0.6071,,0.0,,-0.4852,-0.6296,-0.6071,0.0,-0.0311,,-0.533,-0.6296,350.00M,576.00M,0.2041
2000-09,1.629B,1.629B,576.00M,1.053B,46.00M,67.00M,,,457.00M,607.00M,446.00M,,,46.00M,,374.00M,141.00M,233.00M,,,,,232.00M,204.34M,553.00M,107.00M,446.00M,0.685,0.0,,-0.0029,0.6007,0.685,0.675,0.0,,-0.0029,0.5917,0.675,340.00M,344.00M,0.125
2000-06,1.385B,1.385B,476.00M,909.00M,6.00M,63.00M,,,456.00M,600.00M,309.00M,,,6.00M,,194.00M,75.00M,119.00M,,,,,116.00M,115.32M,430.00M,121.00M,309.00M,0.345,-0.01,,-0.0086,0.3344,0.335,0.34,-0.01,,-0.0086,0.3295,0.33,348.00M,350.00M,0.125
2000-03,1.353B,1.353B,463.00M,890.00M,25.00M,67.00M,,,391.00M,538.00M,352.00M,,,25.00M,,268.00M,101.00M,167.00M,,24.00M,,,191.00M,151.42M,459.00M,107.00M,352.00M,0.46,0.065,0.0,,0.417,0.525,0.455,0.065,0.0656,,0.4124,0.52,362.00M,366.00M,0.125
1999-12,1.269B,1.269B,406.00M,863.00M,18.00M,66.00M,,,439.00M,571.00M,292.00M,,,18.00M,,194.00M,71.00M,123.00M,,,,3.00M,113.00M,111.59M,415.00M,123.00M,292.00M,0.4,-0.03,,-0.029,0.3653,0.37,0.4,-0.03,,-0.0304,0.3653,0.37,329.29M,329.29M,0.125
1999-09,1.729B,1.729B,786.00M,943.00M,9.00M,76.00M,,,339.00M,472.00M,471.00M,,,9.00M,,368.00M,137.00M,231.00M,,,-4.00M,3.00M,231.00M,225.35M,564.00M,93.00M,471.00M,0.61,0.0,,,0.5949,0.61,0.605,0.0,,,0.59,0.605,373.77M,376.86M,0.125
1999-06,1.199B,1.199B,501.00M,698.00M,11.00M,45.00M,,,342.00M,445.00M,253.00M,,,11.00M,,144.00M,47.00M,97.00M,,,-8.00M,4.00M,70.00M,89.59M,325.00M,72.00M,253.00M,0.22,-0.07,,-0.0614,0.2032,0.15,0.22,-0.07,,-0.0614,0.2032,0.15,440.00M,440.00M,0.125
1999-03,1.252B,1.252B,453.00M,799.00M,-36.00M,75.00M,,,278.00M,423.00M,376.00M,,,-36.00M,,259.00M,103.00M,156.00M,,,,3.00M,156.00M,177.68M,446.00M,70.00M,376.00M,0.345,0.0,,,0.3936,0.345,0.34,0.0,,,0.3882,0.34,446.00M,450.00M,0.125
1998-12,1.134B,1.134B,334.90M,799.20M,-45.20M,73.80M,,,517.30M,733.50M,65.70M,,,-45.20M,,-36.50M,-17.70M,-18.80M,,,,3.20M,-38.80M,8.32M,208.10M,,65.70M,-0.02,-0.045,,,0.0478,-0.065,-0.02,-0.045,,,0.0474,-0.065,400.05M,402.17M,0.125
1998-09,1.786B,1.786B,732.90M,1.053B,-12.10M,52.30M,,,280.30M,503.80M,548.80M,,,-12.10M,,448.30M,174.60M,273.70M,,,,3.20M,273.70M,281.09M,720.00M,,548.80M,0.605,0.0,,,0.6215,0.605,0.6,0.0,,,0.6164,0.6,447.11M,450.83M,0.125
1998-06,1.215B,1.215B,360.20M,855.00M,-26.90M,71.80M,,,244.80M,488.70M,366.30M,,,-26.90M,,245.90M,94.40M,151.50M,,,,3.30M,151.50M,168.07M,538.40M,,366.30M,0.33,0.0,,,0.3669,0.33,0.33,0.0,,,0.3669,0.33,449.09M,449.09M,0.125
