,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2008-06,332.00M,,332.00M,2.427B,,2.427B,774.00M,,,,2.074B,5.607B,,,32.88B,-7.811B,25.07B,,,2.625B,,,,,13.50B,41.19B,46.80B,1.458B,,,1.458B,3.07B,4.528B,,,2.113B,2.113B,,,,,6.641B,,12.64B,,12.64B,5.095B,,5.095B,,,,87.00M,,17.82B,36.91B,0.00,6.088B,8.753B,2.338B,,-2.616B,9.887B
2008-03,162.00M,,162.00M,2.397B,,2.397B,656.00M,,,,1.625B,4.84B,,,32.55B,-7.811B,24.74B,,,2.625B,,,,,13.65B,41.01B,45.85B,1.308B,,,1.308B,2.495B,3.803B,,,1.908B,1.908B,,,,,5.711B,,12.80B,,12.80B,5.177B,,5.177B,,,,87.00M,,18.06B,36.02B,0.00,5.669B,8.63B,2.316B,,-2.15B,9.833B
2007-12,311.00M,247.00M,558.00M,2.652B,,2.652B,723.00M,,118.00M,102.00M,427.00M,4.58B,30.85B,1.115B,31.96B,-7.811B,24.15B,2.625B,,2.625B,7.554B,,55.00M,,6.394B,40.78B,45.36B,1.45B,,,1.45B,1.24B,2.69B,,,1.722B,1.722B,,,,1.217B,5.629B,,11.96B,,11.96B,5.081B,,5.081B,2.494B,298.00M,,87.00M,,19.92B,35.22B,0.00,4.93B,8.579B,1.838B,,-1.534B,10.14B
2007-09,514.00M,,514.00M,2.557B,,2.557B,731.00M,,,,1.391B,5.193B,,,31.33B,-7.676B,23.65B,,,2.641B,,,,,14.23B,40.53B,45.72B,1.326B,,,1.326B,2.216B,3.542B,,,1.996B,1.996B,,,,,5.538B,,11.73B,,11.73B,5.403B,,5.403B,,,,87.00M,,17.22B,35.30B,0.00,4.989B,8.498B,1.838B,,-1.228B,10.42B
2007-06,233.00M,,233.00M,2.469B,,2.469B,669.00M,,,,1.588B,4.959B,,,30.87B,-7.442B,23.43B,,,2.641B,,,,,14.27B,40.35B,45.30B,1.289B,,,1.289B,1.974B,3.263B,,,2.098B,2.098B,,,,,5.361B,,11.01B,,11.01B,5.193B,,5.193B,,,,87.00M,,16.29B,34.13B,0.00,4.506B,8.552B,667.00M,,-1.22B,11.17B
2007-03,380.00M,,380.00M,2.477B,,2.477B,598.00M,,,,1.356B,4.811B,,,30.38B,-7.25B,23.13B,,,2.641B,,,,,14.13B,39.90B,44.71B,1.251B,,,1.251B,2.555B,3.806B,,,1.716B,1.716B,,,,,5.522B,,11.66B,,11.66B,5.114B,,5.114B,,,,87.00M,,16.86B,34.60B,0.00,3.805B,8.467B,667.00M,,-1.489B,10.12B
2006-12,224.00M,,224.00M,2.209B,,2.209B,731.00M,,,,1.828B,4.992B,,,30.02B,-7.25B,22.78B,,,2.694B,,,,,13.86B,39.33B,44.32B,1.382B,,,1.382B,3.279B,4.661B,,,1.134B,1.134B,,,,,5.795B,,11.91B,,11.91B,5.34B,,5.34B,,,,87.00M,,17.34B,34.31B,0.00,3.426B,8.314B,630.00M,,-1.103B,10.01B
2006-09,279.00M,,279.00M,1.989B,,1.989B,696.00M,,,,1.358B,4.322B,,,29.62B,-7.201B,22.42B,,,2.694B,,,,,12.22B,37.33B,41.65B,1.147B,,,1.147B,2.658B,3.805B,,,1.722B,1.722B,,,,,5.527B,,11.58B,,11.58B,5.414B,,5.414B,,,,87.00M,,17.08B,31.95B,0.00,3.13B,8.261B,498.00M,,-1.191B,9.702B
2006-06,282.00M,,282.00M,1.874B,,1.874B,663.00M,,,,1.439B,4.258B,,,29.99B,-7.872B,22.12B,,,3.476B,,,,,12.43B,38.03B,42.29B,1.195B,,,1.195B,2.793B,3.988B,,,2.315B,2.315B,,,,,6.303B,,11.41B,,11.41B,5.213B,,256.00M,,,,87.00M,,11.76B,32.56B,0.00,3.443B,8.166B,497.00M,,-1.377B,9.735B
2006-03,174.00M,,174.00M,1.898B,,1.898B,605.00M,,,,1.36B,4.037B,,,30.17B,-7.872B,22.30B,,,3.475B,,,,,12.49B,38.26B,42.29B,1.153B,,,1.153B,2.677B,3.83B,,,2.43B,2.43B,,,,,6.26B,,11.65B,,11.65B,5.167B,,259.00M,,,,87.00M,,12.00B,33.11B,8.119B,3.068B,,498.00M,,-1.504B,9.185B
2005-12,140.00M,,140.00M,2.195B,,2.195B,662.00M,,,,1.64B,4.637B,,,29.85B,-7.872B,21.98B,,,3.475B,,,,,12.70B,38.16B,42.80B,1.467B,,,1.467B,2.892B,4.359B,,,2.204B,2.204B,,,,,6.563B,,11.76B,,11.76B,5.078B,,5.078B,,,1.00M,87.00M,,16.92B,33.67B,0.00,3.206B,7.987B,444.00M,,-1.624B,9.125B
2005-09,153.00M,,153.00M,2.097B,,2.097B,598.00M,,,,1.875B,4.723B,,,28.84B,-7.229B,21.61B,,,4.696B,,,,,12.12B,38.43B,43.15B,1.434B,,,1.434B,3.332B,4.766B,,,1.279B,1.279B,,,,,6.045B,,12.16B,,12.16B,5.018B,,265.00M,,,1.00M,87.00M,,12.52B,32.99B,7.939B,4.309B,,344.00M,,-1.747B,10.16B
2005-06,545.00M,,545.00M,1.921B,,1.921B,516.00M,,,,1.056B,4.038B,,,28.62B,-7.229B,21.39B,,,4.696B,,,,,11.96B,38.04B,42.08B,1.237B,,,1.237B,2.099B,3.336B,,,1.526B,1.526B,,,,,4.862B,,12.55B,,12.55B,5.127B,,268.00M,,,1.00M,87.00M,,12.90B,32.04B,7.877B,3.853B,,90.00M,,-1.601B,10.04B
2005-03,360.00M,,360.00M,2.285B,,2.285B,468.00M,,,,1.229B,4.342B,,,28.64B,-7.229B,21.41B,,,4.696B,,,,,11.96B,38.07B,42.41B,1.235B,,,1.235B,2.268B,3.503B,,,3.337B,3.337B,,,,,6.84B,,11.00B,,11.00B,5.243B,,272.00M,,,1.00M,87.00M,,11.36B,32.69B,7.757B,3.607B,,90.00M,,-1.561B,9.713B
2004-12,499.00M,,499.00M,2.058B,,2.058B,542.00M,,,,781.00M,3.88B,,,28.71B,-7.229B,21.48B,,,4.705B,,,,,12.66B,38.84B,42.72B,1.255B,,,1.255B,2.178B,3.433B,,,1.403B,1.403B,,,,,4.836B,,12.15B,,12.15B,4.763B,,275.00M,,,42.00M,87.00M,,12.51B,33.19B,7.664B,3.353B,,82.00M,,-1.446B,9.489B
2004-09,584.00M,,584.00M,2.027B,,2.027B,517.00M,,,,926.00M,4.054B,,,27.46B,-6.732B,20.72B,,,4.707B,,,,,12.57B,38.00B,42.06B,1.136B,,,1.136B,2.053B,3.189B,,,1.316B,1.316B,,,,,4.505B,,12.76B,,12.76B,5.013B,,278.00M,,,53.00M,87.00M,,13.12B,32.46B,7.532B,3.256B,,75.00M,,-1.167B,9.546B
2004-06,794.00M,,794.00M,2.048B,,2.048B,483.00M,,,,1.226B,4.551B,,,26.45B,-6.221B,20.23B,,,4.714B,,,,,12.61B,37.55B,42.10B,1.221B,,,1.221B,2.192B,3.413B,,,916.00M,916.00M,,,,,4.329B,,13.92B,,13.92B,4.861B,,281.00M,,,50.00M,87.00M,,14.29B,33.03B,7.463B,2.889B,,75.00M,,-1.251B,9.026B
2004-03,499.00M,,499.00M,1.934B,,1.934B,426.00M,,,,3.121B,5.98B,,,26.35B,-6.221B,20.13B,,,4.714B,,,,,12.73B,37.58B,43.56B,1.125B,,,1.125B,3.699B,4.824B,,,1.092B,1.092B,,,,,5.916B,,14.02B,,14.02B,4.985B,,284.00M,,,57.00M,87.00M,,14.40B,34.80B,7.421B,2.544B,,,,-1.266B,8.699B
2003-12,493.00M,,493.00M,2.243B,,2.243B,522.00M,,,,1.303B,4.561B,,,27.58B,-6.948B,20.63B,,,4.719B,,,,,12.03B,37.38B,41.94B,1.238B,,,1.238B,2.211B,3.449B,,,2.271B,2.271B,,,,,5.72B,,13.49B,,13.49B,4.608B,,288.00M,,,,87.00M,,13.86B,33.43B,7.292B,2.32B,,,,-1.109B,8.503B
2003-09,604.00M,,604.00M,2.222B,,2.222B,487.00M,,,,856.00M,4.169B,,,28.25B,-8.77B,19.48B,,,4.734B,,,,,10.76B,34.98B,39.14B,1.692B,,,1.692B,1.586B,3.278B,,,2.475B,2.475B,,,,,5.753B,,12.99B,,12.99B,4.089B,,291.00M,,,1.00M,87.00M,,13.37B,30.82B,7.226B,2.21B,,,,-1.109B,8.327B
2003-06,464.00M,,464.00M,2.149B,,2.149B,481.00M,,,,1.356B,4.45B,,,29.09B,-8.77B,20.32B,,,4.735B,,,,,10.78B,35.84B,40.29B,1.762B,,,1.762B,1.569B,3.331B,,,3.298B,3.298B,,,,,6.629B,,12.48B,,12.48B,4.268B,,295.00M,,,79.00M,610.00M,,13.38B,31.83B,7.169B,2.475B,,,,-1.266B,8.378B
2003-03,503.00M,,503.00M,2.384B,,2.384B,480.00M,,,,957.00M,4.324B,,,29.01B,-8.77B,20.24B,,,4.788B,,,,,10.55B,35.58B,39.90B,1.815B,,,1.815B,1.663B,3.478B,,,2.581B,2.581B,,,,,6.059B,,13.37B,,13.37B,4.147B,,298.00M,,,78.00M,610.00M,,14.28B,31.82B,7.099B,-1.349B,,,,2.254B,8.004B
2002-12,469.00M,,469.00M,2.399B,,2.399B,481.00M,,,,776.00M,4.125B,24.06B,2.772B,26.84B,-8.88B,17.96B,,,4.992B,,,,,10.80B,33.74B,37.87B,1.607B,,,1.607B,1.65B,3.257B,,,2.617B,2.617B,,,,,5.874B,,13.13B,,13.13B,4.003B,,301.00M,,,77.00M,595.00M,,14.02B,30.05B,7.059B,2.042B,,,,-1.358B,7.742B
2002-09,461.00M,,461.00M,2.257B,,2.257B,501.00M,,,,692.00M,3.911B,,,22.71B,-7.784B,14.93B,,,4.964B,,,,,11.44B,31.32B,35.24B,1.304B,,,1.304B,1.437B,2.741B,,,2.289B,2.289B,,,,,5.03B,,11.90B,,11.90B,4.811B,,305.00M,,,75.00M,595.00M,,12.80B,26.65B,6.995B,1.83B,,,,-314.00M,8.511B
2002-06,713.00M,,713.00M,2.281B,,2.281B,514.00M,,,,828.00M,4.336B,,,22.44B,-7.784B,14.65B,,,4.971B,,,,,11.66B,31.28B,35.62B,1.164B,,,1.164B,1.866B,3.03B,,,2.242B,2.242B,,,,,5.272B,,12.59B,,12.59B,4.512B,,308.00M,,,,613.00M,,13.51B,27.28B,6.99B,1.421B,,,,-65.00M,8.346B
2002-03,696.00M,,696.00M,2.035B,,2.035B,457.00M,,,,719.00M,3.907B,,,21.84B,-7.784B,14.06B,,,4.971B,,,,,11.97B,31.00B,34.90B,1.078B,499.00M,,1.577B,1.133B,2.71B,,,2.051B,2.051B,,,,,4.761B,,12.61B,,12.61B,4.647B,,312.00M,,,,613.00M,,13.53B,26.85B,6.95B,1.073B,,,,29.00M,8.051B
2001-12,485.00M,,485.00M,2.112B,,2.112B,471.00M,,,,667.00M,3.735B,20.23B,1.294B,21.53B,-7.735B,13.79B,,,5.335B,,,,,11.88B,31.01B,34.74B,964.00M,,,964.00M,1.64B,2.604B,,,1.766B,1.766B,,,,,4.37B,,12.88B,,12.88B,4.678B,,316.00M,,,31.00M,613.00M,,13.81B,26.61B,6.961B,1.169B,,,,-28.00M,8.102B
2001-09,1.377B,,1.377B,2.63B,,2.63B,491.00M,,,,715.00M,5.213B,,,20.22B,-6.95B,13.27B,,,5.509B,,,,,11.69B,30.47B,35.68B,1.052B,,,1.052B,2.061B,3.113B,,,1.604B,1.604B,,,,,4.717B,,13.38B,,13.38B,4.72B,,316.00M,,,,612.00M,,14.31B,27.85B,6.943B,1.022B,,,,-133.00M,7.832B
2001-06,1.16B,,1.16B,2.441B,,2.441B,466.00M,,,,969.00M,5.036B,,,20.05B,-6.95B,13.10B,,,5.531B,,,,,11.69B,30.32B,35.36B,1.178B,,,1.178B,1.701B,2.879B,,,1.345B,1.345B,,,,,4.224B,,13.85B,,13.85B,4.702B,,321.00M,,,,630.00M,,14.80B,27.82B,6.937B,755.00M,,,,-158.00M,7.534B
2001-03,825.00M,,825.00M,2.48B,,2.48B,394.00M,,,,664.00M,4.363B,,,19.93B,-6.95B,12.98B,,,5.521B,,,,,11.73B,30.23B,34.59B,1.158B,,,1.158B,1.042B,2.20B,,,2.404B,2.404B,,,,,4.604B,,12.89B,,12.89B,4.692B,,329.00M,,,,630.00M,,13.85B,27.23B,6.919B,570.00M,,,,-132.00M,7.357B
2000-12,840.00M,,840.00M,2.552B,,2.552B,454.00M,,,,338.00M,4.184B,18.70B,1.189B,19.89B,-6.95B,12.94B,,,5.186B,,,,,12.29B,30.41B,34.60B,1.193B,,,1.193B,1.177B,2.37B,,,2.281B,2.281B,,,,,4.651B,,12.96B,,12.96B,4.739B,,330.00M,,,,630.00M,,13.92B,27.38B,6.883B,332.00M,,,,,7.215B
2000-09,169.00M,,169.00M,776.00M,,776.00M,232.00M,,,,180.00M,1.357B,,,9.563B,-4.367B,5.196B,,,192.00M,,,,718.00M,6.204B,12.31B,13.67B,308.00M,,,308.00M,632.00M,940.00M,,,590.00M,590.00M,,,,,1.53B,,6.252B,,6.252B,2.719B,,275.00M,,,165.00M,,,6.527B,11.64B,3.713B,301.00M,3.00M,2.179B,137.00M,26.00M,1.864B
2000-06,263.00M,,263.00M,728.00M,,728.00M,208.00M,,,,172.00M,1.371B,,,9.522B,-4.367B,5.155B,,,194.00M,,,,,6.795B,12.14B,13.52B,290.00M,,,290.00M,651.00M,941.00M,,,571.00M,571.00M,,,,,1.512B,,6.431B,,6.431B,2.705B,,279.00M,,,184.00M,,,6.71B,11.72B,3.713B,89.00M,3.00M,2.196B,137.00M,,1.609B
2000-03,110.00M,,110.00M,594.00M,,594.00M,176.00M,,,,204.00M,1.084B,,,9.447B,-4.367B,5.08B,,,117.00M,,,,721.00M,6.029B,11.95B,13.03B,251.00M,,,251.00M,639.00M,890.00M,,,286.00M,286.00M,,,,,1.176B,,5.895B,,5.895B,2.699B,,282.00M,,,184.00M,,,6.177B,10.82B,3.713B,14.00M,3.00M,1.701B,137.00M,3.00M,2.032B
1999-12,228.00M,,228.00M,704.00M,,704.00M,206.00M,,,,83.00M,1.221B,9.184B,232.00M,9.416B,-4.412B,5.004B,,,121.00M,,,,,6.741B,11.87B,13.09B,270.00M,,,270.00M,725.00M,995.00M,,,291.00M,291.00M,,,,,1.286B,,5.969B,,5.969B,2.697B,,286.00M,,,,321.00M,,6.576B,11.31B,3.577B,-100.00M,,1.705B,,1.00M,1.773B
1999-09,641.80M,,641.80M,632.10M,,632.10M,180.70M,,,,70.80M,1.525B,7.512B,396.80M,7.908B,-3.063B,4.846B,,,,,,,6.792B,,11.64B,13.16B,373.40M,,,373.40M,536.80M,910.20M,,,268.00M,268.00M,,,,,1.178B,,6.051B,0.50M,6.052B,2.672B,,289.30M,,,128.10M,,,6.341B,10.97B,3.811B,-238.80M,1.20M,1.507B,193.10M,,2.066B
1999-06,899.60M,,899.60M,589.30M,,589.30M,171.70M,,,,116.70M,1.777B,7.471B,375.00M,7.846B,-3.008B,4.838B,,,,,,,6.731B,,11.57B,13.35B,357.50M,,,357.50M,554.20M,911.70M,,,372.10M,372.10M,,,,,1.284B,,6.092B,0.50M,6.093B,2.648B,,292.80M,,,340.40M,,,6.386B,11.09B,3.847B,-422.50M,1.20M,1.507B,230.20M,,1.918B
1999-03,2.703B,,2.703B,445.50M,,445.50M,168.00M,,,,189.50M,3.506B,7.406B,290.10M,7.696B,-2.951B,4.745B,,,,,,,6.720B,,11.47B,14.97B,276.90M,,,276.90M,649.70M,926.60M,,,1.076B,1.076B,,,,,2.003B,,6.084B,69.50M,6.154B,2.659B,,296.40M,,,349.40M,,,6.450B,11.91B,3.833B,-429.30M,1.20M,695.90M,230.20M,,2.709B
1998-12,48.00M,,48.00M,311.00M,,311.00M,174.00M,,,,49.00M,582.00M,7.423B,273.00M,7.696B,-2.891B,4.805B,,,,,,,705.00M,5.956B,11.47B,12.05B,316.00M,,,316.00M,533.00M,849.00M,,,887.00M,887.00M,,,,-1.00M,1.735B,,2.92B,85.00M,3.005B,2.677B,,300.00M,,,442.00M,,,3.305B,8.411B,3.695B,-501.00M,1.00M,,138.00M,,3.195B
1998-09,43.90M,,43.90M,467.40M,,467.40M,171.60M,,,,194.80M,877.70M,6.896B,702.40M,7.599B,-2.834B,4.765B,,,,,,,6.705B,,11.47B,12.35B,288.10M,20.20M,,308.30M,620.10M,928.40M,,,443.30M,443.30M,,,,,1.372B,,3.590B,92.70M,3.683B,2.698B,,304.50M,,,349.40M,,,3.987B,8.648B,3.794B,-444.90M,1.20M,,230.20M,,3.351B
1998-06,105.30M,,105.30M,400.40M,,400.40M,166.80M,,,,328.10M,1.001B,6.824B,699.80M,7.524B,-2.786B,4.738B,,,,,,,6.650B,,11.39B,12.39B,295.60M,21.00M,,316.60M,512.70M,829.30M,,,921.60M,921.60M,,,,,1.751B,,3.594B,75.30M,3.669B,2.636B,,309.00M,,,349.30M,,,3.978B,8.930B,3.757B,-649.90M,1.20M,,230.20M,,3.108B
1998-03,55.00M,,55.00M,288.40M,,288.40M,158.10M,,,,467.20M,968.70M,6.809B,644.20M,7.453B,-2.738B,4.715B,,,,,,,6.674B,,11.39B,12.36B,233.40M,16.10M,,249.50M,607.50M,857.00M,,,959.60M,959.60M,,,,,1.817B,,3.597B,90.80M,3.688B,2.635B,,313.60M,,,352.10M,,,4.002B,8.997B,3.748B,-740.60M,1.20M,,230.20M,,3.008B
1997-12,33.40M,,33.40M,313.30M,,313.30M,175.80M,,,,480.30M,1.003B,6.750B,611.20M,7.362B,-2.691B,4.671B,,,,,,,6.683B,0.10M,11.35B,12.36B,323.80M,,,323.80M,590.50M,914.30M,,,704.40M,704.40M,,,,,1.619B,,3.853B,120.10M,3.973B,2.615B,,318.10M,,,352.10M,,,4.291B,9.048B,3.748B,-792.20M,1.20M,,230.20M,,2.957B
