,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,,641.69M,,641.69M,,,3.832B,,4.473B,,,,,,,,142.78M,,,62.58M,,,,,1.610B,,2.349B,11.52B,,,,,8.846B,,8.846B,,,,9.241B,335.28M,,335.28M,,,,154.91M,335.28M,9.898B,,1.15M,1.258B,205.20M,17.67M,16.74M,1.464B,,,
2006-06,,631.91M,,631.91M,,,3.460B,,4.092B,,,,,,,,142.01M,,,62.58M,,,,,1.233B,,1.942B,10.79B,,,,,7.663B,,7.663B,,,,8.214B,700.89M,,700.89M,,,,120.58M,700.89M,9.227B,,1.173M,1.217B,227.18M,17.96M,15.90M,1.444B,,,
2006-03,,850.88M,,850.88M,,,1.422B,,2.273B,,,,,,,,139.36M,,,62.58M,1.615B,,,1.615B,823.49M,,3.140B,10.07B,,,,,7.249B,,7.249B,,,,7.665B,698.03M,,698.03M,,,,110.46M,698.03M,8.582B,,1.169M,1.170B,213.13M,17.68M,13.17M,1.380B,,,
2005-12,,676.20M,,676.20M,,,2.611B,,3.287B,,,,,,,,140.32M,,,62.58M,,,,,712.42M,,1.364B,9.131B,,,,,6.881B,,6.881B,,,,7.070B,436.04M,,436.04M,,,,104.12M,436.04M,7.710B,,0.774M,1.118B,196.79M,14.21M,15.00M,1.316B,,,
2005-09,,881.13M,,881.13M,,,2.432B,,3.314B,,,,,,,,137.56M,,,62.58M,,,,,664.84M,,1.278B,8.369B,,,,,6.277B,,6.277B,,,,6.446B,291.24M,,291.24M,,,,91.03M,291.24M,7.036B,,0.765M,1.082B,165.07M,21.20M,15.12M,1.242B,,,
2005-06,,799.68M,,799.68M,,,1.417B,,2.217B,,,,,,,,131.61M,,,62.58M,,,,,630.75M,,1.086B,7.854B,,,,,6.053B,,6.053B,,,,6.246B,141.84M,,141.84M,,,,20.29M,141.84M,6.641B,,0.764M,1.044B,158.66M,21.60M,10.72M,1.193B,,,
2005-03,,667.61M,,667.61M,,,1.435B,,2.102B,,,,,,,,128.72M,,,62.58M,,,,,689.72M,,1.187B,7.891B,,,,,6.135B,,6.135B,,,,6.342B,153.82M,,153.82M,,,,25.41M,153.82M,6.705B,,0.762M,1.019B,151.67M,22.83M,11.59M,1.160B,,,
2004-12,,619.62M,,619.62M,,,1.404B,,2.023B,,,,,,,,123.42M,,,62.58M,,,,,637.24M,,1.120B,7.958B,,,,,6.251B,,6.251B,,,,6.441B,168.37M,,168.37M,,,,23.76M,168.37M,6.814B,,0.758M,990.37M,141.39M,24.10M,12.06M,1.120B,,,
2004-09,,528.82M,,528.82M,,,1.832B,,2.361B,,,,,,,,122.75M,,,62.58M,,,,,537.88M,,977.07M,7.622B,,,,,6.021B,,6.021B,,,,6.143B,136.39M,,136.39M,,,,21.37M,136.39M,6.535B,,0.753M,957.32M,127.40M,29.63M,9.368M,1.065B,,,
2004-06,,669.41M,,669.41M,,,1.505B,,2.175B,,,,,,,,123.21M,,,62.58M,,,,,540.42M,,957.40M,7.303B,,,,,5.680B,,5.680B,,,,5.849B,195.05M,,195.05M,,,,,195.05M,6.270B,,0.752M,932.60M,121.54M,29.04M,6.979M,1.033B,,,
2004-03,,548.23M,,548.23M,,,1.723B,,2.957B,,,,,,,,123.83M,,,62.58M,,,,,429.54M,,852.70M,7.381B,,,,,5.890B,,5.890B,,,,5.978B,189.14M,,189.14M,,,,,189.14M,6.378B,,0.75M,908.13M,116.29M,29.45M,7.185M,1.003B,,,
2003-12,,594.31M,,594.31M,,,1.384B,,2.766B,,,,,,,,121.66M,,,62.58M,,,,,530.10M,,935.54M,6.910B,,,,,5.419B,,5.419B,,,,5.585B,202.81M,,202.81M,,,,,202.81M,5.954B,,0.498M,870.47M,109.08M,31.50M,7.521M,956.07M,,,
2003-09,,734.63M,,734.63M,,,1.485B,,3.456B,,,,,,,,118.28M,,,62.58M,,,,,423.27M,,803.05M,6.912B,,,,,5.523B,,5.523B,,,,5.595B,167.21M,,167.21M,,,,,167.21M,5.987B,,0.497M,850.66M,101.30M,34.77M,7.054M,924.74M,,,
2003-06,,567.73M,,567.73M,,,1.391B,,3.829B,,,,,,,,116.02M,,,62.58M,,,,,655.18M,,1.030B,7.014B,,,,,5.319B,,5.319B,,,,5.479B,454.10M,,454.10M,,,,,454.10M,6.125B,,0.495M,821.79M,93.97M,35.67M,8.453M,889.04M,,,
2003-03,,474.99M,,474.99M,,,1.107B,,3.821B,,,,,,,,109.63M,,,62.58M,,,,,595.69M,,959.91M,6.371B,,,,,4.983B,,4.983B,,,,5.080B,293.98M,,293.98M,,,,,293.98M,5.509B,,0.495M,802.67M,89.89M,35.77M,4.596M,861.88M,,,
2002-12,,397.25M,,397.25M,,,1.016B,,3.629B,,,,,,,,106.76M,,,62.58M,,,,,655.68M,,1.017B,6.159B,,,,,4.878B,,4.878B,,,,4.980B,168.45M,,168.45M,,,,,168.45M,5.299B,,0.49M,791.97M,76.20M,4.478M,-3.563M,860.62M,,,
2002-09,,469.50M,,469.50M,,,996.58M,,3.552B,,,,,,,,105.78M,,,62.58M,,,,,632.60M,,972.48M,6.040B,,,,,4.776B,,4.776B,,,,4.839B,149.56M,,149.56M,,,,,149.56M,5.201B,,0.49M,781.98M,73.19M,10.92M,-5.10M,839.64M,,,
2002-06,,421.45M,,421.45M,,,1.392B,,1.813B,,,,,,,,106.66M,,,62.58M,,,,,2.744B,,3.086B,6.555B,,,,,5.087B,,5.087B,,,,5.265B,292.39M,,292.39M,,,,,292.39M,5.724B,,0.49M,764.30M,72.78M,5.044M,-1.413M,831.12M,,,
2002-03,,389.88M,,389.88M,,,1.455B,,1.844B,,,,,,,,100.89M,,,62.58M,,,,,2.853B,,3.193B,6.630B,,,,,5.169B,,5.169B,,,,5.344B,332.09M,,332.09M,,,,,332.09M,5.818B,,0.49M,748.97M,71.75M,6.558M,-3.438M,811.22M,,,
2001-12,,353.11M,,353.11M,,,1.659B,,2.012B,,,,,,,,102.29M,,,64.36M,,,,,2.705B,,3.057B,6.606B,,,,,5.395B,,5.395B,,,,5.467B,166.48M,,166.48M,,,,,166.48M,5.812B,,0.49M,734.48M,70.59M,9.762M,-1.66M,794.14M,,,
2001-09,,458.47M,,458.47M,,,1.568B,,2.027B,,,,,,,,104.69M,,,64.82M,,,,,2.334B,,2.674B,6.372B,,,,,5.186B,,5.186B,,,,5.251B,162.43M,,162.43M,,,,,162.43M,5.601B,,0.49M,721.18M,67.46M,17.80M,-0.458M,770.88M,,,
2001-06,,393.70M,,393.70M,,,1.950B,,2.343B,,,,,,,,108.62M,,,66.40M,,,,,2.307B,,2.654B,6.635B,,,,,5.560B,,5.560B,,,,5.704B,,,,,,,,,5.869B,,0.49M,712.85M,66.72M,20.08M,5.688M,765.67M,,,
2001-03,,406.31M,,406.31M,,,2.321B,,2.727B,,,,,,,,103.31M,,,68.04M,,,,,2.349B,,2.708B,7.097B,,,,,5.956B,,5.956B,,,,6.026B,194.24M,,194.24M,,,,,194.24M,6.359B,,0.49M,688.53M,65.88M,22.38M,5.416M,737.94M,,,
2000-12,,440.32M,,440.32M,,,2.523B,,2.963B,,,,,,,,90.14M,,,31.81M,,,,,2.098B,,2.392B,7.130B,,25.57M,,5.995B,6.021B,,6.021B,,,,6.142B,146.37M,,146.37M,,,,,146.37M,6.434B,,0.49M,670.16M,59.63M,33.54M,-0.743M,696.00M,,,
2000-09,,305.47M,,305.47M,,,2.365B,,2.670B,,,,,,,,91.06M,,,32.45M,,,,,1.334B,,1.602B,6.309B,,,,,5.296B,,5.296B,,,,5.326B,132.47M,,132.47M,,,,,132.47M,5.658B,,0.49M,642.20M,56.38M,46.94M,-1.618M,650.52M,,,
2000-06,,294.44M,,294.44M,,,1.474B,,2.646B,,,,,,,,90.91M,,,33.08M,,,,,573.59M,,855.60M,5.457B,,,,,4.456B,,4.456B,,,,4.531B,134.71M,,134.71M,,,,,134.71M,4.843B,,0.49M,608.69M,56.60M,49.53M,-1.782M,614.46M,,,
2000-03,,289.52M,,289.52M,,,1.869B,,3.303B,,,,,,,,91.95M,,,33.72M,,,,,578.68M,,836.27M,6.085B,,,,,5.053B,,5.053B,,,,5.099B,231.38M,,231.38M,,,,,231.38M,5.491B,,0.49M,588.99M,56.67M,50.77M,-2.02M,593.36M,,,
1999-12,,300.50M,,300.50M,,,1.507B,,3.171B,,,,,,,,94.10M,,,34.40M,,,,,587.20M,,847.50M,5.759B,,,,,4.860B,,4.860B,,,,4.932B,145.70M,,145.70M,,,,,145.70M,5.199B,,0.50M,554.20M,57.00M,49.30M,-1.90M,560.50M,,,
1999-09,,250.90M,,250.90M,,,1.382B,,1.633B,,,,,,,,91.30M,,,34.90M,,,,,1.684B,,1.950B,5.031B,,,,,4.065B,,4.065B,,,,4.099B,201.50M,,201.50M,,,,,201.50M,4.472B,,0.50M,530.90M,58.00M,29.80M,-1.10M,558.50M,,,
1999-06,,1.258B,,1.258B,,,1.522B,,2.780B,,,,,,,,89.20M,,,35.50M,,,,,547.00M,,816.50M,4.996B,,,,,4.024B,,4.024B,,,,4.074B,229.60M,,229.60M,,,,,229.60M,4.455B,,,511.90M,,,-0.70M,541.60M,,,
1999-03,,1.492B,,1.492B,,,1.643B,,3.136B,,,,,,,,82.00M,,,,,,,,555.30M,,773.00M,4.917B,,,,,3.963B,,3.963B,,,,4.032B,245.60M,,245.60M,,,,,245.60M,4.396B,,,491.80M,,,-0.30M,520.60M,,,
1998-12,,1.509B,,1.509B,,,1.287B,,2.796B,,,,,,,,82.90M,,,,,,,,551.30M,,762.50M,4.407B,,,,,3.663B,,3.663B,,,,3.699B,64.60M,,64.60M,,,,,64.60M,3.885B,,,473.20M,,,-0.20M,522.00M,,,
1998-09,,1.244B,,1.244B,,,1.028B,,2.272B,,,,,,,,81.40M,,,,,,,,491.60M,,687.20M,3.853B,,,,,3.109B,,3.109B,,,,3.140B,44.80M,,44.80M,,,,,44.80M,3.343B,,,459.10M,,,0.10M,509.90M,,,
1998-06,,1.021B,,1.021B,,,1.358B,,2.379B,,,,,,,,87.50M,,,,,,,,555.30M,,743.20M,4.006B,,3.152B,8.30M,,3.160B,,3.160B,,,,3.308B,72.90M,,72.90M,,,,,72.90M,3.512B,,,439.50M,,,0.20M,493.40M,,,
1998-03,,1.035B,,1.035B,,,1.616B,,2.650B,,,,,,,,70.50M,,,,,,,,579.80M,,753.60M,4.172B,,,,,3.450B,,3.450B,,,,3.553B,19.90M,,19.90M,,,,,19.90M,3.701B,,,419.60M,,,0.30M,471.40M,,,
1997-12,,814.20M,,814.20M,,,1.221B,,2.035B,,,,,,,,64.10M,,,,,,,,469.80M,,636.00M,3.445B,,,,,2.814B,,2.814B,,,,2.866B,20.00M,,20.00M,,,,,20.00M,3.000B,,,397.90M,,,0.40M,444.90M,,,
1997-09,,888.90M,,888.90M,,,1.149B,,2.038B,,,,,,,,51.70M,,,,,,,,411.30M,,554.80M,3.279B,,,,,2.644B,,2.644B,,,,2.699B,14.20M,,14.20M,,,,,14.20M,2.855B,,,378.00M,,,0.30M,423.30M,,,
1997-06,,779.80M,,779.80M,,,969.90M,,1.750B,,,,,,,,47.50M,,,,,,,,423.30M,,556.20M,2.888B,,,,,2.295B,,2.295B,,,,2.356B,32.30M,,32.30M,,,,,32.30M,2.491B,,,354.10M,,,-0.10M,397.40M,,,
1997-03,,923.70M,,923.70M,,,1.063B,,1.986B,,,,,,,,45.70M,,,,,,,,360.40M,,489.50M,3.021B,,,,,2.469B,,2.469B,,,,2.534B,20.10M,,20.10M,,,,,20.10M,2.640B,,,339.40M,,,-0.90M,380.60M,,,
1996-12,,769.10M,,769.10M,,,1.144B,,1.914B,,,,,,,,43.60M,,,,,,,,333.70M,,460.50M,2.854B,,,,,,,,,,,41.30M,2.373B,,2.373B,,,,,2.373B,2.511B,,,304.00M,,,-0.30M,343.50M,,,
1996-09,,735.30M,,735.30M,,,917.40M,,1.653B,,,,,,,,39.60M,,,,,,,,333.20M,,454.50M,2.566B,,,,,2.056B,,2.056B,,,,2.114B,24.90M,,24.90M,,,,,24.90M,2.240B,,,289.10M,,,-0.80M,326.60M,,,
1996-06,,609.80M,,609.80M,,,1.167B,,1.777B,,,,,,,,37.70M,,,,,,,,314.50M,,435.50M,2.666B,,,,,2.181B,,2.181B,,,,2.240B,30.50M,,30.50M,,,,,30.50M,2.358B,,,271.50M,,,,308.50M,,,
1996-03,,596.20M,,596.20M,,,1.692B,,2.288B,,,,,,,,38.10M,,,,,,,,297.00M,,388.30M,2.676B,,,,,2.276B,,2.276B,,,,2.308B,13.00M,,13.00M,,,,,13.00M,2.384B,,,254.90M,,,,291.80M,,,
1995-12,,672.50M,,672.50M,,,1.662B,,2.335B,,,,,,,,39.50M,,,,,,,,233.90M,,344.30M,2.679B,,,,,2.267B,,2.267B,,,,2.320B,13.00M,,13.00M,,,,,13.00M,2.401B,,,241.60M,,,,278.10M,,,
1995-09,,420.40M,,420.40M,,,1.246B,,1.667B,,,,,,,,40.90M,,,,,,,,200.90M,,345.80M,2.013B,,,,,1.584B,,1.584B,,,,1.602B,13.10M,,13.10M,,,,,13.10M,1.746B,,,231.00M,,,,266.20M,,,
1995-06,,367.10M,,367.10M,,,1.505B,,1.872B,,,,,,,,41.70M,,,,,,,,263.40M,,373.40M,2.245B,,,,,1.890B,,1.890B,,,,1.890B,13.10M,,13.10M,,,,,13.10M,1.992B,,,218.60M,,,0.30M,253.30M,,,
1995-03,,257.90M,,257.90M,,,1.470B,,1.728B,,,,,,,,42.10M,,,,,,,,309.00M,,423.90M,2.152B,,,,,3.20M,,3.20M,,,,3.20M,1.825B,,1.825B,,,,,1.825B,1.911B,,,206.70M,,,,240.40M,,,
1994-12,,280.60M,,280.60M,,,1.008B,,1.289B,,,,,,,,43.20M,,,,,,,,209.00M,,392.00M,1.681B,,,,,1.362B,,1.362B,,,,1.394B,13.20M,,13.20M,,,,,13.20M,1.450B,,,198.30M,,,,230.50M,,,
1994-09,,199.40M,,199.40M,,,1.124B,,1.324B,,,,,,,,42.10M,,,,,,,,265.60M,,374.50M,1.698B,,,,,1.365B,,1.365B,,,,1.398B,13.20M,,13.20M,,,,,13.20M,1.471B,,,192.30M,,,,227.50M,,,
1994-06,,138.00M,,138.00M,,,1.248B,,1.386B,,,,,,,,37.70M,,,,,,,,237.20M,,339.80M,1.726B,,,,,1.423B,,1.423B,,,,1.433B,13.30M,,13.30M,,,,,13.30M,1.502B,,,184.90M,,,,223.70M,,,
1994-03,,94.00M,,94.00M,,,1.503B,,1.597B,,,,,,,,36.50M,,,,,,,,173.60M,,269.40M,1.867B,,,,,1.562B,,1.562B,,,,1.578B,13.30M,,13.30M,,,,,13.30M,1.644B,,,179.10M,,,,223.00M,,,
1993-12,,174.60M,,174.60M,,,1.364B,,1.538B,,,,,,,,36.40M,,,,,,,,164.50M,,254.40M,1.793B,,,,,1.485B,,1.485B,,,,1.505B,13.40M,,13.40M,,,,,13.40M,1.575B,,,220.80M,,,,217.90M,,,
1993-09,,153.60M,,153.60M,,,1.088B,,1.242B,,,,,,,,35.20M,,,,,,,,118.40M,,206.10M,1.448B,,,,,1.150B,,1.150B,,,,1.166B,13.40M,,13.40M,,,,,13.40M,1.242B,,,156.90M,,,,205.60M,,,
1993-06,,162.20M,,162.20M,,,839.20M,,1.001B,,,,,,,,33.70M,,,,,,,,113.60M,,185.60M,1.187B,,,,,912.90M,,912.90M,,,,927.30M,13.40M,,13.40M,,,,,13.40M,995.30M,,,143.60M,,,,191.70M,,,
1993-03,,151.60M,,151.60M,,,904.00M,,1.056B,,,,,,,,32.00M,,,,,,,,190.00M,,259.60M,1.315B,,,,,976.40M,,976.40M,,,,979.80M,107.30M,,107.30M,,,,,107.30M,1.134B,,,133.00M,,,,181.40M,,,
1992-12,,106.60M,,106.60M,,,553.10M,,659.70M,,,,,,,,28.90M,,,,,,,,108.00M,,175.40M,835.10M,,,,,607.60M,,607.60M,,,,607.60M,13.50M,,13.50M,,,,,13.50M,666.00M,,,173.90M,,,,169.10M,,,
1992-09,,204.60M,,204.60M,,,20.70M,,225.30M,,,,,,,,25.20M,,,,,,,,59.70M,,120.00M,806.20M,,,,,580.80M,,580.80M,,,,583.80M,13.50M,,13.50M,,,,,13.50M,645.30M,,,112.20M,,,,160.90M,,,
1992-06,,115.30M,,115.30M,,,16.50M,,131.80M,,,,,,,,23.20M,,,,,,,,139.00M,,189.60M,892.10M,,,,,686.00M,,686.00M,,,,687.80M,13.50M,,13.50M,,,,,13.50M,739.50M,,,102.90M,,,,152.60M,,,
1992-03,,164.30M,,164.30M,,,15.00M,,179.30M,,,,,,,,23.10M,,,,,,,,178.10M,,227.30M,1.040B,,,,,850.80M,,850.80M,,,,853.20M,13.60M,,13.60M,,,,,13.60M,898.10M,,,92.90M,,,,142.20M,,,
1991-12,,237.80M,,237.80M,,,16.60M,,254.40M,,,,,,,,22.80M,,,,,,,,103.20M,,152.20M,1.080B,,,,,898.40M,,898.40M,,,,908.10M,13.60M,,13.60M,,,,,13.60M,949.80M,,,82.20M,,,,130.50M,,,
1991-09,,289.90M,,289.90M,,,16.90M,,306.80M,,,,,,,,22.60M,,,,,,,,76.00M,,114.80M,1.060B,,,,,876.30M,,876.30M,,,,891.20M,13.60M,,13.60M,,,,,13.60M,937.60M,,,74.60M,,,,122.10M,,,
1991-06,,212.80M,,212.80M,,,17.50M,,230.30M,,,,,,,,23.00M,,,,,,,,114.70M,,152.50M,912.70M,,,,,744.80M,,744.80M,,,,760.00M,13.70M,,13.70M,,,,,13.70M,798.00M,,,67.60M,,,,114.70M,,,
1991-03,,264.60M,,264.60M,,,18.10M,,282.70M,,,,,,,,22.80M,,,1.90M,,,,,86.30M,,122.40M,1.081B,,,,,902.10M,,902.10M,,,,927.30M,25.00M,,25.00M,,,,,25.00M,973.60M,,,60.80M,,,,107.60M,,,
1990-12,,290.70M,,290.70M,,,18.00M,,308.70M,,,,,,,,20.20M,,,2.00M,,,,,45.60M,,80.10M,1.077B,,,,,915.90M,,915.90M,,,,925.00M,32.00M,,32.00M,,,,,32.00M,976.50M,,,54.30M,,,,100.70M,,,
1990-09,,274.60M,,274.60M,,,16.50M,,291.10M,,,,,,,,20.90M,,,2.10M,,,,,32.50M,,65.50M,948.00M,,,,,813.00M,,813.00M,,,,817.00M,13.70M,,13.70M,,,,,13.70M,851.20M,,,50.00M,,,,96.80M,,,
1990-06,,279.40M,,279.40M,,,4.70M,,284.10M,,,,,,,,21.60M,,,2.20M,,,,,36.90M,,70.70M,992.90M,,,,,846.80M,,846.80M,,,,849.80M,26.00M,,26.00M,,,,,26.00M,909.40M,,,45.30M,,,,83.50M,,,
1990-03,,274.50M,,274.50M,,,4.60M,,279.10M,,,,,,,,22.00M,,,2.20M,,,,,25.50M,,59.00M,1.004B,,,,,876.10M,,876.10M,,,,878.20M,19.10M,,19.10M,,,,,19.10M,926.20M,,,40.20M,,,,78.30M,,,
1989-12,,251.40M,,251.40M,,,5.40M,,256.80M,,,,,,,,20.10M,,,2.30M,,,,,33.10M,,64.50M,860.60M,,,,,736.10M,,736.10M,,,,739.80M,18.30M,,18.30M,,,,,18.30M,785.10M,,,37.20M,,,,75.50M,,,
1989-09,,251.20M,,251.20M,,,5.80M,,257.00M,,,,,,,,20.60M,,,2.40M,,,,,26.50M,,57.20M,830.00M,,,,,711.50M,,711.50M,,,,712.60M,13.80M,,13.80M,,,,,13.80M,758.40M,,,33.50M,,,,71.60M,,,
1989-06,,218.20M,,218.20M,,,6.10M,,224.30M,,,,,,,,21.00M,,,2.50M,,,,,24.20M,,54.70M,815.60M,,,,,702.70M,,702.70M,,,,704.70M,14.30M,,14.30M,,,,,14.30M,748.30M,,,29.70M,,,,67.30M,,,
