,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,NotesReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-06,6.167M,11.29M,17.46M,5.00M,5.00M,,,4.424M,,54.51M,5.241B,90.62M,5.332B,-1.072B,4.260B,0.363M,,,48.20M,4.309B,4.363B,,50.38M,45.85M,24.68M,120.91M,28.23M,149.14M,,,,,,,149.14M,2.926B,,2.926B,,,79.20M,,28.46M,2.955B,3.104B,,319.08M,-754.44M,1.628B,181.97M,,1.180B,,AOR,Restated
2005-03,1.661M,,1.661M,5.00M,5.00M,,,5.921M,,36.04M,5.236B,74.86M,5.311B,-1.031B,4.280B,0.436M,,,37.87M,4.318B,4.354B,,46.94M,45.80M,19.33M,112.08M,24.74M,136.81M,,,,,,,136.81M,2.941B,,2.941B,,,79.94M,,27.42M,2.969B,3.105B,,318.91M,-761.90M,1.625B,181.97M,,1.169B,,AOR,Restated
2004-12,7.904M,,7.904M,5.00M,5.00M,,,6.086M,,44.14M,5.178B,64.92M,5.243B,-1.008B,4.235B,17.50M,,,34.95M,4.288B,4.332B,,49.76M,44.62M,28.38M,122.76M,18.77M,141.53M,,,,,,,141.53M,2.880B,,2.880B,,,83.59M,,31.44M,2.911B,3.053B,,318.40M,-731.81M,1.609B,318.40M,,1.195B,,AOR,Restated
2004-09,1.988M,,1.988M,,,,,6.454M,,8.442M,,,4.763B,-959.10M,3.804B,0.607M,15.60M,,,3.820B,3.891B,,88.36M,,34.99M,123.35M,17.81M,141.17M,,,,,,,141.17M,2.520B,,2.520B,,,86.84M,,,2.520B,2.688B,,369.07M,-712.12M,1.466B,241.25M,0.00,1.116B,,AOR,Restated
2004-06,0.753M,,0.753M,,,,,6.364M,,7.117M,,,4.468B,-935.68M,3.533B,0.809M,44.59M,,,3.578B,3.641B,,81.77M,,24.27M,106.05M,15.04M,121.09M,,,,,,,121.09M,2.267B,,2.267B,,,89.81M,,,2.267B,2.422B,,367.46M,-695.84M,1.465B,239.69M,0.00,1.129B,,AOR,Restated
2004-03,1.973M,,1.973M,,,,,7.468M,,9.441M,,,4.432B,-906.74M,3.526B,1.206M,,,,3.527B,3.605B,,78.63M,,18.17M,96.80M,17.67M,114.47M,,,,,,,114.47M,2.235B,,2.235B,,,91.37M,,,2.235B,2.372B,,365.88M,-680.28M,1.465B,238.13M,-0.93M,1.142B,,AOR,Restated
2003-12,4.824M,,4.824M,,,,,7.54M,,12.36M,,,4.350B,-895.57M,3.455B,1.673M,,,,3.457B,3.544B,,55.14M,,30.86M,86.00M,12.89M,98.89M,,,,,,,98.89M,2.132B,,2.132B,,,94.21M,,,2.132B,2.286B,,363.86M,-651.50M,1.459B,236.56M,-1.862M,1.163B,,AOR,
2003-09,12.94M,,12.94M,,,,,7.006M,,19.95M,,,4.172B,-854.46M,3.318B,2.214M,,,,3.320B,3.414B,,79.85M,,32.27M,112.12M,14.18M,126.30M,,,,,,,126.30M,2.009B,,2.009B,,,88.22M,,,2.009B,2.157B,,320.41M,-629.44M,1.351B,200.24M,-2.799M,1.168B,,AOR,Restated
2003-06,1.627M,,1.627M,,,,,7.147M,,8.774M,,,4.190B,-810.98M,3.379B,3.581M,,,,3.383B,3.446B,,80.39M,,24.03M,104.42M,11.63M,116.06M,,,,,,,116.06M,2.108B,,2.108B,,,89.23M,,,2.108B,2.248B,,439.43M,-596.41M,1.280B,323.54M,-4.572M,1.109B,,AOR,Restated
2003-03,4.513M,,4.513M,,,,,10.80M,,15.31M,,,3.971B,-784.14M,3.186B,,,,,3.186B,3.251B,,80.47M,,17.05M,97.52M,14.34M,111.86M,,,,,,,111.86M,2.035B,,2.035B,,,67.91M,,,2.035B,2.168B,,419.43M,-566.02M,1.175B,310.40M,-6.885M,1.015B,,AOR,Restated
2002-12,14.92M,,14.92M,,,,,11.77M,,26.70M,,,3.962B,-742.88M,3.219B,0.00,,,,3.219B,3.276B,,84.78M,,29.74M,114.52M,11.91M,126.43M,,,,,,,126.43M,2.058B,,2.058B,,,69.22M,,,2.058B,2.206B,,417.00M,-541.43M,1.141B,310.40M,-9.958M,1.001B,,AOR,
2002-09,6.949M,,6.949M,,,,,16.35M,,23.30M,,,3.899B,-701.58M,3.197B,0.00,,,,3.197B,3.274B,,93.20M,,30.25M,123.45M,14.85M,138.30M,,,,,,,138.30M,2.008B,,2.008B,,,70.95M,,,2.008B,2.168B,,417.52M,-512.08M,1.148B,310.40M,-12.45M,1.035B,,AOR,
2002-06,5.579M,,5.579M,,,,,20.61M,,26.19M,,,3.995B,-665.66M,3.330B,0.00,,,,3.330B,3.405B,,94.80M,,23.83M,118.64M,14.46M,133.10M,,,,,,,133.10M,2.123B,,2.123B,,,71.82M,,,2.123B,2.280B,,417.76M,-495.96M,1.151B,310.40M,-12.96M,1.053B,,AOR,
2002-03,28.79M,,28.79M,,,,,20.76M,,49.55M,,,3.938B,-663.92M,3.274B,3.018M,,,,3.277B,3.364B,,96.87M,,17.15M,114.02M,14.34M,128.36M,,,,,,,128.36M,2.080B,,2.080B,,,73.29M,,,2.080B,2.230B,,417.52M,-486.68M,1.148B,310.40M,-11.70M,1.060B,,AOR,
2001-12,31.47M,,31.47M,,,,,26.83M,,58.30M,,,3.908B,-646.37M,3.261B,3.355M,,,,3.265B,3.348B,,100.14M,,28.10M,128.24M,16.78M,145.02M,,,,,,,145.02M,2.064B,,2.064B,,,75.66M,,,2.064B,2.230B,,413.53M,-448.34M,1.098B,310.40M,-14.87M,1.043B,,AOR,
2001-09,7.221M,,7.221M,,,,,34.28M,,41.50M,,,3.829B,-608.64M,3.221B,7.515M,,,,3.228B,3.323B,,95.78M,,34.11M,129.89M,16.42M,146.31M,,,,,,,146.31M,2.068B,,2.068B,,,77.41M,,,2.068B,2.236B,,99.15M,-424.03M,1.047B,,-16.04M,1.010B,,AOR,
2001-06,13.67M,,13.67M,,,,,36.09M,,49.76M,,,3.805B,-572.56M,3.232B,7.705M,,,,3.240B,3.342B,,94.60M,,30.56M,125.17M,16.66M,141.83M,,,,,,,141.83M,2.049B,,2.049B,,,82.07M,,,2.049B,2.213B,,410.45M,-404.13M,1.060B,310.40M,-9.838M,1.047B,,AOR,
2001-03,7.442M,,7.442M,,,,,33.59M,,41.04M,,,3.839B,-532.74M,3.306B,7.886M,,,,3.314B,3.421B,,90.52M,,21.06M,111.58M,16.03M,127.61M,,,,,,,127.61M,2.015B,,2.015B,,,86.16M,,,2.015B,2.166B,,200.24M,-397.23M,1.073B,98.87M,-9.114M,1.168B,,AOR,Restated
2000-12,,,,,,,,,,,,,3.836B,-509.40M,3.327B,,,,,3.327B,3.454B,,,,,,,,,,,,,,,1.992B,,1.992B,,,88.33M,,,1.992B,2.147B,,102.22M,-366.53M,1.081B,,,1.219B,,AOR,Restated
2000-09,10.88M,,10.88M,,,,,,,10.88M,,,3.843B,-482.07M,3.361B,8.125M,,,,3.369B,3.507B,,76.29M,,41.21M,117.49M,21.17M,138.67M,,,,,,,138.67M,2.012B,,2.012B,,,89.69M,,,2.012B,2.173B,,204.55M,-354.68M,1.089B,101.36M,,1.245B,,AOR,
2000-06,9.338M,,9.338M,,,,,,,9.338M,,,3.904B,-457.45M,3.446B,10.86M,,,,3.457B,3.586B,,75.09M,,35.60M,110.69M,19.82M,130.50M,,,,,,,130.50M,2.075B,,2.075B,,,91.24M,,,2.075B,2.228B,,207.11M,-338.08M,1.092B,103.63M,,1.267B,,AOR,
2000-03,5.957M,,5.957M,,,,,,,5.957M,,,3.909B,-384.56M,3.524B,,,,,3.524B,3.654B,,74.30M,,31.37M,105.68M,22.48M,128.16M,,,,,,,128.16M,2.118B,,2.118B,,,92.86M,,,2.118B,2.267B,,206.89M,-313.76M,1.087B,103.73M,,1.294B,,AOR,
1999-12,64.65M,,64.65M,,,,,,,64.65M,,,3.930B,-373.16M,3.557B,0.00,,,,3.557B,3.688B,,105.01M,,30.89M,135.90M,,135.90M,,,,,,,135.90M,2.127B,,2.127B,,,94.17M,,,2.127B,2.284B,,530.61M,-296.03M,1.084B,427.87M,,1.310B,,AOR,Restated
1999-09,,,,,,,,,,,,,3.630B,,3.630B,,,,,3.630B,3.763B,,,,,,21.00M,21.00M,,,,,,,21.00M,2.177B,,2.177B,,,107.10M,,,2.177B,2.322B,,102.60M,-269.20M,1.078B,,,1.334B,,,
1999-06,,,,,,,,,,,,,3.613B,,3.613B,,,,,3.613B,3.778B,,,,,,14.70M,14.70M,,,,,,,14.70M,2.169B,,2.169B,,,107.40M,,,2.169B,2.300B,,,-253.60M,,,,1.37B,,,
1999-03,,,,,,,,,,,,,3.653B,,3.653B,,,,,3.653B,3.780B,,,,,,21.10M,21.10M,,,,,,,21.10M,2.174B,,2.174B,,,110.20M,,,2.174B,2.307B,,,-259.30M,,,,1.362B,,,
1998-12,76.89M,,76.89M,,,,,,,76.89M,,,3.917B,-280.66M,3.636B,,,,,3.636B,3.763B,,105.42M,,29.08M,134.50M,,134.50M,,,,,,,134.50M,2.118B,,2.118B,,,115.44M,,,2.118B,2.273B,,533.64M,-242.33M,1.090B,430.00M,,1.374B,,AOR,Restated
1998-09,,,,,,,,,,,,,2.648B,,2.648B,,,,,2.648B,2.927B,,,,,,,,,,,,,,,1.549B,,1.549B,,,45.20M,,,1.549B,1.662B,,,-214.90M,,,,1.220B,,,
1998-06,,,,,,,,,,,,,2.571B,,2.571B,,,,,2.571B,2.829B,,,,,,,,,,,,,,,1.451B,,1.451B,,,51.70M,,,1.451B,1.554B,,,-195.70M,,,,1.223B,,,
1998-03,,,,,,,,,,,,,2.427B,,2.427B,,,,,2.427B,2.735B,,,,,,16.70M,16.70M,,,,,,,16.70M,1.400B,,1.400B,,,37.50M,,,1.400B,1.492B,,,-196.20M,,,,1.205B,,,
1997-12,17.58M,,17.58M,,,,,,,17.58M,,,2.473B,-200.51M,2.272B,,,,,2.272B,2.314B,,50.60M,,21.74M,72.34M,,72.34M,,,,,,,72.34M,1.156B,,1.156B,,,14.69M,,,1.156B,1.241B,,344.17M,-183.31M,906.31M,255.00M,,1.058B,,AOR,Restated
1997-09,,,,,,,,,,,,,2.016B,,2.016B,,,,,2.016B,2.253B,,,,,,,,,,,,,,,1.100B,,1.100B,,,10.50M,,,1.100B,1.185B,,,-170.20M,,,,1.058B,,,
1997-06,,,,,,,,,,,,,1.954B,,1.954B,,,,,1.954B,2.144B,,,,,,,,,,,,,,,1.015B,,1.015B,,,2.00M,,,1.015B,1.092B,,,-165.60M,,,,1.050B,,,
1997-03,,,,,,,,,,,,,1.922B,,1.922B,,,,,1.922B,2.092B,,,,,,,,,,,,,,,1.110B,,1.110B,,,2.00M,,,1.110B,1.182B,,,-154.60M,,,,907.70M,,,
1996-12,13.45M,,13.45M,,,,,,,13.45M,,,2.085B,-173.29M,1.912B,,,,,1.912B,1.967B,,24.63M,,13.21M,37.84M,,37.84M,,,,,,,37.84M,1.045B,,1.045B,,,2.029M,,,1.045B,1.114B,,186.98M,-147.53M,814.80M,105.00M,2.056M,850.38M,,AOR,Restated
1996-09,,,,,,,,,,,,,1.289B,,1.289B,,,,,1.289B,1.376B,,,,,,,,,,,,,,,795.90M,,795.90M,,,2.00M,,,795.90M,845.00M,,,-141.30M,,,,528.70M,,,
1996-06,,,,,,,,,,,,,1.091B,,1.091B,,,,,1.091B,1.171B,,,,,,,,,,,,,,,617.10M,,617.10M,,,2.00M,,,617.10M,661.10M,,,-134.60M,,,,507.80M,,,
1996-03,,,,,,,,,,,,,1.034B,,1.034B,,,,,1.034B,1.121B,,,,,,,,,,,,,,,571.00M,,571.00M,,,,,,571.00M,609.00M,,,-126.70M,,,,512.00M,,,
1995-12,2.904M,,2.904M,,,,,,,2.904M,,,1.182B,-129.45M,1.053B,,,,,1.053B,1.081B,,,,,21.19M,,21.19M,,,,,,,21.19M,530.34M,,530.34M,,,0.00,,,530.34M,564.23M,,161.38M,-120.31M,480.97M,105.00M,,516.39M,,AOR,Restated
1995-09,,,,,,,,,,,,,989.90M,,989.90M,,,,,989.90M,1.082B,,,,,,,,,,,,,,,526.70M,,526.70M,,,,,,526.70M,562.30M,,,-113.10M,,,,519.40M,,,
1995-06,,,,,,,,,,,,,954.30M,,954.30M,,,,,954.30M,997.50M,,,,,,,,,,,,,,,491.70M,,491.70M,,,,,,491.70M,528.00M,,,-105.60M,,,,469.50M,,,
1995-03,,,,,,,,,,,,,899.70M,,899.70M,,,,,899.70M,930.80M,,,,,,,,,,,,,,,533.70M,,533.70M,,,,,,533.70M,561.40M,,,-103.70M,,,,369.40M,,,
1994-12,7.261M,,7.261M,,,,,,,7.261M,,,1.008B,-120.34M,887.26M,,,,,887.26M,911.91M,,9.853M,,,9.853M,12.70M,22.55M,,,,,,,22.55M,526.66M,,526.66M,,,,,,526.66M,554.94M,,50.36M,-98.19M,410.80M,,,356.97M,,AOR,
1994-09,,,,,,,,,,,,,833.40M,,833.40M,,,,,833.40M,871.90M,,,,,,,,,,,,,,,482.40M,,482.40M,,,,,,482.40M,510.90M,,,-94.10M,,,,361.00M,,,
1994-06,,,,,,,,,,,,,580.20M,,580.20M,,,,,580.20M,682.40M,,,,,,,,,,,,,,,298.60M,,298.60M,,,,,,298.60M,323.90M,,,-90.30M,,,,358.50M,,,
1994-03,,,,,,,,,,,,,514.10M,,514.10M,,,,,514.10M,535.60M,,,,,,,,,,,,,,,260.80M,,260.80M,,,,,,260.80M,279.50M,,,-84.50M,,,,256.10M,,,
1993-12,,,,,,,,,,,,,490.80M,,490.80M,,,,,490.80M,505.80M,,,,,,6.10M,6.10M,,,,,,,6.10M,229.40M,,229.40M,,,,,,229.40M,245.80M,,,-79.80M,,,,260.00M,,,
1993-09,,,,,,,,,,,,,451.30M,,451.30M,,,,,451.30M,482.10M,,,,,,,,,,,,,,,201.00M,,201.00M,,,,,,201.00M,218.80M,,,-75.90M,,,,263.30M,,,
1993-06,,,,,,,,,,,,,421.90M,,421.90M,,,,,421.90M,435.60M,,,,,,,,,,,,,,,228.80M,,228.80M,,,,,,228.80M,245.90M,,,-71.60M,,,,189.70M,,,
1993-03,,,,,,,,,,,,,408.50M,,408.50M,,,,,408.50M,418.50M,,,,,,,,,,,,,,,209.70M,,209.70M,,,,,,209.70M,224.00M,,,-66.60M,,,,194.50M,,,
1992-12,,,,,,,,,,,,,382.30M,,382.30M,,,,,382.30M,390.40M,,,,,,3.60M,3.60M,,,,,,,3.60M,181.10M,,181.10M,,,,,,181.10M,192.70M,,,-63.00M,,,,197.70M,,,
1992-09,,,,,,,,,,,,,323.30M,,323.30M,,,,,323.30M,355.00M,,,,,,,,,75.90M,75.90M,,,,75.90M,62.90M,,62.90M,,,,,,62.90M,152.40M,,,-57.90M,,,,202.60M,,,
1992-06,,,,,,,,,,,,,313.50M,,313.50M,,,,,313.50M,357.80M,,,,,,,,,75.90M,75.90M,,,,75.90M,63.10M,,63.10M,,,,,,63.10M,151.40M,,,-53.90M,,,,206.40M,,,
1992-03,,,,,,,,,,,,,304.40M,,304.40M,,,,,304.40M,358.40M,,,,,,6.20M,6.20M,,,,,,,6.20M,136.20M,,136.20M,,,,,,136.20M,148.20M,,,-49.90M,,,,210.20M,,,
1991-12,,,,,,,,,,,,,305.40M,,305.40M,,,,,305.40M,314.50M,,,,,,,,,95.00M,95.00M,,,,95.00M,73.40M,,73.40M,,,,,,73.40M,178.30M,,,-46.10M,,,,136.20M,,,
1991-09,,,,,,,,,,,,,286.50M,,286.50M,,,,,286.50M,295.20M,,,,,,,,,77.50M,77.50M,,,,77.50M,81.40M,,81.40M,,,,,,81.40M,169.20M,,,-42.70M,,,,126.00M,,,
1991-06,,,,,,,,,,,,,264.90M,,264.90M,,,,,264.90M,272.70M,,,,,,,,,51.10M,51.10M,,,,51.10M,83.10M,,83.10M,,,,,,83.10M,143.80M,,,-39.50M,,,,128.90M,,,
1991-03,,,,,,,,,,,,,254.50M,,254.50M,,,,,254.50M,262.70M,,,,,,,,,54.10M,54.10M,,,,54.10M,83.90M,,83.90M,,,,,,83.90M,146.60M,,,-36.50M,,,,116.10M,,,
1990-12,,,,,,,,,,,,,251.00M,,251.00M,,,,,251.00M,259.50M,,,,,,,,,48.00M,48.00M,,,,48.00M,84.70M,,84.70M,,,,,,84.70M,141.30M,,,-33.80M,,,,118.20M,,,
1990-09,,,,,,,,,,,,,243.80M,,243.80M,,,,,243.80M,251.00M,,,,,,,,,36.40M,36.40M,,,,36.40M,84.10M,,84.10M,,,,,,84.10M,129.70M,,,-31.10M,,,,121.30M,,,
1990-06,,,,,,,,,,,,,235.20M,,235.20M,,,,,235.20M,243.60M,,,,,,,,,26.80M,26.80M,,,,26.80M,85.50M,,85.50M,,,,,,85.50M,120.20M,,,-28.90M,,,,123.40M,,,
1990-03,,,,,,,,,,,,,224.40M,,224.40M,,,,,224.40M,236.50M,,,,,,,,,20.30M,20.30M,,,,20.30M,82.80M,,82.80M,,,,,,82.80M,110.70M,,,-26.50M,,,,125.80M,,,
1989-12,,,,,,,,,,,,,218.10M,,218.10M,,,,,218.10M,231.50M,,,,,,,,,20.50M,20.50M,,,,20.50M,76.20M,,76.20M,,,,,,76.20M,103.70M,,,-24.20M,,,,127.80M,,,
1989-09,,,,,,,,,,,,,206.40M,,206.40M,,,,,206.40M,235.30M,,,,,,,,,,,,,,,100.00M,,100.00M,,,,,,100.00M,107.60M,,,-22.20M,,,,127.70M,,,
1989-06,,,,,,,,,,,,,201.00M,,201.00M,,,,,201.00M,207.80M,,,,,,,,,,,,,,,122.80M,,122.80M,,,,,,122.80M,129.70M,,,-19.50M,,,,78.10M,,,
1988-12,,,,,,,,,,,,,,,,,,,,,192.00M,,,,,,,,,,,,,,,73.40M,,73.40M,,,,,,73.40M,112.10M,,,-17.50M,,,,79.90M,,,
1987-12,,,,,,,,,,,,,,,,,,,,,161.30M,,,,,,,,,,,,,,,72.00M,,72.00M,,,,,,72.00M,110.50M,,,-10.70M,,,,50.80M,,,
1986-12,,,,,,,,,,,,,,,,,,,,,146.80M,,,,,,,,,,,,,,,84.80M,,84.80M,,,,,,84.80M,91.00M,,,-5.70M,,,,55.80M,,,
1985-12,,,,,,,,,,,,,,,,,,,,,131.20M,,,,,,,,,,,,,,,23.00M,,23.00M,,,,,,23.00M,96.50M,,,-2.10M,,,,34.70M,,,
1984-12,,,,,,,,,,,,,,,,,,,,,102.40M,,,,,,,,,,,,,,,54.90M,,54.90M,,,,,,54.90M,65.00M,,,0.70M,,,,37.40M,,,
