,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2006-06,165.92M,165.92M,64.24M,101.68M,,6.837M,,,,,46.43M,,-46.43M,,62.24M,39.44M,,46.43M,-46.43M,0.625M,-46.43M,,,-6.361M,38.54M,,,3.842M,32.18M,-6.361M,99.17M,59.73M,39.44M,,-0.08,0.29,,,-0.08,0.21,,-0.08,0.29,,,-0.08,0.21,,133.68M,133.68M,0.3125,,AOR,Restated
2006-03,167.61M,167.61M,68.54M,99.07M,,6.764M,,,,,44.47M,,-44.47M,,61.79M,37.28M,,44.47M,-44.47M,0.66M,-44.47M,,,-6.533M,18.54M,,,3.842M,12.01M,-6.533M,96.71M,59.44M,37.28M,,-0.08,0.14,,,-0.08,0.06,,-0.08,0.14,,,-0.08,0.06,,133.59M,133.59M,0.30,,AOR,Restated
2005-12,167.49M,167.49M,64.00M,103.49M,,7.997M,,,0.00,,43.45M,,-43.45M,,60.68M,42.81M,,43.45M,-43.45M,0.25M,-43.45M,,,-0.394M,73.04M,,,3.843M,72.65M,-0.394M,99.50M,56.69M,42.81M,,-0.03,0.54,,,-0.03,0.51,,-0.03,0.54,,,-0.03,0.51,,135.88M,135.88M,0.30,,AOR,Restated
2005-09,160.03M,160.03M,65.47M,94.56M,,4.913M,,,0.00,,41.59M,,-41.59M,,54.34M,40.22M,,41.59M,-41.59M,0.338M,-41.59M,,,-1.023M,16.16M,,,3.842M,15.14M,-1.023M,93.96M,53.73M,40.22M,,-0.04,0.12,,,-0.04,0.08,,-0.04,0.12,,,-0.04,0.08,,136.39M,136.39M,0.30,,AOR,Restated
2005-06,157.43M,157.43M,62.87M,94.56M,,4.909M,,,0.018M,,38.83M,,-38.83M,,54.02M,40.54M,,38.83M,-38.83M,0.064M,-38.83M,,,1.774M,50.67M,,,3.842M,52.44M,1.774M,92.93M,52.38M,40.54M,,-0.01,0.37,,,-0.01,0.36,,-0.01,0.37,,,-0.01,0.36,,136.15M,136.15M,0.30,,AOR,Restated
2005-03,171.56M,171.56M,65.22M,106.34M,,7.00M,,,6.644M,,38.57M,,-38.57M,,62.86M,43.48M,,38.57M,-38.57M,-0.117M,-38.57M,,,4.789M,10.15M,,,3.842M,14.94M,4.789M,95.87M,52.39M,43.48M,,0.01,0.07,,,0.01,0.08,,0.01,0.07,,,0.01,0.08,,136.07M,137.07M,0.2925,,AOR,Restated
2004-12,155.36M,155.36M,67.89M,87.46M,,6.081M,,-5.503M,,,35.62M,,-35.62M,,53.49M,33.97M,,35.62M,-35.62M,-5.431M,-35.62M,,,3.933M,21.58M,,,5.302M,25.51M,7.235M,84.78M,50.81M,33.97M,,-0.02,0.17,,,0.0052,0.15,,-0.02,0.17,,,0.0052,0.15,,131.09M,131.09M,0.2925,,AOR,Restated
2004-09,143.40M,143.40M,59.52M,83.88M,,3.853M,,5.503M,,,29.78M,,-29.78M,,45.23M,38.65M,,29.78M,-29.78M,5.674M,-29.78M,,,3.534M,24.28M,,,6.656M,27.82M,0.2322M,83.98M,45.33M,38.65M,,-0.02,0.19,,,-0.0460,0.17,,-0.02,0.19,,,-0.0460,0.17,,127.18M,127.18M,0.2925,,AOR,Restated
2004-06,141.71M,141.71M,57.96M,83.75M,,4.627M,,,0.00,,29.08M,,-29.08M,,44.59M,39.17M,,29.08M,-29.08M,-0.258M,-29.08M,,,9.824M,18.69M,,,6.656M,28.51M,9.824M,83.25M,44.08M,39.17M,,0.02,0.15,,,0.02,0.17,,0.02,0.15,,,0.02,0.17,,127.15M,128.06M,0.2925,,AOR,Restated
2004-03,143.63M,143.63M,60.02M,83.61M,,4.754M,,,0.005M,,28.91M,,-28.91M,,44.78M,38.83M,,28.91M,-28.91M,-0.273M,-28.91M,,,9.645M,5.667M,,,6.647M,15.31M,9.645M,82.69M,43.86M,38.83M,,0.02,0.05,,,0.02,0.07,,0.02,0.05,,,0.02,0.07,,126.98M,127.95M,0.285,,AOR,Restated
2003-12,184.97M,184.97M,,,,11.66M,,,,,,,,503.82M,133.13M,51.84M,,,,,,,,24.37M,-2.355M,,-0.28M,5.746M,21.04M,23.39M,104.15M,44.11M,51.84M,,0.16,-0.03,,,0.16,0.13,,0.15,-0.03,,,0.15,0.12,,121.93M,125.84M,0.285,,AOR,
2003-09,142.17M,142.17M,,,,10.74M,,,,,,,,54.83M,104.58M,37.59M,,,,,,,,9.603M,10.84M,,-0.145M,7.102M,20.44M,9.603M,79.50M,41.91M,37.59M,,-0.08,0.09,,,-0.08,0.01,,-0.08,0.09,,,-0.08,0.01,,116.35M,116.35M,0.285,,AOR,Restated
2003-06,144.13M,144.13M,,,10.54M,10.54M,,,,-101.11M,,,,153.56M,101.11M,43.03M,,,,,,,,13.21M,2.276M,,-0.225M,6.532M,15.48M,13.21M,83.58M,40.55M,43.03M,,0.00,0.02,,,0.00,0.02,,0.00,0.02,,,0.00,0.02,,112.47M,113.44M,0.285,,AOR,Restated
2003-03,145.00M,145.00M,,,,10.73M,,,,,,,,53.73M,102.85M,42.15M,,,,,,,,10.82M,3.248M,,-0.626M,6.947M,13.44M,10.19M,82.21M,40.06M,42.15M,,0.03,0.03,,,0.03,0.06,,0.0299,0.0299,,,0.0299,0.0598,,107.70M,108.59M,0.2775,,AOR,Restated
2002-12,155.70M,155.70M,,,9.781M,9.781M,41.54M,,,-108.60M,,,,165.87M,108.60M,47.10M,,,,0.00,,,,13.35M,1.492M,-7.738M,-0.75M,6.876M,7.103M,21.09M,88.74M,41.64M,47.10M,,0.06,0.03,0.00,-0.0731,0.06,0.00,,0.06,0.03,-0.0731,-0.0731,0.06,0.00,,105.90M,106.71M,0.2775,,AOR,
2002-09,148.96M,148.96M,,,8.742M,8.742M,40.10M,,,-103.60M,,,,158.36M,103.60M,45.36M,,,,,,,,10.54M,21.21M,-11.35M,-0.641M,6.797M,20.40M,21.89M,85.79M,40.43M,45.36M,,0.03,0.20,0.00,-0.1060,0.03,0.13,,0.03,0.20,-0.1060,-0.1060,0.03,0.13,,107.15M,108.09M,0.2775,,AOR,
2002-06,147.79M,147.79M,,,9.754M,9.754M,38.39M,,,-100.19M,,,,152.23M,100.19M,47.60M,,,,,,,,14.40M,12.82M,0.158M,-0.754M,6.875M,27.39M,14.25M,87.32M,39.72M,47.60M,,0.07,0.12,0.00,0.0015,0.07,0.19,,0.07,0.12,0.0015,0.0015,0.07,0.19,,107.02M,108.24M,0.2775,,AOR,
2002-03,147.22M,147.22M,,,7.621M,7.621M,,-15.81M,,-102.54M,,,,,-94.92M,242.14M,,,,-14.61M,,,,-2.554M,0.891M,,-0.186M,6.875M,-1.663M,6.214M,283.68M,41.54M,242.14M,,-0.09,0.01,,,-0.0054,-0.08,,-0.09,0.01,,,-0.0054,-0.08,,103.65M,103.65M,0.27,,AOR,
2001-12,200.56M,175.81M,,,2.497M,2.497M,,,,-127.70M,,,,,676.20M,-500.39M,,,,-10.84M,,,,21.78M,,,1.333M,6.768M,10.30M,25.25M,-464.75M,35.64M,-500.39M,,0.11,-0.08,,-0.0285,0.11,0.04,,0.11,-0.08,,-0.0285,0.11,0.04,,99.52M,100.27M,0.27,,AOR,
2001-09,140.14M,140.14M,,,14.62M,14.62M,,,,-93.44M,,,,,-78.83M,218.96M,,,,,,,,10.73M,2.99M,,0.652M,6.769M,13.55M,10.73M,256.82M,37.86M,218.96M,,0.04,0.03,,-0.0017,0.04,0.07,,0.04,0.03,,-0.0017,0.04,0.07,,99.62M,100.47M,0.27,,AOR,
2001-06,161.65M,161.65M,,,5.642M,5.642M,,,,-95.07M,,,,,-89.43M,251.08M,,,,20.65M,,,,30.48M,2.029M,,1.63M,8.59M,32.24M,18.09M,291.62M,40.54M,251.08M,,0.18,0.02,,-0.0026,0.0572,0.20,,0.18,0.02,,-0.0026,0.0581,0.20,,100.86M,101.59M,0.27,,AOR,
2001-03,157.54M,157.54M,,,,10.34M,41.28M,,,,,,,66.12M,117.74M,39.80M,,,,,,,,5.919M,,-0.187M,0.244M,9.063M,5.732M,5.919M,81.08M,41.28M,39.80M,,-0.03,0.00,0.00,,-0.03,-0.03,,-0.03,0.00,-0.0018,,-0.03,-0.03,,101.35M,101.35M,0.2675,,AOR,Restated
2000-12,124.43M,112.70M,,,4.138M,4.138M,30.73M,,,-77.12M,,,,119.37M,77.12M,35.58M,,,,8.008M,,,,9.425M,,0.508M,-1.507M,9.083M,24.58M,1.880M,74.20M,38.62M,35.58M,,0.00,0.14,0.00,0.0049,-0.0684,0.15,,0.00,0.14,0.0049,0.0049,-0.0684,0.15,,102.81M,102.81M,0.2675,,AOR,Restated
2000-09,156.03M,156.03M,,,13.39M,13.39M,37.35M,,,,,,,55.99M,106.73M,49.30M,,,,,,,,20.27M,,-0.091M,-0.798M,9.179M,20.18M,20.27M,87.63M,38.33M,49.30M,,0.11,0.00,0.00,,0.11,0.11,,0.11,0.00,-0.0009,,0.11,0.11,,103.26M,103.51M,0.2675,,AOR,
2000-06,163.05M,157.12M,,,9.763M,9.763M,45.30M,,,-109.76M,,,,164.44M,109.76M,47.37M,,,,5.928M,,,,12.69M,,0.586M,-0.294M,7.044M,13.28M,8.548M,92.67M,45.30M,47.37M,,0.06,0.00,0.00,0.0057,0.0256,0.06,,0.06,0.00,0.0057,0.0057,0.0256,0.06,,103.27M,103.47M,0.2675,,AOR,
2000-03,157.66M,155.13M,,,9.793M,9.793M,35.11M,,,-98.93M,,,,152.96M,98.93M,56.20M,,,,2.533M,,,,18.81M,,-0.228M,-0.668M,9.408M,18.58M,17.52M,91.30M,35.11M,56.20M,,0.09,0.00,0.00,-0.0022,0.0752,0.09,,0.09,0.00,-0.0022,-0.0022,0.0753,0.09,,103.02M,103.04M,0.265,,AOR,
1999-12,122.89M,122.89M,,,,29.76M,,,,,,,,,686.46M,-563.57M,,,,,,,,12.30M,,,,9.414M,12.92M,12.30M,-534.12M,29.45M,-563.57M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,100.02M,100.16M,0.265,,AOR,Restated
1999-09,156.20M,156.20M,,,3.10M,3.10M,,,,-96.70M,,,,,-93.60M,249.80M,,,,,,,,20.00M,,,0.50M,9.40M,19.80M,20.00M,281.80M,32.00M,249.80M,,0.10,0.00,,-0.0019,0.10,0.10,,0.10,0.00,,-0.0019,0.10,0.10,,104.00M,104.00M,0.265,,,
1999-06,187.10M,187.10M,,,2.80M,2.80M,,,,-104.60M,,,,,-101.80M,288.90M,,,,32.20M,,,,40.30M,,,3.30M,9.40M,40.80M,20.98M,322.60M,33.70M,288.90M,,0.30,0.00,,0.0048,0.1154,0.30,,0.30,0.00,,0.0048,0.1154,0.30,,104.67M,104.67M,0.265,,,
1999-03,154.40M,154.40M,,,3.50M,3.50M,,,,-95.30M,,,,,-91.80M,246.20M,,,,,,,,20.10M,,,1.10M,9.40M,20.10M,20.10M,277.20M,31.00M,246.20M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,107.00M,107.00M,0.2625,,,
1998-12,139.40M,112.70M,,,21.90M,21.90M,,,,-86.60M,,,,,531.92M,-419.22M,,,,-9.40M,,,,6.47M,,-0.038M,0.30M,6.593M,6.432M,2.75M,-393.29M,25.93M,-419.22M,,-0.01,0.00,0.00,,-0.0449,-0.01,,-0.01,0.00,-0.0004,,-0.0448,-0.01,,106.46M,106.85M,0.2625,,AOR,Restated
1998-09,124.10M,124.10M,,,2.50M,2.50M,,,,-83.00M,,,,,-80.50M,204.60M,,,,,,,,13.80M,,,0.10M,5.70M,13.80M,13.80M,232.90M,28.30M,204.60M,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,101.25M,101.25M,0.2625,,,
1998-06,140.00M,140.00M,,,2.50M,2.50M,,,,-78.20M,,,,,-75.70M,215.70M,,,,20.70M,,,,35.10M,,-0.10M,1.00M,5.70M,35.00M,22.68M,242.50M,26.80M,215.70M,,0.29,0.00,0.00,,0.1671,0.29,,0.29,0.00,-0.0010,,0.1671,0.29,,101.03M,101.03M,0.2625,,,
1998-03,105.10M,105.10M,,,2.20M,2.20M,,,,-65.10M,,,,,-62.90M,168.00M,,,,,,,,17.20M,,,0.10M,5.70M,17.20M,17.20M,190.20M,22.20M,168.00M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,88.46M,88.46M,0.2525,,,
1997-12,102.70M,90.00M,,,1.775M,1.775M,,,,-66.80M,,,,,429.98M,-339.98M,,,,0.00,,,,15.10M,,,-0.378M,5.645M,15.05M,15.20M,-318.91M,21.07M,-339.98M,,0.11,0.00,,,0.11,0.11,,0.10,0.00,,,0.10,0.10,,88.18M,88.96M,0.2525,,AOR,Restated
1997-09,108.60M,108.60M,,,1.60M,1.60M,,,,-65.90M,,,,,-64.30M,172.90M,,,,9.30M,,,,23.30M,,,0.10M,5.70M,23.30M,17.72M,193.70M,20.80M,172.90M,,0.20,0.00,,,0.1366,0.20,,0.20,0.00,,,0.1366,0.20,,88.00M,88.00M,0.2525,,,
1997-06,96.80M,96.80M,,,1.80M,1.80M,,,,-62.30M,,,,,-60.50M,157.30M,,,,,,,,14.70M,,,,3.60M,14.70M,14.70M,177.20M,19.90M,157.30M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,85.38M,85.38M,0.2525,,,
1997-03,92.40M,92.40M,,,1.80M,1.80M,,,,-56.10M,,,,,-54.30M,146.70M,,,,,,,,17.10M,,,,2.40M,17.10M,17.10M,163.70M,17.00M,146.70M,,0.17,0.00,,,0.17,0.17,,0.17,0.00,,,0.17,0.17,,86.47M,86.47M,0.24,,,
1996-12,64.57M,64.57M,,,,1.218M,,,,,,,,,269.70M,-205.13M,,,,,,,,10.51M,,,,2.413M,10.49M,10.51M,-191.02M,14.11M,-205.13M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,61.59M,62.29M,0.24,,AOR,Restated
1996-09,64.80M,64.80M,,,1.30M,1.30M,,,,-41.50M,,,,,-40.20M,105.00M,,,,,,,,9.80M,,,,2.40M,9.80M,9.80M,117.70M,12.70M,105.00M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,56.92M,56.92M,0.24,,,
1996-06,57.50M,57.50M,,,1.50M,1.50M,,,,-38.10M,,,,,-36.60M,94.10M,,,,,,,,8.20M,,,,2.40M,8.20M,8.20M,105.20M,11.10M,94.10M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,58.00M,58.00M,0.24,,,
1996-03,56.20M,56.20M,,,1.40M,1.40M,,,,-36.00M,,,,,-34.60M,90.80M,,,,,,,,9.60M,,,,2.40M,9.60M,9.60M,101.60M,10.80M,90.80M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,55.38M,55.38M,0.225,,,
1995-12,48.03M,48.03M,,,,1.065M,,,,,,,,,217.55M,-169.52M,,,,,,,,7.927M,,,,2.437M,7.927M,7.927M,-158.88M,10.64M,-169.52M,,0.09,0.00,,,0.09,0.09,,0.09,0.00,,,0.09,0.09,,57.47M,57.47M,0.225,,AOR,Restated
1995-09,50.50M,50.50M,,,1.00M,1.00M,,,,-33.10M,,,,,-32.10M,82.60M,,,,,,,,7.50M,,,,2.40M,7.50M,7.50M,92.90M,10.30M,82.60M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,51.00M,51.00M,0.225,,,
1995-06,52.70M,52.70M,,,1.50M,1.50M,,,,-30.90M,,,,,-29.40M,82.10M,,,,,,,,11.60M,,,,1.80M,11.60M,11.60M,91.90M,9.80M,82.10M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,51.58M,51.58M,0.225,,,
1995-03,45.70M,45.70M,,,1.20M,1.20M,,,,-29.10M,,,,,-27.90M,73.60M,,,,,,,,6.20M,,,,,6.20M,6.20M,82.90M,9.30M,73.60M,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,51.67M,51.67M,0.195,,,
1994-12,105.00M,105.00M,,,1.321M,1.321M,,,,-89.10M,,,,,93.81M,11.19M,,,,,,,,5.726M,,,,,5.737M,5.826M,20.24M,9.044M,11.19M,,0.11,0.00,,0.0001,0.11,0.11,,0.11,0.00,,0.0001,0.11,0.11,,50.73M,50.73M,0.195,,AOR,
1994-09,14.80M,14.80M,,,1.10M,1.10M,,,,-1.30M,,,,,-0.20M,15.00M,,,,,,,,6.00M,,,,,6.00M,6.00M,23.20M,8.20M,15.00M,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,50.00M,50.00M,0.195,,,
1994-06,11.20M,11.20M,,,1.10M,1.10M,,,,-1.30M,,,,,-0.20M,11.40M,,,,,,,,4.10M,,,,,4.00M,4.10M,17.90M,6.50M,11.40M,,0.09,0.00,,-0.0022,0.09,0.09,,0.09,0.00,,-0.0022,0.09,0.09,,44.44M,44.44M,0.195,,,
1994-03,9.70M,9.70M,,,1.50M,1.50M,,,,-1.70M,,,,,-0.20M,9.90M,,,,,,,,3.40M,,,,,3.40M,3.40M,15.80M,5.90M,9.90M,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,42.50M,42.50M,0.175,,,
1993-12,8.70M,8.70M,,,0.70M,0.70M,,,,-0.90M,,,,,-0.20M,8.90M,,,,,,,,3.40M,,,,,3.40M,3.40M,14.40M,5.50M,8.90M,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,43.05M,43.05M,0.175,,,
1993-09,8.20M,8.20M,,,0.80M,0.80M,,,,-0.90M,,,,,-0.10M,8.30M,,,,,,,,2.90M,,,,,2.90M,2.90M,13.40M,5.10M,8.30M,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,41.43M,41.43M,0.175,,,
1993-06,7.70M,7.70M,,,0.90M,0.90M,,,,-1.00M,,,,,-0.10M,7.80M,,,,,,,,2.30M,,,,,2.30M,2.30M,12.90M,5.10M,7.80M,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,38.33M,38.33M,0.175,,,
1993-03,7.50M,7.50M,,,0.80M,0.80M,,,,-0.90M,,,,,-0.10M,7.60M,,,,,,,,2.60M,,,,,2.60M,2.60M,12.30M,4.70M,7.60M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,35.28M,35.28M,0.165,,,
1992-12,-24.90M,-24.90M,,,0.50M,0.50M,,,,28.90M,,,,,29.40M,-54.30M,,,,,,,,1.00M,,,,,0.80M,1.00M,-50.20M,4.10M,-54.30M,,0.02,-0.01,,,0.02,0.01,,0.02,-0.01,,,0.02,0.01,,43.40M,43.40M,0.165,,,
1992-09,16.50M,16.50M,,,0.50M,0.50M,,,,-11.60M,,,,,-11.10M,27.60M,,,,,,,,1.90M,,,,,1.90M,1.90M,31.70M,4.10M,27.60M,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,31.67M,31.67M,0.165,,,
1992-06,15.70M,15.70M,,,0.60M,0.60M,,,,-11.00M,,,,,-10.40M,26.10M,,,,,,,,1.80M,,,,,1.80M,1.80M,30.10M,4.00M,26.10M,,0.05,0.00,,,0.05,0.05,,0.05,0.00,,,0.05,0.05,,36.00M,36.00M,0.165,,,
1992-03,5.50M,5.50M,,,0.50M,0.50M,,,,-0.60M,,,,,-0.10M,5.60M,,,,,,,,2.00M,,,,,2.00M,2.00M,9.40M,3.80M,5.60M,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,33.33M,33.33M,0.00,,,
1991-12,14.20M,14.20M,,,0.50M,0.50M,,,,-6.30M,,,,,-5.80M,20.00M,,,,,,,,1.00M,,,,,1.00M,1.00M,23.60M,3.60M,20.00M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,25.09M,25.09M,0.16,,,
1991-09,13.00M,13.00M,,,0.50M,0.50M,,,,-9.30M,,,,,-8.80M,21.80M,,,,,,,,0.80M,,,,,0.80M,0.80M,25.20M,3.40M,21.80M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,26.67M,26.67M,0.315,,,
1991-06,12.30M,12.30M,,,0.40M,0.40M,,,,-8.70M,,,,,-8.30M,20.60M,,,,,,,,0.80M,,,,,0.80M,0.80M,23.70M,3.10M,20.60M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,20.00M,20.00M,0.155,,,
1991-03,11.90M,11.90M,,,0.50M,0.50M,,,,-8.10M,,,,,-7.60M,19.50M,,,,,,,,0.90M,,,,,0.90M,0.90M,22.50M,3.00M,19.50M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,22.50M,22.50M,0.00,,,
1990-12,11.50M,11.50M,,,0.40M,0.40M,,,,-5.00M,,,,,-4.60M,16.10M,,,,0.00,,,,1.10M,,,,,1.10M,1.10M,18.90M,2.80M,16.10M,,0.05,0.00,,-0.0001,0.05,0.05,,0.05,0.00,,-0.0001,0.05,0.05,,22.08M,22.08M,0.155,,,
1990-09,11.70M,11.70M,,,0.40M,0.40M,,,,-7.90M,,,,,-7.50M,19.20M,,,,0.40M,,,,1.40M,,,,,1.40M,1.16M,21.90M,2.70M,19.20M,,0.06,0.00,,,0.0497,0.06,,0.06,0.00,,,0.0497,0.06,,23.33M,23.33M,0.31,,,
1990-06,10.90M,10.90M,,,0.60M,0.60M,,,,-7.50M,,,,,-6.90M,17.80M,,,,,,,,1.30M,,,,,1.20M,1.30M,20.40M,2.60M,17.80M,,0.06,-0.01,,-0.0042,0.06,0.05,,0.06,-0.01,,-0.0042,0.06,0.05,,24.00M,24.00M,0.155,,,
1990-03,10.50M,10.50M,,,0.40M,0.40M,,,,-7.10M,,,,,-6.70M,17.20M,,,,,,,,1.30M,,,,,1.30M,1.30M,19.70M,2.50M,17.20M,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,21.67M,21.67M,0.155,,,
1989-12,10.40M,10.40M,,,0.40M,0.40M,,,,-4.20M,,,,,-3.80M,14.20M,,,,0.00,,,,1.70M,,,,,1.70M,1.70M,16.70M,2.50M,14.20M,,0.07,0.00,,0.0004,0.07,0.07,,0.07,0.00,,0.0004,0.07,0.07,,24.29M,24.29M,0.155,,,
1989-09,9.60M,9.60M,,,0.30M,0.30M,,,,-6.30M,,,,,-6.00M,15.60M,,,,,,,,0.90M,,,,,0.80M,0.90M,17.80M,2.20M,15.60M,,0.05,-0.01,,-0.005,0.05,0.04,,0.05,-0.01,,-0.005,0.05,0.04,,20.00M,20.00M,0.15,,,
1989-06,10.00M,10.00M,,,0.40M,0.40M,,,,-6.00M,,,,,-5.60M,15.60M,,,,0.10M,,,,1.30M,,,,,1.30M,1.24M,15.60M,,15.60M,,0.08,0.00,,,0.0763,0.08,,0.08,0.00,,,0.0763,0.08,,16.25M,16.25M,0.15,,,
1989-03,10.10M,10.10M,,,,,,,,,,,,,,10.10M,,,,,,,,1.80M,,,,,1.80M,1.80M,10.10M,,10.10M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,16.36M,16.36M,0.145,,,
1988-12,8.80M,8.80M,,,,,,,,,,,,,,29.80M,,,,,,,,0.60M,,,,,0.60M,0.60M,29.80M,,29.80M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,15.13M,15.13M,0.145,,,
1988-09,8.40M,8.40M,,,,,,,,,,,,,,8.40M,,,,,,,,0.60M,,,,,0.60M,0.60M,8.40M,,8.40M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,15.00M,15.00M,0.135,,,
1988-06,5.00M,5.00M,,,,,,,,,,,,,,5.00M,,,,,,,,0.50M,,,,,0.50M,0.50M,5.00M,,5.00M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,12.50M,12.50M,0.135,,,
1988-03,4.50M,4.50M,,,,,,,,,,,,,,4.50M,,,,,,,,0.10M,,,,,0.10M,0.10M,4.50M,,4.50M,,0.01,0.00,,,0.01,0.01,,0.01,0.00,,,0.01,0.01,,16.54M,16.54M,0.13,,,
1987-12,6.70M,6.70M,,,,,,,,,,,,,,23.40M,,,,,,,,0.40M,,,,,0.40M,0.40M,23.40M,,23.40M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,14.44M,14.44M,0.13,,,
1987-09,6.40M,6.40M,,,,,,,,,,,,,,6.40M,,,,,,,,0.20M,,,,,0.20M,0.20M,6.40M,,6.40M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,10.00M,10.00M,0.00,,,
1987-06,6.30M,6.30M,,,,,,,,,,,,,,6.30M,,,,,,,,0.20M,,,,,0.20M,0.20M,6.30M,,6.30M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,10.00M,10.00M,0.125,,,
1987-03,6.10M,6.10M,,,,,,,,,,,,,,6.10M,,,,,,,,0.20M,,,,,0.20M,0.20M,6.10M,,6.10M,,0.02,0.00,,,0.02,0.02,,0.02,0.00,,,0.02,0.02,,10.00M,10.00M,0.125,,,
1986-12,7.40M,7.40M,,,,,,,,,,,,,,21.90M,,,,,,,,1.30M,,,,,1.30M,1.30M,21.90M,,21.90M,,0.1094,,,,0.1094,0.1094,,0.1094,,,,0.1094,0.1094,,11.89M,11.89M,0.12,,,
1986-09,5.60M,5.60M,,,,,,,,,,,,,,5.60M,,,,,,,,-0.20M,,,,,-0.20M,-0.20M,5.60M,,5.60M,,-0.0237,,,,-0.0237,-0.0237,,-0.0237,,,,-0.0237,-0.0237,,8.426M,8.426M,0.12,,,
1986-06,5.50M,5.50M,,,,,,,,,,,,,,5.50M,,,,,,,,-0.20M,,,,,-0.20M,-0.20M,5.50M,,5.50M,,-0.01,0.00,,,-0.01,-0.01,,-0.01,0.00,,,-0.01,-0.01,,8.426M,8.426M,0.12,,,
1986-03,5.30M,5.30M,,,,,,,,,,,,,,5.30M,,,,,,,,,,,,,,,5.30M,,5.30M,,,,,,,,,,,,,,,,8.418M,8.418M,0.12,,,
1985-12,5.40M,5.40M,,,,,,,,,,,,,,16.90M,,,,,,,,0.40M,,,,,0.40M,0.40M,16.90M,,16.90M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,12.47M,12.47M,0.12,,,
