,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-03,12.01M,-15.35M,,0.549M,-14.80M,59.44M,59.44M,0.00,2.637M,,,2.637M,,,1.633M,-28.70M,,-27.06M,32.22M,,-79.50M,29.14M,-1.996M,,29.38M,,-20.98M,,54.48M,,54.48M,3.167M,,3.167M,,,,-40.23M,-3.842M,-44.07M,-4.019M,9.56M,,15.54M,20.79M,36.34M,,3.167M,80.26M,-25.78M,,,,,AOR,Restated
2005-12,72.65M,-73.07M,0.00,4.34M,-73.55M,56.69M,56.69M,,1.682M,,,1.682M,,,15.02M,5.242M,,20.26M,77.73M,,-178.01M,-203.53M,-321.02M,,339.89M,0.00,-41.20M,,103.31M,,103.31M,0.149M,,-73.09M,,,,-40.76M,-3.843M,-44.61M,-12.07M,-26.47M,,5.48M,10.06M,15.54M,,0.149M,221.41M,-118.11M,,,,,AOR,Restated
2005-09,15.14M,-12.85M,0.00,0.789M,-12.06M,53.73M,53.73M,,1.855M,,,1.855M,,,-3.315M,4.417M,,1.102M,59.76M,,-194.72M,32.91M,-117.39M,,33.70M,11.29M,-116.82M,,103.69M,,103.69M,1.175M,,1.175M,,,,-41.14M,-3.842M,-44.98M,-3.517M,56.37M,,6.167M,-0.687M,5.48M,,1.175M,104.55M,-0.863M,,,,,AOR,Restated
2005-06,52.44M,-46.78M,-12.31M,3.084M,-56.00M,52.38M,52.38M,,1.334M,,,1.334M,,,-0.291M,10.47M,,10.18M,60.33M,,-90.96M,100.17M,36.30M,,12.31M,-11.29M,10.22M,,-14.53M,,-14.53M,1.979M,,1.979M,,,,-41.08M,-3.843M,-44.92M,-8.569M,-66.05M,,1.661M,4.506M,6.167M,,1.979M,23.85M,-38.38M,,,,,AOR,Restated
2005-03,14.94M,-7.023M,,0.749M,-6.274M,52.39M,52.39M,,3.355M,,,3.355M,,,-2.715M,-11.33M,,-14.04M,50.37M,,-158.72M,70.45M,-60.97M,,0.00,17.04M,-71.23M,,61.21M,,61.21M,1.031M,,1.031M,,,,-40.02M,-3.842M,-43.86M,-3.767M,14.62M,,7.904M,-6.243M,1.661M,,1.031M,175.85M,-114.64M,,,,,AOR,Restated
2004-12,25.51M,-17.66M,,1.346M,-16.32M,50.81M,50.81M,,5.001M,,,5.001M,,,10.41M,2.394M,,12.80M,77.81M,,-381.16M,-87.28M,-436.94M,,208.18M,-17.04M,-277.30M,,152.72M,,152.72M,95.69M,,95.69M,,,,-37.43M,-5.093M,-42.53M,-0.478M,205.40M,,1.988M,5.916M,7.904M,,95.69M,233.07M,-80.35M,,,,,AOR,Restated
2004-09,27.82M,-20.22M,,1.48M,-18.74M,45.33M,45.33M,,1.786M,,,1.786M,,,-7.508M,18.49M,,10.98M,67.18M,,-292.12M,30.34M,-241.32M,,57.51M,2.339M,-201.93M,,180.77M,,180.77M,1.066M,,1.066M,,,,-36.23M,-5.094M,-41.32M,-4.524M,135.99M,,0.753M,1.235M,1.988M,,1.066M,135.80M,44.97M,,,,,AOR,Restated
2004-06,28.51M,-13.81M,,1.529M,-12.28M,44.08M,44.08M,,1.335M,,,1.335M,,,0.234M,6.626M,,6.86M,68.51M,,-97.05M,44.91M,-34.39M,,0.00,10.24M,-41.90M,,19.40M,,19.40M,-0.242M,,-0.242M,,,,-37.40M,-5.093M,-42.50M,-4.491M,-27.83M,,1.973M,-1.22M,0.753M,,-0.242M,54.39M,-34.99M,,,,,AOR,Restated
2004-03,15.31M,-1.205M,,0.67M,-0.535M,43.86M,43.86M,,1.864M,,,1.864M,,,-4.904M,-17.34M,,-22.24M,38.26M,,-88.74M,12.03M,-62.45M,,,1.867M,-74.84M,,76.23M,,76.23M,2.946M,,2.946M,,,,-36.32M,-5.067M,-41.39M,-4.06M,33.73M,,4.824M,-2.851M,1.973M,,2.946M,193.12M,-116.89M,,,,,AOR,Restated
2003-12,21.04M,,,,,44.11M,44.11M,,,,,-6.154M,-2.56M,6.604M,-2.56M,6.604M,-4.044M,11.32M,70.32M,,1.024M,,-156.16M,,14.53M,142.52M,-156.66M,,88.08M,,50.18M,13.66M,0.00,13.66M,,,,-34.41M,-7.103M,-41.51M,55.90M,78.23M,,12.94M,-8.116M,4.824M,,13.66M,124.28M,-74.10M,0.00,,,,AOR,
2003-09,20.44M,,,,,41.91M,41.91M,,,,,6.615M,2.133M,9.648M,2.133M,9.648M,-21.43M,-5.144M,63.82M,,-71.02M,,-27.53M,,67.73M,13.08M,9.797M,,47.47M,,47.47M,74.84M,0.00,74.84M,,,,-33.04M,-6.571M,-39.61M,-145.00M,-62.31M,,1.627M,11.31M,12.94M,,74.84M,49.85M,-2.382M,0.00,,,,AOR,Restated
2003-06,15.48M,,,,,40.55M,40.55M,,,,,-7.652M,-2.133M,-9.648M,-2.133M,-9.648M,21.43M,15.36M,63.74M,,-289.15M,,-136.96M,,0.00,136.96M,-152.18M,,33.12M,,33.12M,56.34M,0.00,56.34M,,,,-31.14M,-6.983M,-38.12M,34.22M,85.55M,,4.513M,-2.886M,1.627M,,56.34M,36.66M,-3.547M,0.00,,,,AOR,Restated
2003-03,13.44M,,,,,40.06M,40.06M,,,,,1.051M,,,,,,-17.49M,37.06M,,-24.24M,,-7.722M,,11.35M,7.722M,-5.169M,,-68.92M,,-68.92M,34.97M,-0.071M,34.90M,,,,-29.60M,-6.875M,-36.48M,39.96M,-30.53M,,3.152M,1.361M,4.513M,,34.97M,150.00M,-218.92M,-0.071M,,,,AOR,Restated
2002-12,14.73M,,,,,41.64M,41.64M,,,,,-1.417M,3.902M,-9.438M,3.902M,-9.438M,5.536M,-5.536M,49.42M,,-138.51M,,-64.03M,-50.46M,13.34M,121.67M,-53.96M,,-67.30M,113.80M,46.50M,-6.312M,-8.707M,-15.02M,,,,-29.72M,-6.788M,-36.50M,5.762M,0.742M,,6.949M,-3.797M,3.152M,,-6.312M,0.00,46.50M,-8.707M,,,,AOR,
2002-09,49.74M,,,,,40.43M,40.43M,,,,,-30.37M,-0.666M,1.206M,-0.666M,1.206M,-0.54M,0.54M,60.34M,,-337.25M,,-61.84M,-52.65M,179.72M,316.74M,106.56M,,-102.53M,-20.20M,-122.73M,5.597M,-4.543M,1.054M,,,,-29.79M,-6.983M,-36.78M,-7.072M,-165.53M,,5.579M,1.37M,6.949M,,5.597M,0.00,-270.73M,-4.543M,,,,AOR,
2002-06,27.39M,,,,,39.72M,39.72M,,,,,-22.60M,9.056M,6.439M,9.056M,6.439M,-2.494M,28.50M,73.00M,,-129.99M,,-129.99M,-179.50M,91.77M,153.94M,-63.78M,,136.94M,-114.80M,22.14M,6.65M,-1.317M,5.333M,-0.055M,,-0.055M,-57.60M,-13.65M,-34.36M,-4.732M,-11.68M,,8.029M,-2.45M,5.579M,,6.595M,198.48M,-61.54M,-1.317M,,,,AOR,
2002-03,-1.663M,,,,,41.54M,41.54M,,,,,30.07M,0.471M,-13.47M,0.471M,-13.47M,,-26.00M,43.94M,,-49.50M,,-49.50M,,,-4.382M,-53.88M,,33.89M,-33.20M,0.692M,54.32M,-1.943M,52.37M,0.055M,,0.055M,,,-36.90M,-2.884M,13.34M,,4.641M,3.388M,8.029M,,54.37M,324.28M,-290.39M,-1.943M,,,,AOR,
2001-12,13.78M,,,,,35.64M,35.64M,,,,,21.78M,3.107M,-3.66M,3.107M,-3.66M,,-19.05M,52.15M,,-167.98M,,-39.07M,-66.08M,-8.852M,153.74M,-89.17M,,-1.335M,13.30M,11.96M,56.12M,-151.17M,-95.04M,149.46M,,149.46M,-108.51M,-34.31M,-22.78M,-9.157M,34.44M,,7.221M,-2.58M,4.641M,,205.59M,45.57M,-46.91M,-151.17M,,,,AOR,
2001-09,13.55M,,,,,37.86M,37.86M,,,,,-1.549M,3.556M,-0.964M,3.556M,-0.964M,,5.184M,55.04M,,19.03M,,19.03M,0.00,4.53M,-49.85M,-26.29M,,126.55M,-106.60M,19.95M,5.844M,132.30M,138.15M,-149.46M,,-149.46M,,,-46.25M,2.413M,-35.20M,,13.67M,-6.45M,7.221M,,-143.62M,153.82M,-27.27M,132.30M,,,,AOR,
2001-06,32.06M,,,,,40.54M,40.54M,,,,,-35.11M,14.46M,1.436M,14.46M,1.436M,,29.23M,66.72M,,-33.83M,,-49.92M,-8.296M,109.80M,14.57M,82.24M,,-13.59M,10.80M,-2.787M,2.385M,-132.30M,-129.92M,,,,27.24M,9.081M,-37.47M,27.44M,-142.73M,,7.442M,6.229M,13.67M,,2.385M,25.78M,-39.37M,-132.30M,,,,AOR,
2001-03,5.919M,,,,,41.28M,41.28M,,,,,0.729M,,,,,,2.575M,50.50M,,-20.50M,,-4.41M,,4.236M,-14.57M,-30.83M,,-19.88M,68.30M,48.42M,1.966M,,1.966M,,,,-27.24M,-9.081M,-36.32M,-36.60M,-22.53M,,10.30M,-2.863M,7.442M,,1.966M,0.00,-19.88M,,,,,AOR,Restated
2000-12,24.28M,,,,,38.62M,38.62M,,,,,-12.16M,20.43M,-5.453M,20.43M,-5.453M,-14.98M,14.98M,65.71M,,-65.07M,,-11.65M,-4.635M,-9.139M,48.06M,-30.78M,,-63.24M,,-96.44M,-14.44M,-13.83M,-28.26M,,,,-27.60M,-9.129M,-36.73M,125.93M,-35.51M,,10.88M,-0.58M,10.30M,,-14.44M,315.32M,-411.76M,-13.83M,,,,AOR,Restated
2000-09,20.36M,,8.461M,,8.461M,38.33M,38.33M,,,,,-16.56M,-2.972M,8.218M,-2.972M,8.218M,-5.246M,5.246M,55.84M,,-86.31M,,-8.006M,14.76M,82.31M,45.13M,55.90M,,-1.634M,,-1.634M,6.35M,-6.255M,0.095M,,,,-27.22M,-9.225M,-36.44M,-72.21M,-110.19M,,9.338M,1.547M,10.88M,,6.35M,-20.65M,19.02M,-6.255M,,,,AOR,
2000-06,12.10M,,-8.461M,,-8.461M,45.30M,45.30M,,,,,5.069M,-3.496M,3.174M,-3.496M,3.174M,0.322M,-0.322M,53.70M,,-49.76M,,-49.76M,-14.76M,63.67M,38.67M,37.82M,,-2.872M,,-2.872M,9.455M,-6.331M,3.124M,,,,-28.38M,-9.20M,-37.58M,-50.81M,-88.14M,,5.957M,3.381M,9.338M,,9.455M,-33.80M,30.93M,-6.331M,,,,AOR,
2000-03,19.04M,,,,,35.11M,35.11M,,,,,-0.859M,3.896M,-8.272M,3.896M,-8.272M,4.376M,-4.376M,48.91M,,-19.65M,,-19.65M,,23.41M,-7.986M,-4.23M,,-0.935M,,-0.935M,6.291M,-1.986M,4.305M,,,,-26.90M,-9.355M,-36.25M,-13.52M,-46.40M,,7.678M,-1.721M,5.957M,,6.291M,54.45M,-55.38M,-1.986M,,,,AOR,
1999-12,12.30M,,,,,29.45M,29.45M,,,,,8.968M,0.50M,3.20M,0.50M,3.20M,,-13.01M,37.70M,,-255.20M,,16.65M,,117.51M,189.78M,52.08M,,-87.44M,32.80M,-54.64M,4.25M,30.10M,34.35M,,,,,,-32.37M,-46.03M,-98.68M,,9.10M,-8.903M,7.678M,,4.25M,5.656M,-93.10M,30.10M,,,,AOR,Restated
1999-09,20.00M,,32.40M,,32.40M,32.00M,32.00M,,,,,-56.90M,8.70M,16.20M,8.70M,16.20M,,49.80M,77.30M,,-87.90M,,-87.90M,,19.40M,37.30M,-31.20M,,-19.90M,27.90M,8.00M,4.30M,-27.50M,-23.20M,,,,,,-39.70M,1.90M,-53.00M,,15.90M,-6.90M,9.10M,,4.30M,72.30M,-92.20M,-27.50M,,,,,
1999-06,40.30M,,-32.40M,,-32.40M,33.70M,33.70M,,,,,15.60M,-8.70M,3.70M,-8.70M,3.70M,,-10.00M,47.20M,,-84.60M,,-84.60M,,86.90M,-9.40M,-7.10M,,-42.10M,40.30M,-1.80M,4.10M,-2.60M,1.50M,,,,,,-37.20M,-8.60M,-46.10M,,,-2.60M,15.90M,,4.10M,74.60M,-116.70M,-2.60M,,,,,
1999-03,20.10M,,,,,31.00M,31.00M,,,,,24.50M,-0.50M,-23.10M,-0.50M,-23.10M,,-47.20M,28.40M,,-33.90M,,-33.90M,,12.90M,-26.80M,-47.80M,,116.90M,-63.40M,53.50M,4.60M,,4.60M,,,,,,-35.30M,,22.80M,,18.50M,,,,4.60M,252.40M,-135.50M,,,,,,
1998-12,6.47M,,,,,25.93M,25.93M,,,,,-0.67M,-23.90M,21.20M,-23.90M,21.20M,,-5.758M,25.98M,,-407.03M,,-36.73M,,33.00M,270.29M,-103.74M,,278.49M,-171.40M,107.09M,8.386M,,4.886M,,,,,,-30.58M,-5.916M,75.48M,,,25.61M,26.08M,,8.386M,307.50M,-29.01M,,,,,AOR,Restated
1998-09,13.70M,,20.50M,,20.50M,28.30M,28.30M,,,,,-25.40M,-5.20M,10.20M,-5.20M,10.20M,,10.00M,47.10M,,-37.20M,,-37.20M,,-12.40M,-21.10M,-70.70M,,-2.20M,74.50M,72.30M,3.90M,,3.90M,,,,,,-32.20M,-3.60M,40.40M,,11.60M,-11.10M,,,3.90M,-7.80M,5.60M,,,,,,
1998-06,35.10M,,-20.50M,,-20.50M,26.80M,26.80M,,,,,-7.20M,0.30M,7.50M,0.30M,7.50M,,15.60M,49.80M,,-130.60M,,-130.60M,,125.20M,-18.30M,-23.70M,,-39.70M,38.00M,-1.70M,16.60M,,16.60M,,,,,,-34.00M,-1.40M,-20.50M,,,11.10M,11.60M,,16.60M,7.80M,-47.50M,,,,,,
1998-03,17.20M,,,,,22.20M,22.20M,,,,,10.20M,-1.60M,-8.20M,-1.60M,-8.20M,,-19.60M,30.00M,,-62.50M,,-62.50M,,9.70M,-25.20M,-78.00M,,-27.90M,58.90M,31.00M,51.30M,,51.30M,,,,,,-28.90M,0.10M,53.50M,,0.50M,,,,51.30M,,-27.90M,,,,,,
1997-12,15.10M,,12.70M,,12.70M,21.07M,21.07M,,,,,-1.28M,-10.30M,-1.00M,-10.30M,-1.00M,,-20.79M,26.80M,,-635.50M,,-215.95M,,50.30M,523.14M,-62.07M,,-55.44M,43.30M,-12.14M,14.15M,,14.15M,-0.232M,,-0.232M,,,-27.85M,56.45M,30.38M,,,,0.473M,,13.92M,-55.10M,-0.336M,,,,,AOR,Restated
1997-09,23.30M,,-9.30M,,-9.30M,20.80M,20.80M,,,,,-10.20M,4.30M,7.30M,4.30M,7.30M,,23.20M,47.80M,,-62.10M,,-62.10M,,-1.60M,-29.20M,-92.90M,,-1.30M,61.50M,60.20M,12.40M,,12.40M,0.00,,0.00,,,-27.80M,-2.60M,42.20M,,,,,,12.40M,0.00,-1.30M,,,,,,
1997-06,14.70M,,-1.30M,,-1.30M,19.90M,19.90M,,,,,-2.80M,0.40M,2.50M,0.40M,2.50M,,5.80M,36.30M,,-15.60M,,-15.60M,,18.70M,-86.70M,-83.60M,,-5.20M,-86.50M,-91.70M,7.70M,,7.70M,145.30M,,145.30M,,,-24.30M,,37.00M,,,,,,153.00M,0.00,-5.20M,,,,,,
1997-03,17.10M,,-2.10M,,-2.10M,17.00M,17.00M,,,,,5.00M,-5.00M,,-5.00M,,,-10.00M,27.00M,,-30.40M,,-30.40M,,9.90M,-86.60M,-107.10M,,59.10M,-18.30M,40.80M,66.50M,,66.50M,,,,,,-22.10M,,85.20M,,13.50M,,,,66.50M,125.00M,-65.90M,,,,,,
1996-12,10.51M,,2.20M,,2.20M,14.11M,14.11M,,,,,9.221M,0.40M,-12.70M,0.40M,-12.70M,,-18.58M,17.46M,,-302.92M,,-103.36M,,-18.70M,350.34M,28.73M,,-183.20M,-30.80M,-214.00M,-16.89M,,-16.89M,,,,,,-16.49M,206.84M,-40.54M,,,,13.45M,,-16.89M,-161.60M,-21.60M,,,,,AOR,Restated
1996-09,9.80M,,-1.40M,,-1.40M,12.70M,12.70M,,,,,-4.20M,0.20M,4.10M,0.20M,4.10M,,8.60M,25.50M,,-18.20M,,-18.20M,,2.90M,-85.30M,-100.60M,,118.60M,-51.60M,67.00M,27.00M,,27.00M,,,,,,-16.10M,-2.60M,75.30M,,,,,,27.00M,161.50M,-42.90M,,,,,,
1996-06,8.10M,,-3.80M,,-3.80M,11.10M,11.10M,,,,,-7.80M,0.50M,8.60M,0.50M,8.60M,,18.20M,25.80M,,-13.80M,,-13.80M,,11.60M,-44.50M,-46.70M,,-1.60M,31.30M,29.70M,3.40M,,3.40M,,,,,,-16.00M,2.60M,19.70M,,,,,,3.40M,-0.70M,-0.90M,,,,,,
1996-03,9.60M,,3.00M,,3.00M,10.80M,10.80M,,,,,0.10M,-1.10M,,-1.10M,,,-2.20M,21.30M,,-11.10M,,-11.10M,,4.20M,-36.10M,-43.00M,,-9.90M,51.10M,41.20M,1.50M,,1.50M,,,,,,-15.10M,,27.60M,,2.90M,,,,1.50M,0.80M,-10.70M,,,,,,
1995-12,7.927M,,,,,10.64M,10.64M,,,,,-2.79M,5.60M,-1.80M,5.60M,-1.80M,,4.249M,20.03M,,108.79M,,144.40M,,,-170.52M,-61.73M,,8.322M,,8.322M,-40.18M,,-40.18M,,,,,,-15.05M,-17.02M,37.54M,,,,2.904M,,61.29M,-37.70M,46.02M,,,,,AOR,Restated
1995-09,7.50M,,,,,10.30M,10.30M,,,,,8.30M,-5.40M,-2.70M,-5.40M,-2.70M,,-16.20M,9.90M,,-34.70M,,-34.70M,,,5.50M,-29.20M,,26.10M,,26.10M,-0.10M,,-0.10M,,,,,,-13.80M,0.10M,12.30M,,,,,,-0.10M,12.30M,13.80M,,,,,,
1995-06,11.50M,,,,,9.80M,9.80M,,,,,-11.90M,0.30M,7.10M,0.30M,7.10M,,14.80M,24.20M,,-103.00M,,-103.00M,,,32.30M,-70.70M,,-42.00M,,-42.00M,101.90M,,101.90M,,,,,,-11.70M,0.00,48.20M,,,,,,101.90M,-6.80M,-35.20M,,,,,,
1995-03,6.20M,,,,,9.30M,9.30M,,,,,3.00M,-0.50M,-2.60M,-0.50M,-2.60M,,-6.20M,12.30M,,-6.70M,,-6.70M,,,-15.60M,-22.30M,,7.00M,,7.00M,18.00M,,18.00M,,,,,,-9.80M,-0.10M,15.10M,,7.30M,,,,18.00M,32.20M,-25.20M,,,,,,
1994-12,5.789M,,,,,9.044M,9.044M,,,,,11.98M,6.70M,-10.40M,6.70M,-10.40M,,-12.87M,13.94M,,-391.21M,,-22.62M,,-1.90M,350.08M,-40.33M,,8.762M,,-5.738M,0.107M,,0.107M,,,,,,-9.80M,23.31M,7.875M,,,,7.261M,,0.107M,5.706M,3.056M,,,,,AOR,
1994-09,6.00M,,,,,8.20M,8.20M,,,,,-5.10M,-0.10M,3.10M,-0.10M,3.10M,,6.00M,15.10M,,-227.00M,,-227.00M,,1.90M,0.10M,-225.00M,,153.10M,,153.10M,6.30M,,6.30M,,,,,,-9.80M,0.10M,149.70M,,,,,,6.30M,153.40M,-0.30M,,,,,,
1994-06,4.10M,,,,,6.50M,6.50M,,,,,-5.70M,0.10M,5.00M,0.10M,5.00M,,10.20M,15.10M,,-63.80M,,-63.80M,,,0.00,-63.80M,,24.00M,,24.00M,108.20M,,108.20M,,,,,,-8.10M,,124.10M,,,,,,108.20M,71.20M,-47.20M,,,,,,
1994-03,3.40M,,,,,5.90M,5.90M,,,,,-0.90M,,1.00M,,1.00M,,2.00M,10.40M,,-30.60M,,-30.60M,,,0.10M,-30.50M,,31.40M,,31.40M,0.80M,,0.80M,,,,,,-7.30M,,24.90M,,5.80M,,,,0.80M,31.70M,-0.30M,,,,,,
1993-12,3.40M,,,,,5.50M,5.50M,,,,,1.80M,-0.10M,-1.30M,-0.10M,-1.30M,,-2.80M,7.90M,,-45.30M,,-45.30M,,,-0.10M,-45.30M,,28.50M,,28.50M,0.50M,,0.50M,,,,,,-7.20M,-0.20M,21.60M,,,,,,0.50M,0.20M,28.30M,,,,,,
1993-09,3.00M,,,,,5.10M,5.10M,,,,,-1.70M,-0.10M,0.70M,-0.10M,0.70M,,1.20M,7.60M,,-34.50M,,-34.50M,,,-0.10M,-34.60M,,-27.80M,,-27.80M,78.00M,,78.00M,,,,,,-7.30M,0.10M,43.00M,,,,,,78.00M,13.80M,-41.60M,,,,,,
1993-06,2.20M,,,,,5.10M,5.10M,,,,,-1.00M,-0.30M,1.60M,-0.30M,1.60M,,2.60M,8.90M,,-18.70M,,-18.70M,,,-1.80M,-20.50M,,19.10M,,19.10M,0.20M,,0.20M,,,,,,-6.20M,-0.10M,13.00M,,,,,,0.20M,0.00,19.10M,,,,,,
1993-03,2.60M,,,,,4.70M,4.70M,,,,,-3.10M,0.60M,2.40M,0.60M,2.40M,,6.00M,10.20M,,-30.40M,,-30.40M,,,,-30.40M,,28.50M,,28.50M,0.40M,,0.40M,,,,,,-5.80M,0.10M,23.20M,,1.10M,,,,0.40M,52.00M,-23.50M,,,,,,
1992-12,1.00M,,,,,4.10M,4.10M,,,,,3.80M,0.10M,-2.00M,0.10M,-2.00M,,-3.80M,5.10M,,-68.70M,,-68.70M,,,19.90M,-48.80M,,28.20M,,28.20M,0.20M,,0.20M,,,,,,-5.80M,0.00,22.60M,,,,,,0.20M,6.50M,21.70M,,,,,,
1992-09,1.90M,,,,,4.10M,4.10M,,,,,-1.80M,0.10M,1.30M,0.10M,1.30M,,2.80M,7.00M,,-5.30M,,-5.30M,,,-10.60M,-15.90M,,-0.20M,,-0.20M,0.20M,,0.20M,,,,,,-16.00M,11.50M,-4.50M,,,,,,0.20M,0.00,-0.20M,,,,,,
1992-06,1.70M,,,,,4.00M,4.00M,,,,,-0.30M,0.10M,0.30M,0.10M,0.30M,,0.80M,6.20M,,-4.60M,,-4.60M,,,-9.30M,-13.90M,,-75.10M,,-75.10M,78.10M,,78.10M,,,,,,4.30M,-10.00M,-2.70M,,,,,,78.10M,-73.20M,-1.90M,,,,,,
1992-03,2.00M,,,,,3.80M,3.80M,,,,,-1.20M,,1.10M,,1.10M,,2.20M,6.80M,,-3.30M,,-3.30M,,,,-3.30M,,45.80M,,45.80M,,,,,,,,,-4.30M,-0.10M,41.40M,,1.10M,,,,,97.90M,-52.10M,,,,,,
1991-12,1.00M,,,,,3.60M,3.60M,,,,,2.10M,-0.50M,-1.20M,-0.50M,-1.20M,,-3.40M,3.30M,,-22.00M,,-22.00M,,,,-22.00M,,21.70M,,21.70M,0.00,,0.00,,,,,,-4.00M,1.50M,19.20M,,,,,,0.00,23.20M,-1.50M,,,,,,
1991-09,0.80M,,,,,3.40M,3.40M,,,,,-0.30M,-0.30M,0.60M,-0.30M,0.60M,,0.60M,4.50M,,-24.80M,,-24.80M,,,-0.10M,-24.90M,,24.80M,,24.80M,0.00,,0.00,,,,,,-3.90M,-0.10M,20.80M,,,,,,0.00,26.30M,-1.50M,,,,,,
1991-06,0.90M,,,,,3.10M,3.10M,,,,,-0.70M,0.10M,0.60M,0.10M,0.60M,,1.40M,4.70M,,-13.50M,,-13.50M,,,0.10M,-13.40M,,-3.30M,,-3.30M,15.40M,,15.40M,,,,,,-3.60M,0.10M,8.60M,,,,,,15.40M,-3.00M,-0.30M,,,,,,
1991-03,0.90M,,,,,3.00M,3.00M,,,,,-0.20M,-0.20M,0.40M,-0.20M,0.40M,,0.40M,4.10M,,-7.00M,,-7.00M,,,,-7.00M,,5.90M,,5.90M,,,,,,,,,-3.60M,-0.10M,2.20M,,1.00M,,,,,26.30M,-20.40M,,,,,,
1990-12,1.10M,,,,,2.80M,2.80M,,,,,0.60M,0.40M,-1.10M,0.40M,-1.10M,,-1.40M,3.10M,,-7.70M,,-7.70M,,0.00,-0.10M,-7.80M,,9.20M,,9.20M,-0.80M,,-0.80M,,,,,,-3.60M,0.60M,5.40M,,,,,,-0.80M,10.80M,-1.60M,,,,,,
1990-09,1.30M,,,,,2.70M,2.70M,,,,,0.00,-0.60M,0.40M,-0.60M,0.40M,,-0.40M,3.60M,,-11.90M,,-11.90M,,1.00M,0.10M,-10.80M,,9.40M,,9.40M,-0.10M,,-0.10M,,,,,,-3.60M,1.30M,7.00M,,,,,,-0.10M,9.60M,-0.20M,,,,,,
1990-06,1.30M,,,,,2.60M,2.60M,,,,,-0.90M,0.20M,0.60M,0.20M,0.60M,,1.60M,4.60M,,-8.50M,,-8.50M,,,,-8.50M,,3.70M,,3.70M,,,,,,,,,-3.60M,,0.10M,,,,,,,6.40M,-2.70M,,,,,,
1990-03,1.30M,,,,,2.50M,2.50M,,,,,-0.40M,,0.40M,,0.40M,,0.80M,4.20M,,-8.70M,,-8.70M,,,,-8.70M,,3.90M,,3.90M,,,,,,,,,-3.60M,,0.30M,,8.40M,,,,,4.20M,-0.30M,,,,,,
