,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-06,2.348B,2.742B,5.09B,1.617B,,1.617B,565.00M,1.564B,126.00M,,8.962B,,,,,,,,471.00M,1.05B,637.00M,1.687B,,,85.00M,816.00M,3.059B,12.02B,,259.00M,146.00M,607.00M,1.012B,2.194B,3.206B,,,,,,,1.121B,4.327B,,,,98.00M,98.00M,,11.00M,,567.00M,665.00M,4.992B,,0.00,8.823B,3.692B,5.482B,,,,,-15.00M,7.018B,,AOR,Restated
2013-03,1.984B,3.036B,5.02B,1.611B,,1.611B,488.00M,1.536B,128.00M,,8.783B,,,,,,,,468.00M,1.042B,637.00M,1.679B,,,59.00M,820.00M,3.026B,11.81B,,262.00M,250.00M,624.00M,1.136B,2.177B,3.313B,,,,,,,1.101B,4.414B,,,,99.00M,99.00M,,13.00M,,540.00M,639.00M,5.053B,,0.00,8.047B,3.648B,4.902B,,,,,-50.00M,6.743B,,AOR,Restated
2012-12,2.052B,2.951B,5.003B,2.042B,,2.042B,681.00M,1.503B,128.00M,,9.357B,0.00,419.00M,368.00M,,71.00M,858.00M,-386.00M,472.00M,1.092B,672.00M,1.764B,281.00M,72.00M,60.00M,456.00M,3.105B,12.46B,,357.00M,94.00M,1.064B,1.515B,2.38B,3.895B,,,,,,,1.011B,4.906B,,,,104.00M,104.00M,,12.00M,,523.00M,627.00M,5.533B,,0.00,7.354B,3.641B,4.139B,,,,,61.00M,6.917B,,AOR,Restated
2012-09,3.045B,2.594B,5.639B,912.00M,,1.727B,575.00M,775.00M,356.00M,,9.072B,,,,,,866.00M,-401.00M,465.00M,1.087B,676.00M,1.763B,204.00M,121.00M,101.00M,394.00M,3.048B,12.12B,,319.00M,163.00M,,1.321B,996.00M,2.317B,,,,,,,980.00M,4.548B,,,,103.00M,103.00M,,12.00M,,545.00M,648.00M,5.196B,,0.00,6.786B,3.619B,3.527B,,,,,34.00M,6.912B,,AOR,Restated
2012-06,3.153B,1.803B,4.956B,844.00M,,1.651B,592.00M,726.00M,358.00M,,8.283B,,,,,,843.00M,-385.00M,458.00M,1.009B,656.00M,1.665B,206.00M,90.00M,116.00M,422.00M,2.957B,11.24B,,330.00M,135.00M,,1.268B,999.00M,2.267B,,,,,,,1.817B,4.307B,,,,105.00M,105.00M,,11.00M,,552.00M,657.00M,4.964B,,0.00,6.052B,3.571B,3.311B,,,,,-47.00M,6.265B,,AOR,Restated
2012-03,3.684B,1.457B,5.141B,812.00M,,1.466B,510.00M,649.00M,347.00M,,8.113B,,,,,,835.00M,-385.00M,450.00M,1.042B,682.00M,1.724B,70.00M,15.00M,93.00M,666.00M,3.018B,11.13B,,274.00M,255.00M,,1.154B,1.931B,3.085B,,,,,,,848.00M,4.092B,,,,112.00M,112.00M,,8.00M,,548.00M,660.00M,4.752B,,0.00,5.389B,3.546B,2.642B,,,,,78.00M,6.371B,,AOR,Restated
2011-12,3.734B,1.215B,4.949B,1.409B,,1.444B,35.00M,636.00M,343.00M,334.00M,7.741B,0.00,413.00M,351.00M,,55.00M,819.00M,-370.00M,449.00M,1.014B,665.00M,1.679B,266.00M,15.00M,88.00M,455.00M,2.952B,10.69B,,360.00M,82.00M,699.00M,1.141B,2.298B,3.439B,,,,,,,778.00M,4.217B,,,,113.00M,113.00M,,9.00M,,486.00M,599.00M,4.816B,,0.00,4.745B,3.519B,2.394B,,,,,-2.00M,5.868B,,AOR,Restated
2011-09,3.753B,639.00M,4.392B,763.00M,,1.285B,280.00M,,95.00M,701.00M,6.753B,,,,,,818.00M,-368.00M,450.00M,1.032B,677.00M,1.709B,114.00M,,23.00M,259.00M,2.921B,9.674B,,289.00M,182.00M,,1.042B,994.00M,2.036B,,,,,,,794.00M,3.105B,,,,,125.00M,,10.00M,,462.00M,587.00M,3.692B,,0.00,4.745B,3.489B,2.366B,0.00,-12.00M,116.00M,,104.00M,5.972B,,AOR,Restated
2011-06,2.764B,840.00M,3.604B,713.00M,,1.196B,401.00M,,134.00M,676.00M,6.011B,,,,,,811.00M,-357.00M,454.00M,1.068B,700.00M,1.768B,117.00M,,23.00M,279.00M,3.014B,9.025B,,336.00M,109.00M,,996.00M,1.179B,2.175B,,,,,,,789.00M,2.964B,,,,130.00M,130.00M,0.00,11.00M,,450.00M,580.00M,3.544B,,0.00,4.047B,3.465B,2.289B,6.00M,-12.00M,253.00M,,247.00M,5.47B,,AOR,Restated
2011-03,2.954B,985.00M,3.939B,642.00M,,1.035B,265.00M,,174.00M,660.00M,6.073B,,,,,,791.00M,-355.00M,436.00M,710.00M,539.00M,1.249B,129.00M,,13.00M,237.00M,2.429B,8.502B,,283.00M,,,688.00M,1.348B,2.036B,,,,,,,755.00M,2.791B,,,,95.00M,95.00M,4.00M,11.00M,,410.00M,509.00M,3.30B,,0.00,3.457B,3.435B,1.902B,3.00M,-12.00M,210.00M,,201.00M,5.191B,,AOR,Restated
2010-12,3.067B,1.131B,4.198B,1.147B,,1.147B,315.00M,493.00M,216.00M,85.00M,6.454B,0.00,402.00M,315.00M,,54.00M,771.00M,-332.00M,439.00M,677.00M,530.00M,1.207B,142.00M,,5.00M,225.00M,2.383B,8.837B,,908.00M,,,908.00M,1.315B,2.223B,,,,,,,920.00M,3.143B,,,,74.00M,74.00M,,11.00M,,404.00M,478.00M,3.621B,,0.00,2.915B,3.445B,1.25B,2.00M,-12.00M,105.00M,,95.00M,5.205B,,AOR,Restated
