,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2006-03,36.80M,,36.80M,1.502B,1.502B,,,625.03M,647.72M,2.811B,,,,8.648B,-2.718B,5.930B,,,991.26M,,,999.11M,7.920B,10.73B,1.308B,,,1.308B,1.018B,2.326B,,,,751.55M,,751.55M,,3.078B,3.104B,,3.104B,604.40M,604.40M,1.023B,,3.708B,7.354B,1.194M,1.188B,1.225B,58.82M,,-0.505M,2.355B
2005-12,7.915M,,7.915M,1.961B,1.961B,,,911.39M,917.87M,3.798B,,,,5.575B,-1.581B,3.994B,,,683.21M,,,835.92M,5.513B,9.312B,1.515B,,,1.515B,1.125B,2.640B,,,,1.548B,,1.548B,,4.188B,2.024B,,2.024B,603.84M,603.84M,,,2.628B,7.517B,1.08M,1.086B,1.044B,279.36M,,-57.10M,1.795B
2005-09,86.16M,,86.16M,1.472B,1.472B,,,902.67M,2.022B,4.483B,,,,5.807B,-1.608B,4.199B,,,785.17M,,,895.26M,5.879B,10.36B,1.532B,27.65M,,1.559B,2.019B,3.579B,,,,1.509B,,1.509B,,5.088B,2.028B,76.71M,2.104B,633.40M,633.40M,,,2.738B,8.977B,1.079M,856.03M,1.037B,241.59M,,-266.65M,1.385B
2005-06,16.60M,,16.60M,930.07M,930.07M,,,573.05M,501.05M,2.021B,,,,5.503B,-1.692B,3.811B,,,225.19M,,,639.50M,4.676B,6.697B,919.87M,28.24M,,948.10M,707.01M,1.655B,,,,118.04M,,118.04M,,1.773B,2.338B,80.08M,2.418B,658.89M,658.89M,,,3.077B,5.198B,1.076M,699.11M,1.031B,163.71M,,-68.80M,1.498B
2005-03,35.50M,,35.50M,1.263B,1.263B,,,323.38M,559.41M,2.181B,,,,5.448B,-1.656B,3.792B,,,225.19M,,,651.44M,4.669B,6.850B,1.089B,,,1.089B,853.64M,1.942B,,,,695.04M,,695.04M,,2.638B,1.529B,83.45M,1.612B,656.59M,656.59M,,,2.269B,5.278B,1.074M,730.93M,1.025B,116.49M,,-68.08M,1.572B
2004-12,9.458M,,9.458M,1.413B,1.413B,,,612.92M,459.22M,2.494B,,,,4.833B,-1.520B,3.313B,,,225.19M,,,1.166B,4.705B,7.199B,1.162B,,,1.162B,741.28M,1.903B,,,,985.53M,,985.53M,,2.889B,1.543B,,1.543B,601.28M,601.28M,,,2.144B,5.593B,1.071M,649.24M,1.018B,51.21M,,-11.00M,1.606B
2004-09,17.76M,,17.76M,696.91M,696.91M,,,656.81M,571.10M,1.943B,,,,5.348B,-1.586B,3.761B,,,225.36M,,,495.11M,4.482B,6.424B,775.08M,25.84M,,800.92M,880.79M,1.682B,,,,639.33M,,639.33M,,2.321B,1.549B,90.19M,1.639B,614.29M,614.29M,,,2.254B,5.025B,1.064M,550.86M,996.86M,51.20M,,-98.19M,1.399B
2004-06,18.96M,,18.96M,815.66M,815.66M,,,466.14M,286.96M,1.588B,,,,5.285B,-1.562B,3.723B,,,225.36M,,,532.43M,4.481B,6.069B,882.77M,23.68M,,906.46M,587.87M,1.494B,,,,381.33M,,381.33M,,1.876B,1.526B,93.56M,1.620B,598.02M,598.02M,,,2.218B,4.612B,1.06M,555.78M,987.82M,51.18M,,-37.09M,1.456B
2004-03,22.24M,,22.24M,944.34M,944.34M,,,277.49M,259.89M,1.504B,,,,5.226B,-1.529B,3.697B,,,225.36M,,,531.82M,4.454B,5.958B,820.36M,,,820.36M,604.20M,1.425B,,,,341.33M,,341.33M,,1.766B,1.571B,96.92M,1.668B,570.76M,570.76M,,,2.239B,4.474B,1.056M,583.08M,977.96M,51.18M,,-27.19M,1.484B
2003-12,12.17M,,12.17M,970.14M,970.14M,,,519.40M,321.62M,1.823B,,,,5.180B,-1.488B,3.692B,,,225.62M,,,471.11M,4.389B,6.212B,813.90M,,,813.90M,604.55M,1.418B,,,,606.33M,,606.33M,,2.025B,1.878B,100.29M,1.979B,559.36M,559.36M,,,2.538B,4.970B,0.982M,495.97M,815.87M,50.38M,,-21.05M,1.241B
2003-09,12.12M,,12.12M,601.93M,601.93M,,,532.14M,268.52M,1.415B,,,,4.894B,-1.518B,3.376B,,,228.66M,,,530.36M,4.135B,5.549B,650.00M,18.61M,,668.62M,532.93M,1.202B,,,,173.33M,,173.33M,,1.375B,1.894B,104.05M,1.998B,537.53M,537.53M,,,2.536B,4.349B,1.087M,433.08M,989.08M,237.36M,0.134M,14.88M,1.201B
2003-06,157.99M,,157.99M,666.22M,666.22M,,,350.78M,282.49M,1.457B,,,,4.829B,-1.488B,3.341B,,,230.73M,,,589.54M,4.161B,5.619B,763.49M,,,763.49M,593.95M,1.357B,,,,6.334M,,6.334M,,1.364B,1.913B,107.29M,2.021B,498.46M,498.46M,,,2.519B,4.384B,1.171M,447.04M,1.125B,332.86M,0.218M,-5.779M,1.235B
2003-03,282.99M,,282.99M,1.257B,1.257B,,,94.24M,280.96M,1.915B,,,,4.546B,-1.229B,3.317B,,,226.10M,,,532.08M,4.075B,5.990B,1.190B,,,1.190B,598.10M,1.788B,,,,6.334M,,6.334M,,1.794B,1.897B,110.53M,2.008B,485.02M,485.02M,,,2.493B,4.759B,1.171M,456.58M,1.125B,334.50M,0.218M,-16.62M,1.232B
2002-12,73.52M,,73.52M,773.02M,773.02M,,,75.49M,773.48M,1.696B,,,,4.216B,-1.200B,3.016B,,,113.51M,,,984.64M,4.114B,5.810B,672.15M,,,672.15M,845.59M,1.518B,,,,271.83M,,271.83M,,1.790B,1.511B,109.05M,1.620B,475.16M,475.16M,,,2.095B,4.444B,0.833M,507.84M,903.92M,38.71M,0.199M,-8.262M,1.366B
2002-09,5.909M,,5.909M,488.00M,488.00M,,,64.91M,891.63M,1.450B,,,,4.663B,-1.336B,3.327B,,,113.87M,,,802.48M,4.243B,5.694B,362.87M,,,362.87M,885.26M,1.248B,,,,377.44M,,377.44M,,1.626B,1.515B,112.29M,1.627B,559.33M,559.33M,,,2.187B,4.348B,0.833M,488.51M,903.14M,43.01M,0.199M,-3.958M,1.346B
2002-06,43.78M,,43.78M,561.75M,561.75M,,,75.21M,824.48M,1.505B,,,,4.630B,-1.308B,3.322B,,,113.87M,,,764.56M,4.201B,5.706B,435.94M,,,435.94M,777.82M,1.214B,,,,361.11M,,361.11M,,1.575B,1.519B,115.53M,1.635B,571.46M,571.46M,,,2.206B,4.364B,0.833M,486.38M,902.96M,43.78M,0.199M,-4.463M,1.342B
2002-03,150.70M,,150.70M,719.84M,719.84M,,,58.98M,423.70M,1.353B,,,,4.567B,-1.267B,3.300B,,,113.87M,,,759.62M,4.174B,5.527B,355.51M,,,355.51M,388.17M,743.68M,,,,654.04M,,654.04M,,1.398B,1.494B,118.77M,1.613B,556.36M,556.36M,,,2.169B,4.197B,0.833M,469.57M,902.98M,45.52M,0.199M,1.924M,1.330B
2001-12,28.23M,,28.23M,658.47M,658.47M,,,102.83M,753.24M,1.543B,,,,4.148B,-1.100B,3.048B,,,113.51M,,,1.149B,4.311B,5.853B,445.44M,,,445.44M,498.01M,943.45M,,,,849.11M,,849.11M,,1.793B,1.498B,122.01M,1.620B,465.95M,465.95M,,,2.086B,4.588B,0.833M,415.51M,902.27M,49.54M,0.199M,-3.78M,1.265B
2001-09,0.106M,,0.106M,539.46M,539.46M,,,114.23M,889.50M,1.543B,,,,4.421B,-1.206B,3.215B,,,117.28M,,,816.08M,4.149B,5.692B,363.00M,9.256M,,372.26M,605.60M,977.86M,,,,795.33M,,795.33M,,1.773B,1.514B,125.25M,1.639B,449.22M,449.22M,,,2.089B,4.410B,0.833M,430.35M,901.69M,53.85M,0.199M,3.411M,1.282B
2001-06,0.242M,,0.242M,671.42M,671.42M,,,95.84M,1.034B,1.801B,,,,4.354B,-1.172B,3.182B,,,117.93M,,,834.69M,4.134B,5.936B,527.06M,9.232M,,536.29M,771.68M,1.308B,,,,683.36M,,683.36M,,1.991B,1.494B,128.49M,1.623B,397.45M,397.45M,,,2.020B,4.660B,0.833M,430.06M,901.33M,55.91M,0.199M,-0.525M,1.276B
2001-03,0.249M,,0.249M,1.355B,1.355B,,,51.95M,864.45M,2.271B,,,,4.270B,-1.138B,3.131B,,,97.04M,,,793.28M,4.022B,6.293B,1.063B,,,1.063B,829.20M,1.892B,,,,199.56M,,199.56M,,2.092B,1.732B,131.73M,1.864B,383.83M,383.83M,,,2.248B,5.025B,0.516M,434.12M,900.18M,56.18M,0.199M,-10.28M,1.268B
2000-12,0.249M,,0.249M,1.628B,1.628B,,,77.50M,1.619B,3.325B,,,,4.207B,-1.111B,3.096B,,,92.91M,,,846.46M,4.035B,7.360B,1.248B,,,1.248B,1.444B,2.692B,,,,834.87M,,834.87M,,3.527B,1.336B,137.13M,1.473B,382.36M,382.36M,,,1.856B,6.135B,0.515M,387.79M,895.67M,57.89M,0.199M,-1.128M,1.225B
2000-09,0.137M,,0.137M,1.148B,1.148B,,,322.98M,934.80M,2.406B,,,,4.067B,-1.090B,2.977B,,,92.50M,,,872.06M,3.941B,6.347B,1.129B,,,1.129B,927.01M,2.056B,,,,495.47M,,495.47M,,2.552B,1.349B,121.86M,1.471B,377.46M,377.46M,,,1.848B,5.159B,0.515M,362.56M,894.98M,69.18M,0.199M,-1.169M,1.188B
2000-06,7.137M,,7.137M,841.29M,841.29M,,,161.02M,777.42M,1.787B,,,,3.981B,-1.061B,2.920B,,,91.52M,,,574.21M,3.585B,5.372B,777.08M,,,777.08M,834.94M,1.612B,,,,257.87M,,257.87M,,1.870B,1.358B,124.72M,1.483B,371.39M,371.39M,,,1.854B,4.176B,0.515M,370.82M,894.98M,69.09M,0.199M,-1.577M,1.196B
2000-03,50.00M,,50.00M,394.44M,394.44M,,,61.34M,106.63M,612.42M,,,,3.465B,-1.042B,2.424B,,,77.70M,,,460.61M,2.962B,3.575B,286.62M,,,286.62M,158.19M,444.81M,,,,276.87M,,276.87M,,721.68M,1.122B,,1.122B,364.33M,364.33M,,,1.487B,2.388B,0.515M,361.99M,894.98M,69.31M,0.199M,-1.664M,1.187B
1999-11,,,,284.06M,284.06M,,,155.90M,101.17M,541.13M,,,,3.119B,-1.016B,2.104B,,,80.99M,,,449.18M,2.634B,3.175B,223.29M,,,223.29M,68.37M,291.66M,,,,399.76M,,399.76M,,691.42M,809.43M,,809.43M,346.78M,346.78M,,,1.156B,2.027B,0.515M,298.35M,894.98M,44.38M,0.199M,-1.933M,1.148B
1999-08,4.402M,,4.402M,228.34M,228.34M,,,118.95M,87.58M,439.27M,,,,3.058B,-988.80M,2.069B,,,81.56M,,,435.29M,2.586B,3.025B,183.76M,,,183.76M,73.26M,257.02M,,,,286.56M,,286.56M,,543.58M,810.09M,,810.09M,323.62M,323.62M,,,1.134B,1.850B,0.515M,301.54M,894.98M,22.57M,0.199M,,1.174B
1999-05,6.759M,,6.759M,222.29M,222.29M,,,102.21M,42.91M,374.17M,,,,3.011B,-966.72M,2.044B,,,75.18M,,,442.00M,2.561B,2.935B,166.79M,,,166.79M,106.68M,273.47M,,,,413.82M,,413.82M,,687.29M,524.56M,,524.56M,333.07M,333.07M,,,857.63M,1.718B,569.39M,317.42M,331.82M,1.012M,569.07M,,1.218B
1999-02,18.36M,,18.36M,332.21M,332.21M,,,84.02M,22.91M,457.49M,,,,2.680B,-945.46M,1.735B,,,78.11M,,,426.29M,2.239B,2.697B,178.17M,,,178.17M,103.44M,281.61M,,,,179.82M,,179.82M,,461.43M,529.72M,,529.72M,310.14M,310.14M,,,839.86M,1.480B,569.39M,315.36M,331.82M,,569.07M,,1.217B
1998-11,0.04M,,0.04M,216.84M,216.84M,,,173.14M,14.34M,404.36M,,,,2.593B,-926.03M,1.667B,,,82.65M,,,342.26M,2.092B,2.496B,154.64M,,,154.64M,98.92M,253.56M,,,,84.91M,,84.91M,,338.47M,512.36M,,512.36M,310.07M,310.07M,,,822.43M,1.332B,569.92M,265.96M,328.14M,,569.61M,,1.164B
1998-08,0.086M,,0.086M,177.65M,177.65M,,,138.38M,21.96M,338.07M,,,,2.602B,-915.77M,1.686B,,,77.42M,,,320.83M,2.084B,2.422B,136.60M,9.007M,,145.61M,86.30M,231.90M,,,,228.91M,,228.91M,,460.81M,312.36M,,312.36M,313.96M,313.96M,,,626.31M,1.254B,0.516M,270.81M,897.55M,,0.20M,,1.169B
1998-05,26.73M,,26.73M,212.20M,212.20M,,,99.81M,12.60M,351.34M,,,,2.240B,-596.81M,1.643B,,,90.92M,,,223.87M,1.958B,2.309B,158.18M,,,158.18M,120.70M,278.88M,,,,123.91M,,123.91M,,402.79M,314.36M,,314.36M,275.30M,275.30M,,,589.66M,1.114B,567.74M,300.79M,326.82M,,567.42M,,1.195B
