,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-03,620.51M,620.51M,326.07M,294.44M,,-0.72M,14.31M,,,104.56M,152.97M,141.46M,,,-0.72M,,114.56M,42.87M,71.69M,0.905M,,,9.275M,72.60M,72.14M,175.56M,34.10M,141.46M,0.3,0.005,,0.3023,0.305,0.295,0.005,,0.2972,0.3,200.14M,200.55M,0.0775
2001-12,-3.570B,-3.570B,-3.682B,111.80M,,-1.075M,9.392M,,,98.12M,126.92M,-15.11M,,,-1.075M,,-47.83M,-17.26M,-30.57M,,0.00,,9.275M,-5.689M,-29.88M,4.554M,19.67M,-15.11M,-0.12,0.105,0.0,-0.1166,-0.025,-0.12,0.105,0.0,-0.1166,-0.025,199.30M,199.48M,0.0775
2001-09,1.127B,1.127B,923.94M,203.25M,,-2.406M,15.21M,,,92.49M,147.02M,56.22M,,,-2.406M,,19.09M,0.301M,18.79M,,,,9.275M,18.79M,21.16M,96.39M,40.17M,56.22M,0.08,0.0,,0.0919,0.08,0.08,0.0,,0.0919,0.08,199.04M,199.27M,0.0775
2001-06,1.402B,1.402B,1.208B,194.04M,,0.566M,14.98M,,,69.27M,122.10M,71.94M,,,0.566M,,36.26M,12.65M,23.61M,,,,9.275M,23.61M,23.24M,109.80M,37.52M,71.94M,0.1,0.0,,0.0981,0.1,0.1,0.0,,0.0982,0.1,198.81M,199.47M,0.0775
2001-03,2.957B,2.957B,2.666B,290.86M,,3.299M,16.06M,,,94.80M,147.82M,143.05M,,,3.299M,,108.81M,41.80M,67.01M,,-2.151M,,9.275M,64.86M,64.98M,180.33M,37.29M,143.05M,0.2725,-0.02,0.0,0.252,0.2525,0.27,-0.02,-0.0217,0.2496,0.2525,99.21M,99.60M,0.0775
2000-12,-1.974B,-1.974B,-2.129B,154.53M,,8.34M,13.71M,,,38.22M,63.80M,90.73M,,,8.34M,,63.11M,23.60M,39.51M,,0.00,,9.275M,45.34M,34.29M,127.16M,36.43M,90.73M,-0.005,0.0,0.0,-0.0497,-0.005,-0.005,0.0,-0.0002,-0.0316,-0.005,116.86M,196.65M,0.0775
2000-09,1.755B,1.755B,1.579B,175.81M,,-1.629M,15.24M,,,75.42M,126.73M,49.08M,,,-1.629M,,15.12M,5.029M,10.09M,,,,9.275M,10.09M,11.17M,85.15M,36.07M,49.08M,0.0075,0.0,,0.0168,0.0075,0.0075,0.0,,0.0168,0.0075,116.80M,116.82M,0.0775
2000-06,1.387B,1.387B,1.020B,366.90M,,-2.517M,12.12M,,,239.99M,289.26M,77.63M,,,-2.517M,,46.77M,19.61M,27.16M,,,,9.275M,27.16M,28.67M,114.79M,37.00M,77.63M,0.1525,0.0,,0.1654,0.1525,0.1375,0.0,,0.1452,0.1375,116.78M,196.58M,0.0775
2000-03,821.82M,821.82M,619.28M,202.54M,,16.41M,12.24M,,,51.05M,97.62M,104.93M,,,16.41M,,99.35M,38.45M,60.91M,,2.115M,,9.275M,63.02M,50.85M,139.41M,34.49M,104.93M,0.2675,0.0175,0.0,0.1815,0.285,0.2675,0.01,0.0107,0.2164,0.2775,116.97M,196.76M,0.0775
1999-11,533.48M,533.48M,338.99M,194.49M,,,11.04M,,,104.82M,148.41M,46.08M,,,,,25.72M,9.99M,15.73M,,,,9.275M,15.73M,15.73M,78.62M,32.55M,46.08M,0.0525,0.0,,0.0525,0.0525,0.0525,0.0,,0.0525,0.0525,122.66M,122.72M,0.0775
1999-08,435.04M,435.04M,412.72M,22.32M,,9.651M,4.178M,,,24.52M,33.81M,-11.49M,,,9.651M,,-0.566M,1.617M,-2.183M,,,,9.275M,-2.183M,-7.974M,21.67M,33.16M,-11.49M,-0.0928,,,-0.1396,-0.0928,-0.0928,,,-0.1396,-0.0928,123.54M,123.54M,0.0775
1999-05,418.08M,418.08M,259.27M,158.81M,,,9.494M,,,70.54M,113.64M,45.17M,,,,,32.18M,10.98M,21.20M,,,,9.324M,21.20M,21.20M,78.77M,33.61M,45.17M,0.095,0.0,,0.095,0.095,0.095,0.0,,0.095,0.095,63.27M,63.28M,0.0775
1999-02,592.66M,592.66M,363.29M,229.38M,,,10.17M,,,62.27M,104.24M,125.14M,,,,,113.13M,44.60M,68.53M,,,,9.324M,68.53M,68.53M,156.93M,31.80M,125.14M,0.4675,0.0,,0.4675,0.4675,0.3325,0.0,,0.3325,0.3325,63.19M,103.37M,0.0775
1998-11,374.94M,374.94M,239.84M,135.10M,,4.993M,9.374M,,,64.59M,105.10M,30.00M,,,4.993M,,23.64M,9.387M,14.25M,,,,9.324M,14.25M,11.24M,61.14M,31.14M,30.00M,0.04,0.0,,0.0161,0.04,0.04,0.0,,0.0162,0.04,126.14M,126.31M,0.0775
1998-08,355.14M,355.14M,248.40M,106.74M,,0.00,8.041M,,,74.64M,113.07M,-6.33M,,,0.00,,-16.23M,-4.734M,-11.50M,,,,9.02M,-11.50M,-11.50M,24.06M,26.30M,-6.33M,-0.1725,0.0,,-0.1725,-0.1725,-0.1725,0.0,,-0.1725,-0.1725,125.70M,206.93M,0.075
1998-05,444.05M,444.05M,287.63M,156.42M,,,9.768M,,,69.80M,106.36M,50.05M,,,,,44.21M,17.27M,26.94M,,,,8.983M,26.94M,26.94M,78.35M,28.30M,50.05M,0.1425,0.0,,0.1425,0.1425,0.13,0.0,,0.13,0.13,126.14M,206.36M,0.075
