,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-03,354.00M,,4.00M,,4.00M,93.00M,93.00M,37.00M,,,241.00M,,,,216.00M,945.00M,,,,-5.00M,-822.00M,-504.00M,-1.331B,,-243.00M,-251.00M,-494.00M,,,77.00M,,,,,,-147.00M,14.00M,74.00M,,3.518B,-312.00M,3.206B,,,1.40B,-1.643B,,,,,,
2005-12,355.00M,,4.00M,,4.00M,98.00M,98.00M,21.00M,,,352.00M,,,,-538.00M,292.00M,,,,-184.00M,-2.72B,4.041B,1.137B,,404.00M,-1.751B,-1.347B,,,43.00M,,,,,,-146.00M,4.00M,-1.385B,,3.474B,44.00M,3.518B,,,502.00M,-98.00M,,,,,,
2005-09,334.00M,,2.00M,,2.00M,111.00M,111.00M,-35.00M,,,787.00M,,,,-1.084B,115.00M,,,,26.00M,-455.00M,-1.307B,-1.736B,,423.00M,2.661B,3.084B,,,11.00M,,,,,,-146.00M,-2.837B,1.653B,,3.442B,32.00M,3.474B,,,537.00M,-114.00M,,,,,,
2005-06,282.00M,,26.00M,,26.00M,86.00M,86.00M,80.00M,,,-73.00M,,,,-37.00M,364.00M,,,,-129.00M,306.00M,-1.912B,-1.735B,,708.00M,-1.249B,-541.00M,,,-6.00M,,,,,,-141.00M,2.837B,1.905B,,2.908B,534.00M,3.442B,,,-24.19B,24.90B,,,,,,
2005-03,354.00M,,9.00M,,9.00M,80.00M,80.00M,-65.00M,,,-1.055B,,,,-774.00M,-1.451B,,,,-243.00M,-2.021B,-1.198B,-3.462B,,1.22B,1.607B,2.827B,,,6.00M,,,,,,-142.00M,,4.591B,,3.23B,-322.00M,2.908B,,,27.57B,-26.35B,,,,,,
2004-12,307.00M,,-10.00M,,-10.00M,76.00M,76.00M,-227.00M,,,801.00M,,,,-616.00M,331.00M,,,,,197.00M,-1.095B,-898.00M,,-389.00M,-787.00M,-1.176B,,,-1.00M,,,,,,-141.00M,,792.00M,,3.005B,225.00M,3.23B,,,-24.87B,24.48B,,,,,,
2004-09,258.00M,,-16.00M,,-16.00M,76.00M,76.00M,12.00M,,,-579.00M,,,,463.00M,214.00M,,,,,1.309B,-4.547B,-3.238B,,514.00M,1.433B,1.947B,,,-9.00M,,,,,,-142.00M,,2.964B,,3.065B,-60.00M,3.005B,,,11.44B,-10.92B,,,,,,
2004-06,304.00M,,-14.00M,,-14.00M,77.00M,77.00M,-61.00M,,,-62.00M,,,,-126.00M,118.00M,,,,253.00M,-230.00M,1.076B,1.099B,,-792.00M,-1.886B,-2.678B,,,12.00M,,,,,,-142.00M,,-939.00M,,2.787B,278.00M,3.065B,,,7.148B,-7.94B,,,,,,
2004-03,328.00M,,-15.00M,,-15.00M,73.00M,73.00M,82.00M,,,-148.00M,,,,-523.00M,-203.00M,,,,-253.00M,-626.00M,-1.277B,-2.156B,,-454.00M,2.305B,1.851B,,,-135.00M,,,,,,-141.00M,,2.178B,,2.968B,-181.00M,2.787B,,,7.748B,-8.202B,,,,,,
2003-12,302.00M,,-15.00M,,-15.00M,74.00M,74.00M,90.00M,,,479.00M,,,,,1.298B,,,,,-6.976B,3.069B,-3.907B,,1.00B,1.547B,2.547B,,,-77.00M,,,,,,-139.00M,,1.963B,,3.614B,-646.00M,2.968B,,,5.634B,-4.634B,,,,,,
2003-09,281.00M,,-19.00M,,-19.00M,73.00M,73.00M,20.00M,,,-885.00M,,,,,-530.00M,,,,,1.511B,-26.00M,1.485B,,-664.00M,878.00M,214.00M,,,-133.00M,,,,,,-134.00M,,-1.138B,,3.797B,-183.00M,3.614B,,,5.644B,-6.308B,,,,,,
2003-06,184.00M,,-26.00M,,-26.00M,68.00M,68.00M,-11.00M,,,686.00M,,,,,901.00M,,,,22.00M,-101.00M,619.00M,540.00M,,-600.00M,-65.00M,-665.00M,,,-83.00M,,,,,,-135.00M,,-1.27B,,3.626B,171.00M,3.797B,,,5.474B,-6.074B,,,,,,
2003-03,262.00M,,-56.00M,,-56.00M,74.00M,74.00M,117.00M,,,-398.00M,,,,,-1.00M,,,,-22.00M,-867.00M,111.00M,-778.00M,,-847.00M,264.00M,-583.00M,,,-174.00M,,,,,,-138.00M,,1.204B,,3.201B,425.00M,3.626B,,,6.154B,-7.001B,,,,,,
2002-12,262.00M,,-1.00M,,-1.00M,63.00M,63.00M,208.00M,,,-2.016B,,,,,-900.00M,,,,0.00,1.112B,464.00M,1.576B,,-483.00M,98.00M,-385.00M,,,-109.00M,,,,,,-137.00M,,-878.00M,,3.403B,-202.00M,3.201B,,,5.852B,-6.335B,,,,,,
2002-09,285.00M,,-68.00M,,-68.00M,135.00M,135.00M,53.00M,,,1.535B,,,,,1.94B,,,,0.00,-2.549B,1.485B,-1.064B,,10.98B,-11.71B,-729.00M,,,20.00M,,,,,,-136.00M,,-312.00M,,2.839B,564.00M,3.403B,,,16.52B,-5.548B,,,,,,
2002-06,320.00M,,-16.00M,,-16.00M,-14.00M,-14.00M,101.00M,,,-66.00M,,,,,325.00M,,,,0.00,233.00M,694.00M,927.00M,,-12.47B,11.74B,-737.00M,,,25.00M,,,,,,-137.00M,133.00M,-1.199B,,2.786B,53.00M,2.839B,,,-6.812B,-5.66B,,,,,,
2002-03,317.00M,,-4.00M,,-4.00M,58.00M,58.00M,125.00M,,,792.00M,,,,,1.288B,,,,-1.676B,1.79B,651.00M,765.00M,,-806.00M,-127.00M,-933.00M,,,2.00M,,,,,,-136.00M,-133.00M,-3.594B,,4.327B,-1.541B,2.786B,,,6.812B,-7.618B,,,,,,
2001-12,-430.00M,,3.00M,,3.00M,60.00M,60.00M,-293.00M,,,1.081B,,,,477.00M,898.00M,,,,,-2.359B,1.182B,-1.177B,,-804.00M,-448.00M,-1.252B,,,-43.00M,,,,,,-140.00M,142.00M,1.093B,,3.513B,814.00M,4.327B,,,8.75B,-9.554B,,,,,,
2001-09,247.00M,,-86.00M,,-86.00M,53.00M,53.00M,74.00M,,,-89.00M,,,,-569.00M,-370.00M,,,,-503.00M,-267.00M,1.505B,735.00M,,19.31B,-18.50B,814.00M,,,-303.00M,,,96.00M,,,-141.00M,-96.00M,-511.00M,,3.659B,-146.00M,3.513B,,,28.75B,-9.441B,,,,,,
2001-06,295.00M,,-17.00M,,-17.00M,47.00M,47.00M,57.00M,,,207.00M,,,,,589.00M,,,,503.00M,751.00M,612.00M,1.866B,,-17.38B,17.26B,-124.00M,,,-40.00M,,,-96.00M,,,-144.00M,,-1.794B,,2.998B,661.00M,3.659B,,,-6.286B,-11.10B,,,,,,
2001-03,265.00M,,-28.00M,,-28.00M,100.00M,100.00M,114.00M,,,-302.00M,,,,,149.00M,,,,,-2.134B,1.566B,-568.00M,,-1.201B,1.686B,485.00M,,,-111.00M,,,,,,-144.00M,,-245.00M,,3.662B,-664.00M,2.998B,,,9.411B,-10.61B,,,,,,
2000-12,314.00M,,-23.00M,,-23.00M,88.00M,88.00M,90.00M,,,2.156B,,,,-1.326B,1.299B,,,,4.00M,683.00M,-850.00M,-163.00M,,-2.16B,1.579B,-581.00M,,,-30.00M,,,,,,-139.00M,,-580.00M,,3.106B,556.00M,3.662B,,,181.21B,-183.37B,,,,,,
2000-09,277.00M,,-7.00M,,-7.00M,79.00M,79.00M,95.00M,,,-1.289B,,,,1.326B,481.00M,,,,-4.00M,-1.087B,391.00M,-700.00M,,-530.00M,-199.00M,-729.00M,,,-42.00M,,,,,,-136.00M,,206.00M,,3.119B,-13.00M,3.106B,,,8.651B,-9.181B,,,,,,
2000-06,315.00M,,-2.00M,,-2.00M,42.00M,42.00M,72.00M,,,-459.00M,,,,,-32.00M,,,,,680.00M,-88.00M,592.00M,,901.00M,-844.00M,57.00M,,,-82.00M,,,,,,-135.00M,,386.00M,,2.19B,946.00M,3.119B,,,-24.37B,25.27B,,,,,,
2000-03,308.00M,,3.00M,,3.00M,131.00M,131.00M,119.00M,,,739.00M,,,,,1.30B,,,,,-76.00M,-714.00M,-790.00M,,-857.00M,-372.00M,-1.229B,,,-85.00M,,,,,,-136.00M,,-1.417B,,3.097B,-907.00M,2.19B,,,48.15B,-49.00B,,,,,,
1999-12,287.00M,,19.00M,,19.00M,39.00M,39.00M,-75.00M,,,-30.00M,,,,,240.00M,,,,,561.00M,-1.035B,-474.00M,,-473.00M,220.00M,-253.00M,,,-76.00M,,,,,,-137.00M,,1.14B,,2.174B,906.00M,3.08B,,,166.17B,-166.65B,,,,,,
1999-09,275.00M,,-58.00M,,-375.00M,49.00M,49.00M,74.00M,,,1.191B,,,,-85.00M,1.129B,,,,,-42.00M,-125.00M,-167.00M,,71.57B,-70.55B,1.022B,,,-110.00M,,,,,,-127.00M,,-971.00M,,2.188B,-9.00M,2.174B,,,-15.94B,87.52B,,,,,,
1999-06,315.00M,,-3.00M,,301.00M,87.00M,87.00M,55.00M,,,-1.241B,,,,85.00M,-398.00M,,,,,203.00M,0.00,203.00M,,-72.87B,71.36B,-1.503B,,,-195.00M,,,,,,-127.00M,,61.00M,,2.322B,-134.00M,2.188B,,,-24.16B,-48.70B,,,,,,
1999-03,325.00M,,17.00M,,-287.00M,130.00M,130.00M,43.00M,,,590.00M,,,,,801.00M,,,,,-1.442B,3.544B,2.102B,,-863.00M,-145.00M,-1.008B,,,-281.00M,,,,,,-129.00M,,-3.115B,,2.534B,-212.00M,2.322B,,,42.78B,-43.64B,,,,,,
1998-12,250.00M,,60.00M,,-102.00M,-121.00M,-121.00M,134.00M,,,53.00M,,,,1.509B,1.723B,,1.074B,1.074B,,1.453B,-1.932B,595.00M,,-768.00M,-708.00M,-1.476B,,,-63.00M,,,,,,-128.00M,0.00,-1.707B,,1.982B,611.00M,2.529B,,,116.00B,-116.77B,,,,,,
1998-09,281.00M,,-76.00M,,-50.00M,220.00M,220.00M,16.00M,,,20.00M,,,,-878.00M,-391.00M,,-1.074B,-1.074B,,1.132B,773.00M,831.00M,,53.17B,-53.60B,-423.00M,,,-38.00M,,,,,,-123.00M,0.00,-552.00M,,0.00,-112.00M,1.982B,,,25.83B,27.34B,,,,,,
1998-06,279.70M,,23.00M,,-3.00M,117.00M,117.00M,47.00M,,,-407.70M,,,,-556.00M,-523.00M,,,,,-9.00M,-3.473B,-3.482B,,-51.83B,51.06B,-765.00M,,,-65.00M,,,,,,-122.00M,198.00M,3.518B,,2.581B,-487.00M,0.00,,,2.853B,-54.68B,,,,,,
1998-03,269.30M,,-23.00M,,-23.00M,94.00M,94.00M,10.00M,,,-358.30M,,,,-75.00M,-83.00M,,,,,1.019B,304.00M,1.323B,,1.649B,,1.649B,,,-53.00M,,,,,,-122.00M,,-2.962B,,4.303B,-1.722B,2.581B,,,56.17B,-54.52B,,,,,,
1997-12,265.00M,,-22.00M,,-65.00M,90.00M,90.00M,40.00M,,,-1.466B,,,,457.00M,-679.00M,,,,,-325.00M,-1.214B,-1.539B,,-1.048B,1.649B,601.00M,,,-280.00M,,,,,,-123.00M,0.00,3.061B,,0.00,843.00M,4.303B,,,111.60B,-112.64B,,,,,,
1997-09,261.60M,,3.00M,,-52.00M,96.00M,96.00M,17.00M,,,92.40M,,,,-163.00M,252.00M,,,,,435.00M,-143.00M,292.00M,,526.00M,-645.00M,-119.00M,,,-98.00M,,,,,,-119.00M,0.00,-760.00M,,0.00,-216.00M,0.00,,,25.50B,-24.97B,,,,,,
1997-06,259.10M,,-14.00M,,-95.00M,87.00M,87.00M,24.00M,,,-102.10M,,,,140.00M,313.00M,,,,,1.289B,-1.505B,-216.00M,,717.00M,-195.00M,522.00M,,,-535.00M,,,,,,-121.00M,300.00M,483.00M,,0.00,580.00M,0.00,,,28.86B,-28.14B,,,,,,
1997-03,266.30M,,-16.00M,,-16.00M,73.00M,73.00M,52.00M,,,131.70M,,,,-434.00M,73.00M,,,,,2.229B,-814.00M,1.415B,,60.00M,-1.11B,-1.05B,,,-464.00M,,,,,,-125.00M,,-2.408B,,4.016B,-920.00M,0.00,,,27.30B,-27.24B,,,,,,
1996-12,271.70M,,-7.00M,,-25.00M,79.00M,79.00M,98.00M,,,-688.70M,,,,256.00M,-9.00M,,,,,-213.00M,-2.894B,-3.107B,,1.647B,1.363B,3.01B,,,92.00M,,,,,,-128.00M,,3.521B,,3.611B,405.00M,0.00,,,30.81B,-29.16B,,,,,,
1996-09,233.90M,,-8.00M,,-34.00M,77.00M,77.00M,28.00M,,,-288.90M,,,,132.00M,148.00M,,,,,2.512B,63.00M,2.575B,,-1.416B,-1.217B,-2.633B,,,-174.00M,,,,,,-120.00M,,-2.344B,,3.232B,379.00M,3.611B,,,25.81B,-27.23B,,,,,,
1996-06,248.10M,,-4.00M,,-49.00M,73.00M,73.00M,27.00M,,,-159.10M,,,,163.00M,303.00M,,,,,496.00M,306.00M,802.00M,,2.81B,-3.019B,-209.00M,,,-32.00M,,,,,,-120.00M,,-1.124B,,0.00,-19.00M,3.232B,,,24.36B,-21.55B,,,,,,
1996-03,238.30M,,-3.00M,,-3.00M,61.00M,61.00M,37.00M,,,-14.30M,,,,-551.00M,-232.00M,,,,,976.00M,309.00M,1.285B,,746.00M,-353.00M,393.00M,,,15.00M,,,,,,-120.00M,,-1.481B,,3.679B,-428.00M,0.00,,,23.48B,-22.74B,,,,,,
1995-12,-3.60M,,289.00M,,212.00M,111.00M,111.00M,49.00M,,,626.60M,,,,,995.00M,,,,,5.338B,-1.237B,4.101B,,-1.474B,-2.721B,-4.195B,,,-18.00M,,,,,,-144.00M,,-4.361B,,2.124B,735.00M,3.679B,,,22.90B,-24.37B,,,,,,
1995-09,149.10M,,0.00,,0.00,73.00M,73.00M,38.00M,,,-243.10M,,,,,17.00M,,,,,1.218B,-554.00M,664.00M,,-624.00M,3.515B,2.891B,,,1.00M,,,,,,-80.00M,-1.977B,-1.169B,,2.612B,-488.00M,2.124B,,,33.00B,-33.63B,,,,,,
1995-06,136.90M,,-8.00M,,1.00M,50.00M,50.00M,12.00M,,,-360.90M,,,,,-161.00M,,,,,3.175B,-3.35B,-175.00M,,-2.577B,-650.00M,-3.227B,,,-42.00M,,,,,,-81.00M,1.634B,249.00M,,2.699B,-87.00M,2.612B,,,2.711B,-5.288B,,,,,,
1995-03,125.70M,,-1.00M,,-10.00M,62.00M,62.00M,29.00M,,,62.30M,,,,,269.00M,,,,,-1.583B,4.028B,2.445B,,-910.00M,,-910.00M,,,-89.00M,,,,,,-82.00M,343.50M,-2.607B,,2.592B,107.00M,2.699B,,,57.00B,-57.91B,,,,,,
1994-12,28.60M,,121.00M,,134.00M,61.00M,61.00M,62.00M,,,-111.60M,,,,,174.00M,,,,,234.90M,-216.90M,18.00M,,1.06B,-635.00M,425.00M,,,-48.00M,,,,,,-82.00M,-1.278B,462.00M,,1.938B,654.00M,2.592B,,,31.91B,-30.85B,,,,,,
1994-09,188.00M,,44.00M,,24.00M,59.00M,59.00M,-27.00M,,,854.00M,,,,-571.00M,527.00M,,,,,1.124B,-1.615B,-491.00M,,-1.898B,699.00M,-1.199B,,,-11.00M,,,,,,-75.00M,575.00M,-87.00M,,1.989B,-51.00M,1.938B,,,33.10B,-35.00B,,,,,,
1994-06,187.80M,,0.00,,-35.00M,70.00M,70.00M,5.00M,,,-67.80M,,,,611.00M,771.00M,,,,,-1.747B,-513.00M,-2.26B,,2.038B,731.00M,2.769B,,,10.00M,,,,,,-77.00M,85.00M,942.00M,,2.536B,-547.00M,1.989B,,,28.11B,-26.07B,,,,,,
1994-03,205.70M,,-30.00M,,-49.00M,56.00M,56.00M,-8.00M,,,-132.70M,,,,-40.00M,32.00M,,,,,352.00M,441.00M,793.00M,,1.207B,-83.00M,1.124B,,,4.00M,,,,,,-75.00M,-480.00M,-106.00M,,1.817B,719.00M,2.536B,,,26.80B,-25.60B,,,,,,
1993-12,171.50M,,-4.00M,,-7.00M,33.00M,33.00M,0.00,,,-3.760B,,,,23.00M,-3.539B,,,,,5.211B,-3.355B,1.856B,,2.832B,-32.00M,2.80B,,,7.00M,,,,,,-75.00M,-2.521B,1.758B,,0.00,75.00M,1.817B,,,18.78B,-15.94B,,,,,,
1993-09,217.60M,,-72.00M,,-80.00M,21.00M,21.00M,-51.00M,,,2.689B,,,,-23.00M,2.774B,,,,,-1.433B,-1.297B,-2.73B,,1.908B,-29.00M,1.879B,,,6.00M,,,,,,-67.00M,-1.486B,-655.00M,,0.00,-611.00M,0.00,,,18.08B,-16.17B,,,,,,
1993-06,169.20M,,-3.00M,,-4.00M,41.00M,41.00M,11.00M,,,-483.20M,,,,50.00M,-216.00M,,,,,1.666B,-1.653B,13.00M,,3.382B,-375.00M,3.007B,,,7.00M,,,,,,-67.00M,-2.469B,818.00M,,0.00,615.00M,0.00,,,12.50B,-9.117B,,,,,,
1993-03,187.00M,,-109.00M,,-113.00M,53.00M,53.00M,-21.00M,,,1.781B,,,,55.00M,1.942B,,,,,-4.74B,2.571B,-2.169B,,-1.706B,-30.00M,-1.736B,,,14.00M,,,,,,-67.00M,2.936B,-152.00M,,2.116B,-379.00M,0.00,,,7.971B,-9.677B,,,,,,
1992-12,136.90M,,-54.30M,,-58.20M,43.20M,43.20M,-8.20M,,,364.70M,,,,16.40M,494.80M,,,,,-1.039B,-1.109B,-2.148B,,517.00M,389.50M,906.50M,,,24.60M,,,,,,-64.30M,1.002B,2.294B,,0.00,641.40M,0.00,,,8.782B,-8.265B,,,,,,
1992-09,135.00M,,-27.40M,,-37.60M,36.60M,36.60M,-0.30M,,,692.20M,,,,-13.50M,812.40M,,,,,-1.763B,535.50M,-1.227B,,669.50M,219.80M,889.30M,,,3.80M,,,,,,-58.50M,435.90M,-27.00M,,0.00,-441.90M,0.00,,,10.96B,-10.29B,,,,,,
1992-06,129.80M,,-51.40M,,-57.00M,30.90M,30.90M,-18.40M,,,1.919B,,,,-39.50M,1.965B,,,,,-2.300B,-829.50M,-3.129B,,2.925B,-107.70M,2.818B,,,15.90M,,,,,,-58.10M,-396.20M,1.321B,,0.00,156.70M,0.00,,,9.828B,-6.902B,,,,,,
1992-03,127.70M,,-81.00M,,-84.50M,26.30M,26.30M,-9.00M,,,210.90M,,,,49.50M,320.90M,,,,,-1.060B,1.621B,561.30M,,-2.222B,-79.80M,-2.302B,,,16.30M,,,,,,-57.90M,1.984B,-1.223B,,2.101B,-340.70M,0.00,,,6.243B,-8.465B,,,,,,
1991-12,100.60M,,-226.20M,,-232.90M,11.40M,11.40M,19.50M,,,298.00M,,,,-25.40M,171.20M,,-33.00M,-33.00M,,-2.208B,-403.40M,-2.644B,,2.166B,-423.60M,1.742B,,,441.20M,,,,,,-52.00M,164.70M,2.543B,,0.00,69.50M,0.00,,,35.28B,-33.11B,,,,,,
1991-09,107.20M,,-22.90M,,-116.40M,21.50M,21.50M,-2.10M,,,192.70M,,,,8.80M,211.70M,,-43.80M,-43.80M,,-1.387B,1.022B,-409.20M,,8.00M,730.10M,738.10M,,,5.30M,,,,,,-51.90M,56.50M,304.00M,,0.00,106.50M,0.00,,,53.60M,-45.60M,,,,,,
1991-06,93.60M,,-22.90M,,-30.70M,20.30M,20.30M,2.20M,,,280.00M,,,,-9.20M,356.20M,,-14.40M,-14.40M,,-274.90M,978.50M,689.20M,,30.70M,254.40M,285.10M,,,8.40M,,,,,,-51.80M,-353.20M,-989.00M,,0.00,56.60M,0.00,,,211.30M,-180.60M,,,,,,
1991-03,88.40M,,-22.40M,,-32.30M,18.30M,18.30M,1.00M,,,69.40M,,,,-11.10M,133.70M,,-18.30M,-18.30M,,1.721B,1.189B,2.891B,,81.60M,-432.70M,-351.10M,,,9.50M,,,,,,-51.40M,-1.367B,-3.717B,,2.561B,-692.30M,0.00,,,163.20M,-81.60M,,,,,,
1990-12,-168.40M,,-1.70M,,-5.00M,27.40M,27.40M,-93.60M,,,527.90M,,,,-16.60M,271.70M,,-33.70M,-33.70M,,317.40M,-296.50M,-12.80M,,182.20M,-466.00M,-283.80M,,,2.40M,,,,,,-51.20M,-504.20M,296.30M,,0.00,555.20M,0.00,,,325.80M,-143.60M,,,,,,
1990-09,55.90M,,-3.50M,,-17.80M,19.30M,19.30M,-8.90M,,,34.50M,,,,16.00M,99.00M,,29.10M,29.10M,,1.933B,-36.80M,1.925B,,166.40M,-1.095B,-928.40M,,,6.30M,,,,,,-51.10M,-1.118B,-2.221B,,0.00,-197.00M,0.00,,,351.50M,-185.10M,,,,,,
1990-06,108.90M,,-15.60M,,-15.30M,18.20M,18.20M,14.60M,,,204.90M,,,,-6.70M,324.60M,,-54.30M,-54.30M,,-1.013B,-183.10M,-1.251B,,-5.10M,995.50M,990.40M,,,6.30M,,,,,,-50.90M,3.40M,1.199B,,0.00,272.60M,0.00,,,-117.50M,112.40M,,,,,,
1990-03,74.50M,,-5.40M,,5.30M,20.90M,20.90M,2.70M,,,0.10M,,,,70.00M,173.50M,,-33.70M,-33.70M,,-1.550B,-189.40M,-1.773B,,13.30M,40.30M,53.60M,,,16.30M,,,,,,-50.80M,250.70M,937.10M,,2.592B,-662.00M,0.00,,,38.10M,-24.80M,,,,,,
