,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2004-03,1.791B,2.564B,,,,1.777B,,,,,,,,,383.00M,2.23B,334.00M,,,,,,300.00M,108.00M,192.00M,,1.00M,170.00M,226.00M,405.00M,,2004-03,0.60,-0.07,,,2004-03,0.58,0.58,0.51,,2004-03,318.87M,335.30M,0.15,,2004-03,AOR,Restated
2003-12,1.907B,2.668B,,,1.959B,1.959B,,20.00M,,60.00M,-2.369B,,,,2.759B,2.369B,299.00M,,,,60.00M,,337.00M,125.00M,203.00M,-9.00M,1.00M,215.00M,64.26M,387.00M,,2003-12,0.63,0.04,,,2003-12,0.63,0.5123,0.67,,2003-12,320.57M,320.57M,0.15,,2003-12,AOR,
2003-09,1.638B,2.368B,,,1.718B,1.718B,,17.00M,,,-2.102B,,,,2.469B,2.102B,266.00M,,,,,,242.00M,90.00M,143.00M,-9.00M,1.00M,115.00M,203.00M,345.00M,,2003-09,0.45,-0.09,,,2003-09,0.45,0.45,0.36,,2003-09,316.67M,318.60M,0.15,,2003-09,AOR,Restated
2003-06,1.688B,2.412B,,,1.776B,1.776B,,15.00M,,-9.00M,-2.116B,,,,2.441B,2.116B,296.00M,,,,-9.00M,,260.00M,96.00M,155.00M,9.00M,,146.00M,160.68M,375.00M,,2003-06,0.49,-0.03,,,2003-06,0.49,0.5078,0.46,,2003-06,317.39M,318.20M,0.15,,2003-06,AOR,Restated
2003-03,1.658B,2.369B,,,,1.678B,,13.00M,,,,,,,382.00M,2.073B,296.00M,,,,,,268.00M,99.00M,160.00M,-9.00M,1.00M,152.00M,160.00M,364.00M,,2003-03,0.51,-0.03,,,2003-03,0.51,0.51,0.48,,2003-03,314.58M,315.20M,0.15,,2003-03,AOR,Restated
2002-12,-828.00M,999.00M,,,1.601B,1.601B,,,,11.00M,-1.934B,,,,,-333.00M,1.332B,,,,11.00M,,312.00M,116.00M,196.00M,4.00M,1.00M,178.00M,189.09M,1.406B,,2002-12,0.30,0.27,,,2002-12,0.30,0.2783,0.57,,2002-12,318.71M,318.71M,0.15,,2002-12,AOR,Restated
2002-09,2.242B,2.242B,,,1.64B,1.64B,,,,18.00M,-2.003B,,,,,-363.00M,2.605B,,,,18.00M,,215.00M,83.00M,132.00M,10.00M,1.00M,128.00M,120.95M,2.667B,,2002-09,0.47,-0.01,,,2002-09,0.47,0.4301,0.46,,2002-09,277.10M,277.10M,0.225,,2002-09,AOR,
2002-06,1.51B,2.122B,,,1.671B,1.671B,,14.00M,,0.00,-2.076B,,,,2.467B,2.076B,46.00M,,,,,,16.00M,6.00M,0.00,-10.00M,,0.00,0.00,114.00M,,2002-06,0.00,0.00,,,2002-06,0.00,0.00,0.00,,2002-06,271.05M,278.00M,0.225,,2002-06,AOR,
2002-03,1.444B,2.088B,,,1.463B,1.463B,,11.00M,,0.00,-1.878B,,,,2.282B,1.878B,210.00M,,,,,,181.00M,67.00M,103.00M,-10.00M,1.00M,104.00M,104.00M,268.00M,,2002-03,0.38,0.00,,,2002-03,0.37,0.37,0.37,,2002-03,271.05M,276.60M,0.225,,2002-03,AOR,
2001-12,1.268B,1.786B,,,,,,,,,-1.906B,,,,,-12.39B,14.18B,,,,,,57.00M,61.00M,26.00M,70.00M,1.00M,27.00M,26.00M,14.27B,,2001-12,0.10,0.00,,,2001-12,0.09,0.09,0.09,,2001-12,262.12M,273.79M,0.225,,2001-12,AOR,Restated
2001-09,1.297B,1.912B,,,1.384B,1.384B,,40.00M,,-53.00M,-1.695B,,,,1.966B,1.695B,217.00M,,,,-53.00M,,133.00M,51.00M,72.00M,-10.00M,1.00M,72.00M,104.68M,301.00M,,2001-09,0.26,0.00,0.00,,2001-09,0.26,0.3787,0.26,,2001-09,273.08M,275.40M,0.225,,2001-09,AOR,
2001-06,1.347B,1.917B,,,1.523B,1.523B,,39.00M,,0.00,-1.822B,,,,2.082B,1.822B,95.00M,,,,,,64.00M,25.00M,29.00M,-10.00M,,29.00M,29.00M,180.00M,,2001-06,0.11,0.00,0.00,,2001-06,0.11,0.11,0.11,,2001-06,263.64M,270.20M,0.225,,2001-06,AOR,
2001-03,1.281B,1.811B,,,1.396B,1.396B,,39.00M,,0.00,-1.727B,,,,2.019B,1.727B,84.00M,,,,,,48.00M,19.00M,19.00M,-10.00M,1.00M,19.00M,19.00M,167.00M,,2001-03,0.07,0.00,0.00,,2001-03,0.07,0.07,0.07,,2001-03,257.14M,267.90M,0.22,,2001-03,AOR,
2000-12,1.31B,1.905B,,,,,,,,,,,,,,,6.527B,,,,,,,,87.00M,,,83.00M,78.00M,6.614B,,2000-12,0.32,0.02,,,2000-12,0.31,0.31,0.30,,2000-12,269.51M,274.12M,0.22,,2000-12,AOR,Restated
2000-09,1.176B,1.785B,,,,1.208B,,38.00M,,0.00,-1.503B,,,,1.76B,1.503B,282.00M,,,,,,244.00M,95.00M,138.00M,-10.00M,1.00M,139.00M,139.00M,363.00M,,2000-09,0.53,0.00,,,2000-09,0.53,0.53,0.53,,2000-09,260.38M,262.80M,0.22,,2000-09,AOR,
2000-06,1.203B,1.819B,,,,1.262B,,39.00M,,0.00,-1.558B,,,,1.815B,1.558B,261.00M,,,,,,228.00M,89.00M,129.00M,-10.00M,,129.00M,129.00M,344.00M,,2000-06,0.50,0.00,,,2000-06,0.49,0.49,0.49,,2000-06,258.00M,261.70M,0.22,,2000-06,AOR,
2000-03,1.205B,1.81B,,,,1.271B,,38.00M,,0.00,-1.561B,,,,1.813B,1.561B,249.00M,,,,,,218.00M,85.00M,122.00M,-10.00M,1.00M,123.00M,123.00M,331.00M,,2000-03,0.47,0.00,,,2000-03,0.47,0.47,0.47,,2000-03,259.57M,260.50M,0.21,,2000-03,AOR,
1999-12,-553.00M,1.878B,,,,,,,,,,,,,,10.85B,-8.975B,,,,,,70.00M,17.00M,13.00M,-70.00M,,13.00M,13.00M,-8.975B,,1999-12,0.05,0.00,,,1999-12,0.05,0.05,0.05,,1999-12,257.07M,261.80M,0.21,,1999-12,AOR,Restated
1999-09,1.77B,1.77B,,,,,,,,,-1.502B,,,,,-1.502B,3.272B,,,,,,229.00M,91.00M,138.00M,10.00M,1.00M,138.00M,138.00M,3.272B,,1999-09,0.53,0.00,,,1999-09,0.52,0.52,0.52,,1999-09,260.00M,264.00M,0.21,,1999-09,,
1999-06,1.723B,1.723B,,,,,,,,,-1.439B,,,,,-1.439B,3.162B,,,,,,250.00M,99.00M,151.00M,10.00M,1.00M,151.00M,151.00M,3.162B,,1999-06,0.58,0.00,,,1999-06,0.57,0.57,0.57,,1999-06,263.70M,263.70M,0.2067,,1999-06,,
1999-03,1.699B,1.699B,,,,,,,,,-1.582B,,,,,-1.582B,3.281B,,,,,,86.00M,36.00M,50.00M,10.00M,1.00M,50.00M,50.00M,3.281B,,1999-03,0.19,0.00,,,1999-03,0.19,0.19,0.19,,1999-03,261.80M,261.80M,0.1867,,1999-03,,
1998-12,-594.00M,1.702B,,,,,,,,,-1.44B,,,,,9.51B,-7.808B,,,,,,270.00M,90.00M,139.00M,-72.00M,1.00M,139.00M,139.00M,-7.808B,,1998-12,0.54,0.00,,,1998-12,0.54,0.54,0.54,,1998-12,243.21M,255.12M,0.1867,,1998-12,AOR,Restated
1998-09,1.607B,1.607B,,,,,,,,,-1.369B,,,,,-1.369B,2.976B,,,,,,204.00M,80.00M,124.00M,11.00M,1.00M,124.00M,124.00M,2.976B,,1998-09,0.48,0.00,,,1998-09,0.47,0.47,0.47,,1998-09,260.90M,260.90M,0.1867,,1998-09,,
1998-06,1.623B,1.623B,,,,,,,,,-1.362B,,,,,-1.362B,2.985B,,,,,,230.00M,90.00M,140.00M,10.00M,1.00M,140.00M,140.00M,2.985B,,1998-06,0.55,0.00,,,1998-06,0.54,0.54,0.54,,1998-06,258.30M,258.30M,0.1867,,1998-06,,
