,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2006-09,48.82M,,,,2.194M,2.637M,6.703M,9.34M,9.34M,-26.00M,,,,,,5.388M,-7.086M,1.004M,0.483M,,,-4.901M,34.84M,,2006-09,-3.34M,,-3.34M,,0.00,3.493M,40.24M,,2006-09,,,300.00M,2.941M,-129.95M,-127.00M,,-58.60M,,2006-09,118.77M,189.47M,308.67M,,2006-09,2.941M,,,-129.95M,,,2006-09,,
2006-06,12.52M,,,,-2.898M,2.555M,6.511M,9.066M,9.066M,1.113M,,,,,,7.945M,-17.21M,0.192M,14.19M,,0.316M,-2.641M,25.10M,,2006-06,-4.213M,,-4.213M,,-1.894M,-0.283M,6.448M,,2006-06,,,,5.509M,-0.063M,5.446M,,-1.581M,,2006-06,81.91M,35.42M,118.77M,,2006-06,5.509M,,,-0.063M,,,2006-06,,
2006-03,-0.099M,,,,3.719M,2.359M,6.286M,8.645M,8.645M,-1.217M,,,,,,,-4.197M,-3.346M,17.16M,,-0.316M,9.299M,20.35M,,2006-03,-2.075M,,-2.075M,,-1.21M,1.328M,-14.71M,,2006-03,,,,1.142M,-5.616M,-4.474M,,,,2006-03,80.34M,1.159M,81.91M,,2006-03,1.142M,,,-5.616M,,,2006-03,,
2005-12,3.79M,,,,1.647M,2.242M,6.227M,8.469M,8.469M,0.939M,,,,,,,5.237M,0.843M,-12.46M,,,-1.308M,13.54M,,2005-12,-2.996M,,-2.996M,,-1.358M,0.295M,-23.83M,,2005-12,,,,22.13M,,9.977M,,-18.71M,,2005-12,100.09M,-19.02M,80.34M,,2005-12,22.13M,,,,,,2005-12,,
2005-09,171.57M,,,,3.287M,2.12M,6.249M,8.369M,8.369M,-161.18M,,,,,,,2.091M,1.313M,-10.92M,,,-9.608M,12.44M,,2005-09,-1.831M,,-1.831M,,-133.80M,0.422M,-50.37M,,2005-09,,,,0.534M,,0.534M,,18.71M,,2005-09,118.27M,-18.68M,100.09M,,2005-09,0.534M,,,,,,2005-09,,
2005-06,12.38M,,,,1.43M,2.017M,3.754M,5.771M,5.771M,0.364M,,,,,,,-7.408M,-1.555M,-0.164M,,0.955M,-5.972M,13.97M,,2005-06,-2.061M,,-2.061M,,1.00M,0.797M,4.329M,,2005-06,,,,1.562M,,1.562M,,,,2005-06,100.07M,19.86M,118.27M,,2005-06,1.562M,,,,,,2005-06,,
2005-03,4.992M,,,,1.239M,2.289M,3.88M,6.169M,6.169M,-0.745M,,,,,,,-8.259M,0.207M,20.04M,,-0.955M,11.04M,22.69M,,2005-03,-4.142M,,-4.142M,,-1.00M,-0.288M,-24.62M,,2005-03,,,,1.143M,,1.143M,,,,2005-03,101.27M,-0.782M,100.07M,,2005-03,1.143M,,,,,,2005-03,,
2004-12,5.001M,,,,1.35M,5.255M,-0.021M,5.234M,5.234M,,,,,,,,6.318M,1.276M,-12.03M,,,-4.599M,5.728M,,2004-12,-1.988M,0.00,-1.988M,,,161.09M,15.74M,,2004-12,,,0.00,4.572M,,4.572M,,-3.684M,,2004-12,77.28M,22.36M,101.27M,,2004-12,4.572M,,,,,,2004-12,AOR,
2004-09,10.00M,,,,1.035M,1.574M,2.702M,4.276M,4.276M,,,,,,,,4.475M,-0.157M,-4.00M,,,0.146M,15.46M,,2004-09,-2.454M,0.00,-2.454M,,,-157.50M,-97.96M,,2004-09,,,0.00,0.099M,,0.099M,,3.39M,,2004-09,156.31M,-79.01M,77.28M,,2004-09,0.099M,,,,,,2004-09,,
2004-06,11.40M,,,,0.704M,0.216M,3.394M,3.61M,3.61M,,,,,,,,-4.741M,-2.689M,2.134M,,,-5.552M,10.16M,,2004-06,-1.255M,0.00,-1.255M,,,-3.586M,-132.21M,,2004-06,,,100.05M,5.353M,,5.353M,,-3.055M,,2004-06,176.09M,-19.70M,156.31M,,2004-06,5.353M,,,,,,2004-06,,
2004-03,5.103M,,,,0.251M,2.078M,0.358M,2.436M,2.436M,,,,,,,,-8.295M,1.343M,9.492M,,,2.876M,10.67M,,2004-03,-1.247M,0.007M,-1.24M,,,0.101M,71.02M,,2004-03,,,-0.051M,0.564M,,0.564M,,,,2004-03,93.73M,82.20M,176.09M,,2004-03,0.564M,,,,,,2004-03,,
2003-12,2.228M,,,,-8.81M,5.997M,-3.808M,2.189M,2.189M,,,,,,,5.653M,8.083M,1.959M,-13.81M,,,-2.749M,0.952M,,2003-12,-2.14M,,-2.14M,,,9.961M,-10.47M,,2003-12,,,0.00,-10.24M,,-22.46M,,-0.221M,,2003-12,115.30M,-21.89M,93.73M,,2003-12,-10.24M,,,,,,2003-12,,Restated
2003-09,9.73M,,,,-0.804M,5.083M,4.261M,2.645M,2.645M,,,,,,,1.267M,4.277M,1.421M,-6.503M,,-0.919M,-1.724M,11.11M,,2003-09,-2.854M,,-2.854M,,,-2.512M,-91.49M,,2003-09,,,125.00M,5.563M,,5.563M,,-4.038M,,2003-09,69.29M,46.15M,115.30M,,2003-09,5.563M,,,,,,2003-09,,
2003-06,7.689M,,,,-0.028M,,,2.787M,2.787M,,,,,,,,-8.466M,-1.915M,8.311M,,0.919M,-1.641M,8.807M,,2003-06,-1.104M,,-1.104M,,,-4.256M,3.221M,,2003-06,,,,4.663M,,4.663M,,,,2003-06,52.56M,16.69M,69.29M,,2003-06,4.663M,,,,,,2003-06,,
2003-03,-7.731M,,,,7.311M,,,3.912M,3.912M,,,,,,,,-3.143M,0.105M,-1.784M,,,-4.332M,-0.84M,,2003-03,-0.484M,,-0.484M,,,-7.43M,-13.95M,,2003-03,,,,0.014M,,0.014M,,,,2003-03,67.18M,-14.78M,52.56M,,2003-03,0.014M,,,,,,2003-03,,
2002-12,-7.411M,,,,-23.72M,,,4.466M,4.466M,,,,,,,25.04M,0.727M,2.759M,-5.285M,,,-2.60M,-1.183M,,2002-12,-1.719M,0.001M,-1.718M,,,-0.074M,1.532M,,2002-12,,,,-3.165M,0.00,-3.165M,,,,2002-12,66.86M,0.355M,67.18M,,2002-12,-3.165M,,,0.00,,,2002-12,,Restated
2002-09,-23.82M,,,,23.95M,,,4.85M,4.85M,,,,,,,-0.807M,5.042M,-1.454M,-21.64M,,-0.927M,-18.98M,-14.81M,,2002-09,-3.101M,0.196M,-2.905M,,,3.239M,-4.686M,,2002-09,,,,0.134M,-11.78M,-11.64M,,,,2002-09,98.14M,-31.14M,66.86M,,2002-09,0.134M,,,-11.78M,,,2002-09,,
2002-06,6.309M,,,,0.298M,,,4.49M,4.49M,,,,,,,,-2.302M,-0.79M,-4.515M,,0.927M,-8.366M,2.731M,,2002-06,-1.157M,0.033M,-1.124M,,,-2.119M,2.626M,,2002-06,,,,0.768M,,0.768M,,,,2002-06,92.05M,6.125M,98.14M,,2002-06,0.768M,,,,,,2002-06,,
2002-03,5.741M,,,,-0.556M,,,4.459M,4.459M,,,,,,,,-4.489M,-1.324M,8.558M,,,4.431M,14.08M,,2002-03,-3.15M,,-3.15M,,,-2.058M,-24.27M,,2002-03,,,,2.263M,,2.263M,,,,2002-03,99.94M,-7.928M,92.05M,,2002-03,2.263M,,,,,,2002-03,,
2001-12,-1.322M,,,,20.32M,-12.34M,-9.274M,-5.037M,-5.037M,,,,,,,,-0.363M,-0.161M,9.179M,,-0.541M,8.114M,22.90M,,2001-12,-1.221M,,-1.051M,,,-15.34M,-20.17M,,2001-12,,,,2.488M,,-6.228M,,4.431M,,2001-12,99.01M,0.93M,99.94M,,2001-12,2.488M,,,,,,2001-12,,
2001-09,4.977M,,,,7.626M,4.195M,0.765M,4.96M,4.96M,,,,,,,,-1.279M,1.228M,-36.97M,,3.425M,-33.59M,-16.03M,,2001-09,-2.394M,,-2.394M,,,3.969M,-13.49M,,2001-09,,,,4.247M,,4.247M,,0.00,,2001-09,124.28M,-25.27M,99.01M,,2001-09,4.247M,,,,,,2001-09,,
2001-06,2.816M,,,,7.743M,4.047M,3.661M,7.708M,7.708M,,,,,,,,-9.754M,-0.971M,22.96M,,-3.014M,9.22M,27.49M,,2001-06,-2.984M,,-2.984M,,,6.499M,-0.524M,,2001-06,,,,3.054M,,3.054M,,-4.431M,,2001-06,98.70M,25.59M,124.28M,,2001-06,3.054M,,,,,,2001-06,,
2001-03,-13.77M,,,,2.882M,4.099M,4.848M,8.947M,8.947M,,,,,,,,-8.372M,0.603M,3.327M,,0.13M,-4.312M,-6.257M,,2001-03,-2.816M,,-2.816M,,,-3.946M,-22.00M,,2001-03,,,,49.93M,,49.93M,,,,2001-03,77.02M,21.67M,98.70M,,2001-03,49.93M,,,,,,2001-03,,
2000-12,-105.14M,,,,34.34M,,,6.674M,6.674M,,,,,,,,23.60M,,6.381M,1.608M,-0.21M,31.38M,-32.74M,,2000-12,-8.358M,,-8.358M,,,3.849M,13.60M,,2000-12,,,0.021M,0.432M,,0.432M,,,,2000-12,104.50M,-18.69M,77.02M,,2000-12,0.432M,,,,,,2000-12,,
2000-09,-191.92M,,,,189.60M,,,4.462M,4.462M,,,,,,,-1.652M,13.52M,,-12.52M,6.047M,1.486M,8.529M,9.016M,,2000-09,-9.119M,,-9.119M,,,-9.598M,-1.219M,,2000-09,,,-0.007M,1.277M,,1.277M,,,,2000-09,95.43M,9.067M,104.50M,,2000-09,1.277M,,,,,,2000-09,,
2000-06,-4.521M,,,,1.067M,,,3.577M,3.577M,,,,,,,1.652M,7.024M,,16.11M,-12.40M,-3.027M,7.712M,9.487M,,2000-06,-8.047M,,-8.047M,,,-24.71M,-42.00M,,2000-06,,,-0.008M,2.10M,,2.10M,,,,2000-06,125.86M,-30.42M,95.43M,,2000-06,2.10M,,,,,,2000-06,,
2000-03,-13.57M,,,,1.495M,,,2.672M,2.672M,,,,,,,,-36.74M,,35.18M,2.453M,3.027M,3.918M,-5.482M,,2000-03,-11.80M,,-11.80M,,,,-12.05M,,2000-03,,,-0.006M,10.22M,,10.22M,,,,2000-03,133.17M,-7.317M,125.86M,,2000-03,10.22M,,,,,,2000-03,,
1999-12,-921.50M,,,,911.50M,,,1.80M,1.80M,,,,,,,,8.40M,,-4.50M,-7.50M,-1.00M,-4.60M,-12.80M,,1999-12,-9.40M,,-9.40M,,,0.00,29.20M,,1999-12,,,0.00,1.30M,,1.30M,,,,1999-12,115.50M,17.70M,133.20M,,1999-12,1.30M,,,,,,1999-12,,
1999-09,-102.20M,,,,89.50M,,,1.60M,1.60M,,,,,,,1.10M,-12.30M,,9.30M,-1.10M,-2.30M,-6.40M,-16.40M,,1999-09,-6.70M,,-6.70M,,,-2.00M,-76.80M,,1999-09,,,0.00,65.90M,,65.90M,,,,1999-09,142.80M,-27.30M,115.50M,,1999-09,65.90M,,,,,,1999-09,,
1999-06,-14.20M,,,,1.40M,,,1.20M,1.20M,,,,,,,-1.20M,-19.10M,,15.90M,-2.10M,1.40M,-3.90M,-16.70M,,1999-06,-6.50M,,-6.50M,,,,-15.80M,,1999-06,,,-1.00M,144.60M,,144.60M,,1.00M,,1999-06,30.60M,112.10M,142.80M,,1999-06,144.60M,,,,,,1999-06,,
1999-03,-17.20M,,,,0.80M,,,0.70M,0.70M,,,,,,,0.10M,-6.60M,,7.80M,-1.30M,-1.40M,-1.50M,-17.10M,,1999-03,-4.80M,,-4.80M,,,,-4.80M,,1999-03,,,,,,,,-1.00M,,1999-03,53.60M,-22.90M,30.60M,,1999-03,,,,,,,1999-03,,
