,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2001-09,301.99M,301.99M,251.56M,50.43M,,,37.39M,10.16M,,,,,,,47.55M,2.881M,,,,0.034M,,,,4.977M,,4.977M,7.841M,4.96M,2.881M,,0.00,-0.1200,-0.1200,,2001-09,-0.1200,-0.1200,,36.03M,,2001-09,,
2001-06,364.76M,364.76M,304.65M,60.11M,,,43.80M,9.892M,,-5.412M,,,,5.412M,59.11M,1.00M,,,,-5.412M,,,,2.816M,,6.063M,8.708M,7.708M,1.00M,,0.00,0.1591,0.0600,,2001-06,0.1485,0.0600,,36.68M,,2001-06,,
2001-03,269.70M,269.70M,222.49M,47.21M,,,45.21M,11.11M,,-2.346M,,,,-4.099M,56.32M,-9.105M,,,,-2.346M,,,,-13.77M,,-12.37M,-0.158M,8.947M,-9.105M,,0.00,-0.3751,-0.4199,,2001-03,-0.3751,-0.4199,,31.44M,,2001-03,,
2000-12,228.17M,228.17M,186.82M,41.35M,,,87.76M,,,-78.02M,,,,,70.45M,-29.10M,,,,-78.02M,,,,-105.14M,,-58.33M,-22.43M,6.674M,-29.10M,,0.00,-2.054,-3.719,,2000-12,-2.174,-3.719,,30.30M,,2000-12,,
2000-09,341.33M,341.33M,282.82M,58.52M,,,47.85M,11.42M,,-188.97M,,,,,63.73M,-5.218M,,,,-188.97M,,,,-191.92M,,-78.54M,-0.756M,4.462M,-5.218M,,0.00,-3.067,-7.139,,2000-09,-3.067,-7.139,,27.85M,,2000-09,,
2000-06,352.10M,352.10M,293.72M,58.37M,,,55.35M,6.695M,,,,,,,65.62M,-7.246M,,,,,,,,-4.521M,,-4.521M,-3.669M,3.577M,-7.246M,,0.00,-0.4199,-0.4199,,2000-06,-0.4199,-0.4199,,27.57M,,2000-06,,
2000-03,313.80M,313.80M,262.48M,51.32M,,,59.06M,5.868M,,,,,,,67.60M,-16.28M,,,,,,,,-13.57M,,-13.57M,-13.61M,2.672M,-16.28M,,0.00,-0.4799,-0.4799,,2000-03,-0.4799,-0.4799,,27.75M,,2000-03,,
1999-12,169.20M,169.20M,143.70M,25.50M,,,33.40M,3.80M,,-910.80M,,,,,39.00M,-13.50M,,,,-910.80M,,,,-921.50M,,-375.02M,-11.70M,1.80M,-13.50M,,0.00,-18.76,-41.27,,1999-12,-18.76,-41.27,,24.28M,,1999-12,,
1999-09,152.20M,152.20M,132.40M,19.80M,,,29.80M,4.60M,,-86.00M,,,,,36.00M,-16.20M,,,,-86.00M,,,,-102.20M,,-50.60M,-14.60M,1.60M,-16.20M,,0.00,-2.109,-4.26,,1999-09,-2.109,-4.26,,23.99M,,1999-09,,
1999-06,111.60M,111.60M,99.80M,11.80M,,,23.20M,3.40M,,1.90M,,,,,27.80M,-16.00M,,,,1.90M,,,,-14.30M,,-15.44M,-14.80M,1.20M,-16.00M,,0.00,-0.6478,-0.60,,1999-06,-0.6478,-0.60,,23.83M,,1999-06,,
1999-03,49.41M,49.41M,43.30M,6.111M,,,20.80M,2.20M,,0.50M,,,,,23.70M,-17.59M,,,,0.50M,,,,-17.20M,,-17.50M,-16.89M,0.70M,-17.59M,,0.00,-1.633,-1.62,,1999-03,-1.633,-1.62,,23.72M,,1999-03,,
