,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1998-06,675.00M,675.00M,16.00M,294.00M,310.00M,,,310.00M,,182.00M,164.00M,55.00M,109.00M,,,,,109.00M,109.00M,79.00M,532.00M,,0.335,0.00,,0.335,0.335,,0.33,0.00,,0.33,0.33,,322.32M,329.05M,0.065,,,
1998-03,639.00M,639.00M,13.00M,266.00M,279.00M,,,279.00M,,176.00M,160.00M,54.00M,106.00M,,,,,106.00M,106.00M,85.00M,481.00M,,0.33,0.00,,0.33,0.33,,0.32,0.00,,0.32,0.32,,321.74M,328.20M,0.06,,,
1997-12,626.00M,626.00M,11.00M,269.00M,280.00M,,,280.00M,,173.00M,147.00M,47.00M,100.00M,,,,,100.00M,100.00M,95.00M,454.00M,,0.315,0.00,,0.315,0.315,,0.305,0.00,,0.305,0.305,,321.00M,328.02M,0.06,,,
1997-09,606.00M,606.00M,13.00M,250.00M,263.00M,,,263.00M,,164.00M,150.00M,49.00M,101.00M,,,,,101.00M,101.00M,26.00M,438.00M,,0.315,0.00,,0.315,0.315,,0.31,0.00,,0.31,0.31,,320.74M,327.70M,0.055,,,
1997-06,558.00M,558.00M,13.00M,235.00M,248.00M,,,248.00M,,154.00M,136.00M,44.00M,92.00M,,,,,92.00M,92.00M,73.00M,407.00M,,0.285,0.00,,0.285,0.285,,0.28,0.00,,0.28,0.28,,320.88M,326.78M,0.055,,,
1997-03,524.00M,524.00M,11.00M,219.00M,230.00M,,,230.00M,,150.00M,130.00M,44.00M,86.00M,,,,,86.00M,86.00M,61.00M,378.00M,,0.27,0.00,,0.27,0.27,,0.265,0.00,,0.265,0.265,,322.67M,328.42M,0.05,,,
1996-12,495.00M,495.00M,,211.00M,245.00M,,,245.00M,,147.00M,117.00M,39.00M,78.00M,,,,,78.00M,78.00M,42.00M,356.00M,,0.2325,0.00,,0.2325,0.2325,,0.2325,0.00,,0.2325,0.2325,,336.20M,336.20M,0.05,,,
1996-09,463.00M,463.00M,,194.00M,194.00M,,,194.00M,,139.00M,111.00M,37.00M,74.00M,,,,,74.00M,74.00M,40.00M,341.00M,,0.23,0.00,,0.23,0.23,,0.225,0.00,,0.225,0.225,,321.74M,328.89M,0.0475,,,
1996-06,457.00M,457.00M,,189.00M,189.00M,,,189.00M,,134.00M,111.00M,39.00M,72.00M,,,,,72.00M,72.00M,17.80M,319.00M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,327.27M,327.27M,0.0475,,,
1996-03,437.90M,437.90M,,181.00M,181.00M,,,181.00M,,131.20M,108.00M,38.20M,69.80M,,,,,69.80M,69.80M,113.20M,322.80M,,0.215,0.00,,0.215,0.215,,0.21,0.00,,0.21,0.21,,324.65M,332.38M,0.045,,,
1995-12,411.00M,411.00M,,175.70M,175.70M,,,175.70M,,114.10M,99.80M,34.30M,65.50M,,,,,65.50M,65.50M,16.50M,332.10M,,0.195,0.00,,0.195,0.195,,0.1925,0.00,,0.1925,0.1925,,338.38M,341.85M,0.045,,,
1995-09,392.80M,392.80M,,165.00M,165.00M,,,165.00M,,109.00M,90.00M,25.40M,64.60M,,,,,64.60M,64.60M,,322.30M,,0.195,0.00,,0.195,0.195,,0.195,0.00,,0.195,0.195,,331.28M,331.28M,0.0425,,,
1995-06,382.50M,382.50M,,159.40M,159.40M,,,159.40M,,105.80M,91.40M,28.70M,62.70M,,,,,62.70M,62.70M,,315.70M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,330.00M,330.00M,0.0425,,,
1995-03,362.30M,362.30M,,150.50M,150.50M,,,150.50M,,100.50M,85.30M,31.00M,54.30M,,,,,54.30M,54.30M,,303.60M,,0.165,0.00,,0.165,0.165,,0.165,0.00,,0.165,0.165,,329.09M,329.09M,0.04,,,
1994-12,341.40M,341.40M,,148.30M,148.30M,,,148.30M,,93.70M,80.80M,27.90M,52.90M,,,,,52.90M,52.90M,,262.50M,,0.165,0.00,,0.165,0.165,,0.16,0.00,,0.16,0.16,,400.57M,410.66M,0.04,,,
1994-09,337.00M,337.00M,,144.10M,144.10M,,,144.10M,,93.00M,79.50M,27.70M,51.80M,,,,,51.80M,51.80M,,222.10M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,304.71M,304.71M,0.0375,,,
1994-06,332.20M,332.20M,27.80M,139.20M,167.00M,,,167.00M,,91.60M,78.50M,27.50M,51.00M,,,,,51.00M,51.00M,,189.00M,,0.165,0.00,,0.165,0.165,,0.165,0.00,,0.165,0.165,,309.09M,309.09M,0.0375,,,
1994-03,337.40M,337.40M,,139.40M,139.40M,,,139.40M,,88.70M,81.20M,29.90M,51.30M,,,,,51.30M,51.30M,,184.50M,,0.17,0.00,,0.17,0.17,,0.165,0.00,,0.165,0.165,,301.76M,310.91M,0.035,,,
1993-12,305.60M,305.60M,,130.10M,130.10M,,,130.10M,,82.90M,73.60M,25.90M,47.70M,,,,,47.70M,47.70M,,177.60M,,0.145,0.00,,0.145,0.145,,0.14,0.00,,0.14,0.14,,328.97M,340.13M,0.035,,,
1993-09,294.40M,294.40M,,122.10M,122.10M,,,122.10M,,83.00M,73.20M,26.90M,46.30M,,,,,46.30M,46.30M,,167.00M,,0.155,0.00,,0.155,0.155,,0.15,0.00,,0.15,0.15,,298.71M,308.67M,0.0325,,,
1993-06,280.80M,280.80M,,115.70M,115.70M,,,115.70M,,75.50M,66.30M,23.10M,43.20M,,,,,43.20M,43.20M,,162.60M,,0.145,0.00,,0.145,0.145,,0.14,0.00,,0.14,0.14,,297.93M,308.57M,0.0325,,,
1993-03,270.20M,270.20M,,111.40M,111.40M,,,111.40M,,76.20M,64.50M,21.80M,42.70M,,,,,42.70M,42.70M,,151.70M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,305.00M,305.00M,0.03,,,
1992-12,258.60M,258.60M,,108.50M,108.50M,,,108.50M,,74.80M,67.20M,23.60M,43.60M,,,,,43.60M,43.60M,,161.80M,,0.14,0.00,,0.14,0.14,,0.13,0.00,,0.13,0.13,,311.97M,335.93M,0.03,,,
1992-09,253.60M,253.60M,,107.40M,107.40M,,,107.40M,,71.60M,68.00M,26.10M,41.90M,,,,,41.90M,41.90M,,175.80M,,0.14,0.00,,0.14,0.14,,0.135,0.00,,0.135,0.135,,299.29M,310.37M,0.0275,,,
1992-06,238.10M,238.10M,,98.60M,98.60M,,,98.60M,,68.50M,61.00M,22.30M,38.70M,,,,,38.70M,38.70M,,176.10M,,0.13,0.00,,0.13,0.13,,0.125,0.00,,0.125,0.125,,297.69M,309.60M,0.0275,,,
1992-03,235.00M,235.00M,,95.40M,95.40M,,,95.40M,,67.50M,60.20M,24.00M,36.20M,,,,,36.20M,36.20M,15.40M,174.70M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,301.67M,301.67M,0.0263,,,
1991-12,217.70M,217.70M,,88.00M,88.00M,,,88.00M,,64.70M,44.40M,16.10M,28.30M,,,,,28.30M,28.30M,-27.50M,165.70M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,310.28M,312.29M,0.0263,,,
1991-09,206.90M,206.90M,,84.20M,84.20M,,,84.20M,,69.10M,41.80M,14.50M,27.30M,,,,,27.30M,27.30M,69.70M,156.10M,,0.095,0.00,,0.095,0.095,,0.09,0.00,,0.09,0.09,,287.37M,303.33M,0.0238,,,
1991-06,209.20M,209.20M,,83.60M,83.60M,,,83.60M,,68.50M,42.30M,16.00M,26.30M,,,,,26.30M,26.30M,10.10M,152.70M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,292.22M,292.22M,0.0238,,,
1991-03,259.90M,259.90M,,81.00M,81.00M,,,81.00M,,71.30M,96.70M,39.20M,57.50M,,,,,57.50M,57.50M,3.90M,214.90M,,0.195,0.00,,0.195,0.195,,0.19,0.00,,0.19,0.19,,294.87M,302.63M,0.0225,,,
1990-12,206.20M,206.20M,,77.80M,77.80M,,,77.80M,,74.00M,48.80M,17.50M,31.30M,,,,,31.30M,31.30M,31.10M,198.70M,,0.105,0.00,,0.105,0.105,,0.105,0.00,,0.105,0.105,,298.42M,298.42M,0.0225,,,
1990-09,195.30M,195.30M,,75.10M,75.10M,,,75.10M,,67.90M,47.50M,17.60M,29.90M,,,,,29.90M,29.90M,25.10M,190.00M,,0.105,0.00,,0.105,0.105,,0.10,0.00,,0.10,0.10,,284.76M,299.00M,0.0213,,,
1990-06,189.30M,189.30M,,75.50M,75.50M,,,75.50M,,64.90M,43.90M,15.40M,28.50M,,,,,28.50M,28.50M,17.50M,177.30M,,0.10,0.00,,0.10,0.10,,0.095,0.00,,0.095,0.095,,285.00M,300.00M,0.0213,,,
1990-03,182.90M,182.90M,,71.60M,71.60M,,,71.60M,,64.00M,43.20M,15.60M,27.60M,,,,,27.60M,27.60M,15.50M,164.00M,,0.095,0.00,,0.095,0.095,,0.095,0.00,,0.095,0.095,,290.53M,290.53M,0.02,,,
1989-12,178.80M,178.80M,,68.60M,68.60M,,,68.60M,,59.40M,43.80M,15.80M,28.00M,,,,,28.00M,28.00M,49.40M,163.50M,,0.095,0.00,,0.095,0.095,,0.09,0.00,,0.09,0.09,,294.91M,311.68M,0.02,,,
1989-09,168.30M,168.30M,,67.60M,67.60M,,,67.60M,,54.50M,42.70M,15.70M,27.00M,,,,,27.00M,27.00M,5.00M,151.00M,,0.095,0.00,,0.095,0.095,,0.09,0.00,,0.09,0.09,,284.21M,300.00M,0.0188,,,
1989-06,160.10M,160.10M,,65.20M,65.20M,,,65.20M,,51.40M,38.90M,14.00M,24.90M,,,,,24.90M,24.90M,,146.90M,,0.085,0.00,,0.085,0.085,,0.085,0.00,,0.085,0.085,,292.94M,292.94M,0.0188,,,
1989-03,,,,,,,,,,,,,24.00M,,,,,24.00M,,,,,0.085,0.00,,0.085,0.085,,0.08,0.00,,0.08,0.08,,279.48M,279.48M,0.0175,,,
1988-12,,,,,,,,,,,,,24.20M,,,,,24.20M,,,,,,,,,,,,,,,,,280.19M,280.19M,0.0175,,,
1988-09,,,,,,,,,,,,,23.80M,,,,,23.80M,,,,,0.085,0.00,,0.085,0.085,,0.08,0.00,,0.08,0.08,,285.69M,285.69M,0.0163,,,
1988-06,,,,,,,,,,,,,22.80M,,,,,22.80M,,,,,0.08,0.00,,0.08,0.08,,0.075,0.00,,0.075,0.075,,294.09M,294.09M,,,,
1988-03,,,,,,,,,,,,,21.50M,,,,,21.50M,,,,,0.075,0.00,,0.075,0.075,,0.07,0.00,,0.07,0.07,,292.21M,292.21M,0.015,,,
1987-12,,,,,,,,,,,,,22.40M,,,,,22.40M,,,,,,,,,,,,,,,,,298.10M,298.10M,0.015,,,
1987-09,,,,,,,,,,,,,20.80M,,,,,20.80M,,,,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,291.45M,291.45M,0.0138,,,
1987-06,,,,,,,,,,,,,20.00M,,,,,20.00M,,,,,0.07,0.00,,0.07,0.07,,0.065,0.00,,0.065,0.065,,281.06M,281.06M,,,,
1987-03,,,,,,,,,,,,,19.90M,,,,,19.90M,,,,,0.07,0.00,,0.07,0.07,,0.065,0.00,,0.065,0.065,,277.44M,277.44M,0.0125,,,
1986-12,,,,,,,,,,,,,21.70M,,,,,21.70M,,,,,,,,,,,,,,,,,280.62M,280.62M,0.0125,,,
1986-09,,,,,,,,,,,,,17.30M,,,,,17.30M,,,,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,277.44M,277.44M,0.0113,,,
1986-06,,,,,,,,,,,,,16.20M,,,,,16.20M,,,,,0.115,0.00,,0.115,0.115,,0.115,0.00,,0.115,0.115,,277.28M,277.28M,,,,
1986-03,,,,,,,,,,,,,16.20M,,,,,16.20M,,,,,0.06,0.00,,0.06,0.06,,0.055,0.00,,0.055,0.055,,275.46M,275.46M,0.01,,,
1985-12,,,,,,,,,,,,,14.70M,,,,,14.70M,,,,,,,,,,,,,,,,,265.47M,265.47M,0.01,,,
1985-09,,,,,,,,,,,,,13.40M,,,,,13.40M,,,,,0.05,0.00,,0.05,0.05,,0.045,0.00,,0.045,0.045,,266.56M,266.56M,0.0094,,,
1985-06,,,,,,,,,,,,,13.50M,,,,,13.50M,,,,,0.05,0.00,,0.05,0.05,,0.045,0.00,,0.045,0.045,,264.64M,264.64M,,,,
1985-03,,,,,,,,,,,,,13.70M,,,,,13.70M,,,,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,263.71M,263.71M,0.0083,,,
1984-12,,,,,,,,,,,,,13.00M,,,,,13.00M,,,,,,,,,,,,,,,,,261.82M,261.82M,0.0083,,,
1984-09,,,,,,,,,,,,,11.70M,,,,,11.70M,,,,,0.045,0.00,,0.045,0.045,,0.04,0.00,,0.04,0.04,,263.01M,263.01M,,,,
1984-06,,,,,,,,,,,,,10.60M,,,,,10.60M,,,,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,265.57M,265.57M,,,,
1984-03,,,,,,,,,,,,,13.70M,,,,,13.70M,,,,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,265.57M,265.57M,,,,
