,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-06,,732.54M,326.20M,1.059B,412.36M,,412.36M,157.14M,54.68M,70.40M,282.22M,67.65M,96.75M,,1.918B,0.0,16.78M,91.77M,343.35M,,,451.91M,-216.17M,235.74M,281.30M,121.89M,403.19M,,19.79M,230.33M,889.05M,2.807B,89.16M,,,89.16M,390.06M,479.22M,,,,30.21M,,30.21M,128.25M,128.25M,,637.68M,276.12M,,276.12M,,,5.347M,109.01M,385.13M,1.023B,0.125M,1.926B,1.332B,1.491B,,,10.62M,1.779B
2008-03,,552.35M,290.54M,842.90M,599.72M,,599.72M,171.00M,63.68M,71.12M,305.80M,65.54M,76.72M,,1.891B,0.0,16.78M,87.16M,331.63M,,,435.58M,-203.83M,231.75M,264.09M,127.82M,391.91M,,35.16M,244.76M,903.58M,2.794B,121.45M,,,121.45M,205.00M,326.45M,,,,18.53M,,18.53M,162.11M,162.11M,217.94M,725.04M,287.33M,,287.33M,,,9.274M,108.56M,395.89M,1.121B,0.125M,1.854B,1.293B,1.488B,,,4.659M,1.664B
2007-12,,776.06M,93.82M,869.88M,441.99M,,441.99M,132.38M,42.58M,67.26M,242.22M,59.11M,63.00M,,1.676B,0.0,1.626M,54.76M,272.32M,,,328.70M,-194.72M,133.98M,59.74M,66.42M,126.16M,,36.16M,475.67M,771.97M,2.448B,75.13M,,,75.13M,189.06M,264.20M,,,,,,,143.84M,143.84M,161.46M,569.49M,250.00M,,250.00M,,,,79.58M,329.58M,899.07M,0.125M,1.751B,1.283B,1.487B,-0.758M,2.991M,2.233M,1.549B
2007-09,,793.17M,118.08M,911.25M,339.16M,,339.16M,130.30M,42.99M,66.58M,239.88M,25.44M,62.98M,,1.579B,0.0,1.626M,53.34M,254.68M,,,309.65M,-192.23M,117.42M,59.74M,70.06M,129.80M,,36.95M,426.25M,710.41M,2.289B,107.43M,,,107.43M,171.73M,279.16M,,,,,,,148.78M,148.78M,146.41M,574.35M,250.00M,,250.00M,,,,73.76M,323.76M,898.11M,0.124M,1.636B,1.249B,1.487B,,,-7.067M,1.391B
2007-06,,573.97M,96.72M,670.69M,410.01M,,410.01M,122.53M,43.94M,68.97M,235.43M,38.50M,61.73M,,1.416B,0.0,1.626M,51.89M,244.90M,,,298.41M,-184.69M,113.72M,59.74M,70.91M,130.65M,,27.41M,413.46M,685.24M,2.102B,117.62M,,,117.62M,157.09M,274.70M,,,,,,,190.88M,190.88M,207.21M,672.80M,250.00M,,250.00M,,,,2.487M,252.49M,925.28M,0.124M,1.469B,1.194B,1.483B,,,-4.302M,1.176B
2007-03,,494.81M,638.88M,1.134B,461.36M,,461.36M,115.25M,46.16M,67.02M,228.44M,66.12M,54.76M,,1.944B,0.0,1.29M,49.14M,234.14M,,,284.57M,-177.18M,107.39M,55.89M,61.62M,117.51M,,28.67M,411.94M,665.50M,2.610B,142.81M,,,142.81M,131.91M,274.73M,,,,,,,166.11M,166.11M,202.04M,642.87M,250.00M,,250.00M,,,,0.821M,250.82M,893.69M,0.137M,1.365B,1.078B,720.56M,-5.398M,-1.202M,-6.60M,1.716B
2006-12,,629.12M,574.84M,1.204B,456.43M,,456.43M,111.39M,34.47M,66.44M,212.30M,43.17M,40.80M,,1.957B,0.0,1.29M,47.87M,218.91M,,,268.07M,-171.04M,97.03M,55.89M,64.64M,120.53M,,37.52M,467.97M,723.05M,2.680B,111.43M,,,111.43M,196.49M,307.92M,,,,,,,176.79M,176.79M,153.65M,638.36M,300.00M,,300.00M,,,,0.833M,300.83M,939.20M,0.142M,1.200B,1.033B,486.00M,,,-6.90M,1.741B
2006-09,,1.031B,233.28M,1.265B,379.87M,,379.87M,90.73M,40.08M,57.38M,188.18M,40.71M,47.21M,,1.921B,0.0,,38.74M,183.47M,,,222.21M,-165.42M,56.79M,,,,,38.53M,518.44M,613.76M,2.534B,125.55M,,,125.55M,244.29M,369.84M,,,,,,,,,214.40M,584.24M,350.00M,,350.00M,,,,0.924M,350.92M,935.17M,0.142M,1.033B,983.25M,410.72M,-7.835M,1.352M,-6.483M,1.599B
2006-06,,910.82M,139.52M,1.050B,407.35M,,407.35M,78.04M,29.98M,60.70M,168.71M,26.34M,53.62M,,1.706B,0.0,,38.95M,174.19M,,,213.14M,-163.25M,49.89M,,14.64M,14.64M,,52.57M,503.91M,621.01M,2.327B,108.50M,,,108.50M,117.70M,226.20M,,,,,,,140.08M,140.08M,201.36M,567.65M,350.00M,,350.00M,,,,0.969M,350.97M,918.62M,0.142M,784.42M,1.052B,416.45M,,,-11.20M,1.409B
2006-03,,757.84M,233.53M,991.37M,319.15M,,319.15M,64.18M,31.58M,48.50M,144.26M,34.17M,50.81M,,1.540B,0.0,,38.12M,167.92M,,,206.04M,-162.14M,43.90M,,,,,36.41M,118.74M,199.06M,1.739B,107.14M,,,107.14M,281.00M,388.14M,,,,,,,119.17M,119.17M,,507.31M,,,,,,,,1.605M,508.91M,0.14M,730.25M,896.44M,386.10M,,,-10.81M,1.230B
2005-12,,633.78M,258.46M,892.24M,279.18M,,279.18M,54.69M,25.59M,33.77M,114.05M,30.29M,64.72M,,1.380B,0.0,,44.18M,165.40M,,,209.58M,-167.93M,41.65M,,,,,40.43M,119.69M,201.78M,1.582B,73.36M,,,73.36M,267.87M,341.23M,,,,,,,,,97.96M,439.19M,,,,,,,,1.279M,440.47M,0.138M,644.78M,828.84M,317.88M,,,-14.07M,1.142B
2005-09,,514.82M,274.00M,788.82M,220.96M,,220.96M,53.14M,22.47M,38.09M,113.70M,35.39M,64.08M,,1.223B,0.0,,41.78M,166.70M,,,208.47M,-168.46M,40.01M,,,,,40.43M,121.30M,201.74M,1.425B,56.90M,,,56.90M,244.01M,300.90M,,,,,,,,,63.74M,364.65M,,,,,,,,1.364M,366.01M,0.136M,566.00M,760.87M,255.97M,,,-12.38M,1.059B
2005-06,,482.25M,327.00M,809.25M,232.00M,,232.00M,51.25M,24.49M,34.31M,110.05M,16.87M,76.66M,,1.245B,0.0,,41.57M,167.83M,,,209.40M,-168.32M,41.08M,,,,,43.22M,119.67M,203.98M,1.449B,60.22M,,,60.22M,229.21M,289.42M,,,,,,,,,89.71M,379.13M,,,,,,,,2.786M,381.92M,0.137M,520.16M,744.67M,186.06M,,,-12.01M,1.067B
2005-03,,436.46M,289.83M,726.29M,257.50M,,257.50M,91.74M,28.61M,,120.35M,11.35M,68.39M,,1.184B,0.0,,41.24M,167.77M,,,209.01M,-165.84M,43.17M,,,,,102.68M,153.29M,299.14M,1.483B,64.24M,,,64.24M,224.24M,288.48M,,,,,,,,,86.87M,375.35M,,,,,,,,3.318M,378.67M,0.14M,453.93M,749.13M,87.54M,,,-11.32M,1.104B
2004-12,,326.17M,323.23M,649.40M,248.50M,,248.50M,55.19M,36.16M,37.95M,129.30M,10.30M,59.72M,,1.097B,0.0,,39.58M,168.54M,,,208.12M,-162.97M,45.15M,,,,,97.93M,153.69M,296.78M,1.394B,62.37M,,,62.37M,220.32M,282.70M,,,,,,,,,73.89M,356.58M,7.268M,,7.268M,,,,,7.268M,363.85M,0.139M,394.48M,669.91M,19.74M,,,-14.64M,1.030B
2004-09,,192.73M,283.94M,476.67M,333.40M,,333.40M,51.03M,39.46M,22.30M,112.78M,12.78M,47.97M,,983.60M,0.0,,41.25M,164.02M,,,205.26M,-163.32M,41.95M,,,,,,285.24M,327.20M,1.311B,67.57M,,,67.57M,203.66M,271.24M,,,,1.25M,,1.25M,,,115.50M,387.99M,,,,,,,,8.138M,396.12M,0.136M,310.87M,639.01M,19.74M,,,-15.60M,914.68M
2004-06,,163.40M,266.07M,429.47M,245.51M,,245.51M,45.07M,41.35M,21.83M,108.25M,10.43M,102.73M,,896.39M,0.0,,41.26M,160.31M,,,201.57M,-159.12M,42.44M,,,,,106.50M,153.29M,302.24M,1.199B,93.39M,,,93.39M,172.34M,265.74M,,,,2.50M,,2.50M,,,108.37M,376.61M,9.554M,,9.554M,,,,,9.554M,386.16M,0.135M,221.12M,628.08M,19.74M,,,-17.12M,812.47M
2004-03,,309.08M,323.99M,633.07M,179.61M,,179.61M,52.40M,34.13M,24.22M,110.75M,17.82M,129.62M,,1.071B,0.0,,46.46M,164.75M,,,211.21M,-173.74M,37.48M,,,,,87.03M,175.32M,299.83M,1.371B,82.24M,,,82.24M,157.48M,239.72M,,,,3.75M,,3.75M,,,56.60M,300.07M,322.94M,,322.94M,,,,,322.94M,623.01M,0.134M,170.31M,615.41M,25.77M,,,-12.40M,747.68M
2003-12,,129.21M,456.80M,586.01M,114.81M,,114.81M,61.36M,19.57M,17.90M,98.84M,10.53M,132.29M,,942.47M,0.0,,45.41M,167.95M,,,213.36M,-173.30M,40.07M,,,,,87.03M,178.33M,305.43M,1.248B,39.81M,,,39.81M,135.26M,175.08M,,,,5.00M,,5.00M,,,29.02M,209.09M,322.56M,,322.56M,,,,,322.56M,531.65M,0.132M,153.07M,608.47M,32.32M,,,-13.10M,716.26M
2003-09,,86.66M,437.81M,524.47M,113.98M,,113.98M,63.90M,23.32M,15.05M,102.27M,18.16M,133.17M,,892.05M,0.0,,56.97M,184.93M,,,241.90M,-198.53M,43.37M,,,,,87.03M,183.65M,314.05M,1.206B,37.54M,,,37.54M,132.70M,170.24M,,,,5.00M,,5.00M,28.44M,28.44M,,203.68M,325.24M,,325.24M,,,,,325.24M,528.92M,0.13M,146.68M,577.41M,32.32M,,,-14.71M,677.18M
2003-06,,167.34M,340.07M,507.41M,107.60M,,107.60M,67.26M,27.03M,17.72M,112.02M,12.68M,133.07M,,872.78M,0.0,,57.50M,187.26M,,,244.76M,-195.99M,48.77M,,,,,87.03M,189.70M,325.50M,1.198B,35.52M,,,35.52M,131.14M,166.66M,,,,5.011M,,5.011M,,,45.31M,216.98M,332.21M,,332.21M,,,,,332.21M,549.19M,0.127M,143.82M,560.27M,38.67M,,,-16.46M,649.08M
2003-03,,96.41M,369.46M,465.87M,133.11M,,133.11M,74.82M,32.63M,19.24M,126.69M,,128.58M,17.75M,871.99M,0.0,,68.08M,193.49M,,,261.57M,-208.32M,53.24M,,,,,88.31M,182.32M,323.87M,1.196B,30.62M,,,30.62M,161.43M,192.05M,,,,5.16M,,5.16M,47.32M,47.32M,,244.53M,321.72M,,321.72M,,,,,321.72M,566.24M,0.126M,141.90M,551.75M,44.51M,,,-19.66M,629.62M
2002-12,,159.38M,392.66M,552.04M,119.87M,,119.87M,89.72M,37.19M,19.76M,146.67M,,128.72M,14.49M,961.78M,,,,199.38M,66.49M,,265.88M,-208.36M,57.51M,,,,,88.31M,126.61M,272.43M,1.234B,22.93M,,,22.93M,152.30M,175.24M,,,,5.288M,,5.288M,58.09M,58.09M,,238.62M,372.85M,,372.85M,,,,,372.85M,611.46M,0.126M,143.15M,550.03M,50.25M,,,-20.31M,622.75M
2002-09,,169.43M,371.03M,540.46M,136.35M,,136.35M,96.74M,41.51M,22.97M,161.22M,,128.34M,21.94M,988.31M,0.0,65.94M,,197.90M,,,263.84M,-200.73M,63.10M,,,,,88.31M,125.00M,276.41M,1.265B,38.89M,,,38.89M,158.93M,197.83M,,,,5.411M,,5.411M,,,71.09M,274.33M,372.03M,,372.03M,,,,,372.03M,646.36M,0.125M,141.67M,545.02M,50.25M,,,-18.22M,618.36M
2002-06,,172.43M,701.77M,874.20M,132.11M,,132.11M,108.60M,45.31M,26.90M,180.80M,43.08M,125.23M,,1.355B,0.0,,65.75M,202.13M,,,267.88M,-200.38M,67.50M,,,,,86.23M,123.14M,276.87M,1.632B,59.81M,,,59.81M,159.01M,218.82M,,,,315.29M,,315.29M,,,63.44M,597.54M,359.69M,,359.69M,,,,,359.69M,957.24M,0.128M,157.04M,542.23M,9.10M,,,-15.24M,675.06M
2002-03,,130.08M,700.37M,830.46M,125.96M,,125.96M,100.23M,45.38M,31.28M,176.89M,73.88M,197.26M,,1.404B,0.0,,85.78M,210.39M,,,296.17M,-218.86M,77.31M,,,,,19.77M,121.90M,218.98M,1.623B,32.00M,,,32.00M,180.13M,212.13M,,,,312.12M,,312.12M,,,47.94M,572.20M,354.60M,,354.60M,,,,,354.60M,926.80M,0.127M,189.09M,536.93M,14.07M,,,-15.44M,696.63M
2001-12,,100.88M,779.26M,880.13M,101.89M,,101.89M,116.08M,44.40M,25.15M,185.63M,54.65M,189.60M,,1.412B,0.0,,86.28M,213.32M,,,299.60M,-214.09M,85.51M,,,,,19.77M,115.40M,220.68M,1.633B,23.30M,,,23.30M,194.62M,217.93M,,,,312.35M,,312.35M,,,62.11M,592.39M,357.98M,,357.98M,,,,,357.98M,950.38M,0.126M,189.38M,526.81M,21.73M,,,-12.38M,682.20M
2001-09,,95.00M,764.52M,859.52M,202.01M,,202.01M,141.52M,62.89M,27.14M,231.55M,38.17M,157.52M,,1.489B,0.0,,90.68M,226.01M,,,316.68M,-202.21M,114.48M,,,,,19.77M,115.60M,249.85M,1.739B,33.10M,,,33.10M,181.77M,214.87M,,,,318.49M,,318.49M,,,147.45M,680.80M,351.26M,,351.26M,,,,,351.26M,1.032B,0.125M,241.16M,501.69M,21.73M,,,-14.68M,706.56M
2001-06,,221.66M,642.90M,864.56M,248.91M,,248.91M,158.51M,74.17M,52.08M,284.76M,20.86M,157.52M,,1.577B,0.0,,89.59M,229.78M,,,319.36M,-192.83M,126.53M,,,,,19.77M,148.87M,295.17M,1.872B,56.57M,,,56.57M,183.32M,239.89M,,,,8.963M,,8.963M,,,250.83M,499.68M,659.72M,,659.72M,,,,,659.72M,1.159B,0.125M,254.28M,498.07M,21.90M,,,-18.20M,712.37M
2001-03,,190.76M,254.11M,444.87M,362.30M,,362.30M,195.40M,71.50M,61.53M,328.43M,32.07M,76.51M,,1.244B,0.0,,91.34M,234.21M,,,325.55M,-192.44M,133.12M,,,,,12.32M,104.84M,250.27M,1.494B,118.78M,,,118.78M,186.54M,305.32M,,,,20.81M,,20.81M,,,,326.12M,312.16M,,312.16M,,,,52.90M,365.06M,691.18M,0.124M,386.67M,457.80M,28.63M,,,-12.71M,803.26M
2000-12,,141.59M,255.60M,397.19M,424.20M,,424.20M,193.44M,59.97M,41.69M,295.10M,34.69M,76.51M,,1.228B,0.0,,89.88M,222.82M,,,312.70M,-182.43M,130.27M,,,,,12.32M,100.98M,243.57M,1.471B,123.14M,,,123.14M,273.67M,396.81M,,,,22.84M,,22.84M,,,,419.65M,312.48M,,312.48M,,,,52.90M,365.38M,785.03M,0.123M,360.19M,384.37M,51.78M,,,-6.673M,686.23M
2000-09,,74.45M,299.32M,373.77M,387.78M,,387.78M,175.05M,61.48M,18.92M,255.45M,21.36M,76.51M,,1.115B,0.0,,85.61M,209.82M,,,295.43M,-172.63M,122.80M,,,,,12.32M,93.53M,228.64M,1.344B,83.38M,,,83.38M,222.39M,305.77M,,,,9.168M,,9.168M,,,,314.94M,320.82M,,320.82M,,,,,320.82M,635.76M,0.125M,286.72M,442.06M,16.18M,,,-4.962M,707.76M
2000-06,,70.06M,301.67M,371.72M,323.94M,,323.94M,153.72M,53.22M,20.23M,227.17M,22.00M,76.51M,,1.021B,0.0,,79.16M,202.22M,,,281.38M,-162.19M,119.19M,,,,,12.32M,91.99M,223.50M,1.245B,76.65M,,,76.65M,203.48M,280.12M,,,,7.632M,,7.632M,,,,287.76M,321.66M,,321.66M,,,,,321.66M,609.41M,0.124M,227.29M,441.95M,26.44M,,,-7.501M,635.42M
2000-03,,27.30M,294.18M,321.48M,306.68M,,306.68M,150.95M,56.30M,9.898M,217.14M,26.05M,55.64M,,927.00M,0.0,,106.27M,158.67M,,,264.95M,-149.64M,115.30M,,,,,51.74M,91.30M,258.35M,1.185B,47.46M,,,47.46M,229.53M,277.00M,,,,7.644M,,7.644M,,,,284.64M,323.06M,,323.06M,,,,,323.06M,607.70M,0.124M,157.24M,427.90M,,,,-7.605M,577.65M
1999-12,,31.89M,295.47M,327.36M,236.75M,,236.75M,142.95M,48.97M,6.808M,198.72M,18.96M,55.64M,,837.43M,0.0,,95.92M,152.51M,,,248.43M,-145.14M,103.30M,,,,,51.74M,89.45M,244.49M,1.082B,54.61M,,,54.61M,207.64M,262.25M,,,,12.42M,,12.42M,,,,274.67M,321.84M,,321.84M,,,,,321.84M,596.51M,0.04M,90.22M,402.22M,0.041M,,,-7.026M,485.42M
1999-09,,57.05M,257.20M,314.25M,211.37M,,211.37M,138.96M,46.97M,6.02M,191.94M,20.61M,55.64M,,793.82M,0.0,,89.74M,145.14M,,,234.87M,-137.73M,97.14M,,,,,,139.49M,236.63M,1.030B,48.20M,,,48.20M,196.44M,244.64M,,,,22.31M,,22.31M,,,,266.95M,327.02M,,327.02M,,,,,327.02M,593.97M,0.039M,53.51M,394.11M,5.154M,,,-6.019M,436.49M
1999-06,,37.96M,273.84M,311.80M,170.53M,,170.53M,123.31M,44.18M,16.22M,183.72M,17.18M,55.64M,,738.87M,0.0,,90.90M,138.54M,,,229.44M,-126.10M,103.34M,,,,,51.74M,85.50M,240.58M,979.45M,51.22M,,,51.22M,172.21M,223.43M,,,,20.57M,,20.57M,,,,244.00M,326.50M,,326.50M,,,,,326.50M,570.50M,0.039M,28.83M,388.95M,8.429M,,,-0.432M,408.96M
1999-03,,73.05M,229.76M,302.81M,144.44M,,144.44M,137.96M,37.41M,4.176M,179.55M,24.34M,77.48M,,728.62M,0.0,,89.16M,173.72M,,,262.89M,-160.44M,102.45M,,,,,,105.38M,207.83M,936.45M,49.14M,,,49.14M,146.54M,195.68M,,,,16.53M,,16.53M,,,,212.21M,328.50M,,328.50M,,,,,328.50M,540.72M,0.039M,17.48M,387.85M,9.279M,,,-0.362M,395.73M
1998-12,,44.00M,267.51M,311.51M,141.42M,,141.42M,150.84M,33.64M,6.775M,191.25M,43.64M,77.48M,,765.31M,0.0,,76.44M,164.73M,,,241.17M,-133.26M,107.91M,,,,,,106.44M,214.36M,979.67M,31.21M,,,31.21M,186.03M,217.24M,,,,11.92M,,11.92M,,,,229.17M,337.49M,,337.49M,,,,,337.49M,566.66M,0.038M,32.21M,381.03M,,,,-0.268M,413.01M
1998-09,,129.84M,210.00M,339.84M,152.58M,,152.58M,156.46M,41.79M,15.98M,214.23M,41.28M,77.48M,,825.42M,0.0,,99.44M,198.95M,,,298.39M,-160.86M,137.53M,,,,,,107.09M,244.62M,1.070B,54.33M,,,54.33M,172.12M,226.45M,,,,16.86M,,16.86M,,,,243.31M,331.64M,,331.64M,,,,,331.64M,574.95M,0.039M,114.97M,380.78M,,,,-0.71M,495.08M
1998-06,,13.51M,383.65M,397.16M,176.03M,,176.03M,147.79M,52.37M,20.44M,220.61M,25.81M,77.48M,,897.09M,0.0,,95.08M,199.71M,,,294.79M,-150.53M,144.25M,,,,,26.40M,83.03M,253.68M,1.151B,67.70M,,,67.70M,208.44M,276.14M,,,,17.36M,,17.36M,,,,293.51M,334.17M,,334.17M,,,,,334.17M,627.68M,0.038M,141.74M,381.31M,,,,,523.09M
