,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,1.441B,1.441B,1.257B,184.00M,100.00M,43.00M,,19.00M,,,,-20.00M,123.00M,61.00M,,,,19.00M,,29.00M,11.00M,18.00M,,3.00M,,21.00M,6.207M,157.00M,96.00M,61.00M,0.115,0.02,0.0,0.0392,0.135,0.115,0.02,0.0193,0.0392,0.135,155.56M,155.56M,0.22
2002-12,1.315B,1.315B,1.172B,143.00M,107.00M,41.00M,,-1.00M,,,,,149.00M,-6.00M,,,,-1.00M,,-37.00M,-24.00M,-13.00M,,0.00,,-13.00M,-12.40M,94.00M,100.00M,-6.00M,-0.085,0.0,0.0,-0.0811,-0.085,-0.085,0.0,0.0002,-0.0811,-0.085,155.22M,155.22M,0.22
2002-09,1.374B,1.374B,1.172B,202.00M,100.00M,42.00M,,-2.00M,,,,-1.00M,141.00M,61.00M,,,,-2.00M,,28.00M,4.00M,24.00M,,,,24.00M,25.71M,159.00M,98.00M,61.00M,0.155,0.0,,0.1661,0.155,0.155,0.0,,0.1661,0.155,154.84M,154.84M,0.22
2002-06,1.395B,1.395B,1.166B,229.00M,110.00M,38.00M,,10.00M,,,,,148.00M,81.00M,,,,10.00M,,60.00M,16.00M,44.00M,,,,44.00M,36.67M,181.00M,100.00M,81.00M,0.29,0.0,,0.2417,0.29,0.29,0.0,,0.2417,0.29,151.72M,151.72M,0.22
2002-03,1.236B,1.236B,1.031B,205.00M,90.00M,38.00M,,-14.00M,,,,,128.00M,77.00M,,,,-14.00M,,33.00M,9.00M,24.00M,,-18.00M,,6.00M,34.18M,176.00M,99.00M,77.00M,0.15,-0.115,0.0,0.2094,0.035,0.15,-0.115,-0.105,0.2094,0.035,171.43M,171.43M,0.22
2001-12,1.271B,1.271B,1.102B,169.00M,102.00M,42.00M,,-135.00M,,,,31.00M,175.00M,-6.00M,,,,-135.00M,,-148.00M,-52.00M,-92.00M,,,,-92.00M,-4.432M,106.00M,112.00M,-6.00M,-0.6,0.0,,-0.0285,-0.6,-0.6,0.0,,-0.0285,-0.6,153.24M,153.24M,0.22
2001-09,1.373B,1.373B,1.134B,239.00M,101.00M,39.00M,,-24.00M,,,,2.00M,142.00M,97.00M,,,,-24.00M,,39.00M,12.00M,27.00M,,,,27.00M,43.62M,206.00M,109.00M,97.00M,0.18,0.0,,0.288,0.18,0.18,0.0,,0.2879,0.18,153.80M,154.00M,0.22
2001-06,1.402B,1.402B,1.149B,253.00M,114.00M,41.00M,,-304.00M,,,,-290.00M,-135.00M,388.00M,,,,-304.00M,,-243.00M,-96.00M,-147.00M,,,,-147.00M,36.90M,498.00M,110.00M,388.00M,-0.96,0.0,,0.241,-0.96,-0.96,0.0,,0.241,-0.96,153.12M,153.12M,0.22
2001-03,1.344B,1.344B,1.112B,232.00M,98.00M,38.00M,,-6.00M,,,,,136.00M,96.00M,,,,-6.00M,,55.00M,18.00M,37.00M,,,,37.00M,41.04M,200.00M,104.00M,96.00M,0.24,0.0,,0.2662,0.24,0.24,0.0,,0.2662,0.24,154.17M,154.17M,0.22
2000-12,1.372B,1.372B,1.15B,222.00M,95.00M,37.00M,,22.00M,,,,,132.00M,90.00M,,,,22.00M,,77.00M,25.00M,52.00M,,,,52.00M,37.14M,201.00M,111.00M,90.00M,0.34,0.0,,0.2424,0.34,0.34,0.0,,0.2427,0.34,152.27M,152.63M,0.22
2000-09,1.387B,1.387B,1.092B,295.00M,90.00M,38.00M,,15.00M,,,,,128.00M,167.00M,,,,15.00M,,145.00M,48.00M,97.00M,,,,97.00M,86.97M,275.00M,108.00M,167.00M,0.635,0.0,,0.5695,0.635,0.635,0.0,,0.5696,0.635,153.20M,153.40M,0.22
2000-06,1.316B,1.316B,1.026B,290.00M,81.00M,36.00M,,-11.00M,,,,,117.00M,173.00M,,,,-11.00M,,128.00M,42.00M,86.00M,,,,86.00M,93.39M,276.00M,103.00M,173.00M,0.56,0.0,,0.6081,0.56,0.56,0.0,,0.6081,0.56,153.57M,153.57M,0.22
2000-03,1.217B,1.217B,967.00M,250.00M,80.00M,38.00M,,3.00M,,,,,118.00M,132.00M,,,,3.00M,,102.00M,34.00M,68.00M,,,,68.00M,66.00M,228.00M,96.00M,132.00M,0.44,0.0,,0.4271,0.44,0.44,0.0,,0.4271,0.44,154.55M,154.55M,0.22
1999-12,1.255B,1.255B,1.067B,188.00M,103.00M,47.00M,,-78.00M,,,,,203.00M,-15.00M,,,,-78.00M,,-77.00M,-25.00M,-52.00M,,,,-52.00M,0.6753M,86.00M,101.00M,-15.00M,-0.335,0.0,,-0.0064,-0.335,-0.335,0.0,,-0.0064,-0.335,160.31M,160.31M,0.22
1999-09,1.19B,1.19B,976.00M,214.00M,93.00M,46.00M,,9.00M,,,,,139.00M,75.00M,,,,9.00M,,49.00M,16.00M,33.00M,,,,33.00M,26.94M,180.00M,105.00M,75.00M,0.21,0.0,,0.1711,0.21,0.21,0.0,,0.1713,0.21,156.00M,156.80M,0.22
1999-06,1.122B,1.122B,897.00M,225.00M,83.00M,46.00M,,-4.00M,,,,,129.00M,96.00M,,,,-4.00M,,64.00M,21.00M,43.00M,,,,43.00M,45.69M,186.00M,90.00M,96.00M,0.275,0.0,,0.2922,0.275,0.27,0.0,,0.2871,0.27,156.00M,156.80M,0.22
1999-03,1.023B,1.023B,829.00M,194.00M,76.00M,47.00M,,-8.00M,,,,,123.00M,71.00M,,,,-8.00M,,37.00M,12.00M,25.00M,,,,25.00M,30.41M,158.00M,87.00M,71.00M,0.16,0.0,,0.1943,0.16,0.155,0.0,,0.1893,0.155,157.40M,157.60M,0.22
1998-12,1.037B,1.037B,914.00M,123.00M,81.00M,46.00M,,4.00M,,,,,127.00M,-4.00M,,,,4.00M,,-26.00M,-24.00M,-2.00M,,,,-2.00M,-4.40M,89.00M,93.00M,-4.00M,-0.015,0.0,,-0.03,-0.015,-0.015,0.0,,-0.03,-0.015,159.58M,159.58M,0.22
1998-09,1.131B,1.131B,870.00M,261.00M,75.00M,45.00M,,10.00M,,,,,120.00M,141.00M,,,,10.00M,,123.00M,43.00M,80.00M,,,,80.00M,73.50M,231.00M,90.00M,141.00M,0.505,0.0,,0.4639,0.505,0.5,0.0,,0.4591,0.5,158.20M,159.00M,0.22
1998-06,1.165B,1.165B,868.00M,297.00M,85.00M,48.00M,,6.00M,,,,,133.00M,164.00M,,,,6.00M,,149.00M,52.00M,97.00M,,,,97.00M,93.09M,250.00M,86.00M,164.00M,0.61,0.0,,0.5853,0.61,0.605,0.0,,0.5806,0.605,158.00M,159.80M,0.22
