,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-03,-6.00M,,,,41.00M,84.00M,84.00M,-16.00M,,-9.00M,-127.00M,7.00M,10.00M,-18.00M,,-128.00M,-34.00M,-59.00M,,-59.00M,,,,-4.00M,-63.00M,,,-395.00M,,,,,-34.00M,,10.00M,-419.00M,558.00M,-516.00M,,42.00M,,,,
2003-12,10.00M,,,,-10.00M,87.00M,87.00M,11.00M,,,-21.00M,35.00M,39.00M,3.00M,44.00M,100.00M,198.00M,-71.00M,43.00M,-28.00M,,,,9.00M,-34.00M,,,374.00M,,,,,-34.00M,,1.00M,341.00M,53.00M,505.00M,,558.00M,,,,
2003-09,-336.00M,,,,482.00M,87.00M,87.00M,-169.00M,,,121.00M,24.00M,3.00M,-53.00M,-18.00M,77.00M,141.00M,-59.00M,0.00,-59.00M,,,,-5.00M,-64.00M,,,-60.00M,,,,,-34.00M,,1.00M,-93.00M,69.00M,-16.00M,,53.00M,,,,
2003-06,35.00M,,,,15.00M,97.00M,97.00M,23.00M,,,-36.00M,-9.00M,-77.00M,-29.00M,54.00M,-97.00M,73.00M,-55.00M,0.00,-55.00M,,,,-4.00M,-59.00M,,,14.00M,,,,,-34.00M,,-1.00M,-21.00M,76.00M,-7.00M,,69.00M,,,,
2003-03,21.00M,,,,-23.00M,96.00M,96.00M,-5.00M,,,-110.00M,-9.00M,33.00M,-135.00M,-36.00M,-257.00M,-168.00M,-45.00M,28.00M,-17.00M,,,,14.00M,-3.00M,,,201.00M,,,,,-34.00M,,3.00M,170.00M,77.00M,-1.00M,,76.00M,,,,
2002-12,-13.00M,,,,9.00M,100.00M,100.00M,25.00M,,,88.00M,-11.00M,,-13.00M,1.00M,152.00M,273.00M,-265.00M,2.00M,-263.00M,,0.00,,-16.00M,-279.00M,,,29.00M,,,,,-33.00M,,,-5.00M,88.00M,-11.00M,,77.00M,,,,
2002-09,24.00M,,,,0.00,98.00M,98.00M,47.00M,,,48.00M,-11.00M,,-30.00M,17.00M,24.00M,193.00M,-66.00M,1.00M,-65.00M,,0.00,,-11.00M,-76.00M,,,-69.00M,,,,,-34.00M,,,-103.00M,74.00M,14.00M,,88.00M,,,,
2002-06,44.00M,,,,0.00,100.00M,100.00M,21.00M,,,-69.00M,-21.00M,,149.00M,23.00M,82.00M,247.00M,-55.00M,6.00M,-49.00M,,0.00,,-10.00M,-59.00M,,,-161.00M,,,,,-34.00M,,,-195.00M,81.00M,-7.00M,,74.00M,,,,
2002-03,6.00M,,,,18.00M,99.00M,99.00M,2.00M,,,3.00M,2.00M,,-25.00M,-17.00M,-37.00M,88.00M,-41.00M,,-41.00M,,-6.00M,,-6.00M,-53.00M,,,14.00M,,,,,-34.00M,,,-20.00M,66.00M,15.00M,,81.00M,,,,
2001-12,-88.00M,,,,66.00M,112.00M,112.00M,-22.00M,,,99.00M,77.00M,,109.00M,-71.00M,92.00M,160.00M,-63.00M,0.00,-63.00M,,-5.00M,,-8.00M,-76.00M,,,-60.00M,1.00M,0.00,1.00M,,-34.00M,,,-93.00M,75.00M,-9.00M,,66.00M,1.00M,,,0.00
2001-09,23.00M,,,,17.00M,109.00M,109.00M,25.00M,,,2.00M,1.00M,,3.00M,-7.00M,-1.00M,173.00M,-54.00M,0.00,-54.00M,,-2.00M,,-6.00M,-62.00M,,,-74.00M,19.00M,0.00,19.00M,,-33.00M,,-18.00M,-106.00M,70.00M,5.00M,,75.00M,19.00M,,,0.00
2001-06,-147.00M,,,,295.00M,110.00M,110.00M,-77.00M,,,25.00M,-32.00M,,31.00M,-17.00M,7.00M,188.00M,-62.00M,4.00M,-58.00M,,-250.00M,,-8.00M,-316.00M,,,175.00M,,-4.00M,-4.00M,,-34.00M,,16.00M,153.00M,45.00M,25.00M,,70.00M,,,,-4.00M
2001-03,37.00M,,,,,104.00M,104.00M,-4.00M,,,-47.00M,-54.00M,,-151.00M,-9.00M,-261.00M,-124.00M,-55.00M,,-55.00M,,,,-14.00M,-69.00M,,,169.00M,,,,,-34.00M,,2.00M,137.00M,101.00M,-56.00M,,45.00M,,,,
2000-12,52.00M,,,,0.00,111.00M,111.00M,9.00M,,,-21.00M,35.00M,,91.00M,6.00M,111.00M,283.00M,-93.00M,1.00M,-92.00M,,-9.00M,,-1.00M,-90.00M,,,-134.00M,,0.00,4.00M,,-34.00M,,-2.00M,-166.00M,74.00M,27.00M,,101.00M,,,,0.00
2000-09,97.00M,,,,-29.00M,108.00M,108.00M,52.00M,,,34.00M,-21.00M,,-99.00M,43.00M,-43.00M,185.00M,-55.00M,0.00,-55.00M,,-200.00M,,-18.00M,-273.00M,,,26.00M,,0.00,0.00,,-33.00M,,0.00,-7.00M,169.00M,-95.00M,,74.00M,,,,0.00
2000-06,86.00M,,,,,103.00M,103.00M,-12.00M,,,5.00M,-13.00M,,51.00M,16.00M,59.00M,236.00M,-44.00M,50.00M,6.00M,,-7.00M,,-12.00M,-13.00M,,,-73.00M,,0.00,0.00,,-34.00M,,1.00M,-106.00M,52.00M,117.00M,,169.00M,,,,0.00
2000-03,68.00M,,,,,96.00M,96.00M,18.00M,,,-19.00M,-44.00M,,9.00M,14.00M,-40.00M,142.00M,-34.00M,10.00M,-24.00M,,-45.00M,,-20.00M,-89.00M,,,-97.00M,,-57.00M,-57.00M,,-34.00M,,1.00M,-187.00M,186.00M,-134.00M,,52.00M,,,,-57.00M
1999-12,-52.00M,,,,,101.00M,101.00M,2.00M,,,-4.00M,50.00M,,124.00M,-33.00M,137.00M,267.00M,-102.00M,-8.00M,-110.00M,,0.00,,-20.00M,-130.00M,,,7.00M,,0.00,0.00,,-34.00M,,1.00M,-26.00M,75.00M,111.00M,,186.00M,,,,0.00
1999-09,32.00M,,,,,105.00M,105.00M,-14.00M,,,89.00M,25.00M,,-23.00M,-13.00M,78.00M,201.00M,-56.00M,8.00M,-48.00M,,-5.00M,,-1.00M,-54.00M,,,-129.00M,,0.00,0.00,,-34.00M,,1.00M,-162.00M,90.00M,-15.00M,,75.00M,,,,0.00
1999-06,43.00M,,,,,90.00M,90.00M,-3.00M,,,50.00M,16.00M,,43.00M,19.00M,128.00M,258.00M,-58.00M,,-58.00M,,-364.00M,,0.00,-422.00M,,,233.00M,,-1.00M,-1.00M,,-35.00M,,2.00M,199.00M,55.00M,35.00M,,90.00M,,,,-1.00M
1999-03,25.00M,,,,,87.00M,87.00M,-3.00M,,,28.00M,-28.00M,,-98.00M,7.00M,-91.00M,18.00M,-76.00M,,-76.00M,,-12.00M,,-21.00M,-109.00M,,,203.00M,,-50.00M,-50.00M,,-35.00M,,-1.00M,117.00M,29.00M,26.00M,,55.00M,,,,-50.00M
1998-12,-2.00M,,,,,93.00M,93.00M,50.00M,,,64.00M,74.00M,,8.00M,-48.00M,98.00M,272.00M,-132.00M,-1.00M,-133.00M,,5.00M,,3.00M,-125.00M,,,-173.00M,,,,,-33.00M,,2.00M,-204.00M,86.00M,-57.00M,,29.00M,,,,
1998-09,80.00M,,,,,90.00M,90.00M,-9.00M,,,44.00M,1.00M,,52.00M,-8.00M,89.00M,250.00M,-100.00M,0.00,-100.00M,,-32.00M,,0.00,-132.00M,,,-32.00M,,,,,-35.00M,,2.00M,-65.00M,33.00M,53.00M,,86.00M,,,,
1998-06,97.00M,,,,,86.00M,86.00M,31.00M,,,-37.00M,-49.00M,,8.00M,23.00M,-55.00M,159.00M,-133.00M,0.00,-133.00M,,,,0.00,-133.00M,,,-8.00M,,,,,-36.00M,,8.00M,-36.00M,43.00M,-10.00M,,33.00M,,,,
