,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-09,781.00M,,781.00M,596.00M,69.00M,665.00M,304.00M,191.00M,632.00M,,646.00M,205.00M,2.297B,,,,,,,8.679B,-5.716B,2.963B,321.00M,,321.00M,364.00M,3.648B,5.945B,510.00M,,,,510.00M,151.00M,661.00M,,,,136.00M,136.00M,277.00M,1.074B,1.522B,1.522B,234.00M,234.00M,,,1.124B,2.88B,3.954B,1.00M,2.286B,564.00M,731.00M,152.00M,-281.00M,-129.00M,1.991B
2007-06,891.00M,,891.00M,747.00M,74.00M,821.00M,326.00M,203.00M,635.00M,,700.00M,89.00M,2.501B,,,,,,,8.714B,-5.674B,3.04B,315.00M,,315.00M,384.00M,3.739B,6.24B,530.00M,,,,530.00M,155.00M,685.00M,,,,165.00M,165.00M,250.00M,1.10B,1.507B,1.507B,288.00M,288.00M,,,1.175B,2.97B,4.07B,1.00M,2.302B,549.00M,517.00M,130.00M,-295.00M,-165.00M,2.17B
2007-03,833.00M,,833.00M,704.00M,84.00M,788.00M,306.00M,197.00M,635.00M,,665.00M,96.00M,2.382B,,,,,,,8.733B,-5.739B,2.994B,314.00M,,314.00M,426.00M,3.734B,6.116B,502.00M,,,,502.00M,168.00M,670.00M,,,,85.00M,85.00M,238.00M,993.00M,1.595B,1.595B,291.00M,291.00M,,,1.132B,3.018B,4.011B,1.00M,2.234B,504.00M,465.00M,118.00M,-287.00M,-169.00M,2.105B
2006-12,939.00M,,939.00M,682.00M,72.00M,754.00M,280.00M,206.00M,660.00M,,682.00M,47.00M,2.422B,0.00,42.00M,824.00M,7.819B,,159.00M,8.844B,-5.775B,3.069B,314.00M,,314.00M,327.00M,3.71B,6.132B,581.00M,,,,581.00M,185.00M,766.00M,,,,14.00M,14.00M,279.00M,1.059B,1.589B,1.589B,269.00M,269.00M,,,1.186B,3.044B,4.103B,1.00M,2.186B,448.00M,432.00M,121.00M,-293.00M,-172.00M,2.029B
2006-09,430.00M,,430.00M,758.00M,81.00M,839.00M,378.00M,227.00M,672.00M,-109.00M,702.00M,188.00M,2.159B,,,,,,,8.763B,-5.707B,3.056B,313.00M,,313.00M,538.00M,3.907B,6.066B,1.041B,,,,1.041B,,1.041B,,,,3.00M,3.00M,15.00M,1.059B,1.586B,1.586B,264.00M,264.00M,,,1.255B,3.105B,4.164B,1.00M,2.129B,368.00M,432.00M,93.00M,-257.00M,-164.00M,1.902B
2006-06,497.00M,,497.00M,750.00M,93.00M,843.00M,328.00M,210.00M,637.00M,,728.00M,50.00M,2.118B,,,,,,,9.705B,-6.496B,3.209B,313.00M,,313.00M,362.00M,3.884B,6.002B,600.00M,,,,600.00M,126.00M,726.00M,,,,77.00M,77.00M,250.00M,1.053B,1.581B,1.581B,305.00M,305.00M,,,1.211B,3.097B,4.15B,1.00M,2.07B,363.00M,432.00M,,,-150.00M,1.852B
2006-03,485.00M,,485.00M,635.00M,80.00M,715.00M,255.00M,208.00M,666.00M,,683.00M,46.00M,1.929B,,,,,,,9.67B,-6.494B,3.176B,312.00M,,312.00M,365.00M,3.853B,5.782B,500.00M,,,,500.00M,146.00M,646.00M,,,,80.00M,80.00M,271.00M,997.00M,1.587B,1.587B,311.00M,311.00M,,,1.17B,3.068B,4.065B,1.00M,1.992B,336.00M,432.00M,,,-180.00M,1.717B
2005-12,524.00M,,524.00M,575.00M,81.00M,656.00M,247.00M,207.00M,664.00M,,671.00M,73.00M,1.924B,0.00,42.00M,861.00M,8.495B,,199.00M,9.597B,-6.435B,3.162B,312.00M,,312.00M,375.00M,3.849B,5.773B,534.00M,,,,534.00M,203.00M,737.00M,,,,14.00M,14.00M,300.00M,1.051B,1.621B,1.621B,317.00M,317.00M,,,1.172B,3.11B,4.161B,1.00M,1.923B,320.00M,432.00M,,,-200.00M,1.612B
2005-09,286.00M,,286.00M,674.00M,94.00M,768.00M,284.00M,204.00M,602.00M,,705.00M,85.00M,1.844B,,,,,,,9.538B,-6.404B,3.134B,,312.00M,312.00M,281.00M,3.727B,5.571B,1.021B,,,,1.021B,,1.021B,,,,4.00M,4.00M,,1.025B,1.436B,1.436B,332.00M,332.00M,,,1.183B,2.951B,3.976B,1.00M,1.893B,301.00M,432.00M,,,-168.00M,1.595B
2005-06,241.00M,,241.00M,679.00M,78.00M,757.00M,262.00M,208.00M,633.00M,,740.00M,99.00M,1.837B,,,,,,,9.468B,-6.358B,3.11B,,312.00M,312.00M,310.00M,3.732B,5.569B,1.069B,,,,1.069B,,1.069B,,,,5.00M,5.00M,,1.074B,1.449B,1.449B,286.00M,286.00M,,,1.253B,2.988B,4.062B,1.00M,1.806B,300.00M,432.00M,,,-168.00M,1.507B
2005-03,393.00M,,393.00M,718.00M,75.00M,793.00M,199.00M,194.00M,647.00M,,672.00M,86.00M,1.944B,,,,,,,9.526B,-6.384B,3.142B,,340.00M,340.00M,573.00M,4.055B,5.999B,1.063B,,,,1.063B,,1.063B,,,,1.00M,1.00M,,1.064B,2.055B,2.055B,199.00M,199.00M,,,1.336B,3.59B,4.654B,1.00M,1.636B,256.00M,433.00M,,,-115.00M,1.345B
2004-12,325.00M,,325.00M,675.00M,104.00M,779.00M,216.00M,171.00M,550.00M,,582.00M,82.00M,1.768B,0.00,52.00M,888.00M,8.599B,,89.00M,9.628B,-6.436B,3.192B,,314.00M,314.00M,565.00M,4.071B,5.839B,1.098B,,,,1.098B,,1.098B,,,,1.00M,1.00M,,1.099B,2.061B,2.061B,210.00M,210.00M,,,1.285B,3.556B,4.655B,1.00M,1.509B,210.00M,433.00M,,,-103.00M,1.184B
2004-09,179.00M,,179.00M,671.00M,75.00M,746.00M,173.00M,166.00M,554.00M,,580.00M,48.00M,1.553B,,,,,,,9.511B,-6.346B,3.165B,,344.00M,344.00M,549.00M,4.058B,5.611B,426.00M,,,,426.00M,,426.00M,,,,46.00M,46.00M,477.00M,949.00M,2.066B,2.066B,226.00M,226.00M,,,1.331B,3.623B,4.572B,1.00M,1.49B,138.00M,435.00M,,,-155.00M,1.039B
2004-06,145.00M,,145.00M,670.00M,69.00M,739.00M,173.00M,174.00M,530.00M,,589.00M,244.00M,1.717B,,,,,,,9.434B,-6.228B,3.206B,,336.00M,336.00M,549.00M,4.091B,5.808B,942.00M,,,,942.00M,,942.00M,,,,1.00M,1.00M,66.00M,1.009B,2.153B,2.153B,240.00M,240.00M,,,1.361B,3.754B,4.763B,1.00M,1.486B,135.00M,435.00M,,,-142.00M,1.045B
2004-03,42.00M,,42.00M,732.00M,69.00M,801.00M,231.00M,170.00M,568.00M,,689.00M,52.00M,1.584B,,,,,,,9.884B,-6.533B,3.351B,,348.00M,348.00M,482.00M,4.181B,5.765B,909.00M,,,,909.00M,,909.00M,,,,1.00M,1.00M,,910.00M,2.213B,2.213B,315.00M,315.00M,,,1.333B,3.861B,4.771B,1.00M,1.436B,124.00M,435.00M,,,-132.00M,994.00M
2003-12,558.00M,,558.00M,614.00M,87.00M,701.00M,228.00M,175.00M,583.00M,,698.00M,53.00M,2.01B,0.00,77.00M,953.00M,8.71B,,121.00M,9.861B,-6.442B,3.419B,,350.00M,350.00M,465.00M,4.234B,6.244B,973.00M,,,,973.00M,,973.00M,,,,504.00M,504.00M,,1.477B,2.089B,2.089B,316.00M,316.00M,,,1.319B,3.724B,5.201B,1.00M,1.476B,122.00M,435.00M,,,-121.00M,1.043B
2003-09,53.00M,,53.00M,608.00M,78.00M,686.00M,224.00M,176.00M,588.00M,,709.00M,66.00M,1.514B,,,,,,,9.806B,-6.393B,3.413B,,359.00M,359.00M,416.00M,4.188B,5.702B,916.00M,,,,916.00M,,916.00M,,,,506.00M,506.00M,,1.422B,1.703B,1.703B,316.00M,316.00M,,,1.273B,3.292B,4.714B,1.00M,1.50B,122.00M,436.00M,,,-199.00M,988.00M
2003-06,69.00M,,69.00M,667.00M,140.00M,807.00M,226.00M,182.00M,606.00M,,733.00M,55.00M,1.664B,,,,,,,9.764B,-6.067B,3.697B,,568.00M,568.00M,426.00M,4.691B,6.355B,1.016B,,,,1.016B,,1.016B,,,,511.00M,511.00M,,1.527B,1.754B,1.754B,496.00M,496.00M,,,1.25B,3.50B,5.027B,1.00M,1.87B,122.00M,436.00M,,,-229.00M,1.328B
2003-03,76.00M,,76.00M,654.00M,114.00M,768.00M,237.00M,177.00M,591.00M,,724.00M,65.00M,1.633B,,,,,,,9.683B,-5.966B,3.717B,,570.00M,570.00M,419.00M,4.706B,6.339B,1.075B,,,,1.075B,,1.075B,,,,513.00M,513.00M,,1.588B,1.744B,1.744B,477.00M,477.00M,,,1.246B,3.467B,5.055B,1.00M,1.869B,120.00M,436.00M,,,-270.00M,1.284B
2002-12,77.00M,,77.00M,532.00M,142.00M,674.00M,229.00M,175.00M,582.00M,,713.00M,83.00M,1.547B,0.00,73.00M,920.00M,8.483B,,184.00M,9.66B,-5.907B,3.753B,,573.00M,573.00M,414.00M,4.74B,6.287B,1.244B,,,,1.244B,,1.244B,,,,3.00M,3.00M,,1.247B,2.054B,2.054B,464.00M,464.00M,,,1.251B,3.769B,5.016B,1.00M,1.882B,119.00M,436.00M,,,-295.00M,1.271B
2002-09,88.00M,,88.00M,616.00M,78.00M,694.00M,224.00M,171.00M,565.00M,,690.00M,96.00M,1.568B,,,,,,,9.388B,-5.825B,3.563B,,581.00M,581.00M,388.00M,4.532B,6.10B,1.075B,,,,1.075B,,1.075B,,,,4.00M,4.00M,,1.079B,1.996B,1.996B,499.00M,499.00M,,,1.073B,3.568B,4.647B,1.00M,1.928B,119.00M,436.00M,,,-159.00M,1.453B
2002-06,74.00M,,74.00M,671.00M,82.00M,753.00M,243.00M,165.00M,551.00M,,685.00M,102.00M,1.614B,,,,,,,9.474B,-5.873B,3.601B,,587.00M,587.00M,383.00M,4.571B,6.185B,512.00M,,,,512.00M,261.00M,773.00M,,,,4.00M,4.00M,269.00M,1.046B,2.06B,2.06B,476.00M,476.00M,,,1.147B,3.683B,4.729B,1.00M,1.938B,119.00M,436.00M,,,-166.00M,1.456B
2002-03,81.00M,,81.00M,592.00M,72.00M,664.00M,218.00M,166.00M,558.00M,,654.00M,99.00M,1.498B,,,,,,,9.323B,-5.753B,3.57B,,587.00M,587.00M,380.00M,4.537B,6.035B,456.00M,,,,456.00M,197.00M,653.00M,,,,53.00M,53.00M,207.00M,913.00M,2.157B,2.157B,431.00M,431.00M,,,1.172B,3.76B,4.673B,1.00M,1.928B,118.00M,436.00M,,,-249.00M,1.362B
2001-12,66.00M,,66.00M,570.00M,92.00M,662.00M,210.00M,168.00M,569.00M,,659.00M,77.00M,1.464B,0.00,74.00M,894.00M,8.161B,2.00M,171.00M,9.302B,-5.675B,3.627B,,614.00M,614.00M,387.00M,4.628B,6.092B,906.00M,,,,906.00M,,906.00M,,,,54.00M,54.00M,,960.00M,2.143B,2.143B,452.00M,452.00M,,,1.155B,3.75B,4.71B,1.00M,1.956B,118.00M,442.00M,,,-251.00M,1.382B
2001-09,75.00M,,75.00M,661.00M,96.00M,757.00M,240.00M,179.00M,598.00M,,736.00M,79.00M,1.647B,,,,,,,9.274B,-5.537B,3.737B,,631.00M,631.00M,392.00M,4.76B,6.407B,501.00M,,,,501.00M,232.00M,733.00M,,130.00M,3.00M,133.00M,133.00M,233.00M,1.099B,2.158B,2.158B,541.00M,541.00M,,,973.00M,3.672B,4.771B,1.00M,2.078B,119.00M,442.00M,,,-120.00M,1.636B
2001-06,70.00M,,70.00M,673.00M,86.00M,759.00M,287.00M,172.00M,574.00M,,731.00M,96.00M,1.656B,,,,,,,8.908B,-5.16B,3.748B,,604.00M,604.00M,426.00M,4.778B,6.434B,475.00M,,,,475.00M,246.00M,721.00M,,174.00M,5.00M,179.00M,179.00M,247.00M,1.147B,2.185B,2.185B,527.00M,527.00M,,,965.00M,3.677B,4.824B,1.00M,2.088B,118.00M,442.00M,,,-155.00M,1.61B
2001-03,45.00M,,45.00M,695.00M,88.00M,783.00M,231.00M,165.00M,550.00M,,644.00M,107.00M,1.579B,,,,,,,9.03B,-5.185B,3.845B,,613.00M,613.00M,480.00M,4.938B,6.517B,477.00M,,,,477.00M,244.00M,721.00M,,69.00M,6.00M,75.00M,75.00M,230.00M,1.026B,2.114B,2.114B,600.00M,600.00M,,,966.00M,3.68B,4.706B,1.00M,2.269B,103.00M,438.00M,,,-124.00M,1.811B
2000-12,101.00M,,101.00M,650.00M,87.00M,737.00M,209.00M,150.00M,496.00M,,580.00M,105.00M,1.523B,0.00,64.00M,846.00M,7.985B,,144.00M,9.039B,-5.114B,3.925B,,621.00M,621.00M,481.00M,5.027B,6.55B,526.00M,,,,526.00M,296.00M,822.00M,,101.00M,5.00M,106.00M,106.00M,330.00M,1.258B,1.914B,1.914B,607.00M,607.00M,,,959.00M,3.48B,4.738B,1.00M,2.266B,100.00M,438.00M,,,-117.00M,1.812B
2000-09,74.00M,,74.00M,631.00M,81.00M,712.00M,241.00M,131.00M,512.00M,,612.00M,124.00M,1.522B,,,,8.981B,,,8.981B,-5.056B,3.925B,,606.00M,606.00M,514.00M,5.045B,6.567B,444.00M,,,,444.00M,298.00M,742.00M,,100.00M,14.00M,114.00M,114.00M,314.00M,1.17B,2.026B,2.026B,609.00M,609.00M,,,984.00M,3.619B,4.789B,1.00M,2.248B,98.00M,438.00M,,,-131.00M,1.778B
2000-06,169.00M,,169.00M,584.00M,72.00M,656.00M,226.00M,129.00M,459.00M,,548.00M,152.00M,1.525B,,,,8.807B,,,8.807B,-4.983B,3.824B,,435.00M,435.00M,463.00M,4.722B,6.247B,324.00M,,,,324.00M,320.00M,644.00M,,100.00M,3.00M,103.00M,103.00M,397.00M,1.144B,1.854B,1.854B,496.00M,496.00M,,,995.00M,3.345B,4.489B,1.00M,2.185B,98.00M,438.00M,,,-88.00M,1.758B
2000-03,52.00M,,52.00M,580.00M,71.00M,651.00M,207.00M,134.00M,448.00M,,526.00M,151.00M,1.38B,,,,8.881B,,,8.881B,-4.945B,3.936B,,440.00M,440.00M,482.00M,4.858B,6.238B,331.00M,,,,331.00M,294.00M,625.00M,,,,522.00M,522.00M,338.00M,1.485B,1.508B,1.508B,504.00M,504.00M,,,1.005B,3.017B,4.502B,1.00M,2.133B,95.00M,438.00M,,,-55.00M,1.736B
1999-12,186.00M,,186.00M,572.00M,59.00M,631.00M,210.00M,128.00M,404.00M,,485.00M,187.00M,1.489B,0.00,61.00M,884.00M,7.685B,,190.00M,8.82B,-4.87B,3.95B,,446.00M,446.00M,418.00M,4.814B,6.303B,323.00M,,,,323.00M,255.00M,578.00M,,125.00M,474.00M,599.00M,599.00M,431.00M,1.608B,1.506B,1.506B,485.00M,485.00M,,,945.00M,2.936B,4.544B,1.00M,2.098B,95.00M,381.00M,,,-54.00M,1.759B
1999-09,75.00M,,75.00M,640.00M,,640.00M,220.00M,141.00M,426.00M,,530.00M,146.00M,1.391B,,,,8.81B,,,8.81B,-4.802B,4.008B,,387.00M,387.00M,424.00M,4.819B,6.21B,366.00M,,,,366.00M,373.00M,739.00M,,,,,,201.00M,940.00M,2.09B,2.09B,437.00M,437.00M,,,885.00M,3.412B,4.352B,1.00M,2.184B,95.00M,381.00M,,,-41.00M,1.858B
1999-06,90.00M,,90.00M,680.00M,,680.00M,192.00M,142.00M,409.00M,,503.00M,135.00M,1.408B,,,,8.644B,,,8.644B,-4.711B,3.933B,,,,820.00M,4.753B,6.161B,309.00M,,,,309.00M,374.00M,683.00M,,,,,,177.00M,860.00M,2.085B,2.085B,435.00M,435.00M,,,941.00M,3.461B,4.321B,1.00M,2.186B,94.00M,381.00M,,,-60.00M,1.84B
1999-03,55.00M,,55.00M,748.00M,,748.00M,199.00M,154.00M,407.00M,,521.00M,147.00M,1.471B,,,,8.605B,,,8.605B,-4.633B,3.972B,,,,448.00M,4.42B,5.891B,312.00M,,,,312.00M,311.00M,623.00M,,,,,,205.00M,828.00M,1.851B,1.851B,443.00M,443.00M,,,925.00M,3.219B,4.047B,1.00M,2.178B,93.00M,381.00M,,,-47.00M,1.844B
1998-12,29.00M,,29.00M,624.00M,135.00M,759.00M,203.00M,138.00M,409.00M,,493.00M,117.00M,1.398B,0.00,45.00M,766.00M,7.414B,,369.00M,8.594B,-4.56B,4.034B,,19.00M,19.00M,399.00M,4.452B,5.85B,265.00M,,,,265.00M,414.00M,679.00M,,,,,,280.00M,959.00M,1.649B,1.649B,415.00M,415.00M,,,893.00M,2.957B,3.916B,1.00M,2.188B,94.00M,331.00M,,,-18.00M,1.934B
1998-09,86.00M,,86.00M,840.00M,,840.00M,220.00M,147.00M,444.00M,,568.00M,185.00M,1.679B,,,,8.457B,,,8.457B,-4.451B,4.006B,,,,454.00M,4.46B,6.139B,296.00M,,,,296.00M,457.00M,753.00M,,,,,,229.00M,982.00M,1.821B,1.821B,439.00M,439.00M,,,919.00M,3.179B,4.161B,1.00M,2.224B,93.00M,332.00M,,,-8.00M,1.978B
1998-06,33.00M,,33.00M,877.00M,,877.00M,214.00M,144.00M,460.00M,,566.00M,124.00M,1.60B,,,,8.332B,,,8.332B,-4.362B,3.97B,,,,412.00M,4.382B,5.982B,771.00M,,,,771.00M,,771.00M,,,,,,,771.00M,1.853B,1.853B,390.00M,390.00M,,,1.067B,3.31B,4.081B,1.00M,2.179B,93.00M,332.00M,,,-40.00M,1.901B
