,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-03,2.14B,,2.14B,4.995B,4.995B,717.00M,,690.00M,,1.306B,,,1.713B,10.15B,,82.25B,-29.27B,52.98B,,,,1.917B,,772.00M,,55.67B,65.82B,,4.889B,94.00M,4.983B,2.203B,7.186B,,,600.00M,,600.00M,,,,7.786B,,7.024B,,7.024B,6.31B,6.31B,,58.00M,,3.764B,17.10B,24.88B,,178.00M,38.83B,7.468B,5.091B,,,,-502.00M,40.88B,,AOR,Restated
2012-12,1.592B,,1.592B,4.916B,4.916B,682.00M,,763.00M,,1.344B,,,1.64B,9.492B,80.10B,80.10B,-28.03B,52.06B,,,,1.894B,,760.00M,,54.72B,64.21B,,4.708B,16.00M,4.724B,1.966B,6.69B,,,600.00M,,600.00M,,,,7.29B,,7.023B,,7.023B,6.039B,6.039B,,32.00M,,3.81B,16.87B,24.16B,,178.00M,37.99B,7.441B,5.091B,,,,-502.00M,40.02B,,AOR,Restated
2012-09,3.76B,1.15B,4.91B,5.354B,5.354B,650.00M,,745.00M,,1.297B,348.00M,,,11.91B,,77.90B,-26.93B,50.96B,,,,1.982B,,771.00M,,53.72B,65.62B,,5.504B,48.00M,5.552B,2.282B,7.834B,,,,,,,,,7.834B,,7.622B,,7.622B,6.111B,6.111B,,,,3.584B,17.32B,25.15B,,178.00M,38.09B,7.398B,4.71B,,,,-481.00M,40.47B,,AOR,Restated
2012-06,4.41B,911.00M,5.321B,4.959B,4.959B,599.00M,,998.00M,,1.499B,354.00M,,,12.13B,,75.20B,-25.80B,49.40B,,,,1.972B,,781.00M,,52.15B,64.28B,,5.453B,0.00,5.453B,2.434B,7.887B,,,,,,,,,7.887B,,7.62B,,7.62B,5.644B,5.644B,,,,3.582B,16.85B,24.73B,,177.00M,37.15B,7.371B,4.66B,,,,-490.00M,39.55B,,AOR,Restated
2012-03,3.76B,874.00M,4.634B,5.712B,5.712B,545.00M,,803.00M,,1.25B,391.00M,,,11.99B,,71.65B,-24.74B,46.90B,,,,1.965B,,767.00M,,49.64B,61.62B,,5.522B,248.00M,5.77B,2.328B,8.098B,,,,,,,,,8.098B,,5.873B,,5.873B,5.203B,5.203B,,,,3.701B,14.78B,22.88B,,177.00M,36.26B,7.313B,4.517B,,,,-488.00M,38.75B,,AOR,Restated
2011-12,3.781B,,3.781B,5.395B,5.395B,512.00M,,655.00M,,1.069B,,,1.297B,11.54B,69.37B,69.37B,-23.69B,45.68B,,,,2.072B,,746.00M,,48.50B,60.04B,,5.304B,110.00M,5.414B,2.533B,7.947B,,,,,,,,,7.947B,,5.871B,,5.871B,4.846B,4.846B,,0.00,,3.76B,14.48B,22.42B,,177.00M,35.14B,7.286B,4.502B,,,,-483.00M,37.62B,,AOR,Restated
2011-09,4.039B,849.00M,4.888B,4.829B,4.829B,527.00M,,794.00M,,1.249B,410.00M,,,11.38B,,66.02B,-23.00B,43.02B,,,,2.105B,,738.00M,,45.87B,57.24B,,4.595B,140.00M,4.735B,2.174B,6.909B,,,,,,,,95.00M,7.004B,,5.87B,,5.87B,4.494B,4.494B,,,,3.295B,13.76B,20.76B,,177.00M,33.88B,7.273B,4.434B,,,,-419.00M,36.48B,,AOR,Restated
2011-06,1.994B,813.00M,2.807B,5.542B,5.542B,502.00M,,772.00M,,1.202B,392.00M,,,9.943B,,63.90B,-22.10B,41.80B,,,,2.084B,,773.00M,,44.65B,54.60B,,5.03B,237.00M,5.267B,2.23B,7.497B,,,500.00M,,500.00M,,,96.00M,8.093B,,3.749B,,3.749B,4.002B,4.002B,,,,3.484B,11.34B,19.44B,,177.00M,32.48B,7.221B,4.271B,,,,-452.00M,35.16B,,AOR,Restated
2011-03,2.10B,998.00M,3.098B,6.009B,6.009B,495.00M,,668.00M,,1.091B,393.00M,,,10.59B,,61.89B,-21.30B,40.60B,,,,2.093B,,783.00M,,43.47B,54.06B,,5.076B,361.00M,5.437B,2.856B,8.293B,,,1.00B,,1.00B,,,98.00M,9.391B,,3.748B,,3.748B,3.724B,3.724B,,,,3.432B,11.02B,20.41B,,177.00M,31.04B,7.201B,4.241B,,,,-522.00M,33.66B,,AOR,Restated
2010-12,2.578B,900.00M,3.478B,5.032B,5.032B,477.00M,,636.00M,,1.041B,647.00M,,2.861B,13.06B,,57.17B,-20.63B,36.54B,,,,2.039B,,,798.00M,39.37B,52.43B,,4.646B,170.00M,4.816B,2.397B,7.213B,,,,,,,,612.00M,7.825B,,5.111B,,5.111B,3.445B,3.445B,,0.00,,3.567B,12.12B,19.95B,,177.00M,29.87B,7.191B,4.228B,,,,-524.00M,32.48B,,AOR,Restated
