,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-03,3.303B,3.34B,1.579B,1.761B,285.00M,,4.00M,,,,,,285.00M,1.476B,,,,75.00M,,1.401B,601.00M,850.00M,-4.00M,,-21.00M,,846.00M,847.60M,1.82B,344.00M,1.476B,,1.06,-0.005,,,1.057,1.055,,1.045,-0.005,,,1.042,1.04,,800.80M,812.60M,0.155,,,
2004-12,2.593B,2.662B,353.00M,2.309B,287.00M,,242.00M,,,,,,1.538B,771.00M,,,,271.00M,,847.00M,401.00M,574.00M,168.00M,,-16.00M,,742.00M,428.80M,1.053B,282.00M,771.00M,,0.715,-0.19,,,0.5335,0.525,,0.71,-0.19,,,0.5308,0.515,,800.20M,810.40M,0.1375,,,
2004-09,3.005B,3.039B,1.461B,1.578B,242.00M,,,,,,,,242.00M,1.336B,,,,43.00M,,1.234B,495.00M,759.00M,-1.00M,,-23.00M,,758.00M,759.00M,1.657B,321.00M,1.336B,,0.955,0.00,,,0.955,0.955,,0.94,0.00,,,0.94,0.94,,792.60M,806.60M,0.1375,,,
2004-06,2.724B,2.743B,1.478B,1.265B,238.00M,,,,,,,,238.00M,1.027B,,,,26.00M,,965.00M,384.00M,584.00M,-3.00M,,-23.00M,,581.00M,584.00M,1.351B,324.00M,1.027B,,0.74,0.00,,,0.74,0.74,,0.73,0.00,,,0.73,0.73,,787.80M,797.80M,0.1375,,,
2004-03,2.557B,2.58B,1.434B,1.146B,225.00M,,,,,,,,225.00M,921.00M,,,,15.00M,,850.00M,363.00M,489.00M,-2.00M,,-13.00M,,487.00M,489.00M,1.245B,324.00M,921.00M,,0.625,-0.005,,,0.625,0.62,,0.62,-0.005,,,0.62,0.615,,783.00M,794.40M,0.1375,,,
2003-12,2.284B,2.302B,98.00M,2.204B,249.00M,,1.00M,,,,,,1.424B,780.00M,,,,0.00,,767.00M,308.00M,388.00M,,0.00,-13.00M,,382.00M,387.40M,1.087B,307.00M,780.00M,,0.255,0.16,0.00,,0.2542,0.505,,0.255,0.00,-0.0002,,0.2542,0.50,,758.40M,762.85M,0.13,,,
2003-09,2.319B,2.349B,1.319B,1.03B,216.00M,,9.00M,,,,,,216.00M,814.00M,,,,24.00M,,746.00M,300.00M,446.00M,,,-11.00M,,446.00M,440.60M,1.111B,297.00M,814.00M,,0.58,0.00,,,0.5730,0.58,,0.57,0.00,,,0.5631,0.57,,771.00M,782.20M,0.13,,,
2003-06,2.266B,2.305B,1.293B,1.012B,263.00M,,22.00M,,,,,,263.00M,749.00M,,,,15.00M,,664.00M,290.00M,374.00M,,,-19.00M,,374.00M,360.80M,1.035B,286.00M,749.00M,,0.49,0.00,,,0.4728,0.49,,0.485,0.00,,,0.4679,0.485,,765.20M,773.40M,0.13,,,
2003-03,2.371B,2.405B,1.326B,1.079B,187.00M,,,,,,,,187.00M,892.00M,,,,-16.00M,,761.00M,333.00M,393.00M,,-68.00M,-19.00M,,325.00M,393.00M,1.177B,285.00M,892.00M,,0.52,0.00,0.00,,0.52,0.43,,0.515,0.00,-0.0897,,0.515,0.425,,758.20M,766.40M,0.13,,,
2002-12,1.985B,1.985B,209.00M,1.776B,181.00M,,258.00M,,,,,,1.193B,583.00M,,,,-2.00M,,566.00M,243.00M,323.00M,-1.00M,0.00,-14.00M,,322.00M,168.20M,843.00M,260.00M,583.00M,,0.43,0.00,0.00,,0.2242,0.43,,0.425,0.00,0.0000,,0.2209,0.425,,752.37M,758.62M,0.125,,,
2002-09,1.963B,1.963B,1.154B,809.00M,207.00M,,-247.00M,,,,,,207.00M,602.00M,,,,-222.00M,,308.00M,-168.00M,476.00M,-74.00M,,-22.00M,,402.00M,624.20M,847.00M,245.00M,602.00M,,0.63,-0.095,,,0.8265,0.535,,0.625,-0.095,,,0.8198,0.53,,754.20M,760.80M,0.125,,,
2002-06,1.867B,1.892B,1.184B,708.00M,161.00M,,-1.00M,,,,,,161.00M,547.00M,,,,8.00M,,462.00M,221.00M,241.00M,-1.00M,,-16.00M,,240.00M,241.60M,800.00M,253.00M,547.00M,,0.32,0.00,,,0.3208,0.32,,0.315,0.00,,,0.3158,0.315,,751.60M,758.20M,0.125,,,
2002-03,1.523B,1.548B,1.014B,534.00M,151.00M,,-35.00M,,,,,,151.00M,383.00M,,,,-35.00M,,309.00M,126.00M,123.00M,-3.00M,-95.00M,-25.00M,,25.00M,144.00M,644.00M,261.00M,383.00M,,0.165,-0.005,0.00,,0.1930,0.035,,0.165,-0.005,-0.1268,,0.1929,0.035,,749.00M,753.20M,0.125,,,
2001-12,1.384B,1.384B,96.00M,1.288B,252.00M,,110.00M,,,,,,1.217B,71.00M,,,,-331.00M,,242.00M,-148.00M,-247.00M,-3.00M,0.00,-26.00M,,-247.00M,-313.00M,319.00M,248.00M,71.00M,,-0.335,0.00,0.00,,-0.4234,-0.335,,-0.365,0.00,0.0000,,-0.4534,-0.335,,746.66M,746.66M,0.125,,,
2001-09,1.983B,1.983B,1.21B,773.00M,157.00M,,-5.00M,,,,,,157.00M,616.00M,,,,-33.00M,,512.00M,69.00M,443.00M,1.00M,,-41.00M,,444.00M,447.33M,856.00M,240.00M,616.00M,,0.595,0.00,,,0.6008,0.595,,0.59,0.00,,,0.5958,0.59,,751.40M,751.40M,0.125,,,
2001-06,3.845B,3.908B,2.768B,1.14B,178.00M,,10.00M,,,,,,178.00M,962.00M,,,,10.00M,,812.00M,339.00M,473.00M,,,-44.00M,,473.00M,467.00M,1.199B,237.00M,962.00M,,0.635,0.00,,,0.6269,0.635,,0.63,0.00,,,0.6220,0.63,,744.00M,750.79M,0.125,,,
2001-03,4.475B,4.524B,3.31B,1.214B,247.00M,,-32.00M,,,,,,247.00M,967.00M,,,,-32.00M,,819.00M,308.00M,511.00M,,-24.00M,-32.00M,,484.00M,530.97M,1.212B,245.00M,967.00M,,0.69,-0.035,0.00,-0.0041,0.7170,0.655,,0.685,-0.035,-0.0324,-0.0041,0.7118,0.65,,740.40M,744.62M,0.125,,,
2000-12,3.942B,3.942B,2.128B,1.814B,-16.00M,,-276.00M,,,,,,892.00M,922.00M,,,,-383.00M,,639.00M,306.00M,333.00M,,,-44.00M,,333.00M,498.60M,1.143B,221.00M,922.00M,,0.435,0.015,,0.0000,0.6600,0.45,,0.435,0.00,,0.0000,0.6600,0.45,,736.16M,736.16M,0.125,,,
2000-09,3.863B,4.08B,2.871B,1.209B,262.00M,,127.00M,,,,,,262.00M,947.00M,,,,149.00M,,752.00M,351.00M,401.00M,,,-55.00M,,402.00M,324.80M,1.215B,268.00M,947.00M,,0.545,0.00,,0.0014,0.4418,0.545,,0.545,0.00,,0.0014,0.4418,0.545,,738.40M,738.40M,0.125,,,
2000-06,3.195B,3.801B,2.258B,1.543B,291.00M,,543.00M,,,,,,291.00M,1.252B,,,,543.00M,,1.053B,489.00M,564.00M,,,-56.00M,,564.00M,238.20M,1.486B,234.00M,1.252B,,0.765,0.00,,,0.3233,0.765,,0.765,0.00,,,0.3233,0.765,,737.60M,737.60M,0.125,,,
2000-03,2.574B,2.648B,1.608B,1.04B,154.00M,,37.00M,,,,,-1.38B,-1.041B,2.081B,,,,37.00M,,567.00M,296.00M,271.00M,,,-30.00M,,271.00M,248.80M,2.266B,185.00M,2.081B,,0.37,0.00,,,0.3398,0.37,,0.37,0.00,,,0.3398,0.37,,736.20M,736.20M,0.125,,,
1999-12,2.716B,2.716B,1.90B,816.00M,157.00M,,-419.00M,,,,,,376.00M,440.00M,,,,-419.00M,,888.00M,401.00M,487.00M,,0.00,-22.00M,0.00,383.00M,738.40M,659.00M,219.00M,440.00M,,0.53,0.005,0.00,-0.1460,0.8450,0.535,,0.51,0.005,0.0008,-0.1460,0.8250,0.535,,798.10M,798.10M,0.125,,,
1999-09,2.113B,2.113B,1.413B,700.00M,168.00M,,34.00M,,,,,,366.00M,334.00M,,,,34.00M,,259.00M,133.00M,126.00M,,,-16.00M,,126.00M,105.60M,532.00M,198.00M,334.00M,,0.175,0.00,,,0.1467,0.175,,0.175,0.00,,,0.1467,0.175,,720.00M,720.00M,0.125,,,
1999-06,1.647B,1.647B,1.113B,534.00M,160.00M,,16.00M,,,,,,363.00M,171.00M,,,,16.00M,,68.00M,56.00M,12.00M,,,-11.00M,3.00M,9.00M,2.40M,374.00M,203.00M,171.00M,,0.015,-0.005,,-0.005,-0.001,0.01,,0.015,-0.005,,-0.005,-0.001,0.01,,600.00M,600.00M,0.125,,,
1999-03,1.344B,1.344B,894.00M,450.00M,172.00M,,41.00M,,,,,,369.00M,81.00M,,,,41.00M,,-16.00M,41.00M,-57.00M,,-13.00M,-9.00M,4.00M,-70.00M,-81.60M,278.00M,197.00M,81.00M,,-0.085,-0.02,0.00,,-0.1199,-0.105,,-0.085,-0.02,-0.0184,,-0.1199,-0.105,,704.76M,704.76M,0.125,,,
1998-12,1.901B,1.901B,1.513B,388.00M,106.00M,,-279.00M,,,,,,310.00M,78.00M,,,,-279.00M,,-58.00M,-20.00M,-38.00M,0.00,,,4.00M,-38.00M,144.79M,282.00M,204.00M,78.00M,,-0.0604,0.00,,,0.2025,-0.0604,,-0.0604,0.00,,,0.2025,-0.0604,,695.44M,695.44M,0.125,,,
1998-09,1.661B,1.661B,1.198B,463.00M,181.00M,,174.00M,,,,,,383.00M,80.00M,,,,174.00M,,118.00M,80.00M,38.00M,,,,4.00M,38.00M,-66.40M,282.00M,202.00M,80.00M,,0.025,0.00,,,-0.1259,0.025,,0.025,0.00,,,-0.1259,0.025,,691.84M,691.84M,0.125,,,
1998-06,1.543B,1.543B,1.008B,535.00M,213.00M,,377.00M,,,,,,434.00M,101.00M,,,,377.00M,,333.00M,147.00M,186.00M,,,,5.00M,186.00M,-40.20M,322.00M,221.00M,101.00M,,0.255,0.00,,,-0.0637,0.255,,0.245,0.00,,,-0.0612,0.245,,709.80M,738.78M,0.125,,,
1998-03,1.70B,1.70B,1.058B,642.00M,178.00M,,299.00M,,,,,,408.00M,234.00M,,,,299.00M,,295.00M,156.00M,139.00M,38.00M,,,4.00M,177.00M,-40.40M,464.00M,230.00M,234.00M,,0.0975,0.0275,,,-0.1595,0.125,,0.095,0.0275,,,-0.1620,0.1225,,698.00M,698.00M,0.125,,,
1997-12,1.934B,1.934B,1.327B,607.00M,148.00M,,-773.00M,,,,,,383.00M,224.00M,,,,-773.00M,,-231.00M,-53.00M,-178.00M,-706.00M,,,21.00M,-884.00M,417.65M,459.00M,235.00M,224.00M,,-0.30,-1.06,,,0.5657,-1.36,,-1.195,-1.06,,,-0.3293,-1.36,,688.08M,688.08M,0.125,,,
1997-09,2.007B,2.007B,1.24B,767.00M,254.00M,,25.00M,,,,,,480.00M,287.00M,,,,25.00M,,205.00M,75.00M,130.00M,27.00M,,,21.00M,157.00M,114.15M,513.00M,110.00M,287.00M,,0.16,0.04,,,0.1367,0.20,,0.155,0.035,,,0.1329,0.19,,680.00M,715.79M,0.125,,,
1997-06,2.717B,2.717B,1.864B,853.00M,237.00M,,34.00M,,,,,,483.00M,370.00M,,,,34.00M,,295.00M,137.00M,158.00M,,,,23.00M,158.00M,137.60M,654.00M,284.00M,370.00M,,0.175,0.03,,,0.1440,0.205,,0.17,0.025,,,0.1405,0.195,,658.54M,692.31M,0.125,,,
1997-03,1.917B,1.917B,1.154B,763.00M,196.00M,,33.00M,,,,,,400.00M,363.00M,,,,33.00M,,288.00M,161.00M,127.00M,52.00M,,,23.00M,179.00M,107.20M,567.00M,204.00M,363.00M,,0.16,0.08,,,0.1295,0.24,,0.155,0.075,,,0.1258,0.23,,650.00M,678.26M,0.125,,,
1996-12,222.00M,222.00M,-10.00M,232.00M,82.00M,,23.00M,,,,,,163.00M,69.00M,,,,23.00M,,-15.00M,10.00M,-25.00M,,,,24.00M,159.00M,-38.80M,150.00M,81.00M,69.00M,,0.2050,,,0.00,0.1841,0.2050,,0.2050,,,0.00,0.1841,0.2050,,658.46M,658.46M,0.125,,,
1996-09,2.786B,2.786B,1.926B,860.00M,359.00M,,85.00M,,,,,,595.00M,265.00M,,,,85.00M,,235.00M,41.00M,194.00M,,,,23.00M,194.00M,123.83M,501.00M,236.00M,265.00M,,0.22,0.00,,,0.1297,0.22,,0.21,0.00,,,0.1238,0.21,,777.27M,814.29M,0.125,,,
1996-06,2.457B,2.457B,1.638B,819.00M,311.00M,,167.00M,,,,,,538.00M,281.00M,,,,167.00M,,328.00M,147.00M,181.00M,,,,23.00M,181.00M,80.80M,508.00M,227.00M,281.00M,,0.195,0.00,,,0.0713,0.195,,0.195,0.00,,,0.0713,0.195,,810.26M,810.26M,0.125,,,
1996-03,2.524B,2.524B,1.65B,874.00M,250.00M,,48.00M,,,,,,474.00M,400.00M,,,,48.00M,,308.00M,144.00M,164.00M,,,,23.00M,134.00M,135.20M,624.00M,224.00M,400.00M,,0.10,-0.045,,-0.0470,0.0549,0.055,,0.10,-0.045,,-0.0470,0.0549,0.055,,638.71M,638.71M,0.125,,,
1995-12,439.00M,439.00M,329.00M,110.00M,115.00M,,35.00M,,,,,,207.00M,-97.00M,,,,35.00M,,-205.00M,-59.00M,-146.00M,,,,23.00M,7.00M,-170.93M,-5.00M,92.00M,-97.00M,,-0.27,0.24,,,-0.3082,-0.03,,-0.27,0.24,,,-0.3082,-0.03,,651.94M,651.94M,0.125,,,
1995-09,2.557B,2.557B,1.728B,829.00M,254.00M,,58.00M,,,,,,489.00M,340.00M,,,,58.00M,,251.00M,112.00M,139.00M,,,,24.00M,139.00M,104.20M,575.00M,235.00M,340.00M,,0.18,0.00,,,0.1255,0.18,,0.18,0.00,,,0.1255,0.18,,638.89M,638.89M,0.125,,,
1995-06,2.679B,2.679B,1.752B,927.00M,353.00M,,94.00M,,,,,,588.00M,339.00M,,,,94.00M,,293.00M,106.00M,187.00M,,,,23.00M,187.00M,127.01M,574.00M,235.00M,339.00M,,0.255,0.00,,,0.1617,0.255,,0.245,0.00,,,0.1554,0.245,,643.14M,669.39M,0.125,,,
1995-03,2.714B,2.714B,1.807B,907.00M,245.00M,,57.00M,,,,,,483.00M,424.00M,,,,57.00M,,332.00M,154.00M,178.00M,,,,23.00M,178.00M,143.80M,662.00M,238.00M,424.00M,,0.245,0.00,,,0.1909,0.245,,0.245,0.00,,,0.1909,0.245,,632.65M,632.65M,0.125,,,
1994-12,2.564B,2.564B,1.864B,700.00M,313.00M,,54.00M,,,,,,550.00M,150.00M,,,,54.00M,,54.00M,54.00M,0.00,,,0.00,20.00M,0.00,-32.40M,387.00M,237.00M,150.00M,,-0.03,0.00,,,-0.0799,-0.03,,-0.03,0.00,,,-0.0799,-0.03,,648.89M,648.89M,0.125,,,
1994-09,2.404B,2.404B,1.73B,674.00M,252.00M,,54.00M,,,,,,481.00M,193.00M,,,,54.00M,,105.00M,82.00M,23.00M,,,-1.00M,20.00M,23.00M,-9.40M,422.00M,229.00M,193.00M,,0.005,0.00,,,-0.049,0.005,,0.005,0.00,,,-0.049,0.005,,600.00M,600.00M,0.125,,,
1994-06,2.162B,2.162B,1.612B,550.00M,219.00M,,33.00M,,,,,,443.00M,107.00M,,,,33.00M,,-8.00M,11.00M,-19.00M,,,,19.00M,-19.00M,-38.80M,331.00M,224.00M,107.00M,,-0.06,0.00,,,-0.0913,-0.06,,-0.06,0.00,,,-0.0913,-0.06,,633.33M,633.33M,0.125,,,
1994-03,2.106B,2.106B,1.632B,474.00M,204.00M,,39.00M,,,,,,411.00M,63.00M,,,,39.00M,,-44.00M,-4.00M,-40.00M,,,-1.00M,17.00M,-40.00M,-75.45M,270.00M,207.00M,63.00M,,-0.095,0.00,,,-0.1541,-0.095,,-0.095,0.00,,,-0.1541,-0.095,,600.00M,600.00M,0.125,,,
1993-12,2.02B,2.02B,1.562B,458.00M,187.00M,,21.00M,,,,,,423.00M,35.00M,,,,21.00M,,-94.00M,-111.00M,17.00M,40.00M,,0.00,10.00M,57.00M,4.40M,271.00M,236.00M,35.00M,,-0.43,0.485,,0.0011,-0.4468,0.055,,-0.43,0.485,,0.0011,-0.4468,0.055,,751.26M,751.26M,0.125,,,
1993-09,1.916B,1.916B,1.42B,496.00M,219.00M,,49.00M,,,,,,447.00M,49.00M,,,,49.00M,,-40.00M,61.00M,-101.00M,181.00M,,,12.00M,71.00M,-130.40M,277.00M,228.00M,49.00M,,-0.18,0.295,,-0.0153,-0.2298,0.10,,-0.18,0.295,,-0.0153,-0.2298,0.10,,590.00M,590.00M,0.125,,,
1993-06,2.011B,2.011B,1.477B,534.00M,190.00M,,120.00M,,,,,,412.00M,122.00M,,,,120.00M,,106.00M,31.00M,75.00M,,,-1.00M,11.00M,75.00M,-9.906M,344.00M,222.00M,122.00M,,0.105,0.00,,,-0.0343,0.105,,0.105,0.00,,,-0.0343,0.105,,609.52M,609.52M,0.125,,,
1993-03,2.169B,2.169B,1.599B,570.00M,185.00M,,238.00M,,,,,,406.00M,164.00M,,,,238.00M,,245.00M,162.00M,83.00M,,,,5.00M,80.00M,-59.80M,385.00M,221.00M,164.00M,,0.13,-0.005,,-0.005,-0.108,0.125,,0.13,-0.005,,-0.005,-0.108,0.125,,600.00M,600.00M,0.125,,,
1992-12,1.896B,1.896B,1.389B,507.00M,297.00M,,209.00M,,,,,,578.00M,-71.00M,,,,209.00M,,-18.00M,-11.00M,-7.00M,,,1.00M,0.00,-825.00M,-132.40M,210.00M,281.00M,-71.00M,,-0.01,-1.195,,-0.3237,-0.2231,-1.365,,-0.01,-1.195,,-0.3237,-0.2231,-1.365,,588.50M,588.50M,0.125,,,
1992-09,2.268B,2.268B,1.727B,541.00M,217.00M,,89.00M,,,,,,424.00M,117.00M,,,,89.00M,,41.00M,-28.00M,69.00M,,,-2.00M,1.00M,61.00M,15.60M,324.00M,206.00M,117.00M,,0.115,-0.015,,-0.0133,0.026,0.10,,0.115,-0.015,,-0.0133,0.026,0.10,,600.00M,600.00M,0.125,,,
1992-06,2.176B,2.176B,1.67B,506.00M,224.00M,,170.00M,,,,,,425.00M,81.00M,,,,170.00M,,90.00M,47.00M,43.00M,,,-1.00M,1.00M,75.00M,-59.00M,282.00M,201.00M,81.00M,,0.07,0.055,,0.0541,-0.1023,0.125,,0.07,0.055,,0.0541,-0.1023,0.125,,592.00M,592.00M,0.125,,,
1992-03,2.154B,2.154B,1.608B,546.00M,192.00M,,215.00M,,,,,,391.00M,155.00M,,,,215.00M,,208.00M,187.00M,21.00M,,,-2.00M,1.00M,98.00M,-108.00M,354.00M,199.00M,155.00M,,0.035,0.16,,0.1548,-0.2243,0.195,,0.035,0.16,,0.1548,-0.2243,0.195,,497.44M,497.44M,0.125,,,
1991-12,2.609B,2.609B,1.976B,633.00M,155.00M,,30.00M,,,,,,463.00M,170.00M,,,,30.00M,,25.00M,22.00M,3.00M,0.00,,-1.00M,1.00M,132.00M,-15.00M,478.00M,308.00M,170.00M,,0.0033,0.00,,0.2142,-0.0266,0.2175,,0.0033,0.00,,0.2142,-0.0266,0.2175,,602.29M,602.29M,0.125,,,
1991-09,2.33B,2.33B,1.809B,521.00M,365.00M,,790.00M,,,,,,540.00M,-19.00M,,,,790.00M,,512.00M,364.00M,148.00M,-52.00M,,-2.00M,2.00M,171.00M,-326.00M,156.00M,175.00M,-19.00M,,0.245,-0.09,,0.1243,-0.5403,0.28,,0.245,-0.09,,0.1243,-0.5403,0.28,,603.57M,603.57M,0.125,,,
1991-06,5.056B,5.056B,4.393B,663.00M,229.00M,,253.00M,,,,,,468.00M,195.00M,,,,253.00M,,216.00M,81.00M,135.00M,,,4.00M,2.00M,147.00M,-23.12M,434.00M,239.00M,195.00M,,0.225,0.02,,0.0203,-0.0422,0.245,,0.225,0.02,,0.0203,-0.0422,0.245,,591.84M,591.84M,0.125,,,
1991-03,5.303B,5.303B,4.464B,839.00M,241.00M,,70.00M,,,,,,474.00M,365.00M,,,,70.00M,,205.00M,122.00M,83.00M,,,3.00M,2.00M,83.00M,41.00M,598.00M,233.00M,365.00M,,0.135,0.00,,,0.065,0.135,,0.135,0.00,,,0.065,0.135,,600.00M,600.00M,0.125,,,
1990-12,6.063B,6.063B,5.036B,1.027B,410.00M,,-2.101B,,,,,,750.00M,277.00M,,,,-2.101B,,-2.083B,-105.00M,-1.978B,,,-7.00M,1.00M,-1.978B,17.09M,617.00M,340.00M,277.00M,,-3.39,0.00,,,-0.0602,-3.39,,-3.39,0.00,,,-0.0602,-3.39,,599.16M,599.16M,0.3125,,,
1990-09,5.35B,5.35B,4.523B,827.00M,256.00M,,110.00M,,,,,,514.00M,313.00M,,,,110.00M,,176.00M,65.00M,111.00M,,,-7.00M,2.00M,111.00M,41.62M,571.00M,258.00M,313.00M,,0.185,0.00,,,0.0673,0.185,,0.185,0.00,,,0.0673,0.185,,589.19M,589.19M,0.3125,,,
1990-06,5.122B,5.122B,4.377B,745.00M,268.00M,,100.00M,,,,,,523.00M,222.00M,,,,100.00M,,79.00M,10.00M,69.00M,,,-10.00M,2.00M,69.00M,-18.34M,477.00M,255.00M,222.00M,,0.115,0.00,,,-0.0349,0.115,,0.115,0.00,,,-0.0349,0.115,,582.61M,582.61M,0.3125,,,
1990-03,5.159B,5.159B,4.288B,871.00M,261.00M,,88.00M,,,,,,514.00M,357.00M,,,,88.00M,,205.00M,95.00M,110.00M,,,-5.00M,2.00M,110.00M,57.20M,610.00M,253.00M,357.00M,,0.19,0.00,,,0.0971,0.19,,0.19,0.00,,,0.0971,0.19,,568.42M,568.42M,0.3125,,,
1989-12,5.049B,5.049B,4.159B,890.00M,292.00M,,55.00M,,,,,,661.00M,229.00M,,,,55.00M,,33.00M,3.00M,30.00M,,,-8.00M,1.00M,30.00M,-20.00M,598.00M,369.00M,229.00M,,0.05,0.00,,,-0.0400,0.05,,0.05,0.00,,,-0.0400,0.05,,555.46M,555.46M,0.3125,,,
1989-09,4.826B,4.826B,3.944B,882.00M,389.00M,,139.00M,,,,,,649.00M,233.00M,,,,139.00M,,122.00M,56.00M,66.00M,,,-8.00M,2.00M,66.00M,-17.40M,493.00M,260.00M,233.00M,,0.12,0.00,,,-0.0364,0.12,,0.12,0.00,,,-0.0364,0.12,,533.33M,533.33M,0.3125,,,
1989-06,5.05B,5.05B,,,,,,,,,,,,5.05B,,,,,,,,84.00M,,,,,84.00M,,5.05B,,5.05B,,0.155,0.00,,,0.155,0.155,,0.155,0.00,,,0.155,0.155,,538.29M,538.29M,0.3125,,,
1989-03,5.143B,5.143B,,,,,,,,,,,,5.143B,,,,,,,,76.00M,,,,,76.00M,,5.143B,,5.143B,,0.135,0.00,,,0.135,0.135,,0.135,0.00,,,0.135,0.135,,534.49M,534.49M,0.3125,,,
1988-12,5.284B,5.284B,,,,,,,,,,,,-13.09B,,,,,,,,7.00M,,,,,7.00M,,-13.09B,,-13.09B,,,,,,,,,,,,,,,,575.92M,575.92M,0.3125,,,
1988-09,4.913B,4.913B,,,,,,,,,,,,4.913B,,,,,,,,108.00M,,,,,108.00M,,4.913B,,4.913B,,0.195,0.00,,,0.195,0.195,,0.195,0.00,,,0.195,0.195,,533.41M,533.41M,0.3125,,,
1988-06,4.744B,4.744B,,,,,,,,,,,,4.744B,,,,,,,,87.00M,,,,,87.00M,,4.744B,,4.744B,,0.195,0.00,,,0.195,0.195,,0.195,0.00,,,0.195,0.195,,533.19M,533.19M,0.3125,,,
1988-03,4.476B,4.476B,,,,,,,,,,,,4.476B,,,,,,,,111.00M,,,,,111.00M,,4.476B,,4.476B,,0.255,0.00,,,0.255,0.255,,0.255,0.00,,,0.255,0.255,,425.55M,425.55M,0.3125,,,
1987-12,4.389B,4.389B,,,,,,,,,,,,-11.68B,,,,,,,,2.00M,,,,,2.00M,,-11.68B,,-11.68B,,,,,,,,,,,,,,,,427.35M,427.35M,0.3125,,,
1987-09,4.222B,4.222B,,,,,,,,,,,,4.222B,,,,,,,,46.00M,,,,,46.00M,,4.222B,,4.222B,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,408.62M,408.62M,0.3125,,,
1987-06,4.328B,4.328B,,,,,,,,,,,,4.328B,,,,,,,,59.00M,,,,,59.00M,,4.328B,,4.328B,,0.115,0.00,,,0.115,0.115,,0.115,0.00,,,0.115,0.115,,396.43M,396.43M,0.3125,,,
1987-03,4.157B,4.157B,,,,,,,,,,,,4.157B,,,,,,,,77.00M,,,,,77.00M,,4.157B,,4.157B,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,396.43M,396.43M,0.3125,,,
1986-12,4.169B,4.169B,,,,,,,,,,,,-10.36B,,,,,,,,20.10M,,,,,20.10M,,-10.36B,,-10.36B,,,,,,,,,,,,,,,,329.46M,329.46M,0.3125,,,
1986-09,3.717B,3.717B,,,,,,,,,,,,3.717B,,,,,,,,39.10M,,,,,39.10M,,3.717B,,3.717B,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,316.70M,316.70M,0.3125,,,
1986-06,3.827B,3.827B,,,,,,,,,,,,3.827B,,,,,,,,38.70M,,,,,38.70M,,3.827B,,3.827B,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,316.70M,316.70M,0.3125,,,
1986-03,3.631B,3.631B,,,,,,,,,,,,3.631B,,,,,,,,74.20M,,,,,74.20M,,3.631B,,3.631B,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,219.52M,219.52M,0.3125,,,
1985-12,3.776B,3.776B,,,,,,,,,,,,-9.720B,,,,,,,,33.70M,,,,,33.70M,,-9.720B,,-9.720B,,,,,,,,,,,,,,,,222.03M,222.03M,0.3125,,,
1985-09,3.383B,3.383B,,,,,,,,,,,,3.383B,,,,,,,,200.80M,,,,,200.80M,,3.383B,,3.383B,,0.66,0.00,,,0.66,0.66,,0.66,0.00,,,0.66,0.66,,217.06M,217.06M,,,,
1985-06,3.679B,3.679B,,,,,,,,,,,,3.679B,,,,,,,,137.70M,,,,,137.70M,,3.679B,,3.679B,,0.335,0.00,,,0.335,0.335,,0.335,0.00,,,0.335,0.335,,192.55M,192.55M,,,,
1985-03,3.696B,3.696B,,,,,,,,,,,,3.696B,,,,,,,,82.80M,,,,,82.80M,,3.696B,,3.696B,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,191.92M,191.92M,,,,
1984-12,3.955B,3.955B,,,,,,,,,,,,-9.885B,,,,,,,,184.20M,,,,,184.20M,,-9.885B,,-9.885B,,,,,,,,,,,,,,,,191.92M,191.92M,,,,
