,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-06,48.83M,,,,,,,11.85M,11.85M,,-30.52M,1.965M,4.481M,-4.896M,0.154M,7.819M,9.523M,39.69M,-36.92M,0.00,-36.92M,,-0.709M,142.60M,104.97M,-329.25M,,-329.25M,9.218M,,9.218M,,,58.87M,-21.90M,,181.05M,-102.01M,22.39M,42.65M,65.04M,9.218M,-34.00M,-295.25M,
2004-03,18.96M,,,,,,,11.69M,11.69M,,-4.694M,-1.35M,-0.57M,4.896M,-0.154M,1.92M,4.742M,30.69M,-2.434M,,-2.434M,,-8.873M,-37.58M,-48.88M,-59.02M,,-59.02M,73.64M,,73.64M,,,,-18.03M,,5.457M,2.043M,38.55M,-16.15M,22.39M,73.64M,34.00M,-93.02M,
2003-12,22.20M,,,,,-31.03M,-1.847M,14.41M,14.41M,,-8.225M,-7.726M,-10.38M,,,31.68M,-16.24M,12.14M,-63.86M,0.00,-63.86M,,-407.62M,102.84M,-449.85M,593.02M,,327.02M,0.708M,,0.708M,,,,-17.97M,,152.32M,462.08M,14.17M,24.38M,38.55M,0.708M,567.71M,-240.68M,
2003-09,17.62M,,,,,8.865M,0.615M,9.48M,9.48M,,1.432M,1.687M,1.617M,,,-10.61M,-7.303M,21.23M,-7.76M,55.81M,48.05M,,20.84M,-103.82M,-34.94M,29.90M,,29.90M,0.11M,,0.11M,,,,-17.87M,,-1.071M,11.07M,16.81M,-2.639M,14.17M,0.11M,152.29M,-122.40M,
2003-06,16.97M,,,,,11.57M,0.616M,12.19M,12.19M,,-4.39M,-1.045M,8.23M,,,-12.06M,-4.877M,19.89M,-9.037M,0.786M,-8.251M,,-0.501M,6.193M,-2.559M,-9.958M,,-9.958M,3.189M,,3.189M,,,0.00,-17.62M,,-0.746M,-25.14M,24.62M,-7.809M,16.81M,3.189M,12.00M,-21.96M,
2003-03,18.52M,,,,,10.59M,0.616M,11.21M,11.21M,,-3.345M,-2.842M,-4.529M,,,5.972M,-1.399M,24.98M,-23.09M,62.48M,39.39M,,-0.149M,-43.26M,-4.024M,-38.26M,,-38.26M,3.585M,,3.585M,,,,-17.40M,,-2.288M,-54.36M,58.02M,-33.40M,24.62M,3.585M,141.00M,-179.26M,
2002-12,19.17M,,,,,,,9.131M,9.131M,,5.465M,1.249M,8.277M,-6.045M,8.788M,,-6.683M,27.08M,-14.11M,,-14.11M,,,151.32M,42.84M,-86.72M,,-282.65M,0.497M,,0.497M,,,,-16.70M,,273.50M,-25.35M,13.45M,44.57M,58.02M,0.497M,-151.32M,-131.33M,
2002-09,19.43M,,,,,,,10.39M,10.39M,,-14.88M,-0.723M,9.56M,-0.723M,9.56M,,17.67M,32.61M,-9.168M,,-9.168M,,,11.29M,2.123M,-25.48M,,-25.48M,0.512M,,0.512M,,,,-16.71M,,-0.089M,-41.77M,20.49M,-7.036M,13.45M,0.512M,8.093M,-33.57M,
2002-06,18.10M,,,,,,,10.22M,10.22M,,-3.056M,-4.303M,3.175M,-4.303M,3.175M,,-2.256M,23.01M,-3.087M,,-3.087M,,,-95.95M,-99.04M,100.34M,,100.34M,3.478M,,3.478M,,,,-18.90M,,-0.832M,84.09M,12.43M,8.057M,20.49M,3.478M,133.16M,-32.82M,
2002-03,17.64M,,,,,,,9.322M,9.322M,,-5.692M,1.803M,-0.086M,1.803M,-0.086M,,3.434M,24.70M,-5.761M,,-5.761M,,,2.058M,-3.703M,-9.644M,,-9.644M,2.16M,,2.16M,,,,-14.28M,,,-21.76M,13.19M,-0.764M,12.43M,2.16M,10.07M,-19.71M,
2001-12,16.00M,,,,,,,14.69M,14.69M,,2.886M,-8.384M,2.006M,-8.384M,2.006M,,-12.76M,20.82M,-8.684M,,-8.684M,,,-9.903M,-18.59M,20.77M,,20.77M,-0.084M,,-0.084M,,,,-14.79M,,-0.927M,4.971M,5.991M,7.202M,13.19M,-0.084M,81.00M,-60.23M,
2001-09,15.25M,,,,,-18.91M,-0.698M,7.174M,7.174M,,4.053M,2.202M,-1.547M,4.208M,-2.73M,-4.011M,-1.878M,24.60M,-5.002M,-81.00M,-86.00M,,9.821M,11.62M,-64.56M,104.80M,-236.86M,-132.06M,150.38M,,150.38M,,,,-12.82M,,-3.28M,2.214M,43.74M,-37.75M,5.991M,150.38M,176.38M,-308.44M,
2001-06,18.04M,,,,,18.91M,0.698M,9.887M,9.887M,,-5.846M,0.841M,-1.704M,-1.638M,-1.836M,0.863M,-3.474M,18.61M,-111.84M,68.57M,-43.27M,,-2.877M,-5.457M,-51.60M,6.567M,71.31M,77.88M,2.744M,,2.744M,,,,-12.76M,,0.792M,68.66M,8.078M,35.66M,43.74M,2.744M,149.70M,-71.82M,
2001-03,13.71M,,,,,,,9.72M,9.72M,,-5.51M,-1.907M,-1.241M,-1.434M,0.074M,3.148M,-1.36M,16.56M,-292.26M,12.43M,-279.83M,,-6.944M,1.47M,-285.31M,114.19M,165.55M,279.74M,0.621M,,0.621M,,,,-12.70M,,-1.637M,266.03M,10.79M,-2.715M,8.078M,0.621M,343.35M,-63.60M,
2000-12,27.95M,,,,,,,5.114M,5.114M,,-3.482M,-17.74M,2.273M,-7.672M,-0.059M,0.753M,-22.44M,7.141M,9.921M,-70.42M,-60.50M,,29.31M,42.58M,11.39M,32.65M,-43.75M,-11.10M,0.556M,,0.556M,,,,-12.02M,,0.763M,-21.81M,14.06M,-3.271M,10.79M,0.556M,144.91M,-156.01M,
2000-09,18.40M,,,,,,,8.30M,8.30M,,-4.84M,1.796M,2.959M,1.871M,2.877M,-4.755M,4.748M,26.61M,-35.84M,12.11M,-23.73M,,4.46M,26.62M,7.346M,-0.943M,-19.00M,-19.94M,0.953M,,0.953M,,,,-12.00M,,-4.21M,-35.20M,15.32M,-1.253M,14.06M,0.953M,34.17M,-54.12M,
2000-06,15.82M,,,,,,,8.403M,8.403M,,-8.574M,-2.587M,0.596M,-14.05M,1.395M,1.991M,-12.66M,2.998M,-22.66M,17.73M,-4.928M,,3.976M,-1.617M,-2.569M,14.03M,15.25M,29.28M,2.472M,,2.472M,,,,-11.96M,,-15.06M,4.741M,10.15M,5.17M,15.32M,2.472M,149.84M,-120.56M,
2000-03,24.04M,,,,,,,7.816M,7.816M,,-15.72M,0.29M,-2.301M,1.611M,-0.686M,2.011M,0.925M,17.06M,-6.895M,40.58M,33.69M,,-37.75M,-50.81M,-54.87M,-20.43M,47.50M,27.07M,0.38M,,0.38M,,,,-11.95M,,10.90M,26.40M,21.56M,-11.41M,10.15M,0.38M,85.32M,-58.26M,
1999-12,10.36M,,,,,,,6.36M,6.36M,,-15.41M,8.605M,6.30M,-13.80M,6.30M,,7.405M,8.713M,-44.54M,,-44.54M,,,49.25M,-19.98M,-21.77M,59.20M,37.43M,,,,,,,-11.59M,,-1.452M,24.39M,8.40M,13.12M,21.56M,,91.98M,-54.54M,
1999-09,10.50M,,,,,,,8.30M,8.30M,,-8.10M,3.60M,2.30M,3.60M,2.30M,,11.80M,22.50M,-7.10M,,-7.10M,,,-21.90M,-29.00M,-6.60M,23.20M,16.60M,,,,,,,-11.60M,,-0.10M,4.90M,,2.20M,8.40M,,165.70M,-172.30M,
1999-06,11.40M,,,,,,,6.80M,6.80M,,7.70M,-13.40M,2.40M,-13.40M,2.40M,,-22.00M,3.90M,-99.30M,,-99.30M,,,-9.70M,-109.00M,220.10M,-112.30M,107.80M,,,,,,,-11.70M,,-2.30M,93.80M,,,,,220.60M,-0.50M,
1999-03,10.60M,,,,,,,5.80M,5.80M,,-3.70M,-1.40M,1.50M,-1.40M,1.50M,,0.20M,12.90M,-72.30M,,-72.30M,,,1.60M,-70.70M,-1.60M,89.10M,87.50M,,,,,,,-11.50M,,-3.10M,72.90M,6.20M,,,,,-1.60M,
1998-12,8.752M,,,,,,,4.704M,4.704M,,-7.897M,14.91M,-8.00M,-0.10M,-8.00M,,-1.194M,4.365M,-7.843M,,-7.843M,,,8.651M,-10.09M,80.94M,-52.20M,28.74M,-0.845M,,-0.845M,-0.70M,,-0.70M,-11.54M,,-4.571M,11.08M,,,6.236M,-1.545M,130.71M,-101.97M,
1998-09,10.20M,,,,,,,4.00M,4.00M,,-1.60M,-1.20M,-1.80M,-1.20M,-1.80M,,-6.00M,6.60M,-104.40M,,-104.40M,,,-10.90M,-115.30M,97.60M,-126.10M,-28.50M,-0.20M,,-0.20M,0.00,,0.00,-10.30M,,110.10M,71.10M,,,,-0.20M,112.00M,-14.40M,
1998-06,6.40M,,,,,,,4.00M,4.00M,,10.60M,-11.00M,1.40M,-11.00M,1.40M,,-19.20M,1.80M,-76.10M,,-76.10M,,,-6.20M,-82.30M,-16.60M,126.10M,109.50M,243.10M,,243.10M,110.40M,,110.40M,-5.20M,,-349.50M,108.30M,,,,353.50M,239.90M,-256.50M,
