,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2005-06,1.978M,,1.978M,,,92.05M,62.14M,156.17M,,,,,2.050B,-192.25M,1.858B,,,1.035B,,,,,2.893B,3.155B,94.88M,,,94.88M,6.909M,101.79M,,,,,,101.79M,1.394B,16.17M,1.410B,16.41M,32.45M,76.78M,,,1.442B,1.669B,248.72M,225.50M,949.62M,,248.30M,6.118M,1.409B
2005-03,16.79M,,16.79M,,,84.77M,53.41M,154.97M,,,,,1.845B,-179.18M,1.666B,,,954.29M,,,,,2.620B,2.933B,88.90M,,,88.90M,5.768M,94.66M,,,,,,94.66M,1.315B,16.11M,1.331B,19.56M,35.44M,75.26M,,,1.367B,1.483B,248.72M,191.62M,940.17M,,248.30M,15.16M,1.374B
2004-12,,,,,,,56.42M,56.42M,,,,,,,1.580B,,,,,,,,1.580B,2.752B,,,,,4.494M,4.494M,,,,,,4.494M,1.150B,,1.150B,,,75.06M,,,1.150B,1.329B,0.409M,191.18M,917.61M,,,,1.348B
2004-09,23.30M,,23.30M,,,76.84M,45.94M,146.08M,,,,,1.500B,-163.73M,1.336B,,,875.46M,3.935M,,,,2.216B,2.591B,88.26M,,,88.26M,5.015M,93.28M,,,,,,93.28M,1.127B,16.38M,1.144B,,,54.30M,,,1.144B,1.293B,248.71M,101.73M,907.64M,,248.30M,2.548M,1.244B
2004-06,65.04M,,65.04M,,,81.16M,41.87M,188.07M,,,,,1.370B,-175.60M,1.195B,,,766.95M,4.509M,,,,1.966B,2.257B,81.25M,,,81.25M,4.135M,85.38M,,,,,,85.38M,919.08M,16.33M,935.41M,,,54.24M,,,935.41M,1.069B,211.24M,101.69M,830.82M,,210.85M,6.337M,1.133B
2004-03,22.39M,,22.39M,,,78.90M,47.77M,149.06M,,,,,1.356B,-165.33M,1.191B,,,600.00M,3.524M,,,,1.794B,2.296B,70.96M,,,70.96M,4.788M,75.74M,,,,,,75.74M,1.060B,16.25M,1.077B,,,52.76M,,,1.077B,1.211B,152.37M,75.60M,825.84M,,151.98M,-3.704M,1.032B
2003-12,,,,,,,,,,,,,,,,,,,,,,,,2.262B,,,,,,,,,,,,,,,,,,54.79M,,,,1.256B,,,,,,,950.78M
2003-09,14.17M,,14.17M,,,75.38M,110.64M,200.19M,,,,,1.274B,-147.08M,1.127B,,,373.78M,7.068M,,,,1.507B,1.765B,79.96M,,,79.96M,2.553M,82.51M,,,,,,82.51M,792.43M,16.09M,808.52M,,,53.95M,,,808.52M,927.32M,0.358M,75.40M,722.56M,,,-5.382M,783.88M
2003-06,16.81M,,16.81M,,,69.28M,61.84M,147.93M,,,,,1.317B,-136.84M,1.180B,,,345.27M,3.945M,,,,1.529B,1.726B,77.82M,,,77.82M,3.158M,80.98M,,,,,,80.98M,762.53M,16.01M,778.54M,,,54.16M,,,778.54M,1.012B,0.311M,70.68M,609.32M,,,-12.70M,659.00M
2003-03,24.62M,,24.62M,,,66.14M,59.04M,149.80M,,,,,1.343B,-130.68M,1.213B,,,332.03M,5.213M,,,,1.550B,1.756B,69.55M,,,69.55M,2.917M,72.47M,,,,,,72.47M,772.47M,15.94M,788.41M,,,55.31M,,,788.41M,1.047B,0.309M,69.53M,603.91M,,,-11.38M,653.14M
2002-12,,,,,,,,,,,,,,,,,,,,,,,,1.473B,,,,,,,,,,,,,,,,,,44.72M,,,,801.81M,,,,,,,626.64M
2002-09,13.45M,,13.45M,,,63.06M,32.54M,109.05M,,,,,1.008B,-119.06M,888.82M,,,414.96M,4.832M,,,,1.309B,1.467B,65.09M,,,65.09M,1.945M,67.04M,,,,,,67.04M,548.73M,15.90M,564.63M,,,44.94M,,,564.63M,797.09M,0.303M,47.46M,591.67M,,,-8.279M,625.16M
2002-06,20.49M,,20.49M,,,64.59M,34.49M,119.57M,,,,,997.53M,-115.56M,881.98M,,,421.55M,3.515M,,,,1.307B,1.480B,58.37M,,,58.37M,1.951M,60.32M,,,,,,60.32M,595.30M,15.80M,611.10M,,,45.64M,,,611.10M,810.74M,0.303M,43.86M,590.20M,,,-4.709M,623.49M
2002-03,12.43M,,12.43M,,,61.57M,37.13M,111.12M,,,,,995.17M,-108.03M,887.13M,,,127.77M,3.417M,,,,1.018B,1.368B,55.23M,,,55.23M,1.617M,56.84M,,,,,,56.84M,408.19M,15.64M,423.83M,1.676M,1.676M,47.30M,,,425.51M,702.33M,0.301M,41.60M,584.41M,,,-1.709M,618.36M
2001-12,,,,,,,38.42M,38.42M,,,,,,,883.60M,,,,,,,,883.60M,1.372B,,,,,,,,,,,,,504.83M,,504.83M,,,46.43M,,,504.83M,712.24M,0.30M,39.68M,583.35M,,,,612.91M
2001-09,5.991M,,5.991M,,,12.23M,37.10M,55.32M,,,,,973.56M,-93.34M,880.22M,,,151.62M,1.883M,,,,1.034B,1.346B,49.53M,,,49.53M,1.935M,51.46M,,,,,,51.46M,484.13M,15.50M,499.64M,1.363M,1.363M,46.47M,,,501.00M,689.31M,0.30M,40.12M,582.87M,,,-4.50M,610.39M
2001-06,43.74M,,43.74M,,,7.008M,37.52M,88.27M,,,,,978.42M,-86.58M,891.84M,,,132.43M,99.82M,,,,1.124B,1.321B,47.58M,,,47.58M,2.533M,50.12M,,,,,,50.12M,608.65M,15.44M,624.09M,1.587M,1.587M,43.55M,,,625.67M,811.79M,0.249M,38.79M,436.26M,,,-1.896M,465.36M
2001-03,8.078M,,8.078M,,,8.94M,43.44M,60.46M,,,,,1.186B,-81.41M,1.105B,,,79.59M,94.03M,,,,1.279B,1.444B,48.38M,,,48.38M,3.676M,52.06M,,,,,,52.06M,740.46M,15.37M,755.83M,2.073M,2.073M,43.06M,,,757.90M,945.64M,0.248M,32.89M,433.48M,,,-2.409M,454.82M
2000-12,,,,,,,,,,,,,,,817.38M,,,,,,,,817.38M,1.161B,,,,,,,,,,,,,460.72M,,460.72M,,,43.33M,,,460.72M,551.98M,0.246M,31.17M,428.70M,,,,455.07M
2000-09,14.06M,,14.06M,,,9.132M,,23.20M,,,,,934.20M,-72.18M,862.02M,,,67.58M,0.964M,,,,930.56M,1.154B,50.08M,,,50.08M,3.069M,53.15M,,,,,,53.15M,472.10M,15.24M,487.34M,1.444M,1.444M,41.75M,,,488.79M,674.39M,0.245M,14.63M,428.64M,,,,437.57M
2000-06,15.32M,,15.32M,,,6.851M,,22.17M,,,,,926.24M,-68.65M,857.58M,,,71.38M,0.781M,,,,929.74M,1.161B,51.35M,,,51.35M,1.823M,53.18M,,145.75M,145.75M,,,198.93M,492.05M,15.16M,507.21M,1.838M,1.838M,42.54M,,,509.05M,690.89M,0.244M,7.565M,425.84M,,,,427.41M
2000-03,10.15M,,10.15M,,,5.079M,,15.23M,,,,,915.76M,-62.96M,852.80M,,,62.02M,0.446M,,,,915.26M,1.124B,39.77M,,,39.77M,3.158M,42.92M,,141.75M,141.75M,,,184.68M,474.01M,15.09M,489.10M,1.48M,1.48M,42.43M,,,490.58M,661.47M,0.242M,3.418M,423.03M,,,,420.03M
1999-12,21.56M,,21.56M,,,5.747M,,27.31M,,,,,934.70M,-56.98M,877.72M,,,28.42M,0.463M,,,,906.60M,1.071B,40.68M,,,40.68M,2.70M,43.38M,,113.60M,113.60M,,,156.98M,435.69M,15.02M,450.71M,0.306M,0.306M,41.49M,,,451.02M,623.64M,0.242M,-9.422M,421.96M,,,,406.10M
1999-09,,,,,,,,,,,,,,,841.90M,,,,,,,,841.90M,1.030B,,,,,2.30M,2.30M,,61.00M,61.00M,,,63.30M,337.20M,14.90M,352.10M,,,45.60M,,,352.10M,468.90M,0.20M,-9.30M,422.40M,,,,515.70M
1999-06,,,,,,,,,,,,,,,866.30M,,,,,,,,866.30M,1.032B,,,,,2.40M,2.40M,,88.00M,88.00M,,,90.40M,314.30M,14.90M,329.20M,,,45.60M,,,329.20M,470.60M,,-8.90M,,,,,515.40M
1999-03,,,,,,,,,,,,,,,772.50M,,,,,,,,772.50M,920.30M,,,,,1.70M,1.70M,,200.30M,200.30M,,,202.00M,94.30M,14.90M,109.20M,,,44.90M,,,109.20M,360.50M,,-8.80M,,,,,514.90M
1998-12,6.236M,,6.236M,,,3.951M,,10.19M,,,,,697.06M,-37.32M,659.74M,,,10.69M,0.245M,,,,670.68M,777.80M,0.063M,,27.61M,27.68M,,27.68M,,111.30M,111.30M,,,138.98M,74.66M,14.74M,89.40M,0.00,0.00,41.49M,,,89.40M,331.48M,0.24M,-8.559M,416.94M,,,,404.83M
1998-09,,,,,,,,,,,,,,,656.10M,,,,26.40M,,,,682.50M,753.90M,,,,,0.40M,0.40M,,,,,,0.40M,133.40M,14.70M,148.10M,,,41.70M,,,148.10M,196.30M,,-7.10M,,,,,515.90M
1998-06,,,,,,,,,,,,,,,554.30M,,,,21.80M,,,,576.10M,672.40M,,,,,0.40M,0.40M,,,,,,0.40M,51.90M,14.60M,66.50M,,,40.70M,,,66.50M,115.40M,,-6.50M,,,,,516.30M
