,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2007-09,245.25M,245.25M,55.43M,189.82M,,30.90M,30.90M,47.25M,1.652M,8.674M,,,,66.16M,,-66.16M,30.40M,110.19M,79.63M,,66.16M,-66.16M,11.30M,-66.16M,,20.78M,82.76M,,-3.993M,4.969M,103.54M,20.78M,129.59M,49.96M,79.63M,0.27,1.39,,,0.27,1.66,0.26,1.38,,,0.26,1.64,59.43M,62.41M,0.7
2007-06,251.81M,251.81M,,,,,24.13M,,,,,,,62.60M,,-62.60M,103.75M,171.19M,80.62M,,62.60M,-62.60M,,-62.60M,,24.44M,246.41M,,,4.969M,270.85M,24.44M,134.64M,54.02M,80.62M,0.33,4.14,,,0.33,4.47,0.32,4.06,,,0.32,4.38,59.51M,63.28M,0.7
2007-03,285.92M,285.92M,,,,,34.25M,,,,,,,57.59M,,-57.59M,86.64M,156.95M,128.97M,,57.59M,-57.59M,,-57.59M,,148.82M,3.581M,,,4.969M,152.40M,148.82M,170.98M,42.01M,128.97M,1.19,0.06,,,1.19,2.6,1.18,0.06,,,1.18,2.53,56.65M,60.93M,0.7
2006-12,128.38M,128.38M,5.463M,122.92M,,,25.67M,15.42M,1.329M,,,,,,,,36.83M,79.25M,43.66M,,,,,,,25.72M,8.614M,,-3.464M,4.969M,34.33M,25.72M,70.98M,27.32M,43.66M,0.35,0.2,,,0.35,0.58,0.35,0.2,,,0.35,0.58,47.02M,50.83M,0.7
2006-09,129.59M,129.59M,4.846M,124.74M,,,13.83M,18.02M,1.14M,,,,,,,,49.52M,82.51M,42.23M,,,,,,,25.89M,97.77M,,-2.638M,4.969M,123.66M,25.89M,63.35M,21.12M,42.23M,0.46,0.07,,,0.46,2.62,0.45,0.07,,,0.45,2.53,45.28M,49.22M,0.6
2006-06,123.64M,123.64M,4.921M,118.72M,,,13.26M,16.72M,1.242M,,,,,,,,43.93M,75.15M,43.57M,,,,,,,30.21M,3.818M,,-2.424M,4.969M,34.03M,30.21M,61.53M,16.16M,43.57M,0.58,0.09,,,0.58,0.67,0.57,0.08,,,0.57,0.65,43.19M,46.90M,0.6
2006-03,116.37M,116.37M,4.921M,111.44M,,,12.99M,15.64M,0.714M,,,,,,,,45.50M,74.84M,36.61M,,,,,,,27.04M,1.659M,,-2.041M,4.969M,28.70M,27.04M,52.96M,15.64M,36.61M,0.51,0.04,,,0.51,0.55,0.5,0.04,,,0.5,0.54,42.86M,46.61M,0.6
2005-12,4.438M,54.63M,5.161M,49.47M,,11.96M,11.96M,6.119M,0.875M,,,,,,,,-193.55M,34.20M,15.27M,,,,,,,10.63M,15.18M,,-0.853M,4.969M,25.80M,10.63M,34.13M,18.85M,15.27M,0.13,-0.45,,,0.13,0.49,0.13,-0.45,,,0.13,0.48,42.15M,45.74M,0.6
2005-09,140.40M,115.60M,4.835M,110.76M,,13.42M,13.42M,14.76M,1.887M,,,,-76.75M,,,,118.60M,71.92M,38.84M,,,,,,,40.88M,1.415M,,-2.18M,4.969M,42.30M,40.88M,55.49M,16.65M,38.84M,0.58,0.03,,,0.58,0.89,0.58,0.03,,,0.58,0.87,41.92M,45.67M,0.54
2005-06,115.39M,102.06M,4.825M,97.23M,,10.59M,10.59M,14.43M,0.907M,,,,-68.60M,,,,106.44M,63.77M,33.46M,,,,,,,26.01M,35.42M,,-1.301M,4.969M,61.44M,26.01M,48.80M,14.88M,33.46M,0.5,0.85,,,0.5,1.35,0.49,0.82,,,0.49,1.31,41.79M,45.50M,0.54
2005-03,112.17M,100.11M,4.516M,95.60M,8.238M,,8.238M,14.04M,0.793M,,,,-65.90M,,,,104.21M,61.38M,34.21M,,,,,,,27.50M,0.379M,,-1.576M,4.969M,27.88M,27.50M,49.04M,14.83M,34.21M,0.55,0.01,,,0.55,0.56,0.53,0.01,,,0.53,0.54,41.30M,45.16M,0.54
2004-12,-28.25M,26.88M,4.127M,22.75M,,9.335M,9.335M,,,,,,,,,,-123.53M,16.20M,6.546M,,,,,,,7.328M,109.17M,,-0.178M,4.969M,116.49M,7.328M,29.24M,22.70M,6.546M,3.53,-0.14,,,3.53,2.82,3.38,-0.14,,,3.38,2.72,40.67M,44.61M,0.54
2004-09,96.50M,85.87M,3.758M,82.11M,,5.574M,5.574M,,,,,,-56.78M,,,,91.20M,53.02M,29.09M,,,,,,,22.72M,2.428M,,-1.032M,4.843M,25.15M,22.72M,42.12M,13.02M,29.09M,0.46,0.06,,,0.46,0.52,0.43,0.06,,,0.43,0.49,39.39M,43.32M,0.5
2004-06,82.71M,82.71M,3.866M,78.84M,,,4.467M,,,,,,,,,,31.28M,47.59M,31.25M,,,,,,,47.24M,1.594M,,-2.551M,3.446M,48.83M,47.24M,43.10M,11.85M,31.25M,1.14,0.04,,,1.14,1.18,1.09,0.04,,,1.09,1.13,38.64M,42.46M,0.5
2004-03,91.58M,81.03M,3.866M,77.16M,,10.90M,10.90M,,,,,,-58.72M,,,,90.99M,54.86M,22.30M,,,,,,,17.44M,0.00,,-0.852M,3.00M,18.96M,18.96M,33.99M,11.69M,22.30M,0.38,0.04,,,0.38,0.42,0.36,0.04,,,0.36,0.4,37.98M,42.01M,0.5
2003-12,14.05M,14.05M,3.093M,10.95M,,,8.147M,,,,,,,,,,33.93M,11.05M,-0.098M,,,,,,,-0.026M,43.49M,,0.084M,0.625M,22.20M,-21.30M,14.31M,14.41M,-0.098M,1.52,-0.94,,,1.52,0.58,1.38,-0.94,,,1.38,0.57,36.00M,39.64M,0.5
2003-09,75.92M,75.92M,3.366M,72.55M,,,2.994M,,,,,,,,,,32.56M,46.87M,25.69M,,,,,,,16.25M,1.645M,,-0.887M,2.224M,21.64M,20.00M,37.00M,9.48M,25.69M,0.45,0.17,,,0.45,0.62,0.44,0.15,,,0.44,0.59,31.27M,39.19M,0.465
2003-06,74.35M,74.35M,3.266M,71.08M,,,2.804M,,,,,,,,,,30.27M,44.64M,26.44M,,,,,,,17.32M,0.958M,,-1.103M,2.30M,17.97M,17.02M,38.63M,12.19M,26.44M,0.48,0.02,,,0.48,0.5,0.47,0.02,,,0.47,0.49,31.08M,38.82M,0.465
2003-03,66.68M,66.68M,3.164M,63.51M,,,3.186M,,,,,,,,,,26.31M,40.09M,23.42M,,,,,,,16.79M,1.733M,,-1.062M,2.30M,36.35M,34.61M,34.63M,11.21M,23.42M,0.5,0.61,,,0.5,1.11,0.49,0.52,,,0.49,1.01,30.71M,38.18M,0.465
2002-12,7.308M,7.308M,,,,,3.563M,,,,,,,,,,,211.79M,-216.77M,,,,,,,3.559M,15.61M,,-6.451M,2.422M,19.17M,3.559M,-207.64M,9.131M,-216.77M,0.71,-0.16,,,0.71,0.55,0.68,-0.16,,,0.68,0.54,30.39M,51.92M,0.465
