,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-03,2.018B,-503.00M,-503.00M,540.00M,540.00M,206.00M,,,2.896B,,,,,11.50B,16.66B,,,,,-266.00M,-9.419B,-4.236B,-13.92B,,4.853B,-2.542B,2.311B,,,-161.00M,,,,,,-874.00M,,31.00M,-4.909B,,15.40B,-2.173B,13.22B,,,8.499B,-3.646B,,,,,,
2005-12,1.93B,-3.742B,-2.897B,1.159B,1.159B,599.00M,,,18.67B,,,,,-25.68B,-6.221B,,,,,66.00M,-4.108B,-14.37B,-18.42B,,3.082B,648.00M,3.73B,,,-308.00M,,,,,,-870.00M,,-1.871B,26.10B,,13.93B,1.466B,15.40B,,,4.188B,-1.106B,,,,,,
2005-09,1.975B,2.712B,2.41B,1.00B,1.00B,-357.00M,,,-17.57B,,,,,609.00M,-11.94B,,,,,6.00M,-2.429B,1.519B,-904.00M,,-4.451B,5.287B,836.00M,,,-710.00M,,,,,,-879.00M,,177.00M,12.81B,,13.96B,-31.00M,13.93B,,,4.114B,-8.565B,,,,,,
2005-06,1.91B,-163.00M,-706.00M,949.00M,949.00M,110.00M,,,1.064B,,,,,-2.184B,1.143B,,,,,-11.00M,1.935B,-2.533B,-609.00M,,5.931B,-6.546B,-615.00M,,,-480.00M,,,,,,-811.00M,,17.00M,-39.00M,,13.47B,495.00M,13.96B,,,9.156B,-3.225B,,,,,,
2005-03,1.856B,-7.00M,-7.00M,1.053B,1.053B,461.00M,,,150.00M,,,,,1.516B,5.029B,,,,,5.00M,1.718B,-9.212B,-7.489B,,3.335B,2.489B,5.824B,,,-294.00M,,,,,,-815.00M,,4.00M,3.024B,,12.90B,564.00M,13.47B,,,9.015B,-5.68B,,,,,,
2004-12,1.785B,-3.00M,-290.00M,930.00M,930.00M,-59.00M,,,1.798B,,,,,-2.958B,1.206B,,,,,-286.00M,1.059B,-7.551B,-6.778B,,2.35B,-2.316B,34.00M,,,75.00M,,,,,,-813.00M,,-141.00M,5.226B,,13.25B,-346.00M,12.90B,,,4.458B,-2.108B,,,,,,
2004-09,1.748B,-19.00M,-231.00M,849.00M,849.00M,-113.00M,,,14.34B,,,,,-3.08B,13.51B,,,,,1.00M,547.00M,-14.44B,-13.89B,,5.639B,-5.553B,86.00M,,,-8.00M,,,,,,-811.00M,,251.00M,180.00M,,13.45B,-200.00M,13.25B,,,8.219B,-2.58B,,,,,,
2004-06,1.714B,47.00M,-68.00M,804.00M,804.00M,517.00M,,,-9.144B,,,,,6.171B,-6.00M,,,,,-14.00M,-5.176B,-15.32B,-20.51B,,-7.623B,9.434B,1.811B,,,-700.00M,,,,,,-761.00M,,-111.00M,19.99B,,13.97B,-523.00M,13.45B,,,4.381B,-12.00B,,,,,,
2004-03,1.767B,-85.00M,-1.00M,866.00M,866.00M,87.00M,,,3.674B,,,,,-1.018B,5.375B,,,,,-32.00M,845.00M,-12.67B,-11.86B,,9.389B,-4.262B,5.127B,,,-284.00M,,,,,,-765.00M,,-12.00M,4.908B,,15.55B,-1.575B,13.97B,,,12.34B,-2.947B,,,,,,
2003-12,1.624B,-26.00M,992.00M,790.00M,790.00M,980.00M,,,25.96B,,,,,-1.066B,29.28B,,,,,-6.00M,-1.786B,-20.40B,-22.19B,,570.00M,-1.044B,-474.00M,,,134.00M,,,,,,-763.00M,,13.00M,-6.967B,,15.42B,124.00M,15.55B,,,3.813B,-3.243B,,,,,,
2003-09,1.561B,-27.00M,-771.00M,917.00M,917.00M,1.006B,,,1.682B,,,,,275.00M,4.67B,,,,,-48.00M,-5.918B,-21.32B,-27.29B,,749.00M,1.706B,2.455B,,,-173.00M,,,,,,-756.00M,,-83.00M,22.00B,,16.04B,-622.00M,15.42B,,,5.992B,-5.243B,,,,,,
2003-06,1.525B,4.00M,-1.415B,1.348B,1.348B,-316.00M,,,9.982B,,,,,-6.694B,4.43B,,,,,-5.00M,3.951B,-5.599B,-1.653B,,11.34B,-9.313B,2.032B,,,35.00M,,,,,,-504.00M,,684.00M,-2.743B,,16.01B,34.00M,16.04B,,,13.02B,-1.676B,,,,,,
2003-03,1.492B,-13.00M,-680.00M,1.25B,1.25B,28.00M,,,-11.63B,,,,,2.353B,-7.185B,,,,,-763.00M,-386.00M,-10.70B,-11.85B,,-405.00M,-250.00M,-655.00M,,,-607.00M,,,,,,-507.00M,,37.00M,17.23B,,17.82B,-1.809B,16.01B,,,7.364B,-7.769B,,,,,,
2002-12,1.466B,-82.00M,-595.00M,2.52B,2.52B,150.00M,,,-6.31B,,,,,-6.981B,-9.75B,,,,,-14.00M,5.556B,-8.38B,-2.838B,,1.959B,3.076B,5.035B,,,-661.00M,,,,,,-475.00M,,-464.00M,14.60B,,15.81B,2.007B,17.82B,,,5.369B,-3.41B,,,,,,
2002-09,1.445B,-3.00M,-229.00M,699.00M,699.00M,6.00M,,,-19.70B,,,,,2.211B,-15.57B,,,,,-42.00M,4.44B,-3.318B,1.08B,,3.359B,262.00M,3.621B,,,-637.00M,,,,,,-477.00M,,553.00M,15.60B,,14.70B,1.112B,15.81B,,,5.178B,-1.819B,,,,,,
2002-06,1.42B,-72.00M,-217.00M,143.00M,143.00M,-271.00M,,,1.709B,,,,,1.915B,4.699B,,,,,21.00M,2.721B,-7.81B,-5.068B,,1.544B,-3.301B,-1.757B,,,-140.00M,,,-450.00M,,,-480.00M,,-20.00M,511.00M,,14.56B,142.00M,14.70B,,,4.125B,-2.581B,,,,,,
2002-03,1.103B,-41.00M,-172.00M,935.00M,935.00M,420.00M,,,6.329B,,,,,-3.449B,5.166B,,,,,-553.00M,1.094B,-5.19B,-4.649B,,4.397B,-5.261B,-864.00M,,,-17.00M,,,450.00M,,,-445.00M,,-37.00M,-2.926B,,16.97B,-2.409B,14.56B,,,7.489B,-3.092B,,,,,,
2001-12,1.181B,1.169B,-896.00M,1.853B,1.853B,-404.00M,,,-778.00M,,,,,-4.323B,-3.367B,,,,,-76.00M,540.00M,-5.058B,-4.594B,,3.507B,-2.414B,1.093B,,,-674.00M,,,,,,-442.00M,,-1.343B,9.138B,,15.97B,1.177B,16.97B,,,5.084B,-1.577B,,,,,,
2001-09,1.164B,-166.00M,-454.00M,730.00M,730.00M,354.00M,,,-2.348B,,,,,4.446B,3.892B,,,,,-122.00M,673.00M,-10.87B,-10.32B,,-1.164B,8.518B,7.354B,,,-414.00M,,,,,,-449.00M,,1.256B,6.251B,,15.97B,-175.00M,15.97B,,,2.55B,-3.714B,,,,,,
2001-06,-87.00M,-24.00M,1.446B,800.00M,800.00M,-687.00M,,,-8.82B,,,,,-574.00M,-7.922B,,,,,-163.00M,-1.871B,1.151B,-883.00M,,629.00M,2.326B,2.955B,,,-338.00M,,,,,,-417.00M,,111.00M,9.248B,,15.52B,443.00M,15.97B,,,2.536B,-1.907B,,,,,,
2001-03,1.165B,-253.00M,-253.00M,481.00M,481.00M,141.00M,,,-6.739B,,,,,2.49B,-2.715B,,,,,-98.00M,-3.011B,157.00M,-2.952B,,2.561B,363.00M,2.924B,,,-50.00M,,,,,,-416.00M,,-8.00M,4.212B,,16.98B,-1.455B,15.52B,,,5.988B,-3.427B,,,,,,
2000-12,1.128B,-2.114B,-456.00M,584.00M,584.00M,98.00M,,,6.016B,,,,,-1.361B,6.009B,,,,,469.00M,-1.507B,-13.51B,-14.55B,,1.208B,4.32B,5.528B,,,-211.00M,,,,,,-416.00M,,346.00M,10.54B,,14.99B,1.992B,16.98B,,,1.401B,-193.00M,,,,,,
2000-09,849.00M,340.00M,-101.00M,456.00M,456.00M,775.00M,,,-2.26B,,,,,-1.159B,-1.44B,,,,,-607.00M,6.759B,-3.514B,2.638B,,1.564B,-5.683B,-4.119B,,,-404.00M,,,,,,-450.00M,,-793.00M,-1.248B,,14.17B,-50.00M,14.99B,,,4.721B,-3.157B,,,,,,
2000-06,1.009B,40.00M,-1.162B,329.00M,329.00M,-386.00M,,,-4.575B,,,,,1.753B,-3.032B,,,,,607.00M,5.155B,-10.37B,-4.604B,,1.685B,5.066B,6.751B,,,-1.049B,,,,,,-330.00M,,-13.00M,9.669B,,13.00B,2.033B,14.17B,,,6.486B,-4.801B,,,,,,
2000-03,1.04B,601.00M,601.00M,421.00M,421.00M,386.00M,,,4.785B,,,,,-1.40B,5.833B,,,,,,-182.00M,-5.869B,-6.051B,,1.238B,-7.214B,-5.976B,,,-1.152B,,,,,,-390.00M,,-8.00M,-897.00M,,14.12B,-1.115B,13.00B,,,2.936B,-1.698B,,,,,,
1999-12,1.235B,247.00M,507.00M,479.00M,479.00M,,,,-998.00M,,,,,420.00M,3.254B,,161.00M,,161.00M,,-202.00M,-8.803B,-8.913B,,-887.00M,8.707B,7.82B,,,-1.615B,,,,,,-446.00M,,5.00M,6.845B,,12.01B,1.186B,14.12B,,,1.367B,-2.254B,,,,,,
1999-09,962.00M,2.00M,113.00M,456.00M,456.00M,,,,1.419B,,,,,-1.151B,1.799B,,-32.00M,,-32.00M,,-625.00M,-2.754B,-3.411B,,3.65B,-909.00M,2.741B,,,-14.00M,,,,,,-338.00M,,-3.00M,990.00M,,12.63B,-622.00M,12.01B,,,4.971B,-1.321B,,,,,,
1999-06,931.00M,-23.00M,-381.00M,737.00M,737.00M,,,,1.07B,,,,,739.00M,3.096B,,84.00M,,84.00M,,1.536B,-7.562B,-5.942B,,924.00M,2.885B,3.809B,,,-196.00M,,,,,,-339.00M,,-11.00M,4.115B,,11.36B,1.269B,12.63B,,,1.457B,-533.00M,,,,,,
1999-03,884.00M,2.00M,-11.00M,299.00M,299.00M,,,,7.111B,,,,,-157.00M,8.126B,,-213.00M,,-213.00M,,-6.694B,1.25B,-5.657B,,657.00M,1.229B,1.886B,,,21.00M,,,,,,-313.00M,,-25.00M,-3.836B,,12.73B,-1.367B,11.36B,,,5.53B,-4.873B,,,,,,
1998-12,-194.00M,-8.00M,346.00M,522.00M,522.00M,,,,-2.597B,,,,,-1.228B,-3.28B,,-286.00M,,-286.00M,,125.00M,-3.559B,-3.72B,,1.278B,-1.497B,-219.00M,,,674.00M,,,,,,-266.00M,,1.843B,8.746B,,10.98B,1.746B,12.73B,,,4.282B,-3.004B,,,,,,
1998-09,741.00M,-76.00M,-171.00M,609.00M,609.00M,,,,-3.31B,,,,,912.00M,-1.219B,,194.00M,,194.00M,,-4.904B,-636.00M,-5.346B,,1.747B,3.585B,5.332B,,,-194.00M,,,,,,-261.00M,,-271.00M,5.467B,,12.08B,-1.098B,10.98B,,,2.971B,-1.224B,,,,,,
1998-06,719.00M,-66.00M,-307.00M,571.00M,571.00M,,,,-19.95B,,,,,21.14B,2.167B,,-171.00M,,-171.00M,,4.105B,-1.29B,2.644B,,-113.00M,-2.002B,-2.115B,,,-152.00M,,,,,,-243.00M,,33.00M,-5.705B,,12.98B,-894.00M,12.08B,,,417.00M,-530.00M,,,,,,
1998-03,684.00M,-19.00M,-37.00M,466.00M,466.00M,,,,17.86B,,,,,-20.84B,-1.865B,,-23.00M,,-23.00M,,-3.017B,1.465B,-1.575B,,-584.00M,2.328B,1.744B,,,-411.00M,,,,,,-247.00M,,-152.00M,3.336B,,13.08B,-104.00M,12.98B,,,300.00M,-884.00M,,,,,,
1997-12,1.504B,30.70M,30.70M,1.131B,1.131B,,,,-626.50M,,,,,686.60M,2.899B,,160.10M,,160.10M,,5.727B,679.50M,6.566B,,-352.50M,1.484B,1.132B,,,-2.018B,,,,,,-617.70M,,-1.064B,-10.42B,,0.00,-952.70M,13.08B,,,1.530B,-1.882B,,,,,,
1997-09,341.60M,1.130B,1.351B,197.30M,197.30M,,,,-1.578B,,,,,-562.20M,-250.10M,,-75.60M,,-75.60M,,834.40M,-93.40M,665.40M,,4.60M,-429.80M,-425.20M,,,-59.00M,,,,,,-116.80M,,0.00,-120.00M,,0.00,295.30M,0.00,,,1.132B,-1.127B,,,,,,
1997-06,331.40M,-1.189B,-1.410B,227.60M,227.60M,,,,-1.017B,,,,,-1.083B,-2.951B,,-82.30M,,-82.30M,,2.209B,-487.20M,1.640B,,72.30M,768.40M,840.70M,,,-151.00M,,,,,,-117.00M,,0.10M,439.10M,,0.00,-872.20M,0.00,,,527.90M,-455.60M,,,,,,
1997-03,321.90M,-70.90M,-70.90M,178.40M,178.40M,,,,1.254B,,,,,1.098B,2.781B,,-69.20M,,-69.20M,,-4.699B,21.10M,-4.747B,,-1.115B,1.015B,-100.00M,,,-29.80M,,,,,,-116.50M,,0.90M,-16.40M,,7.371B,-1.982B,0.00,,,814.10M,-1.930B,,,,,,
1996-12,1.382B,24.50M,145.30M,968.30M,968.30M,467.00M,,,-4.642B,,,,,149.10M,-1.530B,,180.60M,,180.60M,,6.147B,8.696B,15.02B,,708.10M,-1.315B,-606.80M,,,-2.726B,,,309.70M,,,-601.20M,,1.660B,-4.784B,,0.00,8.709B,0.00,,,3.729B,-3.021B,,,,,,
1996-09,289.00M,206.50M,155.30M,192.40M,192.40M,,,,1.541B,,,,,183.70M,2.362B,,-71.60M,,-71.60M,,54.20M,-431.20M,-448.60M,,-705.90M,-1.379B,-2.085B,,,-55.90M,,,0.00,,,-104.70M,,1.10M,-1.757B,,0.00,156.20M,0.00,,,301.80M,-1.008B,,,,,,
1996-06,285.40M,-188.00M,-257.60M,160.10M,160.10M,17.10M,,,2.704B,,,,,-290.50M,2.618B,,-58.90M,,-58.90M,,-998.80M,-2.706B,-3.764B,,-548.60M,1.386B,836.90M,,,-58.10M,,,0.00,,,-103.20M,,1.00M,1.388B,,0.00,242.40M,0.00,,,301.70M,-850.30M,,,,,,
1996-03,271.40M,-55.00M,-55.00M,137.20M,137.20M,-17.10M,,,439.00M,,,,,-80.30M,695.20M,,-50.10M,,-50.10M,,-159.10M,116.30M,-92.90M,,656.40M,-661.40M,-5.00M,,,-26.00M,,,-112.70M,,,-90.90M,,0.10M,-811.90M,,4.946B,-209.60M,0.00,,,2.070B,-1.414B,,,,,,
1995-12,259.70M,-677.50M,-749.70M,109.70M,109.70M,-69.60M,,,1.143B,,,,,-719.30M,-26.60M,,-51.60M,,-51.60M,,4.608B,-1.62B,2.937B,,583.60M,-3.120B,-2.536B,,,-219.00M,,,178.50M,,,-91.80M,,,-1.470B,,0.00,1.440B,0.00,,,2.786B,-2.202B,,,,,,
1995-09,245.20M,-36.20M,-46.70M,77.60M,77.60M,-21.40M,,,-1.651B,,,,,-541.30M,-1.938B,,-51.40M,,-51.40M,,-2.107B,-194.70M,-2.353B,,302.00M,2.659B,2.961B,,,147.70M,,,-178.90M,,,-91.20M,,,3.935B,,0.00,-355.70M,0.00,,,1.171B,-869.00M,,,,,,
1995-06,234.30M,-59.20M,-67.80M,63.80M,63.80M,24.80M,,,-1.755B,,,,,128.00M,-1.372B,,-53.60M,,-53.60M,,1.097B,-1.096B,-52.60M,,1.495B,146.70M,1.642B,,,-104.70M,,,0.00,,,-79.10M,,,1.683B,,0.00,258.30M,0.00,,,1.605B,-109.80M,,,,,,
1995-03,216.80M,-88.10M,-93.60M,60.70M,60.70M,-4.20M,,,-165.50M,,,,,-219.70M,-205.50M,,-51.40M,,-51.40M,,447.60M,-395.70M,0.50M,,1.673B,-809.40M,864.00M,,,7.60M,,,20.00M,,,-75.70M,,,-215.90M,,4.024B,-420.90M,0.00,,,1.767B,-93.70M,,,,,,
1994-12,204.90M,-1.274B,-1.34B,47.60M,47.60M,333.60M,,,1.216B,,,,,-1.261B,-798.60M,,-62.40M,,-62.40M,,-324.90M,-1.279B,-1.667B,,875.20M,719.40M,1.595B,,,-156.10M,,,170.60M,,,-71.70M,,0.00,2.645B,,0.00,179.80M,0.00,,,1.054B,-179.10M,,,,,,
1994-09,203.00M,-71.00M,-69.10M,72.20M,72.20M,-49.90M,,,268.00M,,,,,399.40M,823.60M,,-86.00M,,-86.00M,,796.00M,-951.40M,-241.40M,,1.054B,-755.80M,297.90M,,,-109.50M,,,0.00,,,-65.20M,,0.30M,67.90M,,0.00,650.10M,0.00,,,1.103B,-49.40M,,,,,,
1994-06,202.00M,-1.582B,-1.600B,55.40M,55.40M,23.70M,,,2.591B,,,,,-37.80M,1.235B,,-65.90M,,-65.90M,,-1.683B,-498.70M,-2.247B,,407.20M,1.494B,1.901B,,,-114.70M,,,-0.40M,,,-66.00M,,1.30M,419.90M,,0.00,-592.70M,0.00,,,784.60M,-377.40M,,,,,,
1994-03,190.50M,1.627B,1.623B,57.00M,57.00M,5.30M,,,-114.60M,,,,,-112.70M,1.648B,,-51.70M,,-51.70M,,-230.00M,-247.70M,-529.40M,,-97.50M,279.50M,182.00M,,,-52.00M,,,-7.90M,,,-65.10M,,1.40M,-939.70M,,3.608B,179.10M,0.00,,,566.70M,-664.20M,,,,,,
1993-12,175.00M,270.60M,94.50M,55.80M,55.80M,16.20M,,,-120.90M,,,,,-524.80M,-304.20M,,-56.10M,,-56.10M,,-1.788B,1.262B,-581.90M,,800.80M,-309.10M,491.70M,,,-17.00M,,,-0.10M,,,-55.00M,,1.10M,1.17B,,0.00,283.90M,0.00,,,1.561B,-760.20M,,,,,,
1993-09,167.30M,383.90M,322.40M,51.70M,51.70M,10.60M,,,-261.30M,,,,,566.30M,857.00M,,-76.90M,,-76.90M,,1.931B,-659.40M,1.194B,,351.00M,-2.791B,-2.440B,,,-16.20M,,,0.00,,,-54.90M,,1.00M,-2.006B,,0.00,45.10M,0.00,,,1.071B,-719.70M,,,,,,
1993-06,161.10M,310.10M,-5.933B,47.30M,47.30M,-23.90M,,,4.608B,,,,,-136.90M,-1.278B,,-36.40M,,-36.40M,,111.50M,-452.80M,-377.70M,,189.80M,1.184B,1.374B,,,-38.10M,,,-0.30M,,,-55.10M,,0.20M,1.778B,,0.00,122.50M,0.00,,,611.10M,-421.30M,,,,,,
1993-03,150.20M,-221.20M,5.989B,40.00M,40.00M,1.60M,,,-5.404B,,,,,337.50M,1.114B,,-41.90M,,-41.90M,,22.70M,100.00M,80.80M,,945.20M,-1.017B,-71.60M,,,2.60M,,,-0.30M,,,-47.80M,,0.90M,-1.581B,,2.993B,-385.40M,0.00,,,1.058B,-113.00M,,,,,,
1992-12,134.20M,2.865B,22.40B,192.30M,192.30M,-54.80M,,,-21.99B,,,,,-662.10M,18.00M,,-59.30M,,-59.30M,,-755.70M,-2.624B,-3.439B,,44.10M,2.184B,2.228B,,,-3.70M,,,,,,-47.50M,,0.90M,3.610B,,0.00,189.40M,0.00,,,465.50M,-421.40M,,,,,,
1992-09,133.90M,-10.30M,-22.50M,40.70M,40.70M,-36.40M,,,1.642B,,,,,672.20M,2.43B,,-63.60M,,-63.60M,,-656.60M,-1.720B,-2.440B,,352.30M,-392.50M,-40.20M,,,-16.20M,,,,,,-47.60M,,0.80M,-284.80M,,0.00,-295.10M,0.00,,,416.60M,-64.30M,,,,,,
1992-06,127.90M,-5.70M,-12.80M,39.30M,39.30M,10.60M,,,40.20M,,,,,-137.90M,67.30M,,-27.80M,,-27.80M,,1.080B,-580.80M,471.60M,,574.10M,-367.20M,206.90M,,,-14.20M,,,,,,-41.90M,,0.70M,-442.50M,,0.00,96.40M,0.00,,,674.90M,-100.80M,,,,,,
1992-03,122.40M,-10.10M,-9.00M,38.40M,38.40M,-5.40M,,,-553.30M,,,,,33.40M,-373.50M,,-23.70M,,-23.70M,,-1.174B,490.40M,-707.20M,,-76.60M,1.357B,1.280B,,,-11.40M,,,,,,-42.00M,,0.60M,836.90M,,3.035B,-243.80M,0.00,,,1.10M,-77.70M,,,,,,
1991-12,108.90M,59.30M,67.00M,38.70M,38.70M,84.50M,,,-566.90M,,,,,-165.10M,-432.90M,,-18.40M,,-18.40M,,-679.70M,109.60M,-588.50M,,-58.60M,-89.80M,-148.40M,,,5.30M,,,30.40M,,,-40.20M,,-34.00M,816.70M,,0.00,-204.70M,0.00,,,350.00M,-408.60M,,,,,,
1991-09,104.10M,50.50M,56.90M,37.80M,37.80M,-46.10M,,,19.20M,,,,,322.50M,494.40M,,-15.80M,,-15.80M,,-192.40M,381.10M,172.90M,,344.10M,-619.50M,-275.40M,,,6.70M,,,225.40M,,,-32.70M,,1.80M,-230.90M,,0.00,436.40M,0.00,,,375.00M,-30.90M,,,,,,
1991-06,108.50M,-57.80M,-55.70M,40.80M,40.80M,-5.50M,,,-679.60M,,,,,-216.50M,-808.00M,,-24.00M,,-24.00M,,-803.10M,562.40M,-264.70M,,19.70M,840.50M,860.20M,,,17.60M,,,-30.40M,,,-30.60M,,2.50M,216.40M,,0.00,-856.30M,0.00,,,180.00M,-160.30M,,,,,,
1991-03,77.00M,-33.50M,-34.20M,31.80M,31.80M,-4.80M,,,384.20M,,,,,47.60M,501.60M,,-19.90M,,-19.90M,,-837.20M,89.60M,-767.50M,,306.00M,-493.40M,-187.40M,,,192.80M,,,,,,-26.30M,,2.80M,-868.30M,,2.704B,-1.134B,0.00,,,375.00M,-69.00M,,,,,,
1990-12,70.70M,7.50M,10.10M,25.60M,25.60M,3.60M,,,-201.00M,,,,,-73.40M,-164.40M,,-23.50M,,-23.50M,,803.40M,-802.70M,-22.80M,,-36.40M,169.10M,132.70M,,,0.90M,,,111.30M,,,-23.30M,,3.20M,1.281B,,0.00,1.094B,0.00,,,107.50M,-143.90M,,,,,,
1990-09,71.50M,12.70M,12.80M,24.70M,24.70M,-15.20M,,,-16.90M,,,,,-12.50M,64.40M,,-26.00M,,-26.00M,,273.30M,-10.50M,236.80M,,5.60M,-485.50M,-479.90M,,,-33.00M,,,0.00,,,-21.00M,,3.20M,-361.00M,,0.00,-59.80M,0.00,,,95.80M,-90.20M,,,,,,
1990-06,75.60M,-52.30M,-52.00M,25.50M,25.50M,-1.70M,,,-477.00M,,,,,-103.00M,-532.60M,,-26.60M,,-26.60M,,-8.10M,391.40M,356.70M,,54.00M,2.90M,56.90M,,,-12.80M,,,-10.30M,,,-22.70M,,2.30M,219.50M,,0.00,43.60M,0.00,,,59.20M,-5.20M,,,,,,
1990-03,62.80M,-12.50M,-12.80M,18.90M,18.90M,-2.90M,,,263.50M,,,,,26.00M,355.50M,,-15.90M,,-15.90M,,-684.00M,-278.80M,-978.70M,,-9.50M,763.20M,753.70M,,,4.70M,,,,,,-19.30M,,0.80M,527.90M,,1.523B,-95.30M,0.00,,,,-9.50M,,,,,,
