,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-09,7.205M,,,,-9.22M,11.09M,6.595M,17.69M,17.69M,,,,,,25.24M,0.493M,-4.052M,,5.582M,,27.26M,42.94M,-4.631M,-4.631M,,,144.52M,0.00,139.89M,,-284.11M,42.30M,,42.30M,,,,-241.81M,516.49M,-58.98M,,457.51M,42.30M,,,
2003-06,13.58M,,,,-9.275M,11.79M,8.702M,20.50M,20.50M,,,,,,10.74M,0.78M,-0.147M,,24.10M,,35.47M,60.27M,-4.283M,-4.283M,,,-83.68M,-25.90M,-113.86M,,295.70M,24.04M,,24.04M,,,,319.74M,250.34M,266.15M,,516.49M,24.04M,,,
2003-03,3.683M,,,,-4.352M,12.87M,8.30M,21.17M,21.17M,,,,,,-6.007M,-0.005M,9.982M,,-12.07M,,-8.096M,12.40M,-5.222M,-5.222M,,,37.66M,,32.44M,,,11.06M,,11.06M,,,,11.06M,194.44M,55.91M,,250.34M,11.06M,,,
2002-12,8.452M,,,,1.70M,12.65M,-4.258M,8.393M,8.393M,,,,,,-1.201M,1.266M,55.54M,1.79M,-69.67M,,-12.27M,6.276M,-11.37M,-11.37M,,0.00,-57.60M,-0.075M,-69.05M,,0.00,8.435M,,8.435M,,,,8.435M,248.77M,-54.34M,,194.44M,8.435M,,,
2002-09,-88.33M,,,,40.48M,10.46M,14.91M,25.37M,25.37M,,,,,,-0.697M,10.22M,-23.19M,-6.103M,-1.462M,,-21.23M,-43.72M,-4.163M,-4.163M,,-375.80M,219.06M,-0.075M,-160.98M,,-145.98M,9.621M,,9.621M,,,,-136.35M,589.83M,-341.06M,,248.77M,9.621M,,,
2002-06,6.231M,,,,0.00,10.29M,-5.406M,4.884M,4.884M,,,,,,3.652M,,8.866M,2.386M,1.848M,,16.75M,27.87M,-14.82M,-14.82M,,,-129.57M,0.00,-144.38M,,,1.159M,,1.159M,,,,1.159M,705.18M,-115.36M,,589.83M,1.159M,,,
2002-03,-46.00M,,,,30.60M,8.171M,16.23M,24.40M,24.40M,,,,,,37.61M,,-32.12M,3.717M,-6.214M,,2.987M,11.98M,-5.776M,-5.776M,,,85.73M,-1.00M,78.95M,,,7.405M,,7.405M,,,,7.405M,606.84M,98.34M,,705.18M,7.405M,,,
2001-12,-5.126M,,,,37.47M,-16.77M,-98.52M,32.38M,32.38M,,,,,,8.381M,,-89.30M,-2.03M,2.851M,,-80.10M,-15.37M,-8.085M,-8.085M,,,-51.47M,-8.205M,-65.03M,,,20.77M,,20.77M,,,,20.77M,666.47M,-59.63M,,606.84M,20.77M,,,
2001-09,-29.73M,,,,11.00M,6.813M,28.92M,35.73M,35.73M,,,,,,25.22M,,31.15M,4.353M,2.234M,,62.96M,79.96M,-7.313M,-7.313M,,,66.68M,9.60M,68.96M,,,5.136M,,5.136M,,,,5.136M,512.42M,154.06M,,666.47M,5.136M,,,
2001-06,-37.13M,,,,42.62M,4.85M,22.08M,26.93M,26.93M,,,,,,56.05M,,9.567M,-2.624M,4.324M,,67.32M,99.73M,-6.363M,-6.363M,,,-148.38M,-2.00M,-156.74M,,,11.68M,,11.68M,,,,11.68M,557.74M,-45.33M,,512.42M,11.68M,,,
2001-03,58.57M,,,,,5.106M,47.53M,52.63M,52.63M,,,,,,-16.63M,,38.56M,4.428M,-9.119M,,17.24M,128.44M,-219.37M,-219.37M,,,72.36M,-7.60M,-154.60M,,,20.90M,,20.90M,,,,20.90M,563.00M,-5.263M,,557.74M,20.90M,,,
2000-12,62.16M,,,,99.47M,-7.041M,-9.199M,18.56M,18.56M,,,,,,-60.22M,,-16.93M,-16.34M,41.88M,,-51.60M,128.58M,-7.335M,-7.335M,,,69.09M,-52.45M,-30.67M,,0.00,23.90M,,-106.10M,,,,-106.10M,571.20M,-8.196M,,563.00M,23.90M,,,
2000-09,58.07M,,,,0.00,2.159M,3.224M,5.383M,5.383M,,,,,,-55.59M,,51.58M,-4.984M,3.898M,,-5.094M,58.36M,-6.801M,-6.801M,,,-276.05M,-11.60M,-294.44M,,0.00,10.16M,,10.16M,,,,10.16M,797.12M,-225.92M,,571.20M,10.16M,,,
2000-06,19.62M,,,,10.00M,2.851M,3.266M,6.117M,6.117M,,,,,,-30.77M,,49.96M,-5.432M,11.42M,,25.18M,60.91M,-14.55M,-14.55M,,,-300.72M,-19.28M,-334.55M,,0.00,2.235M,,2.235M,,,,2.235M,1.069B,-271.40M,,797.12M,2.235M,,,
2000-03,8.071M,,,,,2.031M,2.709M,4.74M,4.74M,,,,,,-6.014M,,18.61M,-4.351M,0.178M,,8.422M,21.23M,-6.309M,-6.309M,,,-211.01M,-17.18M,-234.50M,,1.123B,0.424M,,0.424M,,,,1.124B,158.04M,910.49M,,1.069B,0.424M,,,
1999-12,3.10M,,,,-3.00M,,,6.40M,6.40M,,,,,0.00,-10.30M,,4.10M,-4.40M,16.70M,,6.10M,12.60M,-320.50M,-320.50M,,,112.80M,,-215.70M,,0.00,324.70M,,324.70M,,,-0.10M,324.60M,36.50M,121.50M,,158.00M,324.70M,,,
1999-09,-1.60M,,,,3.00M,,,1.40M,1.40M,,,,,-2.10M,3.70M,,6.40M,-2.60M,2.50M,,10.00M,10.70M,-1.70M,-1.70M,,,-61.40M,,-63.10M,,-3.70M,0.10M,,0.10M,,,0.10M,-3.50M,92.40M,-55.90M,,36.50M,0.10M,,,
1999-06,-3.80M,,,,,,,0.30M,0.30M,,,,,2.20M,-8.70M,,5.50M,-0.60M,4.00M,,0.20M,-1.10M,-2.30M,-2.30M,,,-22.40M,,-24.70M,,-0.30M,69.70M,,69.70M,,,,69.40M,48.90M,43.60M,,92.40M,69.70M,,,
1999-03,-6.70M,,,,,,,2.10M,2.10M,,,,,,-0.60M,,0.60M,-0.30M,3.20M,,2.90M,-1.70M,-1.40M,-1.40M,,,-0.50M,,-1.90M,,-3.40M,35.80M,,35.80M,,,,32.40M,20.10M,28.80M,,48.90M,35.80M,,,
