,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-12,15.47B,15.66B,15.21B,452.00M,-6.28B,-6.28B,-89.00M,953.00M,2.458B,,-2.458B,,-5.327B,5.779B,,2.458B,-2.458B,-89.00M,-2.458B,3.232B,495.00M,2.737B,,0.00,,2.812B,7.43B,1.74B,5.69B,,0.15,0.00,0.3375,0.48,,0.14,0.0001,0.3375,2003-12,10.06B,10.10B,0.20,,2003-12,AOR,Restated
2003-09,33.19B,33.39B,12.29B,21.10B,12.12B,12.12B,-77.00M,1.061B,2.723B,,-2.723B,,13.18B,7.92B,,2.723B,-2.723B,-77.00M,-2.723B,5.12B,1.099B,4.021B,,-372.00M,,4.081B,9.584B,1.741B,7.843B,,0.00,0.00,0.3660,0.36,,0.00,-0.0371,0.3660,2003-09,10.03B,10.08B,0.19,,2003-09,AOR,Restated
2003-06,33.22B,33.37B,12.42B,20.95B,12.20B,12.20B,-72.00M,978.00M,2.683B,,-2.683B,,13.18B,7.765B,,2.683B,-2.683B,-72.00M,-2.683B,5.01B,1.216B,3.794B,,0.00,,3.849B,9.411B,1.718B,7.693B,,0.00,0.00,0.3854,0.38,,0.00,0.00,0.3854,2003-06,10.01B,10.07B,0.19,,2003-06,AOR,Restated
2003-03,30.40B,30.46B,11.28B,19.18B,11.50B,11.50B,-70.00M,760.00M,2.596B,,-2.596B,,12.26B,6.915B,,2.596B,-2.596B,-70.00M,-2.596B,4.249B,1.035B,3.214B,,-215.00M,,3.267B,8.51B,1.665B,6.845B,,0.00,0.00,0.3053,0.30,,0.00,-0.0215,0.3053,2003-03,9.983B,10.04B,0.19,,2003-03,AOR,Restated
2002-12,35.10B,35.51B,14.40B,21.11B,14.40B,14.40B,-76.00M,997.00M,2.626B,,-2.626B,,15.39B,5.715B,,2.626B,-2.626B,-76.00M,-2.626B,3.013B,-89.00M,3.102B,,0.00,,3.148B,7.483B,1.844B,5.639B,,0.00,0.00,0.3146,0.31,,0.00,0.0001,0.3145,2002-12,9.965B,10.03B,0.19,,2002-12,AOR,Restated
2002-09,32.26B,32.72B,12.24B,20.48B,11.72B,11.72B,-84.00M,640.00M,2.773B,,-2.773B,,12.36B,8.121B,,2.773B,-2.773B,-84.00M,-2.773B,5.264B,1.177B,4.087B,,0.00,,4.152B,9.731B,1.694B,8.037B,,0.00,0.00,0.4166,0.41,,0.00,0.00,0.4165,2002-09,9.951B,10.02B,0.18,,2002-09,AOR,Restated
2002-06,33.25B,33.33B,13.86B,19.47B,10.54B,10.54B,-90.00M,785.00M,2.443B,,-2.443B,,11.33B,8.14B,,2.443B,-2.443B,-90.00M,-2.443B,5.607B,1.181B,4.426B,,0.00,,4.497B,9.72B,1.67B,8.05B,,0.00,0.00,0.4571,0.45,,0.00,0.00,0.4471,2002-06,9.942B,10.03B,0.18,,2002-06,AOR,Restated
2002-03,30.47B,30.52B,12.35B,18.17B,10.06B,10.06B,-76.00M,662.00M,2.374B,,-2.374B,,10.72B,7.457B,,2.374B,-2.374B,-76.00M,-2.374B,5.007B,1.489B,3.518B,,-1.015B,,3.571B,8.684B,1.303B,7.381B,,0.00,0.00,0.2554,0.25,,0.00,-0.1022,0.2553,2002-03,9.931B,10.03B,0.18,,2002-03,AOR,Restated
2001-12,34.47B,34.48B,12.85B,21.62B,12.62B,12.62B,-86.00M,935.00M,2.639B,,-2.639B,,13.55B,8.072B,,2.639B,-2.639B,-86.00M,-2.639B,5.347B,1.414B,3.933B,,0.00,,3.996B,10.21B,2.22B,7.986B,,0.00,0.00,0.4064,0.40,,0.00,-0.0000,0.4063,2001-12,9.923B,10.03B,0.18,,2001-12,AOR,Restated
2001-09,29.45B,29.47B,11.74B,17.73B,10.06B,10.06B,-59.00M,567.00M,2.64B,,-2.64B,,10.62B,7.103B,,2.64B,-2.64B,-59.00M,-2.64B,4.404B,1.123B,3.281B,,0.00,,3.325B,8.802B,1.758B,7.044B,,0.00,0.00,0.3344,0.33,,0.00,0.00,0.3344,2001-09,9.933B,10.04B,0.16,,2001-09,AOR,Restated
2001-06,31.82B,31.98B,12.71B,19.27B,10.47B,10.47B,-101.00M,496.00M,2.707B,,-2.707B,,10.96B,8.304B,,2.707B,-2.707B,-101.00M,-2.707B,5.496B,1.599B,3.897B,,0.00,,3.969B,9.789B,1.586B,8.203B,,0.00,0.00,0.3972,0.39,,0.00,0.00,0.3971,2001-06,9.936B,10.06B,0.16,,2001-06,AOR,Restated
2001-03,30.43B,30.49B,11.79B,18.70B,10.58B,10.58B,-102.00M,483.00M,3.076B,,-3.076B,,11.07B,7.632B,,3.076B,-3.076B,-102.00M,-3.076B,4.454B,1.437B,3.017B,,-444.00M,,3.086B,9.091B,1.561B,7.53B,,0.00,0.00,0.2670,0.26,,0.00,-0.0447,0.2669,2001-03,9.934B,10.07B,0.16,,2001-03,AOR,Restated
2000-12,34.86B,34.98B,13.70B,21.28B,12.45B,12.45B,-122.00M,640.00M,3.065B,,-3.065B,,13.09B,8.195B,,3.065B,-3.065B,-122.00M,-3.065B,5.008B,1.423B,3.585B,,0.00,,3.672B,8.774B,701.00M,8.073B,,0.00,0.00,0.3688,0.36,,0.00,0.00,0.3687,2000-12,9.924B,10.08B,0.16,,2000-12,AOR,Restated
2000-09,31.90B,32.01B,13.06B,18.96B,10.99B,10.99B,-110.00M,463.00M,2.859B,,-2.859B,,11.46B,7.499B,,2.859B,-2.859B,-110.00M,-2.859B,4.53B,1.35B,3.18B,,0.00,,3.257B,9.222B,1.833B,7.389B,,0.00,0.00,0.3278,0.32,,0.00,0.00,0.3277,2000-09,9.906B,10.07B,0.1367,,2000-09,AOR,Restated
2000-06,32.73B,32.86B,13.21B,19.66B,11.22B,11.22B,-97.00M,421.00M,3.014B,,-3.014B,,11.64B,8.01B,,3.014B,-3.014B,-97.00M,-3.014B,4.899B,1.521B,3.378B,,0.00,,3.445B,9.811B,1.898B,7.913B,,0.00,0.00,0.3468,0.34,,0.00,0.00,0.3467,2000-06,9.892B,10.06B,0.1367,,2000-06,AOR,Restated
2000-03,29.92B,30.00B,11.86B,18.14B,10.73B,10.73B,-98.00M,521.00M,2.782B,,-2.782B,,11.25B,6.889B,,2.782B,-2.782B,-98.00M,-2.782B,4.009B,1.417B,2.592B,,0.00,,2.655B,8.744B,1.953B,6.791B,,0.00,0.00,0.2664,0.26,,0.00,0.00,0.2663,2000-03,9.87B,10.03B,0.1367,,2000-03,AOR,Restated
1999-12,32.45B,32.86B,14.04B,18.82B,10.78B,10.78B,-111.00M,623.00M,2.891B,,-2.891B,,11.40B,7.417B,,2.891B,-2.891B,-111.00M,-2.891B,4.415B,1.326B,3.089B,,,,3.167B,9.14B,1.834B,7.306B,,0.00,,0.3179,0.31,,0.00,,0.3178,1999-12,9.848B,10.01B,0.1367,,1999-12,,Restated
1999-09,27.11B,27.20B,11.20B,16.00B,9.411B,9.411B,-92.00M,227.00M,2.455B,,-2.455B,,9.638B,6.365B,,2.455B,-2.455B,-92.00M,-2.455B,3.818B,1.165B,2.653B,,,,2.717B,7.948B,1.675B,6.273B,,0.00,,0.2765,0.27,,0.00,,0.2764,1999-09,9.839B,9.999B,0.1167,,1999-09,,Restated
1999-06,27.20B,27.41B,11.16B,16.25B,9.199B,9.199B,-108.00M,442.00M,2.404B,,-2.404B,,9.641B,6.612B,,2.404B,-2.404B,-108.00M,-2.404B,4.10B,1.28B,2.82B,,,,2.894B,8.173B,1.669B,6.504B,,0.00,,0.2976,0.29,,0.00,,0.2874,1999-06,9.83B,9.992B,0.1167,,1999-06,,Restated
1999-03,24.06B,24.06B,9.567B,14.50B,2.619B,2.619B,,379.00M,2.263B,,-2.263B,-103.00M,2.895B,11.60B,,2.263B,-2.263B,-6.093B,-2.263B,3.244B,1.089B,2.155B,,,,2.155B,7.02B,1.513B,5.507B,,,,0.22,0.22,,,,0.22,1999-03,9.817B,9.982B,0.1167,,1999-03,,Restated
1998-12,28.46B,29.10B,15.31B,13.80B,,8.439B,-732.00M,,,,,,6.807B,6.99B,,,,-732.00M,,3.629B,958.00M,2.671B,,,,3.210B,9.35B,2.625B,6.725B,,0.00,,0.3239,0.27,,0.00,,0.3239,1998-12,10.00B,10.00B,0.1167,,1998-12,,Restated
1998-09,23.98B,23.98B,8.907B,15.07B,,8.249B,158.00M,,,,,,9.401B,5.67B,,,,158.00M,,3.399B,1.115B,2.284B,,,-68.00M,2.178B,6.822B,1.152B,5.67B,,0.00,,0.2193,0.23,,0.00,,0.2193,1998-09,9.930B,9.930B,0.10,,1998-09,,
1998-06,24.93B,24.93B,9.678B,15.25B,,8.425B,142.00M,,,,,,9.431B,5.819B,,,,142.00M,,3.534B,1.084B,2.45B,,,-61.00M,2.352B,6.825B,660.00M,5.819B,,0.00,,0.2400,0.25,,0.00,,0.2400,1998-06,9.80B,9.80B,0.10,,1998-06,,
