,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-03,46.83B,41.93B,88.76B,380.03B,,380.03B,8.903B,5.62B,,13.83B,,,482.62B,,,,,,,,116.17B,-43.95B,72.22B,80.64B,14.76B,95.40B,,,,,760.81B,,2009-03,18.17B,,18.17B,11.82B,29.99B,,,,,176.32B,176.32B,21.49B,227.81B,327.66B,,327.66B,5.179B,5.179B,,89.35B,423.52B,651.33B,,2009-03,39.85B,34.81B,,-2.615B,-14.89B,-4.359B,,-21.86B,101.02B,,2009-03,AOR,Restated
2008-12,48.19B,41.45B,89.63B,21.41B,378.61B,400.02B,8.71B,5.67B,,13.67B,,,503.32B,0.00,7.814B,7.354B,57.17B,7.191B,3.363B,42.78B,125.67B,-47.14B,78.53B,81.76B,14.98B,96.74B,0.00,,,,797.77B,,2008-12,20.82B,3.34B,24.16B,,24.16B,,,,,164.06B,164.06B,30.76B,218.98B,322.85B,,322.85B,4.584B,4.584B,,135.68B,465.18B,684.16B,,2008-12,40.39B,36.70B,,-6.426B,-15.13B,-299.00M,,-21.85B,104.66B,,2008-12,AOR,Restated
2008-09,16.30B,43.46B,59.76B,451.23B,,451.23B,9.343B,6.013B,,14.72B,,,525.71B,,,,,,,,127.59B,-47.50B,80.10B,83.06B,15.59B,98.65B,0.00,,,,829.55B,,2008-09,20.68B,,20.68B,12.84B,33.51B,,,,,218.75B,218.75B,20.34B,272.61B,329.92B,,329.92B,14.27B,14.27B,,90.47B,435.58B,708.19B,,2008-09,25.91B,37.83B,,,-916.00M,7.20B,-2.168B,4.116B,112.33B,,2008-09,AOR,Restated
2008-06,18.99B,45.86B,64.85B,453.84B,,453.84B,9.34B,6.298B,,15.01B,,,533.70B,,,,,,,,124.87B,-44.94B,79.92B,84.44B,15.93B,100.37B,0.00,,,,846.99B,,2008-06,22.28B,,22.28B,12.46B,34.74B,,,,,204.84B,204.84B,19.99B,259.57B,351.26B,,351.26B,12.71B,12.71B,,93.94B,460.24B,719.81B,,2008-06,26.16B,38.22B,,,-1.126B,12.11B,-546.00M,10.44B,118.39B,,2008-06,AOR,Restated
2008-03,15.29B,45.62B,60.91B,448.13B,,448.13B,8.971B,5.923B,,14.28B,,,523.32B,,,,,,,,122.68B,-43.47B,79.21B,83.13B,15.94B,99.07B,0.00,,,,833.89B,,2008-03,21.31B,,21.31B,11.58B,32.89B,,,,,201.16B,201.16B,19.87B,253.92B,346.68B,,346.68B,9.925B,9.925B,,96.84B,455.74B,709.66B,,2008-03,26.18B,37.66B,,,-1.73B,12.88B,-2.285B,8.869B,116.00B,,2008-03,AOR,Restated
2007-12,15.73B,45.28B,61.01B,22.26B,392.64B,414.90B,7.893B,5.627B,,12.90B,,,488.80B,0.00,6.749B,7.70B,96.75B,2.961B,3.031B,2.121B,119.31B,-41.42B,77.89B,81.12B,16.14B,97.26B,0.00,,,,795.68B,,2007-12,21.34B,3.10B,24.44B,9.885B,34.32B,,,,,195.10B,195.10B,15.82B,245.24B,319.01B,,319.01B,12.49B,12.49B,,93.38B,426.88B,672.12B,,2007-12,26.10B,36.90B,,,-1.84B,10.71B,-668.00M,8.20B,115.56B,,2007-12,AOR,Restated
2007-09,19.85B,45.21B,65.06B,391.09B,,391.09B,7.888B,6.013B,,13.32B,,,469.47B,,,,,,,,117.69B,-41.40B,76.29B,79.09B,15.22B,94.32B,0.00,,,,761.71B,,2007-09,18.72B,,18.72B,8.57B,27.29B,,,,,180.40B,180.40B,19.95B,227.64B,311.22B,,311.22B,10.76B,10.76B,,89.44B,413.72B,641.37B,,2007-09,25.92B,32.14B,,,-5.931B,9.904B,-189.00M,3.784B,112.83B,,2007-09,AOR,Restated
2007-06,15.85B,45.13B,60.98B,379.19B,,379.19B,7.293B,5.829B,,12.55B,,,452.72B,,,,,,,,116.66B,-40.27B,76.39B,77.70B,14.84B,92.54B,0.00,,,,738.53B,,2007-06,19.31B,,19.31B,7.332B,26.65B,,,,,184.35B,184.35B,19.60B,230.60B,282.79B,,282.79B,12.67B,12.67B,,86.24B,383.72B,614.32B,,2007-06,25.79B,26.34B,,,-3.886B,7.925B,600.00M,4.639B,117.02B,,2007-06,AOR,Restated
2007-03,19.26B,45.18B,64.44B,363.61B,,363.61B,7.466B,6.294B,,13.14B,,,441.19B,,,,,,,,123.75B,-46.01B,77.75B,75.75B,13.60B,89.35B,0.00,,,,714.08B,,2007-03,19.69B,,19.69B,6.065B,25.76B,,,,,175.00B,175.00B,19.72B,220.47B,275.07B,,275.07B,13.50B,13.50B,,82.54B,371.58B,592.06B,,2007-03,25.63B,24.62B,,,-4.171B,6.131B,-73.00M,1.887B,114.17B,,2007-03,AOR,Restated
2006-12,14.10B,47.81B,61.90B,19.62B,338.64B,358.26B,5.87B,4.726B,,10.03B,,,430.19B,0.00,5.55B,7.448B,89.74B,2.771B,1.932B,1.928B,109.37B,-38.72B,70.65B,71.40B,12.92B,84.31B,0.00,,,,696.68B,,2006-12,20.63B,2.878B,23.51B,4.597B,28.11B,,,,,172.01B,172.01B,17.94B,218.06B,260.75B,,260.75B,14.11B,14.11B,,82.01B,359.62B,577.68B,,2006-12,25.49B,24.89B,,,-4.406B,6.181B,-129.00M,1.646B,111.51B,,2006-12,AOR,Restated
2006-09,13.78B,45.63B,59.41B,339.12B,,339.12B,6.724B,5.765B,,11.86B,,,410.39B,,,,,,,,117.85B,-45.60B,72.25B,72.47B,13.00B,85.47B,0.00,,,,682.10B,,2006-09,18.79B,,18.79B,4.949B,23.74B,,,,,167.21B,167.21B,20.43B,211.37B,242.93B,,242.93B,16.48B,16.48B,,76.42B,351.12B,562.49B,,2006-09,,23.68B,,,-895.00M,4.748B,-498.00M,3.355B,111.40B,,2006-09,AOR,Restated
2006-06,11.10B,45.02B,56.12B,331.67B,,331.67B,6.615B,5.748B,,11.74B,,,399.54B,,,,,,,,116.71B,-45.70B,71.00B,72.47B,13.12B,85.58B,0.00,,,,662.42B,,2006-06,19.32B,,19.32B,4.708B,24.02B,,,,,157.45B,157.45B,21.02B,202.49B,236.94B,,236.94B,15.58B,15.58B,,75.40B,342.88B,545.37B,,2006-06,,23.01B,,,-917.00M,4.267B,-236.00M,3.114B,108.77B,,2006-06,AOR,Restated
2006-03,8.503B,45.10B,53.60B,313.75B,,313.75B,6.176B,5.841B,,11.36B,,,378.72B,,,,,,,,112.46B,-44.77B,67.68B,71.00B,11.95B,82.96B,0.00,,,,674.82B,,2006-03,19.10B,,19.10B,4.354B,23.45B,,,,,153.20B,153.20B,21.18B,197.83B,222.97B,,222.97B,16.86B,16.86B,,72.05B,361.36B,559.19B,,2006-03,,20.34B,,,-889.00M,2.272B,-549.00M,834.00M,107.49B,,2006-03,AOR,Restated
2005-12,8.825B,42.15B,50.97B,316.82B,,316.82B,5.527B,5.644B,,10.47B,,,378.27B,0.00,6.909B,10.04B,88.18B,2.834B,1.609B,2.157B,111.73B,-44.20B,67.53B,69.61B,12.02B,81.63B,0.00,,,,673.32B,,2005-12,21.18B,2.623B,23.81B,4.456B,28.26B,,,,,158.16B,158.16B,18.55B,204.97B,212.28B,,212.28B,16.21B,16.21B,,72.93B,350.95B,555.92B,,2005-12,,17.33B,,,-874.00M,2.532B,-352.00M,1.306B,109.35B,,2005-12,AOR,Restated
2005-09,10.93B,78.93B,89.86B,323.34B,,323.34B,5.792B,5.624B,,10.80B,,,423.99B,,,,,,,,109.29B,-43.81B,65.49B,71.25B,12.04B,83.30B,0.00,,,,662.67B,,2005-09,22.52B,,22.52B,4.339B,26.86B,,,,,142.45B,142.45B,19.93B,189.24B,217.60B,,217.60B,14.69B,14.69B,,118.78B,351.07B,540.32B,,2005-09,,14.32B,,,-630.00M,3.65B,-941.00M,2.079B,112.98B,,2005-09,AOR,Restated
2005-06,12.89B,133.95B,146.85B,326.32B,,326.32B,5.508B,5.656B,,10.50B,,,483.66B,,,,,,,,107.84B,-43.07B,64.77B,72.64B,12.83B,85.48B,0.00,,,,740.36B,,2005-06,22.75B,,22.75B,4.054B,26.81B,,,,,145.87B,145.87B,20.01B,192.68B,219.61B,,219.61B,16.83B,16.83B,,181.65B,418.09B,610.78B,,2005-06,,12.95B,,,-633.00M,3.177B,-1.025B,1.519B,112.38B,,2005-06,AOR,Restated
2005-03,12.90B,135.74B,148.63B,334.51B,,334.51B,5.623B,5.602B,,10.55B,,,493.69B,,,,,,,,107.82B,-43.53B,64.29B,73.53B,13.19B,86.72B,0.00,,,,752.22B,,2005-03,23.47B,,23.47B,3.842B,27.32B,,,,,156.77B,156.77B,20.56B,204.64B,212.93B,,212.93B,15.17B,15.17B,,188.02B,416.12B,620.76B,,2005-03,,12.41B,,,-644.00M,6.911B,-594.00M,5.673B,112.87B,,2005-03,AOR,Restated
2004-12,12.15B,56.92B,69.08B,308.27B,,308.27B,5.042B,5.397B,,9.778B,,,387.12B,0.00,1.562B,15.30B,81.27B,3.021B,1.772B,2.942B,105.87B,-42.77B,63.10B,67.36B,11.09B,78.46B,0.00,,,,750.51B,,2004-12,19.14B,2.329B,21.47B,3.937B,25.40B,,,,,157.20B,157.20B,17.54B,200.14B,207.87B,,207.87B,15.28B,15.28B,,90.86B,426.95B,627.08B,,2004-12,,12.76B,,,-657.00M,6.85B,-1.223B,4.97B,110.82B,,2004-12,AOR,Restated
2004-09,10.08B,125.29B,135.37B,304.78B,,304.78B,5.186B,5.13B,,9.734B,,,449.88B,,,,,,,,103.93B,-42.48B,61.45B,69.74B,11.63B,81.37B,,,,,704.62B,,2004-09,23.59B,,23.59B,3.854B,27.44B,,,,,153.16B,153.16B,19.58B,200.19B,186.34B,,186.34B,15.68B,15.68B,,184.33B,386.34B,586.53B,,2004-09,,12.93B,,,,2.691B,-1.027B,1.664B,101.78B,,2004-09,AOR,Restated
2004-06,10.26B,122.81B,133.08B,303.37B,,303.37B,5.014B,5.182B,,9.605B,,,446.05B,,,,,,,,102.97B,-41.68B,61.30B,69.40B,11.48B,80.88B,,,,,697.08B,,2004-06,23.47B,,23.47B,3.725B,27.20B,,,,,160.05B,160.05B,19.90B,207.15B,175.66B,,175.66B,14.70B,14.70B,,184.57B,374.92B,582.07B,,2004-06,,13.09B,,,,2.655B,-1.151B,1.504B,98.28B,,2004-06,AOR,Restated
2004-03,13.37B,124.90B,138.28B,279.03B,,279.03B,4.668B,4.948B,,9.007B,,,426.31B,,,,,,,,99.02B,-41.24B,57.78B,49.83B,7.253B,57.08B,,,,,662.11B,,2004-03,19.79B,,19.79B,3.993B,23.79B,,,,,143.21B,143.21B,16.92B,183.92B,169.47B,,169.47B,14.67B,14.67B,,201.27B,385.40B,569.33B,,2004-03,,21.15B,,,,2.915B,-1.797B,1.118B,86.49B,,2004-03,AOR,Restated
2003-12,12.66B,129.27B,141.93B,295.93B,,295.93B,4.53B,4.854B,,8.752B,,,446.61B,0.00,861.00M,13.16B,70.37B,3.026B,1.563B,2.228B,91.21B,-37.82B,53.39B,47.77B,7.256B,55.02B,0.00,,,,647.64B,,2003-12,19.95B,2.013B,21.96B,4.433B,26.40B,,,,,157.40B,157.40B,15.34B,199.14B,172.31B,,172.31B,12.65B,12.65B,,178.17B,363.14B,562.27B,,2003-12,,24.60B,,,-236.00M,2.987B,-1.792B,959.00M,79.18B,,2003-12,AOR,Restated
2003-09,8.321B,119.07B,127.39B,263.87B,,263.87B,4.649B,5.011B,,9.047B,,,400.31B,,,,,,,,84.71B,-35.51B,49.20B,,50.09B,50.09B,0.00,,,,626.93B,,2003-09,20.57B,,20.57B,4.853B,25.42B,,,,,127.52B,127.52B,17.25B,170.19B,162.91B,,162.91B,12.53B,12.53B,,202.07B,378.47B,548.66B,,2003-09,,25.09B,,1.451B,,-273.00M,-1.92B,-742.00M,72.48B,,2003-09,AOR,Restated
2003-06,6.535B,109.43B,115.96B,265.36B,,265.36B,4.705B,5.108B,,9.218B,,,390.54B,,,,,,,,85.91B,-35.66B,50.25B,,50.22B,50.22B,0.00,,,,614.86B,,2003-06,20.79B,,20.79B,5.479B,26.26B,,,,,134.20B,134.20B,17.56B,178.03B,169.00B,,169.00B,12.84B,12.84B,,157.80B,359.41B,537.43B,,2003-06,,25.54B,,4.399B,,-145.00M,-3.249B,1.005B,71.97B,,2003-06,AOR,Restated
2003-03,9.499B,121.11B,130.61B,252.01B,,252.01B,4.704B,5.093B,,9.198B,,,391.82B,,,,,,,,81.06B,-33.63B,47.43B,,48.65B,48.65B,0.00,,,,583.63B,,2003-03,18.86B,,18.86B,6.078B,24.94B,,,,,129.71B,129.71B,17.48B,172.12B,155.70B,,155.70B,12.60B,12.60B,,171.34B,339.64B,511.76B,,2003-03,,26.08B,,1.85B,,-1.66B,-2.262B,-2.072B,66.36B,,2003-03,AOR,Restated
2002-12,8.91B,116.86B,125.77B,251.76B,,251.76B,4.894B,4.959B,,9.247B,,,386.78B,0.00,623.00M,13.13B,63.36B,3.004B,,1.964B,82.08B,-33.01B,49.07B,39.14B,7.042B,46.18B,24.45B,1.824B,2.435B,8.086B,575.24B,,2002-12,18.87B,1.895B,20.77B,22.28B,43.05B,,,,,138.78B,138.78B,,181.83B,140.63B,,140.63B,12.52B,12.52B,,171.09B,324.24B,506.06B,,2002-12,,26.63B,,1.071B,,-2.136B,-2.112B,-3.177B,63.71B,,2002-12,AOR,Restated
2002-09,11.13B,115.37B,126.50B,241.16B,,241.16B,4.992B,5.024B,,9.341B,,,377.00B,,,,,,,,76.18B,-31.84B,44.34B,,44.64B,44.64B,,,,,555.52B,,2002-09,20.64B,,20.64B,7.823B,28.47B,,,,,130.49B,130.49B,16.90B,175.86B,134.04B,,134.04B,11.39B,11.39B,,166.54B,311.97B,487.83B,,2002-09,,27.02B,,1.515B,,-2.438B,-2.045B,-2.968B,62.26B,,2002-09,AOR,Restated
2002-06,10.21B,107.16B,117.37B,235.80B,,235.80B,4.955B,4.844B,,9.139B,,,362.30B,,,,,,,,75.38B,-30.91B,44.47B,,43.72B,43.72B,,,,,540.89B,,2002-06,17.51B,,17.51B,9.132B,26.64B,,,,,135.22B,135.22B,16.86B,178.73B,125.21B,,125.21B,10.19B,10.19B,,162.71B,298.11B,476.84B,,2002-06,,26.90B,,100.00M,,-2.985B,-1.351B,-4.236B,58.73B,,2002-06,AOR,Restated
2002-03,9.442B,101.81B,111.26B,221.66B,,221.66B,5.108B,4.852B,,9.297B,,,342.21B,,,,,,,,72.81B,-29.86B,42.95B,,31.72B,31.72B,,,,,500.74B,,2002-03,17.66B,,17.66B,11.00B,28.66B,,,,,143.48B,143.48B,16.72B,188.87B,93.88B,,93.88B,9.216B,9.216B,,148.38B,251.48B,440.34B,,2002-03,,27.14B,,-679.00M,,-3.541B,-592.00M,-4.812B,55.17B,,2002-03,AOR,Restated
2001-12,8.433B,101.02B,109.45B,223.15B,,223.15B,4.708B,4.533B,,8.565B,,,341.16B,0.00,577.00M,10.88B,57.87B,,,1.96B,71.29B,-29.15B,42.14B,28.29B,6.837B,35.12B,24.24B,909.00M,2.32B,6.768B,495.02B,,2001-12,18.16B,1.787B,19.94B,25.88B,45.83B,,,,,153.08B,153.08B,,198.90B,79.81B,,79.81B,9.13B,9.13B,,147.14B,236.08B,434.98B,,2001-12,,26.92B,,-232.00M,,-3.136B,-955.00M,-4.323B,54.82B,,2001-12,AOR,Restated
2001-09,8.834B,97.60B,106.44B,198.18B,,198.18B,4.776B,4.455B,,8.44B,,,313.05B,,,,,,,,72.64B,-30.51B,42.14B,,28.11B,28.11B,,,,,460.10B,,2001-09,16.19B,,16.19B,,16.19B,,,,,125.47B,125.47B,27.12B,168.79B,81.04B,,81.04B,8.949B,8.949B,,142.87B,232.85B,401.64B,,2001-09,,26.37B,,413.00M,,-2.46B,-1.502B,-3.549B,53.60B,,2001-09,AOR,Restated
2001-06,8.00B,94.35B,102.35B,189.43B,,189.43B,4.935B,4.089B,,8.22B,,,300.00B,,,,,,,,70.86B,-29.41B,41.45B,,27.48B,27.48B,,,,,445.35B,,2001-06,15.51B,,15.51B,,15.51B,,,,,122.13B,122.13B,25.54B,163.18B,78.64B,,78.64B,8.177B,8.177B,,138.22B,225.04B,388.22B,,2001-06,,25.80B,,145.00M,,-2.601B,-1.04B,-3.496B,52.25B,,2001-06,AOR,Restated
2001-03,8.177B,91.86B,100.03B,186.68B,,186.68B,4.498B,4.538B,,8.20B,,,294.91B,,,,,,,,68.95B,-28.78B,40.18B,,27.16B,27.16B,,,,,437.98B,,2001-03,13.93B,,13.93B,,13.93B,,,,,118.36B,118.36B,24.16B,156.45B,80.24B,,80.24B,8.617B,8.617B,,136.84B,225.69B,382.14B,,2001-03,,25.10B,,1.083B,,-2.43B,-1.383B,-2.73B,50.93B,,2001-03,AOR,Restated
2000-12,8.195B,91.34B,99.53B,188.32B,,188.32B,4.134B,4.523B,,7.812B,,,295.66B,0.00,544.00M,12.74B,52.84B,,,1.871B,67.99B,-27.98B,40.02B,23.51B,3.929B,27.44B,23.94B,1.987B,397.00M,5.815B,437.01B,,2000-12,14.85B,1.589B,16.44B,20.49B,36.93B,,,,,119.18B,119.18B,,156.11B,82.13B,,82.13B,8.69B,8.69B,,134.64B,225.47B,381.58B,,2000-12,,24.44B,,74.00M,,-2.574B,,-2.50B,50.49B,,2000-12,AOR,Restated
2000-09,8.781B,89.24B,98.02B,181.68B,,181.68B,4.17B,5.184B,,8.466B,,,288.17B,,,,,,,,69.61B,-28.71B,40.91B,,27.14B,27.14B,,,,,431.14B,,2000-09,14.61B,,14.61B,,14.61B,,,,,121.90B,121.90B,21.30B,157.80B,75.81B,,75.81B,8.918B,8.918B,,135.98B,220.72B,378.52B,,2000-09,,24.44B,,144.00M,,-2.428B,,-2.284B,47.74B,,2000-09,AOR,Restated
2000-06,12.08B,84.42B,96.50B,180.38B,,180.38B,3.762B,5.023B,,7.878B,,,284.77B,,,,,,,,70.83B,-28.75B,42.08B,,27.24B,27.24B,,,,,424.04B,,2000-06,13.37B,,13.37B,,13.37B,,,,,119.74B,119.74B,18.93B,152.04B,77.60B,,77.60B,9.112B,9.112B,,134.43B,221.14B,373.18B,,2000-06,,23.21B,,-290.00M,,-1.919B,,-2.209B,45.92B,,2000-06,AOR,Restated
2000-03,18.06B,82.58B,100.64B,149.20B,28.36B,177.56B,3.742B,4.773B,189.00M,7.786B,,,285.99B,,,,,,,,69.25B,-28.17B,41.08B,,,27.16B,,,,,421.64B,,2000-03,12.79B,,12.79B,,12.79B,,,,122.54B,122.54B,122.54B,18.24B,153.58B,73.41B,,73.41B,9.252B,9.252B,,136.01B,218.68B,372.25B,,2000-03,,22.94B,,641.00M,,-1.69B,,-1.049B,44.50B,,2000-03,AOR,Restated
1999-12,8.554B,81.76B,90.31B,175.87B,,175.87B,3.438B,4.496B,,7.007B,,,273.19B,0.00,526.00M,13.84B,51.85B,,,2.15B,68.36B,-27.34B,41.02B,23.11B,2.904B,26.01B,22.55B,2.024B,,4.682B,405.20B,,1999-12,13.68B,1.347B,15.02B,15.85B,30.87B,,,,,130.35B,130.35B,,161.22B,71.43B,,71.43B,9.238B,9.238B,,115.55B,196.21B,357.43B,,1999-12,,22.57B,,626.00M,,-1.37B,,-744.00M,42.56B,,1999-12,,Restated
1999-09,6.112B,78.11B,84.22B,8.133B,156.65B,164.78B,,,,7.293B,,,256.29B,,,,,,,,65.28B,-27.65B,37.62B,,25.57B,25.57B,,,,,380.22B,,1999-09,12.57B,,12.57B,,12.57B,,,,,120.01B,120.01B,17.10B,149.68B,66.34B,,66.34B,7.82B,7.82B,,111.23B,185.39B,335.06B,,1999-09,8.944B,21.17B,,,,-1.218B,82.00M,-1.136B,39.97B,,1999-09,,Restated
1999-06,5.099B,76.56B,81.66B,8.048B,154.69B,162.74B,,,,6.576B,,,250.97B,,,,,,,,62.17B,-26.54B,35.63B,,24.73B,24.73B,,,,,368.38B,,1999-06,11.56B,,11.56B,,11.56B,,,,,120.39B,120.39B,16.16B,148.11B,60.85B,,60.85B,8.016B,8.016B,,106.68B,175.55B,323.66B,,1999-06,,,,,,,,,39.61B,,1999-06,,Restated
1999-03,4.596B,78.49B,83.09B,8.354B,149.13B,157.48B,,,,6.398B,,,246.97B,,,,,,,,61.55B,-25.91B,35.64B,,24.33B,24.33B,,,,,361.74B,,1999-03,11.96B,,11.96B,,11.96B,,,,,116.74B,116.74B,14.52B,143.21B,60.50B,,60.50B,9.228B,9.228B,,105.32B,175.05B,318.26B,,1999-03,,,,,,,,,38.79B,,1999-03,,Restated
1998-12,4.317B,,4.317B,154.58B,,154.58B,,,,6.049B,,78.72B,243.66B,,,,,,,,52.35B,-16.62B,35.73B,,23.64B,23.64B,,,,,355.94B,,1998-12,12.50B,,12.50B,,12.50B,,,,,115.38B,115.38B,13.70B,141.58B,59.66B,,59.66B,9.34B,9.34B,,102.20B,171.20B,312.78B,,1998-12,,,,,,,,,38.88B,,1998-12,,Restated
1998-09,5.767B,,5.767B,,,143.20B,,,,6.202B,,74.81B,229.98B,,,,,,,,59.18B,-25.10B,34.08B,,21.38B,21.38B,,,,,334.58B,,1998-09,11.00B,,11.00B,,11.00B,,,,,107.13B,107.13B,13.12B,131.25B,57.44B,,57.44B,9.006B,9.006B,,95.57B,162.01B,293.26B,,1998-09,,,,,,,,,37.16B,,1998-09,,
1998-06,3.862B,,3.862B,,,135.58B,,,,5.564B,,74.09B,219.10B,,,,,,,,57.46B,-24.15B,33.31B,,19.94B,19.94B,,,,,318.88B,,1998-06,10.86B,,10.86B,,10.86B,,,,,106.32B,106.32B,12.32B,129.50B,48.76B,,48.76B,9.22B,9.22B,,91.85B,149.83B,279.34B,,1998-06,,,,,,,,,35.58B,,1998-06,,
