,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2006-12,62.50M,,,,11.90M,,139.80M,16.00M,,,,-57.60M,-377.40M,118.00M,,221.50M,-512.00M,81.10M,550.60M,81.80M,30.00M,,2006-12,-231.70M,4.40M,-227.30M,,,61.70M,-165.60M,2006-12,,,-61.50M,16.30M,-0.60M,15.70M,,,,,-62.70M,-108.50M,,2006-12,22.80M,33.10M,,2006-12,,16.30M,,,43.10M,108.80M,,2006-12,,
2006-09,25.80M,,,,-6.40M,,138.40M,-21.10M,,,,20.00M,-8.70M,-449.30M,,149.30M,13.60M,88.10M,-107.10M,-314.10M,4.20M,,2006-09,-133.90M,9.60M,-124.30M,,,-137.90M,-262.20M,2006-09,,,439.70M,3.50M,-0.10M,3.40M,,,,,-62.80M,380.30M,,2006-09,57.90M,22.80M,,2006-09,,3.50M,,,79.10M,76.10M,,2006-09,,
2006-06,21.00M,,,,20.20M,,139.80M,-67.80M,,,,3.10M,683.60M,-182.50M,,-206.60M,495.60M,-389.30M,-220.60M,180.20M,2.20M,,2006-06,-150.20M,3.70M,-146.50M,,,-32.70M,-179.20M,2006-06,,,-1.30M,1.10M,-81.10M,-80.00M,,,,,-63.70M,-145.00M,,2006-06,83.40M,57.90M,,2006-06,,1.10M,,,161.80M,108.80M,,2006-06,,
2006-03,172.90M,,,,-18.40M,,138.90M,-40.50M,,,,,110.20M,442.10M,,-340.60M,,236.30M,25.30M,473.30M,0.10M,,2006-03,-121.60M,3.90M,-117.70M,,,-7.80M,-125.50M,2006-03,,,-519.20M,1.00M,-5.90M,-4.90M,,,,,-62.70M,-586.80M,,2006-03,69.40M,83.40M,,2006-03,,1.00M,,,4.20M,76.30M,,2006-03,,
2005-12,68.00M,,,,120.30M,,132.90M,40.10M,,,,,-782.70M,141.50M,,302.90M,-299.50M,-81.70M,246.70M,-472.80M,-22.70M,,2005-12,-183.50M,0.10M,-183.40M,,,-108.30M,-291.70M,2005-12,,,-450.70M,0.70M,0.10M,0.80M,,,,,-62.70M,-526.80M,,2005-12,932.50M,69.40M,,2005-12,,0.70M,,,4.00M,164.90M,,2005-12,,
2005-09,-6.80M,,,,-94.60M,,142.90M,24.80M,,,,,18.60M,-454.30M,,152.80M,281.20M,-75.70M,-168.50M,-245.90M,-1.20M,,2005-09,-163.80M,0.00,-163.80M,,,109.40M,-54.40M,2005-09,,,965.10M,7.20M,-0.10M,7.10M,,,,,-62.70M,909.50M,,2005-09,258.20M,932.50M,,2005-09,,7.20M,,,4.60M,38.40M,,2005-09,,
2005-06,39.00M,,,,6.80M,,144.50M,-51.80M,,,,,405.10M,-373.80M,,-108.60M,5.10M,138.50M,-246.20M,-179.90M,-16.30M,,2005-06,-139.00M,1.60M,-137.40M,,,-4.60M,-142.00M,2005-06,,,-80.70M,13.40M,-0.20M,13.20M,,,,,-62.60M,-130.10M,,2005-06,588.00M,258.20M,,2005-06,,13.40M,,,67.50M,164.80M,,2005-06,,
2005-03,206.30M,,,,-39.70M,,141.40M,-29.80M,,,,,0.10M,615.50M,,-141.40M,,48.50M,194.40M,717.10M,0.10M,,2005-03,-104.10M,5.80M,-98.30M,,,14.30M,-84.00M,2005-03,,,-307.90M,18.70M,-1.40M,17.30M,,,,,-62.30M,-352.90M,,2005-03,29.50M,588.00M,,2005-03,,18.70M,,,25.30M,36.40M,,2005-03,,
2004-12,159.40M,,,,18.00M,,131.40M,103.40M,,,,,-487.60M,100.60M,,349.70M,-38.60M,-30.50M,-62.20M,-168.60M,2.20M,,2004-12,-134.70M,1.20M,-133.50M,,,-39.80M,-173.30M,2004-12,,,-171.60M,149.70M,-0.40M,149.30M,,,,,-60.60M,-82.90M,,2004-12,39.90M,29.50M,,2004-12,,149.70M,,,47.80M,153.10M,,2004-12,,
2004-09,28.80M,,,,-9.20M,,132.60M,6.00M,,,,,17.90M,-320.40M,,-149.70M,10.40M,-3.90M,12.00M,-433.70M,0.10M,,2004-09,-144.60M,4.30M,-140.30M,,,-3.90M,-144.20M,2004-09,,,501.60M,2.40M,0.00,2.40M,,,,,-60.70M,443.30M,,2004-09,16.40M,39.90M,,2004-09,,2.40M,,,40.40M,34.40M,,2004-09,,
2004-06,34.60M,,,,-1.40M,,133.80M,1.50M,,,,,555.50M,-301.90M,,20.70M,-36.90M,28.30M,-121.00M,144.70M,-0.10M,,2004-06,-127.40M,1.60M,-125.80M,,,4.20M,-121.60M,2004-06,,,-160.40M,1.40M,0.00,1.40M,,,,,-60.60M,-219.60M,,2004-06,44.50M,16.40M,,2004-06,,1.40M,,,93.10M,153.00M,,2004-06,,
2004-03,213.50M,,,,-12.90M,,132.40M,-13.40M,,,,,-177.80M,498.60M,,-67.40M,69.30M,-59.00M,189.20M,452.90M,-0.10M,,2004-03,-110.30M,,-110.30M,,,-3.20M,-113.50M,2004-03,,,-584.10M,7.30M,-3.70M,3.60M,,,,,-61.20M,-641.70M,,2004-03,27.30M,44.50M,,2004-03,,7.30M,,,3.30M,42.50M,,2004-03,,
2003-12,139.80M,,,,2.80M,,121.70M,82.70M,,,,5.20M,-300.70M,135.00M,,59.00M,-8.80M,-134.20M,36.10M,-213.60M,-2.40M,,2003-12,-208.70M,148.80M,-59.90M,,,-5.10M,-65.00M,2003-12,,,-15.70M,3.90M,-1.90M,2.00M,,,,,-60.10M,-73.80M,,2003-12,29.90M,27.30M,,2003-12,,3.90M,,,-134.10M,193.70M,,2003-12,,
2003-09,15.40M,,,,9.60M,,132.40M,-20.50M,,,,-5.20M,184.70M,-333.90M,,-65.10M,-8.70M,-66.20M,41.60M,-247.60M,-19.20M,,2003-09,-128.10M,337.80M,209.70M,,,-1.40M,208.30M,2003-09,,,-3.10M,1.90M,-0.80M,1.10M,,,,,-76.00M,-78.00M,,2003-09,34.70M,29.90M,,2003-09,,1.90M,,,-8.40M,31.20M,,2003-09,,
2003-06,-324.90M,,,,353.80M,,137.20M,-11.40M,,,,,621.40M,-256.90M,,-255.00M,-34.20M,46.90M,-318.00M,-195.80M,-95.10M,,2003-06,-142.70M,4.10M,-138.60M,,,-13.30M,-151.90M,2003-06,,,327.40M,3.70M,-1.00M,2.70M,,,,,-75.90M,254.20M,,2003-06,68.60M,34.70M,,2003-06,,3.70M,,,128.60M,178.40M,,2003-06,,
2003-03,254.90M,,,,-34.40M,,124.60M,27.10M,,,,,-438.10M,288.90M,,219.70M,66.90M,-33.50M,156.70M,260.60M,-24.80M,,2003-03,-95.10M,95.80M,0.70M,,,2.20M,2.90M,2003-03,,,-501.60M,345.20M,-345.00M,0.20M,,,,,-72.00M,-573.40M,,2003-03,31.10M,68.60M,,2003-03,,345.20M,,,16.40M,39.00M,,2003-03,,
2002-12,82.10M,,,,9.80M,,195.90M,34.30M,,,,,-211.20M,159.70M,,226.70M,-52.00M,-89.10M,-44.30M,-10.20M,16.70M,,2002-12,-337.00M,-13.60M,-350.60M,,,,-350.60M,2002-12,,,-629.70M,730.80M,-51.10M,679.70M,,,,,-60.90M,-10.90M,,2002-12,41.50M,54.30M,,2002-12,,730.80M,,,41.60M,235.90M,,2002-12,,
2002-09,23.20M,,,,21.10M,,127.40M,37.00M,,,,,23.80M,-212.40M,,-134.40M,41.20M,207.90M,-145.30M,-219.20M,8.60M,,2002-09,-84.10M,6.80M,-77.30M,,,,-77.30M,2002-09,,,161.90M,1.20M,0.00,1.20M,,,,,-60.30M,102.80M,,2002-09,47.00M,41.50M,,2002-09,,1.20M,,,0.40M,37.00M,,2002-09,,
2002-06,25.00M,,,,-66.10M,,101.30M,25.10M,,,,,425.80M,-168.60M,,10.10M,18.80M,-288.60M,5.90M,3.40M,-43.10M,,2002-06,-110.50M,388.10M,277.60M,,,,277.60M,2002-06,,,-260.00M,2.90M,-2.50M,0.40M,,,,,-60.10M,-319.70M,,2002-06,69.90M,47.00M,,2002-06,,2.90M,,,76.80M,195.00M,,2002-06,,
2002-03,242.20M,,,,-2.40M,,149.40M,17.70M,,,,,55.00M,288.10M,,-194.00M,-8.00M,118.30M,132.20M,391.60M,1.60M,,2002-03,-90.30M,37.90M,-52.40M,,,,-52.40M,2002-03,,,-745.50M,,,,,,,,-60.20M,-805.70M,,2002-03,127.90M,69.90M,,2002-03,,,,,,28.70M,,2002-03,,
2001-12,55.50M,,,,-539.90M,,176.00M,45.60M,,,,,-170.70M,122.80M,,100.90M,,136.80M,422.10M,611.90M,,,2001-12,-278.00M,49.00M,-229.00M,,,-15.70M,-244.70M,2001-12,,,-42.60M,15.10M,-0.50M,14.60M,,,,,-66.20M,-94.20M,,2001-12,117.70M,127.90M,,2001-12,,15.10M,,,86.10M,188.90M,,2001-12,,
2001-09,-9.60M,,,,225.90M,,171.60M,17.80M,,,,,165.20M,-312.00M,,39.70M,,318.30M,-446.00M,-234.80M,,,2001-09,-204.20M,178.90M,-25.30M,,,-6.60M,-31.90M,2001-09,,,-96.40M,-13.50M,-0.30M,-13.80M,,,,,-52.60M,-162.80M,,2001-09,141.50M,117.70M,,2001-09,,-13.50M,,,26.10M,8.20M,,2001-09,,
2001-06,-18.50M,,,,-183.80M,,163.00M,-42.50M,,,,,876.10M,-78.80M,,-260.80M,,29.70M,-390.40M,175.80M,16.90M,,2001-06,-63.80M,,-63.80M,,,26.40M,-37.40M,2001-06,,,9.00M,8.40M,-0.30M,8.10M,,,,,-60.90M,-43.80M,,2001-06,111.80M,141.50M,,2001-06,,8.40M,,,132.50M,267.80M,,2001-06,,
2001-03,188.80M,,,,0.30M,,161.10M,-64.00M,,,,,-318.10M,194.70M,,-375.30M,,340.10M,301.00M,142.40M,-16.90M,,2001-03,-122.10M,,-122.10M,,,-11.10M,-133.20M,2001-03,,,-305.50M,5.10M,,5.10M,,,,,-59.30M,-359.70M,,2001-03,193.00M,111.80M,,2001-03,,5.10M,,,5.50M,53.10M,,2001-03,,
2000-12,1.871M,,,,6.423M,,121.03M,66.59M,,,,40.48M,-718.84M,140.18M,,533.14M,,-288.34M,-110.28M,-444.14M,-28.70M,,2000-12,-165.40M,281.05M,115.66M,-5.654B,,23.49M,-5.515B,2000-12,,,3.898B,2.034B,-3.118M,2.031B,,,,,-33.07M,5.896B,,2000-12,51.03M,193.00M,,2000-12,,2.034B,,,68.35M,-198.99M,,2000-12,,
2000-09,52.00M,,,,-66.08M,,84.10M,1.466M,,,,-22.38M,50.36M,-99.61M,,19.52M,,-17.02M,-3.322M,-50.07M,,,2000-09,-74.97M,238.52M,163.55M,0.00,,1.823M,165.37M,2000-09,,,-133.88M,2.612M,-0.36M,2.252M,,,,,-32.72M,-164.28M,,2000-09,50.90M,51.03M,,2000-09,,2.612M,,,59.67M,355.48M,,2000-09,,
2000-06,23.43M,,,,-6.341M,,88.97M,-6.654M,,,,-18.10M,-17.43M,-47.57M,,73.44M,,9.058M,-98.20M,-80.69M,-5.50M,,2000-06,-73.74M,0.032M,-73.70M,-0.05M,,-8.41M,-82.16M,2000-06,,,119.86M,4.279M,-31.72M,-27.44M,,,,,-32.70M,59.82M,,2000-06,78.10M,50.90M,,2000-06,,4.279M,,,97.58M,45.51M,,2000-06,,
2000-03,79.60M,,,,2.60M,,80.10M,-26.70M,,,,,-67.10M,20.00M,,3.30M,,39.10M,99.00M,94.30M,5.50M,,2000-03,-51.50M,15.60M,-35.90M,,,-7.70M,-43.60M,2000-03,,,-87.80M,1.40M,-37.60M,-36.20M,,,,,-33.30M,-157.20M,,2000-03,43.50M,78.10M,,2000-03,,1.40M,,,1.40M,42.50M,,2000-03,,
1999-12,32.94M,,,,24.54M,,64.55M,9.472M,,,,1.243M,-67.19M,54.86M,,-7.122M,,-77.72M,22.59M,-74.58M,,,1999-12,-84.57M,1.348M,-83.22M,-9.769M,,24.48M,-68.51M,1999-12,,,79.71M,-334.27M,-18.06M,-352.33M,,,,,-31.99M,30.25M,,1999-12,23.75M,41.50M,,1999-12,,-334.27M,,,1.612M,39.58M,,1999-12,,
1999-09,27.96M,,,,0.857M,,78.05M,4.028M,,,,-6.44M,-4.613M,-38.76M,,20.82M,,-14.98M,-18.19M,-55.72M,,,1999-09,-92.33M,0.852M,-91.48M,-0.031M,,-30.88M,-122.39M,1999-09,,,79.29M,0.97M,-0.939M,0.031M,,,,,-31.91M,47.55M,,1999-09,49.80M,23.75M,,1999-09,,0.97M,,,23.99M,40.42M,,1999-09,,
1999-06,22.90M,,,,1.50M,,77.50M,-3.90M,,,,-16.00M,147.80M,-21.30M,,-86.40M,,-1.50M,-96.60M,-58.00M,,,1999-06,-78.00M,2.20M,-75.80M,-153.70M,,-26.50M,-256.00M,1999-06,,,245.10M,6.10M,-2.20M,3.90M,,,,,-31.80M,217.40M,,1999-06,64.50M,49.80M,,1999-06,,6.10M,,,88.70M,41.30M,,1999-06,,
1999-03,76.60M,,,,-8.30M,,72.90M,-26.90M,,,,21.20M,-23.30M,51.60M,,-55.90M,,85.20M,94.10M,151.70M,,,1999-03,-58.10M,25.40M,-32.70M,-562.30M,,-16.20M,-611.20M,1999-03,,,-186.80M,652.10M,-107.70M,544.40M,,,,,-30.00M,327.60M,,1999-03,60.80M,64.50M,,1999-03,,652.10M,,,1.50M,31.40M,,1999-03,,
1998-12,60.60M,,,,-1.50M,,,27.70M,,,,-185.40M,-55.70M,-10.90M,,43.50M,,-2.50M,-24.80M,-50.40M,,,1998-12,-69.60M,2.20M,-67.40M,,,5.90M,-61.50M,1998-12,,,31.50M,1.00M,-22.00M,-21.00M,,,,,-28.20M,-17.70M,,1998-12,32.50M,60.80M,,1998-12,,1.00M,,,32.30M,34.60M,,1998-12,,
1998-09,43.10M,,,,-1.30M,,,-6.90M,,,,57.70M,35.50M,-36.60M,,-6.10M,,-2.60M,2.50M,-7.30M,,,1998-09,-63.90M,0.00,-63.90M,,,-22.50M,-86.40M,1998-09,,,108.30M,2.60M,-85.10M,-82.50M,,,,,-28.90M,-3.10M,,1998-09,36.70M,32.50M,,1998-09,,2.60M,,,19.30M,27.30M,,1998-09,,
1998-06,29.50M,,,,-1.40M,,,-12.70M,,,,54.20M,107.60M,-10.30M,,-4.10M,,6.70M,-67.80M,32.10M,,,1998-06,-64.10M,0.70M,-63.40M,,,-15.20M,-78.60M,1998-06,,,74.90M,3.50M,-76.00M,-72.50M,,,,,-29.50M,-26.80M,,1998-06,40.40M,36.70M,,1998-06,,3.50M,,,76.10M,32.70M,,1998-06,,
