,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2010-09,10.90M,,10.90M,517.80M,73.20M,688.60M,,706.60M,103.00M,276.50M,,409.90M,2.196B,,,19.37B,-8.445B,10.92B,3.677B,311.40M,3.989B,354.50M,,123.80M,1.921B,17.33B,19.53B,,2010-09,242.90M,211.00M,686.50M,363.50M,1.05B,73.20M,,,,1.452B,,1.452B,4.50M,4.50M,672.00M,3.251B,,5.964B,,5.964B,2.243B,0.20M,2.320B,,,,2.083B,11.40B,2010-09,2.80M,868.50M,4.091B,27.40M,,,,-57.40M,4.878B,,2010-09,AOR,Restated
2010-06,7.40M,,7.40M,568.90M,109.10M,704.40M,,493.20M,118.60M,212.70M,,357.10M,1.893B,,,19.35B,-8.547B,10.80B,3.677B,314.10M,3.991B,278.60M,,125.40M,1.936B,17.15B,19.05B,,2010-06,278.90M,207.10M,777.90M,382.40M,1.160B,83.90M,,,,931.60M,,931.60M,10.10M,10.10M,531.50M,2.717B,,5.977B,,5.977B,2.111B,0.20M,2.186B,,,,2.082B,11.44B,2010-06,2.80M,899.50M,4.080B,27.40M,,,,-60.40M,4.895B,,2010-06,AOR,Restated
2010-03,110.60M,,110.60M,949.90M,71.30M,1.024B,,344.30M,136.70M,220.80M,,360.70M,2.197B,,,19.14B,-8.444B,10.70B,3.677B,316.80M,3.994B,308.80M,,140.20M,1.991B,17.15B,19.35B,,2010-03,407.10M,151.40M,919.30M,349.20M,1.268B,97.50M,,,,1.094B,,1.094B,11.50M,11.50M,525.90M,2.997B,,5.964B,,5.964B,2.091B,9.00M,2.172B,,,,2.099B,11.43B,2010-03,2.80M,935.30M,4.068B,27.40M,,,,-50.40M,4.929B,,2010-03,AOR,Restated
2009-12,16.40M,0.00,16.40M,808.60M,72.50M,906.00M,,587.20M,126.30M,174.70M,,238.30M,2.224B,34.00M,,19.08B,-8.387B,10.69B,3.677B,319.60M,3.997B,295.00M,237.60M,152.10M,14.60M,17.05B,19.27B,,2009-12,502.30M,222.20M,937.60M,436.20M,1.374B,146.10M,,,103.00M,103.00M,719.70M,822.70M,328.50M,328.50M,454.90M,3.150B,138.20M,5.969B,,5.969B,2.058B,8.50M,2.139B,170.20M,,,158.80M,11.27B,2009-12,2.80M,865.50M,4.058B,25.90M,,,,-45.90M,4.854B,,2009-12,AOR,Restated
2009-09,83.80M,,83.80M,442.30M,79.00M,817.00M,,703.00M,131.60M,64.50M,,763.30M,2.563B,,,18.87B,-8.286B,10.58B,3.677B,322.40M,4.000B,453.10M,,125.30M,1.657B,16.83B,19.39B,,2009-09,214.00M,240.10M,665.60M,450.20M,1.116B,209.50M,,,,633.80M,,633.80M,8.70M,8.70M,941.90M,2.910B,,6.561B,,6.561B,2.043B,7.90M,2.121B,,,,1.888B,11.74B,2009-09,2.80M,776.30M,4.043B,24.20M,,,,-58.30M,4.740B,,2009-09,AOR,Restated
2009-06,248.90M,,248.90M,544.70M,163.70M,708.40M,,428.40M,180.30M,64.20M,,806.50M,2.437B,,,18.78B,-8.233B,10.54B,3.677B,325.10M,4.002B,438.30M,,125.60M,1.668B,16.79B,19.22B,,2009-06,240.90M,319.40M,832.70M,381.70M,1.214B,328.30M,,,,424.00M,,424.00M,20.20M,20.20M,955.50M,2.942B,,6.564B,,6.564B,1.715B,7.30M,1.795B,,,,1.874B,11.49B,2009-06,2.80M,855.10M,4.033B,24.20M,,,,-74.00M,4.792B,,2009-06,AOR,Restated
2009-03,135.20M,,135.20M,910.70M,257.40M,1.168B,,259.80M,291.00M,316.80M,,461.50M,2.632B,,,18.61B,-8.134B,10.48B,3.677B,327.80M,4.005B,276.40M,,117.40M,1.832B,16.72B,19.35B,,2009-03,531.60M,339.00M,1.193B,392.40M,1.586B,322.40M,,,,436.00M,,436.00M,11.00M,11.00M,923.00M,3.278B,,6.452B,,6.452B,1.651B,6.80M,1.734B,,,,1.900B,11.33B,2009-03,2.70M,923.30M,4.023B,24.10M,,,,-187.20M,4.738B,,2009-03,AOR,Restated
2008-12,20.60M,,20.60M,1.143B,393.80M,1.537B,,850.90M,249.10M,286.60M,,466.30M,3.410B,18.08B,445.20M,18.52B,-8.134B,10.39B,3.677B,330.60M,4.008B,250.20M,,123.50M,1.841B,16.62B,20.03B,,2008-12,693.90M,555.50M,1.456B,465.30M,1.921B,375.10M,,,,1.633B,,1.633B,14.70M,14.70M,639.60M,4.583B,,5.944B,,5.944B,1.596B,6.20M,1.679B,,,,,8.861B,2008-12,2.70M,901.10M,4.020B,23.30M,,,,-172.00M,4.729B,,2008-12,,Restated
2008-09,269.00M,,269.00M,586.80M,,586.80M,,1.103B,,,,1.168B,3.126B,,,18.34B,-8.078B,10.26B,,,4.011B,,,117.80M,1.582B,15.97B,19.10B,,2008-09,498.00M,,561.10M,2.175B,2.736B,,,,,1.283B,,1.283B,,,,4.019B,,6.323B,,6.323B,1.589B,,47.90M,,,,,6.371B,2008-09,2.70M,739.10M,4.018B,23.50M,,,,-65.30M,4.671B,,2008-09,,Restated
2008-06,47.20M,,47.20M,737.00M,,737.00M,,745.00M,,,,1.151B,2.680B,,,18.11B,-7.982B,10.13B,,,4.013B,,,114.20M,1.682B,15.94B,18.62B,,2008-06,665.20M,,728.30M,2.371B,3.100B,,,,,549.10M,,549.10M,,,,3.649B,,6.060B,,6.060B,1.572B,,49.80M,,,,,6.110B,2008-06,2.70M,782.20M,4.015B,23.40M,,,,34.00M,4.811B,,2008-06,,Restated
2008-03,81.20M,,81.20M,1.086B,,1.086B,,458.60M,,,,895.50M,2.522B,,,17.50B,-7.819B,9.676B,,,4.016B,,,120.80M,1.852B,15.67B,18.19B,,2008-03,755.90M,,819.00M,2.220B,3.039B,,,,,714.00M,,714.00M,,,,3.753B,,5.383B,,5.383B,1.546B,,51.60M,,,,,5.435B,2008-03,2.70M,1.048B,4.013B,23.30M,,,,24.10M,5.064B,,2008-03,,Restated
2007-12,92.30M,,92.30M,900.30M,,900.30M,,746.70M,,,,721.10M,2.460B,,,17.36B,-7.787B,9.576B,,,4.019B,,,121.50M,1.834B,15.55B,18.01B,,2007-12,713.00M,,713.00M,1.590B,2.303B,,,,,1.095B,,1.095B,,,,3.398B,,5.594B,,5.594B,1.520B,,53.40M,,,,,5.648B,2007-12,2.70M,1.074B,4.011B,23.30M,,,,11.70M,5.077B,,2007-12,,
2007-09,113.70M,,113.70M,571.50M,,571.50M,,927.20M,,,,656.40M,2.269B,,,17.68B,-7.813B,9.871B,,,4.103B,,,154.30M,1.254B,15.38B,17.65B,,2007-09,449.70M,,512.80M,1.460B,1.972B,,,,,733.90M,,733.90M,,,,2.706B,,5.923B,,5.923B,1.605B,,55.50M,,,,,5.979B,2007-09,2.70M,1.007B,4.009B,23.30M,,,,8.50M,5.004B,,2007-09,,
2007-06,89.90M,,89.90M,1.067B,,1.067B,,562.80M,,,,429.80M,2.150B,,,17.80B,-8.00B,9.805B,,,4.106B,,,163.60M,1.280B,15.36B,17.50B,,2007-06,1.047B,,1.110B,1.058B,2.168B,,,,,1.078B,,1.078B,,,,3.246B,,5.124B,,5.124B,1.595B,,57.50M,,,,,5.182B,2007-06,2.70M,1.060B,4.008B,23.30M,,,,27.90M,5.074B,,2007-06,,
2007-03,163.40M,,163.40M,954.00M,,954.00M,,444.10M,,,,699.80M,2.261B,,,17.68B,-7.940B,9.741B,,,4.110B,,,162.10M,1.281B,15.29B,17.56B,,2007-03,659.50M,,659.50M,1.853B,2.512B,,,,,710.10M,,710.10M,,,,3.222B,,5.153B,,5.153B,1.604B,,59.50M,,,,,5.213B,2007-03,2.70M,1.096B,4.001B,22.70M,,,,50.20M,5.127B,,2007-03,,
2006-12,175.60M,,175.60M,866.30M,,866.30M,,866.60M,,,,874.40M,2.783B,,,17.54B,-7.85B,9.694B,,,4.113B,,,170.20M,1.396B,15.37B,18.16B,,2006-12,713.10M,,713.10M,1.822B,2.535B,,,,,1.286B,,1.286B,,,,3.821B,,5.146B,,5.146B,1.615B,,61.50M,,,,,5.208B,2006-12,2.70M,1.013B,3.998B,21.20M,,,,20.90M,5.014B,,2006-12,,
2006-09,225.80M,,225.80M,478.30M,,478.30M,,821.30M,,,,997.40M,2.523B,,,17.34B,-7.788B,9.552B,,,4.155B,,,188.00M,899.10M,14.79B,17.32B,,2006-09,461.00M,,523.80M,1.742B,2.266B,,,,,1.323B,,1.323B,,,,3.588B,,5.173B,,5.173B,1.549B,,63.70M,,,,,5.237B,2006-09,2.70M,950.40M,3.980B,21.10M,,,,-106.30M,4.805B,,2006-09,,
2006-06,129.60M,,129.60M,472.10M,,472.10M,,458.50M,,,,1.229B,2.289B,,,17.21B,-7.711B,9.502B,,,4.167B,,,191.70M,939.30M,14.80B,17.09B,,2006-06,329.80M,,392.60M,1.983B,2.376B,,,,,861.80M,,861.80M,,,,3.237B,,5.164B,,5.164B,1.563B,,65.80M,,,,,5.229B,2006-06,2.70M,987.40M,3.973B,,,,,-91.20M,4.872B,,2006-06,,
2006-03,141.30M,,141.30M,1.162B,,1.162B,,283.50M,,,,1.156B,2.743B,,,17.13B,-7.637B,9.497B,,,4.17B,,,178.40M,972.90M,14.82B,17.56B,,2006-03,538.70M,,602.50M,2.084B,2.687B,,,,,821.90M,,821.90M,,,,3.509B,,5.230B,,5.230B,1.611B,,67.90M,,,,,5.298B,2006-03,83.80M,1.029B,3.971B,,81.10M,,,-77.90M,5.006B,,2006-03,,
2005-12,103.30M,,103.30M,1.255B,,1.255B,,623.80M,,,,1.079B,3.061B,,,17.11B,-7.557B,9.554B,,,4.173B,,,167.40M,1.003B,14.90B,17.96B,,2005-12,866.70M,,867.80M,1.637B,2.504B,,,,,1.339B,,1.339B,,,,3.843B,,5.271B,,5.271B,1.662B,,69.90M,,,,,5.341B,2005-12,83.80M,981.60M,3.969B,15.10M,81.10M,,,-5.60M,5.014B,,2005-12,,
2005-09,932.50M,,932.50M,438.60M,,438.60M,,1.039B,,,,803.30M,3.213B,,,16.92B,-7.496B,9.426B,,,4.176B,,,181.40M,986.00M,14.77B,17.98B,,2005-09,535.20M,,599.00M,1.542B,2.141B,,,,,2.213B,,2.213B,,,,4.354B,,4.779B,,4.779B,1.758B,,71.80M,,,,,4.851B,2005-09,83.80M,913.60M,3.968B,,81.10M,,,21.70M,4.988B,,2005-09,,
2005-06,258.20M,,258.20M,474.30M,,474.30M,,405.70M,,,,592.30M,1.730B,,,16.79B,-7.416B,9.374B,,,4.190B,,,185.90M,978.10M,14.73B,16.46B,,2005-06,390.90M,,454.60M,1.288B,1.743B,,,,,1.260B,,1.260B,,,,3.003B,,4.807B,,4.807B,1.699B,,74.00M,,,,,4.881B,2005-06,83.80M,983.20M,3.959B,,81.10M,,,-49.80M,4.976B,,2005-06,,
2005-03,588.00M,,588.00M,610.00M,,892.80M,,173.80M,,,,749.70M,2.404B,,,16.70B,-7.341B,9.358B,,,4.203B,,,185.60M,952.90M,14.70B,17.10B,,2005-03,502.30M,,565.90M,1.680B,2.246B,,,,,1.300B,,1.300B,,,,3.545B,,4.810B,,4.810B,1.772B,,76.20M,,,,,4.886B,2005-03,83.80M,1.007B,3.944B,,81.10M,,,-10.40M,5.024B,,2005-03,,
2004-12,29.50M,,29.50M,536.40M,,889.10M,,552.70M,,,,813.10M,2.284B,,,16.62B,-7.248B,9.374B,,,4.208B,,,189.50M,932.50M,14.70B,16.99B,,2004-12,648.40M,,649.50M,1.322B,1.972B,,,,,1.608B,,1.608B,,,,3.579B,,4.836B,,4.836B,1.744B,,78.40M,,,,,4.914B,2004-12,83.80M,925.40M,3.924B,,81.10M,,,-65.00M,4.868B,,2004-12,,
2004-09,40.40M,,40.40M,318.30M,,394.90M,,653.50M,,,,672.60M,1.761B,,,16.58B,-7.204B,9.379B,,,4.220B,,,169.50M,932.80M,14.70B,16.46B,,2004-09,295.10M,,356.80M,1.182B,1.539B,,,,,1.046B,,1.046B,,,,2.585B,,5.589B,,5.589B,1.720B,,80.60M,,,,,5.670B,2004-09,81.10M,,,,81.10M,,,4.503B,4.584B,,2004-09,,
2004-06,16.40M,,16.40M,311.10M,,431.90M,,333.10M,,,,608.00M,1.389B,,,16.50B,-7.147B,9.358B,,,4.224B,,,152.60M,879.20M,14.61B,16.00B,,2004-06,482.80M,,544.50M,1.228B,1.773B,,,,,509.60M,,509.60M,,,,2.282B,,5.573B,,5.573B,1.695B,,82.90M,,,,,5.656B,2004-06,81.10M,,,,81.10M,,,4.501B,4.582B,,2004-06,,
2004-03,44.50M,,44.50M,731.00M,,961.50M,,102.00M,,,,724.60M,1.833B,,,16.52B,-7.163B,9.357B,,,4.228B,,,148.30M,909.80M,14.64B,16.48B,,2004-03,426.20M,,487.90M,1.521B,2.009B,,,,,339.70M,,339.70M,,,,2.348B,,5.945B,,5.945B,1.698B,,85.10M,,,,,6.030B,2004-03,81.10M,,4.526B,,81.10M,,,,4.608B,,2004-03,,
2003-12,27.30M,,27.30M,511.10M,,940.50M,,100.50M,,,,994.60M,2.063B,,,16.39B,-7.096B,9.291B,,,4.214B,,,157.80M,898.50M,14.56B,16.62B,,2003-12,496.60M,,498.40M,1.314B,1.813B,,,,,803.80M,,803.80M,,,,2.616B,,5.993B,,5.993B,1.676B,,87.30M,,,,,6.081B,2003-12,83.70M,731.30M,3.752B,,81.10M,,,-70.20M,4.497B,,2003-12,,
2003-09,71.00M,,71.00M,370.70M,,497.20M,,661.70M,,,,646.20M,1.876B,,,16.85B,-8.121B,8.732B,,,3.728B,,,131.00M,1.237B,13.83B,15.70B,,2003-09,397.50M,,459.50M,1.328B,1.788B,,,,,1.317B,,1.317B,,,,3.105B,,5.513B,,5.513B,1.686B,,89.60M,,,,,5.603B,2003-09,81.10M,,,,81.10M,,,4.254B,4.335B,,2003-09,,
2003-06,34.70M,,34.70M,542.10M,,667.40M,,327.80M,,,,627.90M,1.658B,,,16.75B,-8.044B,8.707B,,,3.750B,,,132.50M,2.275B,14.86B,16.52B,,2003-06,486.60M,,564.20M,1.396B,1.961B,,,,,1.786B,,1.786B,,,,3.747B,,5.042B,,5.042B,1.670B,,91.80M,,,,,5.134B,2003-06,84.90M,,,,84.90M,,,4.257B,4.342B,,2003-06,,
2003-03,69.60M,,69.60M,1.287B,,1.516B,,333.90M,,,,337.80M,2.258B,,,18.30B,-8.247B,10.05B,,,3.763B,,,179.70M,1.002B,14.99B,17.25B,,2003-03,715.90M,,793.20M,1.924B,2.717B,,,,,1.376B,,1.376B,,,,4.093B,,5.294B,,5.294B,1.977B,,94.10M,,,,,5.388B,2003-03,84.90M,,,,84.90M,,,4.634B,4.719B,,2003-03,,
2002-12,55.30M,,55.30M,545.50M,,850.70M,,359.80M,,,,604.00M,1.870B,,,16.58B,-7.860B,8.720B,,,3.752B,,,139.20M,2.472B,15.08B,16.95B,,2002-12,489.40M,,490.50M,1.346B,1.837B,,,,,2.138B,,2.138B,,,,3.975B,,4.850B,,4.850B,1.608B,,96.30M,,,345.00M,,5.291B,2002-12,87.40M,930.90M,3.390B,6.90M,84.90M,,,-141.10M,4.260B,,2002-12,,
2002-09,64.90M,,64.90M,478.70M,,478.70M,,681.60M,,,,405.70M,1.631B,,,19.12B,-9.036B,10.09B,,,3.725B,,,290.90M,894.60M,15.00B,16.63B,,2002-09,331.90M,,393.90M,1.580B,1.974B,,,,,2.025B,,2.025B,,,,3.999B,,5.793B,,5.793B,1.916B,,98.50M,,,345.00M,,6.236B,2002-09,85.50M,,,,85.50M,,,3.343B,3.428B,,2002-09,,
2002-06,54.80M,,54.80M,556.50M,,556.50M,,295.70M,,,,677.10M,1.584B,,,17.90B,-7.826B,10.07B,,,3.727B,,,375.30M,997.50M,15.17B,16.76B,,2002-06,391.40M,,453.40M,1.470B,1.924B,,,,,1.694B,,1.694B,,,,3.617B,,5.930B,,5.930B,1.976B,,100.80M,,,345.00M,,6.376B,2002-06,86.10M,,,,86.10M,,,3.580B,3.666B,,2002-06,,
2002-03,69.90M,,69.90M,1.036B,,1.036B,,202.20M,,,,637.70M,1.946B,,,17.30B,-7.833B,9.467B,,,3.731B,,,389.20M,1.138B,14.73B,16.67B,,2002-03,452.60M,,514.50M,2.271B,2.785B,,,,,1.117B,,1.117B,,,,3.902B,,5.749B,,5.749B,1.880B,,103.00M,,,345.00M,,6.197B,2002-03,88.60M,974.70M,,,88.60M,,,2.607B,3.670B,,2002-03,,
2001-12,127.90M,,127.90M,1.135B,,1.135B,,231.90M,,,,1.072B,2.567B,,,17.25B,-7.691B,9.555B,,,3.738B,,,431.00M,1.084B,14.81B,17.37B,,2001-12,646.60M,,648.40M,1.828B,2.476B,,,,,2.252B,,2.252B,,,,4.729B,,5.781B,,5.781B,1.832B,,105.20M,,,345.00M,,6.231B,2001-12,90.70M,792.70M,2.612B,,88.60M,,,63.00M,3.558B,,2001-12,,
2001-09,117.70M,,117.70M,786.70M,,786.70M,,602.90M,,,,1.127B,2.634B,,,17.12B,-7.668B,9.449B,,,3.704B,,,423.70M,1.112B,14.69B,17.32B,,2001-09,531.70M,,596.40M,1.794B,2.391B,,,,,1.951B,,1.951B,,,,4.342B,,6.113B,,6.113B,1.849B,,107.60M,,,345.00M,,6.565B,2001-09,132.20M,,,,132.20M,,,3.412B,3.544B,,2001-09,,
2001-06,142.70M,,142.70M,1.490B,,1.490B,,290.90M,,,,846.60M,2.770B,,,16.93B,-7.544B,9.385B,,,3.673B,,,502.50M,1.365B,14.93B,17.70B,,2001-06,492.00M,,552.80M,1.788B,2.341B,,,,,2.035B,,2.035B,,,,4.376B,,6.126B,,6.126B,1.957B,,109.80M,,,345.00M,,6.581B,2001-06,134.50M,830.60M,2.618B,,132.50M,,,49.00M,3.632B,,2001-06,,
2001-03,111.80M,,111.80M,2.493B,,2.493B,,212.10M,,,,831.50M,3.648B,,,16.96B,-7.441B,9.514B,,,3.621B,,,439.90M,1.273B,14.85B,18.50B,,2001-03,741.80M,,803.20M,2.336B,3.140B,,,,,2.266B,,2.266B,,,,5.406B,,5.799B,,5.799B,1.978B,,112.00M,,,345.00M,,6.256B,2001-03,134.80M,898.70M,2.608B,,132.70M,,,10.10M,3.651B,,2001-03,,
2000-12,193.00M,,193.00M,2.130B,,2.130B,,406.80M,,,,2.188B,4.918B,,,16.86B,-7.308B,9.547B,,,3.604B,,,367.70M,1.261B,14.78B,19.70B,,2000-12,1.117B,,1.118B,3.214B,4.332B,,,,,2.562B,,2.562B,,,,6.893B,,5.803B,,5.803B,1.920B,,114.30M,,,345.00M,,6.262B,2000-12,134.70M,829.80M,2.585B,,132.70M,,,-1.70M,3.548B,,2000-12,,
2000-09,51.03M,,51.03M,425.22M,,425.22M,,281.20M,,,,587.27M,1.345B,8.290B,304.73M,8.595B,-3.693B,4.902B,,,75.18M,,,,762.76M,5.739B,7.084B,,2000-09,368.02M,,401.70M,727.85M,1.130B,,,,,838.03M,,838.03M,,,,1.968B,,1.737B,,1.737B,1.021B,,89.22M,,,345.00M,,2.172B,2000-09,1.007B,828.06M,172.65M,516.06M,135.81M,,,-3.511M,1.488B,,2000-09,,
2000-06,50.90M,,50.90M,479.45M,,479.45M,,193.47M,,,,389.26M,1.113B,8.507B,273.31M,8.780B,-3.562B,5.218B,,,134.19M,,,,727.94M,6.081B,7.194B,,2000-06,349.86M,,383.50M,564.16M,947.66M,,,,,944.68M,,944.68M,,,,1.892B,,1.916B,,1.916B,1.074B,,91.13M,,,345.00M,,2.352B,2000-06,1.007B,809.54M,173.60M,518.62M,136.11M,,,-4.892M,1.467B,,2000-06,,
2000-03,78.15M,,78.15M,462.43M,,462.43M,,144.69M,,,,230.00M,915.27M,8.518B,256.61M,8.775B,-3.567B,5.207B,,,136.79M,,,,696.00M,6.040B,6.956B,,2000-03,268.05M,,302.20M,496.26M,798.46M,,,,,813.06M,,813.06M,,,,1.612B,,1.927B,,1.927B,1.083B,,93.04M,,,345.00M,,2.365B,2000-03,1.007B,819.59M,174.35M,491.29M,136.41M,,,-6.321M,1.504B,,2000-03,,
1999-12,41.50M,,41.50M,383.80M,,383.80M,,248.60M,,,,132.10M,806.00M,,,7.915B,-3.318B,4.596B,,,125.80M,,,264.10M,636.20M,5.623B,6.429B,,1999-12,255.80M,,290.30M,353.70M,644.00M,,,,,824.80M,,824.80M,,,,1.469B,,1.776B,,1.776B,1.053B,,90.60M,,,345.00M,,2.211B,1999-12,1.010B,774.40M,174.40M,472.50M,139.60M,,,6.20M,1.493B,,1999-12,,
1999-09,23.70M,,23.70M,363.30M,,363.30M,,208.10M,,,,83.20M,678.30M,7.967B,316.50M,8.284B,-3.384B,4.900B,,,121.70M,,,,807.70M,5.829B,6.507B,,1999-09,265.30M,,298.20M,242.10M,540.30M,,,,,738.80M,,738.80M,,,,1.279B,,1.842B,,1.842B,1.077B,,96.90M,,345.00M,,,1.939B,1999-09,1.011B,775.00M,172.40M,455.20M,140.10M,-0.10M,1.90M,1.80M,1.505B,,1999-09,,
1999-06,49.80M,,49.80M,345.40M,,345.40M,,172.20M,,,,42.70M,610.10M,,,8.204B,-3.318B,4.885B,,,123.40M,,,,783.10M,5.792B,6.402B,,1999-06,243.50M,,276.40M,230.40M,506.80M,,,,,657.40M,,657.40M,,,0.10M,1.164B,,1.844B,,1.844B,1.087B,,98.80M,,345.00M,,,1.943B,1999-06,1.012B,779.10M,172.40M,455.60M,140.80M,-1.00M,3.30M,2.30M,1.510B,,1999-06,,
1999-03,64.50M,,64.50M,412.20M,,412.20M,,138.20M,,,,47.00M,661.90M,7.848B,257.30M,8.106B,-3.263B,4.843B,,,80.60M,,,,641.10M,5.564B,6.226B,,1999-03,255.00M,,288.20M,325.60M,613.80M,,,,,289.10M,,289.10M,,,,902.90M,,1.967B,,1.967B,1.050B,,100.80M,,345.00M,,,2.068B,1999-03,1.013B,788.60M,171.60M,459.60M,142.00M,-1.50M,1.60M,0.10M,1.514B,,1999-03,,
1998-12,60.80M,,60.80M,293.80M,,293.80M,,164.80M,,,,87.50M,606.90M,6.520B,197.10M,6.717B,-2.968B,3.749B,,,65.00M,,,,565.90M,4.380B,4.986B,,1998-12,251.40M,,282.50M,185.70M,468.20M,,,,,417.80M,,417.80M,,,0.10M,886.10M,,1.668B,,1.668B,765.40M,,98.20M,,,,,1.766B,1998-12,1.013B,744.30M,94.20M,559.00M,142.00M,-1.80M,1.10M,-0.70M,1.292B,,1998-12,,
1998-09,32.50M,,32.50M,231.80M,,231.80M,,151.20M,,,,66.70M,482.20M,6.411B,233.70M,6.645B,-2.913B,3.732B,,,65.80M,,,,557.50M,4.355B,4.837B,,1998-09,189.90M,,219.40M,192.50M,411.90M,,,,,383.80M,,383.80M,,,,795.70M,,1.670B,,1.670B,729.00M,,100.10M,,,,,1.77B,1998-09,1.014B,713.60M,91.00M,538.20M,142.60M,-2.30M,-0.20M,-2.50M,1.277B,,1998-09,,
1998-06,36.70M,,36.70M,264.30M,,264.30M,,114.70M,,,,59.50M,475.20M,6.368B,223.20M,6.591B,-2.858B,3.734B,,,66.20M,,,,538.80M,4.339B,4.814B,,1998-06,201.10M,,231.40M,184.10M,415.50M,,,,,273.60M,,273.60M,,,-0.10M,689.00M,,1.671B,,1.671B,738.00M,,101.90M,,,,,1.773B,1998-06,1.014B,698.60M,90.70M,456.00M,143.20M,-3.00M,2.60M,-0.40M,1.347B,,1998-06,,
