,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-06,4.83B,4.83B,2.809B,2.021B,-287.00M,2.444B,2.157B,320.00M,-454.00M,44.00M,,,,2.642B,5.119B,-3.098B,,,,44.00M,,6.00M,0.00,6.00M,,,,,6.00M,-38.00M,-2.778B,320.00M,-3.098B,0.1071,0.0,,,-0.6783,0.1071,0.0803,0.0,,,-0.5087,0.0803,56.02M,74.70M,
2004-03,4.512B,4.512B,,,,,1.64B,,,-10.00M,,,,2.504B,4.47B,42.00M,,,,-10.00M,,-166.00M,0.00,-166.00M,,,,,-166.00M,-156.00M,368.00M,326.00M,42.00M,-2.758,0.0,,,-2.592,-2.758,-2.758,0.0,,,-2.592,-2.758,60.20M,60.20M,
2003-12,4.391B,4.391B,2.504B,1.887B,-267.00M,2.308B,2.041B,350.00M,-437.00M,-185.00M,,,,2.334B,4.725B,-2.838B,,,,-185.00M,,-191.00M,-80.00M,-111.00M,,,,,-111.00M,0.00,-434.00M,2.404B,-2.838B,-1.821,0.0,,,0.0405,-1.821,-1.8619999999999999,,,,-0.0012,-1.8619999999999999,59.64M,59.64M,
2003-09,4.605B,4.605B,2.612B,1.993B,-281.00M,2.441B,2.16B,345.00M,-467.00M,38.00M,,,,2.426B,4.931B,-2.938B,,,,38.00M,,1.00M,0.00,1.00M,,,,,1.00M,-37.00M,-2.593B,345.00M,-2.938B,0.0168,,,,-0.6302,0.0168,0.0168,,,,-0.6302,0.0168,58.73M,58.73M,
2003-06,4.324B,4.324B,,,,,1.869B,,,20.00M,,,,2.024B,4.237B,87.00M,,,,20.00M,,-75.00M,0.00,-75.00M,,,,,-75.00M,-95.00M,431.00M,344.00M,87.00M,-1.258,0.0,,,-1.594,-1.258,-1.258,0.0,,,-1.594,-1.258,59.60M,59.60M,
2003-03,4.12B,4.12B,,,,,2.098B,,,5.00M,,,,2.553B,4.989B,-869.00M,,,,5.00M,,-1.043B,0.00,-1.043B,,,,,-1.043B,-1.048B,-531.00M,338.00M,-869.00M,-17.88,0.0,,,-17.97,-17.88,-17.88,0.0,,,-17.97,-17.88,58.32M,58.32M,
2002-12,4.311B,4.311B,2.318B,1.993B,-740.00M,4.025B,3.285B,347.00M,-480.00M,-68.00M,,,,1.839B,5.471B,-3.478B,,,,-68.00M,,-828.00M,-299.00M,-529.00M,,,,,-529.00M,-485.56M,-3.131B,-347.00M,-3.478B,-9.076,0.0,,,-8.33,-9.076,-9.076,,,,-8.331,-9.076,58.19M,58.30M,
2002-09,4.494B,4.494B,3.062B,1.432B,-107.00M,2.858B,2.751B,340.00M,-523.00M,-683.00M,,,,2.539B,5.63B,-4.198B,,,,-683.00M,,-1.449B,-525.00M,-924.00M,,0.00,,,-924.00M,-488.46M,-3.858B,-340.00M,-4.198B,-15.88,0.0,0.0,,-8.392999999999999,-15.88,-15.88,0.0,0.0,,-8.392999999999999,-15.88,58.20M,58.20M,
2002-06,4.508B,4.508B,2.854B,1.654B,-311.00M,3.268B,2.957B,338.00M,-520.00M,5.00M,,,,873.00M,4.168B,-2.514B,,,,5.00M,,-720.00M,-225.00M,-495.00M,,,,,-495.00M,-498.44M,-2.176B,-338.00M,-2.514B,-8.541,0.0,,,-8.6,-8.541,-8.541,0.0,,,-8.6,-8.541,57.89M,57.89M,
2002-03,4.163B,4.163B,2.666B,1.497B,-320.00M,3.235B,2.915B,341.00M,-515.00M,-8.00M,,,,843.00M,4.099B,-2.602B,,,,-8.00M,,-863.00M,-288.00M,-575.00M,,-988.00M,,,-1.563B,-569.67M,-2.261B,-341.00M,-2.602B,-9.933,-17.08,-0.0,,-9.841000000000001,-27.01,-9.933,-17.08,-17.07,,-9.841000000000001,-27.01,57.89M,57.89M,
2001-12,3.81B,3.804B,2.131B,1.673B,-849.00M,2.707B,1.858B,371.00M,-522.00M,-89.00M,,,,3.143B,5.372B,-3.699B,,,,-89.00M,,-1.27B,-472.00M,-798.00M,0.00,0.00,,,-798.00M,-742.08M,-1.262B,2.437B,-3.699B,-13.84,0.0,0.0,,-12.87,-13.84,-13.84,0.0,0.0,,-12.87,-13.84,57.75M,57.75M,
2001-09,4.816B,4.816B,3.396B,1.42B,-207.00M,3.10B,2.893B,368.00M,-553.00M,205.00M,,,,2.843B,6.104B,-4.684B,,,,205.00M,,-636.00M,-222.00M,-414.00M,0.00,0.00,,,-414.00M,-547.44M,-4.316B,-368.00M,-4.684B,-7.175,0.0,0.0,,-9.495,-7.175,-7.175,0.0,0.0,,-9.495,-7.175,57.52M,57.52M,
2001-06,5.583B,5.583B,3.466B,2.117B,-260.00M,3.192B,2.932B,352.00M,-546.00M,-648.00M,,,,1.234B,4.518B,-2.401B,,,,-648.00M,,-793.00M,-286.00M,-507.00M,,,,,-507.00M,-92.70M,-2.049B,-352.00M,-2.401B,-8.809,0.0,,,-1.6059999999999999,-8.809,-8.809,0.0,,,-1.6059999999999999,-8.809,57.52M,57.52M,
2001-03,4.76B,4.76B,2.886B,1.874B,-224.00M,2.599B,2.375B,313.00M,-405.00M,-15.00M,,,,1.089B,3.777B,-1.903B,,,,-15.00M,,-57.00M,-14.00M,-43.00M,,,,,-43.00M,-31.68M,-1.59B,-313.00M,-1.903B,-0.7497,0.0,,,-0.5529,-0.7497,-0.7497,0.0,,,-0.5529,-0.7497,57.52M,57.52M,
2000-12,4.859B,4.859B,2.862B,1.997B,-241.00M,2.661B,2.42B,313.00M,-408.00M,181.00M,,,,6.241B,8.974B,-6.977B,,,,181.00M,,83.00M,36.00M,47.00M,-43.00M,,,,47.00M,-9.60M,-4.886B,2.091B,-6.977B,0.83,0.0,,0.0008,-1.084,0.8032,0.6961,0.0,,0.0008,-1.082,0.6961,56.73M,61.08M,
2000-09,5.256B,5.256B,2.791B,2.465B,-266.00M,2.654B,2.388B,307.00M,-401.00M,-6.00M,,,,1.063B,3.758B,-1.293B,,,,-6.00M,,525.00M,203.00M,322.00M,,,,,313.00M,325.68M,-986.00M,-307.00M,-1.293B,5.73,-0.1606,,-0.1606,5.795,5.569,5.247999999999999,-0.1606,,-0.1606,5.308,5.114,56.02M,61.25M,
2000-06,5.011B,5.011B,2.66B,2.351B,-273.00M,2.627B,2.354B,294.00M,-407.00M,86.00M,,,,2.253B,4.901B,-2.55B,,,,86.00M,,679.00M,201.00M,321.00M,0.00,,,,321.00M,260.46M,-2.256B,-294.00M,-2.55B,5.756,0.0,,,4.676,5.756,5.247999999999999,0.0,,,4.2589999999999995,5.247999999999999,56.02M,61.25M,
2000-03,4.577B,4.577B,2.593B,1.984B,-257.00M,2.521B,2.264B,288.00M,-390.00M,-6.00M,,,,989.00M,3.541B,-1.557B,,,,-6.00M,,157.00M,68.00M,89.00M,43.00M,,,,132.00M,92.60M,-1.269B,-288.00M,-1.557B,1.6059999999999999,0.7764,,,1.671,2.383,1.526,0.7764,,,1.589,2.303,55.65M,57.52M,
1999-12,4.487B,4.487B,2.472B,2.015B,-262.00M,2.454B,2.192B,295.00M,-371.00M,133.00M,,,,5.264B,7.751B,-5.736B,,,,133.00M,,249.00M,39.00M,210.00M,70.00M,,,,280.00M,97.83M,-3.847B,1.889B,-5.736B,3.748,1.285,,,1.7180000000000002,5.033,3.641,1.232,,,1.671,4.873,55.24M,56.92M,
1999-09,4.695B,4.695B,2.555B,2.14B,-314.00M,2.57B,2.256B,276.00M,-409.00M,-9.00M,,,,1.018B,3.55B,-1.41B,,,,-9.00M,,357.00M,144.00M,213.00M,66.00M,,,,279.00M,218.40M,-1.134B,-276.00M,-1.41B,3.802,1.178,,,3.898,4.98,3.695,1.0170000000000001,,,3.7880000000000003,4.712,56.02M,57.89M,
1999-06,4.541B,4.541B,2.403B,2.138B,-298.00M,2.56B,2.262B,268.00M,-403.00M,-6.00M,,,,960.00M,3.49B,-1.352B,,,,-6.00M,,360.00M,144.00M,216.00M,52.00M,,,,268.00M,219.60M,-1.084B,-268.00M,-1.352B,3.775,0.9371,,,3.838,4.712,3.641,0.9103,,,3.702,4.552,57.15M,59.01M,
1999-03,4.007B,4.007B,2.342B,1.665B,-288.00M,2.432B,2.144B,253.00M,-389.00M,30.00M,,,,958.00M,3.355B,-1.69B,,,,30.00M,,40.00M,23.00M,17.00M,141.00M,,,,158.00M,-1.00M,-1.437B,-253.00M,-1.69B,0.2945,2.356,,,-0.0086,2.6510000000000002,0.2945,2.276,,,0.0007,2.57,59.39M,61.25M,
1998-12,2.912B,2.912B,1.90B,1.012B,-292.00M,1.874B,1.582B,74.00M,-314.00M,106.00M,,,,4.603B,6.259B,-5.247B,,,,106.00M,,-25.00M,-15.00M,-10.00M,-8.00M,,,,182.00M,126.40M,-3.241B,2.006B,-5.247B,0.0803,3.025,,,-0.9671,3.1060000000000003,0.0803,2.918,,,-0.9336,3.025,60.72M,62.72M,
1998-09,5.046B,5.046B,2.416B,2.63B,-311.00M,2.627B,2.316B,328.00M,-373.00M,16.00M,,,,1.019B,3.663B,-1.033B,,,,16.00M,,708.00M,277.00M,431.00M,2.00M,,12.00M,,433.00M,421.26M,-705.00M,-328.00M,-1.033B,6.854,0.0268,,,6.7,6.881,6.64,0.0268,,,6.49,6.667000000000001,63.12M,64.99M,
1998-06,4.924B,4.924B,2.297B,2.627B,-322.00M,2.637B,2.315B,320.00M,-366.00M,-5.00M,,,,938.00M,3.573B,-946.00M,,,,-5.00M,,673.00M,265.00M,408.00M,1.00M,,12.00M,,409.00M,411.03M,-626.00M,-320.00M,-946.00M,6.345,0.0268,,,6.393,6.372000000000001,6.131,0.0268,,,6.1770000000000005,6.1579999999999995,64.24M,66.48M,
