,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2013-04,484.00M,,,,25.00M,25.00M,519.00M,,519.00M,519.00M,-14.00M,,24.00M,,55.00M,88.00M,53.00M,380.00M,53.00M,,,-50.00M,524.00M,1.617B,,-618.00M,,-618.00M,,,-8.00M,-626.00M,,-952.00M,,-952.00M,95.00M,-146.00M,-51.00M,-78.00M,-78.00M,99.00M,-982.00M,,238.00M,9.00M,,247.00M,,95.00M,2.00M,-954.00M,-146.00M,181.00M,114.00M,,AOR,Restated
2013-01,469.00M,,,,21.00M,21.00M,-1.265B,,387.00M,387.00M,46.00M,,21.00M,,-126.00M,5.00M,453.00M,-260.00M,-188.00M,,,-160.00M,-150.00M,686.00M,,-591.00M,,-591.00M,-110.00M,,6.00M,-695.00M,,20.00M,,20.00M,38.00M,-57.00M,-19.00M,-78.00M,-78.00M,-111.00M,-188.00M,,435.00M,-197.00M,,238.00M,,38.00M,544.00M,-524.00M,-57.00M,134.00M,118.00M,,AOR,Restated
2012-10,318.00M,,,,20.00M,20.00M,381.00M,,381.00M,381.00M,29.00M,,20.00M,,38.00M,-105.00M,-729.00M,-16.00M,335.00M,,,-54.00M,-569.00M,237.00M,,-486.00M,,-486.00M,0.00,,-13.00M,-499.00M,,731.00M,,731.00M,30.00M,-333.00M,-303.00M,-61.00M,-61.00M,92.00M,459.00M,,238.00M,197.00M,,435.00M,,30.00M,748.00M,-17.00M,-333.00M,112.00M,99.00M,,AOR,Restated
2012-07,280.00M,,,,17.00M,17.00M,884.00M,,383.00M,383.00M,43.00M,,17.00M,,52.00M,-29.00M,107.00M,-41.00M,-57.00M,,,-40.00M,-60.00M,732.00M,,-443.00M,,-985.00M,-12.00M,,-7.00M,-462.00M,,-7.00M,,-7.00M,4.00M,-526.00M,-522.00M,-63.00M,-63.00M,49.00M,-543.00M,,511.00M,-273.00M,,238.00M,,4.00M,0.00,-7.00M,-526.00M,128.00M,108.00M,,AOR,Restated
2012-04,441.00M,,,,31.00M,31.00M,,,501.00M,501.00M,58.00M,,24.00M,,43.00M,3.00M,91.00M,-109.00M,165.00M,,,51.00M,201.00M,1.299B,,-542.00M,,,,,15.00M,-527.00M,,-51.00M,,-51.00M,38.00M,-345.00M,-307.00M,-65.00M,-65.00M,-26.00M,-449.00M,,188.00M,323.00M,,511.00M,,38.00M,846.00M,-897.00M,-345.00M,94.00M,113.00M,,AOR,Restated
2012-01,-305.00M,,,,16.00M,16.00M,,,392.00M,392.00M,-283.00M,,19.00M,,-29.00M,-84.00M,320.00M,167.00M,-394.00M,,,392.00M,401.00M,248.00M,,-493.00M,,,0.00,,4.00M,-489.00M,,815.00M,-305.00M,510.00M,25.00M,-273.00M,-248.00M,-257.00M,-66.00M,17.00M,213.00M,,216.00M,-28.00M,,188.00M,,25.00M,820.00M,-310.00M,-273.00M,296.00M,457.00M,,AOR,Restated
2011-10,197.00M,,,,10.00M,10.00M,,,373.00M,373.00M,409.00M,,18.00M,,61.00M,11.00M,-803.00M,-196.00M,347.00M,140.00M,,-350.00M,-851.00M,217.00M,,-481.00M,,,-51.00M,,39.00M,-493.00M,,-9.00M,390.00M,381.00M,2.00M,-471.00M,-469.00M,,-62.00M,-1.00M,-151.00M,,643.00M,-427.00M,,216.00M,,2.00M,0.00,381.00M,-471.00M,-286.00M,-241.00M,,AOR,Restated
2011-07,283.00M,,,,21.00M,21.00M,,,374.00M,374.00M,-38.00M,,20.00M,,49.00M,13.00M,36.00M,59.00M,246.00M,-140.00M,,35.00M,249.00M,958.00M,,-403.00M,,,0.00,,-14.00M,-417.00M,,-26.00M,-15.00M,-41.00M,31.00M,-259.00M,-228.00M,65.00M,-64.00M,4.00M,-329.00M,,431.00M,212.00M,,643.00M,,31.00M,0.00,-41.00M,-259.00M,137.00M,107.00M,,AOR,Restated
2011-04,421.00M,,,,23.00M,23.00M,,,499.00M,499.00M,-57.00M,,24.00M,,86.00M,-3.00M,86.00M,-98.00M,99.00M,,,155.00M,239.00M,1.235B,,-521.00M,,,,,12.00M,-509.00M,,-504.00M,-70.00M,-574.00M,60.00M,-544.00M,-484.00M,-65.00M,-65.00M,3.00M,-1.12B,,825.00M,-394.00M,,431.00M,,60.00M,3.00M,-577.00M,-544.00M,149.00M,134.00M,,AOR,Restated
2011-01,283.00M,,,,15.00M,15.00M,,,386.00M,386.00M,32.00M,,17.00M,,-126.00M,-9.00M,271.00M,8.00M,-116.00M,101.00M,,-73.00M,182.00M,832.00M,,-496.00M,,,0.00,,-65.00M,-561.00M,,97.00M,,96.00M,5.00M,-253.00M,-248.00M,-250.00M,-67.00M,15.00M,-204.00M,,758.00M,67.00M,,825.00M,,5.00M,80.00M,17.00M,-253.00M,330.00M,115.00M,,AOR,Restated
