,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,611.00M,,611.00M,877.00M,,877.00M,580.00M,346.00M,262.00M,2.676B,,4.63B,42.07B,173.00M,,46.87B,-11.91B,34.96B,,,979.00M,497.00M,36.44B,39.11B,,770.00M,284.00M,425.00M,,1.479B,942.00M,2.421B,,145.00M,,145.00M,788.00M,3.354B,,8.154B,,8.154B,10.22B,10.22B,,,,,1.818B,20.19B,23.55B,,1.382B,12.72B,3.926B,2.394B,,,,-69.00M,15.57B,,AOR,Restated
2008-03,827.00M,,827.00M,703.00M,,703.00M,514.00M,356.00M,247.00M,2.647B,,,,,,46.18B,-11.74B,34.44B,,,946.00M,523.00M,35.91B,38.56B,,2.944B,,474.00M,-474.00M,2.944B,,2.944B,,188.00M,,188.00M,,3.132B,,7.93B,,7.93B,10.10B,10.10B,,,,,1.835B,19.87B,23.00B,,691.00M,13.00B,3.929B,1.983B,,-12.00M,-64.00M,-76.00M,15.56B,,AOR,Restated
2007-12,878.00M,,878.00M,632.00M,,632.00M,453.00M,336.00M,295.00M,2.594B,,,7.818B,175.00M,,45.65B,-11.50B,34.16B,,,923.00M,358.00M,35.44B,38.03B,,732.00M,284.00M,343.00M,,1.359B,474.00M,1.833B,,139.00M,,139.00M,675.00M,3.041B,,7.543B,,7.543B,10.05B,10.05B,799.00M,462.00M,,,553.00M,19.41B,22.45B,,690.00M,12.67B,3.926B,1.624B,,,,-74.00M,15.58B,,AOR,Restated
2007-09,1.022B,,1.022B,820.00M,,820.00M,475.00M,322.00M,224.00M,2.863B,,,,,,45.01B,-11.22B,33.79B,,,924.00M,337.00M,35.05B,37.92B,,754.00M,,320.00M,111.00M,1.185B,828.00M,2.013B,,144.00M,,144.00M,989.00M,3.146B,,7.697B,,7.697B,9.882B,9.882B,1.29B,491.00M,,,28.00M,19.39B,22.53B,,690.00M,12.29B,3.935B,1.394B,,-17.00M,-123.00M,-140.00M,15.38B,,AOR,Restated
2007-06,522.00M,,522.00M,720.00M,,720.00M,445.00M,320.00M,265.00M,2.272B,,,,,,44.42B,-11.06B,33.36B,,,906.00M,765.00M,35.03B,37.30B,,741.00M,,249.00M,114.00M,1.104B,816.00M,1.92B,,138.00M,,138.00M,1.077B,3.135B,,7.098B,,7.098B,9.794B,9.794B,1.336B,497.00M,,,-3.00M,18.72B,21.86B,,690.00M,11.85B,3.955B,914.00M,,,,-137.00M,15.44B,,AOR,Restated
2007-03,598.00M,,598.00M,660.00M,,660.00M,414.00M,319.00M,265.00M,2.256B,,,,,,43.88B,-10.82B,33.07B,,,894.00M,470.00M,34.43B,36.69B,,668.00M,,386.00M,102.00M,1.156B,826.00M,1.982B,,137.00M,,137.00M,844.00M,2.963B,,6.594B,,6.594B,9.71B,9.71B,1.334B,500.00M,,,138.00M,18.28B,21.24B,,690.00M,11.50B,3.942B,543.00M,,,,-141.00M,15.45B,,AOR,Restated
2006-12,827.00M,,827.00M,679.00M,,679.00M,395.00M,319.00M,191.00M,2.411B,,,7.637B,177.00M,,43.45B,-10.58B,32.87B,,,877.00M,354.00M,34.10B,36.52B,,684.00M,238.00M,279.00M,,1.201B,517.00M,1.718B,,780.00M,,780.00M,629.00M,3.539B,,6.00B,,6.00B,9.696B,9.696B,868.00M,504.00M,,,596.00M,17.66B,21.20B,,690.00M,11.22B,3.943B,394.00M,,,,-142.00M,15.31B,,AOR,Restated
2006-09,719.00M,,719.00M,770.00M,,770.00M,427.00M,268.00M,181.00M,2.365B,,,,,,43.00B,-10.36B,32.64B,,,858.00M,505.00M,34.01B,36.37B,,666.00M,,268.00M,119.00M,1.053B,846.00M,1.899B,,393.00M,,393.00M,811.00M,3.103B,,6.657B,,6.657B,9.582B,9.582B,1.708B,839.00M,,,-287.00M,18.50B,21.60B,,690.00M,10.81B,3.935B,436.00M,,,,-230.00M,14.77B,,AOR,Restated
2006-06,262.00M,,262.00M,748.00M,,748.00M,433.00M,280.00M,164.00M,1.887B,,,,,,42.64B,-10.15B,32.49B,,,831.00M,798.00M,34.12B,36.01B,,665.00M,,268.00M,120.00M,1.053B,914.00M,1.967B,,391.00M,,391.00M,756.00M,3.114B,,6.678B,,6.678B,9.534B,9.534B,1.723B,846.00M,,,-303.00M,18.48B,21.59B,,690.00M,10.47B,3.937B,451.00M,,,,-233.00M,14.42B,,AOR,Restated
2006-03,258.00M,,258.00M,730.00M,,730.00M,416.00M,293.00M,163.00M,1.86B,,,,,,42.21B,-9.974B,32.23B,,,830.00M,620.00M,33.68B,35.54B,,614.00M,,291.00M,122.00M,1.027B,902.00M,1.929B,,393.00M,,393.00M,668.00M,2.99B,,6.712B,,6.712B,9.511B,9.511B,1.727B,847.00M,,,-308.00M,18.49B,21.48B,,690.00M,10.16B,3.925B,485.00M,,,,-227.00M,14.06B,,AOR,Restated
2005-12,773.00M,,773.00M,747.00M,,747.00M,331.00M,304.00M,170.00M,2.325B,,,7.675B,34.02B,,41.70B,-9.722B,31.98B,,,806.00M,514.00M,33.30B,35.62B,,783.00M,252.00M,212.00M,,1.247B,608.00M,1.855B,,656.00M,,656.00M,458.00M,3.384B,,6.76B,,6.76B,9.482B,9.482B,876.00M,855.00M,,,556.00M,18.53B,21.91B,,689.00M,9.932B,3.915B,599.00M,,,,-230.00M,13.71B,,AOR,Restated
2005-09,337.00M,,337.00M,736.00M,,736.00M,377.00M,407.00M,204.00M,2.061B,,,,,,41.37B,-9.551B,31.82B,,,780.00M,509.00M,33.11B,35.17B,,701.00M,,212.00M,134.00M,1.047B,922.00M,1.969B,,143.00M,,143.00M,659.00M,2.771B,,7.323B,,7.323B,9.421B,9.421B,1.753B,880.00M,,,-348.00M,19.03B,21.80B,,689.00M,9.716B,3.899B,698.00M,,,,-235.00M,13.37B,,AOR,Restated
2005-06,164.00M,,164.00M,686.00M,,686.00M,348.00M,495.00M,168.00M,1.861B,,,,,,40.86B,-9.312B,31.55B,,,786.00M,916.00M,33.25B,35.11B,,690.00M,,225.00M,139.00M,1.054B,906.00M,1.96B,,139.00M,,139.00M,686.00M,2.785B,,7.565B,,7.565B,9.521B,9.521B,1.749B,889.00M,,,-385.00M,19.34B,22.12B,,689.00M,9.427B,3.899B,794.00M,,,,-236.00M,12.98B,,AOR,Restated
2005-03,732.00M,,732.00M,593.00M,,593.00M,336.00M,532.00M,173.00M,2.366B,,,,,,40.32B,-9.09B,31.23B,,,777.00M,641.00M,32.65B,35.01B,,601.00M,,216.00M,135.00M,952.00M,825.00M,1.777B,,145.00M,,145.00M,628.00M,2.55B,,7.919B,,7.919B,9.461B,9.461B,1.785B,893.00M,,,-402.00M,19.66B,22.21B,,689.00M,9.272B,3.897B,813.00M,,,,-237.00M,12.81B,,AOR,Restated
2004-12,977.00M,,977.00M,545.00M,,545.00M,309.00M,288.00M,178.00M,2.297B,,,7.733B,32.17B,,39.91B,-8.893B,31.01B,,,767.00M,518.00M,32.30B,34.60B,,590.00M,256.00M,208.00M,,1.054B,549.00M,1.603B,,150.00M,,150.00M,394.00M,2.531B,,7.981B,,7.981B,9.18B,9.18B,884.00M,885.00M,,,480.00M,19.41B,21.94B,,689.00M,9.222B,3.917B,936.00M,,,,-237.00M,12.66B,,AOR,Restated
2004-09,914.00M,,914.00M,583.00M,,583.00M,282.00M,479.00M,203.00M,2.461B,,,,,,39.49B,-8.659B,30.83B,,,757.00M,346.00M,31.93B,34.39B,,581.00M,,241.00M,137.00M,959.00M,808.00M,1.767B,,163.00M,,163.00M,660.00M,2.59B,,7.996B,,7.996B,9.424B,9.424B,1.277B,632.00M,,,-220.00M,19.11B,21.70B,,689.00M,9.221B,3.924B,1.009B,,-19.00M,,-19.00M,12.69B,,AOR,Restated
2004-06,657.00M,,657.00M,562.00M,,562.00M,290.00M,479.00M,424.00M,2.412B,,,,,,39.06B,-8.432B,30.62B,,,749.00M,385.00M,31.76B,34.17B,,557.00M,,218.00M,140.00M,915.00M,793.00M,1.708B,,171.00M,,171.00M,665.00M,2.544B,,8.016B,,8.016B,9.344B,9.344B,1.30B,633.00M,,,-231.00M,19.06B,21.61B,,689.00M,9.097B,3.92B,1.016B,,-19.00M,,-19.00M,12.56B,,AOR,Restated
2004-03,275.00M,,275.00M,513.00M,,513.00M,273.00M,479.00M,312.00M,1.852B,,,,,,38.70B,-8.26B,30.44B,,,746.00M,431.00M,31.61B,33.46B,,483.00M,,192.00M,132.00M,807.00M,779.00M,1.586B,,270.00M,,270.00M,554.00M,2.41B,,7.67B,,7.67B,9.24B,9.24B,1.287B,631.00M,,,-251.00M,18.58B,20.99B,,689.00M,9.017B,3.916B,1.024B,,-16.00M,,-16.00M,12.48B,,AOR,Restated
2003-12,527.00M,,527.00M,498.00M,,498.00M,267.00M,518.00M,279.00M,2.089B,,,7.648B,30.67B,,38.32B,-8.037B,30.28B,,,726.00M,396.00M,31.40B,33.49B,,511.00M,252.00M,219.00M,,982.00M,522.00M,1.504B,,167.00M,,167.00M,422.00M,2.456B,,7.822B,,7.822B,9.102B,9.102B,595.00M,712.00M,,,453.00M,18.68B,21.14B,,689.00M,8.93B,3.936B,1.077B,,,,-124.00M,12.35B,,AOR,Restated
2003-09,223.00M,,223.00M,540.00M,,540.00M,269.00M,498.00M,252.00M,1.782B,,,,,,38.03B,-7.908B,30.12B,,,722.00M,1.19B,32.03B,33.82B,,533.00M,,268.00M,,801.00M,785.00M,1.586B,,162.00M,,162.00M,728.00M,2.476B,,8.058B,,8.058B,9.057B,9.057B,1.436B,817.00M,500.00M,500.00M,-605.00M,19.26B,21.74B,,689.00M,8.456B,3.954B,1.279B,,-16.00M,,-16.00M,11.58B,,AOR,Restated
2003-06,499.00M,,499.00M,668.00M,,668.00M,288.00M,556.00M,265.00M,2.276B,,,,,,38.70B,-8.23B,30.47B,,,718.00M,470.00M,31.66B,33.94B,,581.00M,,288.00M,,869.00M,880.00M,1.749B,,170.00M,,170.00M,772.00M,2.691B,,8.101B,,8.101B,8.842B,8.842B,1.627B,995.00M,1.00B,1.00B,-1.614B,18.95B,21.64B,,689.00M,8.197B,3.95B,1.301B,,,,,11.30B,,AOR,Restated
2003-03,311.00M,,311.00M,631.00M,,631.00M,298.00M,558.00M,247.00M,2.045B,,,,,,38.17B,-8.073B,30.10B,,,690.00M,653.00M,31.44B,33.49B,,522.00M,,264.00M,,786.00M,874.00M,1.66B,,268.00M,,268.00M,757.00M,2.685B,,7.556B,,7.556B,8.712B,8.712B,1.621B,982.00M,1.50B,1.50B,-2.091B,18.28B,20.96B,,689.00M,7.968B,3.948B,1.339B,,,,,11.02B,,AOR,Restated
2002-12,367.00M,,367.00M,557.00M,,557.00M,277.00M,498.00M,199.00M,1.898B,,,7.451B,39.00M,,36.86B,-7.856B,29.00B,,,699.00M,1.163B,30.87B,32.76B,,430.00M,253.00M,227.00M,,910.00M,419.00M,1.329B,,275.00M,,275.00M,554.00M,2.523B,,7.428B,,7.428B,8.55B,8.55B,658.00M,762.00M,,1.50B,385.00M,19.59B,22.11B,,689.00M,7.597B,3.946B,1.347B,-232.00M,-9.00M,7.00M,-234.00M,10.65B,,AOR,Restated
2002-09,451.00M,,451.00M,765.00M,,765.00M,264.00M,398.00M,213.00M,2.091B,,,,,,37.48B,-8.106B,29.37B,,,695.00M,466.00M,30.53B,32.62B,,580.00M,,322.00M,,902.00M,895.00M,1.797B,,294.00M,,294.00M,801.00M,2.892B,,7.58B,,7.58B,8.277B,8.277B,1.50B,849.00M,1.50B,1.50B,-1.972B,17.73B,20.63B,,689.00M,7.278B,3.91B,1.383B,,-7.00M,,-7.00M,10.50B,,AOR,
2002-06,381.00M,,381.00M,695.00M,,695.00M,250.00M,406.00M,195.00M,1.927B,,,,,,37.16B,-7.983B,29.17B,,,800.00M,424.00M,30.40B,32.32B,,603.00M,,272.00M,,875.00M,847.00M,1.722B,,290.00M,,290.00M,789.00M,2.801B,,7.888B,,7.888B,8.103B,8.103B,1.539B,830.00M,1.50B,1.50B,-1.925B,17.94B,20.74B,,689.00M,6.892B,3.909B,1.407B,,-2.00M,,-2.00M,10.09B,,AOR,
2002-03,110.00M,,110.00M,676.00M,,676.00M,259.00M,400.00M,201.00M,1.646B,,,,,,36.69B,-7.831B,28.86B,,,801.00M,578.00M,30.23B,31.88B,,535.00M,,266.00M,,801.00M,810.00M,1.611B,,203.00M,,203.00M,748.00M,2.562B,,8.006B,,8.006B,7.99B,7.99B,1.551B,812.00M,1.50B,1.50B,-1.877B,17.98B,20.54B,,689.00M,6.638B,3.949B,1.458B,,,,,9.836B,,AOR,
2001-12,113.00M,,113.00M,604.00M,,604.00M,265.00M,400.00M,160.00M,1.542B,,,7.507B,27.98B,,36.44B,-7.644B,28.79B,,,786.00M,431.00M,30.01B,31.55B,,567.00M,255.00M,286.00M,,1.108B,846.00M,1.954B,,194.00M,,194.00M,598.00M,2.746B,,7.886B,,7.886B,7.882B,7.882B,696.00M,812.00M,,,1.954B,19.23B,21.98B,,689.00M,6.466B,3.98B,1.549B,-7.00M,3.00M,-7.00M,-11.00M,9.575B,,AOR,Restated
2001-09,120.00M,,120.00M,690.00M,,690.00M,280.00M,117.00M,192.00M,1.399B,,,,,,36.04B,-7.357B,28.68B,,,800.00M,427.00M,29.91B,31.30B,,556.00M,,290.00M,,846.00M,844.00M,1.69B,,197.00M,,197.00M,937.00M,2.824B,,8.207B,,8.207B,7.517B,7.517B,1.509B,753.00M,,,1.238B,19.22B,22.05B,,689.00M,6.242B,3.99B,1.666B,,,,,9.257B,,AOR,
2001-06,130.00M,,130.00M,640.00M,,640.00M,309.00M,118.00M,162.00M,1.359B,,,,,,35.76B,-7.33B,28.42B,,,767.00M,440.00M,29.63B,30.99B,,580.00M,,251.00M,,831.00M,840.00M,1.671B,,200.00M,,200.00M,887.00M,2.758B,,8.299B,,8.299B,7.377B,7.377B,1.523B,751.00M,1.50B,,-250.00M,17.70B,20.46B,,689.00M,6.024B,3.987B,1.671B,,6.00M,,6.00M,9.033B,,AOR,
2001-03,73.00M,,73.00M,631.00M,,631.00M,340.00M,111.00M,147.00M,1.302B,,,,,,35.63B,-7.348B,28.28B,,,757.00M,412.00M,29.45B,30.75B,,509.00M,,236.00M,,745.00M,845.00M,1.59B,,203.00M,,203.00M,957.00M,2.75B,,8.435B,,8.435B,7.241B,7.241B,1.553B,748.00M,1.50B,,-286.00M,17.69B,20.44B,,689.00M,5.83B,4.006B,1.711B,,,,,8.811B,,AOR,
2000-12,105.00M,,105.00M,597.00M,,597.00M,360.00M,507.00M,134.00M,1.703B,,,7.781B,26.87B,,35.46B,-7.262B,28.20B,,,740.00M,278.00M,29.21B,30.92B,,658.00M,265.00M,234.00M,,1.157B,831.00M,1.988B,,207.00M,,207.00M,767.00M,2.962B,,8.144B,,8.144B,7.561B,7.561B,834.00M,745.00M,,1.50B,509.00M,19.29B,22.26B,,688.00M,5.699B,4.024B,1.749B,-2.00M,2.00M,,0.00,8.662B,,AOR,Restated
2000-09,55.00M,,55.00M,645.00M,,645.00M,333.00M,114.00M,93.00M,1.24B,,,,,,35.32B,-7.174B,28.14B,,,722.00M,284.00M,29.15B,30.39B,,585.00M,,264.00M,,849.00M,827.00M,1.676B,,210.00M,,210.00M,863.00M,2.749B,,8.314B,,8.314B,7.082B,7.082B,846.00M,796.00M,1.50B,1.50B,-948.00M,17.59B,20.34B,,691.00M,5.59B,4.02B,1.751B,,,,,8.552B,,AOR,
2000-06,72.00M,,72.00M,569.00M,,569.00M,324.00M,114.00M,115.00M,1.194B,,,,,,34.96B,-7.139B,27.82B,,,706.00M,477.00M,29.01B,30.20B,,633.00M,,253.00M,,886.00M,824.00M,1.71B,,206.00M,,206.00M,926.00M,2.842B,,8.365B,,8.365B,6.921B,6.921B,873.00M,794.00M,1.50B,1.50B,-932.00M,17.52B,20.36B,,,,,,,,,,8.339B,,AOR,
2000-03,60.00M,,60.00M,618.00M,,618.00M,324.00M,113.00M,136.00M,1.251B,,,,,,34.68B,-7.05B,27.63B,,,678.00M,352.00M,28.66B,29.91B,,573.00M,,242.00M,,815.00M,799.00M,1.614B,,225.00M,,225.00M,956.00M,2.795B,,8.352B,,8.352B,6.809B,6.809B,914.00M,794.00M,1.50B,1.50B,-894.00M,17.48B,20.27B,,691.00M,5.189B,4.019B,1.755B,,,,,8.139B,,AOR,
1999-12,175.00M,,175.00M,581.00M,,581.00M,337.00M,111.00M,110.00M,1.314B,,,7.755B,25.81B,,34.37B,-6.851B,27.52B,,,753.00M,302.00M,28.57B,29.89B,,598.00M,290.00M,256.00M,,1.144B,385.00M,1.529B,,214.00M,,214.00M,733.00M,2.885B,,8.426B,,8.426B,6.715B,6.715B,934.00M,791.00M,,1.50B,636.00M,19.00B,21.89B,,691.00M,5.053B,4.019B,1.756B,,,,-6.00M,8.001B,,AOR,Restated
1999-09,198.00M,,198.00M,,,626.00M,335.00M,110.00M,111.00M,1.38B,,,,,,34.13B,-6.726B,27.40B,,,,1.071B,28.47B,29.85B,,596.00M,,299.00M,,895.00M,,895.00M,,206.00M,,206.00M,1.788B,2.889B,,8.502B,,8.502B,6.573B,6.573B,,848.00M,1.50B,,1.721B,17.64B,20.53B,,691.00M,4.861B,4.036B,1.768B,,,,,7.82B,,,
1999-06,331.00M,,331.00M,,,561.00M,341.00M,,350.00M,1.583B,,,,,,33.75B,-6.567B,27.18B,,,,1.023B,28.20B,29.79B,,630.00M,,282.00M,,912.00M,,912.00M,,215.00M,,215.00M,1.861B,2.988B,,8.59B,,8.59B,6.473B,6.473B,,826.00M,1.50B,,1.785B,17.67B,20.66B,,691.00M,4.666B,4.037B,1.769B,,,,,7.625B,,,
1999-03,107.00M,,107.00M,,,632.00M,350.00M,,347.00M,1.436B,,,,,,33.47B,-6.428B,27.04B,,,,977.00M,28.02B,29.46B,,584.00M,,299.00M,,883.00M,,883.00M,,180.00M,,180.00M,1.876B,2.939B,,8.539B,,8.539B,6.37B,6.37B,,816.00M,1.50B,,1.813B,17.54B,20.48B,,691.00M,4.521B,4.047B,1.781B,,,,,7.478B,,,
1998-12,176.00M,,176.00M,643.00M,,887.00M,343.00M,,96.00M,1.502B,,,7.545B,24.82B,,33.14B,-6.206B,26.94B,,,691.00M,242.00M,27.87B,29.37B,,586.00M,289.00M,301.00M,,1.176B,400.00M,1.576B,,181.00M,,181.00M,765.00M,2.932B,803.00M,8.511B,,8.511B,6.308B,6.308B,995.00M,,,1.50B,932.00M,19.05B,21.98B,,691.00M,4.441B,4.053B,1.792B,,,,0.00,7.393B,,AOR,Restated
1998-09,554.00M,,554.00M,,,401.00M,308.00M,,752.00M,2.015B,,,,,,32.20B,-5.67B,26.53B,,,,886.00M,27.41B,29.43B,,531.00M,,281.00M,,812.00M,,812.00M,,178.00M,,178.00M,1.79B,2.78B,,9.029B,,9.029B,5.978B,5.978B,,782.00M,1.50B,,1.731B,17.52B,20.30B,,691.00M,4.68B,4.049B,1.791B,,,,,7.629B,,,
1998-06,297.00M,,297.00M,,,389.00M,317.00M,,766.00M,1.769B,,,,,,31.85B,-5.588B,26.26B,,,,913.00M,27.18B,28.94B,,573.00M,,252.00M,,825.00M,,825.00M,,162.00M,,162.00M,1.883B,2.87B,,8.399B,,8.399B,5.947B,5.947B,,772.00M,1.50B,,1.823B,16.94B,19.81B,,690.00M,4.691B,4.044B,1.792B,,,,,7.633B,,,
1998-03,191.00M,,191.00M,,,589.00M,309.00M,,295.00M,1.384B,,,,,,31.94B,-5.704B,26.23B,613.00M,613.00M,,848.00M,27.69B,29.08B,,541.00M,,268.00M,,809.00M,,809.00M,,132.00M,,132.00M,1.867B,2.808B,,9.258B,,9.258B,6.224B,6.224B,,844.00M,,,1.826B,18.15B,20.96B,,690.00M,5.159B,4.063B,1.794B,,,,,8.118B,,,
1997-12,90.00M,,90.00M,727.00M,,856.00M,296.00M,,269.00M,1.511B,,,7.084B,23.68B,,31.51B,-5.537B,25.98B,,,624.00M,748.00M,27.35B,28.86B,,758.00M,295.00M,268.00M,,1.321B,427.00M,1.748B,,233.00M,,233.00M,941.00M,3.343B,766.00M,8.285B,,8.285B,6.252B,6.252B,991.00M,,0.00,,998.00M,17.29B,20.64B,,690.00M,5.271B,4.066B,1.802B,,,,,8.225B,,AOR,Restated
1997-09,201.00M,,201.00M,,,797.00M,295.00M,,306.00M,1.599B,,,,,,30.99B,-5.375B,25.62B,683.00M,683.00M,,765.00M,27.07B,28.67B,,580.00M,,260.00M,,840.00M,,840.00M,,210.00M,,210.00M,2.254B,3.304B,,8.185B,,8.185B,6.175B,6.175B,,757.00M,,,1.761B,16.88B,20.18B,,690.00M,5.528B,4.046B,1.78B,,,,,8.484B,,,
1997-06,129.00M,,129.00M,,,802.00M,290.00M,,338.00M,1.559B,,,,,,31.10B,-5.474B,25.63B,690.00M,690.00M,,871.00M,27.19B,28.75B,,674.00M,,230.00M,,904.00M,,904.00M,,216.00M,,216.00M,2.103B,3.223B,,8.292B,,8.292B,6.066B,6.066B,,747.00M,,,2.065B,17.17B,20.39B,,689.00M,5.394B,4.044B,1.769B,,,,,8.358B,,,
1997-03,94.00M,,94.00M,,,699.00M,275.00M,,386.00M,1.454B,,,,,,30.48B,-5.23B,25.25B,695.00M,695.00M,,791.00M,26.73B,28.19B,,736.00M,,243.00M,,979.00M,,979.00M,,164.00M,,164.00M,1.966B,3.109B,,8.075B,,8.075B,5.995B,5.995B,,732.00M,,,2.036B,16.84B,19.95B,,688.00M,5.283B,4.017B,1.749B,,,,,8.239B,,,
1996-12,191.00M,,191.00M,507.00M,,507.00M,304.00M,,345.00M,1.347B,,,6.573B,22.79B,,30.10B,-5.053B,25.04B,,,613.00M,923.00M,26.58B,27.93B,,705.00M,293.00M,250.00M,,1.248B,332.00M,1.58B,,127.00M,,127.00M,922.00M,3.056B,,7.90B,,7.90B,5.939B,5.939B,670.00M,720.00M,,,1.417B,16.65B,19.70B,,686.00M,5.262B,4.009B,1.732B,,,,,8.225B,,AOR,Restated
1996-09,148.00M,,148.00M,,,1.322B,292.00M,,308.00M,2.07B,,,,,,29.44B,-4.97B,24.47B,706.00M,706.00M,,2.057B,27.24B,29.31B,,501.00M,,268.00M,,769.00M,,769.00M,,333.00M,,333.00M,2.291B,3.393B,,8.374B,,8.374B,5.842B,5.842B,,801.00M,,,2.872B,17.89B,21.28B,,679.00M,5.138B,3.90B,1.692B,,,,,8.025B,,,
1996-06,73.00M,,73.00M,,,1.07B,220.00M,,230.00M,1.593B,,,,,,19.20B,-4.866B,14.34B,712.00M,712.00M,,3.105B,18.16B,19.75B,,126.00M,,181.00M,,307.00M,,307.00M,,232.00M,,232.00M,1.475B,2.014B,,5.923B,,5.923B,3.712B,3.712B,,622.00M,236.00M,,646.00M,10.90B,12.92B,,582.00M,5.55B,2.139B,1.675B,,,,,6.596B,,,
1996-03,79.00M,,79.00M,,,1.099B,227.00M,,241.00M,1.646B,,,,,,19.01B,-4.746B,14.26B,717.00M,717.00M,,2.986B,17.96B,19.61B,,130.00M,,181.00M,,311.00M,,311.00M,,225.00M,,225.00M,1.438B,1.974B,,6.129B,,6.129B,3.595B,3.595B,,609.00M,226.00M,,640.00M,10.97B,12.95B,,582.00M,5.394B,2.129B,1.669B,,,,,6.436B,,,
1995-12,230.00M,,230.00M,349.00M,650.00M,999.00M,238.00M,,212.00M,1.679B,,,5.004B,13.00B,,18.75B,-4.643B,14.10B,,,1.447B,2.215B,17.77B,19.45B,,436.00M,203.00M,178.00M,,817.00M,476.00M,1.293B,,132.00M,,132.00M,474.00M,1.899B,588.00M,6.232B,,6.232B,3.498B,3.498B,352.00M,,216.00M,,297.00M,10.97B,12.87B,,581.00M,5.327B,2.111B,1.655B,,,,,6.364B,,AOR,Restated
1995-09,91.00M,,91.00M,,,473.00M,281.00M,,250.00M,1.095B,,,,,,17.84B,-4.527B,13.32B,669.00M,669.00M,,3.62B,17.61B,18.70B,,151.00M,,218.00M,,369.00M,,369.00M,,624.00M,,624.00M,1.564B,2.557B,,6.546B,,6.546B,2.818B,2.818B,,,,,1.267B,10.63B,13.19B,,581.00M,5.121B,1.466B,1.654B,,,,,5.514B,,,
1995-06,51.00M,,51.00M,,,498.00M,299.00M,,308.00M,1.156B,,,,,,17.62B,-4.441B,13.17B,736.00M,736.00M,,2.504B,16.41B,17.57B,,130.00M,,196.00M,,326.00M,,326.00M,,68.00M,,68.00M,1.638B,2.032B,,6.173B,,6.173B,2.721B,2.721B,,579.00M,,,715.00M,10.19B,12.22B,,580.00M,4.972B,1.443B,1.645B,,,,,5.35B,,,
1995-03,97.00M,,97.00M,,,687.00M,280.00M,,417.00M,1.481B,,,,,,19.21B,-6.839B,12.37B,810.00M,810.00M,,954.00M,14.14B,15.62B,,384.00M,,212.00M,,596.00M,,596.00M,,105.00M,,105.00M,1.345B,2.046B,,4.202B,,4.202B,2.765B,2.765B,,641.00M,,,758.00M,8.366B,10.41B,,580.00M,4.836B,1.432B,1.644B,,,,,5.204B,,,
1994-12,115.00M,,115.00M,396.00M,228.00M,865.00M,257.00M,0.00,112.00M,1.349B,,,4.658B,8.558B,,13.92B,-4.249B,9.671B,,,657.00M,2.866B,13.19B,14.54B,,132.00M,191.00M,134.00M,,457.00M,380.00M,837.00M,,427.00M,,427.00M,736.00M,2.00B,,4.052B,,4.052B,2.398B,2.398B,,535.00M,0.00,,427.00M,7.412B,9.412B,,580.00M,4.734B,1.428B,1.611B,,,,,5.131B,,,Restated
1994-09,222.00M,,222.00M,,,622.00M,304.00M,119.00M,364.00M,1.631B,,,,,,18.70B,-6.539B,12.16B,947.00M,947.00M,,1.156B,14.27B,15.90B,,425.00M,,222.00M,,647.00M,,647.00M,,102.00M,,102.00M,1.262B,2.011B,,4.645B,,4.645B,2.864B,2.864B,,653.00M,,,801.00M,8.963B,10.97B,,578.00M,4.567B,1.39B,1.611B,,,,,4.924B,,,
1994-06,122.00M,,122.00M,,,706.00M,270.00M,119.00M,251.00M,1.468B,,,,,,18.94B,-6.537B,12.40B,1.304B,1.304B,,945.00M,14.65B,16.12B,,455.00M,,242.00M,,697.00M,,697.00M,,126.00M,,126.00M,1.267B,2.09B,,4.555B,,4.555B,2.784B,2.784B,,637.00M,,,824.00M,8.80B,10.89B,,578.00M,4.868B,1.39B,1.609B,,,,,5.227B,,,
