,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,2.893B,2.893B,1.621B,1.272B,1.634B,1.634B,274.00M,-327.00M,28.00M,,,,,1.146B,3.054B,-1.782B,,,,28.00M,,207.00M,42.00M,165.00M,,,165.00M,142.68M,-1.508B,274.00M,-1.782B,,0.16,0.00,,0.1384,0.16,,0.1575,0.00,,0.1362,0.1575,,1.035B,1.05B,0.075,,AOR,Restated
2003-12,2.965B,2.965B,,,,,272.00M,,-370.00M,,,,,,-2.083B,1.005B,,,,-370.00M,,501.00M,168.00M,333.00M,218.00M,,551.00M,852.93M,939.00M,272.00M,667.00M,,0.325,0.215,,0.5653,0.54,,0.32,0.205,,0.5523,0.525,,1.024B,1.059B,0.075,,AOR,Restated
2003-09,2.956B,2.956B,,,,,267.00M,,15.00M,,,,,2.097B,2.364B,592.00M,,,,15.00M,,467.00M,167.00M,300.00M,17.00M,,317.00M,290.36M,859.00M,267.00M,592.00M,,0.295,0.0175,,0.2855,0.3125,,0.2875,0.015,,0.2784,0.3025,,1.017B,1.06B,0.0575,,AOR,Restated
2003-06,2.894B,2.894B,1.404B,1.49B,1.46B,1.46B,253.00M,-298.00M,4.00M,,,,,1.001B,2.714B,-1.224B,,,,4.00M,,438.00M,163.00M,275.00M,13.00M,,288.00M,272.49M,-971.00M,253.00M,-1.224B,,0.27,0.0125,,0.2675,0.2825,,0.2625,0.0125,,0.2602,0.275,,1.016B,1.087B,0.0575,,AOR,Restated
2003-03,2.736B,2.736B,1.438B,1.298B,1.476B,1.476B,275.00M,-310.00M,13.00M,,,,,1.027B,2.778B,-1.48B,,,,13.00M,,231.00M,83.00M,148.00M,7.00M,274.00M,429.00M,139.67M,-1.205B,275.00M,-1.48B,,0.145,0.0075,0.00,0.1368,0.4225,,0.1425,0.0075,0.2674,0.1344,0.4175,,1.014B,1.025B,0.0575,,AOR,Restated
2002-12,2.825B,2.825B,-273.00M,3.098B,-528.00M,-528.00M,289.00M,,-251.00M,,,,,,-604.00M,3.702B,,,,-251.00M,,516.00M,148.00M,368.00M,10.00M,,378.00M,547.01M,5.672B,2.005B,3.667B,,0.365,0.0075,,0.5419,0.3725,,0.345,0.0075,,0.5062,0.3525,,1.012B,1.111B,0.0575,,AOR,Restated
2002-09,2.85B,2.85B,1.34B,1.51B,1.411B,1.411B,288.00M,-316.00M,160.00M,,,,,119.00M,1.818B,-308.00M,,,,160.00M,,622.00M,234.00M,388.00M,49.00M,,437.00M,288.19M,-20.00M,-1.457B,-308.00M,,0.385,0.0475,,0.2862,0.4325,,0.3625,0.045,,0.2725,0.4075,,1.01B,1.109B,0.05,,AOR,
2002-06,3.154B,3.154B,1.472B,1.682B,1.674B,1.674B,300.00M,-339.00M,35.00M,,,,,1.025B,2.999B,-1.317B,,,,35.00M,,478.00M,174.00M,304.00M,,,304.00M,281.74M,-419.00M,898.00M,-1.317B,,0.3025,0.00,,0.2804,0.3025,,0.2875,0.00,,0.2674,0.2875,,1.007B,1.105B,0.05,,AOR,
2002-03,2.971B,2.971B,1.413B,1.558B,1.642B,1.642B,299.00M,-345.00M,21.00M,,,,,387.00M,2.328B,-770.00M,,,,21.00M,,357.00M,135.00M,222.00M,,,222.00M,208.94M,-471.00M,-299.00M,-770.00M,,0.2225,0.00,,0.2095,0.2225,,0.215,0.00,,0.2032,0.215,,1.004B,1.105B,0.05,,AOR,
2001-12,1.863B,1.863B,-597.00M,2.46B,-1.177B,-1.177B,249.00M,,-304.00M,,,,,,-4.022B,6.482B,,,,-304.00M,,370.00M,127.00M,243.00M,,,275.00M,442.65M,6.563B,249.00M,6.314B,,0.245,0.0325,,0.4451,0.2775,,0.235,0.03,,0.4178,0.265,,998.00M,1.092B,0.05,,AOR,Restated
2001-09,3.026B,3.026B,1.433B,1.593B,1.585B,1.585B,292.00M,-332.00M,31.00M,,,,,1.004B,2.881B,-1.288B,,,,31.00M,,430.00M,163.00M,267.00M,,,267.00M,247.75M,-996.00M,292.00M,-1.288B,,0.27,0.00,,0.2506,0.27,,0.26,0.00,,0.2423,0.26,,991.60M,1.086B,0.05,,AOR,
2001-06,2.998B,2.998B,1.479B,1.519B,1.568B,1.568B,293.00M,-331.00M,75.00M,,,,,1.061B,2.922B,-1.403B,,,,75.00M,,391.00M,148.00M,243.00M,,,243.00M,196.39M,-1.11B,293.00M,-1.403B,,0.245,0.00,,0.1980,0.245,,0.2375,0.00,,0.1946,0.2375,,990.80M,1.088B,0.05,,AOR,
2001-03,2.943B,2.943B,1.456B,1.487B,1.61B,1.61B,292.00M,-329.00M,30.00M,,,,,1.029B,2.931B,-1.444B,,,,30.00M,,288.00M,107.00M,181.00M,,,181.00M,162.15M,-1.152B,292.00M,-1.444B,,0.1825,0.00,,0.1634,0.1825,,0.18,0.00,,0.1626,0.18,,987.60M,1.084B,0.05,,AOR,
2000-12,2.916B,2.916B,-221.00M,3.137B,-392.00M,-392.00M,290.00M,,-291.00M,,,,,,-3.217B,6.354B,,,,-291.00M,,228.00M,71.00M,157.00M,,,157.00M,357.38M,6.414B,290.00M,6.124B,,0.16,0.00,,0.3630,0.16,,0.1575,0.00,,0.3432,0.1575,,987.20M,1.079B,0.05,,AOR,Restated
2000-09,3.07B,3.07B,1.509B,1.561B,1.594B,1.594B,285.00M,-352.00M,17.00M,,,,,1.065B,2.944B,-1.383B,,,,17.00M,,406.00M,150.00M,256.00M,0.00,,256.00M,245.28M,32.00M,1.415B,-1.383B,,0.26,0.00,,0.2491,0.26,,0.25,0.00,,0.2401,0.25,,986.00M,1.078B,0.05,,AOR,
2000-06,2.966B,2.966B,1.411B,1.555B,1.518B,1.518B,283.00M,-310.00M,24.00M,,,,,396.00M,2.197B,-642.00M,,,,24.00M,,386.00M,142.00M,244.00M,,,244.00M,228.83M,-359.00M,-847.00M,-642.00M,,0.2475,0.00,,0.2321,0.2475,,0.24,0.00,,0.2259,0.24,,985.60M,1.078B,0.05,,AOR,
2000-03,2.913B,2.913B,1.441B,1.472B,1.58B,1.58B,282.00M,-327.00M,20.00M,,,,,1.02B,2.882B,-1.41B,,,,20.00M,,290.00M,105.00M,185.00M,,,185.00M,172.24M,-1.128B,282.00M,-1.41B,,0.1875,0.00,,0.1746,0.1875,,0.185,0.00,,0.1732,0.185,,985.60M,1.077B,0.05,,AOR,
1999-12,2.831B,2.831B,-1.325B,4.156B,-520.00M,-520.00M,274.00M,,-1.288B,,,,,,-966.00M,5.122B,,,,-1.288B,,365.00M,123.00M,242.00M,0.00,,242.00M,1.096B,5.799B,1.892B,3.907B,,0.245,0.00,,1.115,0.245,,0.2375,0.00,,0.8873,0.2375,,982.12M,1.314B,0.05,,AOR,Restated
1999-09,2.893B,2.893B,1.349B,1.544B,1.604B,1.604B,271.00M,-341.00M,24.00M,,,,,224.00M,2.099B,-555.00M,,,,24.00M,,355.00M,137.00M,218.00M,27.00M,,245.00M,203.26M,-284.00M,-271.00M,-555.00M,,0.22,0.0275,,0.2051,0.2475,,0.215,0.025,,0.2006,0.24,,989.90M,1.021B,0.05,,,
1999-06,2.773B,2.773B,1.332B,1.441B,1.572B,1.572B,268.00M,-325.00M,24.00M,,,,,385.00M,2.225B,-784.00M,,,,24.00M,,281.00M,87.00M,194.00M,,,194.00M,177.43M,-516.00M,-268.00M,-784.00M,,0.1975,0.00,,0.1807,0.1975,,0.1925,0.00,,0.1772,0.1925,,986.00M,1.082B,0.05,,,
1999-03,2.74B,2.74B,1.363B,1.377B,1.629B,1.629B,270.00M,-331.00M,25.00M,,,,,401.00M,2.30B,-923.00M,,,,25.00M,,201.00M,72.00M,129.00M,,,129.00M,112.96M,-653.00M,-270.00M,-923.00M,,0.13,0.00,,0.1137,0.13,,0.13,0.00,,0.1137,0.13,,985.20M,985.20M,0.05,,,
1998-12,2.645B,2.645B,-566.00M,3.211B,,747.00M,270.00M,,-2.393B,,,,,,1.017B,2.194B,,,,-2.393B,,-387.00M,64.00M,-451.00M,262.00M,,-189.00M,984.80M,1.784B,1.87B,-86.00M,,-0.4575,0.265,,1.014,-0.1925,,-0.4575,0.265,,1.014,-0.1925,,976.00M,976.00M,0.05,,AOR,Restated
1998-09,2.66B,2.66B,983.00M,1.677B,,1.198B,269.00M,,36.00M,,,,,,1.467B,210.00M,,,,36.00M,,58.00M,24.00M,34.00M,,,34.00M,12.40M,479.00M,-269.00M,210.00M,,0.035,0.00,,0.0128,0.035,,0.035,0.00,,0.0128,0.035,,971.43M,971.43M,0.05,,,
1998-06,2.623B,2.623B,1.286B,1.337B,,1.208B,268.00M,,54.00M,,,,,,1.476B,-139.00M,,,,54.00M,,-262.00M,-108.00M,-154.00M,-262.00M,,-416.00M,-186.40M,129.00M,-268.00M,-139.00M,,-0.1575,-0.4225,,-0.2027,-0.58,,-0.1575,-0.4225,,-0.2027,-0.58,,717.24M,717.24M,0.05,,,
1998-03,2.586B,2.586B,686.00M,1.90B,,1.604B,263.00M,,23.00M,,,,,,1.867B,33.00M,,,,23.00M,,-105.00M,-43.00M,-62.00M,,,-62.00M,-75.80M,296.00M,-263.00M,33.00M,,-0.0625,0.00,,-0.0764,-0.0625,,-0.0625,0.00,,-0.0764,-0.0625,,992.00M,992.00M,0.05,,,
1997-12,3.262B,3.262B,-199.00M,3.461B,,1.492B,,,-1.742B,,,,,,1.803B,1.658B,,,,-1.742B,,-238.00M,-85.00M,-153.00M,1.00M,,-152.00M,966.86M,1.85B,1.775B,75.00M,,-0.155,0.00,,0.9800,-0.155,,-0.155,0.00,,0.9800,-0.155,,986.66M,986.66M,0.1075,,AOR,Restated
1997-09,2.575B,2.575B,1.025B,1.55B,,891.00M,244.00M,,102.00M,,,,,,1.135B,415.00M,,,,102.00M,,361.00M,124.00M,237.00M,3.00M,,240.00M,170.04M,659.00M,-244.00M,415.00M,,0.24,0.0025,,0.1723,0.2425,,0.2375,0.0025,,0.1705,0.24,,989.69M,1.00B,0.1075,,,
1997-06,2.645B,2.645B,1.037B,1.608B,,892.00M,246.00M,,19.00M,,,,,,1.138B,470.00M,,,,19.00M,,343.00M,128.00M,215.00M,1.00M,,216.00M,203.09M,716.00M,-230.00M,470.00M,,0.22,0.00,,0.2079,0.22,,0.2175,0.00,,0.2055,0.2175,,981.82M,993.10M,0.1075,,,
1997-03,2.81B,2.81B,1.503B,1.307B,350.00M,350.00M,258.00M,-322.00M,38.00M,,,,,206.00M,814.00M,493.00M,,,,38.00M,,205.00M,77.00M,128.00M,,,128.00M,104.27M,751.00M,-258.00M,493.00M,,0.13,0.00,,0.1059,0.13,,0.13,0.00,,0.1059,0.13,,984.62M,984.62M,0.1075,,,
1996-12,2.81B,2.81B,-578.00M,3.388B,2.536B,2.536B,,,-1.027B,,,,,,2.118B,1.27B,,,,-1.027B,,359.00M,130.00M,229.00M,0.00,,229.00M,884.11M,1.623B,1.278B,345.00M,,0.2375,-0.0075,,0.9095,0.23,,0.2375,-0.01,,0.9058,0.2275,,974.89M,980.26M,0.1075,,AOR,Restated
1996-09,1.996B,1.996B,899.00M,1.097B,232.00M,232.00M,170.00M,-208.00M,52.00M,,,,,213.00M,615.00M,482.00M,,,,52.00M,,332.00M,121.00M,211.00M,64.00M,,275.00M,177.95M,652.00M,-170.00M,482.00M,,0.25,0.075,,0.2109,0.325,,0.2475,0.075,,0.2087,0.3225,,846.15M,852.71M,0.1075,,,
1996-06,2.012B,2.012B,919.00M,1.093B,235.00M,235.00M,174.00M,-213.00M,32.00M,,,,,201.00M,610.00M,483.00M,,,,32.00M,,284.00M,98.00M,186.00M,58.00M,,244.00M,165.04M,657.00M,-174.00M,483.00M,,0.2275,0.07,,0.2019,0.2975,,0.225,0.07,,0.1997,0.295,,820.17M,827.12M,0.1075,,,
1996-03,1.968B,1.968B,985.00M,983.00M,255.00M,255.00M,172.00M,-227.00M,18.00M,,,,,250.00M,677.00M,306.00M,,,,18.00M,,138.00M,31.00M,107.00M,49.00M,,156.00M,93.04M,478.00M,-172.00M,306.00M,,0.13,0.06,,0.1130,0.19,,0.13,0.06,,0.1130,0.19,,821.05M,821.05M,0.215,,,
1995-12,1.974B,1.974B,-421.00M,2.395B,2.205B,2.205B,,,-684.00M,,,,,,1.674B,721.00M,,,,-684.00M,,241.00M,62.00M,179.00M,115.00M,,294.00M,687.03M,1.253B,1.111B,142.00M,,0.22,0.1425,,0.8487,0.3625,,0.2175,0.14,,0.8353,0.3575,,808.05M,822.30M,0.1075,,AOR,Restated
1995-09,1.974B,1.974B,897.00M,1.077B,226.00M,226.00M,172.00M,-200.00M,35.00M,,,,,261.00M,659.00M,418.00M,,,,35.00M,,261.00M,101.00M,160.00M,77.00M,,237.00M,138.54M,590.00M,-172.00M,418.00M,,0.195,0.0925,,0.1690,0.2875,,0.195,0.0925,,0.1690,0.2875,,824.35M,824.35M,0.1075,,,
1995-06,1.874B,1.874B,826.00M,1.048B,202.00M,202.00M,159.00M,-178.00M,22.00M,,,,,230.00M,591.00M,457.00M,,,,22.00M,,224.00M,74.00M,150.00M,74.00M,,224.00M,135.27M,616.00M,-49.00M,457.00M,,0.1825,0.09,,0.1646,0.2725,,0.1825,0.09,,0.1646,0.2725,,822.02M,822.02M,0.1075,,,
1995-03,1.978B,1.978B,852.00M,1.126B,201.00M,201.00M,248.00M,-171.00M,42.00M,,,,,284.00M,733.00M,393.00M,,,,42.00M,,288.00M,97.00M,191.00M,,,191.00M,163.15M,641.00M,-248.00M,393.00M,,0.2325,0.00,,0.1986,0.2325,,0.2325,0.00,,0.1986,0.2325,,821.51M,821.51M,0.1075,,,
1994-12,686.00M,686.00M,-987.00M,1.673B,1.91B,1.91B,,,-1.003B,,,,,,896.00M,777.00M,,,,-1.003B,,-186.00M,-31.00M,-155.00M,411.00M,,256.00M,680.83M,1.251B,1.274B,-23.00M,,-0.19,0.5025,,0.8341,0.3125,,-0.19,0.5025,,0.8260,0.3125,,816.13M,822.70M,0.1075,,,Restated
1994-09,1.958B,1.958B,802.00M,1.156B,193.00M,193.00M,243.00M,-158.00M,10.00M,,,,,281.00M,717.00M,439.00M,,,,10.00M,,318.00M,108.00M,210.00M,-423.00M,,-213.00M,203.40M,682.00M,-224.00M,439.00M,,0.255,-0.515,,0.2469,-0.26,,0.255,-0.515,,0.2469,-0.26,,819.23M,819.23M,0.1075,,,
1994-06,2.07B,2.07B,893.00M,1.177B,196.00M,196.00M,261.00M,-175.00M,9.00M,,,,,305.00M,762.00M,415.00M,,,,9.00M,,326.00M,106.00M,220.00M,,,220.00M,213.93M,676.00M,-261.00M,415.00M,,0.2675,0.00,,0.2601,0.2675,,0.2675,0.00,,0.2601,0.2675,,822.43M,822.43M,0.10,,,
1994-03,1.928B,1.928B,843.00M,1.085B,172.00M,172.00M,248.00M,-160.00M,172.00M,,,,,293.00M,713.00M,372.00M,,,,172.00M,,427.00M,144.00M,283.00M,,,283.00M,169.00M,620.00M,-248.00M,372.00M,,0.345,0.00,,0.2060,0.345,,0.345,0.00,,0.2060,0.345,,820.29M,820.29M,0.10,,,
1993-12,422.00M,422.00M,-526.00M,948.00M,,401.00M,,,-723.00M,,,,,,198.00M,750.00M,,,,-723.00M,,-88.00M,-30.00M,-58.00M,,,235.00M,418.52M,1.311B,1.219B,92.00M,,-0.0725,0.4975,,0.5027,0.285,,-0.0725,0.4975,,0.5027,0.285,,828.49M,828.49M,0.10,,,Restated
1993-09,1.901B,1.901B,658.00M,1.243B,,680.00M,245.00M,,25.00M,,,,,,925.00M,318.00M,,,,25.00M,,264.00M,156.00M,108.00M,,,108.00M,93.00M,563.00M,-245.00M,318.00M,,0.1325,0.00,,0.1141,0.1325,,0.1325,0.00,,0.1141,0.1325,,815.09M,815.09M,0.10,,,
1993-06,1.848B,1.848B,610.00M,1.238B,,644.00M,231.00M,,20.00M,,,,,,875.00M,363.00M,,,,20.00M,,299.00M,101.00M,198.00M,,,198.00M,184.76M,594.00M,-231.00M,363.00M,,0.24,0.00,,0.2239,0.24,,0.24,0.00,,0.2239,0.24,,825.00M,825.00M,0.0925,,,
1993-03,1.83B,1.83B,625.00M,1.205B,,651.00M,235.00M,,20.00M,,,,,,886.00M,319.00M,,,,20.00M,,255.00M,91.00M,164.00M,,-175.00M,-11.00M,151.14M,554.00M,-235.00M,319.00M,,0.20,-0.215,0.00,0.1825,-0.015,,0.20,-0.215,-0.2386,0.1825,-0.015,,733.33M,733.33M,0.0925,,,
1992-12,1.916B,1.916B,601.00M,1.315B,,671.00M,276.00M,,63.00M,-53.00M,,,,,894.00M,421.00M,,,,63.00M,,286.00M,94.00M,192.00M,,,192.00M,149.71M,697.00M,-276.00M,421.00M,,-0.0975,0.335,,-0.1498,0.2375,,-0.0975,0.3325,,-0.1493,0.235,,808.00M,817.12M,0.0925,,,
1992-09,1.851B,1.851B,587.00M,1.264B,,658.00M,223.00M,,26.00M,-34.00M,,,,,847.00M,417.00M,,,,26.00M,,285.00M,100.00M,185.00M,,,185.00M,168.12M,640.00M,-223.00M,417.00M,,0.2275,0.00,,0.2067,0.2275,,0.2275,0.00,,0.2067,0.2275,,813.19M,813.19M,0.0925,,,
1992-06,1.782B,1.782B,548.00M,1.234B,,647.00M,204.00M,,48.00M,-27.00M,,,,,824.00M,410.00M,,,,48.00M,,313.00M,107.00M,206.00M,,,206.00M,174.41M,614.00M,-204.00M,410.00M,,0.2525,0.00,,0.2138,0.2525,,0.2525,0.00,,0.2138,0.2525,,815.84M,815.84M,0.085,,,
1992-03,1.745B,1.745B,571.00M,1.174B,,629.00M,206.00M,,9.00M,-44.00M,,,,,791.00M,383.00M,,,,9.00M,,217.00M,72.00M,145.00M,,,145.00M,138.99M,589.00M,-206.00M,383.00M,,0.1775,0.00,,0.1701,0.1775,,0.1775,0.00,,0.1701,0.1775,,816.90M,816.90M,0.085,,,
1991-12,1.801B,1.801B,604.00M,1.197B,,645.00M,173.00M,,49.00M,-49.00M,,,,,769.00M,428.00M,,,,49.00M,,285.00M,101.00M,184.00M,,,184.00M,152.36M,601.00M,-173.00M,428.00M,,-0.005,0.2325,,-0.0467,0.2275,,-0.005,0.2275,,-0.0417,0.225,,759.32M,862.55M,0.085,,,
1991-09,1.743B,1.743B,562.00M,1.181B,,614.00M,189.00M,,-842.00M,-47.00M,,,,,756.00M,425.00M,,,,-842.00M,,-609.00M,-203.00M,-406.00M,,,-406.00M,155.33M,614.00M,-189.00M,425.00M,,-0.5025,0.00,,0.1923,-0.5025,,-0.5025,0.00,,0.1923,-0.5025,,807.96M,807.96M,0.085,,,
1991-06,1.742B,1.742B,570.00M,1.172B,,622.00M,192.00M,,30.00M,-52.00M,,,,,762.00M,410.00M,,,,30.00M,,237.00M,84.00M,153.00M,,,153.00M,133.63M,602.00M,-192.00M,410.00M,,0.19,0.00,,0.1659,0.19,,0.19,0.00,,0.1659,0.19,,805.26M,805.26M,0.0781,,,
1991-03,1.743B,1.743B,582.00M,1.161B,,636.00M,194.00M,,15.00M,-50.00M,,,,,780.00M,381.00M,,,,15.00M,,199.00M,66.00M,133.00M,,,133.00M,122.97M,575.00M,-194.00M,381.00M,,0.165,0.00,,0.1526,0.165,,0.165,0.00,,0.1526,0.165,,806.06M,806.06M,0.0781,,,
1990-12,1.601B,1.601B,433.00M,1.168B,,633.00M,174.00M,,50.00M,-57.00M,,,,,750.00M,418.00M,,,,50.00M,,259.00M,83.00M,176.00M,,,176.00M,142.02M,592.00M,-174.00M,418.00M,,-0.085,0.305,,-0.1275,0.22,,-0.0875,0.305,,-0.1294,0.2175,,800.00M,810.39M,0.0781,,,
1990-09,1.853B,1.853B,671.00M,1.182B,,636.00M,181.00M,,17.00M,-35.00M,,,,,782.00M,400.00M,,,,17.00M,,251.00M,90.00M,161.00M,,,161.00M,150.10M,581.00M,-181.00M,400.00M,,0.2025,0.00,,0.1888,0.2025,,0.2025,0.00,,0.1888,0.2025,,795.06M,795.06M,0.0725,,,
1990-06,1.784B,1.784B,615.00M,1.169B,,629.00M,175.00M,,12.00M,-44.00M,,,,,760.00M,409.00M,,,,12.00M,,238.00M,85.00M,153.00M,,,153.00M,145.29M,584.00M,-175.00M,409.00M,,0.1925,0.00,,0.1828,0.1925,,0.1925,0.00,,0.1828,0.1925,,794.81M,794.81M,0.0725,,,
1990-03,1.726B,1.726B,584.00M,1.142B,,647.00M,167.00M,,16.00M,-46.00M,,,,,768.00M,374.00M,,,,16.00M,,204.00M,76.00M,128.00M,,,128.00M,117.96M,541.00M,-167.00M,374.00M,,0.16,0.00,,0.1475,0.16,,0.16,0.00,,0.1475,0.16,,800.00M,800.00M,0.0725,,,
1989-12,1.738B,1.738B,598.00M,1.14B,,618.00M,159.00M,,26.00M,-36.00M,,,,,741.00M,399.00M,,,,26.00M,,250.00M,82.00M,168.00M,,,168.00M,150.53M,558.00M,-159.00M,399.00M,,-0.025,0.2325,,-0.0468,0.2075,,-0.0275,0.2325,,-0.0490,0.205,,801.01M,813.03M,0.0725,,,
1989-09,1.578B,1.578B,489.00M,1.089B,,612.00M,154.00M,,27.00M,-29.00M,,,,,737.00M,352.00M,,,,27.00M,,219.00M,82.00M,137.00M,,,137.00M,120.11M,506.00M,-154.00M,352.00M,,0.17,0.00,,0.1490,0.17,,0.17,0.00,,0.1490,0.17,,805.88M,805.88M,0.0688,,,
1989-06,1.625B,1.625B,538.00M,1.087B,,620.00M,146.00M,,21.00M,-44.00M,,,,,722.00M,365.00M,,,,21.00M,,211.00M,59.00M,152.00M,,,152.00M,136.87M,511.00M,146.00M,365.00M,,0.1775,0.00,,0.1598,0.1775,,0.1775,0.00,,0.1598,0.1775,,856.34M,856.34M,0.0688,,,
1989-03,1.551B,1.551B,,,,,,,,,,,,,,1.551B,,,,,,,,138.00M,,,138.00M,138.00M,1.551B,,1.551B,,0.1525,0.00,,0.1525,0.1525,,0.1525,0.00,,0.1525,0.1525,,904.92M,904.92M,0.0688,,,
1988-12,1.166B,1.166B,,,,,,,,,,,,,,-3.410B,,,,,,,,102.60M,,,187.60M,102.60M,-3.410B,,-3.410B,,-0.0375,0.25,,-0.0375,0.2125,,-0.04,0.2475,,-0.04,0.2075,,837.74M,863.01M,0.0688,,,
1988-09,1.681B,1.681B,,,,,,,,,,,,,,1.681B,,,,,,,,165.00M,,,165.00M,165.00M,1.681B,,1.681B,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,916.67M,916.67M,0.0688,,,
1988-06,1.606B,1.606B,,,,,,,,,,,,,,1.606B,,,,,,,,153.60M,,,153.60M,153.60M,1.606B,,1.606B,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,903.53M,903.53M,0.0625,,,
1988-03,1.568B,1.568B,,,,,,,,,,,,,,1.568B,,,,,,,,137.80M,,,137.80M,137.80M,1.568B,,1.568B,,0.1525,0.00,,0.1525,0.1525,,0.1525,0.00,,0.1525,0.1525,,903.61M,903.61M,0.0625,,,
1987-12,1.528B,1.528B,,,,,,,,,,,,,,-2.112B,,,,,,,,140.00M,,,163.00M,140.00M,-2.112B,,-2.112B,,0.1525,0.0375,,0.1525,0.19,,0.1525,0.0375,,0.1525,0.19,,657.79M,657.79M,0.0625,,,
1987-09,1.513B,1.513B,,,,,,,,,,,,,,1.513B,,,,,,,,155.00M,,,155.00M,155.00M,1.513B,,1.513B,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,911.76M,911.76M,0.0625,,,
1987-06,1.475B,1.475B,,,,,,,,,,,,,,1.475B,,,,,,,,143.00M,,,143.00M,143.00M,1.475B,,1.475B,,0.1575,0.00,,0.1575,0.1575,,0.1575,0.00,,0.1575,0.1575,,907.94M,907.94M,0.0625,,,
1987-03,1.427B,1.427B,,,,,,,,,,,,,,1.427B,,,,,,,,122.00M,,,122.00M,122.00M,1.427B,,1.427B,,0.135,0.00,,0.135,0.135,,0.135,0.00,,0.135,0.135,,903.70M,903.70M,0.0625,,,
1986-12,1.614B,1.614B,,,,,,,,,,,,,,-2.752B,,,,,,,,-769.40M,,,-815.40M,-769.40M,-2.752B,,-2.752B,,-0.9025,-0.055,,-0.9025,-0.9575,,-0.9025,-0.055,,-0.9025,-0.9575,,661.22M,661.22M,0.0625,,,
1986-09,1.566B,1.566B,,,,,,,,,,,,,,1.566B,,,,,,,,120.40M,,,120.40M,120.40M,1.566B,,1.566B,,0.1275,0.00,,0.1275,0.1275,,0.1275,0.00,,0.1275,0.1275,,944.31M,944.31M,0.0562,,,
1986-06,1.596B,1.596B,,,,,,,,,,,,,,1.596B,,,,,,,,-834.80M,,,-834.80M,-834.80M,1.596B,,1.596B,,-0.9775,0.00,,-0.9775,-0.9775,,-0.9775,0.00,,-0.9775,-0.9775,,854.02M,854.02M,0.0562,,,
1986-03,1.836B,1.836B,,,,,,,,,,,,,,1.836B,,,,,,,,103.10M,,,103.10M,103.10M,1.836B,,1.836B,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,937.27M,937.27M,0.0562,,,
1985-12,2.025B,2.025B,,,,,,,,,,,,,,-4.567B,,,,,,,,136.00M,,,136.00M,136.00M,-4.567B,,-4.567B,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,735.34M,735.34M,0.0562,,,
1985-09,1.904B,1.904B,,,,,,,,,,,,,,1.904B,,,,,,,,120.00M,,,120.00M,120.00M,1.904B,,1.904B,,0.1275,0.00,,0.1275,0.1275,,0.1275,0.00,,0.1275,0.1275,,941.18M,941.18M,0.0562,,,
1985-06,1.929B,1.929B,,,,,,,,,,,,,,1.929B,,,,,,,,132.00M,,,132.00M,132.00M,1.929B,,1.929B,,0.1375,0.00,,0.1375,0.1375,,0.1375,0.00,,0.1375,0.1375,,960.00M,960.00M,0.0562,,,
1985-03,1.94B,1.94B,,,,,,,,,,,,,,1.94B,,,,,,,,113.00M,,,113.00M,113.00M,1.94B,,1.94B,,0.1175,0.00,,0.1175,0.1175,,0.1175,0.00,,0.1175,0.1175,,961.70M,961.70M,0.0562,,,
1984-12,1.881B,1.881B,,,,,,,,,,,,,,-4.694B,,,,,,,,128.20M,,,128.20M,128.20M,-4.694B,,-4.694B,,0.1325,0.00,,0.1325,0.1325,,0.1325,0.00,,0.1325,0.1325,,711.67M,711.67M,0.0562,,,
1984-09,1.997B,1.997B,,,,,,,,,,,,,,1.997B,,,,,,,,136.10M,,,136.10M,136.10M,1.997B,,1.997B,,0.1375,0.00,,0.1375,0.1375,,0.1375,0.00,,0.1375,0.1375,,989.82M,989.82M,,,,
1984-06,1.975B,1.975B,,,,,,,,,,,,,,1.975B,,,,,,,,128.40M,,,128.40M,128.40M,1.975B,,1.975B,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,987.69M,987.69M,,,,
